"Mike Trout_LAA","Paul Goldschmidt_ARI","Miguel Cabrera_DET","JD Martinez_DET","Ian Kinsler_DET","Corey Seager_LAD","Justin Upton_DET","Starling Marte_PIT","Khris Davis_OAK","Jake Lamb_ARI","Andrew McCutchen_PIT","AJ Pollock_ARI","Gregory Polanco_PIT","Albert Pujols_LAA","Rajai Davis_OAK","Nicholas Castellanos_DET","Victor Martinez_DET","Yasmany Tomas_ARI","Yasiel Puig_LAD","Ryon Healy_OAK","Logan Forsythe_LAD","Joc Pederson_LAD","Kole Calhoun_LAA","David Peralta_ARI","Chris Owings_ARI","Justin Turner_LAD","Yasmani Grandal_LAD","Cody Bellinger_LAD","Cameron Maybin_LAA","Marcus Semien_OAK","CJ Cron_LAA","Adrian Gonzalez_LAD","Trevor Plouffe_OAK","Luis Valbuena_LAA","Brandon Drury_ARI","Chase Utley_LAD","Franklin Gutierrez_LAD","Josh Harrison_PIT","Josh Bell_PIT","Stephen Vogt_OAK","Jefry Marte_LAA","Alex Avila_DET","Jeremy Hazelbaker_ARI","Alen Hanson_PIT","Chris Taylor_LAD","Yunel Escobar_LAA","Ben Revere_LAA","Josh Phegley_OAK","Mark Canha_OAK","Chris Herrmann_ARI","Trayce Thompson_LAD","Andrew Toles_LAD","Austin Barnes_LAD","Yonder Alonso_OAK","Andrelton Simmons_LAA","JaCoby Jones_DET","Socrates Brito_ARI","James McCann_DET","Rob Segedin_LAD","Jed Lowrie_OAK","Danny Espinosa_LAA","Gregor Blanco_ARI","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Tyler Collins_DET","Andre Ethier_LAD","Francisco Cervelli_PIT","David Freese_PIT","Jordy Mercer_PIT","Adam Frazier_PIT","Jake Smolinski_OAK","Ryan LaMarre_OAK","Jose Iglesias_DET","John Jaso_PIT","Scott Van Slyke_LAD","Danny Ortiz_PIT","Kike Hernandez_LAD","Kevin Newman_PIT","Bruce Maxwell_OAK","Jim Adduci_DET","Andrew Romine_DET","Jose Osuna_PIT","Matt Joyce_OAK","Chris Iannetta_ARI","Adam Rosales_OAK","Daniel Descalso_ARI","Elias Diaz_PIT","Phil Gosselin_PIT","Max Moroff_PIT","Nick Ahmed_ARI","Martin Maldonado_LAA","Juan Graterol_LAA","Chad Pinder_OAK","Gift Ngoepe_PIT","Jaff Decker_OAK","Carlos Perez_LAA","Jeff Mathis_ARI","Chris Stewart_PIT","Brett Eibner_LAD","John Bormann_PIT","Cliff Pennington_LAA","Matt Olson_OAK"
0,23.5671936758893,0,0,0,0,0,0,0,20.5138339920949,0,9.2953216374269,0,0,0,0,0,37.070926303777,0,0,0,0,0,81.1231884057971,10.9883040935673,0,0,0,0,0,0,0,0,0,18.7690058479532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.3333333333333,0,0,0,0,0,0,-17.7727272727273,0,0,0,0,0
0,3.06615384615385,0,0,0,0,0,0,0,-26.5072463768116,0,-6.59166666666667,0,0,0,0,0,25.3241106719368,0,0,0,0,0,10.9883040935673,99.4216524216524,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.888888888888889,0,0,0,0,0,0,-8.59340659340659,0,0,0,0,0
0,0,0,0,0,25.8550724637681,0,0,0,0,0,0,0,0,0,0,0,0,12.4583333333333,0,0,0,0,0,0,25.3061538461538,17.9078947368421,0,0,0,0,10.3245614035088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,30.6623376623377,0,0,0,0,0,0,0,0,0,0,0,0,3.18614718614719,0,0,0,0,0,0,17.9078947368421,49.9525691699605,0,0,0,0,14.3888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.22222222222222,0,0,0,0,0,0,0,0,0,0,0,0,-3.04329004329004,0,0,0,0,0,0,0,0,11.4657894736842,0,0,0,0,0,28.7532467532468,0,0,0,0,0,0,0,0,0,0,0,-1.43589743589744,0,0,0,0,-6.41558441558442,0,0,0,0,0,0,0,0,6.47619047619048,0,0,0,0,0,6.94047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54093567251462,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11.3857142857143,0,0,0,0,0,0,0,0,0,0,0,0,2.93571428571429,0,0,0,0,0,0,10.3245614035088,14.3888888888889,0,0,0,0,20.2510822510823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7.03384615384615,0,0,0,0,0,6.8,0,0,0,0,5.64130434782609,0,0,0,0,0,0,0,0,0,0,0,0,37.7635327635328,0,0,0,0,0,0,4.00980392156863,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,10.2733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.78947368421053,0,1.03333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
