\nPosition,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
\nQB,Russell Wilson (9213239),Russell Wilson,9213239,6900,SEA@GB 04:25PM ET,SEA
\nQB,Marcus Mariota (9212618),Marcus Mariota,9212618,6800,OAK@TEN 01:00PM ET,TEN
\nQB,Derek Carr (9212734),Derek Carr,9212734,6700,OAK@TEN 01:00PM ET,OAK
\nWR,Doug Baldwin (9213272),Doug Baldwin,9213272,6700,SEA@GB 04:25PM ET,SEA
\nQB,Jameis Winston (9213302),Jameis Winston,9213302,6600,Postponed,TB
\nWR,Golden Tate (9212523),Golden Tate,9212523,6500,ARI@DET 01:00PM ET,DET
\nRB,Jay Ajayi (9212854),Jay Ajayi,9212854,6500,Postponed,MIA
\nQB,Andrew Luck (9212680),Andrew Luck,9212680,6500,IND@LAR 04:05PM ET,IND
\nQB,Kirk Cousins (9213361),Kirk Cousins,9213361,6400,PHI@WAS 01:00PM ET,WAS
\nRB,Jordan Howard (9212296),Jordan Howard,9212296,6300,ATL@CHI 01:00PM ET,CHI
\nQB,Dak Prescott (9212457),Dak Prescott,9212457,6300,NYG@DAL 08:30PM ET,DAL
\nQB,Tyrod Taylor (9212175),Tyrod Taylor,9212175,6200,NYJ@BUF 01:00PM ET,BUF
\nWR,Sammy Watkins (9212213),Sammy Watkins,9212213,6200,IND@LAR 04:05PM ET,LAR
\nTE,Greg Olsen (9213460),Greg Olsen,9213460,6200,CAR@SF 04:25PM ET,CAR
\nQB,Matthew Stafford (9212506),Matthew Stafford,9212506,6100,ARI@DET 01:00PM ET,DET
\nWR,Terrelle Pryor Sr. (9213379),Terrelle Pryor Sr.,9213379,6100,PHI@WAS 01:00PM ET,WAS
\nRB,Darren McFadden (9212469),Darren McFadden,9212469,6100,NYG@DAL 08:30PM ET,DAL
\nWR,Martavis Bryant (9213164),Martavis Bryant,9213164,6000,PIT@CLE 01:00PM ET,PIT
\nQB,Carson Palmer (9213068),Carson Palmer,9213068,6000,ARI@DET 01:00PM ET,ARI
\nWR,Michael Crabtree (9212768),Michael Crabtree,9212768,6000,OAK@TEN 01:00PM ET,OAK
\nRB,Todd Gurley II (9212792),Todd Gurley II,9212792,6000,IND@LAR 04:05PM ET,LAR
\nWR,Larry Fitzgerald (9213091),Larry Fitzgerald,9213091,5900,ARI@DET 01:00PM ET,ARI
\nWR,DeAndre Hopkins (9212253),DeAndre Hopkins,9212253,5900,JAX@HOU 01:00PM ET,HOU
\nTE,Jordan Reed (9213411),Jordan Reed,9213411,5900,PHI@WAS 01:00PM ET,WAS
\nWR,Kelvin Benjamin (9213442),Kelvin Benjamin,9213442,5900,CAR@SF 04:25PM ET,CAR
\nWR,Alshon Jeffery (9213046),Alshon Jeffery,9213046,5800,PHI@WAS 01:00PM ET,PHI
\nRB,Ty Montgomery (9212570),Ty Montgomery,9212570,5800,SEA@GB 04:25PM ET,GB
\nQB,Andy Dalton (9212341),Andy Dalton,9212341,5700,BAL@CIN 01:00PM ET,CIN
\nRB,Leonard Fournette (9213472),Leonard Fournette,9213472,5700,JAX@HOU 01:00PM ET,JAX
\nWR,Jamison Crowder (9213387),Jamison Crowder,9213387,5600,PHI@WAS 01:00PM ET,WAS
\nQB,Eli Manning (9212900),Eli Manning,9212900,5600,NYG@DAL 08:30PM ET,NYG
\nRB,Joe Mixon (9212344),Joe Mixon,9212344,5500,BAL@CIN 01:00PM ET,CIN
\nQB,Joe Flacco (9213530),Joe Flacco,9213530,5500,BAL@CIN 01:00PM ET,BAL
\nRB,Derrick Henry (9212623),Derrick Henry,9212623,5500,OAK@TEN 01:00PM ET,TEN
\nQB,Derek Anderson (9213417),Derek Anderson,9213417,5500,CAR@SF 04:25PM ET,CAR
\nRB,Tevin Coleman (9212117),Tevin Coleman,9212117,5400,ATL@CHI 01:00PM ET,ATL
\nQB,Jay Cutler (9212846),Jay Cutler,9212846,5400,Postponed,MIA
\nWR,Jarvis Landry (9212868),Jarvis Landry,9212868,5400,Postponed,MIA
\nRB,Christian McCaffrey (9213418),Christian McCaffrey,9213418,5400,CAR@SF 04:25PM ET,CAR
\nRB,Isaiah Crowell (9212410),Isaiah Crowell,9212410,5300,PIT@CLE 01:00PM ET,CLE
\nWR,DeVante Parker (9212866),DeVante Parker,9212866,5300,Postponed,MIA
\nRB,Marshawn Lynch (9212748),Marshawn Lynch,9212748,5300,OAK@TEN 01:00PM ET,OAK
\nQB,Carson Wentz (9213014),Carson Wentz,9213014,5300,PHI@WAS 01:00PM ET,PHI
\nWR,Randall Cobb (9212590),Randall Cobb,9212590,5300,SEA@GB 04:25PM ET,GB
\nWR,Pierre Garcon (9213206),Pierre Garcon,9213206,5300,CAR@SF 04:25PM ET,SF
\nRB,Danny Woodhead (9213533),Danny Woodhead,9213533,5200,BAL@CIN 01:00PM ET,BAL
\nWR,Allen Robinson (9213512),Allen Robinson,9213512,5200,JAX@HOU 01:00PM ET,JAX
\nQB,Colt McCoy (9213360),Colt McCoy,9213360,5200,PHI@WAS 01:00PM ET,WAS
\nWR,Davante Adams (9212586),Davante Adams,9212586,5200,SEA@GB 04:25PM ET,GB
\nRB,Lamar Miller (9212239),Lamar Miller,9212239,5100,JAX@HOU 01:00PM ET,HOU
\nTE,Jimmy Graham (9213292),Jimmy Graham,9213292,5100,SEA@GB 04:25PM ET,SEA
\nQB,Brian Hoyer (9213183),Brian Hoyer,9213183,5100,CAR@SF 04:25PM ET,SF
\nWR,Brandon Marshall (9212919),Brandon Marshall,9212919,5100,NYG@DAL 08:30PM ET,NYG
\nWR,Cameron Meredith (9212310),Cameron Meredith,9212310,5000,ATL@CHI 01:00PM ET,CHI
\nWR,Jeremy Maclin (9213563),Jeremy Maclin,9213563,5000,BAL@CIN 01:00PM ET,BAL
\nQB,Ryan Tannehill (9212845),Ryan Tannehill,9212845,5000,Postponed,MIA
\nWR,Eric Decker (9212637),Eric Decker,9212637,5000,OAK@TEN 01:00PM ET,TEN
\nWR,Donte Moncrief (9212700),Donte Moncrief,9212700,5000,IND@LAR 04:05PM ET,IND
\nRB,Eddie Lacy (9213258),Eddie Lacy,9213258,5000,SEA@GB 04:25PM ET,SEA
\nRB,Jonathan Stewart (9213422),Jonathan Stewart,9213422,5000,CAR@SF 04:25PM ET,CAR
\nRB,Bilal Powell (9212969),Bilal Powell,9212969,4900,NYJ@BUF 01:00PM ET,NYJ
\nQB,Mike Glennon (9212284),Mike Glennon,9212284,4900,ATL@CHI 01:00PM ET,CHI
\nQB,Matt Moore (9212847),Matt Moore,9212847,4900,Postponed,MIA
\nRB,Jacquizz Rodgers (9213307),Jacquizz Rodgers,9213307,4900,Postponed,TB
\nWR,DeSean Jackson (9213345),DeSean Jackson,9213345,4900,Postponed,TB
\nRB,Matt Forte (9212967),Matt Forte,9212967,4800,NYJ@BUF 01:00PM ET,NYJ
\nQB,DeShone Kizer (9212399),DeShone Kizer,9212399,4800,PIT@CLE 01:00PM ET,CLE
\nQB,Cody Kessler (9212402),Cody Kessler,9212402,4800,PIT@CLE 01:00PM ET,CLE
\nWR,Kenny Britt (9212436),Kenny Britt,9212436,4800,PIT@CLE 01:00PM ET,CLE
\nWR,John Brown (9213097),John Brown,9213097,4800,ARI@DET 01:00PM ET,ARI
\nQB,Tom Savage (9212231),Tom Savage,9212231,4800,JAX@HOU 01:00PM ET,HOU
\nQB,Deshaun Watson (9212232),Deshaun Watson,9212232,4800,JAX@HOU 01:00PM ET,HOU
\nQB,Blake Bortles (9213471),Blake Bortles,9213471,4800,JAX@HOU 01:00PM ET,JAX
\nQB,Ryan Fitzpatrick (9213304),Ryan Fitzpatrick,9213304,4800,Postponed,TB
\nRB,Doug Martin (9213305),Doug Martin,9213305,4800,Postponed,TB
\nQB,Jared Goff (9212787),Jared Goff,9212787,4800,IND@LAR 04:05PM ET,LAR
\nRB,Thomas Rawls (9213242),Thomas Rawls,9213242,4800,SEA@GB 04:25PM ET,SEA
\nQB,Geno Smith (9212898),Geno Smith,9212898,4800,NYG@DAL 08:30PM ET,NYG
\nQB,AJ McCarron (9212342),AJ McCarron,9212342,4700,BAL@CIN 01:00PM ET,CIN
\nRB,Terrance West (9213537),Terrance West,9213537,4700,BAL@CIN 01:00PM ET,BAL
\nQB,Landry Jones (9213124),Landry Jones,9213124,4700,PIT@CLE 01:00PM ET,PIT
\nRB,Theo Riddick (9212515),Theo Riddick,9212515,4700,ARI@DET 01:00PM ET,DET
\nQB,Brett Hundley (9212561),Brett Hundley,9212561,4700,SEA@GB 04:25PM ET,GB
\nQB,Colin Kaepernick (9213182),Colin Kaepernick,9213182,4700,CAR@SF 04:25PM ET,SF
\nWR,Cole Beasley (9212475),Cole Beasley,9212475,4700,NYG@DAL 08:30PM ET,DAL
\nQB,Josh McCown (9212956),Josh McCown,9212956,4600,NYJ@BUF 01:00PM ET,NYJ
\nQB,Mitchell Trubisky (9212282),Mitchell Trubisky,9212282,4600,ATL@CHI 01:00PM ET,CHI
\nTE,Tyler Eifert (9212396),Tyler Eifert,9212396,4600,BAL@CIN 01:00PM ET,CIN
\nRB,Duke Johnson Jr. (9212406),Duke Johnson Jr.,9212406,4600,PIT@CLE 01:00PM ET,CLE
\nQB,Nick Foles (9213016),Nick Foles,9213016,4600,PHI@WAS 01:00PM ET,PHI
\nRB,Carlos Hyde (9213196),Carlos Hyde,9213196,4600,CAR@SF 04:25PM ET,SF
\nQB,Matt Schaub (9212114),Matt Schaub,9212114,4500,ATL@CHI 01:00PM ET,ATL
\nRB,Giovani Bernard (9212356),Giovani Bernard,9212356,4500,BAL@CIN 01:00PM ET,CIN
\nQB,Ryan Mallett (9213529),Ryan Mallett,9213529,4500,BAL@CIN 01:00PM ET,BAL
\nWR,Mike Wallace (9213565),Mike Wallace,9213565,4500,BAL@CIN 01:00PM ET,BAL
\nQB,Brock Osweiler (9212403),Brock Osweiler,9212403,4500,PIT@CLE 01:00PM ET,CLE
\nRB,James Conner (9213134),James Conner,9213134,4500,PIT@CLE 01:00PM ET,PIT
\nQB,Blaine Gabbert (9213069),Blaine Gabbert,9213069,4500,ARI@DET 01:00PM ET,ARI
\nQB,Matt Cassel (9212617),Matt Cassel,9212617,4500,OAK@TEN 01:00PM ET,TEN
\nQB,Connor Cook (9212733),Connor Cook,9212733,4500,OAK@TEN 01:00PM ET,OAK
\nRB,LeGarrette Blount (9213028),LeGarrette Blount,9213028,4500,PHI@WAS 01:00PM ET,PHI
\nQB,Scott Tolzien (9212681),Scott Tolzien,9212681,4500,IND@LAR 04:05PM ET,IND
\nQB,Trevone Boykin (9213241),Trevone Boykin,9213241,4500,SEA@GB 04:25PM ET,SEA
\nQB,Christian Hackenberg (9212958),Christian Hackenberg,9212958,4400,NYJ@BUF 01:00PM ET,NYJ
\nWR,Jordan Matthews (9213038),Jordan Matthews,9213038,4400,NYJ@BUF 01:00PM ET,BUF
\nRB,Jeremy Hill (9212348),Jeremy Hill,9212348,4400,BAL@CIN 01:00PM ET,CIN
\nWR,Corey Coleman (9212428),Corey Coleman,9212428,4400,PIT@CLE 01:00PM ET,CLE
\nWR,Tyler Lockett (9213270),Tyler Lockett,9213270,4400,SEA@GB 04:25PM ET,SEA
\nQB,Kellen Moore (9212456),Kellen Moore,9212456,4400,NYG@DAL 08:30PM ET,DAL
\nRB,Alfred Morris (9212459),Alfred Morris,9212459,4400,NYG@DAL 08:30PM ET,DAL
\nQB,Mark Sanchez (9212285),Mark Sanchez,9212285,4300,ATL@CHI 01:00PM ET,CHI
\nRB,Ameer Abdullah (9212509),Ameer Abdullah,9212509,4300,ARI@DET 01:00PM ET,DET
\nQB,Chad Henne (9213469),Chad Henne,9213469,4300,JAX@HOU 01:00PM ET,JAX
\nTE,Delanie Walker (9212663),Delanie Walker,9212663,4300,OAK@TEN 01:00PM ET,TEN
\nRB,Rob Kelley (9213373),Rob Kelley,9213373,4300,PHI@WAS 01:00PM ET,WAS
\nRB,Frank Gore (9212688),Frank Gore,9212688,4300,IND@LAR 04:05PM ET,IND
\nQB,Sean Mannion (9212786),Sean Mannion,9212786,4300,IND@LAR 04:05PM ET,LAR
\nWR,Devin Funchess (9213448),Devin Funchess,9213448,4300,CAR@SF 04:25PM ET,CAR
\nRB,Paul Perkins (9212909),Paul Perkins,9212909,4300,NYG@DAL 08:30PM ET,NYG
\nQB,T.J. Yates (9212176),T.J. Yates,9212176,4200,NYJ@BUF 01:00PM ET,BUF
\nWR,Mohamed Sanu (9212139),Mohamed Sanu,9212139,4200,ATL@CHI 01:00PM ET,ATL
\nWR,Kevin White (9212304),Kevin White,9212304,4200,ATL@CHI 01:00PM ET,CHI
\nRB,Alfred Blue (9212241),Alfred Blue,9212241,4200,JAX@HOU 01:00PM ET,HOU
\nWR,Rishard Matthews (9212653),Rishard Matthews,9212653,4200,OAK@TEN 01:00PM ET,TEN
\nRB,Samaje Perine (9213363),Samaje Perine,9213363,4200,PHI@WAS 01:00PM ET,WAS
\nWR,Marvin Jones Jr. (9212525),Marvin Jones Jr.,9212525,4100,ARI@DET 01:00PM ET,DET
\nQB,Drew Stanton (9213067),Drew Stanton,9213067,4100,ARI@DET 01:00PM ET,ARI
\nRB,D'Onta Foreman (9212233),D'Onta Foreman,9212233,4100,JAX@HOU 01:00PM ET,HOU
\nRB,Kenyan Drake (9212852),Kenyan Drake,9212852,4100,Postponed,MIA
\nRB,DeAndre Washington (9212742),DeAndre Washington,9212742,4100,OAK@TEN 01:00PM ET,OAK
\nTE,Martellus Bennett (9212606),Martellus Bennett,9212606,4100,SEA@GB 04:25PM ET,GB
\nRB,C.J. Prosise (9213250),C.J. Prosise,9213250,4100,SEA@GB 04:25PM ET,SEA
\nRB,Tim Hightower (9213198),Tim Hightower,9213198,4100,CAR@SF 04:25PM ET,SF
\nWR,Sterling Shepard (9212931),Sterling Shepard,9212931,4100,NYG@DAL 08:30PM ET,NYG
\nQB,Nathan Peterman (9212174),Nathan Peterman,9212174,4000,NYJ@BUF 01:00PM ET,BUF
\nQB,Bryce Petty (9212957),Bryce Petty,9212957,4000,NYJ@BUF 01:00PM ET,NYJ
\nQB,Joe Webb (9213416),Joe Webb,9213416,4000,NYJ@BUF 01:00PM ET,BUF
\nQB,Matt Simms (9212115),Matt Simms,9212115,4000,ATL@CHI 01:00PM ET,ATL
\nQB,Alek Torgersen (9212116),Alek Torgersen,9212116,4000,ATL@CHI 01:00PM ET,ATL
\nWR,Taylor Gabriel (9212155),Taylor Gabriel,9212155,4000,ATL@CHI 01:00PM ET,ATL
\nQB,Connor Shaw (9212283),Connor Shaw,9212283,4000,ATL@CHI 01:00PM ET,CHI
\nQB,Jeff Driskel (9212343),Jeff Driskel,9212343,4000,BAL@CIN 01:00PM ET,CIN
\nQB,Dustin Vaughan (9213527),Dustin Vaughan,9213527,4000,BAL@CIN 01:00PM ET,BAL
\nQB,Robert Griffin III (9212400),Robert Griffin III,9212400,4000,PIT@CLE 01:00PM ET,CLE
\nQB,Kevin Hogan (9212401),Kevin Hogan,9212401,4000,PIT@CLE 01:00PM ET,CLE
\nWR,Josh Gordon (9212418),Josh Gordon,9212418,4000,PIT@CLE 01:00PM ET,CLE
\nQB,Joshua Dobbs (9213122),Joshua Dobbs,9213122,4000,PIT@CLE 01:00PM ET,PIT
\nQB,Bart Houston (9213123),Bart Houston,9213123,4000,PIT@CLE 01:00PM ET,PIT
\nRB,Fitzgerald Toussaint (9213128),Fitzgerald Toussaint,9213128,4000,PIT@CLE 01:00PM ET,PIT
\nWR,Justin Hunter (9213144),Justin Hunter,9213144,4000,PIT@CLE 01:00PM ET,PIT
\nQB,Josh Woodrum (9213528),Josh Woodrum,9213528,4000,PIT@CLE 01:00PM ET,CLE
\nQB,Jake Rudock (9212507),Jake Rudock,9212507,4000,ARI@DET 01:00PM ET,DET
\nQB,Trevor Knight (9213070),Trevor Knight,9213070,4000,ARI@DET 01:00PM ET,ARI
\nQB,Brandon Weeden (9212230),Brandon Weeden,9212230,4000,JAX@HOU 01:00PM ET,HOU
\nQB,Brandon Doughty (9212843),Brandon Doughty,9212843,4000,Postponed,MIA
\nQB,David Fales (9212844),David Fales,9212844,4000,Postponed,MIA
\nQB,Sefo Liufau (9213301),Sefo Liufau,9213301,4000,Postponed,TB
\nQB,Ryan Griffin (9213303),Ryan Griffin,9213303,4000,Postponed,TB
\nQB,Alex Tanney (9212619),Alex Tanney,9212619,4000,OAK@TEN 01:00PM ET,TEN
\nQB,Tyler Ferguson (9212620),Tyler Ferguson,9212620,4000,OAK@TEN 01:00PM ET,TEN
\nWR,Corey Davis (9212651),Corey Davis,9212651,4000,OAK@TEN 01:00PM ET,TEN
\nQB,EJ Manuel (9212735),EJ Manuel,9212735,4000,OAK@TEN 01:00PM ET,OAK
\nQB,Dane Evans (9213015),Dane Evans,9213015,4000,PHI@WAS 01:00PM ET,PHI
\nQB,Matt McGloin (9213017),Matt McGloin,9213017,4000,PHI@WAS 01:00PM ET,PHI
\nQB,Nate Sudfeld (9213362),Nate Sudfeld,9213362,4000,PHI@WAS 01:00PM ET,WAS
\nQB,Phillip Walker (9212678),Phillip Walker,9212678,4000,IND@LAR 04:05PM ET,IND
\nQB,Stephen Morris (9212679),Stephen Morris,9212679,4000,IND@LAR 04:05PM ET,IND
\nRB,Robert Turbin (9212690),Robert Turbin,9212690,4000,IND@LAR 04:05PM ET,IND
\nQB,Dan Orlovsky (9212785),Dan Orlovsky,9212785,4000,IND@LAR 04:05PM ET,LAR
\nWR,Robert Woods (9212814),Robert Woods,9212814,4000,IND@LAR 04:05PM ET,LAR
\nQB,Brandon Allen (9213470),Brandon Allen,9213470,4000,IND@LAR 04:05PM ET,LAR
\nQB,Joe Callahan (9212560),Joe Callahan,9212560,4000,SEA@GB 04:25PM ET,GB
\nQB,Taysom Hill (9212562),Taysom Hill,9212562,4000,SEA@GB 04:25PM ET,GB
\nQB,Austin Davis (9213240),Austin Davis,9213240,4000,SEA@GB 04:25PM ET,SEA
\nQB,Brad Kaaya (9212508),Brad Kaaya,9212508,4000,CAR@SF 04:25PM ET,CAR
\nQB,Nick Mullens (9213179),Nick Mullens,9213179,4000,CAR@SF 04:25PM ET,SF
\nQB,C.J. Beathard (9213180),C.J. Beathard,9213180,4000,CAR@SF 04:25PM ET,SF
\nQB,Matt Barkley (9213181),Matt Barkley,9213181,4000,CAR@SF 04:25PM ET,SF
\nRB,Joe Williams (9213186),Joe Williams,9213186,4000,CAR@SF 04:25PM ET,SF
\nQB,Garrett Gilbert (9213414),Garrett Gilbert,9213414,4000,CAR@SF 04:25PM ET,CAR
\nQB,Luke McCown (9212455),Luke McCown,9212455,4000,NYG@DAL 08:30PM ET,DAL
\nQB,Cooper Rush (9212458),Cooper Rush,9212458,4000,NYG@DAL 08:30PM ET,DAL
\nQB,Davis Webb (9212897),Davis Webb,9212897,4000,NYG@DAL 08:30PM ET,NYG
\nQB,Josh Johnson (9212899),Josh Johnson,9212899,4000,NYG@DAL 08:30PM ET,NYG
\nRB,Jonathan Williams (9212191),Jonathan Williams,9212191,3900,NYJ@BUF 01:00PM ET,BUF
\nDST,Bills  (9212229),Bills ,9212229,3900,NYJ@BUF 01:00PM ET,BUF
\nRB,Jeremy Langford (9212290),Jeremy Langford,9212290,3900,BAL@CIN 01:00PM ET,BAL
\nWR,Eli Rogers (9213160),Eli Rogers,9213160,3900,PIT@CLE 01:00PM ET,PIT
\nRB,Chris Johnson (9213083),Chris Johnson,9213083,3900,ARI@DET 01:00PM ET,ARI
\nWR,Braxton Miller (9212249),Braxton Miller,9212249,3900,JAX@HOU 01:00PM ET,HOU
\nRB,T.J. Yeldon (9213484),T.J. Yeldon,9213484,3900,JAX@HOU 01:00PM ET,JAX
\nRB,Charles Sims (9213313),Charles Sims,9213313,3900,Postponed,TB
\nRB,Jalen Richard (9212740),Jalen Richard,9212740,3900,OAK@TEN 01:00PM ET,OAK
\nRB,Darren Sproles (9213026),Darren Sproles,9213026,3900,PHI@WAS 01:00PM ET,PHI
\nRB,Malcolm Brown (9212788),Malcolm Brown,9212788,3900,IND@LAR 04:05PM ET,LAR
\nRB,Jamaal Williams (9212574),Jamaal Williams,9212574,3900,SEA@GB 04:25PM ET,GB
\nRB,Rod Smith (9212461),Rod Smith,9212461,3900,NYG@DAL 08:30PM ET,DAL
\nTE,Jason Witten (9212503),Jason Witten,9212503,3900,NYG@DAL 08:30PM ET,DAL
\nWR,Robby Anderson (9212977),Robby Anderson,9212977,3800,NYJ@BUF 01:00PM ET,NYJ
\nWR,Jeremy Kerley (9213208),Jeremy Kerley,9213208,3800,NYJ@BUF 01:00PM ET,NYJ
\nWR,Sammie Coates (9213162),Sammie Coates,9213162,3800,PIT@CLE 01:00PM ET,CLE
\nRB,Zach Zenner (9212513),Zach Zenner,9212513,3800,ARI@DET 01:00PM ET,DET
\nRB,Kerwynn Williams (9213075),Kerwynn Williams,9213075,3800,ARI@DET 01:00PM ET,ARI
\nWR,Will Fuller V (9212267),Will Fuller V,9212267,3800,JAX@HOU 01:00PM ET,HOU
\nDST,Texans  (9212281),Texans ,9212281,3800,JAX@HOU 01:00PM ET,HOU
\nWR,Marqise Lee (9213508),Marqise Lee,9213508,3800,JAX@HOU 01:00PM ET,JAX
\nRB,Damien Williams (9212850),Damien Williams,9212850,3800,Postponed,MIA
\nWR,Kenny Stills (9212870),Kenny Stills,9212870,3800,Postponed,MIA
\nRB,Wendell Smallwood (9213022),Wendell Smallwood,9213022,3800,PHI@WAS 01:00PM ET,PHI
\nWR,Nelson Agholor (9213044),Nelson Agholor,9213044,3800,PHI@WAS 01:00PM ET,PHI
\nWR,Tavon Austin (9212804),Tavon Austin,9212804,3800,IND@LAR 04:05PM ET,LAR
\nWR,Terrance Williams (9212473),Terrance Williams,9212473,3800,NYG@DAL 08:30PM ET,DAL
\nRB,Shane Vereen (9212903),Shane Vereen,9212903,3800,NYG@DAL 08:30PM ET,NYG
\nWR,ArDarius Stewart (9213001),ArDarius Stewart,9213001,3700,NYJ@BUF 01:00PM ET,NYJ
\nWR,Brandon LaFell (9212360),Brandon LaFell,9212360,3700,BAL@CIN 01:00PM ET,CIN
\nWR,J.J. Nelson (9213103),J.J. Nelson,9213103,3700,ARI@DET 01:00PM ET,ARI
\nDST,Jaguars  (9213526),Jaguars ,9213526,3700,JAX@HOU 01:00PM ET,JAX
\nRB,Jeremy McNichols (9213319),Jeremy McNichols,9213319,3700,Postponed,TB
\nWR,Torrey Smith (9213040),Torrey Smith,9213040,3700,PHI@WAS 01:00PM ET,PHI
\nRB,Chris Thompson (9213367),Chris Thompson,9213367,3700,PHI@WAS 01:00PM ET,WAS
\nTE,Jack Doyle (9212720),Jack Doyle,9212720,3700,IND@LAR 04:05PM ET,IND
\nWR,Cooper Kupp (9212806),Cooper Kupp,9212806,3700,IND@LAR 04:05PM ET,LAR
\nRB,Aaron Jones (9212576),Aaron Jones,9212576,3700,SEA@GB 04:25PM ET,GB
\nWR,Paul Richardson (9213266),Paul Richardson,9213266,3700,SEA@GB 04:25PM ET,SEA
\nRB,Fozzy Whittaker (9213426),Fozzy Whittaker,9213426,3700,CAR@SF 04:25PM ET,CAR
\nRB,Benny Cunningham (9212286),Benny Cunningham,9212286,3600,ATL@CHI 01:00PM ET,CHI
\nWR,Tyler Boyd (9212370),Tyler Boyd,9212370,3600,BAL@CIN 01:00PM ET,CIN
\nWR,JuJu Smith-Schuster (9213150),JuJu Smith-Schuster,9213150,3600,PIT@CLE 01:00PM ET,PIT
\nDST,Steelers  (9213178),Steelers ,9213178,3600,PIT@CLE 01:00PM ET,PIT
\nWR,Kenny Golladay (9212537),Kenny Golladay,9212537,3600,ARI@DET 01:00PM ET,DET
\nTE,Eric Ebron (9212545),Eric Ebron,9212545,3600,ARI@DET 01:00PM ET,DET
\nRB,Chris Ivory (9213488),Chris Ivory,9213488,3600,JAX@HOU 01:00PM ET,JAX
\nWR,Adam Humphries (9213333),Adam Humphries,9213333,3600,Postponed,TB
\nWR,Taywan Taylor (9212657),Taywan Taylor,9212657,3600,OAK@TEN 01:00PM ET,TEN
\nWR,Jeff Janis (9212598),Jeff Janis,9212598,3600,SEA@GB 04:25PM ET,GB
\nWR,Curtis Samuel (9213440),Curtis Samuel,9213440,3600,CAR@SF 04:25PM ET,CAR
\nWR,Zay Jones (9212193),Zay Jones,9212193,3500,NYJ@BUF 01:00PM ET,BUF
\nWR,Anquan Boldin (9212217),Anquan Boldin,9212217,3500,NYJ@BUF 01:00PM ET,BUF
\nRB,Elijah McGuire (9212961),Elijah McGuire,9212961,3500,NYJ@BUF 01:00PM ET,NYJ
\nWR,Charone Peake (9212981),Charone Peake,9212981,3500,NYJ@BUF 01:00PM ET,NYJ
\nWR,Markus Wheaton (9212312),Markus Wheaton,9212312,3500,ATL@CHI 01:00PM ET,CHI
\nWR,Breshad Perriman (9213571),Breshad Perriman,9213571,3500,BAL@CIN 01:00PM ET,BAL
\nWR,Jaelen Strong (9212259),Jaelen Strong,9212259,3500,JAX@HOU 01:00PM ET,HOU
\nWR,Allen Hurns (9213502),Allen Hurns,9213502,3500,JAX@HOU 01:00PM ET,JAX
\nRB,Donnel Pumphrey (9213018),Donnel Pumphrey,9213018,3500,PHI@WAS 01:00PM ET,PHI
\nTE,Zach Ertz (9213056),Zach Ertz,9213056,3500,PHI@WAS 01:00PM ET,PHI
\nWR,Josh Doctson (9213383),Josh Doctson,9213383,3500,PHI@WAS 01:00PM ET,WAS
\nWR,Kamar Aiken (9212702),Kamar Aiken,9212702,3500,IND@LAR 04:05PM ET,IND
\nRB,Devante Mays (9212566),Devante Mays,9212566,3500,SEA@GB 04:25PM ET,GB
\nDST,Panthers  (9213468),Panthers ,9213468,3500,CAR@SF 04:25PM ET,CAR
