"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06"
"Kole Calhoun_LAA",NA,NA,7,11,NA
"Curtis Granderson_NYM",NA,5,NA,0,3
"Delino DeShields_TEX",NA,NA,NA,0,NA
"Eric Hosmer_KC",NA,0,NA,NA,NA
"David Peralta_ARI",0,NA,0,NA,25
"Joe Mauer_MIN",NA,6,NA,NA,NA
"Cody Asche_CWS",NA,NA,NA,NA,NA
"Tim Anderson_CWS",NA,NA,NA,NA,NA
"Chase Headley_NYY",13,NA,24,10,NA
"Seth Smith_BAL",NA,7,NA,NA,NA
"Jedd Gyorko_STL",0,NA,NA,NA,NA
"Troy Tulowitzki_TOR",NA,0,NA,0,0
"Mallex Smith_TB",3,NA,NA,10,0
"Cameron Maybin_LAA",NA,NA,8,7,NA
"Jason Heyward_CHC",5,NA,5,NA,NA
"Stephen Vogt_OAK",NA,NA,0,5,NA
"Josh Reddick_HOU",NA,NA,3,5,NA
"Tyler Naquin_CLE",NA,NA,NA,NA,NA
"Kennys Vargas_MIN",NA,NA,NA,NA,NA
"Robbie Grossman_MIN",NA,8,NA,NA,NA
"Hyun Soo Kim_BAL",NA,NA,NA,NA,NA
"Yadier Molina_STL",10,NA,3,NA,NA
"Jose Peraza_CIN",NA,6,NA,0,NA
"Kendrys Morales_TOR",NA,4,NA,3,20
"Devon Travis_TOR",NA,6,NA,5,NA
"Brad Miller_TB",8,NA,0,0,7
"CJ Cron_LAA",NA,NA,NA,8,NA
"Travis Shaw_MIL",NA,12,16,16,NA
"Hernan Perez_MIL",NA,NA,NA,7,NA
"Albert Almora_CHC",NA,NA,3,NA,NA
"David Wright_NYM",NA,NA,NA,NA,NA
"Asdrubal Cabrera_NYM",NA,18,NA,2,5
"Jurickson Profar_TEX",NA,NA,NA,NA,NA
"Alex Gordon_KC",NA,3,NA,NA,NA
"Norichika Aoki_HOU",NA,NA,NA,NA,5
"Brandon Drury_ARI",3,NA,9,7,NA
"Chris Owings_ARI",8,NA,5,26,0
"Tyler Saladino_CWS",NA,NA,NA,NA,NA
"Eddie Rosario_MIN",NA,3,NA,NA,NA
"Byron Buxton_MIN",NA,0,NA,NA,NA
"Trey Mancini_BAL",NA,NA,NA,0,NA
"Scooter Gennett_CIN",NA,NA,NA,NA,NA
"Scott Schebler_CIN",NA,7,NA,0,NA
"Russell Martin_TOR",NA,4,NA,2,4
"Steven Souza_TB",2,NA,6,5,13
"Luis Valbuena_LAA",NA,NA,NA,NA,NA
"Miguel Montero_CHC",NA,NA,NA,NA,NA
"Orlando Arcia_MIL",NA,7,0,8,NA
"Jon Jay_CHC",NA,NA,NA,NA,NA
"Lucas Duda_NYM",NA,13,NA,2,NA
"Neil Walker_NYM",NA,4,NA,0,10
"Jay Bruce_NYM",NA,10,NA,22,4
"Michael Conforto_NYM",NA,NA,NA,NA,NA
"Josh Phegley_OAK",NA,NA,NA,NA,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA
"Brian McCann_HOU",NA,NA,14,NA,3
"Brandon Moss_KC",NA,0,NA,NA,NA
"Jorge Soler_KC",NA,NA,NA,NA,NA
"Lonnie Chisenhall_CLE",NA,NA,NA,NA,NA
"Abraham Almonte_CLE",NA,NA,NA,4,NA
"Jorge Polanco_MIN",NA,12,NA,NA,NA
"Avisail Garcia_CWS",NA,NA,NA,NA,NA
"Aaron Hicks_NYY",NA,NA,NA,NA,NA
"Jhonny Peralta_STL",3,NA,3,NA,NA
"Eugenio Suarez_CIN",NA,2,NA,0,NA
"Wilson Ramos_TB",NA,NA,NA,NA,NA
"Kevin Kiermaier_TB",21,NA,3,3,2
"Jefry Marte_LAA",NA,NA,9,NA,NA
"Mitch Haniger_SEA",NA,NA,7,11,21
"Marcell Ozuna_MIA",NA,5,NA,10,NA
"Robinson Chirinos_TEX",NA,NA,0,NA,NA
"Whit Merrifield_KC",NA,NA,NA,NA,NA
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA
"Peter O'Brien_KC",NA,NA,NA,NA,NA
"Derek Fisher_HOU",NA,NA,NA,NA,NA
"Brandon Guyer_CLE",NA,NA,5,2,NA
"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA
"Bradley Zimmer_CLE",NA,NA,NA,NA,NA
"Jacob May_CWS",NA,NA,NA,NA,NA
"JJ Hardy_BAL",NA,0,NA,0,NA
"Matt Adams_STL",NA,NA,NA,NA,NA
"Zack Cozart_CIN",NA,5,NA,8,NA
"Steve Pearce_TOR",NA,11,NA,0,0
"Colby Rasmus_TB",NA,NA,NA,NA,NA
"Corey Dickerson_TB",5,NA,NA,19,8
"Jesus Aguilar_MIL",NA,NA,5,NA,NA
"Ian Happ_CHC",NA,NA,NA,NA,NA
"Matt Szczur_CHC",NA,NA,NA,NA,NA
"JT Realmuto_MIA",NA,10,NA,23,NA
"Brett Nicholas_TEX",NA,NA,NA,NA,NA
"Yonder Alonso_OAK",NA,NA,7,3,NA
"Salvador Perez_KC",NA,3,NA,NA,NA
"Chris Herrmann_ARI",NA,NA,NA,NA,10
"Austin Jackson_CLE",NA,NA,10,0,NA
"Gleyber Torres_NYY",NA,NA,NA,NA,NA
"Craig Gentry_BAL",NA,NA,NA,NA,NA
"Joey Rickard_BAL",NA,NA,NA,0,NA
"Kolten Wong_STL",NA,NA,3,NA,NA
"Arismendy Alcantara_CIN",NA,NA,NA,NA,NA
"Logan Morrison_TB",24,NA,NA,8,5
"Matt Duffy_TB",NA,NA,NA,NA,NA
"Kevin Pillar_TOR",NA,7,NA,3,3
"Danny Valencia_SEA",NA,NA,8,0,2
"Yunel Escobar_LAA",NA,NA,5,4,NA
"Ben Revere_LAA",NA,NA,NA,NA,NA
"Martin Prado_MIA",NA,NA,NA,NA,NA
"Wilmer Flores_NYM",NA,NA,NA,NA,16
"Ryan Rua_TEX",NA,NA,2,NA,NA
"Jed Lowrie_OAK",NA,NA,24,0,NA
"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA
"Alcides Escobar_KC",NA,0,NA,NA,NA
"Yan Gomes_CLE",NA,NA,4,NA,NA
"Socrates Brito_ARI",NA,NA,NA,NA,NA
"Matt Davidson_CWS",NA,NA,NA,NA,NA
"Charlie Tilson_CWS",NA,NA,NA,NA,NA
"Austin Romine_NYY",NA,NA,NA,NA,NA
"Harrison Bader_STL",NA,NA,NA,NA,NA
"Taylor Motter_SEA",NA,NA,NA,NA,NA
"Andrelton Simmons_LAA",NA,NA,7,12,NA
"Leonys Martin_SEA",NA,NA,0,12,0
"Andrew Susac_MIL",NA,NA,NA,NA,NA
"Tommy La Stella_CHC",NA,NA,NA,NA,NA
"Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA
"Marwin Gonzalez_HOU",NA,NA,14,NA,16
"Mike Moustakas_KC",NA,14,NA,NA,NA
"Paulo Orlando_KC",NA,0,NA,NA,NA
"Billy Burns_KC",NA,NA,NA,NA,NA
"Giovanny Urshela_CLE",NA,NA,NA,NA,NA
"Danny Santana_MIN",NA,NA,NA,NA,NA
"Ronald Torreyes_NYY",2,NA,16,0,NA
"Jose Martinez_STL",NA,NA,NA,NA,NA
"Jesse Winker_CIN",NA,NA,NA,NA,NA
"Jake Bauers_TB",NA,NA,NA,NA,NA
"Tim Beckham_TB",7,NA,3,0,0
"Danny Espinosa_LAA",NA,NA,18,9,NA
"Travis d'Arnaud_NYM",NA,NA,NA,3,9
"Justin Bour_MIA",NA,0,NA,2,NA
"Jason Castro_MIN",NA,12,NA,NA,NA
"Patrick Kivlehan_CIN",NA,NA,NA,NA,NA
"Justin Smoak_TOR",NA,NA,NA,10,3
"Rowdy Tellez_TOR",NA,NA,NA,NA,NA
"Dalton Pompey_TOR",NA,NA,NA,NA,NA
"Jarrod Dyson_SEA",NA,NA,5,8,5
"Manny Pina_MIL",NA,NA,NA,0,NA
"Tyler Moore_MIA",NA,NA,NA,NA,NA
"Derek Dietrich_MIA",NA,0,NA,4,NA
"TJ Rivera_NYM",NA,NA,NA,NA,NA
"Brandon Nimmo_NYM",NA,NA,NA,NA,NA
"Hanser Alberto_TEX",NA,NA,NA,NA,NA
"Matt Joyce_OAK",NA,NA,0,3,NA
"Michael Martinez_CLE",NA,NA,NA,NA,NA
"Yandy Diaz_CLE",NA,NA,0,10,NA
"Leury Garcia_CWS",NA,NA,NA,NA,NA
"Eduardo Escobar_MIN",NA,NA,NA,NA,NA
"Ryan Flaherty_BAL",NA,NA,NA,NA,NA
"Greg Garcia_STL",NA,NA,NA,NA,NA
"Jarrod Saltalamacchia_TOR",NA,NA,NA,NA,NA
"Mike Zunino_SEA",NA,NA,3,5,NA
"Ben Gamel_SEA",NA,NA,NA,NA,NA
"Jett Bandy_MIL",NA,5,6,NA,NA
"Adam Rosales_OAK",NA,NA,NA,NA,NA
"Ryan O'Hearn_KC",NA,NA,NA,NA,NA
"Jake Marisnick_HOU",NA,NA,NA,0,0
"Chris Iannetta_ARI",NA,NA,NA,5,NA
"Geovany Soto_CWS",NA,NA,NA,NA,NA
"Caleb Joseph_BAL",NA,NA,NA,NA,NA
"Devin Mesoraco_CIN",NA,NA,NA,NA,NA
"Ezequiel Carrera_TOR",NA,10,NA,NA,NA
"Guillermo Heredia_SEA",NA,NA,NA,NA,NA
"Juan Lagares_NYM",NA,NA,NA,NA,NA
"Drew Robinson_TEX",NA,NA,NA,NA,NA
"Terrance Gore_KC",NA,NA,NA,NA,NA
"Roberto Perez_CLE",NA,NA,NA,5,NA
"Daniel Descalso_ARI",NA,NA,NA,NA,3
"Omar Narvaez_CWS",NA,NA,NA,NA,NA
"Pete Kozma_NYY",NA,NA,NA,NA,NA
"Tucker Barnhart_CIN",NA,5,NA,5,NA
"Carson Kelly_STL",NA,NA,NA,NA,NA
"Stuart Turner_CIN",NA,NA,NA,NA,NA
"Curt Casali_TB",NA,NA,NA,NA,NA
"Shawn O'Malley_SEA",NA,NA,NA,NA,NA
"Destin Hood_MIA",NA,NA,NA,NA,NA
"Christian Colon_KC",NA,NA,NA,NA,NA
"Nick Ahmed_ARI",NA,NA,NA,7,NA
"Chris Gimenez_MIN",NA,NA,NA,NA,NA
"Yolmer Sanchez_CWS",NA,NA,NA,NA,NA
"Ehire Adrianza_MIN",NA,NA,NA,NA,NA
"Derek Norris_TB",3,NA,0,14,NA
"Daniel Robertson_TB",NA,NA,0,NA,NA
"Carlos Ruiz_SEA",NA,NA,NA,NA,4
"Eloy Jimenez_CHC",NA,NA,NA,NA,NA
"Adeiny Hechavarria_MIA",NA,0,NA,3,NA
"Ichiro Suzuki_MIA",NA,NA,NA,NA,NA
"Eric Fryer_STL",NA,NA,NA,NA,NA
"Luke Maile_TB",NA,NA,NA,NA,NA
"Darwin Barney_TOR",NA,NA,NA,NA,10
"Peter Bourjos_TB",NA,NA,2,NA,NA
"Martin Maldonado_LAA",NA,NA,9,5,NA
"Carlos Perez_LAA",NA,NA,NA,NA,NA
"Rene Rivera_NYM",NA,3,NA,NA,NA
"AJ Ellis_MIA",NA,NA,NA,NA,NA
"Ty Kelly_NYM",NA,NA,NA,NA,NA
"Raul Mondesi_KC",NA,0,NA,NA,NA
"Jeff Mathis_ARI",18,NA,0,NA,4
"Jesus Sucre_TB",NA,NA,NA,NA,0
"Ryan Goins_TOR",NA,NA,NA,NA,NA
"Zack Collins_CWS",NA,NA,NA,NA,NA
"Rickie Weeks_TB",NA,NA,0,NA,NA
"Cliff Pennington_LAA",NA,NA,NA,NA,NA
"Miguel Rojas_MIA",NA,NA,NA,NA,NA
"Drew Butera_KC",NA,NA,NA,NA,NA
