"","X.1","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06","X2017.04.07","X2017.04.08","X2017.04.09","X2017.04.10","X2017.04.11","X2017.04.12","X2017.04.13","X2017.04.14","X2017.04.15","X2017.04.16","X2017.04.17","X2017.04.18","X2017.04.19"
"18",18,"Adam Jones_BAL",NA,9,NA,16,NA,9,7,5,NA,5,17,0,10,3,7,NA,18,5
"19",19,"Daniel Murphy_WAS",NA,8,NA,10,NA,NA,17,3,3,37,3,NA,NA,0,5,NA,0,6
"20",20,"Trea Turner_WAS",NA,10,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7,7,NA,2,2,3,23,2,14
"22",22,"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3,10,0,NA,29,8,0,2
"24",24,"Adam Duvall_CIN",NA,8,NA,7,NA,0,0,26,16,21,7,0,0,NA,4,NA,27,0
"25",25,"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5,16,NA,12,5,8,40,10,23
"26",26,"Yoenis Cespedes_NYM",NA,4,NA,5,9,14,2,5,0,51,11,32,NA,0,5,NA,7,9
"27",27,"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Billy Hamilton_CIN",NA,10,NA,7,NA,13,NA,7,23,5,7,10,0,0,2,NA,17,7
"29",29,"Randal Grichuk_STL",23,NA,0,NA,NA,0,3,5,0,14,NA,NA,9,0,2,13,0,NA
"30",30,"Jonathan Lucroy_TEX",NA,NA,NA,5,NA,3,0,NA,NA,24,7,NA,0,3,11,0,0,NA
"31",31,"Alex Gordon_KC",NA,3,NA,NA,NA,14,11,6,0,NA,2,5,5,7,0,NA,7,3
"32",32,"Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10,5,7,NA,8,9,7,2,0,20
"33",33,"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8,21,0,2,0,7,9,0,3
"34",34,"Brandon Moss_KC",NA,0,NA,NA,NA,8,NA,14,2,NA,0,2,5,14,NA,NA,11,NA
"35",35,"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0,16,14,6,2,2,20,0,2
"36",36,"Jorge Soler_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"AJ Pollock_ARI",24,NA,10,17,11,0,NA,0,0,5,10,NA,0,NA,4,16,15,13
"38",38,"Jedd Gyorko_STL",0,NA,NA,NA,NA,NA,18,0,NA,3,8,NA,NA,14,7,NA,NA,2
"39",39,"Whit Merrifield_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
"40",40,"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21,19,17,11,0,3,3,20,0
"41",41,"Peter O'Brien_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"Jonathan Schoop_BAL",NA,0,NA,5,NA,7,2,2,NA,2,19,14,17,7,10,NA,5,5
"43",43,"Jose Peraza_CIN",NA,6,NA,0,NA,0,NA,9,13,12,22,8,0,0,NA,NA,20,0
"44",44,"Jake Lamb_ARI",0,NA,20,7,20,12,9,5,3,21,20,NA,NA,5,6,16,9,3
"45",45,"Adam Eaton_WAS",NA,16,NA,11,NA,NA,2,5,23,5,10,NA,NA,NA,15,NA,5,21
"46",46,"Khris Davis_OAK",NA,NA,2,5,NA,14,7,8,16,NA,8,0,14,22,NA,0,2,23
"47",47,"Yadier Molina_STL",10,NA,3,NA,NA,0,9,3,10,4,NA,NA,2,0,14,NA,0,3
"48",48,"Keon Broxton_MIL",NA,7,2,NA,NA,NA,NA,0,NA,24,7,3,4,0,NA,0,0,0
"49",49,"Jose Reyes_NYM",NA,4,NA,0,5,0,NA,0,0,7,0,NA,7,2,2,NA,5,2
"50",50,"Salvador Perez_KC",NA,3,NA,NA,NA,19,14,14,3,NA,5,5,16,0,6,NA,3,10
"51",51,"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA,8,7,16,5,0,19,23,2,0
"52",52,"Welington Castillo_BAL",NA,8,NA,3,NA,0,7,NA,NA,6,19,5,NA,3,0,NA,10,5
"53",53,"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA,14,10,4,NA,0,NA,6,0,23,NA
"54",54,"Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,"Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA,5,23,21,32,18,26,17,8
"56",56,"Domingo Santana_MIL",NA,9,11,NA,NA,0,NA,16,NA,19,10,8,7,6,NA,10,4,NA
"57",57,"Curtis Granderson_NYM",NA,5,NA,0,3,10,0,NA,3,13,NA,5,4,12,0,NA,NA,0
"58",58,"Cheslor Cuthbert_KC",NA,NA,NA,NA,NA,NA,17,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0
"59",59,"Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA,2,16,12,5,5,0,4,0,16
"60",60,"Alcides Escobar_KC",NA,0,NA,NA,NA,10,4,3,0,NA,3,6,2,0,11,NA,0,5
"61",61,"Scooter Gennett_CIN",NA,NA,NA,NA,NA,2,0,NA,16,28,NA,NA,NA,14,NA,NA,3,NA
"62",62,"Seth Smith_BAL",NA,7,NA,NA,NA,23,8,NA,NA,NA,4,NA,16,7,NA,NA,4,NA
"63",63,"Scott Schebler_CIN",NA,7,NA,0,NA,16,NA,11,4,0,7,0,NA,19,3,NA,0,7
"64",64,"Ryan Schimpf_SD",NA,17,5,0,NA,NA,NA,4,4,2,20,NA,4,0,20,4,2,0
"65",65,"Anthony Rendon_WAS",NA,NA,NA,0,NA,NA,6,0,2,NA,3,NA,NA,5,12,NA,2,11
"66",66,"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA,14,16,0,NA,NA,2,NA,12
"67",67,"Maikel Franco_PHI",NA,7,NA,3,NA,NA,11,4,8,16,23,NA,NA,2,0,NA,2,2
"68",68,"Mike Moustakas_KC",NA,14,NA,NA,NA,7,NA,17,0,NA,7,7,20,14,NA,NA,3,8
"69",69,"Paulo Orlando_KC",NA,0,NA,NA,NA,2,0,7,0,NA,NA,3,5,0,0,NA,NA,13
"70",70,"Billy Burns_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"Hyun Soo Kim_BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,"Eugenio Suarez_CIN",NA,2,NA,0,NA,NA,21,10,27,10,19,0,5,17,16,NA,NA,3
"73",73,"Yangervis Solarte_SD",NA,5,19,0,NA,NA,2,20,2,2,12,NA,2,0,0,5,0,2
"74",74,"David Peralta_ARI",0,NA,0,NA,25,6,16,8,2,0,13,NA,NA,0,0,21,10,0
"75",75,"Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18,12,15,8,NA,8,8,24,3,7,27
"76",76,"Jhonny Peralta_STL",3,NA,3,NA,NA,0,NA,0,5,0,NA,NA,2,2,NA,NA,NA,NA
"77",77,"Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA,12,0,0,7,NA,14,0,35,16
"78",78,"Hernan Perez_MIL",NA,NA,NA,7,NA,3,NA,0,NA,3,NA,NA,NA,26,2,NA,NA,5
"79",79,"David Wright_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,"Asdrubal Cabrera_NYM",NA,18,NA,2,5,5,3,5,9,31,7,3,0,16,NA,NA,2,7
"81",81,"Delino DeShields_TEX",NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"82",82,"Zack Cozart_CIN",NA,5,NA,8,NA,15,8,12,NA,NA,9,9,18,19,0,NA,11,2
"83",83,"Manuel Margot_SD",NA,7,13,2,NA,NA,14,3,10,19,7,NA,5,0,0,7,0,NA
"84",84,"Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA,8,30,NA,21,5,21,8,0,5
"85",85,"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11,3,14,18,NA,3,4,9
"86",86,"Orlando Arcia_MIL",NA,7,0,8,NA,3,0,NA,NA,0,0,11,12,2,5,0,14,8
"87",87,"Matt Adams_STL",NA,NA,NA,NA,NA,NA,6,3,NA,NA,0,NA,3,NA,0,NA,NA,NA
"88",88,"Lucas Duda_NYM",NA,13,NA,2,NA,NA,14,6,4,36,0,NA,21,NA,0,NA,4,0
"89",89,"Neil Walker_NYM",NA,4,NA,0,10,3,0,5,4,12,5,5,NA,12,9,NA,0,3
"90",90,"Jay Bruce_NYM",NA,10,NA,22,4,2,3,16,34,7,3,11,5,NA,0,NA,5,39
"91",91,"Odubel Herrera_PHI",NA,9,NA,8,NA,NA,11,3,5,3,4,NA,NA,7,NA,NA,19,5
"92",92,"Michael Conforto_NYM",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,23,NA,5,NA,NA,NA,4,NA
"93",93,"Trey Mancini_BAL",NA,NA,NA,0,NA,NA,NA,4,NA,5,34,5,NA,NA,35,NA,NA,3
"94",94,"Arismendy Alcantara_CIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"95",95,"Brandon Drury_ARI",3,NA,9,7,NA,15,21,2,0,0,5,NA,0,7,3,NA,4,3
"96",96,"Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA,6,4,0,NA
"97",97,"Alex Dickerson_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"Hunter Renfroe_SD",NA,0,3,14,NA,NA,10,0,19,0,5,NA,0,17,3,0,6,0
"99",99,"Jayson Werth_WAS",NA,0,NA,6,NA,NA,10,6,12,14,0,NA,NA,NA,3,NA,0,5
"100",100,"Danny Valencia_SEA",NA,NA,8,0,2,3,5,2,2,3,NA,NA,2,8,10,2,0,NA
"101",101,"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12,3,0,0,NA,NA,NA,10
"102",102,"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13,0,9,NA,NA,NA,NA,NA
"103",103,"Kolten Wong_STL",NA,NA,3,NA,NA,3,6,NA,9,NA,0,NA,0,NA,NA,14,5,0
"104",104,"Nick Franklin_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0
"105",105,"Tommy Joseph_PHI",NA,0,NA,0,NA,NA,14,7,NA,0,5,NA,NA,3,5,NA,7,0
"106",106,"Jurickson Profar_TEX",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,9,5,NA,7,4,2,0
"107",107,"Craig Gentry_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,21,NA,NA,NA
"108",108,"Cory Spangenberg_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,"Nick Markakis_ATL",NA,0,NA,12,3,NA,11,10,NA,14,5,NA,11,5,9,0,5,8
"110",110,"Michael Taylor_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"111",111,"Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA,4,NA,17,21,NA,3,20,2,17,0,2
"112",112,"Leonys Martin_SEA",NA,NA,0,12,0,NA,0,3,8,0,0,NA,NA,5,12,10,NA,4
"113",113,"Jesus Aguilar_MIL",NA,NA,5,NA,NA,10,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,"Harrison Bader_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"Ryan O'Hearn_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",116,"JJ Hardy_BAL",NA,0,NA,0,NA,3,0,7,NA,0,6,5,16,NA,19,NA,0,5
"117",117,"Jesse Winker_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"119",119,"Ryan Zimmerman_WAS",NA,6,NA,18,NA,NA,2,NA,22,3,8,NA,NA,0,NA,NA,12,26
"120",120,"Brandon Phillips_ATL",NA,3,NA,5,0,NA,19,6,NA,24,4,NA,3,14,24,5,3,5
"121",121,"Adonis Garcia_ATL",NA,0,NA,9,3,NA,5,5,NA,5,0,NA,0,17,4,3,0,3
"122",122,"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10,0,NA,5,NA,5,0,NA
"123",123,"Jose Martinez_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3,NA,5,5,5
"124",124,"Wilmer Flores_NYM",NA,NA,NA,NA,16,5,0,NA,NA,NA,NA,19,0,3,3,NA,NA,NA
"125",125,"Michael Saunders_PHI",NA,9,NA,NA,NA,NA,26,0,8,2,2,NA,NA,3,NA,NA,8,10
"126",126,"Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA,NA,25,NA,NA,NA,18,NA,NA,NA,NA,NA,0
"127",127,"Terrance Gore_KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"Joey Rickard_BAL",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"130",130,"Travis Jankowski_SD",NA,5,4,2,NA,NA,NA,6,0,3,NA,NA,9,NA,0,0,10,3
"131",131,"Dansby Swanson_ATL",NA,3,NA,3,0,NA,7,14,NA,2,3,NA,0,5,0,7,0,0
"132",132,"Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA,9,7,9,NA,13,2,NA,13,0,7
"133",133,"Andrew Susac_MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,"Greg Garcia_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,8,0,7,0
"135",135,"Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA,NA,4,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA
"136",136,"Aaron Altherr_PHI",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,11
"137",137,"Brett Nicholas_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",138,"Christian Colon_KC",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"139",139,"Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",140,"Matt Wieters_WAS",NA,5,NA,17,NA,NA,0,NA,14,21,0,NA,NA,NA,0,NA,9,7
"141",141,"Adam Lind_WAS",NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"142",142,"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA,NA,NA,NA,11
"143",143,"Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA,7,NA,3,NA,0,5,NA,0,NA,11
"144",144,"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,0,3,NA,NA,NA,NA,NA
"145",145,"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",146,"Travis d'Arnaud_NYM",NA,NA,NA,3,9,NA,2,NA,0,28,4,40,NA,NA,5,NA,0,0
"147",147,"Cesar Hernandez_PHI",NA,14,NA,0,NA,NA,23,12,5,10,8,NA,NA,21,29,NA,11,5
"148",148,"Freddy Galvis_PHI",NA,21,NA,0,NA,NA,2,8,3,0,0,NA,NA,9,5,NA,5,13
"149",149,"Howie Kendrick_PHI",NA,11,NA,2,NA,NA,31,9,7,7,0,NA,NA,5,NA,NA,NA,NA
"150",150,"Ryan Rua_TEX",NA,NA,2,NA,NA,NA,0,14,NA,0,NA,NA,NA,0,NA,NA,NA,NA
"151",151,"Devin Mesoraco_CIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",152,"Jace Peterson_ATL",NA,NA,NA,NA,NA,NA,13,7,NA,NA,5,NA,2,NA,0,3,2,0
"153",153,"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11,NA,0,4,21
"154",154,"Manny Pina_MIL",NA,NA,NA,0,NA,5,NA,NA,NA,11,NA,5,24,NA,7,NA,7,NA
"155",155,"Carson Kelly_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",156,"Rhys Hoskins_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,"TJ Rivera_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"158",158,"Brandon Nimmo_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",159,"Raul Mondesi_KC",NA,0,NA,NA,NA,13,NA,2,3,NA,18,5,0,0,NA,NA,2,NA
"160",160,"Tucker Barnhart_CIN",NA,5,NA,5,NA,3,7,NA,0,3,17,0,NA,4,3,NA,7,3
"161",161,"Ryan Flaherty_BAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"162",162,"Christian Bethancourt_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,"Austin Hedges_SD",NA,0,0,2,NA,NA,2,2,NA,0,3,NA,5,19,NA,23,0,0
"164",164,"Tyler Flowers_ATL",NA,3,NA,NA,3,NA,NA,8,NA,4,8,NA,10,NA,12,NA,NA,NA
"165",165,"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5,NA,2,2,NA
"166",166,"Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA,24,NA,0,NA
"167",167,"Eric Fryer_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA
"168",168,"Jett Bandy_MIL",NA,5,6,NA,NA,NA,16,7,NA,NA,5,NA,NA,0,NA,22,NA,16
"169",169,"Cameron Rupp_PHI",NA,0,NA,3,NA,NA,18,NA,4,2,0,NA,NA,NA,7,NA,8,7
"170",170,"Daniel Nava_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,7,NA
"171",171,"Hanser Alberto_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,"Caleb Joseph_BAL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"173",173,"Erick Aybar_SD",NA,NA,15,2,NA,NA,NA,3,0,3,2,NA,4,0,2,NA,2,14
"174",174,"Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,"Andrew Knapp_PHI",NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"177",177,"Juan Lagares_NYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"178",178,"Patrick Kivlehan_CIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
"179",179,"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA,NA,NA,7,NA,NA,NA,NA,16,NA,14,NA
"180",180,"Luis Sardinas_SD",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
"181",181,"Allen Cordoba_SD",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,0
"182",182,"Micah Johnson_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",183,"Stephen Drew_WAS",NA,0,NA,NA,NA,NA,NA,0,25,0,NA,NA,NA,NA,NA,NA,NA,NA
"184",184,"Chase d'Arnaud_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
"185",185,"Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA,NA,12,NA,4,NA,NA,NA,NA,0,NA,0,NA
"186",186,"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA,NA,10,NA,NA,NA,NA,0,4,NA,0,NA,NA
"187",187,"Jabari Blash_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"188",188,"Rio Ruiz_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",189,"Wilmer Difo_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,0,3,NA,7,14
"190",190,"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2,NA,0,0,NA
"191",191,"Brock Stassi_PHI",NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,0,NA,NA,NA
"192",192,"Drew Butera_KC",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"193",193,"Hector Sanchez_SD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"194",194,"Nick Ahmed_ARI",NA,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,3,23,NA,NA,NA,0
"195",195,"Chris Heisey_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
"196",196,"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3,2,NA,0,19,3
"197",197,"Andres Blanco_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",198,"Drew Robinson_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",199,"Jose Lobaton_WAS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"200",200,"Kurt Suzuki_ATL",NA,NA,NA,5,NA,NA,6,NA,NA,NA,NA,NA,NA,0,NA,5,4,NA
"201",201,"Chad Pinder_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"202",202,"Mike Freeman_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"203",203,"Rene Rivera_NYM",NA,3,NA,NA,NA,8,NA,0,NA,NA,NA,NA,6,0,NA,NA,NA,NA
"204",204,"Jeff Mathis_ARI",18,NA,0,NA,4,NA,5,NA,5,NA,0,NA,0,NA,NA,0,NA,0
"205",205,"Stuart Turner_CIN",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"206",206,"Bruce Maxwell_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",207,"Jaff Decker_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3
"208",208,"Luis Torrens_SD",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",209,"Anthony Recker_ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"210",210,"Grant Green_WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
