"Charlie Blackmon_COL","Nolan Arenado_COL","Mookie Betts_BOS","Andrew McCutchen_PIT","Mike Trout_LAA","Josh Bell_PIT","Starling Marte_PIT","Mark Reynolds_COL","Gerardo Parra_COL","Josh Harrison_PIT","Gregory Polanco_PIT","Trevor Story_COL","Dustin Pedroia_BOS","DJ LeMahieu_COL","Adam Frazier_PIT","Ian Desmond_COL","David Freese_PIT","Jordy Mercer_PIT","David Dahl_COL","Xander Bogaerts_BOS","Andrew Benintendi_BOS","Hanley Ramirez_BOS","Carlos Gonzalez_COL","Jose Osuna_PIT","Jackie Bradley_BOS","Francisco Cervelli_PIT","Raimel Tapia_COL","Pat Valaika_COL","Cameron Maybin_LAA","Mitch Moreland_BOS","Chris Young_BOS","Danny Ortiz_PIT","Elias Diaz_PIT","Albert Pujols_LAA","Jefry Marte_LAA","Andrelton Simmons_LAA","Jordan Patterson_COL","Jhonny Peralta_BOS","Mike Tauchman_COL","Ben Revere_LAA","Nick Franklin_LAA","Brock Holt_BOS","CJ Cron_LAA","Alexi Amarista_COL","Stephen Cardullo_COL","Jacob Stallings_PIT","Tom Murphy_COL","Max Moroff_PIT","Yunel Escobar_LAA","Kole Calhoun_LAA","Gift Ngoepe_PIT","Cristhian Adames_COL","Martin Maldonado_LAA","Pablo Sandoval_BOS","Luis Valbuena_LAA","Danny Espinosa_LAA","Ryan Hanigan_COL","John Jaso_PIT","Tony Wolters_COL","Kevin Newman_PIT","John Bormann_PIT","Steve Selsky_BOS","Marco Hernandez_BOS","Chris Stewart_PIT","Eric Young_LAA","Deven Marrero_BOS","Josh Rutledge_BOS","Sam Travis_BOS","Tzu-Wei Lin_BOS","David Fletcher_LAA","Dustin Garneau_COL","Phil Gosselin_PIT","Chris Bostick_PIT","Sandy Leon_BOS","Christian Vazquez_BOS","Nolan Fontana_LAA","Cliff Pennington_LAA","Carlos Perez_LAA","Juan Graterol_LAA","Shane Robinson_LAA","Kaleb Cowart_LAA"
0,0,17.0695488721805,0,0,0,0,0,0,0,0,0,11.3104895104895,0,0,0,0,0,0,10.2173913043478,82.7737747484583,6.69592808038075,0,0,14.2778952934955,0,0,0,0,17.8883181126332,7.60396825396825,0,0,0,0,0,0,0,0,0,0,-6.78571428571429,0,0,0,0,0,0,0,0,0,0,0,10.5036231884058,0,0,0,0,0,0,0,0,4.07142857142857,0,0,-5.78490028490029,6.36842105263158,0,64.6444444444444,0,0,0,0,18.1920341394026,16.1396341463415,0,0,0,0,0,0
0,0,22.3972602739726,0,0,0,0,0,0,0,0,0,18.6067755595886,0,0,0,0,0,0,-0.56233538191396,6.69592808038075,50.6227323213625,0,0,3.9635593220339,0,0,0,0,-1.13728813559322,9.51693121693122,0,0,0,0,0,0,0,0,0,0,7.93333333333333,0,0,0,0,0,0,0,0,0,0,0,-2.67368421052632,0,0,0,0,0,0,0,0,-3.1025641025641,0,0,-10.935632183908,-5.6797385620915,-23.1428571428571,43.8444444444444,0,0,0,0,18.5714285714286,-6.69630156472262,0,0,0,0,0,0
7.29393939393939,1.875,0,0,0,0,0,14.2199032062916,12.6724137931034,0,0,2.69529411764706,0,3.65514592933948,0,4.85960960960961,0,0,0,0,0,0,40.8733538191396,0,0,0,-11.5416666666667,19.521978021978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0448717948718,-7.66666666666667,0,0,0,0,0,0,0,0,0,0,0,14.0444444444444,0,3.67607973421927,0,0,0,0,0,0,0,0,0,0,0,-2.86363636363636,0,0,0,0,0,0,0,0,0,0
0,0,0,19.5289855072464,0,-19.7236842105263,0,0,0,8.90333333333333,-4.41190476190476,0,0,0,-18.15,0,13.7,21.375,0,0,0,0,0,51.7122507122507,0,5.84761904761905,0,0,0,0,0,0,32.8666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9333333333333,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8.98474178403756,0,0,0,0,0,0,0,0,0,2.34586466165414,0,0,0,0,0,0,4.71794871794872,14.2778952934955,3.9635593220339,0,0,54.2413920770085,0,0,0,0,2.68907103825137,8.97780797101449,0,0,0,0,0,0,0,0,0,0,7.71428571428571,0,0,0,0,0,0,0,0,0,0,0,0.566666666666667,0,0,0,0,0,0,0,0,3.98181818181818,0,0,21.458110516934,-7.35930735930736,56.2361111111111,28.1333333333333,0,0,0,0,8.66666666666667,7.97884615384615,0,0,0,0,0,0
0,0,0,9.33473095737247,0,2.03018707482993,30,0,0,15.969387755102,-10.25,0,0,0,10.9318181818182,0,7.24358974358974,9.52865761689291,0,0,0,0,0,5.84761904761905,0,33.9515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,2.98333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.1184210526316,7.85,0,0,0,0,0,-4.95424836601307,2.5,0,0,0.669117647058823,0,4.04779411764706,0,28.7424242424242,0,0,0,0,0,0,-11.5416666666667,0,0,0,59.1285714285714,-73.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,26.8333333333333,0,-8.64835164835165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,38.7032967032967,0,0,0,0,0,15.0477941176471,-5.7,0,0,17.1666666666667,0,13.5,0,-25.9469696969697,0,0,0,0,0,0,19.521978021978,0,0,0,-73.5,95.3602941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97619047619048,0,1.1,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12.2674253200569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.4325051759834,0,0,0,0,10.4032258064516,7.28458498023715,15.4526854219949,0,0,0,-0.104761904761905,2.83333333333333,0,5.73099415204678,0,0,0,0,0,9.51415094339623,11.9009324009324,0,0,3.58076225045372,0,9.81507823613087,13.7325680272109,0,0,0,0,0,0,0,0,15.4166666666667,0,0,0,0,0,0,0,0,0,0,-13.4166666666667,18.9333333333333,0,1.61818181818182,0,0
0,0,0.435024065161051,0,0,0,0,0,0,0,0,0,-2.62823902696986,0,0,0,0,0,0,6.92361720807726,17.8883181126332,-1.13728813559322,0,0,2.68907103825137,0,0,0,0,45.7156140350877,7.13931623931624,0,0,0,0,0,0,0,0,0,0,-8.16666666666667,0,0,0,0,0,0,0,0,0,0,0,-2.47282608695652,0,0,0,0,0,0,0,0,-1.5125,0,0,-19.536231884058,18.2397660818713,0,5.31111111111111,0,0,0,0,10.8380952380952,6.46538461538462,0,0,0,0,0,0
