P,P,C,1B,2B,3B,SS,OF,OF,OF
Johnny Cueto,Dylan Bundy,Austin Hedges,Wil Myers,Yangervis Solarte,Manny Machado,Erick Aybar,Nelson Cruz,David Peralta,Hunter Renfroe
Cole Hamels,Luis Severino,Travis d'Arnaud,Jay Bruce,Neil Walker,Anthony Rendon,Trea Turner,Bryce Harper,Yoenis Cespedes,Curtis Granderson
Jon Lester,James Paxton,Jose Lobaton,Danny Valencia,Robinson Cano,Anthony Rendon,Taylor Motter,Adam Eaton,Nelson Cruz,Guillermo Heredia
Cole Hamels,Robert Gsellman,Jose Lobaton,Mark Reynolds,Yangervis Solarte,Nolan Arenado,Trevor Story,Carlos Gonzalez,Gerardo Parra,Jabari Blash
Julio Teheran,Luis Severino,Willson Contreras,Anthony Rizzo,Yangervis Solarte,Kris Bryant,Addison Russell,Bryce Harper,Giancarlo Stanton,Jason Heyward
Cole Hamels,Tyler Glasnow,Derek Norris,Wil Myers,Brad Miller,Evan Longoria,Trea Turner,Corey Dickerson,Kevin Kiermaier,Manuel Margot
Robert Gsellman,Tyler Glasnow,Welington Castillo,Chris Davis,Cory Spangenberg,Manny Machado,Trea Turner,Bryce Harper,Mark Trumbo,Adam Jones
Cole Hamels,James Paxton,Austin Hedges,Mike Napoli,Rougned Odor,Jake Lamb,Elvis Andrus,Bryce Harper,Carlos Gomez,Delino DeShields
Robert Gsellman,Hector Santiago,Mike Zunino,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Taylor Motter,Bryce Harper,Charlie Blackmon,Carlos Gonzalez
Cole Hamels,Robert Gsellman,Austin Hedges,Tommy Joseph,Cesar Hernandez,Maikel Franco,Trea Turner,Bryce Harper,Odubel Herrera,Aaron Altherr
Dylan Bundy,Matt Shoemaker,Austin Hedges,Mark Reynolds,Cory Spangenberg,Nolan Arenado,Trevor Story,Carlos Gonzalez,Gerardo Parra,Manuel Margot
Cole Hamels,James Paxton,Tyler Flowers,Freddie Freeman,Cory Spangenberg,Adonis Garcia,Trea Turner,Bryce Harper,Matt Kemp,Nick Markakis
James Paxton,Luis Severino,Buster Posey,Paul Goldschmidt,Daniel Murphy,Jake Lamb,Elvis Andrus,AJ Pollock,David Peralta,Yasmany Tomas
Jon Lester,Cole Hamels,Austin Hedges,Anthony Rizzo,Robinson Cano,Chase Headley,Jean Segura,Nelson Cruz,Jarrod Dyson,Guillermo Heredia
Alex Wood,Wei-Yin Chen,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Xander Bogaerts,Carlos Gonzalez,Jayson Werth,Hunter Renfroe
Cole Hamels,James Paxton,Yasmani Grandal,Adrian Gonzalez,Chase Utley,Justin Turner,Trea Turner,Bryce Harper,Adam Eaton,Yasiel Puig
Matt Shoemaker,Tyler Glasnow,Jose Lobaton,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Erick Aybar,Bryce Harper,Carlos Gonzalez,Gerardo Parra
Cole Hamels,James Paxton,Francisco Cervelli,Wil Myers,Josh Harrison,Jake Lamb,Jordy Mercer,Bryce Harper,Andrew McCutchen,Gregory Polanco
Jon Lester,Sean Manaea,Willson Contreras,Anthony Rizzo,Cory Spangenberg,Kris Bryant,Addison Russell,AJ Pollock,Manuel Margot,Jason Heyward
Cole Hamels,James Paxton,Austin Romine,Matt Holliday,Daniel Murphy,Chase Headley,Ronald Torreyes,Bryce Harper,Brett Gardner,Manuel Margot
Jon Lester,Dylan Bundy,Mike Zunino,Danny Valencia,Yangervis Solarte,Nolan Arenado,Taylor Motter,Adam Eaton,Nelson Cruz,Ben Gamel
Cole Hamels,Matt Shoemaker,Buster Posey,Paul Goldschmidt,Brandon Drury,Jake Lamb,Jean Segura,Mike Trout,David Peralta,Yasmany Tomas
Luis Severino,Matt Shoemaker,Austin Hedges,Wil Myers,Yangervis Solarte,Kris Bryant,Erick Aybar,Carlos Gonzalez,AJ Pollock,Hunter Renfroe
Cole Hamels,Hector Santiago,Mike Zunino,Logan Morrison,Brad Miller,Evan Longoria,Trea Turner,Bryce Harper,Steven Souza,Kevin Kiermaier
Julio Teheran,Daniel Norris,Francisco Cervelli,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Bryce Harper,Andrew Toles,Matt Joyce
Cole Hamels,Tyler Glasnow,Stephen Vogt,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Elvis Andrus,Charlie Blackmon,Carlos Gonzalez,Jaff Decker
Jon Lester,Alex Cobb,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Jorge Polanco,Jayson Werth,Jason Heyward,Guillermo Heredia
Cole Hamels,James Paxton,Jose Lobaton,Jay Bruce,Neil Walker,Nolan Arenado,Asdrubal Cabrera,Bryce Harper,Yoenis Cespedes,Michael Conforto
Luis Severino,Sean Manaea,Buster Posey,Anthony Rizzo,Daniel Murphy,Kris Bryant,Addison Russell,Charlie Blackmon,Kyle Schwarber,Jason Heyward
Jon Lester,Cole Hamels,Mike Zunino,Mark Reynolds,Daniel Murphy,Jake Lamb,Jean Segura,Jarrod Dyson,Ben Gamel,Guillermo Heredia
Julio Teheran,Sean Manaea,Jose Lobaton,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Addison Russell,Mookie Betts,Jayson Werth,Jabari Blash
Cole Hamels,James Paxton,Buster Posey,Brandon Belt,Daniel Murphy,Eduardo Nunez,Christian Arroyo,Bryce Harper,Manuel Margot,Hunter Pence
James Paxton,Robert Gsellman,Tony Wolters,Mark Reynolds,Daniel Murphy,Jake Lamb,Trevor Story,Carlos Gonzalez,Gerardo Parra,Manuel Margot
Jon Lester,Cole Hamels,Martin Maldonado,Wil Myers,Danny Espinosa,Yunel Escobar,Trea Turner,Manuel Margot,Kole Calhoun,Cameron Maybin
Jon Lester,Robert Gsellman,Mike Zunino,Anthony Rizzo,Cory Spangenberg,Kris Bryant,Addison Russell,Adam Eaton,Kyle Schwarber,Jon Jay
Jon Lester,Cole Hamels,Buster Posey,Danny Valencia,Robinson Cano,Jake Lamb,Taylor Motter,Nelson Cruz,Manuel Margot,Ben Gamel
Jon Lester,Robert Gsellman,Sandy Leon,Mitch Moreland,Daniel Murphy,Jake Lamb,Xander Bogaerts,Mookie Betts,Manuel Margot,Andrew Benintendi
Cole Hamels,Dylan Bundy,Robinson Chirinos,Wil Myers,Daniel Murphy,Jake Lamb,Elvis Andrus,Shin-Soo Choo,Carlos Gomez,Delino DeShields
Tyler Glasnow,Hector Santiago,Mike Zunino,Mark Reynolds,Daniel Murphy,Nolan Arenado,Trevor Story,Adam Eaton,Carlos Gonzalez,Gerardo Parra
Cole Hamels,Hector Santiago,JT Realmuto,Anthony Rizzo,Martin Prado,Nolan Arenado,Jean Segura,Giancarlo Stanton,Christian Yelich,Marcell Ozuna
Jon Lester,Robert Gsellman,Jeff Mathis,Wil Myers,Brandon Drury,Jake Lamb,Chris Owings,Bryce Harper,Yasmany Tomas,Manuel Margot
Cole Hamels,Dylan Bundy,Austin Romine,Greg Bird,Cory Spangenberg,Nolan Arenado,Ronald Torreyes,Bryce Harper,Brett Gardner,Aaron Judge
Johnny Cueto,Luis Severino,Austin Hedges,Paul Goldschmidt,Yangervis Solarte,Anthony Rendon,Erick Aybar,Mike Trout,Hunter Renfroe,Jabari Blash
Cole Hamels,Matt Shoemaker,Cameron Rupp,Tommy Joseph,Cory Spangenberg,Maikel Franco,Trea Turner,Adam Eaton,Odubel Herrera,Michael Saunders
Dylan Bundy,Robert Gsellman,Robinson Chirinos,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Jean Segura,Carlos Gonzalez,David Peralta,Gerardo Parra
Cole Hamels,Dylan Bundy,Austin Hedges,Freddie Freeman,Brandon Phillips,Anthony Rendon,Trea Turner,Matt Kemp,Ender Inciarte,Nick Markakis
Julio Teheran,Robert Gsellman,Sandy Leon,Anthony Rizzo,Marco Hernandez,Nolan Arenado,Xander Bogaerts,Bryce Harper,Mookie Betts,Andrew Benintendi
Cole Hamels,Dylan Bundy,Welington Castillo,Chris Davis,Yangervis Solarte,Manny Machado,Elvis Andrus,Mark Trumbo,Adam Jones,Manuel Margot
Jon Lester,Luis Severino,Austin Hedges,Paul Goldschmidt,Brandon Drury,Jake Lamb,Taylor Motter,Kyle Schwarber,David Peralta,Yasmany Tomas
Cole Hamels,James Paxton,Martin Maldonado,Anthony Rizzo,Daniel Murphy,Yunel Escobar,Jean Segura,Mike Trout,Kole Calhoun,Cameron Maybin
Matt Shoemaker,Wei-Yin Chen,Austin Hedges,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Jean Segura,Charlie Blackmon,Carlos Gonzalez,Jabari Blash
Cole Hamels,James Paxton,Jeff Mathis,Anthony Rizzo,Brandon Drury,Jake Lamb,Chris Owings,Charlie Blackmon,Mike Trout,Yasmany Tomas
Dylan Bundy,Matt Shoemaker,Chris Gimenez,Wil Myers,Brian Dozier,Eduardo Escobar,Trea Turner,Bryce Harper,Eddie Rosario,Byron Buxton
Cole Hamels,Dylan Bundy,Francisco Cervelli,Jose Osuna,Daniel Murphy,Anthony Rendon,Jordy Mercer,Adam Eaton,Andrew McCutchen,Gregory Polanco
Jon Lester,Dylan Bundy,Willson Contreras,Anthony Rizzo,Javier Baez,Jake Lamb,Addison Russell,Adam Eaton,Hunter Renfroe,Jason Heyward
Cole Hamels,Robert Gsellman,Cameron Rupp,Tommy Joseph,Daniel Murphy,Maikel Franco,Freddy Galvis,Bryce Harper,Michael Saunders,Manuel Margot
