"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","ValueWR"
"WR","Taylor Gabriel (7989078)","Taylor Gabriel",7989078,6200,"Atl@Car 01:00PM ET","Atl","Taylor","Gabriel","Car",10.91,11.7,4,0.0985324947589098,10.7302738673596,11.1162565900462,0
"RB","Latavius Murray (7988924)","Latavius Murray",7988924,6200,"Ind@Oak 04:05PM ET","Oak","Latavius","Murray","Ind",15.09,13.8,5,0.075812274368231,13.5231293423244,13.9749742823214,0
"WR","Michael Crabtree (7989079)","Michael Crabtree",7989079,6100,"Ind@Oak 04:05PM ET","Oak","Michael","Crabtree","Ind",14.76,19.8,1,0.245487364620939,13.9476477625951,14.4344241507845,0
"WR","Larry Fitzgerald (7989089)","Larry Fitzgerald",7989089,6100,"Ari@Sea 04:25PM ET","Ari","Larry","Fitzgerald","Sea",13.84,15.9,1,0.287090558766859,14.1972855185591,14.7233430685902,0
"QB","Matthew Stafford (7988847)","Matthew Stafford",7988847,6100,"Det@Dal 08:30PM ET","Det","Matthew","Stafford","Dal",18.74,18.9,0,0,17.7690247332425,18.3908188353751,0
"WR","Michael Thomas (7989003)","Michael Thomas",7989003,6000,"TB@NO 04:25PM ET","NO","Michael","Thomas","TB",17.98,19.7,1,0.175972927241963,15.4806799241488,15.9797164969556,0
"RB","Bilal Powell (7988870)","Bilal Powell",7988870,6000,"NYJ@NE 01:00PM ET","NYJ","Bilal","Powell","NE",14.25,16.3,3,0.140845070422535,14.5785726325075,15.1177692603687,0
"QB","Marcus Mariota (7988788)","Marcus Mariota",7988788,6000,"Ten@Jax 01:00PM ET","Ten","Marcus","Mariota","Jax",18.59,16.2,13,0.00224719101123596,16.2166434202466,16.7457234886549,0
"WR","Dontrelle Inman (7989043)","Dontrelle Inman",7989043,6000,"SD@Cle 01:00PM ET","SD","Dontrelle","Inman","Cle",12.13,12.3,2,0.183505154639175,11.5382658781959,11.9430268331715,0
"WR","Doug Baldwin (7989091)","Doug Baldwin",7989091,6000,"Ari@Sea 04:25PM ET","Sea","Doug","Baldwin","Ari",14.69,14.5,1,0.244988864142539,13.7543511349512,14.2309079812005,0
"WR","Emmanuel Sanders (7989135)","Emmanuel Sanders",7989135,6000,"Den@KC 08:30PM ET","Den","Emmanuel","Sanders","KC",13.8,15.7,2,0.271457085828343,14.071022327016,14.5902565969166,0
"RB","Ty Montgomery (7988893)","Ty Montgomery",7988893,5900,"Min@GB 01:00PM ET","GB","Ty","Montgomery","Min",14.28,13.4,4,0.0867992766726944,12.9857686152099,13.4250896075958,0
"WR","Stefon Diggs (7989037)","Stefon Diggs",7989037,5900,"Min@GB 01:00PM ET","Min","Stefon","Diggs","GB",13.4,14.4,2,0.2109375,13.1956858173772,13.6707840620067,0
"WR","Tyreek Hill (7989146)","Tyreek Hill",7989146,5900,"Den@KC 08:30PM ET","KC","Tyreek","Hill","Den",10.35,13.3,2,0.149068322981366,11.3970174507395,11.8389397009515,0
"QB","Dak Prescott (7988848)","Dak Prescott",7988848,5900,"Det@Dal 08:30PM ET","Dal","Dak","Prescott","Det",18.9,16.6,0,0,16.5589121309035,17.1012850596967,0
"WR","Tyrell Williams (7989049)","Tyrell Williams",7989049,5800,"SD@Cle 01:00PM ET","SD","Tyrell","Williams","Cle",12.99,17.2,1,0.2,11.9291520616163,12.3360328831971,0
"RB","Carlos Hyde (7988941)","Carlos Hyde",7988941,5800,"SF@LA 04:25PM ET","SF","Carlos","Hyde","LA",14.07,14.3,6,0.0691244239631336,13.4017812043172,13.8724067092536,0
"QB","Joe Flacco (7988833)","Joe Flacco",7988833,5800,"Bal@Pit 04:30PM ET","Bal","Joe","Flacco","Pit",17.9,16.8,0,0,16.2793839282147,16.8301794757079,0
"QB","Colin Kaepernick (7988821)","Colin Kaepernick",7988821,5700,"SF@LA 04:25PM ET","SF","Colin","Kaepernick","LA",17.14,17.4,0,0,16.3148115538788,16.8874302282451,0
"WR","Kenny Britt (7989100)","Kenny Britt",7989100,5700,"SF@LA 04:25PM ET","LA","Kenny","Britt","SF",13.48,12.7,1,0.227926078028747,12.2863259830847,12.7027804598756,0
"RB","Lamar Miller (7988948)","Lamar Miller",7988948,5700,"Cin@Hou 08:25PM ET","Hou","Lamar","Miller","Cin",14.21,15.7,5,0.0778210116731518,14.2309977805112,14.7496015419373,0
"RB","Jay Ajayi (7988854)","Jay Ajayi",7988854,5600,"Mia@Buf 01:00PM ET","Mia","Jay","Ajayi","Buf",13.27,14.5,4,0.0829268292682927,13.2002898082115,13.6790303667384,0
"RB","LeGarrette Blount (7988871)","LeGarrette Blount",7988871,5600,"NYJ@NE 01:00PM ET","NE","LeGarrette","Blount","NYJ",10.89,8.5,9,0.0155642023346304,8.95197690307632,9.22783369183666,0
"WR","Jamison Crowder (7989063)","Jamison Crowder",7989063,5600,"Was@Chi 01:00PM ET","Was","Jamison","Crowder","Chi",12.31,11.7,2,0.174852652259332,11.276531513441,11.660361280361,0
"WR","Jarvis Landry (7988987)","Jarvis Landry",7988987,5500,"Mia@Buf 01:00PM ET","Mia","Jarvis","Landry","Buf",15.11,12.9,1,0.280487804878049,13.0329817869632,13.4538144012638,0
"WR","Willie Snead (7988998)","Willie Snead",7988998,5500,"TB@NO 04:25PM ET","NO","Willie","Snead","TB",12.03,13.7,3,0.16243654822335,12.2738382864903,12.7269465760869,0
"WR","DeSean Jackson (7989055)","DeSean Jackson",7989055,5500,"Was@Chi 01:00PM ET","Was","DeSean","Jackson","Chi",13.29,13.7,3,0.165029469548134,12.7654701679636,13.2166407973702,0
"TE","Jordan Reed (7989203)","Jordan Reed",7989203,5500,"Was@Chi 01:00PM ET","Was","Jordan","Reed","Chi",9.77,9.1,3,0.165029469548134,8.84693827689087,9.14517180972155,0
"WR","Kelvin Benjamin (7989075)","Kelvin Benjamin",7989075,5500,"Atl@Car 01:00PM ET","Car","Kelvin","Benjamin","Atl",11.04,12.9,2,0.215686274509804,11.4449327729979,11.8720243372774,0
"QB","Carson Palmer (7988816)","Carson Palmer",7988816,5500,"Ari@Sea 04:25PM ET","Ari","Carson","Palmer","Sea",16,15.9,0,0,15.0400830296562,15.5628188765043,0
"RB","DeAngelo Williams (7988954)","DeAngelo Williams",7988954,5500,"Bal@Pit 04:30PM ET","Pit","DeAngelo","Williams","Bal",2.83,3,8,0.0425138632162662,2.76405826654867,2.86297811753383,0
"QB","Tyrod Taylor (7988771)","Tyrod Taylor",7988771,5400,"Mia@Buf 01:00PM ET","Buf","Tyrod","Taylor","Mia",17.39,16.2,0,0,15.7484225807483,16.2793480398137,0
"RB","Doug Martin (7988860)","Doug Martin",7988860,5400,"TB@NO 04:25PM ET","TB","Doug","Martin","NO",13.13,12.3,8,0.031434184675835,11.9284499111112,12.3316730405391,0
"WR","Davante Adams (7989034)","Davante Adams",7989034,5400,"Min@GB 01:00PM ET","GB","Davante","Adams","Min",11.81,20.3,2,0.198915009041591,11.9666861387958,12.4063631637083,0
"WR","Donte Moncrief (7989084)","Donte Moncrief",7989084,5400,"Ind@Oak 04:05PM ET","Ind","Donte","Moncrief","Oak",10.61,13.1,4,0.1,11.3878094690709,11.8224470914882,0
"RB","Theo Riddick (7988974)","Theo Riddick",7988974,5400,"Det@Dal 08:30PM ET","Det","Theo","Riddick","Dal",0,14.1,4,0.133204633204633,7.80123603097248,8.28661394821173,0
"RB","Matt Forte (7988868)","Matt Forte",7988868,5300,"NYJ@NE 01:00PM ET","NYJ","Matt","Forte","NE",0,4.9,5,0.0865191146881288,2.71106784055072,2.8797452727828,0
"WR","Brandon Marshall (7989006)","Brandon Marshall",7989006,5300,"NYJ@NE 01:00PM ET","NYJ","Brandon","Marshall","NE",11.48,14,1,0.259557344064386,12.2252208137267,12.6895020971031,0
"QB","Andy Dalton (7988827)","Andy Dalton",7988827,5300,"Cin@Hou 08:25PM ET","Cin","Andy","Dalton","Hou",17.02,16.6,0,0,15.8253661490227,16.3706301898455,0
"RB","Jeremy Hill (7988953)","Jeremy Hill",7988953,5300,"Cin@Hou 08:25PM ET","Cin","Jeremy","Hill","Hou",13.05,15,7,0.0562248995983936,13.3910888965365,13.8873797595647,0
"QB","Trevor Siemian (7988842)","Trevor Siemian",7988842,5300,"Den@KC 08:30PM ET","Den","Trevor","Siemian","KC",15.38,16,0,0,14.853496844362,15.3806285396258,0
"RB","Spencer Ware (7988967)","Spencer Ware",7988967,5300,"Den@KC 08:30PM ET","KC","Spencer","Ware","Den",14.14,16.5,6,0.082815734989648,14.6463082191134,15.1925588009372,0
"QB","Matt Moore (7988768)","Matt Moore",7988768,5200,"Mia@Buf 01:00PM ET","Mia","Matt","Moore","Buf",0,12.5,0,0,6.91598938916,7.34628896118062,0
"WR","Malcolm Mitchell (7989015)","Malcolm Mitchell",7989015,5200,"NYJ@NE 01:00PM ET","NE","Malcolm","Mitchell","NYJ",11.93,14,5,0.0894941634241245,11.2389174111597,11.6302163449402,0
"RB","Rob Kelley (7988908)","Rob Kelley",7988908,5200,"Was@Chi 01:00PM ET","Was","Rob","Kelley","Chi",0,14.3,8,0.0235756385068762,7.91189186119904,8.40415457159062,0
"RB","Jonathan Stewart (7988913)","Jonathan Stewart",7988913,5200,"Atl@Car 01:00PM ET","Car","Jonathan","Stewart","Atl",12.57,12.1,7,0.0413943355119826,11.5992910224521,11.9964905410343,0
"TE","Greg Olsen (7989208)","Greg Olsen",7989208,5200,"Atl@Car 01:00PM ET","Car","Greg","Olsen","Atl",15.28,15.7,1,0.233115468409586,14.6484946957306,15.1654529838207,0
"WR","DeAndre Hopkins (7989116)","DeAndre Hopkins",7989116,5200,"Cin@Hou 08:25PM ET","Hou","DeAndre","Hopkins","Cin",14.97,14.7,1,0.272373540856031,13.9742584943941,14.4572695426423,0
"QB","Robert Griffin III (7988798)","Robert Griffin III",7988798,5100,"SD@Cle 01:00PM ET","Cle","Robert","Griffin III","SD",13.99,0,0,0,5.45867462048492,5.43716044107359,0
"WR","Mohamed Sanu (7989071)","Mohamed Sanu",7989071,5100,"Atl@Car 01:00PM ET","Atl","Mohamed","Sanu","Car",11.1,11.8,2,0.163522012578616,10.8597367487268,11.2488696811355,0
"RB","Thomas Rawls (7988934)","Thomas Rawls",7988934,5100,"Ari@Sea 04:25PM ET","Sea","Thomas","Rawls","Ari",11.59,12.4,8,0.0356347438752784,11.3828944155349,11.7919281928824,0
"WR","Steve Smith Sr. (7989122)","Steve Smith Sr.",7989122,5100,"Bal@Pit 04:30PM ET","Bal","Steve","Smith","Pit",13.21,14.7,3,0.160899653979239,13.2875345964631,13.7732522176752,0
"QB","Tony Romo (7988845)","Tony Romo",7988845,5100,"Det@Dal 08:30PM ET","Dal","Tony","Romo","Det",0,0,0,0,0,0,0
"QB","T.J. Yates (7988769)","T.J. Yates",7988769,5000,"Mia@Buf 01:00PM ET","Mia","T.J.","Yates","Buf",0,0,0,0,0,0,0
"QB","Ryan Tannehill (7988770)","Ryan Tannehill",7988770,5000,"Mia@Buf 01:00PM ET","Mia","Ryan","Tannehill","Buf",0,0,0,0,0,0,0
"QB","EJ Manuel (7988772)","EJ Manuel",7988772,5000,"Mia@Buf 01:00PM ET","Buf","EJ","Manuel","Mia",0,0,0,0,0,0,0
"QB","Cardale Jones (7988773)","Cardale Jones",7988773,5000,"Mia@Buf 01:00PM ET","Buf","Cardale","Jones","Mia",0,0,0,0,0,0,0
"WR","Sammy Watkins (7988990)","Sammy Watkins",7988990,5000,"Mia@Buf 01:00PM ET","Buf","Sammy","Watkins","Mia",11.78,14.4,5,0.078239608801956,12.5635876840544,13.0411772060711,0
"QB","Luke McCown (7988775)","Luke McCown",7988775,5000,"TB@NO 04:25PM ET","NO","Luke","McCown","TB",0,0,0,0,0,0,0
"QB","Mike Glennon (7988776)","Mike Glennon",7988776,5000,"TB@NO 04:25PM ET","TB","Mike","Glennon","NO",0,0,0,0,0,0,0
"QB","Ryan Griffin (7988777)","Ryan Griffin",7988777,5000,"TB@NO 04:25PM ET","TB","Ryan","Griffin","NO",0,0,0,0,0,0,0
"QB","Ryan Fitzpatrick (7988780)","Ryan Fitzpatrick",7988780,5000,"NYJ@NE 01:00PM ET","NYJ","Ryan","Fitzpatrick","NE",0,0,0,0,0,0,0
"QB","Bryce Petty (7988781)","Bryce Petty",7988781,5000,"NYJ@NE 01:00PM ET","NYJ","Bryce","Petty","NE",13.29,13,0,0,12.3781747621706,12.8052486155441,0
"QB","Jimmy Garoppolo (7988782)","Jimmy Garoppolo",7988782,5000,"NYJ@NE 01:00PM ET","NE","Jimmy","Garoppolo","NYJ",0,0,13,0.00194552529182879,0,0,0
"QB","Christian Hackenberg (7988783)","Christian Hackenberg",7988783,5000,"NYJ@NE 01:00PM ET","NYJ","Christian","Hackenberg","NE",0,0,0,0,0,0,0
"QB","Matt Cassel (7988784)","Matt Cassel",7988784,5000,"Ten@Jax 01:00PM ET","Ten","Matt","Cassel","Jax",0,0,0,0,0,0,0
"QB","Chad Henne (7988785)","Chad Henne",7988785,5000,"Ten@Jax 01:00PM ET","Jax","Chad","Henne","Ten",0,0,0,0,0,0,0
"QB","Blake Bortles (7988786)","Blake Bortles",7988786,5000,"Ten@Jax 01:00PM ET","Jax","Blake","Bortles","Ten",18.19,16.3,0,0,16.1158977221938,16.6490353173973,0
"QB","Brandon Allen (7988787)","Brandon Allen",7988787,5000,"Ten@Jax 01:00PM ET","Jax","Brandon","Allen","Ten",0,0,0,0,0,0,0
"QB","Shaun Hill (7988789)","Shaun Hill",7988789,5000,"Min@GB 01:00PM ET","Min","Shaun","Hill","GB",0,0,0,0,0,0,0
"QB","Sam Bradford (7988791)","Sam Bradford",7988791,5000,"Min@GB 01:00PM ET","Min","Sam","Bradford","GB",16.51,15.4,13,0.001953125,14.9624373108766,15.4671768838146,0
"QB","Brett Hundley (7988792)","Brett Hundley",7988792,5000,"Min@GB 01:00PM ET","GB","Brett","Hundley","Min",0,0,0,0,0,0,0
"QB","Taylor Heinicke (7988793)","Taylor Heinicke",7988793,5000,"Min@GB 01:00PM ET","Min","Taylor","Heinicke","GB",0,0,0,0,0,0,0
"QB","Joe Callahan (7988794)","Joe Callahan",7988794,5000,"Min@GB 01:00PM ET","GB","Joe","Callahan","Min",0,0,0,0,0,0,0
"QB","Josh McCown (7988795)","Josh McCown",7988795,5000,"SD@Cle 01:00PM ET","Cle","Josh","McCown","SD",0,0,0,0,0,0,0
"QB","Kellen Clemens (7988796)","Kellen Clemens",7988796,5000,"SD@Cle 01:00PM ET","SD","Kellen","Clemens","Cle",0,0,0,0,0,0,0
"QB","Cody Kessler (7988799)","Cody Kessler",7988799,5000,"SD@Cle 01:00PM ET","Cle","Cody","Kessler","SD",0,0,0,0,0,0,0
"QB","Kevin Hogan (7988800)","Kevin Hogan",7988800,5000,"SD@Cle 01:00PM ET","Cle","Kevin","Hogan","SD",0,0,0,0,0,0,0
"RB","Kenneth Farrow (7988900)","Kenneth Farrow",7988900,5000,"SD@Cle 01:00PM ET","SD","Kenneth","Farrow","Cle",12.85,5.6,7,0.0247422680412371,8.11222806930517,8.28524121928337,0
"QB","Colt McCoy (7988801)","Colt McCoy",7988801,5000,"Was@Chi 01:00PM ET","Was","Colt","McCoy","Chi",0,0,0,0,0,0,0
"QB","Matt Barkley (7988803)","Matt Barkley",7988803,5000,"Was@Chi 01:00PM ET","Chi","Matt","Barkley","Was",14.02,16.4,0,0,14.5441582200503,15.0871509443636,0
"QB","David Fales (7988804)","David Fales",7988804,5000,"Was@Chi 01:00PM ET","Chi","David","Fales","Was",0,0,0,0,0,0,0
"QB","Nate Sudfeld (7988805)","Nate Sudfeld",7988805,5000,"Was@Chi 01:00PM ET","Was","Nate","Sudfeld","Chi",0,0,0,0,0,0,0
"QB","Derek Anderson (7988806)","Derek Anderson",7988806,5000,"Atl@Car 01:00PM ET","Car","Derek","Anderson","Atl",0,0,0,0,0,0,0
"QB","Matt Schaub (7988808)","Matt Schaub",7988808,5000,"Atl@Car 01:00PM ET","Atl","Matt","Schaub","Car",0,0,0,0,0,0,0
"QB","Joe Webb (7988809)","Joe Webb",7988809,5000,"Atl@Car 01:00PM ET","Car","Joe","Webb","Atl",0,0,11,0.00217864923747277,0,0,0
"RB","Tevin Coleman (7988918)","Tevin Coleman",7988918,5000,"Atl@Car 01:00PM ET","Atl","Tevin","Coleman","Car",9.87,8.1,5,0.0733752620545073,8.3326775290496,8.59633331356386,0
"QB","Scott Tolzien (7988811)","Scott Tolzien",7988811,5000,"Ind@Oak 04:05PM ET","Ind","Scott","Tolzien","Oak",0,0,0,0,0,0,0
"QB","Matt McGloin (7988813)","Matt McGloin",7988813,5000,"Ind@Oak 04:05PM ET","Oak","Matt","McGloin","Ind",0,0,0,0,0,0,0
"QB","Connor Cook (7988815)","Connor Cook",7988815,5000,"Ind@Oak 04:05PM ET","Oak","Connor","Cook","Ind",0,0,0,0,0,0,0
"QB","Drew Stanton (7988817)","Drew Stanton",7988817,5000,"Ari@Sea 04:25PM ET","Ari","Drew","Stanton","Sea",0,0,0,0,0,0,0
"QB","Zac Dysert (7988819)","Zac Dysert",7988819,5000,"Ari@Sea 04:25PM ET","Ari","Zac","Dysert","Sea",0,0,0,0,0,0,0
"QB","Trevone Boykin (7988820)","Trevone Boykin",7988820,5000,"Ari@Sea 04:25PM ET","Sea","Trevone","Boykin","Ari",0,0,0,0,0,0,0
"QB","Christian Ponder (7988822)","Christian Ponder",7988822,5000,"SF@LA 04:25PM ET","SF","Christian","Ponder","LA",0,0,0,0,0,0,0
"QB","Case Keenum (7988823)","Case Keenum",7988823,5000,"SF@LA 04:25PM ET","LA","Case","Keenum","SF",0,0,0,0,0,0,0
"QB","Blaine Gabbert (7988824)","Blaine Gabbert",7988824,5000,"SF@LA 04:25PM ET","SF","Blaine","Gabbert","LA",0,0,15,0.00230414746543779,0,0,0
"QB","Sean Mannion (7988825)","Sean Mannion",7988825,5000,"SF@LA 04:25PM ET","LA","Sean","Mannion","SF",0,0,0,0,0,0,0
"QB","Jared Goff (7988826)","Jared Goff",7988826,5000,"SF@LA 04:25PM ET","LA","Jared","Goff","SF",14,13.2,0,0,12.765861255767,13.198728046154,0
"QB","Brandon Weeden (7988828)","Brandon Weeden",7988828,5000,"Cin@Hou 08:25PM ET","Hou","Brandon","Weeden","Cin",0,0,0,0,0,0,0
"QB","Brock Osweiler (7988829)","Brock Osweiler",7988829,5000,"Cin@Hou 08:25PM ET","Hou","Brock","Osweiler","Cin",0,0,15,0.00194552529182879,0,0,0
"QB","AJ McCarron (7988830)","AJ McCarron",7988830,5000,"Cin@Hou 08:25PM ET","Cin","AJ","McCarron","Hou",0,0,0,0,0,0,0
"QB","Tom Savage (7988831)","Tom Savage",7988831,5000,"Cin@Hou 08:25PM ET","Hou","Tom","Savage","Cin",14.86,14.2,0,0,13.654698675207,14.1206669013846,0
"QB","Jeff Driskel (7988832)","Jeff Driskel",7988832,5000,"Cin@Hou 08:25PM ET","Cin","Jeff","Driskel","Hou",0,0,0,0,0,0,0
"QB","Ryan Mallett (7988835)","Ryan Mallett",7988835,5000,"Bal@Pit 04:30PM ET","Bal","Ryan","Mallett","Pit",0,0,0,0,0,0,0
"QB","Landry Jones (7988836)","Landry Jones",7988836,5000,"Bal@Pit 04:30PM ET","Pit","Landry","Jones","Bal",0,0,0,0,0,0,0
"QB","Zach Mettenberger (7988837)","Zach Mettenberger",7988837,5000,"Bal@Pit 04:30PM ET","Pit","Zach","Mettenberger","Bal",0,0,0,0,0,0,0
"QB","Alex Smith (7988838)","Alex Smith",7988838,5000,"Den@KC 08:30PM ET","KC","Alex","Smith","Den",12.19,16.1,15,0.0041407867494824,13.6641376944755,14.1996174498124,0
"QB","Austin Davis (7988839)","Austin Davis",7988839,5000,"Den@KC 08:30PM ET","Den","Austin","Davis","KC",0,0,0,0,0,0,0
"QB","Nick Foles (7988840)","Nick Foles",7988840,5000,"Den@KC 08:30PM ET","KC","Nick","Foles","Den",0,0,0,0,0,0,0
"QB","Tyler Bray (7988841)","Tyler Bray",7988841,5000,"Den@KC 08:30PM ET","KC","Tyler","Bray","Den",0,0,0,0,0,0,0
"QB","Paxton Lynch (7988843)","Paxton Lynch",7988843,5000,"Den@KC 08:30PM ET","Den","Paxton","Lynch","KC",0,0,0,0,0,0,0
"TE","Travis Kelce (7989251)","Travis Kelce",7989251,5000,"Den@KC 08:30PM ET","KC","Travis","Kelce","Den",12.91,12.3,1,0.221532091097308,11.8426094238698,12.2461708749182,0
"QB","Dan Orlovsky (7988844)","Dan Orlovsky",7988844,5000,"Det@Dal 08:30PM ET","Det","Dan","Orlovsky","Dal",0,0,0,0,0,0,0
"QB","Mark Sanchez (7988846)","Mark Sanchez",7988846,5000,"Det@Dal 08:30PM ET","Dal","Mark","Sanchez","Det",0,0,0,0,0,0,0
