"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Hernan Perez","3B/OF","MIL","@ MIN",4.5,"Santana, R 3.32","R",0.266,0.318,0.181,0,0,0,6,3500,21,6.3,6.65,6.65,"%",43,1.9,8,2.3
"Seth Smith","OF","BAL","@ LAA",4.11,"Ramirez, R 4.03","L",0.267,0.355,0.195,0,0,0,7,3500,19.7,6.6,5.62,5.62,"%",47,1.6,9,2.6
"Carlos Asuaje","2B","SD","@ CIN",4.41,"Adleman, R 5.42","L",0.292,0.341,0.115,0,0,0,2,3500,19.5,5.8,7.96,7.96,"%",50,2.3,10,2.9
"Christian Yelich","OF","MIA","@ WSH",2.93,"Scherzer, R 2.20","L",0.28,0.351,0.155,0,0,0,3,3500,21.5,8.4,6.1,6.1,"%",54,1.7,12,3.4
"Buster Posey","1B/C","SF","vs CHC",3.46,"Arrieta, R 3.88","R",0.325,0.396,0.158,0,0,0,4,3500,19.2,7.7,6.45,6.45,"%",59,1.8,0,NA
"Jason Heyward","OF","CHC","@ SF",4.55,"Moore, L 5.80","L",0.254,0.31,0.144,0,0,0,7,3500,17.8,6.6,5.59,5.59,"%",54,1.6,8,2.3
"Kolten Wong","2B","STL","@ KC",4.62,"Kennedy, R 4.60","L",0.293,0.351,0.102,0,0,0,7,3400,16,6.2,5.65,5.65,"%",58,1.7,22,6.5
"Keon Broxton","OF","MIL","@ MIN",4.5,"Santana, R 3.32","R",0.216,0.312,0.203,0,0,0,8,3400,20.5,7.1,4.64,4.64,"%",44,1.4,21,6.2
"Eddie Rosario","OF","MIN","vs MIL",4.5,"Suter, L 3.04","L",0.285,0.337,0.179,0,0,0,5,3400,22.7,6.5,6.97,6.97,"%",39,2.1,9,2.6
"Jesus Aguilar","1B","MIL","@ MIN",4.5,"Santana, R 3.32","",0.278,0.361,0.236,0,0,0,4,3400,22.7,4.7,8.01,8.01,"%",22,2.4,2,0.6
"Miguel Cabrera","1B","DET","@ PIT",3.89,"Williams, R 4.56","R",0.265,0.346,0.163,0,0,0,4,3400,21.3,7.3,8.2,8.2,"%",55,2.4,0,NA
"Nick Castellanos","3B","DET","@ PIT",3.89,"Williams, R 4.56","R",0.241,0.322,0.197,0,0,0,5,3400,22.1,7.5,6.31,6.31,"%",48,1.9,0,NA
"Jose Pirela","OF","SD","@ CIN",4.41,"Adleman, R 5.42","R",0.277,0.341,0.205,0,0,0,3,3400,22.1,7.9,8.09,8.09,"%",56,2.4,30,8.8
"Austin Hedges","C","SD","@ CIN",4.41,"Adleman, R 5.42","R",0.223,0.293,0.204,0,0,0,7,3400,20.1,5.8,5.07,5.07,"%",35,1.5,3,0.9
"Zack Cozart","SS","CIN","vs SD",5.09,"Chacin, R 4.06","R",0.316,0.41,0.246,0,0,0,2,3400,26,9,9.36,9.36,"%",54,2.8,23,6.8
"Jon Jay","OF","CHC","@ SF",4.55,"Moore, L 5.80","L",0.3,0.355,0.09,0,0,0,1,3400,18.1,4.7,8.47,8.47,"%",49,2.5,10,2.9
"Randal Grichuk","OF","STL","@ KC",4.62,"Kennedy, R 4.60","R",0.222,0.297,0.2,0,0,0,8,3300,20.1,6.7,4.89,4.89,"%",43,1.5,5,1.5
"Eduardo Escobar","3B/SS","MIN","vs MIL",4.5,"Suter, L 3.04","B",0.258,0.319,0.154,0,0,0,4,3300,21.5,6.4,7.61,7.61,"%",46,2.3,6,1.8
"Jesse Winker","OF","CIN","vs SD",5.09,"Chacin, R 4.06","L",0.231,0.346,0.205,0,0,0,7,3300,17.5,5.5,5.51,5.51,"%",46,1.7,0,NA
"James McCann","C","DET","@ PIT",3.89,"Williams, R 4.56","R",0.248,0.327,0.194,0,0,0,7,3200,18.1,6.2,4.23,4.23,"%",44,1.3,8,2.5
"Wilmer Difo","2B/SS","WSH","vs MIA",5.57,"O'Grady, L 5.40","R",0.264,0.306,0.107,0,0,0,8,3200,17.4,4.6,5.44,5.44,"%",35,1.7,8,2.5
"Gregory Polanco","OF","PIT","vs DET",5.11,"Zimmermann, R 5.35","L",0.258,0.318,0.157,0,0,0,6,3100,20.4,6.6,6.86,6.86,"%",49,2.2,7,2.3
"Jason Castro","C","MIN","vs MIL",4.5,"Suter, L 3.04","L",0.224,0.306,0.145,0,0,0,8,3100,15.4,5.7,4.26,4.26,"%",51,1.4,11,3.5
"Kole Calhoun","OF","LAA","vs BAL",4.89,"Bundy, R 4.24","L",0.241,0.31,0.136,0,0,0,4,3100,19.4,6.8,6.49,6.49,"%",53,2.1,2,0.6
"Tucker Barnhart","C","CIN","vs SD",5.09,"Chacin, R 4.06","B",0.262,0.309,0.111,0,0,0,8,3100,14.1,4.8,4.33,4.33,"%",49,1.4,4,1.3
"J.T. Realmuto","C","MIA","@ WSH",2.93,"Scherzer, R 2.20","R",0.306,0.371,0.183,0,0,0,5,3100,20.3,7.9,4.92,4.92,"%",51,1.6,0,NA
"Derek Dietrich","3B","MIA","@ WSH",2.93,"Scherzer, R 2.20","L",0.241,0.315,0.153,0,0,0,6,3100,17.1,5.2,4.46,4.46,"%",39,1.4,5,1.6
"Pablo Sandoval","3B","SF","vs CHC",3.46,"Arrieta, R 3.88","B",0.216,0.277,0.147,0,0,0,5,3100,15.5,4.9,3.58,3.58,"%",39,1.2,7,2.3
"Byron Buxton","OF","MIN","vs MIL",4.5,"Suter, L 3.04","R",0.213,0.263,0.094,0,0,0,6,3000,18.1,5.2,5.61,5.61,"%",40,1.9,7,2.3
"Dixon Machado","2B/SS","DET","@ PIT",3.89,"Williams, R 4.56","R",0.304,0.313,0.065,0,0,0,8,3000,12.8,3.4,3.71,3.71,"%",33,1.2,0,NA
"Joe Panik","2B","SF","vs CHC",3.46,"Arrieta, R 3.88","L",0.265,0.315,0.123,0,0,0,2,3000,16.2,6.4,3.61,3.61,"%",51,1.2,8,2.7
"Ehire Adrianza","2B/SS","MIN","vs MIL",4.5,"Suter, L 3.04","B",0.278,0.309,0.089,0,0,0,7,2900,15.2,4.9,4.43,4.43,"%",45,1.5,5,1.7
"Denard Span","OF","SF","vs CHC",3.46,"Arrieta, R 3.88","L",0.271,0.326,0.156,0,0,0,1,2900,19.6,7,5.57,5.57,"%",50,1.9,2,0.7
"Jarrett Parker","OF","SF","vs CHC",3.46,"Arrieta, R 3.88","L",0.265,0.341,0.235,0,0,0,3,2900,19.4,6.3,3.42,3.42,"%",37,1.2,10,3.4
"Alex Gordon","OF","KC","vs STL",4.38,"Martinez, R 3.54","L",0.199,0.269,0.099,0,0,0,8,2800,14.8,5.3,3.83,3.83,"%",48,1.4,0,NA
"Andrew Susac","C","MIL","@ MIN",4.5,"Santana, R 3.32","R",NA,0,0,0,0,0,9,2800,2.8,NA,2.8,2.8,"%",0,1,0,NA
"Albert Almora","OF","CHC","@ SF",4.55,"Moore, L 5.80","R",0.27,0.311,0.12,0,0,0,6,2800,16.5,4,6.13,6.13,"%",35,2.2,8,2.9
"Greg Garcia","2B/3B","STL","@ KC",4.62,"Kennedy, R 4.60","L",0.235,0.311,0.092,0,0,0,9,2700,11.6,3,2.95,2.95,"%",28,1.1,8,3
"Andrew Romine","2B/OF","DET","@ PIT",3.89,"Williams, R 4.56","L",0.239,0.291,0.12,0,0,0,2,2700,16.6,4.6,5.58,5.58,"%",40,2.1,2,0.7
"Francisco Cervelli","C","PIT","vs DET",5.11,"Zimmermann, R 5.35","R",0.258,0.328,0.125,0,0,0,8,2700,16.8,6,4.44,4.44,"%",49,1.6,11,4.1
"Brandon Crawford","SS","SF","vs CHC",3.46,"Arrieta, R 3.88","L",0.226,0.278,0.14,0,0,0,6,2700,17.6,6.3,5.18,5.18,"%",51,1.9,5,1.9
"Jorge Polanco","SS","MIN","vs MIL",4.5,"Suter, L 3.04","B",0.213,0.254,0.093,0,0,0,9,2600,12.1,5.5,2.66,2.66,"%",57,1,18,6.9
"Sean Rodriguez","1B/2B","PIT","vs DET",5.11,"Zimmermann, R 5.35","R",0.179,0.333,0.256,0,0,0,7,2600,15.9,5.6,4.58,4.58,"%",49,1.8,0,NA
