"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
6,"0",4600,21.8,0.1,-0.23,0.09,0.3,0.1,0,0,22,6.3,6.7,8.1,0.7,6.2,10.1,11.6,14,5.4,17.8,13.8,18,18,12.1,2.2,16,51,81,6,0.173447537473233,2,2,2,0
5,"0",4500,24.8,-0.09,0,0.05,0,0,0,0,0,8,6,6.5,1.3,6,12.5,10.9,11,5.6,16.3,12.2,12,22,8,19.9,9.7,55,77,7,0.17420814479638,2,3,1,0
5,"0",4500,20.5,0.09,0.03,0.03,0,0,0,0,0,5.3,6.7,5,0.4,7.6,7.9,11,8,1.8,20.1,9.3,29,17,10.9,10,2.7,35,67,2,0.152619589977221,4,3,3,0
26,"0",4300,24.3,-0.06,0.07,0.12,0.3,0.3,0,0.1,17,5.3,3.8,7.4,0.4,12.4,16.7,11.5,12,3.5,19.4,15.4,13,21,0,0,0,26,34,4,0.0805687203791469,4,4,2,0
15,"0",4200,25,-0.01,-0.05,0.07,0,0,0,0,0,6.7,7.1,6.8,0.9,8.4,16.6,12.1,12,6.1,18.1,13.1,11,27,14.8,8.3,26.6,60,89,2,0.182377049180328,2,1,4,0
4,"0",4200,25.8,-0.08,-0.31,0.02,0,0,0,0,0,7.3,4.1,6.6,0.6,8.6,19.1,8.2,11,-0.2,16.6,12.2,3,25,16.2,21.2,19.8,24,37,3,0.0835214446952596,6,6,4,0
1,"0",4100,25.8,-0.08,-0.31,0.02,0,0.1,0,0,2,4.3,3.6,5.2,0.3,12.1,7.8,8.7,8,1.5,15.9,9.3,3,25,12.3,11,0,27,45,3,0.101580135440181,4,4,4,1
2,"0",4100,23.8,0.13,-0.13,0.11,0,0.1,0,0,-1,2.3,5.9,4.7,0.6,8.4,2.6,10.7,8,1.4,20,8.9,28,29,4.4,1.8,0,42,67,3,0.158018867924528,2,3,4,0
10,"0",4000,24.8,0.09,-0.17,-0.02,1,0.8,0,0.1,6.9,6.7,5.6,4.8,0.2,8.5,20.1,10.3,8,3.2,17.4,9.1,21,12,19.6,25.8,14.9,42,68,4,0.157407407407407,3,3,2,0
3,"0",4000,17.3,0.03,-0.08,-0.02,0,0.1,0,0.1,6,5.7,5.8,6.4,0.8,8.9,7.5,10.6,11,0.9,20.4,12.5,18,7,9.7,3.9,8.9,40,65,2,0.149769585253456,3,2,2,1
0,"0",3900,22.3,0.05,-0.14,-0.08,0,0.1,0,0,6,7.7,6.7,4.6,0.9,8.2,15.1,11.2,8,2.9,19.5,7.2,9,3,0,0,7.1,43,64,1,0.179271708683473,1,1,3,0
4,"0",3900,19.8,0.13,-0.05,0.06,1.7,1.7,1.7,0.3,4.8,4.3,7.2,7.5,0.7,5.1,8.1,10.1,16,2.6,17.6,12.1,30,25,0,15.5,3.9,44,78,3,0.191176470588235,3,2,2,0
0,"0",3800,23,-0.01,0.22,0.01,0,0.1,0.8,0,10,2.3,5.5,3.7,0.4,6.7,1,7.4,7,-1.1,15.8,7.8,23,18,0,2.9,0,32,63,1,0.141573033707865,3,3,5,0
0,"0",3800,23.3,-0.05,0.09,-0.04,0,0,0,0,0,3.7,5.1,5.2,0.7,7.7,4.8,8.9,8,2.4,15.4,8.9,16,13,2.8,5.6,6,31,46,2,0.0976645435244161,4,4,4,0
0,"0",3700,21,-0.16,-0.08,-0.02,0,0,0,0,0,6.7,4.7,4,0.3,8.9,9.2,9.3,7,2.1,16.5,6.8,3,10,4.1,16.2,7.3,30,56,5,0.151761517615176,3,3,1,1
5,"0",3700,17.5,-0.16,-0.03,-0.23,1.3,0.5,0.2,0,5.8,7.7,6.5,7.7,0.6,7.9,12.4,10.7,13,5.5,15.8,11.4,2,2,7.4,13.9,15.8,51,81,2,0.163636363636364,2,2,4,1
10,"0",3700,25.3,0.05,-0.12,0.04,0.7,0.3,0,0,24.8,5,4.1,4.3,0.5,7.9,10.5,6.9,8,0.1,13.7,9.4,17,22,24.8,0.9,5.9,31,54,0,0.13953488372093,4,4,5,0
0,"0",3600,20.5,-0.2,0.08,-0.11,1,0.6,0,0,6.1,5.3,4.3,3,0.5,6.4,9.2,8.1,5,1.9,14.2,5.2,10,5,3.6,8.7,15.3,42,55,2,0.126728110599078,4,4,3,0
1,"0",3600,23,-0.01,0.22,0.01,0,0.3,0.8,0.1,9,3.7,4.2,4.7,0.3,7.5,5.7,7.2,8,-1,15.5,9.5,23,18,11.2,5,1,22,44,3,0.098876404494382,5,4,3,1
1,"0",3500,27,0.12,-0.08,0.07,0,0.1,0,0,9,3,2.4,5.3,0.6,9.8,5.1,5.6,8,-0.4,11.6,6.8,27,19,2.5,4.3,8.4,16,24,2,0.0535714285714286,5,6,3,0
2,"0",3500,17.3,0.03,-0.08,-0.02,0.3,0.2,0,0,9.5,5.7,2.8,6,0.2,8.6,9.3,4.2,10,-0.6,8.9,9.3,18,7,14.5,8.1,5.2,14,26,0,0.0599078341013825,7,7,9,0
1,"1",3500,22.8,0.06,-0.16,0.09,0,0,0,0,0,4.3,4.4,3.9,0.5,5.6,5.3,5.9,7,0.1,11.7,8,26,24,0,11.4,0,21,51,3,0.136,5,3,2,0
1,"0",3400,23,-0.2,0.15,-0.34,0,0.1,0,0.1,1,4.7,5.7,4.2,0.3,6.8,11.9,7.9,7,2.2,13.5,8.1,1,1,0,3.1,16.8,37,77,2,0.195431472081218,4,1,6,0
0,"0",3400,22.3,0.05,-0.14,-0.08,0,0,0,0,0,5,5.2,3.2,0.6,7,4.8,8.1,6,1,15.3,5.8,9,3,7.5,3.3,3.5,26,53,3,0.148459383753501,4,3,2,0
1,"0",3400,22.8,0.06,-0.16,0.09,0,0,0,0,0,4,6.8,6.1,0.5,5.7,2.4,9.1,10,0.4,17.9,10.3,26,24,2.8,4.4,0,43,82,3,0.218666666666667,1,1,2,0
2,"0",3300,21.8,0.1,-0.23,0.09,0,0,0,0,0,2.7,4.9,5.2,0.5,9.4,5.4,7.8,9,3.8,11.9,8.6,18,18,0,4.7,5.8,27,51,1,0.109207708779443,5,3,4,0
0,"0",3300,24.8,0.09,-0.17,-0.02,0,0,0,0,0,4.3,4.1,4.2,0.6,7.3,5.2,6.6,7,2.2,11.1,6.5,21,12,6.4,3.9,5.2,20,50,3,0.115740740740741,5,4,3,0
0,"0",3200,24.8,0.06,0.17,0.05,0.3,0.2,0,0.1,25,4.7,4.7,3.3,0.6,5,11.6,7.5,6,1.5,13.6,5.6,26,17,20.3,2.6,11.9,29,47,2,0.108796296296296,5,5,3,0
0,"0",3200,23.5,0.05,0.07,0.01,0.3,0.2,0,0,4.5,4.3,5.1,4.3,1.2,5.1,3.8,6.2,7,2.5,10,6.7,25,14,6.7,0,2,31,58,1,0.130630630630631,5,5,4,0
0,"0",3200,27,-0.15,0.01,-0.12,0.3,0.2,0.2,0,5,3.3,4.1,3.6,0.6,8.8,4.3,6.4,6,2.4,10.4,7,6,4,0.7,6.1,6,24,45,1,0.0986842105263158,6,4,6,0
1,"0",3200,22.8,0.06,-0.16,0.09,0,0,0,0,0,5,5,6.1,0.4,6.8,4.7,6.5,10,1.2,11.8,10,26,24,0,2.2,3.7,32,56,0,0.149333333333333,2,2,8,0
0,"0",3200,25.3,0.08,-0.14,-0.05,0,0,0,0,0,2.3,3.8,4.3,0.3,9.4,4.5,7.2,7,2.7,11.8,8.2,9,11,3.3,8,2.1,29,45,2,0.121951219512195,4,4,4,1
0,"0",3200,19.3,-0.01,-0.12,-0.07,0,0.1,0.2,0,2,3.3,4.4,4.1,0.3,7.4,12.6,7,7,2.7,11.2,6.3,8,7,13.9,8.4,0,24,49,4,0.0981963927855711,6,4,1,0
1,"0",3100,24.8,0.06,0.17,0.05,0,0,0,0,0,4.7,4.6,4.3,0.9,6.9,4.1,6,7,2.6,9.4,6.2,26,17,0,5.6,6.8,34,59,0,0.136574074074074,3,3,6,0
3,"0",3100,19.8,0.13,-0.05,0.06,0,0,0,0,0,5.3,4.8,5.3,0.3,8.5,5.4,8.5,9,2.9,14.2,7.9,30,25,9.8,1.3,5.1,35,59,3,0.144607843137255,4,4,2,0
0,"0",3000,21.3,0.06,0.14,0.2,0,0,0,0,0,1.7,1.7,2.7,0.6,4.1,1.6,2.9,4,-0.4,6.2,4.5,18,32,0,0,0,10,17,2,0.0353430353430353,9,7,5,0
0,"0",3000,21.3,0.06,0.14,0.2,0,0,0,0,0,4,4.9,4.1,1.1,5.6,7.2,8.2,6,4,12.3,7.2,18,32,5.8,14.1,1.6,32,63,4,0.130977130977131,3,3,2,0
0,"0",3000,23.3,-0.05,0.09,-0.04,0,0,0,0,0,3,2.7,2.6,0.3,7.3,2.6,4.4,4,0.6,8.2,4.6,16,13,3.1,1.5,3.1,11,22,1,0.0467091295116773,7,7,6,0
0,"0",3000,22.3,0.05,-0.14,-0.08,0,0,0,0,0,2,2.6,1.4,0.6,6.1,6.4,6.1,2,3.1,9.2,2.6,9,3,0,0,0,8,20,4,0.0560224089635854,9,7,1,0
0,"0",3000,23.3,-0.05,0.09,-0.04,0,0.2,0,0,2.5,1.3,4.1,1,0.4,9.4,0,7.1,2,-3.5,17.7,1.9,16,13,0,0,0,20,43,2,0.0912951167728238,5,5,4,0
0,"0",3000,23,-0.2,0.15,-0.34,0,0,0,0,0,1.7,2.8,0.5,0.6,10.9,5.4,4.8,1,2.2,7.5,0,1,1,0,8,1.3,10,15,0,0.0380710659898477,7,7,10,0
0,"0",3000,21,0.11,-0.13,0.14,0,0,0,0,0,1.3,2.3,0,0.1,7.5,5.3,4.3,0,-1.2,9.8,0,22,30,0,14.6,0,9,18,2,0.0441176470588235,7,7,3,0
0,"0",3000,21,0.11,-0.13,0.14,0,0,0,0,0,2.3,1.9,2.2,0.6,8.4,6.8,4.3,4,0.4,8.2,3.8,22,30,0,7.6,0,7,15,2,0.0367647058823529,8,8,3,0
0,"0",3000,25,0.02,0.08,-0.01,0,0,0,0,0,1.3,2.6,5,0.7,8.7,6,6.1,8,2.3,9.9,9,20,20,0,7.3,7.9,20,25,3,0.049800796812749,7,7,5,0
3,"0",3000,27,0.12,-0.08,0.07,0,0,0,0,0,2.3,2,4.6,0,13.5,7.6,5.7,7,0.1,11.3,8.7,27,19,9.6,0,0,6,8,1,0.0178571428571429,10,11,4,0
0,"0",3000,25,-0.01,-0.05,0.07,0,0,0,0,0,1.3,1.5,1.4,0.3,3.4,1.8,1.1,2,-0.3,2.5,2.3,11,27,4,0,1.4,8,18,0,0.0368852459016393,8,7,8,0
0,"0",3000,23.5,0.05,0.07,0.01,0.3,0.3,0,0,3,3,3,1.8,0,8.9,3.8,3.8,3,-0.8,8.4,3.9,25,14,0,0,0,3,8,0,0.018018018018018,12,10,8,0
0,"0",3000,24.8,0.09,-0.17,-0.02,0.3,0.1,0,0,-3,2,3.7,2.4,0.5,4.7,0.3,4,4,-0.8,8.8,4.6,21,12,-0.3,0,0,20,41,1,0.0949074074074074,5,5,5,0
0,"0",3000,19,0.01,0.08,-0.13,0,0.2,0.2,0,0,1.3,3.7,3.2,0.8,5.8,1,5.7,6,-0.5,12,5.6,19,6,0,0,3,25,46,3,0.104783599088838,5,4,2,0
0,"0",3000,23,0.03,0.32,0.04,0,0,0,0,0,1.3,0.4,0.5,0.1,10,2,0.8,1,-0.4,1.9,1.3,31,31,2.6,1.7,1.7,4,5,0,0.0111856823266219,11,11,6,0
0,"0",3000,23,0.03,0.32,0.04,0,0,0,0,0,1.5,1.5,0.5,0,19.3,3.9,3.9,1,-1.6,9.4,0,31,31,7.8,0,0,2,3,0,0.00671140939597315,12,12,6,0
0,"0",3000,24.8,-0.09,0,0.05,0,0,0,0,0,4,1.8,1,0.3,8.3,7.3,3.9,2,0.1,7.8,1.6,12,22,7.5,3.9,10.4,13,21,1,0.0475113122171946,6,6,6,0
1,"0",3000,17.3,0.03,-0.08,-0.02,0,0,0,0,0,4.3,1.5,4.3,0.4,4.8,6.8,2,8,-2.6,6.5,10,18,7,2.9,15.4,2,10,18,1,0.0414746543778802,9,9,4,0
0,"0",3000,17.5,-0.16,-0.03,-0.23,0,0,0,0,0,2.3,1.7,3.8,0.3,4.5,1.7,2.4,6,-1.9,6.7,7.9,2,2,6.1,0,0,5,10,1,0.0202020202020202,10,10,5,0
0,"0",3000,17.5,-0.16,-0.03,-0.23,0,0,0,0,0,0.7,1.1,2.3,0.1,12.9,0.9,2.8,4,-1.3,6.9,3.5,2,2,0,0,0,5,9,1,0.0181818181818182,10,11,5,0
0,"0",3000,19.8,-0.02,0.59,0.09,0,0,0,0,0,1.7,3,1.2,0,5.2,1.7,4.3,2,-0.2,8.8,2,32,32,0,0,0,14,21,0,0.0506024096385542,6,6,7,0
13,"0",3000,19.8,-0.02,0.59,0.09,0,0.1,0,0,30,6.7,5.1,4.1,0.3,7.2,10.1,7.3,7,3.1,11.4,7.7,32,32,16.1,4.4,0,30,50,2,0.120481927710843,4,4,3,0
0,"0",3000,22.8,0.06,-0.16,0.09,0,0,0,0,0,2.7,2.3,0,0,8.1,4.1,3.1,0,0.4,5.8,0,26,24,0,0,0,5,10,0,0.0266666666666667,10,9,8,0
4,"0",3000,24.3,-0.06,0.07,0.12,0,0,0,0,0,1.7,2,5.1,0.3,6.6,3.7,3.8,8,-1.1,8.6,10,13,21,9.8,0,0,11,19,2,0.0450236966824645,9,9,5,0
2,"0",3000,24.3,-0.06,0.07,0.12,0,0,0,0,0,2.7,2.2,5.5,0.6,6.8,3.8,4.4,9,0.7,8.1,9.8,13,21,1.5,7.7,0,14,20,2,0.0473933649289099,8,8,5,0
0,"0",3000,19.8,0.13,-0.05,0.06,0,0,0,0,0,2,1.6,1.1,0,3.4,1.8,1.3,2,0.5,2.1,2,30,25,1.8,0,2,4,7,0,0.017156862745098,8,9,5,0
10,"0",3000,25.3,0.05,-0.12,0.04,0,0,0,0,0,6.7,5.4,4.6,0.9,6.5,6.5,6.4,8,3.3,9.4,9.4,17,22,11.8,2.8,4.9,37,67,0,0.17312661498708,3,3,5,0
0,"0",3000,25.3,0.05,-0.12,0.04,0,0,0,0,0,3,2.4,1.4,0.3,8.6,3.8,3.4,3,1.1,5.7,3.9,17,22,0,2.7,1.6,13,24,0,0.062015503875969,6,5,5,0
0,"0",3000,25.3,0.05,-0.12,0.04,0,0,0,0,0,1,1,0,0,13.8,2,3.3,0,-0.6,7.3,0,17,22,2.4,0,0,4,5,1,0.0129198966408269,9,9,3,0
0,"0",3000,25.3,0.08,-0.14,-0.05,0,0,0,0,0,1.7,2.7,1.2,0.5,6.4,2.9,4.2,2,-0.6,9.1,2,9,11,0,0,6.9,14,27,3,0.0731707317073171,6,6,3,0
0,"0",3000,21.8,0.1,-0.23,0.09,0,0,0,0,0,2.3,2.4,0.7,0.1,5.7,2.1,4.1,1,0.2,8,1.2,18,18,1.8,2.8,1.8,7,17,2,0.0364025695931477,11,9,3,0
1,"0",3000,19.3,-0.01,-0.12,-0.07,0,0,0,0,0,3.3,3.3,3.3,0.2,7.1,6.2,4.3,5,1,7.6,5.2,8,7,7.1,5,6.5,26,43,0,0.0861723446893788,5,5,8,0
