"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk-1.Fpts","Wk-2.Fpts","Wk-3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
1,"0",3400,17.8,-0.02,0.05,0.07,0,0,0.2,0,0,5.7,5.9,5.7,0.7,8.7,11.6,9.7,11,3.5,15.9,8.2,11,24,2.1,20.7,12.1,32,43,0,0.142857142857143,1,3,8,0
11,"0",3400,24.8,-0.1,0.16,0.02,1,0.9,0,0,4,3,3.3,4.3,0.6,9.7,12.9,9.7,7,3,16.3,7.2,21,23,21.5,13.1,4,19,23,4,0.08984375,4,4,1,0
2,"0",3400,20.8,0.17,-0.26,0.07,0,0,0,0,0,6,4.6,4.5,0.3,11.2,10.8,10.5,8,4.3,16.7,7.8,27,31,0,13.2,11.1,20,32,3,0.134453781512605,5,4,1,0
0,"0",3400,23.8,-0.05,-0.03,0.06,0,0,0,0,0,4.3,3.8,3.4,0.5,6.5,9.1,6.5,6,1.7,11.3,5.6,9,19,6.8,0,12.8,10,26,2,0.0988593155893536,6,5,2,0
2,"0",3300,23.3,0.04,0.03,0.08,0.3,0.6,0,0,3.8,5.3,3.4,3.5,0.4,8.1,13.6,7.7,6,0.4,15,8.2,24,15,6.6,19.7,0,21,25,2,0.103305785123967,4,4,2,0
1,"0",3300,29.8,0.14,0.06,0,0,0,0,0,0,3.7,2.8,1.9,0.5,4.8,6.4,4.8,3,-0.8,10.5,3.4,28,8,13,2.9,3.4,8,11,1,0.0380622837370242,6,7,4,0
1,"0",3300,18.5,-0.05,-0.17,-0.13,0,0,0,0,0,5.7,5.3,4.3,0.5,8.1,10.9,9.8,8,0.8,18.8,8.6,4,8,0,19.3,4.2,13,33,3,0.136929460580913,4,3,1,0
0,"0",3300,21.3,0.09,-0.01,-0.16,0,0.1,0.2,0,2,6,4.9,5.8,0.3,5.4,4.3,4.6,10,2.8,6.5,9.9,18,4,0,2.1,7.8,14,33,1,0.108196721311475,5,4,2,0
1,"0",3200,21,0.01,-0.15,-0.04,0,0.3,0.2,0,0,5.3,4.5,3.1,0.9,6.2,10.6,7.8,6,1.1,14.5,6,10,14,20.1,3.9,7.8,22,37,3,0.123333333333333,4,4,1,0
0,"0",3200,24.8,-0.11,-0.24,0.03,0,0,0,0,0,4.3,5,3.8,0.5,6.8,4.9,8.1,6,1.2,15,6.7,7,26,0,0,7.5,13,19,1,0.0688405797101449,6,6,5,1
3,"0",3100,22.3,0.14,-0.13,0.19,0.3,0.3,0,0,6.5,3,5.4,7.2,0.1,7.7,5.7,8.6,11,1.7,15.6,13.2,31,26,8.8,4.3,0,29,42,0,0.156133828996283,2,2,6,0
0,"0",3100,20,0.05,-0.13,0,0,0.1,0,0,5,4.7,5.1,4.6,1.3,6,5,7,7,2.9,11.1,7.2,12,18,5.5,3,6.4,22,39,1,0.175675675675676,2,2,2,0
1,"0",3100,24.8,-0.1,0.16,0.02,0,0,0,0,0,3.7,4.9,4.7,0.7,8.4,6.5,7.4,8,4.2,10.5,6.6,21,23,8.9,4.9,5.6,23,37,0,0.14453125,3,3,5,0
0,"0",3100,23.8,-0.05,-0.03,0.06,0,0,0,0,0,4.3,4.7,2.3,0.7,5.5,3,5.9,4,0.7,11,4.8,9,19,1.3,0,4.3,18,33,1,0.125475285171103,5,3,4,0
5,"0",3100,25.5,0.06,-0.23,0.1,0,0,0,0,0,4.7,4.8,4,0.3,8.1,7.4,7.6,7,-1.4,16.7,6.9,13,13,11.2,8.8,2.1,21,40,1,0.136986301369863,5,3,6,0
1,"0",3100,24.5,0,0.1,0.09,0,0,0,0,0,5.3,4.9,4.3,0.6,7.2,8.1,6.6,7,3.6,9.7,9.4,15,18,9.7,8.1,6.5,24,36,0,0.147540983606557,3,3,5,0
0,"0",3000,26.8,0.1,0.06,0.01,0,0,0,0,0,1.3,2,1.2,0.1,7.1,0.6,3.3,2,-1.6,8.1,2.5,26,27,0,0,1.8,8,15,1,0.0528169014084507,9,6,6,0
0,"0",3000,26.8,0.1,0.06,0.01,0,0,0,0,0,2,1.9,1.8,0.4,6.4,3.6,4.3,3,0.4,8.2,3.3,26,27,2.3,2.6,6,10,13,2,0.0457746478873239,8,8,4,0
0,"0",3000,22.3,0.14,-0.13,0.19,0,0,0,0,0,3,3,5.2,0,2,1.1,1.1,8,-0.5,2.7,9.5,31,26,0,0,0,1,6,0,0.0223048327137546,11,8,6,0
0,"0",3000,22.3,0.14,-0.13,0.19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,31,26,0,0,0,0,1,0,0.00371747211895911,13,13,6,0
1,"0",3000,26.8,0.1,0.06,0.01,0,0,0,0,0,2.7,2.6,1.8,0,13.5,8.4,6.9,3,1.4,12.4,3.2,26,27,0,0,0,11,14,1,0.0492957746478873,7,7,6,1
0,"0",3000,19.3,-0.14,-0.14,-0.35,0,0,0,0,0,1.3,1,1,0.1,6.1,4.1,2.7,2,-1,6.5,1.3,1,2,0,3,9.3,5,8,1,0.0271186440677966,7,6,6,0
0,"0",3000,23.3,0.04,0.03,0.08,0,0,0,0,0,0.7,2.3,0.9,0,5.8,0.4,2.2,2,-1.1,5.4,1.4,24,15,0,0,0,6,16,0,0.0661157024793388,7,6,5,0
0,"0",3000,20,0.05,-0.13,0,0,0,0,0,0,5.7,4.4,5.3,0.7,6.3,7.5,6.2,9,3.4,9,9.2,12,18,10.5,8.8,3.3,20,35,1,0.157657657657658,4,3,2,0
0,"0",3000,20.8,-0.06,0.26,0,0.3,0.2,0,0,30,5,4.2,3,0.2,6.1,7.5,5.5,5,2.7,8.4,6.6,19,25,6.1,10.1,6.4,15,25,0,0.087719298245614,5,5,6,0
0,"1",3000,17.8,-0.02,0.05,0.07,0,0,0,0,0,1,1,0,0.7,4.7,3.1,3.1,0,-2.3,8.6,0,11,24,9.4,0,0,2,3,1,0.00996677740863787,11,11,4,0
0,"0",3000,24.8,-0.1,0.16,0.02,0,0,0,0,0,3.3,3.6,2.2,0.4,5.2,5.1,4.3,4,0.9,7.7,3.6,21,23,0,1.4,3.6,12,18,0,0.0703125,7,6,5,0
0,"0",3000,21,0.01,-0.15,-0.04,0,0,0,0,0,6.3,4.7,3.7,0.4,5.5,6.1,4.9,7,1.1,8.7,6.6,10,14,5.2,1.5,11.5,16,32,0,0.106666666666667,5,5,5,0
0,"1",3000,24.8,-0.11,-0.24,0.03,0.3,0.2,0,0,60,3.3,2.6,2.4,0.4,5.2,11.4,7.2,4,1.3,13,3.8,7,26,0,12,12,6,14,3,0.0507246376811594,8,8,2,0
0,"0",3000,29,-0.13,0.72,-0.07,0,0,0,0,0,1.7,3.3,0.7,0.8,8.5,5.3,6.3,1,1.6,11.1,0,29,20,6.4,8,1.6,15,19,1,0.0618892508143322,7,7,6,0
0,"0",3000,24,0.13,0.03,0,0,0,0,0,0,4.3,4.4,3.1,0.4,6,5.7,5.4,5,1.9,8.9,5.3,26,17,0,4.3,9.2,20,32,0,0.152380952380952,2,2,5,1
0,"0",3000,23.8,-0.05,-0.03,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,1,0,0.00380228136882129,12,10,8,0
0,"0",3000,22,0.11,-0.2,0.04,0.3,0.1,0,0.1,1,3.3,5.8,4,0.4,5.6,4,6.1,7,1.4,10.8,9,20,12,2.1,9.9,0.1,24,52,0,0.2,4,1,9,0
1,"0",3000,21.8,0.11,0.16,0.21,0,0.1,0,0,0,4,3,1.5,0.3,5.4,4.2,3.4,3,0.3,6.4,3,26,26,1.9,1.8,8.9,15,24,0,0.0875912408759124,4,4,5,0
0,"0",3000,21.8,0.11,0.16,0.21,0,0,0,0,0,3,2.5,0.9,0.2,3.7,4.3,3.1,2,-1.1,7.3,2.2,26,26,0,1.7,11.2,7,15,1,0.0547445255474453,7,7,4,0
0,"0",3000,22.8,-0.23,0.09,-0.44,0,0,0,0,0,1.3,1.7,1.9,0.6,3.6,3.9,3.5,3,0,7,3.2,2,1,1,1.5,9.1,8,12,2,0.0356083086053412,8,8,3,0
2,"0",3000,22.8,-0.23,0.09,-0.44,0,0,0,0,0,7.3,5.5,4.5,1.1,5.6,10,8.8,7,5.1,12.6,8.1,2,1,15.9,8.2,5.9,23,45,3,0.13353115727003,3,3,2,0
0,"0",3000,18.5,-0.05,-0.17,-0.13,0,0,0,0,0,3.7,3,2.8,0.5,5.5,5.4,5.9,5,2.3,9.5,5.5,4,8,0,0,0,5,14,2,0.0580912863070539,9,6,2,0
0,"0",3000,24.5,0,0.1,0.09,0,0,0,0,0,2,2.3,0.9,0.2,8.3,3.7,3.3,2,0.9,5.7,2.5,15,18,5.3,2,0,8,15,0,0.0614754098360656,6,6,5,0
