Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
Isaiah Crowell,RB,CLE,vs TEN,10th,4400,2.6,23,8.8,9.42,9.42,100,57,2.1,13.2,3
Jason Witten,TE,DAL,@ PHI,8th,4300,8.7,25.8,10.3,14.44,14.44,100,63,3.4,12.6,2.9
Darren McFadden,RB,DAL,@ PHI,8th,4200,4.6,18.1,13.4,9.13,9.13,100,0,2.2,7.2,1.7
David Johnson,RB,ARI,@ CHI,18th,4200,0,22.2,13.7,3.83,3.83,100,60,0.9,17.5,4.2
Terrance Williams,WR,DAL,@ PHI,8th,4200,6.7,25.9,9.8,13.1,13.1,100,0,3.1,18.4,4.4
Doug Baldwin,WR,SEA,@ GB,29th,4200,0,27.1,17.4,8.69,8.69,100,62,2.1,22.2,5.3
Shane Vereen,RB,NYG,vs ATL,22nd,4200,5.7,24,9.9,11.83,11.83,100,33,2.8,17.5,4.2
Stevie Johnson,WR,SD,@ CIN,19th,4200,7.3,26.2,12.5,13.55,13.55,100,0,3.2,15.5,3.7
Devonta Freeman,RB,ATL,@ NYG,1st,4200,1,30.1,22.1,10.67,10.67,100,0,2.5,15.9,3.8
Tyler Eifert,TE,CIN,vs SD,10th,4200,4,29.5,15,12.53,12.53,100,0,3,14.9,3.5
Kenny Stills,WR,MIA,@ JAC,27th,4100,0,20.8,5.9,6.95,6.95,100,0,1.7,2.8,0.7
Kenny Britt,WR,STL,@ WAS,11th,4100,1.5,23.7,7.8,8.89,8.89,100,31,2.2,12.4,3
Austin Seferian-Jenkins,TE,TB,@ NO,7th,4100,7.5,18.9,11.7,11.28,11.28,100,62,2.8,4.9,1.2
Michael Crabtree,WR,OAK,vs BAL,23rd,4100,1.4,25.1,15,9.33,9.33,100,55,2.3,29.1,7.1
Danny Woodhead,RB,SD,@ CIN,19th,4000,6.9,31.8,15.3,15.21,15.21,100,64,3.8,16.4,4.1
Jordan Cameron,TE,MIA,@ JAC,27th,4000,5.2,24.6,5.7,11.65,11.65,100,0,2.9,9.2,2.3
Greg Jennings,WR,MIA,@ JAC,27th,3900,2.4,16.8,3.8,7.19,7.19,100,0,1.8,0,
Reggie Bush,RB,SF,@ PIT,9th,3800,2.5,21.4,1.7,8.77,8.77,100,0,2.3,,
Markus Wheaton,WR,PIT,vs SF,13th,3800,5.7,20.1,9.6,10.52,10.52,100,0,2.8,8.7,2.3
Chris Johnson,RB,ARI,@ CHI,18th,3800,6.4,22,11,11.56,11.56,100,0,3,7.2,1.9
Allen Hurns,WR,JAC,vs MIA,6th,3800,3.7,27.7,16.1,11.69,11.69,100,30,3.1,10.8,2.8
DeVante Parker,WR,MIA,@ JAC,27th,3700,4.2,23.4,12.1,10.61,10.61,100,0,2.9,1.3,0.4
Jordan Reed,TE,WAS,vs STL,15th,3700,3,28.8,18,11.62,11.62,100,36,3.1,14.2,3.8
Alfred Blue,RB,HOU,@ CAR,20th,3700,2.7,18.6,8.7,8.04,8.04,100,0,2.2,2,0.5
Eddie Royal,WR,CHI,vs ARI,32nd,3700,3.7,28.9,7.4,12.07,12.07,100,46,3.3,11.1,3
Marqise Lee,WR,JAC,vs MIA,6th,3700,0,11.4,4.9,0,0,100,0,0,5.9,1.6
Ryan Mathews,RB,PHI,vs DAL,25th,3600,3.5,27.5,10,11.5,11.5,100,42,3.2,0,
Zach Ertz,TE,PHI,vs DAL,20th,3600,0.2,26.9,11.8,9.13,9.13,100,25,2.5,4.7,1.3
Charles Sims,RB,TB,@ NO,4th,3600,0.6,16.5,11.4,5.9,5.9,100,60,1.6,8.2,2.3
Marvin Jones,WR,CIN,vs SD,14th,3600,0.1,27.7,10.9,9.29,9.29,100,26,2.6,13.1,3.6
Jermaine Kearse,WR,SEA,@ GB,29th,3600,3.6,18,9.4,8.44,8.44,100,55,2.3,0,
Ladarius Green,TE,SD,@ CIN,19th,3500,3.4,22.3,8.3,9.68,9.68,100,0,2.8,9.7,2.8
Matt Jones,RB,WAS,vs STL,15th,3500,0.7,25.3,9.6,8.93,8.93,100,0,2.6,31.6,9
Rashad Greene,WR,JAC,vs MIA,6th,3500,8.2,11,5.1,9.15,9.15,100,53,2.6,2.7,0.8
Terrance West,RB,TEN,@ CLE,24th,3500,0,19.4,3.4,6,6,100,0,1.7,0,
Darren Sproles,RB,PHI,vs DAL,25th,3500,4.7,25.4,10.1,11.56,11.56,100,0,3.3,5.9,1.7
Heath Miller,TE,PIT,vs SF,14th,3500,4.8,25.2,8.7,11.62,11.62,100,0,3.3,11.5,3.3
