"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
15238,"Corey Lemonier","OLB","SF","TB",15,5,10,0,0,0,0,0,20
15516,"Tony Jefferson","SS","ARI","TEN",15,5,6,0,0,0,0,0,20
14918,"Tyler Eifert","TE","CIN","PIT",15,47,68,0,6,6,6,12.3,19.8
14338,"Luke Kuechly","ILB","CAR","NYJ",15,62,100,0,0,0,0,0,19.5
14533,"Robert Turbin","RB","SEA","NYG",15,18,26,50,6,56,56,4.5,19.4
2428,"Carson Palmer","QB","ARI","TEN",15,68,100,3,0,47,47,13.14,19.3
12800,"Bilal Powell","RB","NYJ","CAR",15,29,47,28,14,41,41,9.6,19.3
5094,"Marques Colston","WR","NO","LA",15,79,92,0,17,10,17,23.2,19.2
11455,"Greg Hardy","DE","CAR","NYJ",15,53,86,0,0,0,0,0,19.1
1944,"Santana Moss","WR","WAS","ATL",15,44,65,0,21,18,21,18.4,19.1
14375,"Lavonte David","OLB","TB","SF",15,66,89,0,0,0,0,0,18.9
2379,"Antoine Bethea","SS","IND","HOU",15,65,100,0,0,0,0,0,18.8
14582,"Winston Guy","SS","JAX","BUF",15,64,84,0,0,0,0,0,18.8
12622,"Jake Ballard","TE","ARI","TEN",15,39,57,0,8,8,8,10.3,18.7
11932,"LeSean McCoy","RB","PHI","MIN",15,57,83,14,12,23,26,15.6,18.6
13957,"Kendall Wright","WR","TEN","ARI",15,81,94,0,25,15,25,30,18.5
3942,"Tramon Williams","CB","GB","DAL",15,73,100,0,0,0,0,0,18.5
5353,"Daryl Smith","OLB","BAL","DET",15,65,100,0,0,0,0,0,18.5
4162,"Paul Posluszny","ILB","JAX","BUF",15,76,100,0,0,0,0,0,18.4
3061,"Marcedes Lewis","TE","JAX","BUF",15,62,83,0,11,7,11,15.4,18.4
10091,"Kyle Arrington","CB","NE","MIA",15,62,97,0,0,0,0,0,18.4
5820,"Frank Gore","RB","SF","TB",15,47,64,47,0,47,47,8.6,18.3
