"ID","Player","Pos","Team","Opp","Week","Snaps","Snap.Pct","Rush.Pct","Tgt.Pct","Touch.Pct","Util.Pct","Fantasy.Points","Points.100.Snaps"
4932,"Eli Manning","QB","NYG","DEN",2,79,100,0,0,62,62,17.48,13.3
4895,"Thomas Davis","OLB","CAR","BUF",2,75,100,0,0,0,0,0,13.3
15067,"DJ Hayden","CB","OAK","JAX",2,45,67,0,0,0,0,0,13.3
14594,"Griff Whalen","WR","IND","MIA",2,21,29,0,14,10,14,4.8,13.3
12215,"Reshad Jones","SS","MIA","IND",2,72,100,0,0,0,0,0,13.2
11993,"Chris Houston","CB","DET","ARI",2,68,96,0,0,0,0,0,13.2
11182,"Eric Decker","WR","DEN","NYG",2,66,89,0,20,14,20,17.7,13.2
13124,"DeMarco Murray","RB","DAL","KC",2,56,88,21,11,30,32,12.4,13.2
11612,"Earl Thomas","FS","SEA","SF",2,53,98,0,0,0,0,0,13.2
14975,"Vince Williams","ILB","PIT","CIN",2,42,51,0,0,0,0,0,13.1
8355,"Julian Edelman","WR","NE","NYJ",2,63,97,2,29,22,30,21.2,13
8778,"Brandon Myers","TE","NYG","DEN",2,57,72,0,18,11,18,13.4,13
3760,"Brandon Meriweather","SS","WAS","GB",2,23,32,0,0,0,0,0,13
897,"Johnny Jolly","NT","GB","WAS",2,23,38,0,0,0,0,0,13
8604,"Donald Brown","RB","IND","MIA",2,23,32,30,0,30,30,3,13
13171,"Aldrick Robinson","WR","WAS","GB",2,10,16,0,20,10,20,2.3,13
11700,"Dwight Lowery","FS","JAX","OAK",2,62,98,0,0,0,0,0,12.9
2550,"Kyle Williams","DT","BUF","CAR",2,58,73,0,0,0,0,0,12.9
14871,"Robert Woods","WR","BUF","CAR",2,71,95,1,9,7,10,13.1,12.8
2556,"Dominique Rodgers-Cromartie","CB","DEN","NYG",2,71,90,0,0,0,0,0,12.7
11105,"Kareem Jackson","CB","HOU","TEN",2,63,90,0,0,0,0,0,12.7
2429,"Andre Johnson","WR","HOU","TEN",2,60,73,0,22,13,22,15.6,12.7
2503,"D'Qwell Jackson","ILB","CLE","BAL",2,72,100,0,0,0,0,0,12.5
12881,"Buster Skrine","CB","CLE","BAL",2,72,100,0,0,0,0,0,12.5
6681,"DeAngelo Hall","FS","WAS","GB",2,72,100,0,0,0,0,0,12.5
13415,"Patrick Peterson","CB","ARI","DET",2,59,100,0,2,3,3,3.38,12.5
13154,"Jacquian Williams","OLB","NYG","DEN",2,52,70,0,0,0,0,0,12.5
15019,"Ace Sanders","WR","JAX","OAK",2,51,76,0,14,10,14,11.4,12.5
5984,"Cullen Jenkins","DE","NYG","DEN",2,44,60,0,0,0,0,0,12.5
6465,"Kevin Williams","DT","MIN","CHI",2,40,60,0,0,0,0,0,12.5
12101,"Reggie Walker","ILB","SD","PHI",2,36,61,0,0,0,0,0,12.5
