"Bryce Harper_Was","Daniel Murphy_Was","Nolan Arenado_Col","Adam Eaton_Was","Charlie Blackmon_Col","Trea Turner_Was","Paul Goldschmidt_Ari","Ryan Zimmerman_Was","Anthony Rendon_Was","Trevor Story_Col","Wil Myers_SD","Carlos Gonzalez_Col","Jayson Werth_Was","Ian Desmond_Col","DJ LeMahieu_Col","David Dahl_Col","Michael Taylor_Was","Matt Wieters_Was","Adam Lind_Was","Mark Reynolds_Col","AJ Pollock_Ari","Jake Lamb_Ari","Yasmany Tomas_Ari","Gerardo Parra_Col","Ryan Schimpf_SD","Yangervis Solarte_SD","David Peralta_Ari","Stephen Drew_Was","Manuel Margot_SD","Wilmer Difo_Was","Stephen Cardullo_Col","Raimel Tapia_Col","Brandon Drury_Ari","Chris Owings_Ari","Alex Dickerson_SD","Hunter Renfroe_SD","Dustin Garneau_Col","Chris Heisey_Was","Cory Spangenberg_SD","Tom Murphy_Col","Jeremy Hazelbaker_Ari","Chris Herrmann_Ari","Travis Jankowski_SD","Jose Lobaton_Was","Socrates Brito_Ari","Pat Valaika_Col","Tony Wolters_Col","Christian Bethancourt_SD","Austin Hedges_SD","Cristhian Adames_Col","Chris Iannetta_Ari","Erick Aybar_SD","Alexi Amarista_Col","Daniel Descalso_Ari","Luis Sardinas_SD","Allen Cordoba_SD","Grant Green_Was","Nick Ahmed_Ari","Jabari Blash_SD","Hector Sanchez_SD","Jeff Mathis_Ari","Luis Torrens_SD"
0,0,14.05,0,5.4,0,0,0,0,-10.25,0,-7.66666666666667,0,0,2.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,21.1333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3296703296703,4.01666666666667,21.5714285714286,0,0,0,25.3956043956044,0,0,0,0,0,38.5661764705882,16.5833333333333,0,0,0,0,0,0,75.8333333333333,8.33333333333333,0,0,0,0,0,0,0,0,-7.97619047619048,0,0,9.33333333333333,0,0,0,12.5,0,0,-6.18055555555556,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2857142857143,-24.7142857142857,9.59523809523809,0,0,0,29.8653846153846,0,0,0,0,0,16.5833333333333,67.2958333333333,0,0,0,0,0,0,0,-40.6666666666667,0,0,0,0,0,0,0,0,-29.55,0,0,-2.83333333333333,0,0,0,-9,0,0,-6.84444444444444,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12.7124183006536,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.87916666666667,-6.38888888888889,0,0,-1.37867647058824,0,0,0,0,0,0,42.2908496732026,0,0,0,0,0,0,-5.86363636363636,0,0,0,0,0,5.45238095238095,0,0,-17.8285714285714,0,0,-41.3333333333333,17.8,0,0,-2,0,0,3
0,0,12.0714285714286,0,14.8809523809524,0,0,0,0,2.76190476190476,0,-1.6,0,0,7.88095238095238,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,14.6190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-137.5,-11,0,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,0,0,0,0,0,0,0,60.5,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-4.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33333333333333,0,0,0,0,52,0,0,0,0,0,75.8333333333333,0,0,0,0,0,0,0,56.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,39.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.08333333333333,50.1,110,0,0,0,79.35,0,0,0,0,0,8.33333333333333,-40.6666666666667,0,0,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,0,0,-12.1590909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.02272727272727,-2.54545454545455,0,0,-4.34545454545455,0,0,0,0,0,0,-5.86363636363636,0,0,0,0,0,0,11.4772727272727,0,0,0,0,0,-17.1555555555556,0,0,2.91111111111111,0,0,0,0,0,0,0,0,0,0
125,7,0,-66,0,0,0,-8,-9,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,-55,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.83333333333333,0,17.6666666666667,0,0,0,0,12.6666666666667,0,5.77777777777778,0,0,-15.2777777777778,0,0,0,0,19.2222222222222,0,0,0,-8.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14.2142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.1373626373626,9.85714285714286,0,0,-12.5824175824176,0,0,0,0,0,0,5.45238095238095,0,0,0,0,0,0,-17.1555555555556,0,0,0,0,0,82.5238095238095,0,0,-9,0,0,73.5,1.66666666666667,0,0,13,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-21.952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-12.3809523809524,-2.4,0,0,0,-8.8,0,0,0,0,0,-7.97619047619048,-29.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5714285714286,0,0,0,0,0,0,17.1666666666667,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-4.67619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.34065934065934,13.552380952381,0,0,5.7032967032967,0,0,0,0,0,0,-17.8285714285714,0,0,0,0,0,0,2.91111111111111,0,0,0,0,0,-9,0,0,24.352380952381,0,0,0,-14.3333333333333,0,0,8,0,0,-3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,-2.5,21.3333333333333,0,0,0,-4.25,0,0,0,0,0,9.33333333333333,-2.83333333333333,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,28.6666666666667,0,0,4,0
0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66666666666667,0,0,-11.1666666666667,0,0,0,0,0,0,-41.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,73.5,0,0,0,0,0,26.3333333333333,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.75,0,0,7.33333333333333,0,0,0,0,0,0,17.8,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,-14.3333333333333,0,0,3,6.3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,-10.7,-0.416666666666667,0,0,0,-22.6666666666667,0,0,0,0,0,12.5,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1666666666667,0,0,28.6666666666667,0,0,0,63.8095238095238,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,8,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7888888888889,-21.4222222222222,-2.47222222222222,0,0,0,-19.4222222222222,0,0,0,0,0,-6.18055555555556,-6.84444444444444,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,29.6909090909091,0
0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,2
