"player","salary","team","pos","opp","ceil","floor","fpts"
"Isaiah Crowell","4100","CLE","RB","SDC","17.2454","3.9146","10.58"
"Hunter Henry","3500","SDC","TE","CLE","15.5034","3.6366","9.57"
"Matt Forte","5300","NYJ","RB","NEP","15.8725","2.2675","9.07"
"Logan Paulsen","2500","CHI","TE","WAS","3.02","0","1.51"
"Sterling Shepard","4600","NYG","WR","PHI","17.577","5.103","11.34"
"Odell Beckham","8600","NYG","WR","PHI","32.9386","9.0214","20.98"
"Paul Perkins","3200","NYG","RB","PHI","14.1332","1.7468","7.94"
"Victor Cruz","3300","NYG","WR","PHI","12.0848","1.1952","6.64"
"Roger Lewis","3000","NYG","WR","PHI","6.26","0","3.13"
"Will Tye","2800","NYG","TE","PHI","13.4622","3.1578","8.31"
"Jerell Adams","2500","NYG","TE","PHI","5.42","0","2.71"
"Rashad Jennings","4400","NYG","RB","PHI","16.912","5.488","11.2"
"Trey Burton","2500","PHI","TE","NYG","11.7304","1.9096","6.82"
"Jordan Matthews","5100","PHI","WR","NYG","20.5128","7.2072","13.86"
"Ryan Mathews","4000","PHI","RB","NYG","15.1632","3.5568","9.36"
"Nelson Agholor","3000","PHI","WR","NYG","8.7864","1.6736","5.23"
"Dorial Green-Beckham","3500","PHI","WR","NYG","14.2074","3.3326","8.77"
"Zach Ertz","5300","PHI","TE","NYG","18.5553","4.7847","11.67"
"Paul Turner","3100","PHI","WR","NYG","8.0712","1.0488","4.56"
"Byron Marshall","3000","PHI","RB","NYG","6.5504","0.8096","3.68"
"Darren Sproles","3900","PHI","RB","NYG","13.9986","4.1814","9.09"
"Alshon Jeffery","6300","CHI","WR","WAS","23.8128","5.2272","14.52"
"Ka'Deem Carey","3000","CHI","RB","WAS","2.2017","0.2583","1.23"
"Josh Bellamy","3200","CHI","WR","WAS","9.894","1.746","5.82"
"Cameron Meredith","4700","CHI","WR","WAS","19.0236","3.8964","11.46"
"Jeremy Langford","4000","CHI","RB","WAS","3.438","0.382","1.91"
"Deonte Thompson","3500","CHI","WR","WAS","12.6498","1.8902","7.27"
"Jordan Howard","6300","CHI","RB","WAS","26.3007","8.0793","17.19"
"Vernon Davis","3000","WAS","TE","CHI","12.2578","2.4222","7.34"
"Chris Thompson","3700","WAS","RB","CHI","11.745","4.455","8.1"
"Robert Kelley","5200","WAS","RB","CHI","20.9251","4.1349","12.53"
"DeSean Jackson","5500","WAS","WR","CHI","21.5298","5.0502","13.29"
"Pierre Garcon","4900","WAS","WR","CHI","19.3086","5.9314","12.62"
"Jordan Reed","5500","WAS","TE","CHI","18.2373","4.7027","11.47"
"Jamison Crowder","5600","WAS","WR","CHI","19.0805","5.5395","12.31"
"Jarvis Landry","5500","MIA","WR","BUF","21.3051","8.9149","15.11"
"DeVante Parker","4200","MIA","WR","BUF","16.77","4.73","10.75"
"Adrian Peterson","4600","MIN","RB","GBP","15.0328","2.4472","8.74"
"Jared Cook","3000","GBP","TE","MIN","14.0448","2.6752","8.36"
"Richard Rodgers","2500","GBP","TE","MIN","6.106","0.994","3.55"
"Jeff Janis","3000","GBP","WR","MIN","4.44","0","2.22"
"Doug Martin","5400","TBB","RB","NOS","20.8767","5.3833","13.13"
"Mike Evans","8500","TBB","WR","NOS","33.8752","9.0048","21.44"
"Charles Sims","3800","TBB","RB","NOS","15.248","3.812","9.53"
"Randall Cobb","4000","GBP","WR","MIN","16.1928","2.5272","9.36"
"Jordy Nelson","7000","GBP","WR","MIN","28.8904","8.6296","18.76"
"Rhett Ellison","2500","MIN","TE","GBP","2.76","0","1.38"
"Kyle Rudolph","4900","MIN","TE","GBP","18.8783","6.4617","12.67"
"Christine Michael","3500","GBP","RB","MIN","7.6608","1.2992","4.48"
"James Starks","3100","GBP","RB","MIN","5.7104","1.1696","3.44"
"Davante Adams","5400","GBP","WR","MIN","19.3684","4.2516","11.81"
"Ty Montgomery","5900","GBP","RB","MIN","22.848","5.712","14.28"
"Adam Humphries","3700","TBB","WR","NOS","16.8792","4.7608","10.82"
"Russell Shepard","3400","TBB","WR","NOS","6.8445","1.2555","4.05"
"Coby Fleener","3100","NOS","TE","TBB","14.1764","2.9036","8.54"
"Brandon Coleman","3000","NOS","WR","TBB","8.398","1.482","4.94"
"Travaris Cadet","3100","NOS","RB","TBB","10.2429","1.7371","5.99"
"John Kuhn","3000","NOS","RB","TBB","4.96","0","2.48"
"Devonta Freeman","7100","ATL","RB","CAR","24.0681","6.5919","15.33"
"John Phillips","2500","NOS","TE","TBB","3.96","0","1.98"
"Michael Thomas","6000","NOS","WR","TBB","27.3296","8.6304","17.98"
"Willie Snead","5500","NOS","WR","TBB","19.1277","4.9323","12.03"
"Cameron Brate","3900","TBB","TE","NOS","19.519","6.681","13.1"
"Freddie Martino","3000","TBB","WR","NOS","5.84","0","2.92"
"Brandon Myers","2500","TBB","TE","NOS","3.42","0","1.71"
"Mark Ingram","4400","NOS","RB","TBB","19.5","5.5","12.5"
"Brandin Cooks","6800","NOS","WR","TBB","29.4147","7.1253","18.27"
"Tim Hightower","4000","NOS","RB","TBB","15.279","3.241","9.26"
"Cordarrelle Patterson","3900","MIN","WR","GBP","14.8512","2.8288","8.84"
"Charles Johnson","3400","MIN","WR","GBP","7.6612","0.8988","4.28"
"Charles Clay","3200","BUF","TE","MIA","14.2896","4.0304","9.16"
"Marquise Goodwin","3100","BUF","WR","MIA","13.172","1.628","7.4"
"Sammy Watkins","5000","BUF","WR","MIA","19.3192","4.2408","11.78"
"Nick O'Leary","2500","BUF","TE","MIA","3.9","0","1.95"
"DeMarco Murray","7000","TEN","RB","JAC","28.2012","11.5188","19.86"
"Rishard Matthews","4900","TEN","WR","JAC","20.1572","4.8828","12.52"
"Derrick Henry","4900","TEN","RB","JAC","12.6024","1.5576","7.08"
"Justin Hunter","3000","BUF","WR","MIA","10.1569","1.8631","6.01"
"Robert Woods","3400","BUF","WR","MIA","13.0467","3.5733","8.31"
"Leonte Carroo","3000","MIA","WR","BUF","3.38","0","1.69"
"Kenny Stills","3900","MIA","WR","BUF","14.5068","3.9732","9.24"
"MarQueis Gray","2500","MIA","TE","BUF","7.6544","0.6656","4.16"
"Dion Sims","2600","MIA","TE","BUF","13.12","2.88","8"
"LeSean McCoy","9000","BUF","RB","MIA","29.9952","11.6648","20.83"
"Mike Gillislee","4500","BUF","RB","MIA","11.4552","1.8648","6.66"
"Tajae Sharpe","3200","TEN","WR","JAC","11.55","2.45","7"
"Kendall Wright","3100","TEN","WR","JAC","10.6568","1.6632","6.16"
"Ben Koyack","2500","JAC","TE","TEN","4.8504","0.7896","2.82"
"Neal Sterling","2500","JAC","TE","TEN","11.022","2.338","6.68"
"Matt Asiata","3100","MIN","RB","GBP","7.2039","0.9361","4.07"
"Jerick McKinnon","4000","MIN","RB","GBP","13.041","3.059","8.05"
"Adam Thielen","4600","MIN","WR","GBP","17.5997","4.8203","11.21"
"Stefon Diggs","5900","MIN","WR","GBP","21.976","4.824","13.4"
"Bryan Walters","3000","JAC","WR","TEN","10.742","2.358","6.55"
"Marqise Lee","4300","JAC","WR","TEN","18.5724","5.5476","12.06"
"Delanie Walker","4300","TEN","TE","JAC","20.7632","6.5568","13.66"
"Harry Douglas","3000","TEN","WR","JAC","5.26","0","2.63"
"Anthony Fasano","2500","TEN","TE","JAC","3.76","0","1.88"
"T.J. Yeldon","3800","JAC","RB","TEN","15.2985","4.4415","9.87"
"Allen Robinson","4600","JAC","WR","TEN","20.526","4.354","12.44"
"Chris Ivory","3600","JAC","RB","TEN","10.9725","2.3275","6.65"
