"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15"
"WR","Adam Thielen (7977023)","Adam Thielen",7977023,4600,"Min@GB 01:00PM ET","Min","Adam","Thielen","GB",11.21,12.7,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8,12.2,17.5,13.3,14.6,17.1,NA
"WR","J.J. Nelson (7977079)","J.J. Nelson",7977079,4400,"Ari@Sea 04:25PM ET","Ari","J.J.","Nelson","Sea",11.18,11.8,1,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA,3.9,1,5,11.2,19.4,14.8
"WR","Marqise Lee (7977011)","Marqise Lee",7977011,4300,"Ten@Jax 01:00PM ET","Jax","Marqise","Lee","Ten",12.06,12,1,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5,9.6,15.8,13.9,7.4,19.3,6
"WR","DeVante Parker (7976976)","DeVante Parker",7976976,4200,"Mia@Buf 01:00PM ET","Mia","DeVante","Parker","Buf",10.75,10.7,1,NA,21.6,14.1,4,9,7.8,5,NA,2.8,18.3,21.9,9.4,12.4,3.4,2.7
"WR","Chris Hogan (7976997)","Chris Hogan",7976997,4200,"NYJ@NE 01:00PM ET","NE","Chris","Hogan","NYJ",10.33,9.1,1,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA,NA,NA,11,12.3,27.6,2.8
"WR","Anquan Boldin (7977132)","Anquan Boldin",7977132,4100,"Det@Dal 08:30PM ET","Det","Anquan","Boldin","Dal",10.26,13.2,1,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA,9.7,19.9,8,13.9,4.3
"WR","Quincy Enunwa (7976996)","Quincy Enunwa",7976996,4000,"NYJ@NE 01:00PM ET","NYJ","Quincy","Enunwa","NE",9.3,8.7,1,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5,1.7,NA,24.9,2,5.9,11.4
"WR","Randall Cobb (7977018)","Randall Cobb",7977018,4000,"Min@GB 01:00PM ET","GB","Randall","Cobb","Min",0,0,1,12.8,9.3,4.3,NA,22.8,18.3,28.6,NA,9.4,7.1,11.4,10.1,10.9,6.3,NA
"WR","Tavon Austin (7977089)","Tavon Austin",7977089,4000,"SF@LA 04:25PM ET","LA","Tavon","Austin","SF",9.37,11.2,1,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8,4.9,3.9,15.5,NA,15.9,5.7
"WR","Kenny Stills (7976970)","Kenny Stills",7976970,3900,"Mia@Buf 01:00PM ET","Mia","Kenny","Stills","Buf",9.24,6.6,1,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1,12.7,7.3,16.2,4.1,21.7,12.2
"WR","Allen Hurns (7977008)","Allen Hurns",7977008,3900,"Ten@Jax 01:00PM ET","Jax","Allen","Hurns","Ten",0,0,1,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3,1.9,8.2,NA,NA,NA
"WR","Cordarrelle Patterson (7977021)","Cordarrelle Patterson",7977021,3900,"Min@GB 01:00PM ET","Min","Cordarrelle","Patterson","GB",8.84,7.3,1,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6,10.5,4.7,15.3,8.7,3.6,4.8,9.9
"WR","Corey Coleman (7977036)","Corey Coleman",7977036,3900,"SD@Cle 01:00PM ET","Cle","Corey","Coleman","SD",7.86,11.8,1,8.9,30.4,NA,NA,NA,NA,NA,NA,7.1,4.7,7.9,12.8,NA,5.7,5.4
"WR","John Brown (7977078)","John Brown",7977078,3900,"Ari@Sea 04:25PM ET","Ari","John","Brown","Sea",9.14,8.6,1,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6,NA,2.9,NA,NA,19.1
"WR","Eli Rogers (7977116)","Eli Rogers",7977116,3800,"Bal@Pit 04:30PM ET","Pit","Eli","Rogers","Bal",9.26,9.2,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2,6,5.6,2.8,5,18.5
"WR","Adam Humphries (7976985)","Adam Humphries",7976985,3700,"TB@NO 04:25PM ET","TB","Adam","Humphries","NO",10.82,10,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6,9.8,8.7,3.1,3.9,NA,12.9
"WR","Deonte Thompson (7977041)","Deonte Thompson",7977041,3500,"Was@Chi 01:00PM ET","Chi","Deonte","Thompson","Was",7.27,5.8,1,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,2,15.4,2.9,4.8,22
"WR","Jeremy Kerley (7977088)","Jeremy Kerley",7977088,3500,"SF@LA 04:25PM ET","SF","Jeremy","Kerley","LA",10.02,11,1,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2,19.1,NA,4.4,2.8,10,7.8
"WR","Robert Woods (7976971)","Robert Woods",7976971,3400,"Mia@Buf 01:00PM ET","Buf","Robert","Woods","Mia",8.31,7.4,1,6,2,11.1,15.9,4.6,16,NA,9,29.2,NA,7.1,NA,NA,3.9,1.5
"WR","Russell Shepard (7976979)","Russell Shepard",7976979,3400,"TB@NO 04:25PM ET","TB","Russell","Shepard","NO",4.05,4.4,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA,NA,8.4,4.3,2.5,2.7,2.9
"WR","Danny Amendola (7976993)","Danny Amendola",7976993,3300,"NYJ@NE 01:00PM ET","NE","Danny","Amendola","NYJ",0,0,1,7.8,20,4.3,NA,3.1,5,NA,11.9,NA,2.4,8.2,1.8,6,NA,NA
"WR","Brian Quick (7977086)","Brian Quick",7977086,3300,"SF@LA 04:25PM ET","LA","Brian","Quick","SF",8.2,6.7,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8,3.6,5.1,1.3,9.8,2,7.6
"WR","Quinton Patton (7977091)","Quinton Patton",7977091,3200,"SF@LA 04:25PM ET","SF","Quinton","Patton","LA",0,0,1,11,5.5,1.8,2.3,3.6,9.2,4.3,NA,19.6,8.2,3.7,2.2,NA,7.1,2.3
"WR","Terrance Williams (7977137)","Terrance Williams",7977137,3200,"Det@Dal 08:30PM ET","Dal","Terrance","Williams","Det",6.99,7.5,1,6.4,NA,11.8,14.4,12,11.5,NA,4.5,3.9,1.5,2.1,8,3.3,18.6,6
"WR","Marquise Goodwin (7976968)","Marquise Goodwin",7976968,3100,"Mia@Buf 01:00PM ET","Buf","Marquise","Goodwin","Mia",7.4,5.6,1,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA,8.3,NA,3.5,3.3,7.5,NA,7.3
"WR","Kendall Wright (7977007)","Kendall Wright",7977007,3100,"Ten@Jax 01:00PM ET","Ten","Kendall","Wright","Jax",6.16,6.9,1,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4,8.8,9.2,NA,NA,NA,3.9
"WR","Andrew Hawkins (7977027)","Andrew Hawkins",7977027,3000,"SD@Cle 01:00PM ET","Cle","Andrew","Hawkins","SD",4.92,5.3,1,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3,NA,3,NA,NA,1.4,4.3
"WR","Eddie Royal (7977039)","Eddie Royal",7977039,3000,"Was@Chi 01:00PM ET","Chi","Eddie","Royal","Was",0,0,1,15.7,15.2,5.1,27.1,11.3,9.4,NA,NA,NA,3.4,3.3,0.4,NA,NA,NA
"WR","Sammie Coates (7977114)","Sammie Coates",7977114,3000,"Bal@Pit 04:30PM ET","Pit","Sammie","Coates","Bal",0,0,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA,NA,NA,NA,NA,2.9
"WR","Albert Wilson (7977125)","Albert Wilson",7977125,3000,"Den@KC 08:30PM ET","KC","Albert","Wilson","Den",4.4,2.4,1,3.1,3.1,NA,10.2,NA,3.6,1.4,NA,12.7,6.5,11.9,2.6,20.3,NA,NA
