"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13"
"WR","Malcolm Mitchell (0000000)","Malcolm Mitchell",0,4200,"Bal@NE 00:00PM ET","NE","Malcolm","Mitchell","Bal",7.87,12.2,6,0.0835214446952596,1,5.3,2.5,3.7,NA,2.7,NA,NA,NA,NA,2.3,19.8,21.2,16.2
"WR","Chris Hogan (0000000)","Chris Hogan",0,4100,"Bal@NE 00:00PM ET","NE","Chris","Hogan","Bal",9.03,9.3,4,0.101580135440181,1,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA,NA,NA,11,12.3
"WR","Travis Benjamin (0000000)","Travis Benjamin",0,4100,"SD@Car 00:00PM ET","SD","Travis","Benjamin","Car",8.94,8.9,3,0.158018867924528,1,10.2,32.4,11.2,7.8,21.7,3.7,9.4,13.4,1.5,NA,NA,1.8,4.4
"WR","Ted Ginn (0000000)","Ted Ginn",0,4000,"SD@Car 00:00PM ET","Car","Ted","Ginn","SD",7.59,9.1,3,0.157407407407407,1,3.5,6.6,9.7,3.4,0.5,11,NA,10.3,9,9.5,14.9,25.8,19.6
"WR","Cameron Meredith (0000000)","Cameron Meredith",0,4000,"Chi@Det 00:00PM ET","Chi","Cameron","Meredith","Det",11.51,12.5,2,0.149769585253456,1,NA,NA,3.4,6.8,30.6,25.3,2.2,3.4,NA,12,8.9,3.9,9.7
"WR","Robert Woods (0000000)","Robert Woods",0,3900,"Pit@Buf 00:00PM ET","Buf","Robert","Woods","Pit",0,7.2,1,0.179271708683473,1,6,2,11.1,15.9,4.6,16,NA,9,29.2,NA,7.1,NA,NA
"WR","Tavon Austin (0000000)","Tavon Austin",0,3900,"Atl@LA 00:00PM ET","LA","Tavon","Austin","Atl",0,12.1,2,0.191176470588235,1,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8,4.9,3.9,15.5,NA
"WR","Ty Montgomery (0000000)","Ty Montgomery",0,3900,"Sea@GB 00:00PM ET","GB","Ty","Montgomery","Sea",9.17,7.6,0,0,1,NA,NA,-0.1,NA,0.1,19.4,22.6,NA,12.1,4,7.4,3.4,7.6
"WR","John Brown (0000000)","John Brown",0,3800,"Ari@Mia 00:00PM ET","Ari","John","Brown","Mia",7.17,7.8,3,0.141573033707865,1,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6,NA,2.9,NA
"WR","Eli Rogers (0000000)","Eli Rogers",0,3800,"Pit@Buf 00:00PM ET","Pit","Eli","Rogers","Buf",8.84,8.9,4,0.0976645435244161,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2,6,5.6,2.8
"WR","Marquess Wilson (0000000)","Marquess Wilson",0,3800,"Chi@Det 00:00PM ET","Chi","Marquess","Wilson","Det",12.17,0,10,0.0368663594470046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA
"WR","Adam Humphries (0000000)","Adam Humphries",0,3700,"NO@TB 00:00PM ET","TB","Adam","Humphries","NO",7.91,0,2,0.15625,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6,9.8,8.7,3.1,3.9
"WR","Kenny Stills (0000000)","Kenny Stills",0,3700,"Ari@Mia 00:00PM ET","Mia","Kenny","Stills","Ari",9.72,6.8,3,0.151761517615176,1,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1,12.7,7.3,16.2,4.1
"WR","Marqise Lee (0000000)","Marqise Lee",0,3700,"Min@Jax 00:00PM ET","Jax","Marqise","Lee","Min",10.82,11.4,2,0.163636363636364,1,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5,9.6,15.8,13.9,7.4
"WR","Tyler Lockett (0000000)","Tyler Lockett",0,3700,"Sea@GB 00:00PM ET","Sea","Tyler","Lockett","GB",8.02,9.4,4,0.13953488372093,1,4.7,13.9,NA,2.3,NA,5.5,3.3,7.2,4,10.2,5.9,0.9,24.8
"WR","Cordarrelle Patterson (0000000)","Cordarrelle Patterson",0,3600,"Min@Jax 00:00PM ET","Min","Cordarrelle","Patterson","Jax",9.04,5.2,4,0.126728110599078,1,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6,10.5,4.7,15.3,8.7,3.6
"WR","J.J. Nelson (0000000)","J.J. Nelson",0,3600,"Ari@Mia 00:00PM ET","Ari","J.J.","Nelson","Mia",6.51,9.5,4,0.098876404494382,1,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA,3.9,1,5,11.2
"WR","Russell Shepard (0000000)","Russell Shepard",0,3500,"NO@TB 00:00PM ET","TB","Russell","Shepard","NO",6.51,6.8,6,0.0535714285714286,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA,NA,8.4,4.3,2.5
"WR","Marquise Goodwin (0000000)","Marquise Goodwin",0,3400,"Pit@Buf 00:00PM ET","Buf","Marquise","Goodwin","Pit",9.52,5.8,3,0.148459383753501,1,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA,8.3,NA,3.5,3.3,7.5
"WR","Allen Hurns (0000000)","Allen Hurns",0,3400,"Min@Jax 00:00PM ET","Jax","Allen","Hurns","Min",0,0,3,0.157575757575758,1,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3,1.9,8.2,NA
"WR","Jeremy Kerley (0000000)","Jeremy Kerley",0,3400,"NYJ@SF 00:00PM ET","SF","Jeremy","Kerley","NYJ",8.12,10.3,1,0.218666666666667,1,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2,19.1,NA,4.4,2.8
"WR","Kendall Wright (0000000)","Kendall Wright",0,3300,"Den@Ten 00:00PM ET","Ten","Kendall","Wright","Den",0,5.6,5,0.0913705583756345,1,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4,8.8,9.2,NA,NA
"WR","Danny Amendola (0000000)","Danny Amendola",0,3300,"Bal@NE 00:00PM ET","NE","Danny","Amendola","Bal",6.06,0,7,0.0677200902934537,1,7.8,20,4.3,NA,3.1,5,NA,11.9,NA,2.4,8.2,1.8,6
"WR","Albert Wilson (0000000)","Albert Wilson",0,3200,"Oak@KC 00:00PM ET","KC","Albert","Wilson","Oak",7.43,5.6,5,0.108796296296296,1,3.1,3.1,NA,10.2,NA,3.6,1.4,NA,12.7,6.5,11.9,2.6,20.3
"WR","Quinton Patton (0000000)","Quinton Patton",0,3200,"NYJ@SF 00:00PM ET","SF","Quinton","Patton","NYJ",7.94,10,2,0.149333333333333,1,11,5.5,1.8,2.3,3.6,9.2,4.3,NA,19.6,8.2,3.7,2.2,NA
"WR","Eddie Royal (0000000)","Eddie Royal",0,3100,"Chi@Det 00:00PM ET","Chi","Eddie","Royal","Det",0,0,4,0.1036866359447,1,15.7,15.2,5.1,27.1,11.3,9.4,NA,NA,NA,3.4,3.3,0.4,NA
"WR","Brian Quick (0000000)","Brian Quick",0,3100,"Atl@LA 00:00PM ET","LA","Brian","Quick","Atl",8.58,7.9,4,0.144607843137255,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8,3.6,5.1,1.3,9.8
"WR","Sammie Coates (0000000)","Sammie Coates",0,3000,"Pit@Buf 00:00PM ET","Pit","Sammie","Coates","Buf",7.18,1.9,5,0.0912951167728238,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA,NA,NA,NA
"WR","Andrew Hawkins (0000000)","Andrew Hawkins",0,3000,"Cin@Cle 00:00PM ET","Cle","Andrew","Hawkins","Cin",0,5.6,4,0.104783599088838,1,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3,NA,3,NA,NA
