"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9"
"WR","J.J. Nelson (0000000)","J.J. Nelson",0,4200,"SF@Ari 00:00PM ET","Ari","J.J.","Nelson","SF",11.01,12.6,5,0.0808383233532934,1,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA
"WR","Rishard Matthews (0000000)","Rishard Matthews",0,4200,"GB@Ten 00:00PM ET","Ten","Rishard","Matthews","GB",11.22,11.2,3,0.155629139072848,1,5.6,8,6.2,10.2,13.2,16,7.7,13.8,24.3
"WR","Tavon Austin (0000000)","Tavon Austin",0,4100,"LA@NYJ 00:00PM ET","LA","Tavon","Austin","NYJ",11.17,13.6,1,0.22887323943662,1,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8
"WR","Kendall Wright (0000000)","Kendall Wright",0,4100,"GB@Ten 00:00PM ET","Ten","Kendall","Wright","GB",8.91,7.3,6,0.0860927152317881,1,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4
"WR","Sammie Coates (0000000)","Sammie Coates",0,4000,"Dal@Pit 00:00PM ET","Pit","Sammie","Coates","Dal",11.45,8.4,3,0.120743034055728,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA
"WR","Brandon LaFell (0000000)","Brandon LaFell",0,4000,"Cin@NYG 00:00PM ET","Cin","Brandon","LaFell","NYG",9.43,8,2,0.157190635451505,1,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,NA
"WR","Russell Shepard (0000000)","Russell Shepard",0,3900,"Chi@TB 00:00PM ET","TB","Russell","Shepard","Chi",0,0,6,0.0471698113207547,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA
"WR","Marqise Lee (0000000)","Marqise Lee",0,3900,"Hou@Jax 00:00PM ET","Jax","Marqise","Lee","Hou",8.75,7.8,3,0.149122807017544,1,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,3800,"KC@Car 00:00PM ET","KC","Tyreek","Hill","Car",8.74,10.5,4,0.096551724137931,1,7.9,2.7,5.3,13.2,NA,4,13.1,21.5,6.2
"WR","Adam Thielen (0000000)","Adam Thielen",0,3800,"Min@Was 00:00PM ET","Min","Adam","Thielen","Was",9.79,8.4,3,0.144366197183099,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8
"WR","Brian Quick (0000000)","Brian Quick",0,3700,"LA@NYJ 00:00PM ET","LA","Brian","Quick","NYJ",9.54,7.3,4,0.133802816901408,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8
"WR","Eddie Royal (0000000)","Eddie Royal",0,3700,"Chi@TB 00:00PM ET","Chi","Eddie","Royal","TB",10.1,9.7,4,0.128378378378378,1,15.7,15.2,5.1,27.1,11.3,9.4,NA,NA,NA
"WR","Adam Humphries (0000000)","Adam Humphries",0,3700,"Chi@TB 00:00PM ET","TB","Adam","Humphries","Chi",8.47,9.6,2,0.160377358490566,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6
"WR","Kenny Stills (0000000)","Kenny Stills",0,3700,"Mia@SD 00:00PM ET","Mia","Kenny","Stills","SD",8.5,8.5,3,0.136929460580913,1,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1
"WR","Jeremy Kerley (0000000)","Jeremy Kerley",0,3700,"SF@Ari 00:00PM ET","SF","Jeremy","Kerley","Ari",7.81,9.9,1,0.252,1,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2
"WR","Eli Rogers (0000000)","Eli Rogers",0,3500,"Dal@Pit 00:00PM ET","Pit","Eli","Rogers","Dal",8.22,9.4,5,0.0897832817337461,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3
"WR","Cordarrelle Patterson (0000000)","Cordarrelle Patterson",0,3400,"Min@Was 00:00PM ET","Min","Cordarrelle","Patterson","Was",9.55,8,4,0.116197183098592,1,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6,10.5
"WR","Dontrelle Inman (0000000)","Dontrelle Inman",0,3400,"Mia@SD 00:00PM ET","SD","Dontrelle","Inman","Mia",12.31,10.8,3,0.157575757575758,1,1.6,1.7,6.2,28,1.3,2.1,8.8,11.2,11.6
"WR","Andrew Hawkins (0000000)","Andrew Hawkins",0,3200,"Cle@Bal 00:00PM ET","Cle","Andrew","Hawkins","Bal",7.27,5.6,4,0.125382262996942,1,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3
"WR","Danny Amendola (0000000)","Danny Amendola",0,3200,"Sea@NE 00:00PM ET","NE","Danny","Amendola","Sea",5.33,7.8,6,0.0777777777777778,1,7.8,20,4.3,NA,3.1,5,NA,11.9,NA
"WR","Quinton Patton (0000000)","Quinton Patton",0,3000,"SF@Ari 00:00PM ET","SF","Quinton","Patton","Ari",8.54,6.5,2,0.164,1,11,5.5,1.8,2.3,3.6,9.2,4.3,NA,19.6
