"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10"
"WR","Adam Humphries (0000000)","Adam Humphries",0,3900,"TB@KC 00:00PM ET","TB","Adam","Humphries","KC",8.87,9.9,2,0.1671388101983,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6,9.8
"WR","Tavon Austin (0000000)","Tavon Austin",0,3900,"Mia@LA 00:00PM ET","LA","Tavon","Austin","Mia",10.31,11,1,0.229299363057325,1,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8,4.9
"WR","Adam Thielen (0000000)","Adam Thielen",0,3800,"Ari@Min 00:00PM ET","Min","Adam","Thielen","Ari",8.73,8.1,3,0.134969325153374,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8,12.2
"WR","Anquan Boldin (0000000)","Anquan Boldin",0,3800,"Jax@Det 00:00PM ET","Det","Anquan","Boldin","Jax",9.58,8.7,3,0.156626506024096,1,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA
"WR","Kenny Stills (0000000)","Kenny Stills",0,3600,"Mia@LA 00:00PM ET","Mia","Kenny","Stills","LA",8.35,7.6,3,0.135849056603774,1,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1,12.7
"WR","Marquise Goodwin (0000000)","Marquise Goodwin",0,3500,"Buf@Cin 00:00PM ET","Buf","Marquise","Goodwin","Cin",8.91,8.4,3,0.141304347826087,1,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA,8.3,NA
"WR","Cordarrelle Patterson (0000000)","Cordarrelle Patterson",0,3500,"Ari@Min 00:00PM ET","Min","Cordarrelle","Patterson","Ari",7.26,5.3,4,0.116564417177914,1,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6,10.5,4.7
"WR","Danny Amendola (0000000)","Danny Amendola",0,3500,"NE@SF 00:00PM ET","NE","Danny","Amendola","SF",7.65,9.9,6,0.0723684210526316,1,7.8,20,4.3,NA,3.1,5,NA,11.9,NA,2.4
"WR","Jeremy Kerley (0000000)","Jeremy Kerley",0,3500,"NE@SF 00:00PM ET","SF","Jeremy","Kerley","NE",10.03,10.9,1,0.25,1,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2,19.1
"WR","Eddie Royal (0000000)","Eddie Royal",0,3400,"Chi@NYG 00:00PM ET","Chi","Eddie","Royal","NYG",13.26,11.3,4,0.126153846153846,1,15.7,15.2,5.1,27.1,11.3,9.4,NA,NA,NA,3.4
"WR","Brian Quick (0000000)","Brian Quick",0,3400,"Mia@LA 00:00PM ET","LA","Brian","Quick","Mia",8.34,6.6,4,0.133757961783439,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8,3.6
"WR","Andrew Hawkins (0000000)","Andrew Hawkins",0,3100,"Pit@Cle 00:00PM ET","Cle","Andrew","Hawkins","Pit",7.37,6.3,4,0.117647058823529,1,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3,NA
"WR","Quinton Patton (0000000)","Quinton Patton",0,3000,"NE@SF 00:00PM ET","SF","Quinton","Patton","NE",11.45,10,2,0.178571428571429,1,11,5.5,1.8,2.3,3.6,9.2,4.3,NA,19.6,8.2
