"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8"
"WR","Adam Thielen (0000000)","Adam Thielen",0,3800,"Det@Min 00:00PM ET","Min","Adam","Thielen","Det",9.64,7.2,3,0.144628099173554,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7
"WR","Anquan Boldin (0000000)","Anquan Boldin",0,3600,"Det@Min 00:00PM ET","Det","Anquan","Boldin","Min",8.88,10.9,3,0.155932203389831,1,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4
"WR","Marqise Lee (0000000)","Marqise Lee",0,3400,"Jax@KC 00:00PM ET","Jax","Marqise","Lee","KC",9.8,8.6,3,0.142857142857143,1,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1
"WR","Tyreek Hill (0000000)","Tyreek Hill",0,3400,"Jax@KC 00:00PM ET","KC","Tyreek","Hill","Jax",7.78,7.2,4,0.08984375,1,7.9,2.7,5.3,13.2,NA,4,13.1,21.5
"WR","Brian Quick (0000000)","Brian Quick",0,3400,"Car@LA 00:00PM ET","LA","Brian","Quick","Car",9.43,8,4,0.134453781512605,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA
"WR","Russell Shepard (0000000)","Russell Shepard",0,3400,"Atl@TB 00:00PM ET","TB","Russell","Shepard","Atl",0,0,6,0.0557620817843866,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4
"WR","Cordarrelle Patterson (0000000)","Cordarrelle Patterson",0,3300,"Det@Min 00:00PM ET","Min","Cordarrelle","Patterson","Det",10.39,8.2,4,0.103305785123967,1,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6
"WR","Marquise Goodwin (0000000)","Marquise Goodwin",0,3300,"Buf@Sea 00:00PM ET","Buf","Marquise","Goodwin","Sea",9.68,8.7,3,0.136929460580913,1,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA
"WR","Andrew Hawkins (0000000)","Andrew Hawkins",0,3200,"Dal@Cle 00:00PM ET","Cle","Andrew","Hawkins","Dal",8.17,5.9,4,0.123333333333333,1,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1
"WR","Adam Humphries (0000000)","Adam Humphries",0,3100,"Atl@TB 00:00PM ET","TB","Adam","Humphries","Atl",10.32,13.5,2,0.156133828996283,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8
"WR","Dontrelle Inman (0000000)","Dontrelle Inman",0,3100,"Ten@SD 00:00PM ET","SD","Dontrelle","Inman","Ten",8.11,7.4,3,0.136986301369863,1,1.6,1.7,6.2,28,1.3,2.1,8.8,11.2
