Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
620296758,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Philip Rivers (7988797),Le'Veon Bell (7988957),Dion Lewis (7988873),Amari Cooper (7989085),Tyrell Williams (7989049),Davante Adams (7989034),Greg Olsen (7989208),Corey Coleman (7989051),Cowboys  (7989706),,WR,Demaryius Thomas (7989137),Demaryius Thomas,7989137,6400,Den@KC 08:30PM ET,Den
620296759,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Russell Wilson (7988818),Le'Veon Bell (7988957),Frank Gore (7988920),Antonio Brown (7989126),Davante Adams (7989034),Pierre Garcon (7989057),Greg Olsen (7989208),Jermaine Kearse (7989092),Cowboys  (7989706),,RB,Jordan Howard (7988911),Jordan Howard,7988911,6300,Was@Chi 01:00PM ET,Chi
620296760,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Ezekiel Elliott (7988981),Jeremy Hill (7988953),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),C.J. Uzomah (7989240),Allen Robinson (7989028),Cowboys  (7989706),,WR,Alshon Jeffery (7989059),Alshon Jeffery,7989059,6300,Was@Chi 01:00PM ET,Chi
620296761,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Ezekiel Elliott (7988981),Spencer Ware (7988967),Julio Jones (7989069),Michael Thomas (7989003),Davante Adams (7989034),Jesse James (7989249),Adam Thielen (7989038),Steelers  (7989702),,QB,Russell Wilson (7988818),Russell Wilson,7988818,6300,Ari@Sea 04:25PM ET,Sea
620296762,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Blake Bortles (7988786),Ezekiel Elliott (7988981),Todd Gurley (7988944),Antonio Brown (7989126),Amari Cooper (7989085),Michael Thomas (7989003),C.J. Uzomah (7989240),Allen Robinson (7989028),Raiders  (7989695),,WR,Taylor Gabriel (7989078),Taylor Gabriel,7989078,6200,Atl@Car 01:00PM ET,Atl
620296763,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Colin Kaepernick (7988821),Le'Veon Bell (7988957),Spencer Ware (7988967),Julio Jones (7989069),Amari Cooper (7989085),Michael Thomas (7989003),C.J. Uzomah (7989240),Jeremy Kerley (7989103),Raiders  (7989695),,RB,Latavius Murray (7988924),Latavius Murray,7988924,6200,Ind@Oak 04:05PM ET,Oak
620296764,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Spencer Ware (7988967),Mark Ingram (7988862),Antonio Brown (7989126),Julio Jones (7989069),Michael Thomas (7989003),Coby Fleener (7989170),Pierre Garcon (7989057),Raiders  (7989695),,WR,Michael Crabtree (7989079),Michael Crabtree,7989079,6100,Ind@Oak 04:05PM ET,Oak
620296765,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Todd Gurley (7988944),Isaiah Crowell (7988899),Julio Jones (7989069),Michael Thomas (7989003),Tyrell Williams (7989049),Greg Olsen (7989208),Anquan Boldin (7989147),Steelers  (7989702),,WR,Larry Fitzgerald (7989089),Larry Fitzgerald,7989089,6100,Ari@Sea 04:25PM ET,Ari
620296766,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Jordan Howard (7988911),Justin Forsett (7988963),Julio Jones (7989069),Amari Cooper (7989085),Michael Thomas (7989003),Greg Olsen (7989208),Corey Coleman (7989051),Dolphins  (7989679),,QB,Matthew Stafford (7988847),Matthew Stafford,7988847,6100,Det@Dal 08:30PM ET,Det
620296767,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Barkley (7988803),Todd Gurley (7988944),Spencer Ware (7988967),Antonio Brown (7989126),Amari Cooper (7989085),Tyrell Williams (7989049),Greg Olsen (7989208),Cameron Meredith (7989061),Raiders  (7989695),,WR,Michael Thomas (7989003),Michael Thomas,7989003,6000,TB@NO 04:25PM ET,NO
620296768,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Spencer Ware (7988967),Frank Gore (7988920),Antonio Brown (7989126),Julio Jones (7989069),Amari Cooper (7989085),Jesse James (7989249),Marqise Lee (7989026),Dolphins  (7989679),,RB,Bilal Powell (7988870),Bilal Powell,7988870,6000,NYJ@NE 01:00PM ET,NYJ
620296769,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Kirk Cousins (7988802),Jeremy Hill (7988953),Isaiah Crowell (7988899),Antonio Brown (7989126),Amari Cooper (7989085),Michael Thomas (7989003),Greg Olsen (7989208),Pierre Garcon (7989057),Dolphins  (7989679),,QB,Marcus Mariota (7988788),Marcus Mariota,7988788,6000,Ten@Jax 01:00PM ET,Ten
620296770,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Jordan Howard (7988911),Spencer Ware (7988967),Antonio Brown (7989126),Amari Cooper (7989085),Michael Thomas (7989003),Eric Ebron (7989263),Corey Coleman (7989051),Raiders  (7989695),,WR,Dontrelle Inman (7989043),Dontrelle Inman,7989043,6000,SD@Cle 01:00PM ET,SD
620296771,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Todd Gurley (7988944),Frank Gore (7988920),Antonio Brown (7989126),Amari Cooper (7989085),Michael Thomas (7989003),Vernon Davis (7989200),Adam Thielen (7989038),Dolphins  (7989679),,WR,Doug Baldwin (7989091),Doug Baldwin,7989091,6000,Ari@Sea 04:25PM ET,Sea
620296772,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matthew Stafford (7988847),Todd Gurley (7988944),Jeremy Hill (7988953),Antonio Brown (7989126),Julio Jones (7989069),Amari Cooper (7989085),Jesse James (7989249),Anquan Boldin (7989147),Falcons  (7989692),,WR,Emmanuel Sanders (7989135),Emmanuel Sanders,7989135,6000,Den@KC 08:30PM ET,Den
620296773,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Le'Veon Bell (7988957),Spencer Ware (7988967),Julio Jones (7989069),Pierre Garcon (7989057),Bryan Walters (7989020),Greg Olsen (7989208),Dion Lewis (7988873),Cowboys  (7989706),,RB,Ty Montgomery (7988893),Ty Montgomery,7988893,5900,Min@GB 01:00PM ET,GB
620296774,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Jameis Winston (7988778),Jordan Howard (7988911),Frank Gore (7988920),Antonio Brown (7989126),Amari Cooper (7989085),Michael Thomas (7989003),Greg Olsen (7989208),Adam Humphries (7989000),Cowboys  (7989706),,WR,Stefon Diggs (7989037),Stefon Diggs,7989037,5900,Min@GB 01:00PM ET,Min
620296775,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Barkley (7988803),Ezekiel Elliott (7988981),Todd Gurley (7988944),Julio Jones (7989069),Amari Cooper (7989085),Michael Thomas (7989003),Jesse James (7989249),Cameron Meredith (7989061),Cowboys  (7989706),,WR,Tyreek Hill (7989146),Tyreek Hill,7989146,5900,Den@KC 08:30PM ET,KC
620296776,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Todd Gurley (7988944),Jeremy Hill (7988953),Julio Jones (7989069),Amari Cooper (7989085),Michael Thomas (7989003),Coby Fleener (7989170),Marqise Lee (7989026),Raiders  (7989695),,QB,Dak Prescott (7988848),Dak Prescott,7988848,5900,Det@Dal 08:30PM ET,Dal
620296777,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Ben Roethlisberger (7988834),Todd Gurley (7988944),Spencer Ware (7988967),Antonio Brown (7989126),Amari Cooper (7989085),Michael Thomas (7989003),C.J. Fiedorowicz (7989238),Anquan Boldin (7989147),Steelers  (7989702),,WR,Tyrell Williams (7989049),Tyrell Williams,7989049,5800,SD@Cle 01:00PM ET,SD
620296778,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),DeMarco Murray (7988878),Dwayne Washington (7988980),Antonio Brown (7989126),Julio Jones (7989069),Michael Thomas (7989003),Vernon Davis (7989200),Anquan Boldin (7989147),Dolphins  (7989679),,RB,Carlos Hyde (7988941),Carlos Hyde,7988941,5800,SF@LA 04:25PM ET,SF
620296779,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Le'Veon Bell (7988957),Jeremy Hill (7988953),Julio Jones (7989069),Amari Cooper (7989085),Allen Robinson (7989028),C.J. Uzomah (7989240),Dwayne Washington (7988980),Dolphins  (7989679),,QB,Joe Flacco (7988833),Joe Flacco,7988833,5800,Bal@Pit 04:30PM ET,Bal
620296780,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Bilal Powell (7988870),Jeremy Hill (7988953),Julio Jones (7989069),Amari Cooper (7989085),Michael Thomas (7989003),C.J. Fiedorowicz (7989238),J.J. Nelson (7989094),Cowboys  (7989706),,QB,Colin Kaepernick (7988821),Colin Kaepernick,7988821,5700,SF@LA 04:25PM ET,SF
620296781,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Blake Bortles (7988786),Le'Veon Bell (7988957),Jordan Howard (7988911),Julio Jones (7989069),Michael Thomas (7989003),Allen Robinson (7989028),Jesse James (7989249),Spencer Ware (7988967),Cowboys  (7989706),,WR,Kenny Britt (7989100),Kenny Britt,7989100,5700,SF@LA 04:25PM ET,LA
620296782,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Drew Brees (7988774),Le'Veon Bell (7988957),Isaiah Crowell (7988899),Antonio Brown (7989126),Michael Thomas (7989003),Corey Coleman (7989051),Greg Olsen (7989208),Bryan Walters (7989020),Cowboys  (7989706),,RB,Lamar Miller (7988948),Lamar Miller,7988948,5700,Cin@Hou 08:25PM ET,Hou
620296783,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Ben Roethlisberger (7988834),DeMarco Murray (7988878),Todd Gurley (7988944),Antonio Brown (7989126),Michael Thomas (7989003),Pierre Garcon (7989057),C.J. Uzomah (7989240),Jeremy Hill (7988953),Cowboys  (7989706),,RB,Jay Ajayi (7988854),Jay Ajayi,7988854,5600,Mia@Buf 01:00PM ET,Mia
620296784,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Barkley (7988803),Le'Veon Bell (7988957),Spencer Ware (7988967),Antonio Brown (7989126),Michael Crabtree (7989079),Michael Thomas (7989003),C.J. Uzomah (7989240),Cameron Meredith (7989061),Cowboys  (7989706),,RB,LeGarrette Blount (7988871),LeGarrette Blount,7988871,5600,NYJ@NE 01:00PM ET,NE
620296785,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Colin Kaepernick (7988821),Jeremy Hill (7988953),Spencer Ware (7988967),Antonio Brown (7989126),Julio Jones (7989069),Tyrell Williams (7989049),Greg Olsen (7989208),Jeremy Kerley (7989103),Cowboys  (7989706),,WR,Jamison Crowder (7989063),Jamison Crowder,7989063,5600,Was@Chi 01:00PM ET,Was
620296786,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Le'Veon Bell (7988957),Todd Gurley (7988944),Julio Jones (7989069),Michael Crabtree (7989079),Anquan Boldin (7989147),Jesse James (7989249),Bryan Walters (7989020),Dolphins  (7989679),,WR,Jarvis Landry (7988987),Jarvis Landry,7988987,5500,Mia@Buf 01:00PM ET,Mia
620296787,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matthew Stafford (7988847),Le'Veon Bell (7988957),Jeremy Hill (7988953),Antonio Brown (7989126),Tyrell Williams (7989049),Anquan Boldin (7989147),Greg Olsen (7989208),Bryan Walters (7989020),Raiders  (7989695),,WR,Willie Snead (7988998),Willie Snead,7988998,5500,TB@NO 04:25PM ET,NO
620296788,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Le'Veon Bell (7988957),Todd Gurley (7988944),Julio Jones (7989069),Pierre Garcon (7989057),Marvin Jones Jr. (7989154),C.J. Uzomah (7989240),Isaiah Crowell (7988899),Raiders  (7989695),,WR,DeSean Jackson (7989055),DeSean Jackson,7989055,5500,Was@Chi 01:00PM ET,Was
620296789,NFL $40K Play-Action [$40000 Guaranteed] (Sat-Mon),35182063,$3,Matt Ryan (7988807),Todd Gurley (7988944),Jeremy Hill (7988953),Julio Jones (7989069),DeAndre Hopkins (7989116),Steve Smith Sr. (7989122),Greg Olsen (7989208),Allen Robinson (7989028),Cowboys  (7989706),,TE,Jordan Reed (7989203),Jordan Reed,7989203,5500,Was@Chi 01:00PM ET,Was
