"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","Wk.Lag4.Fpts","Wk.Lag5.Fpts","Wk.Lag6.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Kenny Britt",3,4300,20.8,0.04,-0.08,0.1,0,0,0,6,6.7,0.5,12.3,20.1,15.5,5.3,25.8,8.9,7.3,16,18,35.6,12.5,12.2,6.8,15.4,10.7,30,43,2,0.228723404255319,1,2,2,0
"Jeremy Kerley",4,4000,23,0.03,-0.02,-0.09,0,0,0,9.7,8.7,0.7,6.1,17.1,12.4,2.6,22.2,9.7,3.5,23,27,3.2,27.2,20.8,4.4,5.9,0,29,53,2,0.299435028248588,1,1,1,0
"Tavon Austin",2,4000,20.8,0.04,-0.08,0.1,2,0.5,4.3,6.7,8.2,0.8,4.9,8,10.2,3.1,17.3,11.5,22.7,16,18,5.6,15.5,2.8,21.4,10.6,5.5,26,51,1,0.271276595744681,2,1,3,1
"Anquan Boldin",5,4000,24.5,-0.02,0.18,-0.01,0,0,0,7,6.2,1.2,6.6,12.6,11.9,7,16.8,10.8,11.8,16,11,20,8.8,9.1,12.2,14.8,6.5,31,39,4,0.178082191780822,1,3,1,0
"Michael Floyd",2,3900,22.8,-0.13,-0.29,-0.24,0,0,0,4,6,1.2,5.3,7.6,8.5,4.1,12.9,11.1,11.5,3,7,10.2,0,12.6,10.5,8.8,9.1,14,35,3,0.148305084745763,4,3,2,0
"Victor Cruz",0,3900,23.8,-0.02,0.1,0.24,0,0,0,6,5.5,0.8,8.4,5.4,8.6,3.7,13.5,7.8,10.5,15,26,6.1,0,10,10,12.1,13.4,19,34,1,0.141078838174274,3,3,3,0
"Brandon LaFell",7,3900,29,0.12,0.12,0.08,0.2,0,-2,7.3,6.2,1.3,7.8,14.8,11.6,3.7,19.5,8.9,18.3,31,21,9.3,26.8,8.4,5.2,6.9,13.1,23,39,3,0.173333333333333,3,2,1,0
"Torrey Smith",6,3800,23,0.03,-0.02,-0.09,0,0,0,3.3,5,0.5,6.1,6,7,0.1,14,10.6,2.7,23,27,16.6,0,1.3,6.5,14.5,3.3,12,29,2,0.163841807909605,4,2,1,0
"Adam Thielen",1,3700,20.8,-0.14,0,-0.23,0,0,0,5,5,0.4,10.9,12.9,11.2,1.3,21.2,6.4,7.2,5,4,0,28.7,4.1,5.9,8.1,9.4,21,26,1,0.158536585365854,2,3,2,0
"Pierre Garcon",19,3700,25.5,0.07,0.03,0.18,0,0,0,7.7,7.2,1.3,7.1,12.7,10.8,6.5,15,10.1,4.2,29,28,13.7,16.6,7.9,10.9,4.5,11.1,28,45,1,0.193965517241379,2,3,3,0
"Kamar Aiken",1,3700,19.3,0.16,-0.19,0.22,0,0,0,4.3,2.8,0.2,5.4,4.8,3.2,-0.7,7.1,11.1,8.5,25,31,10.4,0,3.9,1.5,0,3.4,11,20,0,0.0757575757575758,6,6,5,0
"Tyler Lockett",2,3700,20.3,-0.2,-0.01,-0.03,0.2,0,2,2.7,4,0.4,7.6,2.6,5.3,0,10.6,9.2,3.3,2,9,5.5,0,2.3,0,13.9,4.7,13,24,0,0.13953488372093,5,4,5,0
"Kendall Wright",6,3700,26.3,0.15,0.12,0.01,0,0,0,4.3,4.3,0,12,11.9,11.9,-4.1,27.8,8.2,3.2,26,7,30.3,1.9,3.4,0,0,0,11,13,1,0.0663265306122449,5,6,5,0
"Rishard Matthews",3,3600,26.3,0.15,0.12,0.01,0,0,0,3,4.5,0.5,10.4,13.1,9.9,5.8,14,9.4,7.7,26,7,16,13.2,10.2,6.2,8,5.6,19,26,2,0.13265306122449,2,5,2,0
"Tajae Sharpe",2,3500,26.3,0.15,0.12,0.01,0.2,0.2,1,4.7,6.5,0.5,4.8,2.4,6.2,1.2,11.2,9.8,9.9,26,7,0.1,3.7,3.5,7.8,7.3,14.6,19,44,0,0.224489795918367,2,1,7,0
"Breshad Perriman",9,3500,19.3,0.16,-0.19,0.22,0.2,0,2,6,4.8,0.3,5.9,5.4,5.1,3.5,6.6,10.2,2.1,25,31,7.8,3.1,5.4,4.4,5.2,4.5,13,30,1,0.113636363636364,5,4,2,0
"Danny Amendola",0,3500,28.3,0.13,-0.04,0.01,0,0,0,2,2.7,0.5,10.1,2.7,6.7,-0.3,13.7,8.2,0,18,5,5,3.1,0,4.3,20,7.8,13,17,2,0.0829268292682927,4,6,2,0
"Eli Rogers",1,3500,20.8,0.02,-0.12,-0.02,0,0,0,4.3,5,0.5,6.8,4.9,8.1,1.2,15,7.5,0,10,8,7.5,0,0,5.2,1.9,17.9,13,19,1,0.0833333333333333,6,6,4,0
"Chris Conley",3,3500,28.5,0.19,0.12,0.01,0,0,0,5.3,5.4,0.8,7.3,8.7,7.6,4,11.1,6.7,4.9,32,24,5.6,0,13,7.4,3.5,8.3,18,29,0,0.153439153439153,3,3,4,0
"Dontrelle Inman",1,3300,24,0.13,-0.1,0.02,0,0,0,5,4.2,0.3,7.2,10.5,6.8,-3.7,17.4,6.9,8.8,28,14,2.1,1.3,28,6.2,1.7,1.6,14,27,1,0.130434782608696,4,3,5,0
"Brian Quick",1,3200,20.8,0.04,-0.08,0.1,0,0,0,5,3.8,0.2,11.5,13.4,10.1,3.4,16.8,6.6,13.2,16,18,11.1,8.1,20.9,13.3,1.8,5.3,16,23,3,0.122340425531915,4,4,1,0
"Marqise Lee",3,3200,24.5,0.21,0.26,0.26,0,0,0,6.3,6,0.8,7.7,9.4,9,5.5,12.5,8.6,20.7,30,30,12.1,0,6.8,9.4,12.5,4.2,22,30,0,0.150753768844221,2,3,7,1
"Cordarrelle Patterson",0,3200,20.8,-0.14,0,-0.23,0.8,0,3.8,4.3,2.8,0.4,6.5,8.5,5.5,-0.6,11.7,4,19.7,5,4,0,14.6,9,1.8,-0.2,2.4,11,15,1,0.0914634146341463,4,4,2,1
"Andre Johnson",0,3100,26.3,0.15,0.12,0.01,0,0,0,4,4.2,0.4,4,5.2,5.9,2.3,9.5,4.7,0,26,7,0,9.3,6.3,0,7.9,6,11,27,3,0.137755102040816,5,4,1,0
"Kenny Stills",2,3100,21.8,0,-0.02,0.01,0,0,0,2.3,4,0.2,9,5.9,7.5,1.3,13.6,6.7,24,8,12,3.2,0,14.4,12.6,11.9,2.6,13,24,2,0.130434782608696,3,3,1,1
"Jaron Brown",1,3100,22.8,-0.13,-0.29,-0.24,0,0,0,4.3,3.8,0.2,8.1,3.1,6,0.2,11.7,0,0,3,7,7.5,0,1.7,7.9,15.8,2.8,11,21,1,0.0889830508474576,5,5,3,0
"Nelson Agholor",0,3100,18.3,-0.09,-0.26,-0.39,0.2,0,5,4.7,5.2,1,7,5.6,8.1,3.7,12.5,7.6,3,1,2,6.4,5.2,0,5.1,8.2,15.7,16,28,1,0.184210526315789,2,2,2,0
"Josh Bellamy",0,3000,19.5,0.09,-0.31,-0.03,0.3,0,7,0.3,0.3,0,14,1,1,-0.2,2.3,5,5.2,20,32,0.7,2.4,0,0,0,0,1,1,0,0.00420168067226891,10,10,5,0
"Ty Montgomery",5,3000,27,-0.07,0.03,0.09,1,0,1.2,4,2.4,0.6,8.2,6.5,3.9,-4.8,12.6,14.1,22.6,14,19,19.4,0.1,0,-0.1,0,0,10,13,0,0.068421052631579,4,5,5,1
"Albert Wilson",0,3000,28.5,0.19,0.12,0.01,0,0,0,4,4.3,0.5,5.3,5.6,5,1.5,8.5,6.2,1.4,32,24,3.6,0,10.2,0,3.1,3.1,11,17,0,0.0899470899470899,6,5,4,0
"Tyreek Hill",0,3000,28.5,0.19,0.12,0.01,0.6,0,-2,4.3,3.2,0.6,5.4,7.5,6.6,2.5,10.8,3.5,13.1,32,24,4,0,13.2,5.3,2.7,7.9,13,16,2,0.0846560846560847,5,6,1,0
"Chester Rogers",1,3000,22.3,-0.03,-0.16,0.05,0,0,0,4.3,3.2,0.6,7.9,7.2,4.3,-0.1,8.7,11.6,5,9,9,10.3,5.4,5.9,0,0,0,10,18,0,0.0737704918032787,7,7,7,0
"Charles Johnson",0,3000,20.8,-0.14,0,-0.23,0,0,0,2.3,3,0,6.1,3.4,3,-0.5,6.6,3.3,0,5,4,0,1.2,9,0,3.5,1.5,6,15,0,0.0914634146341463,7,4,5,0
"Dorial Green-Beckham",0,3000,18.3,-0.09,-0.26,-0.39,0,0,0,4,3.6,0.4,7.3,5.6,4.8,3,6.7,4.9,8.8,1,2,3.3,7.3,0,6.3,3.8,0,12,20,0,0.131578947368421,4,3,6,0
"Andrew Hawkins",2,3000,17.5,-0.02,0.03,-0.05,0.3,0,0,4.7,4,0.5,7.3,9.7,6.4,1.1,11.7,6.1,3.9,21,13,7.8,15.6,5.8,3.5,5.8,-0.1,15,24,1,0.109090909090909,4,4,3,0
"Tyler Boyd",3,3000,29,0.12,0.12,0.08,0,0,0,4.3,4.7,0.5,8.6,6.7,7,2.7,11.4,7.8,1.3,31,21,11.9,6.3,2,4.8,12.8,4.4,19,28,0,0.124444444444444,4,5,4,0
"Ryan Grant",0,3000,25.5,0.07,0.03,0.18,0,0,0,1,1,0.3,1.3,0.5,0.4,-0.4,1.1,2.5,1.5,29,28,0,0,0,0,1.5,0,1,4,0,0.0172413793103448,9,9,7,0
"Arrelious Benn",0,3000,24.5,0.21,0.26,0.26,0,0,0,1,1.3,0,12.2,4.4,3.8,-1.8,9.4,0,4.9,30,30,12.1,0,1.1,0,1.9,0,3,5,1,0.0251256281407035,7,7,2,0
"Andre Holmes",0,3000,23,-0.11,-0.02,-0.02,0,0,0,2,2,0.8,3.8,4.7,4.4,0.5,8.2,3.4,1.5,17,25,9.1,3.3,0,1.8,7.6,0,6,10,2,0.0427350427350427,8,8,2,0
"Rashad Greene",0,3000,24.5,0.21,0.26,0.26,0,0,0,1.3,1.5,0.3,4,1.2,1.4,0.4,2.3,0,1.8,30,30,0,0,1.8,0,1.7,1.9,3,5,0,0.0251256281407035,7,7,7,0
"Seth Roberts",1,3000,23,-0.11,-0.02,-0.02,0,0,0,4,4.7,1,4.8,6.8,7.7,4.9,10.6,8.3,8.2,17,25,5.9,4.2,10.2,10.7,5.5,9.9,15,28,2,0.11965811965812,4,3,2,0
"Brandon Tate",0,3000,24.3,-0.04,0.4,0.15,0.2,0,4,0.3,0.2,0,0,0.1,0.1,-0.1,0.2,3.4,5.1,20,26,0,0,0,0,0,0,0,0,0,0,12,13,7,0
"Marquise Goodwin",9,3000,24.3,-0.04,0.4,0.15,0,0,0,5,5,0.4,6.6,5.2,7.9,-0.6,16.4,11.9,19.3,20,26,4.2,9.3,2.2,1.6,22.2,0,9,26,2,0.153846153846154,4,3,1,1
"Justin Hunter",6,3000,24.3,-0.04,0.4,0.15,0,0,0,1.5,1.5,0.5,11.3,8.7,8.7,6.9,10.5,6.6,4.5,20,26,0,0,0,0,0,0,2,3,2,0.0177514792899408,10,10,1,0
"Quinton Patton",2,3000,23,0.03,-0.02,-0.09,0,0,0,4,4.5,0.5,6.4,5,5.6,1.8,9.3,4.6,4.3,23,27,9.2,3.6,2.3,1.8,5.5,11,16,26,0,0.146892655367232,2,3,4,0
"Adam Humphries",7,3000,22,-0.15,0.66,-0.03,0.2,0,7,6,6.2,0,7,9.2,9.5,1.3,17.6,10.5,4.3,24,17,0,4.1,1.4,22,12.7,7.1,22,32,0,0.153846153846154,2,3,5,0
"Griff Whalen",0,3000,24,0.13,-0.1,0.02,0,0,0,1,1,1,0,0,0,0,0,3.8,2.2,28,14,0,0,0,0,0,0,0,1,0,0.00483091787439614,12,11,8,0
"Justin Hardy",1,3000,28.5,0.13,-0.21,0.06,0,0,0,1.7,2,0.6,6.4,5.5,5.1,0.6,9.6,3,2.6,22,16,6,0,0,10.6,7.8,1,7,10,2,0.0473933649289099,8,8,2,0
"Cobi Hamilton",0,3000,20.8,0.02,-0.12,-0.02,0,0,0,2,2,0,18,11.6,11.6,11.6,11.6,0,6.6,10,8,0,0,0,0,0,0,2,2,1,0.0087719298245614,9,11,4,0
"Jermaine Kearse",1,3000,20.3,-0.2,-0.01,-0.03,0,0,0,3.3,4.6,0.6,6,5,5.7,2.6,8.9,8.7,8.1,2,9,6.5,0,5.3,3.1,3.1,10.7,16,25,0,0.145348837209302,3,3,5,0
"Paul Richardson",0,3000,20.3,-0.2,-0.01,-0.03,0,0,0,2.3,2.3,0,8.1,3.4,3.1,0.3,5.8,2.3,2,2,9,0,0,3.7,0,6.5,2.1,5,10,0,0.0581395348837209,8,7,5,0
"Bennie Fowler",0,3000,24.3,-0.22,0.2,-0.18,0,0,0,4,3.3,0.3,3.7,4.8,4.2,-0.7,9.1,1.6,1.7,6,3,11.2,3.3,0,2.3,0,0,6,13,1,0.0616113744075829,7,5,4,0
"Braxton Miller",0,3000,15.8,-0.23,0.07,-0.47,0.3,0.3,-2,2.7,2.8,1.5,3.1,2.2,2,1.1,3,3.2,0,4,1,3.3,2.2,0,0,1.1,1.6,5,10,0,0.0446428571428571,7,7,5,0
"Jaelen Strong",0,3000,15.8,-0.23,0.07,-0.47,0,0,0,5.7,4.4,0.2,5.5,7.2,4.8,1.1,8.6,6.4,3,4,1,4.6,8.9,8.1,2.5,0,0,12,22,0,0.0982142857142857,6,5,5,0
