"Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","Wk.Lag4.Fpts","Wk.Lag5.Fpts","Wk.Lag6.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
0,3200,28.5,-0.03,-0.08,-0.06,0,0,0,2,2.5,0.6,9.6,5.6,6.5,-0.2,13.2,7.8,6,9,0,11.9,0,5,3.1,0,16,21,3,0.0777777777777778,6,6,2,0
0,3200,19,-0.06,-0.08,0.04,0,0,0,1.3,2.1,0.3,8.9,5,3.8,-1.7,9.2,4.2,10,18,14.9,0,0,2.1,0,0,9,17,2,0.0536277602523659,8,7,2,0
7,3100,25.3,0.16,-0.15,0.27,0.1,0,5,5.7,5.4,1.3,6,5.5,7.2,3.3,11,9.1,30,31,8.1,5.5,3,6.4,5.2,0,26,45,1,0.168539325842697,2,2,2,0
0,3100,25.8,0.05,-0.1,0.1,0,0,0,3.7,2.6,0.4,6,6.5,4.6,-0.4,9.5,1.3,19,10,3.5,13,2.9,3.4,0,0,9,13,1,0.0392749244712991,6,6,4,0
1,3000,19.5,-0.13,0.08,0,0.2,0.2,-2,2.3,2.3,1,3.7,2.7,2.2,0.5,3.9,7.8,20,20,0,4.8,0,3.3,2.2,0,8,13,0,0.0437710437710438,7,7,5,0
0,3000,22.5,-0.23,0.17,-0.27,0,0,0,1,1.6,0.2,4,1.2,1.4,0.6,2.2,0,5,3,0,0,1.8,0,0,1.8,5,7,0,0.0204678362573099,8,9,9,0
0,3000,23.5,0.18,0.01,-0.01,0.1,0,0,3,3.1,0.2,6.6,5.8,4.5,0.1,8.9,5.4,27,12,13.6,1.9,1.8,8.9,4.4,4.5,17,27,1,0.0865384615384615,3,3,4,0
0,3000,23.5,0.18,0.01,-0.01,0,0,0,1,2.3,0.1,3.7,1,2.8,-1,6.7,2,27,12,1.4,0,1.7,11.2,3.3,0,8,16,1,0.0512820512820513,7,7,4,0
0,3000,26.5,-0.24,0.19,-0.41,0,0,0,1.7,3.1,0.7,8.9,6.3,6.1,1.7,10.4,1.1,3,1,4.5,6.4,8,1.6,0,3.7,17,21,1,0.06,7,7,6,0
0,3000,19,-0.06,-0.08,0.04,0.1,0,30,5,4.4,0.4,6.5,8.4,6,3.1,8.9,7.8,10,18,8.9,6.1,10.1,6.4,2,3.2,20,31,1,0.0977917981072555,5,4,5,0
0,3000,20,0.08,-0.25,0.18,0,0,0,1,1,0,1.5,0.7,0.7,-0.3,1.6,0,21,21,1.3,0,0,0,0,0,1,1,0,0.00352112676056338,10,11,5,0
0,3000,23.3,-0.1,-0.01,-0.07,0,0,0,2,1.9,0.4,6.4,3.6,4.3,0.4,8.2,1.6,7,14,0,2.3,2.6,6,0,0,10,13,2,0.040625,8,9,4,0
0,3000,25.3,0.16,-0.15,0.27,0,0,0,6,4.5,0.9,5.4,6.4,5.4,2,8.9,8.2,30,31,0,10.5,8.8,3.3,7.3,0,20,39,1,0.146067415730337,5,3,2,0
0,3000,23.5,-0.02,0.16,0.08,0,0,0,3.7,4.4,0.6,5.5,2.6,5.4,0.4,10.3,4.4,11,25,2.1,1.3,0,4.3,3.3,15.8,19,35,1,0.117845117845118,5,4,4,0
0,3000,23.8,0.12,0.09,0.1,0.2,0,7,2,1.4,0,7.1,2.4,1.9,-0.1,4,0,29,30,0,1.4,5.2,0.7,2.4,0,4,7,0,0.0236486486486486,8,8,6,0
1,3000,21.3,-0.04,-0.06,0.18,0,0,0,3.3,3.3,0,3.2,1.7,1.7,0.2,3.3,8,14,32,0,0,0,0,0,0,2,11,0,0.0345911949685535,12,8,7,0
0,3000,19.8,0,0.15,-0.07,0,0,0,1.3,2.4,0,5.3,0.6,2.1,-0.9,5.2,1.7,16,9,1.9,0,0,0,1.2,9,7,20,0,0.0704225352112676,7,6,5,0
0,3000,22.3,-0.14,-0.14,-0.29,0,0,0,1.7,1.3,0.2,3.4,1.4,1,-0.2,2.1,6.7,2,2,0,2.7,1.5,0,0,0,4,10,0,0.0302114803625378,8,8,8,0
3,3000,22.8,0.02,-0.3,-0.02,0.1,0.1,1,5,6,0.4,5.9,7.3,6.5,2,11.1,9.2,13,24,9.8,2.1,9.9,0.1,3.7,3.5,28,61,0,0.201986754966887,4,1,9,0
1,3000,16.3,-0.19,-0.05,-0.15,0,0,0,6.7,5,0.5,7.3,11,7.2,1.2,13.1,6.5,1,5,19.6,0,4.3,9.2,3.6,2.3,26,41,0,0.164,2,2,6,0
0,3000,26.8,-0.02,-0.2,-0.05,0,0,0,3,3,0,8,6.1,6.1,0.2,11.9,2.1,8,8,0,0,6.6,0,0,0,5,9,1,0.0278637770897833,9,10,5,0
1,3000,21,0,-0.06,-0.11,0,0,0,5,4.8,0.5,7.4,7.8,6.5,3.7,9.3,8.6,9,6,5.6,9.7,8.1,6.5,0,5.3,26,40,0,0.14760147601476,3,3,5,0
0,3000,21,0,-0.06,-0.11,0,0,0,2,2.1,0.1,8.7,3.3,3.2,1,5.4,3.8,9,6,2.5,5.3,2,0,0,3.7,9,16,0,0.0590405904059041,6,6,5,0
0,3000,24.5,0.09,-0.13,0,0.1,0,3,5,4.8,0.4,7.4,7.4,6.6,2.3,10.9,7.1,12,20,0,9.1,1.3,11.9,6.3,2,25,38,0,0.127090301003344,4,4,5,0
