Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
36,769674981,zack113 (1/2),0,186.1,OF Denard Span 1B Miguel Cabrera OF Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey SS Brandon Crawford 2B Starlin Castro 3B Nolan Arenado P Jordan Montgomery,,Stephen Piscotty,9.28%,9
37,769620763,salmonc (43/150),0,185.65,1B Miguel Cabrera SS Alcides Escobar P Justin Verlander OF Lorenzo Cain OF Alex Gordon 3B Mike Moustakas P Chris Sale C Salvador Perez OF Eric Thames 2B Wilmer Flores,,Dexter Fowler,8.98%,19
38,769506482,tomjk321 (135/150),0,185.35,1B Miguel Cabrera 3B Eduardo Núñez OF Brandon Belt P Chris Sale C Buster Posey SS Brandon Crawford OF Eric Thames 2B Wilmer Flores OF Austin Slater P Matt Strahm,,Denard Span,8.79%,11
38,769590504,fallfromgrace (31/150),0,185.35,C René Rivera 1B Miguel Cabrera OF Ian Desmond P Chris Sale OF Eric Thames 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story OF Mallex Smith P Matt Strahm,,Sonny Gray,8.57%,11.4
40,769611172,moklovin (55/150),0,185,1B Miguel Cabrera P Justin Verlander OF Eduardo Núñez C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Mookie Betts P Matt Strahm,,Sandy Leon,8.56%,5
41,769444289,rayofhope (66/150),0,184.65,1B Miguel Cabrera 2B Ian Kinsler OF Justin Upton OF Alex Presley OF Khris Davis P Chris Sale C Buster Posey 3B Nolan Arenado SS Chad Pinder P Nick Pivetta,,Aaron Judge,8.51%,5
42,769710148,levei446 (2/15),0,184.35,1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond OF Dexter Fowler OF Justin Upton P Chris Sale SS Brandon Crawford 3B Nolan Arenado C Tom Murphy P Matt Strahm,,Trea Turner,8.36%,2
42,769725857,maineventers (8/10),0,184.35,C René Rivera 1B Miguel Cabrera OF Ian Desmond P Chris Sale OF Charlie Blackmon 2B Wilmer Flores 3B Nolan Arenado OF Brian Goodwin SS Trevor Story P Matt Strahm,,Brian Goodwin,7.99%,14
44,769554813,bwnoles,0,184.1,OF Denard Span 1B Miguel Cabrera OF Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Jordan Montgomery,,Eduardo Núñez,7.83%,3
44,769697834,KingOfQueens2326 (3/5),0,184.1,OF Denard Span 1B Miguel Cabrera OF Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Jordan Montgomery,,Andrew Benintendi,7.78%,2
44,769732340,bob734 (2/6),0,184.1,OF Denard Span 1B Miguel Cabrera OF Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Jordan Montgomery,,Ricky Nolasco,7.75%,4.3
44,769732341,bob734 (3/6),0,184.1,OF Denard Span 1B Miguel Cabrera OF Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Jordan Montgomery,,Matt Strahm,7.75%,18.85
48,769588984,l800Eddie (75/80),0,183.9,OF Ian Desmond P Gio González OF Brett Gardner 1B Chris Carter SS Didi Gregorius 3B Nolan Arenado 2B DJ LeMahieu C Gary Sánchez OF Aaron Judge P Nick Pivetta,,Matt Wieters,7.61%,9
49,769269078,RalphHouzen (1/9),0,183.35,1B Ian Desmond OF Hunter Pence P Chris Sale C Buster Posey SS Brandon Crawford 3B Nolan Arenado OF Michael A. Taylor OF Stephen Piscotty P Matt Strahm 2B Paul DeJong,,Salvador Perez,7.58%,10
49,769506467,tomjk321 (121/150),0,183.35,OF Denard Span 1B Miguel Cabrera OF Hunter Pence 3B Eduardo Núñez P Chris Sale C Buster Posey SS Brandon Crawford OF Eric Thames 2B Wilmer Flores P Matt Strahm,,Corey Dickerson,7.51%,3
49,769606349,volfan7.7 (3/5),0,183.35,OF Denard Span 1B Ian Desmond P Chris Sale SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Raimel Tapia OF Austin Slater C Tom Murphy P Matt Strahm,,José Martínez,7.25%,0
52,769424983,juanshen (21/150),0,182.9,OF Denard Span OF Ian Desmond P Gio González P Justin Verlander 1B Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater C Tom Murphy,,Evan Longoria,7.14%,3
53,769718642,jac3600 (2/2),0,182.65,1B Miguel Cabrera OF Hunter Pence OF Brett Gardner P Chris Sale SS Brandon Crawford 2B Wilmer Flores C Gary Sánchez OF Aaron Judge 3B T.J. Rivera P Nick Pivetta,,Jackie Bradley Jr.,6.83%,5
54,769678693,szaharias,0,182.6,OF Ian Desmond P Gio González 1B Mark Reynolds OF Steven Souza Jr. OF Eric Thames 2B Starlin Castro 3B Nolan Arenado C Gary Sánchez SS Trevor Story P Matt Strahm,,Hunter Pence,6.71%,7
55,769611126,moklovin (9/150),0,182,OF Ian Desmond P Justin Verlander OF Eduardo Núñez 1B Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Matt Strahm,,Jorge Bonifacio,6.66%,0
55,769708930,Gsmmchance (7/10),0,182,OF Ian Desmond 1B Mark Reynolds OF Charlie Blackmon SS Didi Gregorius 3B Nolan Arenado 2B DJ LeMahieu C Gary Sánchez OF Aaron Judge P Matt Strahm P Nick Pivetta,,Jett Bandy,6.52%,4
57,769659131,laughingmadman,0,181.55,1B Miguel Cabrera OF Dexter Fowler P Justin Verlander OF Charlie Blackmon SS Brandon Crawford C Alex Avila P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu OF J.D. Martinez,,Gary Sánchez,6.46%,26
58,769444232,rayofhope (9/150),0,181.45,P Ricky Nolasco OF Denard Span 1B Miguel Cabrera P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu,,Justin Upton,6.35%,2
59,769590593,fallfromgrace (120/150),0,181.35,1B Miguel Cabrera OF Hunter Pence OF Brandon Belt P Chris Sale SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater C Tom Murphy P Matt Strahm,,Anthony Rendon,6.16%,10
60,769651029,Callowhill1 (20/86),0,180.9,OF Denard Span 1B Miguel Cabrera 2B Ian Kinsler P Gio González P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford 3B Nolan Arenado OF J.D. Martinez,,Mitch Moreland,6.16%,3
60,769682401,lifehealthBAR.com (1/10),0,180.9,OF Denard Span 1B Miguel Cabrera 2B Ian Kinsler P Gio González P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford 3B Nolan Arenado OF J.D. Martinez,,Yadier Molina,5.71%,3
60,769682402,lifehealthBAR.com (2/10),0,180.9,OF Denard Span 1B Miguel Cabrera 2B Ian Kinsler P Gio González P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford 3B Nolan Arenado OF J.D. Martinez,,Eric Young Jr.,5.67%,0
60,769682404,lifehealthBAR.com (4/10),0,180.9,OF Denard Span 1B Miguel Cabrera 2B Ian Kinsler P Gio González P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford 3B Nolan Arenado OF J.D. Martinez,,Ryan Zimmerman,5.58%,7
64,769583433,Vicehood (7/7),0,180.55,1B Ian Desmond P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford OF Eric Thames P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu OF Stephen Piscotty,,Raimel Tapia,5.54%,10
64,769682403,lifehealthBAR.com (3/10),0,180.55,OF Denard Span 1B Miguel Cabrera 2B Ian Kinsler P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford P Sonny Gray 3B Nolan Arenado,,Colby Rasmus,5.39%,11
66,769215022,headchopper (23/25),0,180.35,OF Brandon Moss OF Ian Desmond P Chris Sale OF Charlie Blackmon SS Brandon Crawford 2B Wilmer Flores 3B Nolan Arenado 1B Matt Carpenter C Tom Murphy P Matt Strahm,,Whit Merrifield,5.35%,10
66,769691366,Lewsgiff (55/110),0,180.35,1B Miguel Cabrera 2B Ian Kinsler OF Colby Rasmus P Chris Sale C Alex Avila OF Eric Thames 3B Nolan Arenado OF J.D. Martinez P Matt Strahm SS Chad Pinder,,Mike Moustakas,5.23%,12
68,769432396,dsingletary06,0,180,P Justin Verlander 1B Ryan Zimmerman 2B Daniel Murphy SS Eric Sogard OF Charlie Blackmon OF Eric Thames 3B Nolan Arenado OF J.D. Martinez C Gary Sánchez P Matt Strahm,,René Rivera,5.23%,14
69,769384144,holstoca2,0,179.65,1B Miguel Cabrera P Justin Verlander SS Eric Sogard P Chris Sale OF Eric Thames OF Keon Broxton 2B Wilmer Flores 3B Nolan Arenado OF Stephen Piscotty C Andrew Knapp,,Pablo Sandoval,5.23%,0
70,769686343,PurpleDrank (6/6),0,179.55,OF Denard Span P Justin Verlander OF Brandon Belt 2B Daniel Murphy C Buster Posey SS Brandon Crawford OF Eric Thames P Sonny Gray 3B Nolan Arenado 1B Matt Carpenter,,Paul DeJong,4.81%,3
71,769611171,moklovin (54/150),0,179.15,OF Denard Span 1B Miguel Cabrera P Justin Verlander OF Eduardo Núñez C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Michael Wacha,,Travis Shaw,4.80%,13
72,769642881,Brnxbmr86 (4/4),0,179.1,OF Denard Span 1B Miguel Cabrera P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford 2B Wilmer Flores 3B Nolan Arenado P Jordan Montgomery,,Logan Morrison,4.65%,14
73,769611202,moklovin (85/150),0,179,OF Ian Desmond 1B Mark Reynolds P Justin Verlander SS Eric Sogard C Buster Posey OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF J.D. Martinez P Matt Strahm,,T.J. Rivera,4.61%,6
74,769209320,SlowQueen (62/75),0,178.65,1B Miguel Cabrera 2B Ian Kinsler P Justin Verlander OF Alex Presley OF Brandon Belt P Chris Sale C Buster Posey SS Brandon Crawford 3B Wilmer Flores OF Austin Slater,,Keon Broxton,4.51%,16
74,769704245,capnbucko (4/150),0,178.65,OF Denard Span 1B Miguel Cabrera 2B Ian Kinsler P Justin Verlander OF Juan Lagares P Chris Sale C Buster Posey SS Brandon Crawford 3B Wilmer Flores OF Austin Slater,,José Reyes,4.42%,0
76,769574847,ChipotleAddict (91/150),0,178.55,OF Denard Span OF Ian Desmond P Justin Verlander 1B Buster Posey OF Charlie Blackmon SS Brandon Crawford P Sonny Gray 3B Nolan Arenado 2B DJ LeMahieu C Tom Murphy,,Albert Pujols,4.31%,5
77,769689929,npl77 (6/12),0,178.35,OF Ian Desmond OF Dexter Fowler P Chris Sale C Josh Phegley 3B Nolan Arenado 2B DJ LeMahieu 1B Matt Carpenter OF Stephen Piscotty P Matt Strahm SS Aledmys Díaz,,Brandon Moss,4.09%,3
77,769710787,FantasyGuruDrew (56/100),0,178.35,1B Miguel Cabrera OF Ian Desmond 2B Daniel Murphy OF Charlie Blackmon SS Brandon Crawford OF Eric Thames P Sonny Gray 3B Nolan Arenado C Tom Murphy P Jordan Montgomery,,Austin Slater,3.85%,14
79,769651326,Callowhill1 (28/86),0,178.1,1B Miguel Cabrera 2B Ian Kinsler P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford OF Eric Thames 3B Nolan Arenado OF J.D. Martinez P Jordan Montgomery,,Ryon Healy,3.69%,5
80,769600829,woulfeking612,0,177.9,1B Miguel Cabrera P Gio González P Justin Verlander OF Brandon Belt OF José Martínez C Buster Posey SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF J.D. Martinez,,Chad Pinder,3.68%,15
80,769739442,9plus81equals6 (5/6),0,177.9,1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond P Gio González P Justin Verlander OF Brandon Belt OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado C Jett Bandy,,Cameron Maybin,3.50%,5
82,769690991,beatable1,0,177.65,C René Rivera OF Denard Span 1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond P Justin Verlander OF Brandon Belt P Chris Sale SS Brandon Crawford 3B Wilmer Flores,,Nicholas Castellanos,3.48%,3
83,769590563,fallfromgrace (90/150),0,177.35,1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond OF Dexter Fowler P Chris Sale OF Eric Thames 3B Nolan Arenado SS Trevor Story C Tom Murphy P Matt Strahm,,Domingo Santana,3.38%,7
83,769719178,levei446 (11/15),0,177.35,1B Miguel Cabrera 2B Ian Kinsler OF Ian Desmond OF Dexter Fowler P Chris Sale OF Eric Thames 3B Nolan Arenado SS Trevor Story C Tom Murphy P Matt Strahm,,Eric Hosmer,3.36%,13
83,769719206,levei446 (14/15),0,177.35,1B Miguel Cabrera P Chris Sale OF Charlie Blackmon SS Brandon Crawford 2B Wilmer Flores 3B Nolan Arenado OF J.D. Martinez OF Jorge Bonifacio C Tom Murphy P Matt Strahm,,Steven Souza Jr.,3.35%,16
86,769444299,rayofhope (76/150),0,177.15,OF Denard Span 1B Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Michael Wacha,,Andrelton Simmons,3.27%,0
86,769459643,scout326 (56/150),0,177.15,OF Denard Span 1B Mark Reynolds P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater P Michael Wacha,,Kole Calhoun,3.23%,8
86,769611136,moklovin (19/150),0,177.15,OF Denard Span 1B Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu P Michael Wacha,,Khris Davis,3.18%,9
86,769686912,biglucky (21/150),0,177.15,OF Denard Span 1B Mark Reynolds P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu OF Austin Slater P Michael Wacha,,Jay Bruce,3.06%,7
86,769740282,eternalone85 (11/11),0,177.15,OF Ian Desmond 1B Mark Reynolds OF Dexter Fowler C Buster Posey OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu SS Trea Turner P Michael Wacha P Nick Pivetta,,Alcides Escobar,3.01%,10
91,769682406,lifehealthBAR.com (6/10),0,176.9,1B Miguel Cabrera 2B Ian Kinsler P Gio González OF Hunter Pence P Justin Verlander OF Brandon Belt C Buster Posey SS Brandon Crawford 3B Nolan Arenado OF J.D. Martinez,,Didi Gregorius,3.00%,5
92,769628617,Duelin1971 (1/5),0,176.65,1B Albert Pujols C René Rivera OF Ian Desmond OF Alex Presley P Chris Sale OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story P Nick Pivetta,,Yunel Escobar,3.00%,5
92,769651156,magneto999 (79/150),0,176.65,1B Miguel Cabrera P Justin Verlander P Chris Sale SS Brandon Crawford OF Eric Thames OF Keon Broxton 2B Wilmer Flores OF Domingo Santana C Jett Bandy 3B Travis Shaw,,Starlin Castro,2.90%,24
94,769682405,lifehealthBAR.com (5/10),0,176.55,1B Miguel Cabrera 2B Ian Kinsler OF Hunter Pence P Justin Verlander OF Brandon Belt C Buster Posey OF Charlie Blackmon SS Brandon Crawford P Sonny Gray 3B Nolan Arenado,,Joe Panik,2.89%,5
95,769616509,nikolsberg (2/7),0,176.5,1B Ian Desmond OF Alex Gordon OF Alex Presley P Chris Sale OF Charlie Blackmon SS Brandon Crawford 2B Wilmer Flores 3B Nolan Arenado P Michael Wacha C Tom Murphy,,Robert Gsellman,2.89%,-4.55
96,769444224,rayofhope (1/150),0,176.45,P Ricky Nolasco OF Denard Span 1B Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu,,Martín Maldonado,2.71%,0
96,769686893,biglucky (2/150),0,176.45,P Ricky Nolasco OF Denard Span 1B Ian Desmond OF Hunter Pence P Justin Verlander C Buster Posey OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu,,Victor Martinez,2.66%,8
98,769493776,bdoubled,0,176.35,OF Denard Span 3B Eduardo Núñez P Chris Sale C Buster Posey SS Brandon Crawford OF Eric Thames 2B Wilmer Flores 1B Matt Carpenter OF Mallex Smith P Matt Strahm,,Daniel Robertson,2.63%,4
98,769590550,fallfromgrace (77/150),0,176.35,OF Brandon Moss 1B Miguel Cabrera OF Ian Desmond C Matt Wieters P Chris Sale OF Eric Thames 3B Nolan Arenado 2B DJ LeMahieu SS Trevor Story P Matt Strahm,,Lorenzo Cain,2.61%,19
98,769611997,jcart33 (20/53),0,176.35,OF Ian Desmond SS Adam Rosales P Chris Sale C Salvador Perez 1B Eric Hosmer 3B Nolan Arenado 2B DJ LeMahieu OF Raimel Tapia OF Austin Slater P Matt Strahm,,Michael Martínez,2.56%,2
98,769620567,jcart33 (28/53),0,176.35,SS Eric Sogard P Chris Sale OF Charlie Blackmon 1B Eric Thames OF Keon Broxton 2B Wilmer Flores 3B Nolan Arenado OF Domingo Santana C Jett Bandy P Matt Strahm,,Zach Davies,2.48%,-0.15
102,769714163,peacenukka1129 (2/3),0,176.25,1B Miguel Cabrera 2B Ian Kinsler P Gio González OF Colby Rasmus 3B Evan Longoria C Matt Wieters P Chris Sale SS Brandon Crawford OF Keon Broxton OF Michael A. Taylor,,Michael A. Taylor,2.44%,16
103,769708019,LaBete_DU_GEVAUDANz (64/117),0,176.15,OF Ian Desmond 1B Mark Reynolds P Justin Verlander OF Alex Presley OF Charlie Blackmon SS Brandon Crawford 3B Nolan Arenado 2B DJ LeMahieu C Gary Sánchez P Michael Wacha,,José Iglesias,2.42%,5
