"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","FullName","Projection"
"WR","Donte Moncrief (7572111)","Donte Moncrief",7572111,5300,"Ind@Hou 08:30PM ET","Ind","Donte","Moncrief","Hou","Donte Moncrief",0
"WR","Mike Wallace (7572008)","Mike Wallace",7572008,5200,"Bal@NYG 01:00PM ET","Bal","Mike","Wallace","NYG","Mike Wallace",12.46
"RB","Frank Gore (7571961)","Frank Gore",7571961,5200,"Ind@Hou 08:30PM ET","Ind","Frank","Gore","Hou","Frank Gore",13.62
"RB","Carlos Hyde (7571864)","Carlos Hyde",7571864,5100,"SF@Buf 01:00PM ET","SF","Carlos","Hyde","Buf","Carlos Hyde",15.62
"RB","Jonathan Stewart (7571893)","Jonathan Stewart",7571893,5100,"Car@NO 01:00PM ET","Car","Jonathan","Stewart","NO","Jonathan Stewart",13.11
"QB","Jay Cutler (7571816)","Jay Cutler",7571816,5100,"Jax@Chi 01:00PM ET","Chi","Jay","Cutler","Jax","Jay Cutler",0
"RB","Jamaal Charles (7571934)","Jamaal Charles",7571934,5100,"KC@Oak 04:05PM ET","KC","Jamaal","Charles","Oak","Jamaal Charles",15.01
"QB","Colin Kaepernick (7571790)","Colin Kaepernick",7571790,5000,"SF@Buf 01:00PM ET","SF","Colin","Kaepernick","Buf","Colin Kaepernick",15.63
"QB","Christian Ponder (7571791)","Christian Ponder",7571791,5000,"SF@Buf 01:00PM ET","SF","Christian","Ponder","Buf","Christian Ponder",0
"QB","EJ Manuel (7571793)","EJ Manuel",7571793,5000,"SF@Buf 01:00PM ET","Buf","EJ","Manuel","SF","EJ Manuel",0
"QB","Blaine Gabbert (7571794)","Blaine Gabbert",7571794,5000,"SF@Buf 01:00PM ET","SF","Blaine","Gabbert","Buf","Blaine Gabbert",0
"QB","Cardale Jones (7571795)","Cardale Jones",7571795,5000,"SF@Buf 01:00PM ET","Buf","Cardale","Jones","SF","Cardale Jones",0
"QB","Chase Daniel (7571796)","Chase Daniel",7571796,5000,"Phi@Was 01:00PM ET","Phi","Chase","Daniel","Was","Chase Daniel",0
"QB","Colt McCoy (7571797)","Colt McCoy",7571797,5000,"Phi@Was 01:00PM ET","Was","Colt","McCoy","Phi","Colt McCoy",0
"QB","Nate Sudfeld (7571800)","Nate Sudfeld",7571800,5000,"Phi@Was 01:00PM ET","Was","Nate","Sudfeld","Phi","Nate Sudfeld",0
"QB","Josh McCown (7571801)","Josh McCown",7571801,5000,"Cle@Ten 01:00PM ET","Cle","Josh","McCown","Ten","Josh McCown",0
"QB","Matt Cassel (7571802)","Matt Cassel",7571802,5000,"Cle@Ten 01:00PM ET","Ten","Matt","Cassel","Cle","Matt Cassel",0
"QB","Charlie Whitehurst (7571803)","Charlie Whitehurst",7571803,5000,"Cle@Ten 01:00PM ET","Cle","Charlie","Whitehurst","Ten","Charlie Whitehurst",0
"QB","Cody Kessler (7571804)","Cody Kessler",7571804,5000,"Cle@Ten 01:00PM ET","Cle","Cody","Kessler","Ten","Cody Kessler",12.5
"QB","Josh Johnson (7571808)","Josh Johnson",7571808,5000,"Bal@NYG 01:00PM ET","NYG","Josh","Johnson","Bal","Josh Johnson",0
"QB","Ryan Mallett (7571809)","Ryan Mallett",7571809,5000,"Bal@NYG 01:00PM ET","Bal","Ryan","Mallett","NYG","Ryan Mallett",0
"QB","Ryan Nassib (7571810)","Ryan Nassib",7571810,5000,"Bal@NYG 01:00PM ET","NYG","Ryan","Nassib","Bal","Ryan Nassib",0
"RB","Terrance West (7571886)","Terrance West",7571886,5000,"Bal@NYG 01:00PM ET","Bal","Terrance","West","NYG","Terrance West",12.35
"QB","Luke McCown (7571813)","Luke McCown",7571813,5000,"Car@NO 01:00PM ET","NO","Luke","McCown","Car","Luke McCown",0
"QB","Joe Webb (7571814)","Joe Webb",7571814,5000,"Car@NO 01:00PM ET","Car","Joe","Webb","NO","Joe Webb",0
"QB","Chad Henne (7571818)","Chad Henne",7571818,5000,"Jax@Chi 01:00PM ET","Jax","Chad","Henne","Chi","Chad Henne",0
"QB","Matt Barkley (7571819)","Matt Barkley",7571819,5000,"Jax@Chi 01:00PM ET","Chi","Matt","Barkley","Jax","Matt Barkley",0
"QB","Brandon Allen (7571821)","Brandon Allen",7571821,5000,"Jax@Chi 01:00PM ET","Jax","Brandon","Allen","Chi","Brandon Allen",0
"QB","Dan Orlovsky (7571822)","Dan Orlovsky",7571822,5000,"LA@Det 01:00PM ET","Det","Dan","Orlovsky","LA","Dan Orlovsky",0
"QB","Case Keenum (7571824)","Case Keenum",7571824,5000,"LA@Det 01:00PM ET","LA","Case","Keenum","Det","Case Keenum",12.14
"QB","Sean Mannion (7571825)","Sean Mannion",7571825,5000,"LA@Det 01:00PM ET","LA","Sean","Mannion","Det","Sean Mannion",0
"QB","Jared Goff (7571826)","Jared Goff",7571826,5000,"LA@Det 01:00PM ET","LA","Jared","Goff","Det","Jared Goff",0
"QB","Bruce Gradkowski (7571827)","Bruce Gradkowski",7571827,5000,"Pit@Mia 01:00PM ET","Pit","Bruce","Gradkowski","Mia","Bruce Gradkowski",0
"QB","Matt Moore (7571828)","Matt Moore",7571828,5000,"Pit@Mia 01:00PM ET","Mia","Matt","Moore","Pit","Matt Moore",0
"QB","Landry Jones (7571831)","Landry Jones",7571831,5000,"Pit@Mia 01:00PM ET","Pit","Landry","Jones","Mia","Landry Jones",0
"QB","Zach Mettenberger (7571832)","Zach Mettenberger",7571832,5000,"Pit@Mia 01:00PM ET","Pit","Zach","Mettenberger","Mia","Zach Mettenberger",0
"WR","DeVante Parker (7572055)","DeVante Parker",7572055,5000,"Pit@Mia 01:00PM ET","Mia","DeVante","Parker","Pit","DeVante Parker",12.16
"QB","AJ McCarron (7571835)","AJ McCarron",7571835,5000,"Cin@NE 01:00PM ET","Cin","AJ","McCarron","NE","AJ McCarron",0
"QB","Jimmy Garoppolo (7571836)","Jimmy Garoppolo",7571836,5000,"Cin@NE 01:00PM ET","NE","Jimmy","Garoppolo","Cin","Jimmy Garoppolo",0
"QB","Jeff Driskel (7571837)","Jeff Driskel",7571837,5000,"Cin@NE 01:00PM ET","Cin","Jeff","Driskel","NE","Jeff Driskel",0
"RB","LeGarrette Blount (7571927)","LeGarrette Blount",7571927,5000,"Cin@NE 01:00PM ET","NE","LeGarrette","Blount","Cin","LeGarrette Blount",12
"QB","Nick Foles (7571839)","Nick Foles",7571839,5000,"KC@Oak 04:05PM ET","KC","Nick","Foles","Oak","Nick Foles",0
"QB","Matt McGloin (7571840)","Matt McGloin",7571840,5000,"KC@Oak 04:05PM ET","Oak","Matt","McGloin","KC","Matt McGloin",0
"QB","Tyler Bray (7571842)","Tyler Bray",7571842,5000,"KC@Oak 04:05PM ET","KC","Tyler","Bray","Oak","Tyler Bray",0
"QB","Connor Cook (7571843)","Connor Cook",7571843,5000,"KC@Oak 04:05PM ET","Oak","Connor","Cook","KC","Connor Cook",0
"TE","Travis Kelce (7572183)","Travis Kelce",7572183,5000,"KC@Oak 04:05PM ET","KC","Travis","Kelce","Oak","Travis Kelce",14.37
"QB","Matt Schaub (7571845)","Matt Schaub",7571845,5000,"Atl@Sea 04:25PM ET","Atl","Matt","Schaub","Sea","Matt Schaub",0
"QB","Trevone Boykin (7571847)","Trevone Boykin",7571847,5000,"Atl@Sea 04:25PM ET","Sea","Trevone","Boykin","Atl","Trevone Boykin",0
"QB","Mark Sanchez (7571850)","Mark Sanchez",7571850,5000,"Dal@GB 04:25PM ET","Dal","Mark","Sanchez","GB","Mark Sanchez",0
"QB","Brett Hundley (7571851)","Brett Hundley",7571851,5000,"Dal@GB 04:25PM ET","GB","Brett","Hundley","Dal","Brett Hundley",0
"QB","Joe Callahan (7571853)","Joe Callahan",7571853,5000,"Dal@GB 04:25PM ET","GB","Joe","Callahan","Dal","Joe Callahan",0
"QB","Scott Tolzien (7571854)","Scott Tolzien",7571854,5000,"Ind@Hou 08:30PM ET","Ind","Scott","Tolzien","Hou","Scott Tolzien",0
"QB","Brandon Weeden (7571855)","Brandon Weeden",7571855,5000,"Ind@Hou 08:30PM ET","Hou","Brandon","Weeden","Ind","Brandon Weeden",0
"QB","Tom Savage (7571858)","Tom Savage",7571858,5000,"Ind@Hou 08:30PM ET","Hou","Tom","Savage","Ind","Tom Savage",0
"RB","Ryan Mathews (7571868)","Ryan Mathews",7571868,4900,"Phi@Was 01:00PM ET","Phi","Ryan","Mathews","Was","Ryan Mathews",14.47
"TE","Jimmy Graham (7572192)","Jimmy Graham",7572192,4900,"Atl@Sea 04:25PM ET","Sea","Jimmy","Graham","Atl","Jimmy Graham",16.2
"RB","DeAngelo Williams (7571917)","DeAngelo Williams",7571917,4800,"Pit@Mia 01:00PM ET","Pit","DeAngelo","Williams","Mia","DeAngelo Williams",3.69
"RB","Tevin Coleman (7571949)","Tevin Coleman",7571949,4800,"Atl@Sea 04:25PM ET","Atl","Tevin","Coleman","Sea","Tevin Coleman",11.66
"WR","Allen Hurns (7572032)","Allen Hurns",7572032,4700,"Jax@Chi 01:00PM ET","Jax","Allen","Hurns","Chi","Allen Hurns",12.54
"RB","Arian Foster (7571918)","Arian Foster",7571918,4700,"Pit@Mia 01:00PM ET","Mia","Arian","Foster","Pit","Arian Foster",13.1
"WR","Sammie Coates (7572054)","Sammie Coates",7572054,4700,"Pit@Mia 01:00PM ET","Pit","Sammie","Coates","Mia","Sammie Coates",13.18
"RB","Isaiah Crowell (7571878)","Isaiah Crowell",7571878,4600,"Cle@Ten 01:00PM ET","Cle","Isaiah","Crowell","Ten","Isaiah Crowell",13.97
"RB","Giovani Bernard (7571930)","Giovani Bernard",7571930,4600,"Cin@NE 01:00PM ET","Cin","Giovani","Bernard","NE","Giovani Bernard",10.79
"WR","Chris Hogan (7572065)","Chris Hogan",7572065,4600,"Cin@NE 01:00PM ET","NE","Chris","Hogan","Cin","Chris Hogan",12.41
"WR","Corey Coleman (7572001)","Corey Coleman",7572001,4500,"Cle@Ten 01:00PM ET","Cle","Corey","Coleman","Ten","Corey Coleman",0
"RB","Rashad Jennings (7571882)","Rashad Jennings",7571882,4500,"Bal@NYG 01:00PM ET","NYG","Rashad","Jennings","Bal","Rashad Jennings",9.34
"TE","Martellus Bennett (7572175)","Martellus Bennett",7572175,4500,"Cin@NE 01:00PM ET","NE","Martellus","Bennett","Cin","Martellus Bennett",10.16
"RB","Darren Sproles (7571867)","Darren Sproles",7571867,4400,"Phi@Was 01:00PM ET","Phi","Darren","Sproles","Was","Darren Sproles",10.78
"WR","Jamison Crowder (7571988)","Jamison Crowder",7571988,4400,"Phi@Was 01:00PM ET","Was","Jamison","Crowder","Phi","Jamison Crowder",8.79
"RB","T.J. Yeldon (7571906)","T.J. Yeldon",7571906,4400,"Jax@Chi 01:00PM ET","Jax","T.J.","Yeldon","Chi","T.J. Yeldon",12.68
"WR","Golden Tate (7572042)","Golden Tate",7572042,4400,"LA@Det 01:00PM ET","Det","Golden","Tate","LA","Golden Tate",9.87
"RB","Latavius Murray (7571937)","Latavius Murray",7571937,4400,"KC@Oak 04:05PM ET","Oak","Latavius","Murray","KC","Latavius Murray",10.31
"WR","Cole Beasley (7572096)","Cole Beasley",7572096,4400,"Dal@GB 04:25PM ET","Dal","Cole","Beasley","GB","Cole Beasley",10.52
"TE","Dennis Pitta (7572138)","Dennis Pitta",7572138,4300,"Bal@NYG 01:00PM ET","Bal","Dennis","Pitta","NYG","Dennis Pitta",14.35
"RB","Fozzy Whittaker (7571894)","Fozzy Whittaker",7571894,4300,"Car@NO 01:00PM ET","Car","Fozzy","Whittaker","NO","Fozzy Whittaker",8.79
"WR","Michael Thomas (7572025)","Michael Thomas",7572025,4300,"Car@NO 01:00PM ET","NO","Michael","Thomas","Car","Michael Thomas",10.04
"WR","Mohamed Sanu (7572086)","Mohamed Sanu",7572086,4300,"Atl@Sea 04:25PM ET","Atl","Mohamed","Sanu","Sea","Mohamed Sanu",9.42
"WR","Phillip Dorsett (7572110)","Phillip Dorsett",7572110,4300,"Ind@Hou 08:30PM ET","Ind","Phillip","Dorsett","Hou","Phillip Dorsett",7.93
"WR","Robert Woods (7571978)","Robert Woods",7571978,4200,"SF@Buf 01:00PM ET","Buf","Robert","Woods","SF","Robert Woods",12.72
"WR","Victor Cruz (7572006)","Victor Cruz",7572006,4200,"Bal@NYG 01:00PM ET","NYG","Victor","Cruz","Bal","Victor Cruz",8.86
"TE","Julius Thomas (7572155)","Julius Thomas",7572155,4200,"Jax@Chi 01:00PM ET","Jax","Julius","Thomas","Chi","Julius Thomas",12.18
"RB","DeAndre Washington (7571941)","DeAndre Washington",7571941,4200,"KC@Oak 04:05PM ET","Oak","DeAndre","Washington","KC","DeAndre Washington",8.07
"RB","Thomas Rawls (7571948)","Thomas Rawls",7571948,4200,"Atl@Sea 04:25PM ET","Sea","Thomas","Rawls","Atl","Thomas Rawls",0
"TE","Jason Witten (7572199)","Jason Witten",7572199,4200,"Dal@GB 04:25PM ET","Dal","Jason","Witten","GB","Jason Witten",9.95
"WR","Tajae Sharpe (7572002)","Tajae Sharpe",7572002,4100,"Cle@Ten 01:00PM ET","Ten","Tajae","Sharpe","Cle","Tajae Sharpe",9.67
"WR","Cameron Meredith (7572034)","Cameron Meredith",7572034,4100,"Jax@Chi 01:00PM ET","Chi","Cameron","Meredith","Jax","Cameron Meredith",13.79
"RB","James White (7571931)","James White",7571931,4100,"Cin@NE 01:00PM ET","NE","James","White","Cin","James White",9.95
"TE","Tyler Eifert (7572179)","Tyler Eifert",7572179,4100,"Cin@NE 01:00PM ET","Cin","Tyler","Eifert","NE","Tyler Eifert",10.32
"WR","Jeremy Kerley (7571972)","Jeremy Kerley",7571972,4000,"SF@Buf 01:00PM ET","SF","Jeremy","Kerley","Buf","Jeremy Kerley",13.12
"RB","Matt Jones (7571872)","Matt Jones",7571872,4000,"Phi@Was 01:00PM ET","Was","Matt","Jones","Phi","Matt Jones",11.57
"TE","Zach Ertz (7572126)","Zach Ertz",7572126,4000,"Phi@Was 01:00PM ET","Phi","Zach","Ertz","Was","Zach Ertz",11.41
"WR","Eddie Royal (7572027)","Eddie Royal",7572027,4000,"Jax@Chi 01:00PM ET","Chi","Eddie","Royal","Jax","Eddie Royal",11.95
"RB","Jeremy Hill (7571932)","Jeremy Hill",7571932,4000,"Cin@NE 01:00PM ET","Cin","Jeremy","Hill","NE","Jeremy Hill",8.43
"RB","Duke Johnson Jr. (7571880)","Duke Johnson Jr.",7571880,3900,"Cle@Ten 01:00PM ET","Cle","Duke","Johnson","Ten","Duke Johnson",9.74
"WR","Ted Ginn Jr. (7572016)","Ted Ginn Jr.",7572016,3900,"Car@NO 01:00PM ET","Car","Ted","Ginn","NO","Ted Ginn",7.92
"WR","Anquan Boldin (7572038)","Anquan Boldin",7572038,3900,"LA@Det 01:00PM ET","Det","Anquan","Boldin","LA","Anquan Boldin",9.38
"WR","Tavon Austin (7572044)","Tavon Austin",7572044,3900,"LA@Det 01:00PM ET","LA","Tavon","Austin","Det","Tavon Austin",11.5
"WR","Davante Adams (7572100)","Davante Adams",7572100,3900,"Dal@GB 04:25PM ET","GB","Davante","Adams","Dal","Davante Adams",10.63
"WR","Pierre Garcon (7571982)","Pierre Garcon",7571982,3800,"Phi@Was 01:00PM ET","Was","Pierre","Garcon","Phi","Pierre Garcon",10.95
"WR","Devin Funchess (7572026)","Devin Funchess",7572026,3800,"Car@NO 01:00PM ET","Car","Devin","Funchess","NO","Devin Funchess",6.66
"RB","Jeremy Langford (7571904)","Jeremy Langford",7571904,3800,"Jax@Chi 01:00PM ET","Chi","Jeremy","Langford","Jax","Jeremy Langford",0
"TE","Zach Miller (7572152)","Zach Miller",7572152,3800,"Jax@Chi 01:00PM ET","Chi","Zach","Miller","Jax","Zach Miller",11.34
"RB","Jalen Richard (7571942)","Jalen Richard",7571942,3800,"KC@Oak 04:05PM ET","Oak","Jalen","Richard","KC","Jalen Richard",7.4
"WR","Terrance Williams (7572095)","Terrance Williams",7572095,3800,"Dal@GB 04:25PM ET","Dal","Terrance","Williams","GB","Terrance Williams",10.3
"RB","Orleans Darkwa (7571885)","Orleans Darkwa",7571885,3700,"Bal@NYG 01:00PM ET","NYG","Orleans","Darkwa","Bal","Orleans Darkwa",3.49
"RB","Cameron Artis-Payne (7571899)","Cameron Artis-Payne",7571899,3700,"Car@NO 01:00PM ET","Car","Cameron","Artis-Payne","NO","Cameron Artis-Payne",2.34
"WR","Kenny Britt (7572040)","Kenny Britt",7572040,3700,"LA@Det 01:00PM ET","LA","Kenny","Britt","Det","Kenny Britt",11.08
"WR","Danny Amendola (7572060)","Danny Amendola",7572060,3700,"Cin@NE 01:00PM ET","NE","Danny","Amendola","Cin","Danny Amendola",6.3
"WR","Corey Brown (7572019)","Corey Brown",7572019,3600,"Car@NO 01:00PM ET","Car","Corey","Brown","NO","Corey Brown",0
