"Name","teamAbbrev","Opponent","Game","Position","Salary","Proj_dfn","Proj_bbm","Proj_rotogrinders","Proj_rotowire","Batting_Order_Confirmed"
"Mookie Betts","Bos","Bal","Bal Bos","OF",5400,"9.2","9.47","8.05","9.1","3"
"Mike Trout","LAA","Tor","LAA Tor","OF",5300,"9.2","11.43","10.4","9.8","3"
"Anthony Rizzo","ChC","Cin","ChC Cin","1B",5300,"10.5","9.7","9.95","9.0","3"
"Nolan Arenado","Col","SF","Col SF","3B",5300,"7.8","9.21","9.9","9.0","3"
"Hunter Pence","SF","Col","Col SF","OF",5300,"9.3","9.27","8.07","7.9","3"
"Hanley Ramirez","Bos","Bal","Bal Bos","1B/OF",5200,"7.8","7.91","7.13","7.6","5"
"Bryce Harper","Was","NYM","NYM Was","OF",5200,"8.8","7.92","8.4","9.2","3"
"Kris Bryant","ChC","Cin","ChC Cin","3B",5200,"9.3","9.62","9.54","9.3","2"
"Paul Goldschmidt","Ari","LAD","Ari LAD","1B",5100,"10.1","10.02","10.89","9.9","3"
"Buster Posey","SF","Col","Col SF","C",5100,"9.7","9.47","9.52","7.2","4"
"Charlie Blackmon","Col","SF","Col SF","OF",5100,"7.8","9.25","9.45","9.0","1"
"Ryan Braun","Mil","StL","Mil StL","OF",5000,"7.2","8.93","8.54","8.5","3"
"Brandon Belt","SF","Col","Col SF","1B",5000,"9.5","9.6","8.53","8.5","2"
"Eduardo Nunez","SF","Col","Col SF","3B",5000,"9.3","8.96","6.96","7.1","6"
"Carlos Gonzalez","Col","SF","Col SF","OF",5000,"8.0","8.82","8.73","8.4","4"
"Miguel Cabrera","Det","Min","Det Min","1B",4900,"9.7","9.38","9.11","8.6","3"
"Kyle Schwarber","ChC","Cin","ChC Cin","OF",4900,"10.5","9.65","8.01","7.4","1"
"Trevor Story","Col","SF","Col SF","SS",4900,"6.9","8.36","7.58","8.1","7"
"Denard Span","SF","Col","Col SF","OF",4900,"9.2","8.83","7.46","6.3","1"
"Jackie Bradley","Bos","Bal","Bal Bos","OF",4800,"7.5","6.58","6.49","2.2","6"
"Dexter Fowler","StL","Mil","Mil StL","OF",4800,"8.4","8.45","7.39","7.4","1"
"Joe Panik","SF","Col","Col SF","2B",4800,"7.6","6.7","6.66","6.7","7"
"Dustin Pedroia","Bos","Bal","Bal Bos","2B",4700,"7.4","7.9","6.82","6.8","1"
"Matt Carpenter","StL","Mil","Mil StL","1B",4700,"9.8","8.68","7.93","8.2","3"
"Brandon Crawford","SF","Col","Col SF","SS",4700,"8.0","8.3","8.07","7.5","5"
"Giancarlo Stanton","Mia","SD","Mia SD","OF",4700,"8.4","8.68","8.3","7.9","4"
"Manny Machado","Bal","Bos","Bal Bos","3B",4600,"7.9","8.78","8.93","8.5","3"
"Joey Votto","Cin","ChC","ChC Cin","1B",4600,"7.3","8.48","5.77","8.6","3"
"Freddie Freeman","Atl","Phi","Atl Phi","1B",4600,"9.0","8.8","9.84","9.0","3"
"Corey Seager","LAD","Ari","Ari LAD","SS",4600,"10.4","9.32","9.12","9.1","2"
"Chris Davis","Bal","Bos","Bal Bos","1B",4500,"6.7","8.06","5.83","7.0","5"
"Jose Altuve","Hou","TB","Hou TB","2B",4500,"8.1","9.23","9.4","8.6","3"
"Jonathan Villar","Mil","StL","Mil StL","2B",4500,"8.4","9.25","7.63","8.6","1"
"Aledmys Diaz","StL","Mil","Mil StL","SS",4500,"7.7","8.31","7.05","7.3","2"
"Rougned Odor","Tex","KC","KC Tex","2B",4500,"7.9","8.6","8.05","8.2","5"
"Wil Myers","SD","Mia","Mia SD","1B",4500,"7.6","8.48","8.08","8.1","3"
"Ian Kinsler","Det","Min","Det Min","2B",4400,"8.5","8.57","7.54","8.5","1"
"Mark Trumbo","Bal","Bos","Bal Bos","OF",4400,"7.3","8.3","8.25","7.3","4"
"Andrew Benintendi","Bos","Bal","Bal Bos","OF",4400,"8.6","8.18","7.0","7.5","2"
"Carlos Correa","Hou","TB","Hou TB","SS",4400,"7.7","8.12","8.02","8.3","4"
"Shin-Soo Choo","Tex","KC","KC Tex","OF",4400,"7.9","7.19","6.49","7.3","2"
"DJ LeMahieu","Col","SF","Col SF","2B",4400,"7.4","8.24","7.22","7.4","2"
"Christian Yelich","Mia","SD","Mia SD","OF",4400,"8.9","8.38","7.83","8.4","3"
"Brian Dozier","Min","Det","Det Min","2B",4300,"7.9","8.66","7.33","8.4","1"
"Pablo Sandoval","Bos","Bal","Bal Bos","3B",4300,"7.5","5.95","5.49","5.6","7"
"Adam Jones","Bal","Bos","Bal Bos","OF",4300,"7.5","7.85","8.12","7.1","2"
"Andrew McCutchen","Pit","NYY","NYY Pit","OF",4300,"8.6","8.03","8.48","8.8","3"
"Jose Bautista","Tor","LAA","LAA Tor","OF",4300,"7.7","8.44","7.31","7.8","3"
"Mark Reynolds","Col","SF","Col SF","1B",4300,"7.1","7.79","6.9","5.5","5"
"Dee Gordon","Mia","SD","Mia SD","2B",4300,"8.3","9.41","7.48","7.8","1"
"Justin Upton","Det","Min","Det Min","OF",4200,"8.3","8.07","7.24","8.3","5"
"Edwin Encarnacion","Cle","CWS","CWS Cle","1B",4200,"7.1","8.32","8.91","8.1","4"
"Michael Brantley","Cle","CWS","CWS Cle","OF",4200,"6.3","8.22","6.25","7.0","3"
"Gregory Polanco","Pit","NYY","NYY Pit","OF",4200,"6.0","1.77","6.47","7.1","4"
"George Springer","Hou","TB","Hou TB","OF",4200,"7.9","8.42","9.5","7.8","1"
"Nelson Cruz","Sea","Oak","Oak Sea","OF",4200,"8.9","8.42","10.42","8.6","4"
"Lorenzo Cain","KC","Tex","KC Tex","OF",4200,"8.4","8.48","6.16","8.9","2"
"Javier Baez","ChC","Cin","ChC Cin","2B",4200,"6.6","6.67","0","6.5","7"
"Maikel Franco","Phi","Atl","Atl Phi","3B",4200,"7.3","7.72","7.46","6.5","4"
"Carlos Santana","Cle","CWS","CWS Cle","1B/OF",4100,"7.9","8.59","8.75","7.8","1"
"Todd Frazier","CWS","Cle","CWS Cle","3B",4100,"5.9","7.36","5.95","8.0","4"
"Evan Longoria","TB","Hou","Hou TB","3B",4100,"7.3","7.8","7.64","7.8","3"
"Robinson Cano","Sea","Oak","Oak Sea","2B",4100,"6.3","7.87","6.63","7.1","3"
"Randal Grichuk","StL","Mil","Mil StL","OF",4100,"6.9","7.15","5.85","6.5","7"
"Eric Hosmer","KC","Tex","KC Tex","1B",4100,"7.0","7.77","5.77","6.8","3"
"Matt Kemp","Atl","Phi","Atl Phi","OF",4100,"8.1","7.99","7.28","2.5","4"
"AJ Pollock","Ari","LAD","Ari LAD","OF",4100,"9.1","9.52","8.16","9.4","1"
"Jason Kipnis","Cle","CWS","CWS Cle","2B",4000,"6.4","8.06","6.01","2.7","6"
"Albert Pujols","LAA","Tor","LAA Tor","1B",4000,"7.4","8.34","7.36","6.8","4"
"Daniel Murphy","Was","NYM","NYM Was","2B",4000,"7.0","7.04","8.01","8.1","4"
"Mike Napoli","Tex","KC","KC Tex","1B",4000,"7.3","8.35","6.93","6.7","4"
"Carlos Gomez","Tex","KC","KC Tex","OF",4000,"8.5","8.99","7.47","7.4","1"
"Willson Contreras","ChC","Cin","ChC Cin","C",4000,"7.0","7.07","6.82","5.8","6"
"Addison Russell","ChC","Cin","ChC Cin","SS",4000,"7.4","7.51","7.64","7.6","4"
"Adam Duvall","Cin","ChC","ChC Cin","OF",4000,"6.7","7.23","6.59","7.1","4"
"Odubel Herrera","Phi","Atl","Atl Phi","OF",4000,"7.2","8.32","7.05","7.6","3"
"Jake Lamb","Ari","LAD","Ari LAD","3B",4000,"6.4","7.97","5.98","6.6","4"
"Miguel Sano","Min","Det","Det Min","3B",3900,"7.7","7.89","7.09","7.6","3"
"Jose Abreu","CWS","Cle","CWS Cle","1B",3900,"6.1","6.98","6.03","7.3","3"
"Francisco Lindor","Cle","CWS","CWS Cle","SS",3900,"7.5","8.46","8.6","7.9","2"
"Jedd Gyorko","StL","Mil","Mil StL","2B/3B",3900,"6.3","7.13","6.33","1.7","4"
"Keon Broxton","Mil","StL","Mil StL","OF",3900,"5.8","7.23","5.04","6.2","7"
"Alex Gordon","KC","Tex","KC Tex","OF",3900,"7.4","7.7","4.65","6.6","1"
"Billy Hamilton","Cin","ChC","ChC Cin","OF",3900,"7.6","7.88","6.23","8.1","1"
"Adrian Gonzalez","LAD","Ari","Ari LAD","1B",3900,"9.2","8.57","7.36","7.8","4"
"Yasiel Puig","LAD","Ari","Ari LAD","OF",3900,"9.6","7.58","7.18","7.0","5"
"Yasmany Tomas","Ari","LAD","Ari LAD","OF",3900,"8.6","7.47","7.91","8.1","5"
"Gerardo Parra","Col","SF","Col SF","OF",3900,"6.2","6.69","7.53","6.8","6"
"Kyle Seager","Sea","Oak","Oak Sea","3B",3800,"5.9","7.07","5.84","7.1","5"
"Khris Davis","Oak","Sea","Oak Sea","OF",3800,"7.0","8.14","7.86","7.7","4"
"Yadier Molina","StL","Mil","Mil StL","C",3800,"6.0","6.83","5.94","5.2","5"
"Eric Thames","Mil","StL","Mil StL","1B",3800,"9.5","8.41","8.77","7.5","2"
"Domingo Santana","Mil","StL","Mil StL","OF",3800,"6.0","7.18","6.05","5.3","5"
"Jose Reyes","NYM","Was","NYM Was","3B",3800,"5.3","5.28","5.7","5.5","6"
"Nomar Mazara","Tex","KC","KC Tex","OF",3800,"8.1","8.41","7.91","7.3","3"
"Tommy Joseph","Phi","Atl","Atl Phi","1B",3800,"6.8","7.4","5.6","6.0","6"
"Ender Inciarte","Atl","Phi","Atl Phi","OF",3800,"7.6","7.39","6.4","6.6","1"
"Joc Pederson","LAD","Ari","Ari LAD","OF",3800,"9.1","8.01","6.92","8.0","1"
"Victor Martinez","Det","Min","Det Min","1B",3700,"8.0","7.91","6.82","6.9","4"
"Jose Ramirez","Cle","CWS","CWS Cle","2B",3700,"6.9","7.09","8.24","6.8","5"
"Mitch Moreland","Bos","Bal","Bal Bos","1B",3700,"7.6","6.98","6.83","5.6","4"
"Jonathan Schoop","Bal","Bos","Bal Bos","2B",3700,"5.5","6.23","6.03","6.5","8"
"Alex Bregman","Hou","TB","Hou TB","3B/SS",3700,"6.7","6.98","6.96","7.4","6"
"Troy Tulowitzki","Tor","LAA","LAA Tor","SS",3700,"6.5","6.82","7.44","6.8","5"
"Kole Calhoun","LAA","Tor","LAA Tor","OF",3700,"6.7","8.25","6.62","7.6","2"
"Curtis Granderson","NYM","Was","NYM Was","OF",3700,"7.0","7.16","6.87","7.8","5"
"Adam Eaton","Was","NYM","NYM Was","OF",3700,"6.8","7.07","6.82","7.6","1"
"Whit Merrifield","KC","Tex","KC Tex","2B/OF",3700,"6.0","6.64","4.85","1.7","6"
"Joey Gallo","Tex","KC","KC Tex","3B",3700,"6.6","7.2","5.95","6.0","8"
"Jason Heyward","ChC","Cin","ChC Cin","OF",3700,"8.1","7.16","5.53","6.5","5"
"Justin Turner","LAD","Ari","Ari LAD","3B",3700,"10.2","9.14","7.44","8.2","3"
"David Peralta","Ari","LAD","Ari LAD","OF",3700,"5.9","7.01","5.98","5.4","7"
"Max Kepler","Min","Det","Det Min","OF",3600,"6.9","7.27","6.52","8.0","2"
"Melky Cabrera","CWS","Cle","CWS Cle","OF",3600,"6.6","6.9","5.59","6.9","2"
"Welington Castillo","Bal","Bos","Bal Bos","C",3600,"6.5","6.58","6.03","5.3","6"
"Brett Gardner","NYY","Pit","NYY Pit","OF",3600,"7.9","7.51","7.56","7.2","1"
"Brad Miller","TB","Hou","Hou TB","2B",3600,"7.5","7.23","6.52","7.4","4"
"Cameron Maybin","LAA","Tor","LAA Tor","OF",3600,"6.4","7.2","5.37","5.8","7"
"Travis Shaw","Mil","StL","Mil StL","3B",3600,"6.8","7.36","7.31","7.1","4"
"Salvador Perez","KC","Tex","KC Tex","C",3600,"6.8","6.67","5.95","6.4","4"
"Delino DeShields","Tex","KC","KC Tex","OF",3600,"6.6","1.74","0","1.8","9"
"Jose Peraza","Cin","ChC","ChC Cin","2B",3600,"7.0","7.29","5.74","7.9","2"
"Albert Almora","ChC","Cin","ChC Cin","OF",3600,"6.0","1.7","0","1.0","9"
"Nick Markakis","Atl","Phi","Atl Phi","OF",3600,"6.7","6.32","6.31","6.5","5"
"Michael Saunders","Phi","Atl","Atl Phi","OF",3600,"6.4","7.32","6.02","6.3","5"
"Ryan Schimpf","SD","Mia","Mia SD","3B",3600,"5.8","7.17","5.68","4.9","6"
"Marcell Ozuna","Mia","SD","Mia SD","OF",3600,"7.0","6.56","7.69","6.4","6"
"Joe Mauer","Min","Det","Det Min","1B",3500,"6.4","6.73","5.67","6.1","4"
"Josh Harrison","Pit","NYY","NYY Pit","2B/3B",3500,"7.9","7.73","5.76","7.2","2"
"Jacoby Ellsbury","NYY","Pit","NYY Pit","OF",3500,"7.8","7.03","7.47","7.3","4"
"Aaron Judge","NYY","Pit","NYY Pit","OF",3500,"6.9","1.67","6.77","4.9","5"
"Carlos Beltran","Hou","TB","Hou TB","OF",3500,"7.3","7.44","6.79","6.8","5"
"Steven Souza","TB","Hou","Hou TB","OF",3500,"6.8","7.16","0","6.1","5"
"Kendrys Morales","Tor","LAA","LAA Tor","1B",3500,"7.1","7.57","7.63","7.2","4"
"CJ Cron","LAA","Tor","LAA Tor","1B",3500,"7.1","7.8","6.3","7.2","5"
"Orlando Arcia","Mil","StL","Mil StL","SS",3500,"4.7","5.62","4.4","5.5","8"
"Anthony Rendon","Was","NYM","NYM Was","3B",3500,"6.2","6.31","5.94","7.6","5"
"Cheslor Cuthbert","KC","Tex","KC Tex","3B",3500,"6.1","6.05","4.47","6.0","5"
"Alcides Escobar","KC","Tex","KC Tex","SS",3500,"5.7","5.49","4.71","6.1","7"
"Scott Schebler","Cin","ChC","ChC Cin","OF",3500,"5.7","1.68","0","1.4","7"
"Brandon Phillips","Atl","Phi","Atl Phi","2B",3500,"6.6","6.59","6.06","5.9","6"
"Aaron Altherr","Phi","Atl","Atl Phi","OF",3500,"6.8","1.72","0","1.5","2"
"Yasmani Grandal","LAD","Ari","Ari LAD","C",3500,"8.8","8.18","5.98","6.1","6"
"Chase Utley","LAD","Ari","Ari LAD","2B",3500,"6.9","5.8","6.14","4.7","8"
"Brandon Drury","Ari","LAD","Ari LAD","2B",3500,"6.7","6.52","6.88","6.6","6"
"Chris Owings","Ari","LAD","Ari LAD","OF/SS",3500,"7.8","7.7","6.53","6.9","2"
"JT Realmuto","Mia","SD","Mia SD","C",3500,"6.5","6.34","6.54","6.1","7"
"Yangervis Solarte","SD","Mia","Mia SD","2B",3500,"6.0","7.62","7.09","6.4","4"
"Robbie Grossman","Min","Det","Det Min","OF",3400,"5.9","6.41","5.93","4.5","5"
"Kevin Kiermaier","TB","Hou","Hou TB","OF",3400,"7.7","8.02","6.5","7.1","2"
"Trevor Plouffe","Oak","Sea","Oak Sea","3B",3400,"5.8","6.2","5.47","5.2","8"
"Mitch Haniger","Sea","Oak","Oak Sea","OF",3400,"7.8","7.1","7.39","6.3","2"
"Russell Martin","Tor","LAA","LAA Tor","C",3400,"6.3","6.35","5.27","6.0","6"
"Kolten Wong","StL","Mil","Mil StL","2B",3400,"7.7","6.2","5.5","5.8","8"
"Neil Walker","NYM","Was","NYM Was","2B",3400,"6.5","6.52","6.48","6.9","4"
"Jay Bruce","NYM","Was","NYM Was","OF",3400,"7.0","6.94","7.18","7.4","3"
"Jurickson Profar","Tex","KC","KC Tex","OF",3400,"5.6","5.98","5.6","5.4","7"
"Eugenio Suarez","Cin","ChC","ChC Cin","3B",3400,"6.8","6.31","6.27","7.3","5"
"Cesar Hernandez","Phi","Atl","Atl Phi","2B",3400,"6.8","7.48","6.33","7.2","1"
"Adonis Garcia","Atl","Phi","Atl Phi","3B",3400,"5.9","6.08","5.61","5.0","2"
"Freddy Galvis","Phi","Atl","Atl Phi","SS",3400,"5.7","6.02","4.95","5.6","7"
"Martin Prado","Mia","SD","Mia SD","2B/3B",3400,"6.2","7.26","5.75","6.0","2"
"Manuel Margot","SD","Mia","Mia SD","OF",3400,"6.9","7.74","7.31","7.4","1"
"Eddie Rosario","Min","Det","Det Min","OF",3300,"5.5","5.78","5.05","5.0","8"
"Byron Buxton","Min","Det","Det Min","OF",3300,"6.0","5.92","4.47","7.0","9"
"Tim Anderson","CWS","Cle","CWS Cle","SS",3300,"5.5","7.04","0","6.9","1"
"Trey Mancini","Bal","Bos","Bal Bos","1B/OF",3300,"6.5","6.98","6.44","2.4","7"
"Marco Hernandez","Bos","Bal","Bal Bos","3B/SS",3300,"5.8","1.59","0","0.6","9"
"Starlin Castro","NYY","Pit","NYY Pit","2B",3300,"6.9","6.53","7.15","5.9","3"
"Josh Reddick","Hou","TB","Hou TB","OF",3300,"8.9","8.14","7.29","5.5","2"
"Corey Dickerson","TB","Hou","Hou TB","OF",3300,"7.9","8.09","6.4","7.5","1"
"Ryon Healy","Oak","Sea","Oak Sea","1B/3B",3300,"5.6","1.74","6.26","6.3","6"
"Michael Conforto","NYM","Was","NYM Was","OF",3300,"7.0","1.6","6.28","1.6","1"
"Zack Cozart","Cin","ChC","ChC Cin","SS",3300,"5.9","5.61","5.69","6.5","6"
"Dansby Swanson","Atl","Phi","Atl Phi","SS",3300,"6.9","7.44","6.32","7.3","8"
"Hunter Renfroe","SD","Mia","Mia SD","OF",3300,"6.3","7.36","5.65","6.6","7"
"Jorge Polanco","Min","Det","Det Min","SS",3200,"5.7","6.05","5.09","4.7","7"
"Craig Gentry","Bal","Bos","Bal Bos","OF",3200,"6.5","8.04","5.2","5.2","1"
"Greg Bird","NYY","Pit","NYY Pit","1B",3200,"7.6","7.17","0","6.8","6"
"Logan Morrison","TB","Hou","Hou TB","1B",3200,"6.9","6.42","6.11","5.1","6"
"Norichika Aoki","Hou","TB","Hou TB","OF",3200,"6.0","5.59","5.54","4.2","9"
"Danny Valencia","Sea","Oak","Oak Sea","1B",3200,"7.2","6.15","5.63","7.4","7"
"Yunel Escobar","LAA","Tor","LAA Tor","3B",3200,"6.4","7.84","7.33","6.0","1"
"Robinson Chirinos","Tex","KC","KC Tex","C",3200,"6.6","1.72","0","0.6","6"
"Cameron Rupp","Phi","Atl","Atl Phi","C",3200,"5.3","5.98","5.7","4.8","8"
"Justin Bour","Mia","SD","Mia SD","1B",3200,"7.9","7.29","6.06","5.9","5"
"Avisail Garcia","CWS","Cle","CWS Cle","OF",3100,"5.2","5.6","5.6","5.3","5"
"Christian Vazquez","Bos","Bal","Bal Bos","C",3100,"5.2","1.35","0","0.7","8"
"JJ Hardy","Bal","Bos","Bal Bos","SS",3100,"5.1","4.82","5.4","4.8","9"
"Josh Bell","Pit","NYY","NYY Pit","1B",3100,"6.6","6.67","5.28","6.4","8"
"Brian McCann","Hou","TB","Hou TB","C",3100,"6.6","6.01","6.72","5.1","7"
"Stephen Vogt","Oak","Sea","Oak Sea","C",3100,"6.5","6.75","5.96","5.8","5"
"Taylor Motter","Sea","Oak","Oak Sea","SS",3100,"7.2","6.21","6.06","2.5","6"
"Andrelton Simmons","LAA","Tor","LAA Tor","SS",3100,"5.7","6.36","5.19","5.5","6"
"Kevin Pillar","Tor","LAA","LAA Tor","OF",3100,"7.2","7.66","5.95","6.6","1"
"Jose Martinez","StL","Mil","Mil StL","1B/OF",3100,"5.0","1.66","0","1.3","6"
"Andrew Toles","LAD","Ari","Ari LAD","OF",3100,"9.8","9.16","6.95","5.5","7"
"Brandon Guyer","Cle","CWS","CWS Cle","OF",3000,"5.6","6.45","6.25","5.2","7"
"Francisco Cervelli","Pit","NYY","NYY Pit","C",3000,"6.5","6.51","5.79","5.1","6"
"Chase Headley","NYY","Pit","NYY Pit","3B",3000,"7.1","7.32","6.53","6.0","2"
"David Freese","Pit","NYY","NYY Pit","3B",3000,"7.3","6.87","5.81","6.2","5"
"Jordy Mercer","Pit","NYY","NYY Pit","SS",3000,"8.2","6.8","5.72","5.8","1"
"Danny Espinosa","LAA","Tor","LAA Tor","2B",3000,"5.1","6.3","5.48","5.3","8"
"Tyler Flowers","Atl","Phi","Atl Phi","C",3000,"5.8","5.25","5.22","4.6","7"
"Tony Wolters","Col","SF","Col SF","C",3000,"4.6","5.6","5.4","3.9","8"
"Travis Jankowski","SD","Mia","Mia SD","OF",3000,"5.0","5.98","4.87","5.2","8"
"James McCann","Det","Min","Det Min","C",2900,"7.1","5.88","5.2","5.2","7"
"JaCoby Jones","Det","Min","Det Min","OF",2900,"6.5","6.06","4.33","4.8","8"
"Tim Beckham","TB","Hou","Hou TB","SS",2900,"5.1","5.35","4.98","3.1","9"
"Jarrod Dyson","Sea","Oak","Oak Sea","OF",2900,"7.3","6.01","6.3","7.2","9"
"Adam Lind","Was","NYM","NYM Was","1B",2900,"6.5","1.41","0","1.7","6"
"Mikie Mahtook","Det","Min","Det Min","OF",2800,"5.8","6.68","0","4.4","6"
"Yan Gomes","Cle","CWS","CWS Cle","C",2800,"5.9","5.66","5.19","3.6","9"
"Austin Jackson","Cle","CWS","CWS Cle","OF",2800,"5.8","1.51","5.73","2.2","8"
"Jose Osuna","Pit","NYY","NYY Pit","1B/OF",2800,"5.8","5.74","0","0.0","7"
"Yonder Alonso","Oak","Sea","Oak Sea","1B",2800,"5.9","6.39","5.85","5.1","2"
"Justin Smoak","Tor","LAA","LAA Tor","1B",2800,"6.3","5.93","5.56","1.2","7"
"Manny Pina","Mil","StL","Mil StL","C",2800,"5.3","0","0","3.3","6"
"Chris Marrero","SF","Col","Col SF","OF",2800,"7.3","1.6","7.14","4.0","8"
"Jason Castro","Min","Det","Det Min","C",2700,"5.6","5.59","5.3","4.8","6"
"Derek Norris","TB","Hou","Hou TB","C",2700,"5.3","5.78","5.02","4.1","7"
"Jed Lowrie","Oak","Sea","Oak Sea","2B",2700,"5.9","6.93","5.85","5.2","3"
"Ezequiel Carrera","Tor","LAA","LAA Tor","OF",2700,"6.4","7.15","5.88","4.5","2"
"TJ Rivera","NYM","Was","NYM Was","2B/3B",2700,"4.7","0","0","0.0","8"
"Austin Hedges","SD","Mia","Mia SD","C",2700,"5.9","5.84","5.33","3.9","5"
"Guillermo Heredia","Sea","Oak","Oak Sea","OF",2600,"7.3","6.51","0","1.1","1"
"Juan Lagares","NYM","Was","NYM Was","OF",2600,"5.2","1.44","0","1.0","2"
"Tucker Barnhart","Cin","ChC","ChC Cin","C",2600,"4.5","1.31","4.41","2.9","8"
"Adeiny Hechavarria","Mia","SD","Mia SD","3B/SS",2600,"5.0","4.83","0","1.5","8"
"Erick Aybar","SD","Mia","Mia SD","SS",2600,"5.0","1.48","4.18","3.5","2"
"Jacob May","CWS","Cle","CWS Cle","OF",2500,"4.3","5.17","4.16","2.8","9"
"Austin Romine","NYY","Pit","NYY Pit","C",2500,"5.7","5.83","5.44","1.8","7"
"Cody Asche","CWS","Cle","CWS Cle","1B",2400,"5.5","5.71","4.64","1.0","6"
"Ronald Torreyes","NYY","Pit","NYY Pit","SS",2400,"5.6","5.69","5.29","3.6","8"
"Carlos Ruiz","Sea","Oak","Oak Sea","C",2400,"5.5","5.01","4.67","0.8","8"
"Matt Joyce","Oak","Sea","Oak Sea","OF",2400,"7.1","7.1","5.38","5.7","7"
"Martin Maldonado","LAA","Tor","LAA Tor","C",2400,"4.4","5.32","5.19","2.4","9"
"Wilmer Difo","Was","NYM","NYM Was","SS",2400,"5.2","4.99","4.3","3.2","2"
"Andrew Romine","Det","Min","Det Min","2B/OF",2300,"6.2","1.51","4.79","0.7","9"
"Omar Narvaez","CWS","Cle","CWS Cle","C",2300,"3.9","4.68","4.19","2.2","8"
"Adam Rosales","Oak","Sea","Oak Sea","2B/3B",2300,"4.3","5.41","4.64","3.4","9"
"Chris Heisey","Was","NYM","NYM Was","OF",2300,"4.9","1.29","0","0.6","7"
"Drew Butera","KC","Tex","KC Tex","C",2300,"4.4","1.47","0","0.4","9"
"Jeff Mathis","Ari","LAD","Ari LAD","C",2300,"5.9","4.71","0","0.6","8"
"Shane Peterson","TB","Hou","Hou TB","OF",2200,"5.6","5.14","4.5","4.2","8"
"Ryan Goins","Tor","LAA","LAA Tor","2B/3B",2200,"4.4","1.38","0","0.9","9"
"Rene Rivera","NYM","Was","NYM Was","C",2200,"3.6","1.26","4.54","0.7","7"
"Jose Lobaton","Was","NYM","NYM Was","C",2200,"4.0","1.26","0","0.5","8"
"Jaff Decker","Oak","Sea","Oak Sea","OF",2000,"6.9","5.02","0","1.3","1"
"Chris Coghlan","Tor","LAA","LAA Tor","3B/OF",2000,"4.8","1.56","4.87","5.4","8"
