"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg"
"WR","Dez Bryant (7942012)","Dez Bryant",7942012,6800,"TB@Dal 08:30PM ET","Dal","Dez","Bryant","TB",15.92,15.8,16.2,15.2828000074368,15.8167953739398,3,0.197530864197531
"RB","Devonta Freeman (7941969)","Devonta Freeman",7941969,6700,"SF@Atl 04:05PM ET","Atl","Devonta","Freeman","SF",17.25,19.7,37.5,17.9049583675713,18.5299439088867,3,0.114790286975717
"QB","Tom Brady (7941864)","Tom Brady",7941864,6700,"NE@Den 04:25PM ET","NE","Tom","Brady","Den",18.94,17.2,7.4,17.3490219992623,17.9556034272425,0,0
"QB","Drew Brees (7941855)","Drew Brees",7941855,6600,"NO@Ari 04:05PM ET","NO","Drew","Brees","Ari",19.47,18,33.4,18.0006873635893,18.6299716326645,0,0
"WR","Emmanuel Sanders (7942117)","Emmanuel Sanders",7942117,6600,"NE@Den 04:25PM ET","Den","Emmanuel","Sanders","NE",15.14,14.8,7.8,14.4162314950987,14.9200033446304,2,0.283549783549784
"QB","Ben Roethlisberger (7941874)","Ben Roethlisberger",7941874,6600,"Pit@Cin 01:00PM ET","Pit","Ben","Roethlisberger","Cin",18.36,17.9,14.9,17.4574314931968,18.0674891169419,0,0
"QB","Marcus Mariota (7941843)","Marcus Mariota",7941843,6500,"Ten@KC 01:00PM ET","Ten","Marcus","Mariota","KC",19.26,17.2,7.4,17.4906030904743,18.1022091056275,13,0.00240384615384615
"WR","Golden Tate (7942072)","Golden Tate",7942072,6500,"Det@NYG 01:00PM ET","Det","Golden","Tate","NYG",13.59,14.5,23.2,13.574008703788,14.0480498834793,1,0.22964509394572
"RB","Melvin Gordon (7941986)","Melvin Gordon",7941986,6500,"Oak@SD 04:25PM ET","SD","Melvin","Gordon","Oak",0,0,0,0,0,5,0.12691466083151
"QB","Andrew Luck (7941853)","Andrew Luck",7941853,6400,"Ind@Min 01:00PM ET","Ind","Andrew","Luck","Min",19.58,18.6,18.8,18.3622346251987,19.0040317475569,0,0
"WR","Michael Thomas (7942098)","Michael Thomas",7942098,6400,"NO@Ari 04:05PM ET","NO","Michael","Thomas","Ari",13.69,13.8,18.2,13.2532275730355,13.7162556762024,2,0.171903881700555
"QB","Matthew Stafford (7941847)","Matthew Stafford",7941847,6300,"Det@NYG 01:00PM ET","Det","Matthew","Stafford","NYG",17.7,18.3,11.2,17.3740063335757,17.9808911805713,0,0
"WR","Demaryius Thomas (7942119)","Demaryius Thomas",7942119,6300,"NE@Den 04:25PM ET","Den","Demaryius","Thomas","NE",15.93,15.9,16.1,15.339370876788,15.8753208702139,1,0.285714285714286
"QB","Derek Carr (7941872)","Derek Carr",7941872,6300,"Oak@SD 04:25PM ET","Oak","Derek","Carr","SD",19.91,18.3,12,18.3518007447584,18.9933866469176,0,0
"QB","Dak Prescott (7941820)","Dak Prescott",7941820,6200,"TB@Dal 08:30PM ET","Dal","Dak","Prescott","TB",18.27,18,19.2,17.4697582715444,18.0802003387207,0,0
"WR","Stefon Diggs (7942085)","Stefon Diggs",7942085,6200,"Ind@Min 01:00PM ET","Min","Stefon","Diggs","Ind",14.58,15.3,3.3,14.4291968867322,14.9331637515797,1,0.220806794055202
"WR","Brandin Cooks (7942095)","Brandin Cooks",7942095,6200,"NO@Ari 04:05PM ET","NO","Brandin","Cooks","Ari",11.7,13.5,40.6,12.2163307813083,12.642719407272,1,0.177449168207024
"QB","Philip Rivers (7941870)","Philip Rivers",7941870,6200,"Oak@SD 04:25PM ET","SD","Philip","Rivers","Oak",18.84,18.6,15.2,18.034828351771,18.6650061162916,0,0
"WR","Davante Adams (7942007)","Davante Adams",7942007,6100,"GB@Chi 01:00PM ET","GB","Davante","Adams","Chi",13.51,14.2,4.5,13.3821740502323,13.8495662574093,2,0.198852772466539
"QB","Jameis Winston (7941821)","Jameis Winston",7941821,6100,"TB@Dal 08:30PM ET","TB","Jameis","Winston","Dal",17.87,17.6,14.5,17.0841960665258,17.6811669654411,0,0
"WR","Julian Edelman (7942118)","Julian Edelman",7942118,6100,"NE@Den 04:25PM ET","NE","Julian","Edelman","Den",14.38,14.3,13.5,13.8192441022158,14.3020945143431,1,0.273858921161826
"RB","Jordan Howard (7941887)","Jordan Howard",7941887,6000,"GB@Chi 01:00PM ET","Chi","Jordan","Howard","GB",13.09,13.4,21.3,12.7791771860095,13.2255937539322,4,0.0978723404255319
"WR","Alshon Jeffery (7942002)","Alshon Jeffery",7942002,6000,"GB@Chi 01:00PM ET","Chi","Alshon","Jeffery","GB",12.72,14.7,20.9,13.2933780325572,13.7573538330193,1,0.157446808510638
"QB","Carson Palmer (7941856)","Carson Palmer",7941856,6000,"NO@Ari 04:05PM ET","Ari","Carson","Palmer","NO",18.81,19.2,23.7,18.3344338859753,18.9749262468906,0,0
"WR","Sammy Watkins (7942041)","Sammy Watkins",7942041,5900,"Cle@Buf 01:00PM ET","Buf","Sammy","Watkins","Cle",12.26,13.5,2,12.4640976909293,12.8992793444457,5,0.0729166666666667
"TE","Travis Kelce (7942185)","Travis Kelce",7942185,5900,"Ten@KC 01:00PM ET","KC","Travis","Kelce","Ten",16.72,14,7.1,14.6981164509506,15.2123163310595,1,0.223684210526316
"RB","Carlos Hyde (7941967)","Carlos Hyde",7941967,5900,"SF@Atl 04:05PM ET","SF","Carlos","Hyde","Atl",15.38,13.6,7.7,13.8966597904969,14.382628777524,6,0.0673316708229426
"WR","Michael Crabtree (7942127)","Michael Crabtree",7942127,5900,"Oak@SD 04:25PM ET","Oak","Michael","Crabtree","SD",13.58,15.1,18,13.882463056193,14.3671328689774,1,0.244274809160305
"QB","Colin Kaepernick (7941861)","Colin Kaepernick",7941861,5800,"SF@Atl 04:05PM ET","SF","Colin","Kaepernick","Atl",18.79,19,17.4,18.2212921472727,18.8578752543423,0,0
"RB","Latavius Murray (7941982)","Latavius Murray",7941982,5800,"Oak@SD 04:25PM ET","Oak","Latavius","Murray","SD",14.72,12.7,9.2,13.1353306476142,13.5947579464336,5,0.0782442748091603
"WR","Tyrell Williams (7942134)","Tyrell Williams",7942134,5800,"Oak@SD 04:25PM ET","SD","Tyrell","Williams","Oak",14.37,13.3,6,13.2933550906065,13.7580723986476,1,0.192560175054705
"QB","Tyrod Taylor (7941829)","Tyrod Taylor",7941829,5700,"Cle@Buf 01:00PM ET","Buf","Tyrod","Taylor","Cle",18.84,18.3,15.9,17.8783889710184,18.5031739098178,0,0
"QB","Joe Flacco (7941835)","Joe Flacco",7941835,5700,"Phi@Bal 01:00PM ET","Bal","Joe","Flacco","Phi",17.88,15.3,14.1,15.8892518898557,16.4450348099249,0,0
"RB","Spencer Ware (7941930)","Spencer Ware",7941930,5700,"Ten@KC 01:00PM ET","KC","Spencer","Ware","Ten",12.78,13.9,12.5,12.9027528051523,13.3532898471197,6,0.081140350877193
"WR","Tyreek Hill (7942067)","Tyreek Hill",7942067,5700,"Ten@KC 01:00PM ET","KC","Tyreek","Hill","Ten",14.23,14.1,12.8,13.6485850452084,14.1254849649509,2,0.151315789473684
"QB","Eli Manning (7941845)","Eli Manning",7941845,5600,"Det@NYG 01:00PM ET","NYG","Eli","Manning","Det",18.25,17,16,16.9394448508347,17.5315967955757,0,0
"WR","Willie Snead (7942094)","Willie Snead",7942094,5600,"NO@Ari 04:05PM ET","NO","Willie","Snead","Ari",10.31,12.4,15.6,11.0277268535965,11.4125162347166,3,0.155268022181146
"WR","Taylor Gabriel (7942113)","Taylor Gabriel",7942113,5600,"SF@Atl 04:05PM ET","Atl","Taylor","Gabriel","SF",13.75,14.1,15,13.4362134083904,13.9055764473734,4,0.0883002207505519
"RB","Jeremy Hill (7941997)","Jeremy Hill",7941997,5600,"Pit@Cin 01:00PM ET","Cin","Jeremy","Hill","Pit",13.09,14.3,12.1,13.2484953282675,13.7110903733536,7,0.0568421052631579
"TE","Tyler Eifert (7942235)","Tyler Eifert",7942235,5600,"Pit@Cin 01:00PM ET","Cin","Tyler","Eifert","Pit",15.02,14,1.9,13.945966903887,14.4334736646393,5,0.0926315789473684
"WR","Donte Moncrief (7942083)","Donte Moncrief",7942083,5500,"Ind@Min 01:00PM ET","Ind","Donte","Moncrief","Min",0,0,0,0,0,4,0.107287449392713
"QB","Andy Dalton (7941875)","Andy Dalton",7941875,5500,"Pit@Cin 01:00PM ET","Cin","Andy","Dalton","Pit",18.47,17.7,11.4,17.4018070727992,18.0099966812376,0,0
"RB","DeAngelo Williams (7941990)","DeAngelo Williams",7941990,5500,"Pit@Cin 01:00PM ET","Pit","DeAngelo","Williams","Cin",0,3.7,0,1.92941902928302,1.9959305465101,8,0.0460921843687375
"RB","Lamar Miller (7941900)","Lamar Miller",7941900,5400,"Jax@Hou 01:00PM ET","Hou","Lamar","Miller","Jax",14.27,15.6,16.9,14.4484795853732,14.952971707118,5,0.0818965517241379
"WR","Jordan Matthews (7942049)","Jordan Matthews",7942049,5400,"Phi@Bal 01:00PM ET","Phi","Jordan","Matthews","Bal",13.86,17.4,8.7,15.205715096774,15.73612642053,1,0.207739307535642
"QB","Alex Smith (7941840)","Alex Smith",7941840,5400,"Ten@KC 01:00PM ET","KC","Alex","Smith","Ten",15.58,17.4,12.6,15.9667134620383,16.5241319418493,15,0.0043859649122807
"RB","Theo Riddick (7941939)","Theo Riddick",7941939,5400,"Det@NYG 01:00PM ET","Det","Theo","Riddick","NYG",0,0,0,0,0,4,0.144050104384134
"RB","Doug Martin (7941889)","Doug Martin",7941889,5300,"TB@Dal 08:30PM ET","TB","Doug","Martin","Dal",11.37,10.3,4.2,10.4016385529674,10.7653220990503,8,0.0335429769392034
"WR","Steve Smith Sr. (7942045)","Steve Smith",7942045,5300,"Phi@Bal 01:00PM ET","Bal","Steve","Smith","Phi",13.54,13.4,0,12.9782755955263,13.4317579891611,3,0.156363636363636
"WR","Terrelle Pryor Sr. (7942036)","Terrelle Pryor",7942036,5200,"Cle@Buf 01:00PM ET","Cle","Terrelle","Pryor","Buf",12.98,12.5,0,12.2611905436473,12.689701432566,1,0.250535331905782
"QB","Trevor Siemian (7941866)","Trevor Siemian",7941866,5200,"NE@Den 04:25PM ET","Den","Trevor","Siemian","NE",16.71,15,10.7,15.2151566443592,15.747175591856,0,0
"QB","Tony Romo (7941816)","Tony Romo",7941816,5100,"TB@Dal 08:30PM ET","Dal","Tony","Romo","TB",0,0,0,0,0,0,0
"WR","Cole Beasley (7942015)","Cole Beasley",7942015,5100,"TB@Dal 08:30PM ET","Dal","Cole","Beasley","TB",11.48,10.5,8.8,10.5545999735733,10.9236059386444,1,0.219753086419753
"QB","Brock Osweiler (7941824)","Brock Osweiler",7941824,5100,"Jax@Hou 01:00PM ET","Hou","Brock","Osweiler","Jax",14.94,13.3,-0.1,13.5455464093278,14.0192137632708,14,0.0021551724137931
"RB","Derrick Henry (7941934)","Derrick Henry",7941934,5100,"Ten@KC 01:00PM ET","Ten","Derrick","Henry","KC",5.61,5.8,17.8,5.5065881998617,5.69893679101356,9,0.0288461538461538
"WR","Dontrelle Inman (7942128)","Dontrelle Inman",7942128,5100,"Oak@SD 04:25PM ET","SD","Dontrelle","Inman","Oak",11.58,13.1,11.8,11.9546520311003,12.3719660025792,2,0.179431072210066
"QB","Matt Barkley (7941813)","Matt Barkley",7941813,5000,"GB@Chi 01:00PM ET","Chi","Matt","Barkley","GB",13.33,15.6,21.5,14.0325851299381,14.5223175268621,0,0
"QB","David Fales (7941814)","David Fales",7941814,5000,"GB@Chi 01:00PM ET","Chi","David","Fales","GB",0,0,0,0,0,0,0
"QB","Brett Hundley (7941815)","Brett Hundley",7941815,5000,"GB@Chi 01:00PM ET","GB","Brett","Hundley","Chi",0,0,0,0,0,0,0
"QB","Mark Sanchez (7941817)","Mark Sanchez",7941817,5000,"TB@Dal 08:30PM ET","Dal","Mark","Sanchez","TB",0,0,0,0,0,0,0
"QB","Mike Glennon (7941818)","Mike Glennon",7941818,5000,"TB@Dal 08:30PM ET","TB","Mike","Glennon","Dal",0,0,0,0,0,0,0
"QB","Ryan Griffin (7941819)","Ryan Griffin",7941819,5000,"TB@Dal 08:30PM ET","TB","Ryan","Griffin","Dal",0,0,0,0,0,0,0
"QB","Chad Henne (7941822)","Chad Henne",7941822,5000,"Jax@Hou 01:00PM ET","Jax","Chad","Henne","Hou",0,0,0,0,0,0,0
"QB","Brandon Weeden (7941823)","Brandon Weeden",7941823,5000,"Jax@Hou 01:00PM ET","Hou","Brandon","Weeden","Jax",0,0,0,0,0,0,0
"QB","Tom Savage (7941825)","Tom Savage",7941825,5000,"Jax@Hou 01:00PM ET","Hou","Tom","Savage","Jax",0,0,10.4,0,0,0,0
"QB","Blake Bortles (7941826)","Blake Bortles",7941826,5000,"Jax@Hou 01:00PM ET","Jax","Blake","Bortles","Hou",16.2,15.4,8.2,15.1980976212437,15.7292990672283,0,0
"QB","Brandon Allen (7941827)","Brandon Allen",7941827,5000,"Jax@Hou 01:00PM ET","Jax","Brandon","Allen","Hou",0,0,0,0,0,0,0
"WR","DeAndre Hopkins (7942028)","DeAndre Hopkins",7942028,5000,"Jax@Hou 01:00PM ET","Hou","DeAndre","Hopkins","Jax",12.54,13.1,16.7,12.3793953047362,12.8117830377342,1,0.265086206896552
"QB","Josh McCown (7941828)","Josh McCown",7941828,5000,"Cle@Buf 01:00PM ET","Cle","Josh","McCown","Buf",0,0,0,0,0,0,0
"QB","Robert Griffin III (7941830)","Robert Griffin III",7941830,5000,"Cle@Buf 01:00PM ET","Cle","Robert","Griffin III","Buf",15.54,0,0,6.87553174198155,7.11953825657123,0,0
"QB","EJ Manuel (7941831)","EJ Manuel",7941831,5000,"Cle@Buf 01:00PM ET","Buf","EJ","Manuel","Cle",0,0,0.1,0,0,0,0
"QB","Cody Kessler (7941832)","Cody Kessler",7941832,5000,"Cle@Buf 01:00PM ET","Cle","Cody","Kessler","Buf",0,0,0,0,0,0,0
"QB","Kevin Hogan (7941833)","Kevin Hogan",7941833,5000,"Cle@Buf 01:00PM ET","Cle","Kevin","Hogan","Buf",0,0,0,0,0,0,0
"QB","Cardale Jones (7941834)","Cardale Jones",7941834,5000,"Cle@Buf 01:00PM ET","Buf","Cardale","Jones","Cle",0,0,0,0,0,0,0
"QB","Chase Daniel (7941836)","Chase Daniel",7941836,5000,"Phi@Bal 01:00PM ET","Phi","Chase","Daniel","Bal",0,0,0,0,0,0,0
"QB","Ryan Mallett (7941837)","Ryan Mallett",7941837,5000,"Phi@Bal 01:00PM ET","Bal","Ryan","Mallett","Phi",0,0,0,0,0,0,0
"QB","Carson Wentz (7941838)","Carson Wentz",7941838,5000,"Phi@Bal 01:00PM ET","Phi","Carson","Wentz","Bal",15.1,15.3,12.6,14.6592661599516,15.1713979789553,0,0
"QB","Matt Cassel (7941839)","Matt Cassel",7941839,5000,"Ten@KC 01:00PM ET","Ten","Matt","Cassel","KC",0,0,0,0,0,0,0
"QB","Nick Foles (7941841)","Nick Foles",7941841,5000,"Ten@KC 01:00PM ET","KC","Nick","Foles","Ten",0,0,0,0,0,0,0
"QB","Tyler Bray (7941842)","Tyler Bray",7941842,5000,"Ten@KC 01:00PM ET","KC","Tyler","Bray","Ten",0,0,0,0,0,0,0
"QB","Dan Orlovsky (7941844)","Dan Orlovsky",7941844,5000,"Det@NYG 01:00PM ET","Det","Dan","Orlovsky","NYG",0,0,0,0,0,0,0
"QB","Josh Johnson (7941846)","Josh Johnson",7941846,5000,"Det@NYG 01:00PM ET","NYG","Josh","Johnson","Det",0,0,0,0,0,0,0
"QB","Ryan Nassib (7941848)","Ryan Nassib",7941848,5000,"Det@NYG 01:00PM ET","NYG","Ryan","Nassib","Det",0,0,0,0,0,0,0
"QB","Jake Rudock (7941849)","Jake Rudock",7941849,5000,"Det@NYG 01:00PM ET","Det","Jake","Rudock","NYG",0,0,0,0,0,0,0
"RB","Ameer Abdullah (7941943)","Ameer Abdullah",7941943,5000,"Det@NYG 01:00PM ET","Det","Ameer","Abdullah","NYG",0,0,0,0,0,9,0.0104384133611691
"QB","Shaun Hill (7941850)","Shaun Hill",7941850,5000,"Ind@Min 01:00PM ET","Min","Shaun","Hill","Ind",0,0,0,0,0,0,0
"QB","Scott Tolzien (7941851)","Scott Tolzien",7941851,5000,"Ind@Min 01:00PM ET","Ind","Scott","Tolzien","Min",0,0,0,0,0,0,0
"QB","Sam Bradford (7941852)","Sam Bradford",7941852,5000,"Ind@Min 01:00PM ET","Min","Sam","Bradford","Ind",16.04,16.2,9.6,15.5444787576448,16.0875487786326,13,0.00212314225053079
"QB","Taylor Heinicke (7941854)","Taylor Heinicke",7941854,5000,"Ind@Min 01:00PM ET","Min","Taylor","Heinicke","Ind",0,0,0,0,0,0,0
"RB","Adrian Peterson (7941947)","Adrian Peterson",7941947,5000,"Ind@Min 01:00PM ET","Min","Adrian","Peterson","Ind",8.44,8.8,2.3,8.32308978279438,8.61380282396877,10,0.0106157112526539
"QB","Drew Stanton (7941857)","Drew Stanton",7941857,5000,"NO@Ari 04:05PM ET","Ari","Drew","Stanton","NO",0,0,0,0,0,0,0
"QB","Luke McCown (7941858)","Luke McCown",7941858,5000,"NO@Ari 04:05PM ET","NO","Luke","McCown","Ari",0,0,0,0,0,0,0
"QB","Matt Schaub (7941860)","Matt Schaub",7941860,5000,"SF@Atl 04:05PM ET","Atl","Matt","Schaub","SF",0,0,0.6,0,0,0,0
"QB","Christian Ponder (7941862)","Christian Ponder",7941862,5000,"SF@Atl 04:05PM ET","SF","Christian","Ponder","Atl",0,0,0,0,0,0,0
"QB","Blaine Gabbert (7941863)","Blaine Gabbert",7941863,5000,"SF@Atl 04:05PM ET","SF","Blaine","Gabbert","Atl",0,0,0,0,0,14,0.00249376558603491
"RB","Tevin Coleman (7941971)","Tevin Coleman",7941971,5000,"SF@Atl 04:05PM ET","Atl","Tevin","Coleman","SF",13.95,13.9,8.6,13.4204086698961,13.8893168587148,5,0.0728476821192053
"QB","Austin Davis (7941865)","Austin Davis",7941865,5000,"NE@Den 04:25PM ET","Den","Austin","Davis","NE",0,0,0,0,0,0,0
"QB","Jimmy Garoppolo (7941867)","Jimmy Garoppolo",7941867,5000,"NE@Den 04:25PM ET","NE","Jimmy","Garoppolo","Den",0,0,0,0,0,13,0.0020746887966805
"QB","Paxton Lynch (7941868)","Paxton Lynch",7941868,5000,"NE@Den 04:25PM ET","Den","Paxton","Lynch","NE",0,0,0,0,0,0,0
"RB","LeGarrette Blount (7941974)","LeGarrette Blount",7941974,5000,"NE@Den 04:25PM ET","NE","LeGarrette","Blount","Den",11.13,10.4,9.1,10.3475991948093,10.7093119090862,9,0.016597510373444
"QB","Kellen Clemens (7941869)","Kellen Clemens",7941869,5000,"Oak@SD 04:25PM ET","SD","Kellen","Clemens","Oak",0,0,0,0,0,0,0
"QB","Matt McGloin (7941871)","Matt McGloin",7941871,5000,"Oak@SD 04:25PM ET","Oak","Matt","McGloin","SD",0,0,0,0,0,0,0
"QB","Connor Cook (7941873)","Connor Cook",7941873,5000,"Oak@SD 04:25PM ET","Oak","Connor","Cook","SD",0,0,0,0,0,0,0
"QB","Landry Jones (7941876)","Landry Jones",7941876,5000,"Pit@Cin 01:00PM ET","Pit","Landry","Jones","Cin",0,0,0,0,0,0,0
"QB","Zach Mettenberger (7941877)","Zach Mettenberger",7941877,5000,"Pit@Cin 01:00PM ET","Pit","Zach","Mettenberger","Cin",0,0,0,0,0,0,0
"QB","AJ McCarron (7941878)","AJ McCarron",7941878,5000,"Pit@Cin 01:00PM ET","Cin","AJ","McCarron","Pit",0,0,0,0,0,0,0
"QB","Jeff Driskel (7941879)","Jeff Driskel",7941879,5000,"Pit@Cin 01:00PM ET","Cin","Jeff","Driskel","Pit",0,0,0,0,0,0,0
"RB","Alfred Morris (7941890)","Alfred Morris",7941890,4900,"TB@Dal 08:30PM ET","Dal","Alfred","Morris","TB",0,4.1,0,2.13800487028659,2.21170682180849,9,0.00987654320987654
"TE","Zach Ertz (7942178)","Zach Ertz",7942178,4900,"Phi@Bal 01:00PM ET","Phi","Zach","Ertz","Bal",11.67,12.4,14,11.6294464912474,12.0355903678528,2,0.169042769857434
"WR","Mohamed Sanu (7942106)","Mohamed Sanu",7942106,4900,"SF@Atl 04:05PM ET","Atl","Mohamed","Sanu","SF",13.95,14.1,7.4,13.5247015903979,13.997204996364,2,0.165562913907285
"WR","Ty Montgomery (7942006)","Ty Montgomery",7942006,4800,"GB@Chi 01:00PM ET","GB","Ty","Montgomery","Chi",12.29,11.6,33.3,11.4865881734634,11.8880863191269,4,0.0860420650095602
"WR","Mike Wallace (7942047)","Mike Wallace",7942047,4800,"Phi@Bal 01:00PM ET","Bal","Mike","Wallace","Phi",12.88,11.5,8,11.6954818501346,12.1044464698247,1,0.187272727272727
"RB","Charcandrick West (7941935)","Charcandrick West",7941935,4800,"Ten@KC 01:00PM ET","KC","Charcandrick","West","Ten",5.84,3.9,0.5,4.61756686440335,4.77937231468542,7,0.0657894736842105
"WR","Adam Thielen (7942087)","Adam Thielen",7942087,4800,"Ind@Min 01:00PM ET","Min","Adam","Thielen","Ind",12.49,13.4,0,12.513712639987,12.9507081069603,3,0.16135881104034
"WR","Jeremy Maclin (7942058)","Jeremy Maclin",7942058,4700,"Ten@KC 01:00PM ET","KC","Jeremy","Maclin","Ten",10.17,12.2,14.2,10.8614922056895,11.2404881127739,4,0.12719298245614
"WR","Marvin Jones Jr. (7942074)","Marvin Jones",7942074,4700,"Det@NYG 01:00PM ET","Det","Marvin","Jones","NYG",9.62,11.9,0,10.4617103244162,10.8266773965759,2,0.198329853862213
"RB","Mark Ingram (7941957)","Mark Ingram",7941957,4700,"NO@Ari 04:05PM ET","NO","Mark","Ingram","Ari",11.03,11.4,11.2,10.8248197063145,11.2029383228368,6,0.0794824399260629
"WR","Malcolm Mitchell (7942124)","Malcolm Mitchell",7942124,4700,"NE@Den 04:25PM ET","NE","Malcolm","Mitchell","Den",11.39,10.8,2.4,10.6712196724226,11.0442052980724,5,0.0912863070539419
"WR","Brandon LaFell (7942139)","Brandon LaFell",7942139,4700,"Pit@Cin 01:00PM ET","Cin","Brandon","LaFell","Pit",12.15,11.2,16.1,11.2160606050546,11.6081700595351,2,0.170526315789474
"WR","Randall Cobb (7942001)","Randall Cobb",7942001,4600,"GB@Chi 01:00PM ET","GB","Randall","Cobb","Chi",11.57,11.1,0,10.907298416982,11.2885031986377,3,0.168260038240918
"RB","Mike Gillislee (7941912)","Mike Gillislee",7941912,4600,"Cle@Buf 01:00PM ET","Buf","Mike","Gillislee","Cle",6.42,4.1,9.7,4.97847551272684,5.15298324440742,10,0.0286458333333333
"WR","Rishard Matthews (7942061)","Rishard Matthews",7942061,4600,"Ten@KC 01:00PM ET","Ten","Rishard","Matthews","KC",12.35,11.9,16.5,11.6695740088184,12.0774070902979,2,0.1875
"WR","Sterling Shepard (7942077)","Sterling Shepard",7942077,4600,"Det@NYG 01:00PM ET","NYG","Sterling","Shepard","Det",11.34,12.3,15.6,11.4312945306841,11.8304591931937,2,0.173387096774194
"WR","Tyler Boyd (7942148)","Tyler Boyd",7942148,4600,"Pit@Cin 01:00PM ET","Cin","Tyler","Boyd","Pit",11.8,11.3,3.3,11.1133527467924,11.5017641676261,3,0.151578947368421
"RB","Rashad Jennings (7941936)","Rashad Jennings",7941936,4500,"Det@NYG 01:00PM ET","NYG","Rashad","Jennings","Det",11.81,11.1,3.8,11.013484235391,11.3984574574265,5,0.0725806451612903
"WR","Anquan Boldin (7942068)","Anquan Boldin",7942068,4500,"Det@NYG 01:00PM ET","Det","Anquan","Boldin","NYG",9.62,12.4,4.3,10.7224426256707,11.0963977406989,3,0.173277661795407
"RB","Alfred Blue (7941902)","Alfred Blue",7941902,4400,"Jax@Hou 01:00PM ET","Hou","Alfred","Blue","Jax",4.88,3.8,1.5,4.14067713051654,4.28561121070585,10,0.0150862068965517
"WR","Allen Robinson (7942032)","Allen Robinson",7942032,4400,"Jax@Hou 01:00PM ET","Jax","Allen","Robinson","Hou",11.72,12.2,3.5,11.5472756162475,11.9506093674513,1,0.234082397003745
"RB","Frank Gore (7941946)","Frank Gore",7941946,4400,"Ind@Min 01:00PM ET","Ind","Frank","Gore","Min",11.79,12.9,18.5,11.9432717017063,12.3602878413702,6,0.0870445344129555
