"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15","2017-04-16","2017-04-17","2017-04-18","2017-04-19","2017-04-20","2017-04-21","2017-04-22","2017-04-23","2017-04-24","2017-04-25","2017-04-26","2017-04-27","2017-04-28","2017-04-29","2017-04-30","2017-05-01","2017-05-02","2017-05-03","2017-05-04","2017-05-05","2017-05-06","2017-05-07","2017-05-08","2017-05-09","2017-05-10","2017-05-11","2017-05-12","2017-05-13","2017-05-14","2017-05-15","2017-05-16","2017-05-17","2017-05-18","2017-05-19","2017-05-20","2017-05-21","2017-05-22","2017-05-23","2017-05-24","2017-05-25","2017-05-26","2017-05-27","2017-05-28","2017-05-29","2017-05-30","2017-05-31","2017-06-01","2017-06-02","2017-06-03","2017-06-04","2017-06-05","2017-06-06","2017-06-07","2017-06-08","2017-06-09","2017-06-10","2017-06-11","2017-06-12","2017-06-13","2017-06-14","2017-06-15","2017-06-16","2017-06-17","2017-06-18","2017-06-19","2017-06-20","2017-06-21","2017-06-22","2017-06-23","2017-06-24","2017-06-25","2017-06-26","2017-06-27","2017-06-29","2017-06-30","2017-07-01","2017-07-02","2017-07-03","2017-07-04","2017-07-05","2017-07-06","2017-07-07","2017-07-08","2017-07-14","2017-07-15","2017-07-17","2017-07-18","2017-07-19","2017-07-20","2017-07-21","2017-07-22","2017-07-23","2017-07-24","2017-07-25","2017-07-26","2017-07-27"
"Bradley Zimmer_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,NA,2,7,10,NA,NA,NA,NA,7,NA,NA,10,NA,NA,5,NA,16,4,NA,16,3,NA,4,NA,NA,NA,NA,10,NA,NA,NA,6,8,9,15,NA,NA,0,3,12,0,5,NA,0,6,NA,8,0,10,22,12,0,9,2,8,4,NA,11,0,NA,14,40,25,5
"Carlos Santana_CLE",NA,NA,21,11,NA,7,7,0,NA,NA,5,0,2,28,0,5,10,NA,NA,4,16,2,NA,5,18,5,0,4,9,3,9,0,NA,0,17,13,12,2,8,NA,4,10,14,10,4,2,NA,9,7,4,0,7,NA,NA,2,2,17,14,NA,0,9,0,23,6,NA,5,0,NA,4,14,0,NA,0,0,NA,7,9,4,27,5,0,10,2,2,3,20,7,7,NA,21,18,NA,8,NA,NA,NA,16,0,5,NA,NA,10,NA,12,0,9,32,0,13,14
"Gregor Blanco_ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,0,6,NA,14,NA,NA,14,NA,NA,6,NA,NA,22,NA,6,4,3,NA,12,0,NA,NA,NA,NA,23,NA,13,14,NA,21,NA,3,5,NA,19,NA,15,NA,2,12,NA,NA,0,0,NA,0,17,10,NA,3,NA,NA,3,NA,0,NA,NA,NA,NA,NA,NA,30,NA,NA,10,NA,NA,20,NA
"Willson Contreras_CHC",21,NA,7,NA,NA,3,11,NA,3,NA,3,5,NA,2,0,NA,NA,10,NA,0,34,NA,NA,2,3,NA,3,NA,2,3,4,NA,NA,0,2,3,NA,7,NA,NA,28,3,NA,NA,12,NA,4,7,NA,21,3,0,NA,NA,0,NA,17,NA,9,9,NA,NA,5,NA,6,5,0,3,NA,5,NA,0,14,NA,NA,20,NA,19,14,3,0,16,NA,3,NA,17,NA,5,2,21,7,NA,6,5,14,NA,0,18,17,7,20,NA,NA,NA,2,16,3,26,NA,11
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21,19,17,11,0,3,3,20,0,0,NA,5,5,8,0,14,NA,12,3,2,12,18,2,19,18,0,3,4,7,3,5,0,19,19,NA,0,6,11,4,5,NA,NA,0,2,14,17,5,20,18,32,21,NA,3,28,12,NA,3,3,NA,5,15,14,4,0,NA,NA,12,NA,2,12,5,3,19,13,12,9,39,0,3,18,20,12,7,3,NA,NA,NA,10,5,0,0,0,0,2,22,24,0,3,15,5,NA
"Jason Kipnis_CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,0,8,3,0,0,14,NA,0,2,NA,8,8,0,0,0,16,NA,0,0,38,14,7,5,NA,17,5,10,14,0,NA,NA,0,5,31,0,NA,0,15,2,5,20,NA,3,0,NA,7,0,NA,NA,10,NA,NA,11,NA,5,21,0,15,5,2,5,3,7,3,0,NA,2,2,NA,0,NA,9,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ian Happ_CHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,8,NA,22,4,12,5,NA,14,NA,0,2,5,0,5,0,NA,NA,0,NA,5,5,32,NA,NA,18,0,NA,NA,NA,NA,22,14,NA,10,5,16,0,16,16,25,8,10,3,7,0,3,3,7,40,NA,12,12,0,10,14,7,4,8,NA,5,NA,NA,NA,0,NA,21,0,NA
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,14,NA,21,12,3,NA,9,NA,NA,NA,10,0,10,0,0,NA,17,NA,3,13,18,0,16,0,10,16,23,17,3,4,9,6,4,11,11,NA,23,16,23,0,6,0,5,10,3,5,13,12,4,30,NA
"Jonathan Schoop_BAL",NA,0,NA,5,NA,7,2,2,NA,2,19,14,17,7,10,NA,5,5,14,2,19,2,16,5,8,NA,7,5,7,8,4,7,11,4,NA,NA,7,14,9,NA,3,0,5,NA,4,12,NA,4,3,0,3,5,NA,NA,8,0,21,9,7,5,18,8,2,15,NA,30,12,0,16,4,7,16,3,16,NA,0,40,2,0,17,10,7,14,2,23,NA,12,8,0,21,0,NA,19,3,9,0,16,12,3,2,18,19,21,23,16,15,2,7,14,NA
"David Peralta_ARI",0,NA,0,NA,25,6,16,8,2,0,13,NA,NA,0,0,21,10,0,NA,10,26,8,27,NA,16,5,0,NA,5,NA,NA,NA,NA,8,NA,0,NA,0,NA,12,22,3,5,NA,NA,NA,NA,21,18,NA,0,3,NA,7,0,NA,8,12,0,12,NA,10,0,NA,NA,4,16,NA,17,0,26,NA,24,2,NA,16,3,NA,NA,16,24,NA,5,9,NA,5,16,0,3,14,NA,NA,0,NA,5,16,NA,3,7,NA,15,24,NA,22,0,5,12,0,NA,3
"Ben Zobrist_CHC",4,NA,NA,NA,NA,16,11,20,0,NA,3,NA,NA,8,5,8,0,NA,NA,NA,NA,12,17,0,NA,NA,12,16,5,3,9,7,NA,3,10,3,NA,2,NA,NA,2,NA,NA,NA,NA,12,8,3,NA,14,24,3,NA,20,2,NA,NA,8,2,0,NA,2,0,2,7,NA,2,3,NA,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,0,NA,8,0,25,NA,7,6,NA,NA,NA,9,NA,4,24,9,0
"Adam Jones_BAL",NA,9,NA,16,NA,9,7,5,NA,5,17,0,10,3,7,NA,18,5,0,5,10,8,26,0,3,NA,12,6,11,2,0,0,8,0,5,9,0,19,7,NA,3,3,NA,NA,15,3,NA,0,7,20,18,0,NA,NA,0,NA,NA,NA,NA,32,14,0,2,0,NA,11,14,NA,3,0,0,5,6,10,NA,2,23,10,3,10,3,NA,13,14,2,NA,9,5,7,3,0,NA,8,3,10,3,4,2,0,4,12,26,25,11,16,16,24,6,0,NA
"Manny Machado_BAL",NA,5,NA,3,NA,18,16,2,NA,2,9,2,0,7,16,NA,0,5,3,17,3,9,2,2,8,NA,30,9,10,18,14,0,26,3,21,9,0,3,14,NA,3,3,4,NA,15,0,NA,2,21,2,9,0,NA,NA,10,5,0,0,0,0,10,14,14,19,NA,0,0,NA,NA,NA,NA,13,5,3,NA,2,23,7,0,42,0,14,0,10,5,NA,2,0,0,3,18,NA,3,5,3,38,16,12,5,16,9,11,2,10,7,4,12,10,3,NA
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3,10,0,NA,29,8,0,2,NA,9,5,8,2,5,33,NA,NA,8,14,0,3,2,7,3,0,5,21,15,20,0,2,4,NA,NA,NA,17,11,2,4,NA,NA,12,5,NA,3,14,2,25,22,10,NA,0,5,2,NA,14,2,NA,9,21,21,10,8,6,NA,9,NA,5,8,NA,23,6,2,11,20,11,0,0,13,NA,8,7,2,14,NA,4,8,0,5,2,17,11,20,18,5,2,3,16,8,NA
"Tommy Pham_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,43,7,14,7,NA,0,23,8,NA,2,7,NA,2,NA,5,NA,NA,NA,10,3,24,16,12,4,5,0,NA,7,4,11,4,15,0,6,4,17,NA,5,NA,NA,21,7,0,NA,19,28,3,3,3,4,23,10,NA,10,0,18,26,0,18,3,NA,17,13,17,25,10,3,21,NA,0,2,23,3,16,3
"Randal Grichuk_STL",23,NA,0,NA,NA,0,3,5,0,14,NA,NA,9,0,2,13,0,NA,4,9,15,11,NA,5,NA,7,7,NA,2,6,2,NA,2,8,18,14,0,4,0,NA,23,NA,13,NA,2,NA,NA,8,0,20,NA,5,2,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,21,2,36,0,5,0,3,2,NA,14,14,0,NA,NA,NA,NA,NA,NA,NA,14,19,16,3,14,0
"Ryan Braun_MIL",NA,2,19,9,NA,7,NA,18,NA,10,0,18,16,8,18,33,10,NA,2,17,2,10,9,0,14,NA,22,2,2,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,19,NA,5,5,NA,NA,7,20,11,0,20,5,3,5,NA,NA,NA,39,9,NA,7,0,NA
"Javier Baez_CHC",3,NA,2,NA,NA,0,16,NA,2,NA,NA,7,NA,3,5,NA,7,0,NA,21,2,NA,2,NA,10,NA,0,NA,NA,19,34,10,0,NA,14,24,NA,16,0,NA,3,2,0,NA,0,NA,32,5,NA,NA,22,NA,5,0,3,NA,17,0,NA,5,NA,NA,17,NA,0,13,0,3,NA,NA,2,2,NA,0,NA,NA,0,10,10,5,NA,7,6,16,5,17,0,7,2,0,15,NA,NA,10,5,NA,0,0,15,12,20,25,NA,NA,NA,0,5,0,NA,NA
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8,21,0,2,0,7,9,0,3,4,5,14,NA,11,0,0,NA,5,0,NA,19,0,3,9,0,19,5,0,NA,4,34,2,3,0,NA,24,6,NA,14,0,NA,NA,3,17,0,14,NA,0,NA,NA,7,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,5,5,18,6,0,0,3,0,0,11,16,14,14,18,4,NA,5,5,NA,8,NA,3,7,21,2,2,6,0,22,9,NA
"Paul DeJong_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,7,8,0,3,7,3,0,5,0,NA,NA,NA,NA,NA,NA,3,28,18,0,NA,8,0,14,14,3,7,13,5,3,16,2,0,4,5,7,NA,22,33,3,0,16,7,0,0,NA,14,17,8,19,16,8
"Manny Pina_MIL",NA,NA,NA,0,NA,5,NA,NA,NA,11,NA,5,24,NA,7,NA,7,NA,NA,8,NA,16,10,8,NA,NA,NA,0,NA,8,NA,NA,NA,0,0,NA,NA,2,NA,5,NA,NA,25,NA,11,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,15,0,NA,7,NA,3,NA,4,3,NA,9,NA,21,0,NA,NA,12,3,NA,19,NA,17,0,0,3,NA,4,NA,2,NA,19,19,NA,NA,0,NA,NA,0,7,8,NA,10,NA,NA,6,NA,10,2,NA,3,NA,24,7,NA
"Travis Shaw_MIL",NA,12,16,16,NA,7,9,0,NA,12,0,0,7,NA,14,0,35,16,21,3,7,2,NA,9,13,NA,0,2,NA,21,3,NA,19,0,0,14,NA,9,17,5,3,28,5,NA,NA,12,NA,7,NA,19,NA,0,NA,NA,6,9,10,5,10,17,2,NA,33,2,NA,NA,9,21,NA,NA,NA,NA,21,8,13,18,0,3,14,9,0,28,0,2,20,NA,20,9,2,11,NA,NA,17,7,NA,11,7,4,14,12,24,3,2,0,26,0,NA,25,12,18
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0,16,14,6,2,2,20,0,2,5,3,9,5,8,2,17,NA,2,36,12,0,5,NA,14,2,3,2,7,6,0,8,14,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,16,7,14,NA,39,0,25,0,2,NA,0,13,5,3,17,7,19,NA,0,4,7,6,4,2,3,7,3,0,19,3,0,NA,NA
"Delino DeShields_TEX",NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,7,0,NA,NA,NA,NA,30,NA,10,4,12,5,14,0,5,12,13,2,0,NA,6,0,5,8,17,NA,4,14,0,10,3,NA,NA,11,11,9,5,0,NA,NA,0,NA,NA,0,NA,NA,NA,22,10,NA,6,20,7,12,5,2,NA,17,NA,NA,NA,10,12,NA,NA,14,11,NA,0,NA,NA,14,0,NA,17,NA,NA,8,NA,NA,0,NA,NA,NA,4,NA,NA,NA,10,NA,NA,NA
"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA,8,7,16,5,0,19,23,2,0,0,2,2,6,0,0,NA,NA,0,9,5,3,23,5,7,4,2,NA,NA,11,9,NA,3,14,8,NA,17,11,16,NA,9,NA,NA,6,NA,8,5,2,8,21,8,5,NA,NA,2,3,NA,25,7,NA,10,11,2,18,4,0,NA,NA,NA,0,18,14,3,2,2,NA,NA,9,2,14,4,14,NA,5,NA,2,NA,29,7,5,0,2,0,2,NA,0,0,6,0,13,15,NA
"Dexter Fowler_STL",7,NA,3,NA,NA,2,11,0,9,7,7,NA,0,0,3,0,12,31,0,5,NA,2,NA,12,NA,24,21,NA,5,2,2,NA,12,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,9,18,NA,30,2,2,NA,0,2,5,3,14,11,0,8,14,10,16,4,9,5,0,NA,0,10,6,23,NA,NA,2,19,21,21,21,NA,9,4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,0,0,5,3,2,3,NA,2,2,4,NA,NA,NA
"Stephen Piscotty_STL",9,NA,4,NA,NA,2,NA,NA,10,0,30,NA,2,16,5,3,2,3,7,NA,2,7,NA,12,NA,13,12,NA,4,9,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,3,4,0,NA,NA,NA,NA,NA,8,5,7,2,20,5,19,12,3,2,9,5,NA,3,0,9,2,NA,28,NA,11,9,3,3,NA,4,12,14,13,8,NA,5,12,0,5,NA,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aledmys Diaz_STL",18,NA,0,NA,NA,0,37,3,0,17,NA,NA,10,0,0,0,0,NA,13,3,NA,7,NA,0,NA,NA,3,NA,4,17,0,NA,13,24,13,0,6,0,13,NA,6,0,6,NA,5,7,NA,0,3,18,NA,5,11,5,NA,8,3,3,0,2,0,5,3,14,0,NA,5,7,19,0,5,NA,5,21,7,5,0,5,NA,5,NA,0,3,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Domingo Santana_MIL",NA,9,11,NA,NA,0,NA,16,NA,19,10,8,7,6,NA,10,4,NA,3,0,0,NA,13,0,NA,NA,NA,6,32,10,5,NA,7,NA,5,0,NA,10,15,0,7,13,NA,17,7,5,NA,11,NA,NA,NA,2,NA,0,5,5,31,17,4,NA,8,14,11,14,10,8,19,15,11,4,3,NA,7,10,7,2,0,NA,0,5,21,7,9,8,17,NA,0,18,4,21,13,NA,2,9,33,12,20,12,NA,2,3,24,0,6,12,0,NA,7,17,0
"Mark Trumbo_BAL",NA,21,NA,0,NA,0,14,12,NA,0,12,0,2,0,10,NA,6,10,7,3,2,0,0,0,0,NA,26,4,11,10,0,4,10,8,10,3,16,7,19,NA,5,0,3,NA,29,9,NA,15,26,6,10,2,NA,NA,0,3,16,12,4,20,22,0,5,0,NA,7,8,10,0,2,0,14,0,10,NA,2,19,21,0,0,6,0,10,16,2,NA,14,0,19,4,16,NA,3,7,18,7,16,29,5,0,7,0,16,5,0,21,3,0,0,NA
"Chris Davis_BAL",NA,5,NA,14,NA,3,11,6,NA,7,24,0,23,0,7,NA,5,0,0,3,7,7,4,5,9,NA,4,0,NA,2,2,5,5,24,3,4,4,7,5,NA,NA,14,27,NA,43,7,NA,0,5,0,2,0,NA,NA,0,10,0,0,3,21,14,5,3,9,NA,19,4,0,6,14,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0,38,0,14,2,3,7,NA,NA,5,NA
"Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA,4,12,3,0,0,7,3,3,2,5,0,10,0,7,0,16,NA,0,16,3,0,0,10,16,16,0,5,0,10,5,10,14,5,9,NA,11,5,7,5,2,NA,NA,10,3,3,20,3,8,5,0,3,NA,0,3,14,NA,7,5,NA,17,0,3,20,33,0,NA,9,NA,7,0,5,0,5,0,2,8,0,0,13,16,21,NA,14,5,24,NA,24,5,0,0,0,6,5,5,0,0,30,0,21,9,NA
"Jose Abreu_CWS",NA,NA,NA,NA,NA,5,0,5,NA,NA,0,14,2,0,4,0,0,15,NA,0,2,12,12,8,14,NA,NA,32,13,0,5,14,23,11,19,2,NA,7,NA,0,0,7,8,16,5,21,0,20,14,NA,5,19,NA,NA,NA,7,8,0,9,0,NA,0,3,4,NA,5,5,5,8,15,4,14,13,10,NA,21,NA,7,NA,33,0,16,3,0,7,15,14,10,14,16,9,3,18,7,NA,11,13,0,4,NA,0,5,NA,8,5,12,10,9,3,28
"Jason Heyward_CHC",5,NA,5,NA,NA,5,NA,17,2,NA,8,3,NA,5,5,5,8,NA,NA,14,27,7,20,0,7,NA,3,5,3,2,2,11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,14,10,14,3,0,3,10,10,0,NA,9,5,3,0,19,3,0,NA,5,3,3,23,NA,NA,11,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,3,2,0,21,23,4,6,NA,NA,NA,8,9,0,NA,8,3
"Eric Thames_MIL",NA,13,NA,17,NA,NA,5,9,NA,NA,5,23,21,32,18,26,17,8,21,0,6,5,36,18,11,NA,7,2,3,11,0,NA,7,0,3,26,NA,19,17,NA,2,6,13,NA,NA,NA,NA,11,NA,2,NA,12,NA,0,2,0,NA,2,17,27,0,4,NA,16,0,5,NA,20,7,0,0,NA,NA,25,21,22,16,2,0,0,NA,5,7,3,0,NA,2,NA,NA,7,18,NA,30,2,NA,NA,7,6,12,6,8,0,NA,3,14,0,NA,16,NA,5
