Position,Name...ID,Name,ID,Salary,GameInfo,Team,FirstName,LastName,Opponent,Projection,Projection_dfn,RankTargets,RollingTargetPctg
WR,Alshon Jeffery (7852340),Alshon Jeffery,7852340,6000,CHI@DET,Chi,Alshon,Jeffery,Det,12.72,0,1,0.170506912
WR,Demaryius Thomas (7852292),Demaryius Thomas,7852292,6000,DEN@TEN,Den,Demaryius,Thomas,Ten,15.93,16.8,2,0.281862745
TE,Tyler Eifert (7852442),Tyler Eifert,7852442,6000,CIN@CLE,Cin,Tyler,Eifert,Cle,15.02,14.3,5,0.085011186
RB,Jay Ajayi (7852194),Jay Ajayi,7852194,5900,ARI@MIA,Mia,Jay,Ajayi,Ari,14.05,13.9,4,0.08401084
TE,Jordan Reed (7852478),Jordan Reed,7852478,5900,WAS@PHI,Was,Jordan,Reed,Phi,13.81,10.6,3,0.170081967
QB,Colin Kaepernick (7852106),Colin Kaepernick,7852106,5800,NYJ@SF,SF,Colin,Kaepernick,NYJ,18.79,18.7,0,0
WR,DeAndre Hopkins (7852305),DeAndre Hopkins,7852305,5800,HOU@IND,Hou,DeAndre,Hopkins,Ind,12.54,15,1,0.266514806
RB,Jeremy Hill (7852191),Jeremy Hill,7852191,5800,CIN@CLE,Cin,Jeremy,Hill,Cle,13.09,18.6,7,0.051454139
QB,Carson Palmer (7852123),Carson Palmer,7852123,5700,ARI@MIA,Ari,Carson,Palmer,Mia,18.81,18,0,0
WR,Emmanuel Sanders (7852290),Emmanuel Sanders,7852290,5700,DEN@TEN,Den,Emmanuel,Sanders,Ten,15.14,15.7,1,0.286764706
RB,Thomas Rawls (7852251),Thomas Rawls,7852251,5700,SEA@GB,Sea,Thomas,Rawls,GB,13.8,12,8,0.031007752
RB,DeAngelo Williams (7852219),DeAngelo Williams,7852219,5600,PIT@BUF,Pit,DeAngelo,Williams,Buf,0,3.4,6,0.048832272
RB,Jacquizz Rodgers (7852238),Jacquizz Rodgers,7852238,5600,NO@TB,TB,Jacquizz,Rodgers,NO,4.28,4.4,8,0.03125
WR,Jamison Crowder (7852379),Jamison Crowder,7852379,5600,WAS@PHI,Was,Jamison,Crowder,Phi,13.72,14.2,2,0.172131148
WR,Jarvis Landry (7852330),Jarvis Landry,7852330,5600,ARI@MIA,Mia,Jarvis,Landry,Ari,14.87,13.3,1,0.284552846
