"Name","Completions.Rolling","Targets.Rolling","TDs.Rolling","Team","Pos","Rank.Completions","Rank.Targets","Rank.TDs"
"Miller, Zach",41,54,3,"CHI","TE",1,2,1
"Paulsen, Logan",3,7,0,"CHI","TE",9,8,6
"Green, A.J.",61,95,3,"CIN","WR",1,1,2
"Uzomah, C.J.",17,29,0,"CIN","TE",5,5,5
"LaFell, Brandon",28,47,4,"CIN","WR",3,2,1
"Bernard, Giovani",36,43,1,"CIN","RB",2,3,3
"Boyd, Tyler",25,38,0,"CIN","WR",4,4,5
"Wright, James",4,6,0,"CIN","WR",9,9,5
"Pryor, Terrelle",48,84,4,"CLE","WR",1,1,1
"Johnson, Duke",37,50,0,"CLE","RB",2,3,5
"Coleman, Corey",10,19,2,"CLE","WR",7,7,3
"Hawkins, Andrew",24,41,3,"CLE","WR",4,4,2
"Johnson, Malcolm",5,7,0,"CLE","FB",8,8,5
"Crowell, Isaiah",19,24,0,"CLE","RB",5,6,5
"Barnidge, Gary",37,53,0,"CLE","TE",2,2,5
"Witten, Jason",38,56,2,"DAL","TE",2,1,4
"Beasley, Cole",43,56,4,"DAL","WR",1,1,1
"Bryant, Dez",16,43,3,"DAL","WR",4,3,2
"Williams, Terrance",24,36,1,"DAL","WR",3,4,5
"Elliott, Ezekiel",16,20,0,"DAL","RB",4,6,7
"Dunbar, Lance",5,6,0,"DAL","RB",8,8,7
"Butler, Brice",12,23,3,"DAL","WR",6,5,2
"Swaim, Geoff",6,9,0,"DAL","TE",7,7,7
"Morris, Alfred",1,3,0,"DAL","RB",10,9,7
"Thomas, Demaryius",49,86,4,"DEN","WR",1,2,1
"Sanders, Emmanuel",49,87,3,"DEN","WR",1,1,2
"Anderson, C.J.",17,25,2,"DEN","RB",3,4,3
"Green, Virgil",16,22,0,"DEN","TE",5,6,7
"Bibbs, Kapri",2,3,1,"DEN","RB",11,11,4
"Norwood, Jordan",17,27,1,"DEN","WR",3,3,4
"Jones, Marvin",37,74,4,"DET","WR",3,2,2
"Tate, Golden",49,79,3,"DET","WR",1,1,4
"Abdullah, Ameer",5,5,1,"DET","RB",8,8,6
"Riddick, Theo",37,48,4,"DET","RB",3,4,2
"Ebron, Eric",34,44,2,"DET","TE",5,5,5
"Boldin, Anquan",38,52,6,"DET","WR",2,3,1
"Roberts, Andre",6,9,1,"DET","WR",6,6,6
"Wick, Cole",2,3,0,"DET","TE",10,9,8
"Cobb, Randall",43,60,4,"GB","WR",2,3,3
"Nelson, Jordy",39,76,7,"GB","WR",3,1,1
"Adams, Davante",46,70,6,"GB","WR",1,2,2
"Cook, Jared",6,12,0,"GB","TE",7,7,8
"Rodgers, Richard",15,28,1,"GB","TE",5,5,4
"Lacy, Eddie",4,7,0,"GB","RB",10,9,8
"Starks, James",6,10,0,"GB","RB",7,8,8
"Abbrederis, Jared",1,2,0,"GB","WR",14,14,8
"Montgomery, Ty",24,30,0,"GB","WR",4,4,8
"Fuller, Will",25,51,2,"HOU","WR",3,2,3
"Hopkins, DeAndre",40,75,3,"HOU","WR",1,1,1
"Miller, Lamar",23,29,1,"HOU","RB",5,5,4
"Anderson, Stephen",7,10,0,"HOU","TE",8,8,5
"Miller, Braxton",8,13,0,"HOU","WR",7,7,5
"Griffin, Ryan",25,39,0,"HOU","TE",3,3,5
"Ervin, Tyler",3,5,0,"HOU","RB",10,10,5
"Fiedorowicz, C.J.",26,39,3,"HOU","TE",2,3,1
"Hilton, T.Y.",56,100,5,"IND","WR",1,1,1
"Moncrief, Donte",15,25,4,"IND","WR",7,7,2
"Allen, Dwayne",19,31,2,"IND","TE",6,5,5
"Dorsett, Phillip",20,34,1,"IND","WR",4,3,6
"Gore, Frank",26,34,3,"IND","RB",3,3,4
"Doyle, Jack",39,48,4,"IND","TE",2,2,2
"Turbin, Robert",14,17,0,"IND","RB",8,9,7
"Ferguson, Josh",20,26,0,"IND","RB",4,6,7
"Robinson, Allen",39,85,4,"JAX","WR",1,1,1
"Yeldon, T.J.",30,39,1,"JAX","RB",4,4,4
"Thomas, Julius",23,39,3,"JAX","TE",5,4,2
"Hurns, Allen",31,63,2,"JAX","WR",3,2,3
"Lee, Marqise",36,51,0,"JAX","WR",2,3,9
"Lewis, Marcedes",15,24,1,"JAX","TE",6,6,4
"Greene, Rashad",5,7,0,"JAX","WR",8,9,9
"Ware, Spencer",18,23,1,"KC","RB",5,6,4
"Kelce, Travis",39,53,3,"KC","TE",1,2,2
"Conley, Chris",26,42,0,"KC","WR",3,3,6
"West, Charcandrick",17,22,0,"KC","RB",6,7,6
"Maclin, Jeremy",30,56,2,"KC","WR",2,1,3
"Wilson, Albert",15,26,1,"KC","WR",7,5,4
"Harris, Demetrius",10,18,0,"KC","TE",8,8,6
"Hill, Tyreek",22,28,4,"KC","WR",4,4,1
"Smith, Alex",0,1,0,"KC","QB",15,14,6
"Travis, Ross",2,4,0,"KC","TE",12,10,6
"Landry, Jarvis",52,73,1,"MIA","WR",1,1,3
"Foster, Arian",6,10,0,"MIA","RB",10,8,8
"Stills, Kenny",19,33,3,"MIA","WR",3,3,1
"Cameron, Jordan",8,11,1,"MIA","TE",6,7,3
"Carroo, Leonte",2,3,0,"MIA","WR",12,12,8
"Williams, Damien",12,16,1,"MIA","RB",4,4,3
"Diggs, Stefon",48,67,2,"MIN","WR",1,1,2
"Rudolph, Kyle",32,60,4,"MIN","TE",2,2,1
"Johnson, Charles",7,20,0,"MIN","WR",7,6,5
"Thielen, Adam",30,41,1,"MIN","WR",3,3,4
"McKinnon, Jerick",9,15,0,"MIN","RB",6,7,5
"Peterson, Adrian",2,5,0,"MIN","RB",11,9,5
"Patterson, Cordarrelle",27,33,2,"MIN","WR",4,4,2
"Edelman, Julian",44,67,1,"NE","WR",1,1,6
"White, James",31,48,3,"NE","RB",3,2,2
"Bennett, Martellus",32,45,4,"NE","TE",2,3,1
"Hogan, Chris",19,32,2,"NE","WR",5,4,5
"Amendola, Danny",16,21,3,"NE","WR",6,6,2
"Mitchell, Malcolm",6,13,0,"NE","WR",7,7,7
"Garoppolo, Jimmy",1,1,0,"NE","QB",10,11,7
"Cooks, Brandin",42,64,5,"NO","WR",2,2,1
"Snead, Willie",38,51,2,"NO","WR",3,3,4
"Cadet, Travaris",21,32,1,"NO","RB",6,5,6
"Thomas, Michael",50,66,5,"NO","WR",1,1,1
"Fleener, Coby",28,48,2,"NO","TE",4,4,4
"Ingram, Mark",24,28,3,"NO","RB",5,6,3
"Hightower, Tim",4,6,0,"NO","RB",11,11,10
"Kuhn, John",8,11,1,"NO","FB",8,8,6
"Beckham, Odell",46,85,5,"NYG","WR",1,1,1
"Vereen, Shane",9,14,0,"NYG","RB",8,7,6
"Cruz, Victor",25,43,1,"NYG","WR",3,3,4
"Shepard, Sterling",36,55,3,"NYG","WR",2,2,2
"Tye, Will",22,30,0,"NYG","TE",4,4,6
"Donnell, Larry",15,21,1,"NYG","TE",6,6,4
"Jennings, Rashad",12,14,0,"NYG","RB",7,7,6
"Marshall, Brandon",41,88,2,"NYJ","WR",1,1,2
"Enunwa, Quincy",37,65,3,"NYJ","WR",2,2,1
"Forte, Matt",22,31,1,"NYJ","RB",4,4,5
"Decker, Eric",10,21,2,"NYJ","WR",7,6,2
"Powell, Bilal",29,40,0,"NYJ","RB",3,3,7
"Marshall, Jalin",9,17,2,"NYJ","WR",8,7,2
"Cooper, Amari",60,100,2,"OAK","WR",1,1,3
"Crabtree, Michael",53,87,7,"OAK","WR",2,2,1
"Walford, Clive",22,31,2,"OAK","TE",4,4,3
"Roberts, Seth",26,50,3,"OAK","WR",3,3,2
"Richard, Jalen",18,24,0,"OAK","RB",6,6,9
"Jones, Taiwan",2,2,0,"OAK","RB",12,12,9
"Murray, Latavius",19,26,1,"OAK","RB",5,5,6
"Washington, DeAndre",13,16,0,"OAK","RB",7,7,9
"Holmes, Andre",10,15,2,"OAK","WR",8,8,3
"Matthews, Jordan",42,66,3,"PHI","WR",1,1,1
"Ertz, Zach",25,31,0,"PHI","TE",3,5,7
"Agholor, Nelson",26,45,1,"PHI","WR",2,2,2
"Sproles, Darren",25,37,1,"PHI","RB",3,4,2
"Green-Beckham, Dorial",20,39,1,"PHI","WR",5,3,2
"Celek, Brent",7,10,0,"PHI","TE",8,7,7
"Brown, Antonio",56,89,6,"PIT","WR",1,1,1
"Williams, DeAngelo",15,23,1,"PIT","RB",6,6,5
"James, Jesse",27,37,3,"PIT","TE",3,4,2
"Rogers, Eli",19,29,1,"PIT","WR",5,5,5
"Coates, Sammie",20,39,2,"PIT","WR",4,3,4
"Benjamin, Travis",39,61,3,"SD","WR",1,1,2
"Allen, Keenan",6,8,0,"SD","WR",9,9,8
"Woodhead, Danny",7,9,1,"SD","RB",8,8,6
"Williams, Tyrell",39,58,3,"SD","WR",1,2,2
"Gates, Antonio",26,49,4,"SD","TE",5,4,1
"Inman, Dontrelle",29,52,1,"SD","WR",3,3,6
"Henry, Hunter",22,33,3,"SD","TE",6,6,2
"Baldwin, Doug",46,63,2,"SEA","WR",1,1,2
"Lockett, Tyler",20,32,0,"SEA","WR",4,4,5
"Kearse, Jermaine",26,40,0,"SEA","WR",3,3,5
"Michael, Christine",19,26,1,"SEA","RB",5,5,3
"Rawls, Thomas",6,6,0,"SEA","RB",8,9,5
"Willson, Luke",6,11,0,"SEA","TE",8,7,5
"Richardson, Paul",9,16,0,"SEA","WR",6,6,5
"Graham, Jimmy",39,55,3,"SEA","TE",2,2,1
"Prosise, C.J.",9,10,0,"SEA","RB",6,8,5
"Kerley, Jeremy",34,63,2,"SF","WR",1,1,2
"Smith, Torrey",15,35,2,"SF","WR",4,3,2
"Patton, Quinton",26,41,0,"SF","WR",2,2,6
"Celek, Garrett",16,29,0,"SF","TE",3,4,6
"Hyde, Carlos",13,14,0,"SF","RB",5,6,6
"McDonald, Vance",11,20,3,"SF","TE",6,5,1
"Draughn, Shaun",9,14,1,"SF","RB",7,6,4
"Gabbert, Blaine",1,1,0,"SF","QB",13,13,6
"Austin, Tavon",37,65,2,"LA","WR",2,1,3
"Britt, Kenny",38,58,3,"LA","WR",1,2,1
"Quick, Brian",24,38,3,"LA","WR",5,4,1
"Higbee, Tyler",3,14,0,"LA","TE",7,6,5
"Kendricks, Lance",34,54,1,"LA","TE",3,3,4
"Gurley, Todd",25,32,0,"LA","RB",4,5,5
"Brown, Malcolm",2,2,0,"LA","RB",8,9,5
"Cunningham, Benny",11,13,0,"LA","RB",6,7,5
"Evans, Mike",57,105,8,"TB","WR",1,1,1
"Jackson, Vincent",17,34,0,"TB","WR",4,4,7
"Martin, Doug",5,5,0,"TB","RB",8,10,7
"Humphries, Adam",35,51,1,"TB","WR",2,2,4
"Brate, Cameron",28,44,5,"TB","TE",3,3,2
"Sims, Charles",14,18,1,"TB","RB",5,5,4
"Myers, Brandon",4,6,1,"TB","TE",9,9,4
"Sharpe, Tajae",28,61,0,"TEN","WR",4,1,9
"Murray, DeMarco",34,42,2,"TEN","RB",2,4,4
"Johnson, Andre",11,29,3,"TEN","WR",6,5,3
"Walker, Delanie",35,53,4,"TEN","TE",1,2,2
"Matthews, Rishard",33,47,5,"TEN","WR",3,3,1
"Douglas, Harry",6,10,0,"TEN","WR",8,9,9
"Henry, Derrick",9,11,0,"TEN","RB",7,7,9
"Jackson, DeSean",30,61,1,"WAS","WR",4,1,3
"Reed, Jordan",44,59,3,"WAS","TE",1,2,2
"Crowder, Jamison",40,56,4,"WAS","WR",2,4,1
"Garcon, Pierre",37,58,1,"WAS","WR",3,3,3
"Thompson, Chris",27,31,1,"WAS","RB",5,5,3
"Davis, Vernon",24,28,1,"WAS","TE",6,6,3
"Jones, Matt",9,11,0,"WAS","RB",7,7,8
"Doctson, Josh",2,6,0,"WAS","WR",9,9,8
"Grant, Ryan",4,10,0,"WAS","WR",8,8,8
"Fells, Darren",10,14,0,"ARI","TE",8,8,6
"Niklas, Troy",1,2,0,"ARI","TE",12,12,6
"Robinson, Aldrick",8,15,1,"ATL","WR",9,8,8
"Toilolo, Levine",8,12,2,"ATL","TE",9,10,4
"Gabriel, Taylor",16,19,1,"ATL","WR",6,6,8
"Goodwin, Marquise",17,39,3,"BUF","WR",4,3,1
"Dickson, Ed",9,12,1,"CAR","TE",7,7,4
"Howard, Jordan",19,26,1,"CHI","RB",6,6,3
"Carey, KaDeem",3,4,0,"CHI","RB",9,10,6
"Hill, Jeremy",8,12,0,"CIN","RB",8,7,5
"Kroft, Tyler",10,11,0,"CIN","TE",7,8,5
"Erickson, Alex",1,1,0,"CIN","WR",10,11,5
"Higgins, Rashard",5,7,0,"CLE","WR",8,8,5
"Smith, Keith",3,3,0,"DAL","FB",9,9,7
"Latimer, Cody",3,5,0,"DEN","WR",9,9,7
"Janovich, Andy",3,5,0,"DEN","FB",9,9,7
"Booker, Devontae",15,23,0,"DEN","RB",6,5,7
"Taylor, Jordan",5,9,0,"DEN","WR",8,8,7
"Davis, Trevor",3,7,1,"GB","WR",12,9,4
"Grimes, Jonathan",5,7,0,"HOU","RB",9,9,5
"Strong, Jaelen",14,24,0,"HOU","WR",6,6,5
"Rogers, Chester",12,21,0,"IND","WR",9,8,7
"Bray, Quan",3,5,0,"IND","WR",11,12,7
"Benn, Arrelious",5,9,1,"JAX","WR",8,8,4
"Robinson, Denard",1,2,0,"JAX","RB",12,12,9
"Grant, Corey",1,1,1,"JAX","RB",12,14,4
"Parker, DeVante",25,39,1,"MIA","WR",2,2,3
"Ajayi, Jay",12,15,1,"MIA","RB",4,5,3
"Drake, Kenyan",7,8,0,"MIA","RB",8,11,8
"Sims, Dion",8,12,0,"MIA","TE",6,6,8
"Asiata, Matt",18,23,0,"MIN","RB",5,5,5
"Foster, D.J.",1,2,0,"NE","RB",10,10,7
"Slater, Matthew",0,1,0,"NE","WR",12,11,7
"Coleman, Brandon",17,21,1,"NO","WR",7,7,6
"Lewis, Tommylee",7,9,0,"NO","WR",9,10,10
"Darkwa, Orleans",2,4,0,"NYG","RB",12,12,6
"Davis, Kellen",0,1,0,"NYJ","TE",11,11,7
"Bostick, Brandon",2,4,0,"NYJ","TE",9,9,7
"Smith, Lee",6,6,0,"OAK","TE",10,10,9
"Olawale, Jamize",5,6,0,"OAK","FB",11,10,9
"Holton, Johnny",1,2,0,"OAK","WR",13,12,9
"Burton, Trey",13,22,1,"PHI","TE",6,6,2
"Mathews, Ryan",9,9,1,"PHI","RB",7,8,2
"Smallwood, Wendell",1,3,0,"PHI","RB",10,10,7
"Grimble, Xavier",9,17,1,"PIT","TE",7,7,5
"Heyward-Bey, Darrius",6,16,3,"PIT","WR",8,8,2
"Toussaint, Fitzgerald",1,1,0,"PIT","RB",12,12,10
"Johnson, David",4,6,0,"PIT","TE",10,11,10
"Gordon, Melvin",28,38,2,"SD","RB",4,5,5
"Farrow, Kenneth",1,3,0,"SD","RB",11,10,8
"Tukuafu, Will",0,1,0,"SEA","FB",15,14,5
"Streater, Rod",3,7,0,"SF","WR",9,9,6
"Bell, Blake",2,5,0,"SF","TE",11,11,6
"Davis, Mike",3,5,0,"SF","RB",9,11,6
"Burbridge, Aaron",2,7,0,"SF","WR",11,9,6
"Shepard, Russell",10,15,2,"TB","WR",6,6,3
"Shorts, Cecil",2,11,0,"TB","WR",12,8,7
"Rodgers, Jacquizz",10,13,0,"TB","RB",6,7,7
"Fasano, Anthony",5,11,1,"TEN","TE",9,7,6
"Supernaw, Phillip",4,6,1,"TEN","TE",10,10,6
"Paul, Niles",2,3,0,"WAS","TE",9,10,8
"Powell, Walt",14,26,0,"BUF","WR",5,5,7
"Artis-Payne, Cameron",1,1,0,"CAR","RB",10,10,8
"Meredith, Cameron",29,43,1,"CHI","WR",4,3,3
"Louis, Ricardo",16,32,0,"CLE","WR",6,5,5
"Heuerman, Jeff",2,3,0,"DEN","TE",11,11,7
"Fowler, Bennie",8,16,1,"DEN","WR",7,7,4
"Washington, Dwayne",2,3,0,"DET","RB",10,9,8
"Ripkowski, Aaron",5,5,0,"GB","FB",9,11,8
"Perillo, Justin",4,4,0,"GB","TE",10,13,8
"Swoope, Erik",7,13,0,"IND","TE",10,10,7
"Ivory, Chris",7,11,0,"JAX","RB",7,7,9
"Sherman, Anthony",3,4,0,"KC","FB",10,10,6
"Ellison, Rhett",3,3,0,"MIN","TE",10,11,5
"Gronkowski, Rob",22,30,3,"NE","TE",4,5,2
"Rainey, Bobby",17,22,0,"NYG","RB",5,5,6
"Anderson, Robby",20,31,1,"NYJ","WR",5,4,5
"Wheaton, Markus",4,10,1,"PIT","WR",10,9,5
"McCluster, Dexter",8,11,0,"SD","WR",7,7,8
"McGrath, Sean",1,1,0,"SD","TE",11,13,8
"Watt, Derek",3,3,0,"SD","FB",10,10,8
"Collins, Alex",3,3,0,"SEA","RB",10,10,5
"Marquez, Bradley",2,5,0,"LA","WR",8,8,5
"Thomas, Mike",0,2,0,"LA","WR",11,9,5
"Cross, Alan",1,3,0,"TB","RB",14,12,7
"Amaro, Jace",3,4,0,"TEN","TE",11,11,9
"Fowler, Jalston",1,1,0,"TEN","FB",12,12,9
"Dunbar, Quinton",1,1,0,"WAS","CB",11,14,8
"Ross, Rashad",1,2,0,"WAS","WR",11,12,8
"Johnson, Chris",0,1,0,"ARI","RB",13,13,6
"Allen, Javorius",4,6,0,"BAL","RB",11,10,5
"Felton, Jerome",3,6,0,"BUF","RB",13,11,7
"Webb, Joe",1,1,0,"CAR","QB",10,10,8
"Telfer, Randall",0,4,0,"CLE","TE",13,10,5
"Zenner, Zach",6,8,0,"DET","FB",6,7,8
"Lee, Khari",0,1,0,"DET","TE",13,13,8
"Prosch, Jay",1,1,0,"HOU","FB",11,12,5
"Blue, Alfred",1,4,0,"HOU","RB",11,11,5
"Sterling, Neal",1,2,0,"JAX","TE",12,12,9
"Walters, Bryan",2,4,1,"JAX","WR",11,11,4
"Davis, Knile",3,4,0,"KC","RB",10,10,6
"Charles, Jamaal",2,3,0,"KC","RB",12,13,6
"Pead, Isaiah",1,1,0,"MIA","RB",13,13,8
"Gray, MarQueis",5,9,0,"MIA","TE",11,10,8
"Pruitt, MyCole",1,1,0,"MIN","TE",12,12,5
"Blount, LeGarrette",6,6,0,"NE","RB",7,8,7
"Bolden, Brandon",2,4,0,"NE","RB",9,9,7
"Lasco, Daniel",2,4,0,"NO","RB",12,12,10
"Perkins, Paul",9,11,0,"NYG","RB",8,9,6
"Peake, Charone",11,16,0,"NYJ","WR",6,8,7
"Bowman, Braedon",0,1,0,"NYJ","TE",11,11,7
"Rivera, Mychal",7,8,1,"OAK","TE",9,9,6
"Bell, LeVeon",36,47,0,"PIT","RB",2,2,10
"McEvoy, Tanner",3,3,1,"SEA","WR",10,10,3
"Martino, Freddie",1,3,0,"TB","WR",14,12,7
"Wright, Kendall",19,26,2,"TEN","WR",5,6,4
"Valles, Hakeem",0,1,0,"ARI","TE",13,13,6
"Dixon, Kenneth",5,6,0,"BAL","RB",10,10,5
"Hunter, Justin",6,15,3,"BUF","WR",9,6,1
"Bellamy, Josh",4,7,0,"CHI","WR",8,8,6
"Hamlett, Connor",1,2,1,"CLE","TE",10,12,4
"Jones, Dominique",7,10,2,"MIA","TE",8,8,2
"Wright, Jarius",5,5,0,"MIN","WR",8,9,5
"Line, Zach",0,1,0,"MIN","FB",15,12,5
"Adams, Jerell",6,7,0,"NYG","TE",10,10,6
"King, Tavarres",0,1,0,"NYG","WR",13,13,6
"Seferian-Jenkins, Austin",2,2,0,"NYJ","TE",9,10,7
"Momah, Ifeanyi",2,4,0,"ARI","TE",10,10,6
"Bersin, Brenton",0,1,0,"CAR","WR",12,10,8
"Burkhead, Rex",1,2,0,"CIN","RB",10,10,5
"Payton, Jordan",1,3,0,"CLE","WR",10,11,5
"Whitehead, Lucky",1,1,0,"DAL","WR",10,11,7
"Harbor, Clay",3,3,0,"DET","TE",9,9,8
"Forsett, Justin",2,3,0,"DET","RB",10,9,8
"Janis, Jeff",9,13,1,"GB","WR",6,6,4
"Thomas, DeAnthony",4,5,0,"KC","WR",9,9,6
"Hill, Josh",7,10,1,"NO","TE",9,9,6
"Lewis, Roger",3,7,2,"NYG","WR",11,10,3
"Hamilton, Cobi",5,9,1,"PIT","WR",9,10,5
"Whalen, Griff",1,3,0,"SD","WR",11,10,8
"Golden, Brittan",2,3,0,"ARI","WR",10,11,6
"Taliaferro, Lorenzo",3,3,0,"BAL","RB",12,12,5
"Tate, Brandon",4,5,0,"BUF","WR",11,13,7
"Thompson, Deonte",1,3,0,"CHI","WR",11,11,6
"Eifert, Tyler",11,15,1,"CIN","TE",6,6,3
"Jackson, Don",0,2,0,"GB","RB",15,14,8
"Street, Devin",1,6,0,"IND","WR",12,11,7
"Hillman, Ronnie",4,8,0,"MIN","RB",9,8,5
"Wilson, Russell",1,1,0,"SEA","QB",12,14,5
"Vannett, Nick",1,2,0,"SEA","TE",12,12,5
"Harris, DuJuan",7,9,1,"SF","RB",8,8,4
"Lewan, Taylor",1,1,1,"TEN","T",12,12,6
"Kelley, Rob",1,3,1,"WAS","RB",11,10,3
"Ward, Terron",1,1,0,"ATL","RB",12,12,12
"Braunecker, Ben",1,1,0,"CHI","TE",11,12,6
"DeValve, Seth",1,1,0,"CLE","TE",10,13,5
"Allison, Geronimo",2,5,1,"GB","WR",13,11,4
"Koyack, Ben",5,5,0,"JAX","TE",8,10,9
"Penn, Donald",1,1,1,"OAK","T",13,14,6
"Barner, Kenjon",1,1,0,"PHI","RB",10,11,7
"Stocker, Luke",2,2,0,"TB","TE",12,15,7
"Harris, Maurice",0,2,0,"WAS","WR",14,12,8
"Perkins, Josh",0,1,0,"ATL","TE",13,12,12
"Waller, Darren",2,3,0,"BAL","TE",13,12,5
"Escobar, Gavin",1,1,1,"DAL","TE",10,11,5
"Derby, A.J.",0,1,0,"DEN","TE",13,13,7
"OShaughnessy, James",1,1,0,"KC","TE",14,14,6
"Grant, Jakeem",0,1,0,"MIA","WR",14,13,8
"Bradford, Sam",1,1,0,"MIN","QB",12,12,5
"Treadwell, Laquon",1,1,0,"MIN","WR",12,12,5
"Treggs, Bryce",2,4,0,"PHI","WR",9,9,7
"Butler, Jeremy",1,1,0,"SD","WR",11,13,8
"Williams, Brandon",1,2,0,"SEA","TE",12,12,5
"Cooper, Pharoh",1,1,0,"LA","WR",10,11,5
"Barber, Peyton",4,5,0,"TB","RB",9,10,7
"James, Mike",3,3,0,"TB","RB",11,12,7
