"FirstName","LastName","Salary","Position","Team","Opponent","ProductionPoints","Projection"
"Cam","Newton",7600,"QB","CAR","JAX",13.5,18.68
"Carson","Palmer",6500,"QB","ARI","NO",28.68,17.88
"Cecil","Shorts",3600,"WR","HOU","KC",9.7,9.4
"Charles","Clay",3700,"TE","BUF","IND",8.3,10.76
"Charles","Sims",3800,"RB","TB","TEN",5.5,6.86
"Chris","Ivory",4100,"RB","NYJ","CLE",23,11.88
"Chris","Polk",3000,"RB","HOU","KC",4.1,4.06
"Chris","Thompson",3000,"RB","WAS","MIA",1.1,3.64
"Coby","Fleener",3400,"TE","IND","BUF",3.5,6.54
"Cole","Beasley",3400,"WR","DAL","NYG",7.9,6.52
"Crockett","Gillmore",2500,"TE","BAL","DEN",4.3,6.58
"Damien","Williams",3500,"RB","MIA","WAS",1.3,3.41
"Danny","Woodhead",3700,"RB","SD","DET",22.2,7.54
"Darren","Fells",2500,"TE","ARI","NO",18.2,4.6
"Darren","McFadden",4400,"RB","DAL","NYG",4.5,9.77
"Davante","Adams",4400,"WR","GB","CHI",9.9,15
"DeAndre","Hopkins",7400,"WR","HOU","KC",32.8,14.92
"Delanie","Walker",3400,"TE","TEN","TB",13.3,12.42
"Demaryius","Thomas",9100,"WR","DEN","BAL",13,19.24
"Denard","Robinson",3000,"RB","JAX","CAR",6.5,5.62
"Derek","Carr",6100,"QB","OAK","CIN",3.24,13.26
"Devin","Funchess",3800,"WR","CAR","JAX",1.9,9.23
"Dexter","McCluster",3300,"RB","TEN","TB",0.8,5.53
"Dez","Bryant",8700,"WR","DAL","NYG",9.8,21.32
"Donte","Moncrief",3000,"WR","IND","BUF",16.6,6.33
"Doug","Baldwin",4600,"WR","SEA","STL",10.5,9.94
"Doug","Martin",4500,"RB","TB","TEN",6.4,11.54
"Drew","Brees",8000,"QB","NO","ARI",20.5,18.12
"Duke","Johnson",3000,"RB","CLE","NYJ",2.2,10.4
"Dwayne","Allen",3400,"TE","IND","BUF",10.7,8.53
"Eddie","Lacy",7500,"RB","GB","CHI",17.9,23.28
"Eddie","Royal",3900,"WR","CHI","GB",1.8,10.15
"Eli","Manning",7400,"QB","NYG","DAL",8.52,16.55
"Emmanuel","Sanders",7900,"WR","DEN","BAL",14.5,15.17
"Eric","Decker",6000,"WR","NYJ","CLE",11.7,11.08
"Eric","Ebron",2900,"TE","DET","SD",15.3,6.3
"Frank","Gore",5400,"RB","IND","BUF",5.1,14.8
"Gary","Barnidge",2500,"TE","CLE","NYJ",6.8,5.14
"Gavin","Escobar",2500,"TE","DAL","NYG",8.8,3.06
"Giovani","Bernard",4700,"RB","CIN","OAK",14.8,9.32
"Golden","Tate",6300,"WR","DET","SD",6.4,13.55
"Greg","Jennings",4300,"WR","MIA","WAS",5.9,8.32
"Greg","Olsen",5300,"TE","CAR","JAX",2.1,15.76
"Harry","Douglas",3000,"WR","TEN","TB",10.4,9.72
"Isaiah","Crowell",4600,"RB","CLE","NYJ",5.3,10.36
"Jacquizz","Rodgers",3500,"RB","CHI","GB",1.6,4.42
"Jamaal","Charles",7900,"RB","KC","HOU",21.3,19.06
"Jameis","Winston",6000,"QB","TB","TEN",16.2,13.74
"James","Starks",3600,"RB","GB","CHI",0.2,5.38
"Jared","Cook",2900,"TE","STL","SEA",13.5,8.48
"Jarvis","Landry",5600,"WR","MIA","WAS",20.7,16.2
"Jason","Witten",4000,"TE","DAL","NYG",26,11.6
"Javorius","Allen",3500,"RB","BAL","DEN",4.4,5.4
"Jay","Cutler",6800,"QB","CHI","GB",15.1,17.85
"Jeremy","Hill",7100,"RB","CIN","OAK",18.3,15.24
"Jeremy","Maclin",6900,"WR","KC","HOU",10.2,13.6
"Jermaine","Gresham",2800,"TE","ARI","NO",1.4,8.2
"Jermaine","Kearse",3700,"WR","SEA","STL",15.6,8.39
"Jerricho","Cotchery",3000,"WR","CAR","JAX",14.5,7.8
"Jimmy","Graham",5600,"TE","SEA","STL",17.1,12.73
"Joe","Flacco",6700,"QB","BAL","DEN",2.68,16.06
"John","Brown",4500,"WR","ARI","NO",14.6,12.53
"Joique","Bell",5200,"RB","DET","SD",6.1,8.93
"Jonathan","Stewart",5800,"RB","CAR","JAX",12.1,13.1
"Jordan","Cameron",3800,"TE","MIA","WAS",11.3,10.3
"Jordan","Reed",3300,"TE","WAS","MIA",19.3,11.02
"Joseph","Randle",5900,"RB","DAL","NYG",13.7,10.1
"Josh","McCown",5200,"QB","CLE","NYJ",3.26,10.76
"Josh","Robinson",3000,"RB","IND","BUF",1.1,3.6
"Justin","Forsett",6200,"RB","BAL","DEN",9.6,13.39
"Justin","Hunter",4200,"WR","TEN","TB",2.1,5.6
"Kamar","Aiken",3300,"WR","BAL","DEN",0.9,12.62
"Karlos","Williams",3000,"RB","BUF","IND",11.5,4.35
"Keenan","Allen",7100,"WR","SD","DET",34.6,13.33
"Kendall","Wright",5100,"WR","TEN","TB",23.1,11.92
"Kenny","Britt",4800,"WR","STL","SEA",5.7,8.4
"Kenny","Stills",4700,"WR","MIA","WAS",2.2,9.37
"Khiry","Robinson",3000,"RB","NO","ARI",12,4.13
"Kirk","Cousins",5000,"QB","WAS","MIA",9.74,14
"Knile","Davis",3600,"RB","KC","HOU",3.8,5.16
"Lamar","Miller",5500,"RB","MIA","WAS",8.5,16.66
"Lance","Kendricks",2500,"TE","STL","SEA",12.2,5.23
"Larry","Donnell",3200,"TE","NYG","DAL",5.1,9.12
"Larry","Fitzgerald",5500,"WR","ARI","NO",14.7,12.99
"Latavius","Murray",5700,"RB","OAK","CIN",15,12.01
"LeSean","McCoy",7200,"RB","BUF","IND",11.7,12.97
"Malcom","Floyd",5300,"WR","SD","DET",3.9,9.95
"Marcus","Mariota",6000,"QB","TEN","TB",24.96,13.5
"Mark","Ingram",5600,"RB","NO","ARI",20.2,15.1
"Marlon","Brown",3000,"WR","BAL","DEN",4.5,5.76
"Marques","Colston",6000,"WR","NO","ARI",5.9,10.65
"Marquess","Wilson",3500,"WR","CHI","GB",7.9,5.77
"Marshawn","Lynch",7300,"RB","SEA","STL",17.4,18.23
"Martellus","Bennett",4300,"TE","CHI","GB",16.5,12.9
"Marvin","Jones",4200,"WR","CIN","OAK",3.9,8.39
"Matt","Forte",7800,"RB","CHI","GB",30.6,20.45
"Matt","Jones",3700,"RB","WAS","MIA",2.8,5.28
"Matthew","Stafford",7000,"QB","DET","SD",15.74,18.57
"Maxx","Williams",2700,"TE","BAL","DEN",2.5,4.1
"Melvin","Gordon",5500,"RB","SD","DET",8.7,11.92
"Michael","Crabtree",4400,"WR","OAK","CIN",8.7,7.97
"Michael","Floyd",5800,"WR","ARI","NO",2.8,10.39
"Mike","Tolbert",3000,"RB","CAR","JAX",2.8,6.66
"Mohamed","Sanu",3300,"WR","CIN","OAK",5.4,8.81
"Mychal","Rivera",2700,"TE","OAK","CIN",1.4,7.76
"Nate","Washington",3000,"WR","HOU","KC",19.5,5.79
"Nick","Foles",5300,"QB","STL","SEA",20.98,11.29
"Odell","Beckham Jr.",9200,"WR","NYG","DAL",9.4,26.02
"Owen","Daniels",3400,"TE","DEN","BAL",2.5,10.44
"Percy","Harvin",4400,"WR","BUF","IND",19.8,9.52
"Peyton","Manning",8200,"QB","DEN","BAL",5.9,21.91
"Philip","Rivers",7100,"QB","SD","DET",24.96,16.36
"Phillip","Dorsett",3600,"WR","IND","BUF",5.5,6.66
"Pierre","Garcon",5200,"WR","WAS","MIA",13.4,9.97
"Preston","Parker",3000,"WR","NYG","DAL",4.6,8.2
"Randall","Cobb",8000,"WR","GB","CHI",14.8,20.07
"Rashad","Jennings",5100,"RB","NYG","DAL",11.2,13.05
"Richard","Rodgers",2500,"TE","GB","CHI",6.8,4.07
"Robert","Woods",3500,"WR","BUF","IND",4.7,9.12
"Rod","Streater",3000,"WR","OAK","CIN",1.8,3.9
"Ronnie","Hillman",3000,"RB","DEN","BAL",4.1,5.99
"Rueben","Randle",5100,"WR","NYG","DAL",5.3,12.05
"Russell","Wilson",7800,"QB","SEA","STL",16.14,20.6
"Ryan","Fitzpatrick",5500,"QB","NYJ","CLE",14.06,12.12
"Ryan","Tannehill",7400,"QB","MIA","WAS",12.74,19.63
"Shane","Vereen",4200,"RB","NYG","DAL",10,9.47
"Stedman","Bailey",3000,"WR","STL","SEA",8.8,6.41
"Steve","Smith",6400,"WR","BAL","DEN",3.3,14.17
"Tavon","Austin",3300,"WR","STL","SEA",15.5,3.53
"Taylor","Gabriel",3000,"WR","CLE","NYJ",4,5.58
"Ted","Ginn",3000,"WR","CAR","JAX",7.4,8.15
"Terrance","Williams",4000,"WR","DAL","NYG",11,8.34
"Theo","Riddick",3300,"RB","DET","SD",11.7,7.09
"Tony","Romo",7300,"QB","DAL","NYG",27.14,18.63
"Travis","Kelce",4800,"TE","KC","HOU",31.6,12.61
"Tyler","Eifert",3500,"TE","CIN","OAK",34.4,9.24
"Tyler","Lockett",3000,"WR","SEA","STL",13.4,8.44
"Tyrod","Taylor",5000,"QB","BUF","IND",15.9,14.46
"Vincent","Jackson",6000,"WR","TB","TEN",9.1,12.08
