Rk,ID,Player,Pos,Team,Opp,Week,Snaps,Snap Pct,Rush Pct,Tgt Pct,Touch Pct,Util Pct,Fantasy Points,Points/100 Snaps
257,16214,Marcus Williams,CB,NYJ,BUF,10,62,95,0,0,0,0,0,4
258,12305,Derrick Morgan,OLB,TEN,CAR,10,63,93,0,0,0,0,0,4
259,13432,Chris Culliver,CB,WAS,NO,10,50,91,0,0,0,0,0,4
260,14918,Tyler Eifert,TE,CIN,HOU,10,66,97,0,11,5,11,5.60,3.9
261,10962,Jared Odrick,DE,JAX,BAL,10,51,75,0,0,0,0,0,3.9
262,15974,Jordan Matthews,WR,PHI,MIA,10,57,59,0,9,5,9,5.10,3.7
263,13687,Brandon Browner,SS,NO,WAS,10,61,98,0,0,0,0,0,3.3
264,11455,Greg Hardy,DE,DAL,TB,10,60,86,0,0,0,0,0,3.3
265,13949,Coty Sensabaugh,CB,TEN,CAR,10,63,93,0,0,0,0,0,3.2
266,7202,Brian Robison,DE,MIN,OAK,10,62,97,0,0,0,0,0,3.2
267,12247,Jason Pierre-Paul,DE,NYG,NE,10,63,88,0,0,0,0,0,3.2
268,14414,Trumaine Johnson,CB,LA,CHI,10,64,99,0,0,0,0,0,3.1
269,14871,Robert Woods,WR,BUF,NYJ,10,61,94,0,12,5,12,4.90,3.1
270,8914,Jeremy Maclin,WR,KC,DEN,10,54,78,0,11,6,11,4.70,3.1
271,16203,Andre Hal,FS,HOU,CIN,10,68,100,0,0,0,0,0,2.9
272,13816,Damon Harrison,DT,NYJ,BUF,10,52,80,0,0,0,0,0,2.9
273,16312,Travis Carrie,CB,OAK,MIN,10,51,82,0,0,0,0,0,2.9
274,1181,Martellus Bennett,TE,CHI,LA,10,65,100,0,5,5,5,4.80,2.8
275,14081,Dontari Poe,NT,KC,DEN,10,61,85,0,0,0,0,0,2.5
276,16003,Sammy Watkins,WR,BUF,NYJ,10,58,89,0,12,5,12,4.40,2.4
277,12196,Brice McCain,CB,MIA,PHI,10,95,99,0,0,0,0,0,2.1
278,16788,Byron Jones,FS,DAL,TB,10,70,100,0,0,0,0,0,2.1
279,17292,Donteea Dye,WR,TB,DAL,10,54,76,0,6,2,6,2.10,2
280,13415,Patrick Peterson,CB,ARI,SEA,10,60,98,0,0,0,0,0,1.7
281,11108,Earl Mitchell,DT,MIA,PHI,10,61,64,0,0,0,0,0,1.6
282,16902,Adrian Amos,FS,CHI,LA,10,63,100,0,0,0,0,0,1.6
283,11402,Sam Shields,CB,GB,DET,10,64,99,0,0,0,0,0,1.6
284,14020,Antwon Blake,CB,PIT,CLE,10,68,99,0,0,0,0,0,1.5
285,13275,Kyle Rudolph,TE,MIN,OAK,10,53,86,0,8,2,8,1.70,1.3
286,12861,Jordan Cameron,TE,MIA,PHI,10,52,78,0,6,2,6,1.50,1
287,292,Brandon Mebane,NT,SEA,ARI,10,54,61,0,0,0,0,0,0.9
288,15118,Marquess Wilson,WR,CHI,LA,10,59,91,0,5,2,5,1.10,0.2
289,6302,James Jones,WR,GB,DET,10,86,99,0,2,0,2,0,0
290,11313,Riley Cooper,WR,PHI,MIA,10,52,54,0,0,0,0,0,0
291,15127,Darius Slay,CB,DET,GB,10,87,100,0,0,0,0,0,0
292,15377,Devin Taylor,DE,DET,GB,10,56,64,0,0,0,0,0,0
293,16640,John Brown,WR,ARI,SEA,10,59,66,0,5,0,5,0,0
294,11023,Carlos Dunlap,DE,CIN,HOU,10,55,87,0,0,0,0,0,0
