"Corey Seager_LAD","Kurt Suzuki_ATL","Joc Pederson_LAD","Cody Bellinger_LAD","Tommy Pham_STL","Travis Shaw_MIL","Kike Hernandez_LAD","Chris Taylor_LAD","Dexter Fowler_STL","Freddie Freeman_ATL","Yasiel Puig_LAD","Domingo Santana_MIL","Justin Turner_LAD","Austin Barnes_LAD","Matt Carpenter_STL","Stephen Piscotty_STL","Aledmys Diaz_STL","Brandon Phillips_ATL","Ryan Braun_MIL","Paul DeJong_STL","Adrian Gonzalez_LAD","Chase Utley_LAD","Matt Kemp_ATL","Yasmani Grandal_LAD","Eric Thames_MIL","Matt Adams_ATL","Keon Broxton_MIL","Manny Pina_MIL","Franklin Gutierrez_LAD","Peter O'Brien_LAD","Jonathan Villar_MIL","Tyler Flowers_ATL","Ender Inciarte_ATL","Yadier Molina_STL","Randal Grichuk_STL","Hernan Perez_MIL","Jedd Gyorko_STL","Jose Martinez_STL","Jesus Aguilar_MIL","Nick Markakis_ATL","Trayce Thompson_LAD","Danny Santana_ATL","Adonis Garcia_ATL","Stephen Vogt_MIL","Orlando Arcia_MIL","Andrew Toles_LAD","Johan Camargo_ATL","Dansby Swanson_ATL","Willie Calhoun_LAD","Rob Segedin_LAD","Alex Verdugo_LAD","Kolten Wong_STL","Jace Peterson_ATL","Michael Reed_MIL","Harrison Bader_STL","Andre Ethier_LAD","Eric Sogard_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Lewis Brinson_MIL","Logan Forsythe_LAD","Micah Johnson_ATL","Greg Garcia_STL","Magneuris Sierra_STL","Jacob Nottingham_MIL","Rio Ruiz_ATL","Travis Demeritte_ATL","Carson Kelly_STL","Brett Phillips_MIL","Corey Ray_MIL","Eric Fryer_STL","Mike Freeman_LAD","Luke Voit_STL","Yadiel Rivera_MIL","Jett Bandy_MIL","Ryan Cordell_MIL","Sean Rodriguez_ATL","Kyle Farmer_LAD","Ronald Acuna_ATL","Brett Eibner_LAD","Alex Mejia_STL","Lane Adams_ATL"
0,10.8333333333333,0,0,0,0,0,0,0,10.8942917547569,0,0,0,0,0,0,0,-3.46503496503496,0,0,0,0,61.3447530864198,0,0,4.7479674796748,0,0,0,0,0,16.3681632653061,-0.769620253164557,0,0,0,0,0,0,8.52647352647353,0,-26.8351648351648,3.91692307692308,0,0,0,5.58817204301075,13.3439620081411,0,0,0,0,-6.17316017316017,0,0,0,0,0,0,0,0,0,0,0,0,-3.27777777777778,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0,0
21.346223428313,0,4.33192389006343,-1.53478523895947,0,0,0,-7.52216312056738,0,0,-1.60552884615385,0,2.22874149659864,-10.5,0,0,0,0,0,0,6.75238095238095,-6.48163265306122,0,47.8090766823161,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,-15.1666666666667,0,0,0,0,-2.10457516339869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0682788051209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19.6771099744246,0,0,0,0,0,-2.85384615384615,0,0,0,0,0,0,19.2273954116059,0,0,0,0,0,81.9289556962025,0,0.289171203871748,20.7961538461538,0,0,1.90705800139762,0,0,0,0,21.2714285714286,0,0,-0.666666666666667,0,0,0,0,54.55,1.05593561368209,0,0,0,0,0,0,0,0,0,0,0,15.0185185185185,15.65,0,9.71428571428571,0,0,0,0,0,0,0,0,-14.3214285714286,0,0,0,0,0,0.0873949579831933,0,0,0,0,0,0,0
0,8.38947368421053,0,0,0,0,0,0,0,4.18681318681319,0,0,0,0,0,0,0,22.7864693446089,0,0,0,0,4.7479674796748,0,0,98.0280612244898,0,0,0,0,0,28.2712643678161,10.0744680851064,0,0,0,0,0,0,35.1954787234043,0,30.6602564102564,147.5,0,0,0,7.26231527093596,12.9747899159664,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,7.20952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9.7172131147541,0,0,0,0,0,-2.50644841269841,0,0,0,0,0,0,-10.951724137931,0,0,0,0,0,0.289171203871748,0,73.483372456964,6.02402402402402,0,0,9.9030612244898,0,0,0,0,3.93882978723404,0,0,2.84833333333333,0,0,0,0,7.5,6.50769230769231,0,0,0,0,0,0,0,0,0,0,0,-19.1877470355731,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.3666666666667,0,0,0,0,0,0,0
0,0,0,0,0,15.0666666666667,0,0,0,0,0,4.37777777777778,0,0,0,0,0,0,13.1666666666667,0,0,0,0,0,20.7961538461538,0,6.02402402402402,49.3434661076171,0,0,25.1840336134454,0,0,0,0,20.7833333333333,0,0,21.3285714285714,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,-1.25816993464052,7,0,8.21428571428571,0,0,0,0,0,0,0,0,-11.4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.154545454545455,0,-2.5,0.714285714285714,0,0,0,0.377777777777778,0,0,30.8611111111111,0,9.66666666666667,-9.89090909090909,0,0,0,0,0,0,15,0,0,-4,0,0,0,0,27.2307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.80357142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83333333333333,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.38135593220339,0,0,0,0,0,4.177089421391,0,0,0,0,0,0,-8.08036984352774,0,0,0,0,0,1.90705800139762,0,9.9030612244898,25.1840336134454,0,0,60.1462063086104,0,0,0,0,10.7075757575758,0,0,7.01082251082251,0,0,0,0,-8.46666666666667,-0.868723532970357,0,0,0,0,0,0,0,0,0,0,0,-19.8194444444444,-19,0,33.3333333333333,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,7.40079365079365,0,0,0,0,0,0,0
0,4.5,0,0,0,0,0,0,0,5.49147727272727,0,0,0,0,0,0,0,8.30470588235294,0,0,0,0,16.3681632653061,0,0,28.2712643678161,0,0,0,0,0,40.9423728813559,7.65254237288136,0,0,0,0,0,0,14.4959273182957,0,22.1813186813187,-16.9166666666667,0,0,0,6.90513833992095,-0.862352941176471,0,0,0,0,-1.81045751633987,0,0,0,0,0,0,0,0,0,0,0,0,-0.346153846153846,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0
