Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
26,770925555,4Goose,0,151.35,OF José Bautista SS Troy Tulowitzki C Manny Piña 3B Justin Turner 1B Justin Smoak 2B Yolmer Sánchez P Jimmy Nelson P Jacob deGrom OF Joc Pederson OF Cody Bellinger,,Austin Barnes,9.68%,7
27,770776271,Gbolick05,0,150.25,1B Joey Votto OF Dexter Fowler 3B Justin Turner C Welington Castillo OF Gregory Polanco P Jimmy Nelson P Joe Ross 2B José Ramírez SS Corey Seager OF Cody Bellinger,,Jake Lamb,9.57%,3
28,770877465,klaybo17,0,149.75,P J.A. Happ 2B Daniel Murphy 1B Anthony Rizzo 3B Anthony Rendon C Willson Contreras OF Bryce Harper OF Joc Pederson P Trevor Bauer SS Trea Turner OF Cody Bellinger,,José Ramírez,9.30%,24
29,770926724,Realjojo55 (2/4),0,149.55,OF Matt Kemp SS Troy Tulowitzki 3B Josh Donaldson 1B Anthony Rizzo 2B Jason Kipnis OF Eric Thames C Willson Contreras P Jacob deGrom P Trevor Bauer OF Michael Conforto,,Miguel Cabrera,8.97%,2
29,770937617,Realjojo55 (4/4),0,149.55,OF Matt Kemp SS Troy Tulowitzki 3B Josh Donaldson 1B Anthony Rizzo 2B Jason Kipnis OF Eric Thames C Willson Contreras P Jacob deGrom P Trevor Bauer OF Michael Conforto,,Troy Tulowitzki,8.70%,10
31,770835597,frankierock (1/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Dexter Fowler,7.83%,21
31,770835690,frankierock (2/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Alex Avila,7.56%,10
31,770835691,frankierock (3/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Ian Kinsler,7.34%,0
31,770835692,frankierock (4/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Lucas Duda,7.29%,12
31,770835693,frankierock (5/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Wilmer Flores,7.07%,0
31,770835694,frankierock (6/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Logan Forsythe,6.80%,19
31,770835695,frankierock (7/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Evan Longoria,5.93%,22
31,770835696,frankierock (8/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Jacob Faria,5.49%,31.55
31,770835697,frankierock (9/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Eric Sogard,5.27%,10
31,770835698,frankierock (10/10),0,148.55,P J.A. Happ 3B Justin Turner C Alex Avila P Jimmy Nelson OF Joc Pederson 2B José Ramírez OF Mallex Smith SS Corey Seager OF Yasiel Puig 1B Cody Bellinger,,Buck Farmer,5.27%,-8.95
41,770710848,SleepyW,0,148.35,C Russell Martin 1B Carlos Santana 3B Justin Turner 2B Jason Kipnis OF Billy Hamilton OF Stephen Piscotty P Robbie Ray P Trevor Bauer SS Francisco Lindor OF Mallex Smith,,Melky Cabrera,4.84%,8
41,770756810,madoublet98 (1/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Jameson Taillon,4.79%,5.85
41,770756811,madoublet98 (2/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Jay Bruce,4.62%,4
41,770756812,madoublet98 (3/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Kevan Smith,4.40%,5
41,770756813,madoublet98 (4/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,José Reyes,4.24%,0
41,770756814,madoublet98 (5/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Russell Martin,4.13%,20
41,770756815,madoublet98 (6/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,John Lackey,3.97%,20.5
41,770756816,madoublet98 (7/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Lance Lynn,3.86%,-0.7
41,770756817,madoublet98 (8/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Michael Conforto,3.81%,19
41,770756818,madoublet98 (9/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Anthony Rizzo,3.70%,28
41,770756819,madoublet98 (10/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Carlos Santana,3.64%,4
41,770756820,madoublet98 (11/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Allen Cordoba,3.59%,0
41,770756821,madoublet98 (12/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,José Abreu,3.48%,7
41,770756822,madoublet98 (13/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Joey Votto,3.43%,2
41,770756823,madoublet98 (14/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Tim Anderson,3.43%,3
41,770756824,madoublet98 (15/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Jedd Gyorko,3.26%,0
41,770756825,madoublet98 (16/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Bryce Harper,3.10%,5
41,770756826,madoublet98 (17/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Lonnie Chisenhall,3.05%,2
41,770756827,madoublet98 (18/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Roberto Pérez,2.94%,6
41,770756828,madoublet98 (19/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Edwin Encarnación,2.88%,37
41,770756829,madoublet98 (20/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Kendrys Morales,2.88%,21
41,770756830,madoublet98 (21/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Alex Presley,2.83%,3
41,770756831,madoublet98 (22/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Lewis Brinson,2.77%,3
41,770756832,madoublet98 (23/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Greg Garcia,2.34%,0
41,770756833,madoublet98 (24/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Justin Bour,2.18%,10
41,770756834,madoublet98 (25/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Avisaíl García,1.90%,0
41,770756835,madoublet98 (26/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Dee Gordon,1.90%,15
41,770756836,madoublet98 (27/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Bradley Zimmer,1.85%,6
41,770756837,madoublet98 (28/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Daniel Murphy,1.79%,5
41,770756838,madoublet98 (29/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Daniel Robertson,1.74%,0
41,770756839,madoublet98 (30/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Kevin Pillar,1.74%,5
41,770756840,madoublet98 (31/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Manny Piña,1.69%,17
41,770756841,madoublet98 (32/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Corey Dickerson,1.63%,16
41,770756842,madoublet98 (33/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Matt Adams,1.58%,2
41,770756843,madoublet98 (34/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Eduardo Escobar,1.52%,11
41,770756844,madoublet98 (35/35),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,J.J. Hardy,1.31%,2
41,770907212,cubfan33 (1/2),0,148.35,OF José Bautista C Russell Martin 1B Kendrys Morales SS Troy Tulowitzki 2B Eric Sogard OF Eric Thames OF Keon Broxton 3B Manny Machado P Jimmy Nelson P Jacob deGrom,,Travis Shaw,1.20%,3
41,770907223,cubfan33 (2/2),0,148.35,OF José Bautista C Russell Martin 1B Kendrys Morales SS Troy Tulowitzki 2B Eric Sogard OF Eric Thames OF Keon Broxton 3B Manny Machado P Jimmy Nelson P Jacob deGrom,,James Shields,1.20%,7.35
41,770911105,youdacao (1/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,James McCann,1.14%,0
41,770911106,youdacao (2/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,J.D. Martinez,1.03%,0
41,770911107,youdacao (3/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Jorge Polanco,1.03%,0
41,770911108,youdacao (4/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Justin Smoak,1.03%,5
41,770911109,youdacao (5/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Mark Trumbo,0.98%,21
41,770911110,youdacao (6/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Trea Turner,0.98%,25
41,770911111,youdacao (7/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Luis Torrens,0.92%,2
41,770911112,youdacao (8/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,David Freese,0.92%,3
41,770911113,youdacao (9/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Matt Kemp,0.87%,5
41,770911114,youdacao (10/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Welington Castillo,0.87%,17
41,770911115,youdacao (11/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Matt Wieters,0.87%,0
41,770911116,youdacao (12/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Willson Contreras,0.87%,19
41,770911117,youdacao (13/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Kenta Maeda,0.82%,20.25
41,770911118,youdacao (14/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Matt Davidson,0.82%,0
41,770911119,youdacao (15/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Marcell Ozuna,0.82%,18
41,770911120,youdacao (16/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Billy Hamilton,0.76%,22
41,770911121,youdacao (17/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Grégor Blanco,0.71%,15
41,770911122,youdacao (18/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Christian Yelich,0.65%,12
41,770911123,youdacao (19/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Adam Jones,0.65%,10
41,770911124,youdacao (20/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Anthony Rendon,0.60%,0
41,770911125,youdacao (21/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Steve Pearce,0.60%,17
41,770911126,youdacao (22/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Javier Báez,0.60%,10
41,770911127,youdacao (23/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Stephen Piscotty,0.54%,28
41,770911128,youdacao (24/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Andrew McCutchen,0.54%,0
41,770911129,youdacao (25/50),0,148.35,C Yadier Molina OF Dexter Fowler OF Tommy Pham 3B Logan Forsythe 2B Jason Kipnis 1B Matt Carpenter P Jimmy Nelson P Jacob deGrom OF Joc Pederson SS Corey Seager,,Miguel Sanó,0.54%,0
