Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
11,773107620,ttc12,0,199.75,P Daniel Norris P Hyun-Jin Ryu 3B Kris Bryant OF J.D. Martinez OF Brett Gardner 1B Matt Adams OF Ian Happ C Buster Posey SS Addison Russell 2B Joe Panik,,Nelson Cruz,20.62%,4
12,772829794,ruskidoo (3/3),0,199.3,P Jake Arrieta OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner 2B Ian Happ OF Mitch Haniger C Buster Posey SS Addison Russell P Andrew Moore,,Manny Machado,19.73%,14
13,773006070,anilprao88 (43/150),0,198.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó SS Addison Russell C Willson Contreras OF Hunter Pence,,José Ramírez,18.64%,14
14,773057333,redzone408,0,198.2,P Hyun-Jin Ryu OF Aaron Judge OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner 2B Robinson Canó SS Addison Russell C Willson Contreras P Andrew Moore,,Aaron Hicks,17.83%,5
14,773059825,clevfan8,0,198.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant OF Nelson Cruz 2B Robinson Canó SS Addison Russell OF Nick Markakis C Yan Gomes,,Brett Gardner,17.53%,12
16,772986098,moklovin (106/150),0,197.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Didi Gregorius,17.47%,0
16,773009322,tebowtothecfl (2/4),0,197.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Edwin Encarnación,17.45%,10
16,773112483,invertedcheese (21/150),0,197.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Matt Adams,16.21%,21
19,773039994,LTFU (2/2),0,197.2,P Jake Arrieta P Hyun-Jin Ryu OF Aaron Judge 3B Kris Bryant 2B Starlin Castro OF Matt Kemp C Buster Posey SS Addison Russell OF Nick Markakis 1B Miguel Cabrera,,Andrew Moore,15.71%,18.15
19,773140260,q80minouma (1/2),0,197.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant 2B Jason Kipnis OF Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,Ender Inciarte,14.62%,10
21,773132994,Mirage88 (91/150),0,196.3,P Jake Arrieta 1B Edwin Encarnación 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó SS Addison Russell C Willson Contreras OF Mark Zagunis P Andrew Moore,,Nick Markakis,14.55%,29
22,773006112,anilprao88 (85/150),0,195.85,P Jake Arrieta P Steven Matz 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Javier Báez,14.19%,7
22,773103063,FantasyGuruDrew (32/50),0,195.85,P Jake Arrieta P Steven Matz 1B Edwin Encarnación 3B Kris Bryant OF Yoenis Céspedes OF Cameron Maybin SS Addison Russell OF Austin Slater C Willson Contreras 2B Joe Panik,,Willson Contreras,13.87%,16
22,773132984,Mirage88 (81/150),0,195.85,P Jake Arrieta P Steven Matz 1B Edwin Encarnación 3B Kris Bryant 2B Ian Kinsler OF Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras OF Albert Almora Jr.,,Miguel Cabrera,12.94%,19
25,772777384,Awesemo (26/150),0,194.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner OF Ender Inciarte 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,J.D. Martinez,12.78%,7
25,773013296,bric75 (54/100),0,194.85,P Jake Arrieta P Steven Matz 3B Kris Bryant SS Francisco Lindor OF Nelson Cruz 1B Matt Adams 2B Robinson Canó OF Matt Kemp C Buster Posey OF Nick Markakis,,Mike Clevinger,12.72%,12.05
25,773013323,bric75 (81/100),0,194.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 1B Matt Adams 2B Jason Kipnis OF Ian Happ SS Addison Russell C Willson Contreras OF Mark Zagunis,,Jean Segura,12.65%,5
28,773154129,gehrenberg (18/20),0,194.65,P Luis Severino 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Ender Inciarte SS Addison Russell C Willson Contreras OF Nick Markakis OF Kiké Hernández P Andrew Moore,,Anthony Rizzo,12.60%,11
29,773113767,PigskinABlanket (52/75),0,194.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ C Buster Posey OF Austin Slater SS Didi Gregorius 2B Joe Panik P Andrew Moore,,Buster Posey,12.03%,30
30,772984918,WhoWantsDaDitka,0,194.2,P Jake Arrieta P Mike Clevinger 1B Anthony Rizzo 3B Kris Bryant OF J.D. Martinez 2B Ian Kinsler OF Ian Happ OF Justin Upton C Buster Posey SS Addison Russell,,Matt Holliday,11.81%,2
30,773142543,darcmaniluk (92/150),0,194.2,P Jake Arrieta P Hyun-Jin Ryu OF Aaron Judge 3B Kris Bryant 1B Matt Adams OF Ender Inciarte SS Addison Russell C Willson Contreras OF Nick Markakis 2B Javier Báez,,Starlin Castro,11.80%,5
32,772862439,l800Eddie (32/55),0,193.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Brett Gardner 1B Matt Adams OF Ender Inciarte 2B Brandon Phillips C Buster Posey OF Nick Markakis SS Dansby Swanson,,Cody Bellinger,11.18%,14
33,772882998,JRoz09 (8/40),0,193.75,P Jake Arrieta P Jesse Chávez OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant OF Brett Gardner 2B Ian Happ SS Addison Russell C Willson Contreras OF Nick Markakis,,Logan Forsythe,11.01%,7
34,773136009,joeyh1980 (2/12),0,193.3,P Jake Arrieta OF Aaron Judge 3B Kris Bryant OF Brett Gardner OF Nelson Cruz 1B Matt Holliday 2B Ian Happ C Buster Posey SS Addison Russell P Andrew Moore,,Jonathan Schoop,10.85%,7
34,773138760,joeyh1980 (9/12),0,193.3,P Jake Arrieta OF Aaron Judge 3B Kris Bryant OF Brett Gardner OF Nelson Cruz 1B Matt Holliday 2B Ian Happ C Buster Posey SS Addison Russell P Andrew Moore,,Mark Trumbo,10.59%,0
34,773139024,joeyh1980 (12/12),0,193.3,P Jake Arrieta OF Aaron Judge 3B Kris Bryant OF Brett Gardner OF Nelson Cruz 1B Matt Holliday 2B Ian Happ C Buster Posey SS Addison Russell P Andrew Moore,,Alex Avila,10.22%,7
37,773006051,anilprao88 (24/150),0,192.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Addison Russell,10.18%,33
37,773018720,Msteinberg09 (84/100),0,192.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Brandon Phillips,9.75%,18
37,773097509,Stlbirds618,0,192.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Hunter Pence,9.44%,8
40,773153433,apple-bottom_jeans (41/47),0,192.75,P Daniel Norris P Hyun-Jin Ryu OF Aaron Judge 3B Kris Bryant OF Brett Gardner 1B Matt Adams OF Matt Kemp C Buster Posey SS Addison Russell 2B Joe Panik,,Jason Kipnis,9.28%,5
41,773039304,REDCOAT85 (38/150),0,191.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Matt Kemp OF Mitch Haniger SS Addison Russell C Willson Contreras OF Nick Markakis,,Daniel Norris,9.21%,8.7
41,773062210,ldlange24,0,191.85,P Jake Arrieta P Steven Matz 2B José Ramírez 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Yan Gomes,9.18%,5
43,772777436,Awesemo (78/150),0,191.2,P Luis Severino P Steven Matz 3B Kris Bryant OF Brett Gardner C Buster Posey OF Austin Slater 2B Joe Panik OF Nick Markakis 1B Miguel Cabrera SS Kelby Tomlinson,,Ian Happ,9.03%,25
43,772868351,crystalkali (28/150),0,191.2,P Jake Arrieta P Hyun-Jin Ryu 2B José Ramírez 1B Anthony Rizzo 3B Kris Bryant OF Seth Smith SS Addison Russell C Willson Contreras OF Nick Markakis OF Kiké Hernández,,Seth Smith,8.63%,14
43,773007370,redsoxsjerry,0,191.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Wilmer Flores,8.05%,0
43,773114040,capnbucko (32/150),0,191.2,P Luis Severino P Steven Matz 3B Kris Bryant 1B Matt Adams OF Matt Kemp C Buster Posey SS Addison Russell 2B Joe Panik OF Hunter Pence OF Gorkys Hernández,,Kyle Seager,7.87%,0
43,773147868,DollarBillW (81/150),0,191.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Mitch Haniger,7.70%,9
48,773154990,choirboy333,0,190.75,P Hyun-Jin Ryu P Steven Matz 3B Kris Bryant OF Brett Gardner OF Nelson Cruz OF Aaron Hicks 2B Robinson Canó 1B Buster Posey SS Addison Russell C Willson Contreras,,Trey Mancini,7.67%,3
49,773130070,Bobs205,0,190.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge OF Cody Bellinger SS Francisco Lindor 1B Matt Adams OF Ender Inciarte 2B Robinson Canó C Buster Posey 3B Cliff Pennington,,Justin Upton,7.50%,5
50,773103075,FantasyGuruDrew (44/50),0,189.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant 2B Jason Kipnis OF Jay Bruce C Buster Posey OF Cameron Maybin SS Addison Russell OF Austin Slater,,Dee Gordon,7.20%,6
51,773114685,soonerbernie2002 (2/2),0,189.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras,,Dansby Swanson,7.11%,8
52,773152685,squirrelpatroldk (65/150),0,188.85,P Jake Arrieta P Steven Matz 3B Kris Bryant 1B Matt Adams OF Ian Happ OF Ender Inciarte 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Albert Almora Jr.,,Austin Jackson,7.08%,22
52,772704264,ganondorf (80/150),0,188.85,P Steven Matz OF Aaron Judge 1B Edwin Encarnación 3B Kris Bryant OF Brett Gardner 2B Ian Happ SS Addison Russell C Willson Contreras OF Mark Zagunis P Andrew Moore,,Kelby Tomlinson,7.03%,7
54,773029056,ragingphilip (43/50),0,188.75,P Hyun-Jin Ryu P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó OF Mitch Haniger SS Addison Russell C Willson Contreras,,Welington Castillo,6.93%,6
54,773101848,Avib,0,188.75,P Steven Matz P Mike Clevinger OF Aaron Judge C Gary Sánchez 3B Kris Bryant SS Francisco Lindor 2B Ian Kinsler OF Marcell Ozuna 1B Buster Posey OF Nick Markakis,,Robinson Canó,6.63%,36
54,773104580,mavngoose (17/21),0,188.75,P Hyun-Jin Ryu P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó OF Mitch Haniger SS Addison Russell C Willson Contreras,,Yoenis Céspedes,6.58%,3
57,773092286,JohnnyPickEm,0,188.3,P Jake Arrieta OF Aaron Judge 2B José Ramírez 1B Edwin Encarnación 3B Kris Bryant OF Brett Gardner SS Addison Russell C Willson Contreras OF Gorkys Hernández P Andrew Moore,,Mike Zunino,6.24%,0
58,773103053,FantasyGuruDrew (22/50),0,187.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant 2B Ian Kinsler OF Ender Inciarte C Buster Posey OF Kole Calhoun SS Addison Russell OF Hunter Pence,,Kurt Suzuki,6.22%,10
58,773128036,DAndersen24 (1/2),0,187.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant OF Aaron Hicks 1B Matt Holliday OF Ian Happ SS Addison Russell C Willson Contreras 2B Cliff Pennington,,Chris Taylor,6.19%,4
60,773153799,kaneb (28/40),0,187.4,P Jake Arrieta P Wade Miley OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ OF Mitch Haniger C Buster Posey SS Addison Russell 2B Javier Báez,,Albert Almora Jr.,6.16%,0
61,773091057,cowboys282 (1/5),0,187.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras P Andrew Moore,,Nicholas Castellanos,6.15%,12
61,773114196,kevinofallon,0,187.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner OF Ender Inciarte 2B Brandon Phillips SS Addison Russell C Willson Contreras P Andrew Moore,,Giancarlo Stanton,6.01%,0
63,773042978,thedonknows (1/3),0,187.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge OF Cody Bellinger 3B Kris Bryant OF Brett Gardner 2B Ian Kinsler SS Addison Russell C Willson Contreras 1B John Hicks,,Ian Kinsler,5.95%,24
63,773151627,fultonion (3/3),0,187.2,P Jake Arrieta P Hyun-Jin Ryu 3B Kris Bryant OF J.D. Martinez 2B Ian Kinsler OF Ian Happ OF Justin Upton C Alex Avila 1B Buster Posey SS Addison Russell,,Kiké Hernández,5.81%,18
65,773049664,mizzoumadman (2/2),0,186.9,P Jake Arrieta P Jaime García OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Brett Gardner SS Addison Russell C Willson Contreras OF Nick Markakis 2B Cliff Pennington,,Ronald Torreyes,4.88%,3
66,773132918,Mirage88 (15/150),0,185.9,P Jaime García OF Aaron Judge 2B José Ramírez 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras P Andrew Moore,,Justin Turner,4.64%,14
67,772958911,jsilva1227,0,185.85,P Jake Arrieta P Daniel Norris OF Aaron Judge 3B Kris Bryant 2B Starlin Castro C Buster Posey OF Kyle Schwarber SS Addison Russell OF Curtis Granderson 1B Miguel Cabrera,,Johan Camargo,4.56%,2
67,772963824,ChipotleAddict (12/150),0,185.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Yasiel Puig,4.54%,2
67,773006058,anilprao88 (31/150),0,185.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Jeff Locke,4.21%,-3
67,773006176,anilprao88 (149/150),0,185.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Carlos Santana,3.97%,10
67,773020641,GetSnuggled (10/16),0,185.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,Marcell Ozuna,3.95%,17
67,773061787,TeeJayOrTj (34/70),0,185.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Matt Kemp SS Addison Russell C Willson Contreras OF Albert Almora Jr.,,Chris Carter,3.92%,10
67,773093964,mavngoose (2/21),0,185.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Nelson Cruz 1B Matt Adams OF Ian Happ OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras,,Alex Presley,3.88%,0
67,773142572,darcmaniluk (121/150),0,185.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis,,John Hicks,3.79%,7
75,772961505,Sebadiah23 (2/5),0,185.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Ian Happ OF Mitch Haniger SS Addison Russell C Willson Contreras P Andrew Moore,,Danny Valencia,3.72%,12
76,773130458,earlrene (3/4),0,185.2,P Mike Clevinger OF Aaron Judge OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF J.D. Martinez 2B Ian Happ SS Addison Russell C Willson Contreras P Andrew Moore,,Erik González,3.45%,14
77,772838202,JMPhinsForever (9/9),0,184.85,P Jake Arrieta P Steven Matz 3B Kris Bryant 1B Justin Bour 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Wade Miley,3.38%,3.25
77,772963851,ChipotleAddict (39/150),0,184.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF Nelson Cruz OF Ian Happ 2B Robinson Canó OF Mitch Haniger SS Addison Russell C Mike Zunino 1B Danny Valencia,,Austin Barnes,3.34%,18
79,773145198,GrandPoobah (1/3),0,184.65,P Luis Severino 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Ender Inciarte SS Addison Russell C Willson Contreras OF Nick Markakis OF Hunter Pence P Andrew Moore,,Jay Bruce,3.28%,4
80,773093963,mavngoose (1/21),0,184.2,P Luis Severino P Steven Matz 3B Manny Machado 1B Matt Adams OF Ender Inciarte 2B Robinson Canó SS Addison Russell OF Nick Markakis OF Hunter Pence C John Hicks,,Daniel Robertson,3.11%,2
80,773097126,damedash3,0,184.2,P Jake Arrieta P Mike Clevinger OF Aaron Judge 1B Cody Bellinger 3B Manny Machado OF Mark Trumbo 2B Robinson Canó C Buster Posey OF Nick Markakis SS Javier Báez,,Guillermo Heredia,3.09%,9
82,773101849,ep72,0,184.1,P Hyun-Jin Ryu P Mike Clevinger OF Aaron Judge 3B José Ramírez 1B Anthony Rizzo 2B Robinson Canó OF Christian Yelich OF Marcell Ozuna C Buster Posey SS Addison Russell,,Hyun Soo Kim,2.99%,5
83,773074723,sgtflipdcup (7/11),0,183.9,P Jake Arrieta P Jaime García 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Matt Kemp OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,J.T. Realmuto,2.87%,8
84,773067454,murphy458,0,183.85,P Jake Arrieta P Steven Matz 1B Edwin Encarnación 3B Kris Bryant OF Ender Inciarte 2B Brandon Phillips OF Austin Jackson OF Mitch Haniger SS Addison Russell C Willson Contreras,,Christian Yelich,2.80%,0
84,773086117,Don3000,0,183.85,P Jake Arrieta P Daniel Norris 3B Kris Bryant OF Brett Gardner 1B Matt Adams OF Aaron Hicks OF Seth Smith SS Addison Russell C Willson Contreras 2B Joe Panik,,Justin Bour,2.78%,3
84,773131888,kmikef84 (35/38),0,183.85,P Jake Arrieta P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Nelson Cruz 2B Ian Happ OF Giancarlo Stanton SS Addison Russell C Willson Contreras OF Nick Markakis,,Mark Zagunis,2.77%,7
84,773015020,hishboo (2/75),0,183.85,P Daniel Norris 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Brandon Crawford,2.76%,0
88,772874073,bcalicore (4/150),0,183.65,P Luis Severino 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell OF Nick Markakis C Kurt Suzuki P Andrew Moore,,Ben Gamel,2.73%,11
88,772969609,bigmac84 (2/3),0,183.65,P Luis Severino 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell OF Nick Markakis C Kurt Suzuki P Andrew Moore,,Joe Panik,2.64%,27
88,773158850,RamstoL.A2015,0,183.65,P Luis Severino OF Aaron Judge 1B Anthony Rizzo 2B Brandon Phillips C Buster Posey SS Addison Russell OF Nick Markakis 3B Logan Forsythe OF Hunter Pence P Andrew Moore,,Cameron Maybin,2.60%,27
91,773042921,BuckleUp12 (2/4),0,183.3,P Jake Arrieta OF Aaron Judge 1B Anthony Rizzo 3B Kris Bryant SS Jean Segura 2B Robinson Canó OF Christian Yelich C Buster Posey OF Austin Slater P Andrew Moore,,Franklin Gutierrez,2.46%,0
92,773015706,blix316 (3/3),0,183.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo 3B Kris Bryant 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Travis d'Arnaud,2.40%,14
92,773086220,AWinterbottom,0,183.2,P Jake Arrieta P Hyun-Jin Ryu 1B Anthony Rizzo OF J.D. Martinez 2B Starlin Castro OF Ian Happ C Buster Posey OF Cameron Maybin SS Addison Russell 3B Yunel Escobar,,José Iglesias,2.39%,2
94,772820866,MattL763,0,182.85,P Jake Arrieta P Steven Matz 3B Kris Bryant OF J.D. Martinez OF Nelson Cruz 2B Ian Kinsler OF Mark Trumbo C Buster Posey SS Addison Russell 1B Miguel Cabrera,,Austin Slater,2.34%,14
94,772986008,moklovin (16/150),0,182.85,P Jake Arrieta P Steven Matz 3B Kris Bryant SS Francisco Lindor 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips C Buster Posey OF Nick Markakis,,José Reyes,2.08%,3
94,773128255,willi55,0,182.85,P Jake Arrieta P Steven Matz C Gary Sánchez 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell OF Nick Markakis,,Matt Cain,1.88%,-9
94,773132960,Mirage88 (57/150),0,182.85,P Jake Arrieta P Steven Matz OF Aaron Judge 3B Kris Bryant OF J.D. Martinez 2B Ian Happ 1B Alex Avila SS Addison Russell C Willson Contreras OF Mark Zagunis,,Kole Calhoun,1.86%,6
94,773142459,darcmaniluk (8/150),0,182.85,P Jake Arrieta P Steven Matz 3B Kris Bryant SS Francisco Lindor 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips C Buster Posey OF Nick Markakis,,Luis Valbuena,1.83%,5
99,772782654,zech68 (2/4),0,182.8,P Jaime García P Hyun-Jin Ryu 2B José Ramírez 1B Edwin Encarnación 3B Kris Bryant OF Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,Curtis Granderson,1.76%,21
99,772929335,Machon24,0,182.8,P Jaime García P Hyun-Jin Ryu 2B José Ramírez 1B Edwin Encarnación 3B Kris Bryant OF Ian Happ OF Austin Jackson SS Addison Russell C Willson Contreras OF Nick Markakis,,Cliff Pennington,1.72%,19
101,772864406,day9292,0,182.65,P Luis Severino 3B Kris Bryant 1B Matt Adams OF Ender Inciarte OF Matt Kemp 2B Brandon Phillips SS Addison Russell C Willson Contreras OF Nick Markakis P Andrew Moore,,Martín Maldonado,1.64%,0
101,773064683,Joaq22,0,182.65,P Luis Severino 3B Kris Bryant OF Nelson Cruz 1B Matt Adams 2B Robinson Canó OF Matt Kemp C Buster Posey OF Nick Markakis SS Javier Báez P Andrew Moore,,JT Riddle,1.54%,0
103,772795304,juanshen (56/150),0,182.4,P Daniel Norris P Steven Matz 1B Anthony Rizzo 3B Kris Bryant OF Ian Happ C Buster Posey SS Addison Russell OF Austin Slater 2B Javier Báez OF Hunter Pence,,Rubén Tejada,1.50%,4
104,773068107,kapatos (2/7),0,182.2,P Hyun-Jin Ryu OF Aaron Judge OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF J.D. Martinez 2B Ian Happ SS Addison Russell C Willson Contreras P Andrew Moore,,Jesse Chávez,1.43%,-0.4
104,773108706,Methical242 (5/6),0,182.2,P Mike Clevinger OF Aaron Judge OF Cody Bellinger 1B Anthony Rizzo 3B Kris Bryant OF Chris Taylor 2B Ian Happ SS Addison Russell C Willson Contreras P Andrew Moore,,Derek Dietrich,1.43%,0
106,773056586,wafdawg (9/12),0,181.9,P Jake Arrieta P Jaime García 3B Kris Bryant 1B Matt Adams 2B Ian Happ OF Ender Inciarte OF Matt Kemp SS Addison Russell C Willson Contreras OF Nick Markakis,,Andrelton Simmons,1.40%,9
