"","X","X2017.04.02","X2017.04.03","X2017.04.04","X2017.04.05","X2017.04.06"
"162","Brandon Guyer_CLE",NA,NA,5,2,NA
"163","Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA
"164","Bradley Zimmer_CLE",NA,NA,NA,NA,NA
"165","Jacob May_CWS",NA,NA,NA,NA,NA
"166","JJ Hardy_BAL",NA,0,NA,0,NA
"167","Matt Adams_STL",NA,NA,NA,NA,NA
"168","Zack Cozart_CIN",NA,5,NA,8,NA
"169","Steve Pearce_TOR",NA,11,NA,0,0
"170","Colby Rasmus_TB",NA,NA,NA,NA,NA
"171","Corey Dickerson_TB",5,NA,NA,19,8
"172","Jesus Aguilar_MIL",NA,NA,5,NA,NA
"173","Ian Happ_CHC",NA,NA,NA,NA,NA
"174","Matt Szczur_CHC",NA,NA,NA,NA,NA
"175","JT Realmuto_MIA",NA,10,NA,23,NA
"176","Brett Nicholas_TEX",NA,NA,NA,NA,NA
"177","Yonder Alonso_OAK",NA,NA,7,3,NA
"178","Salvador Perez_KC",NA,3,NA,NA,NA
"179","Chris Herrmann_ARI",NA,NA,NA,NA,10
"180","Austin Jackson_CLE",NA,NA,10,0,NA
"181","Gleyber Torres_NYY",NA,NA,NA,NA,NA
"182","Craig Gentry_BAL",NA,NA,NA,NA,NA
"183","Joey Rickard_BAL",NA,NA,NA,0,NA
"184","Kolten Wong_STL",NA,NA,3,NA,NA
"185","Arismendy Alcantara_CIN",NA,NA,NA,NA,NA
"186","Logan Morrison_TB",24,NA,NA,8,5
"187","Matt Duffy_TB",NA,NA,NA,NA,NA
"188","Kevin Pillar_TOR",NA,7,NA,3,3
"189","Danny Valencia_SEA",NA,NA,8,0,2
"190","Yunel Escobar_LAA",NA,NA,5,4,NA
"191","Ben Revere_LAA",NA,NA,NA,NA,NA
"192","Martin Prado_MIA",NA,NA,NA,NA,NA
"193","Wilmer Flores_NYM",NA,NA,NA,NA,16
"194","Ryan Rua_TEX",NA,NA,2,NA,NA
"195","Jed Lowrie_OAK",NA,NA,24,0,NA
"196","Cheslor Cuthbert_KC",NA,NA,NA,NA,NA
"197","Alcides Escobar_KC",NA,0,NA,NA,NA
"198","Yan Gomes_CLE",NA,NA,4,NA,NA
"199","Socrates Brito_ARI",NA,NA,NA,NA,NA
"200","Matt Davidson_CWS",NA,NA,NA,NA,NA
"201","Charlie Tilson_CWS",NA,NA,NA,NA,NA
"202","Austin Romine_NYY",NA,NA,NA,NA,NA
"203","Harrison Bader_STL",NA,NA,NA,NA,NA
"204","Taylor Motter_SEA",NA,NA,NA,NA,NA
"205","Andrelton Simmons_LAA",NA,NA,7,12,NA
"206","Leonys Martin_SEA",NA,NA,0,12,0
"207","Andrew Susac_MIL",NA,NA,NA,NA,NA
"208","Tommy La Stella_CHC",NA,NA,NA,NA,NA
"209","Kirk Nieuwenhuis_MIL",NA,NA,NA,0,NA
"210","Jake Smolinski_OAK",NA,NA,NA,NA,NA
"211","Marwin Gonzalez_HOU",NA,NA,14,NA,16
"212","Mike Moustakas_KC",NA,14,NA,NA,NA
"213","Paulo Orlando_KC",NA,0,NA,NA,NA
"214","Billy Burns_KC",NA,NA,NA,NA,NA
"215","Giovanny Urshela_CLE",NA,NA,NA,NA,NA
"216","Danny Santana_MIN",NA,NA,NA,NA,NA
"217","Ronald Torreyes_NYY",2,NA,16,0,NA
"218","Jose Martinez_STL",NA,NA,NA,NA,NA
"219","Jesse Winker_CIN",NA,NA,NA,NA,NA
"220","Jake Bauers_TB",NA,NA,NA,NA,NA
"221","Tim Beckham_TB",7,NA,3,0,0
"222","Danny Espinosa_LAA",NA,NA,18,9,NA
"223","Travis d'Arnaud_NYM",NA,NA,NA,3,9
"224","Justin Bour_MIA",NA,0,NA,2,NA
"225","Jason Castro_MIN",NA,12,NA,NA,NA
"226","Patrick Kivlehan_CIN",NA,NA,NA,NA,NA
"227","Justin Smoak_TOR",NA,NA,NA,10,3
"228","Rowdy Tellez_TOR",NA,NA,NA,NA,NA
"229","Dalton Pompey_TOR",NA,NA,NA,NA,NA
"230","Jarrod Dyson_SEA",NA,NA,5,8,5
"231","Manny Pina_MIL",NA,NA,NA,0,NA
"232","Tyler Moore_MIA",NA,NA,NA,NA,NA
"233","Derek Dietrich_MIA",NA,0,NA,4,NA
"234","TJ Rivera_NYM",NA,NA,NA,NA,NA
"235","Brandon Nimmo_NYM",NA,NA,NA,NA,NA
"236","Hanser Alberto_TEX",NA,NA,NA,NA,NA
"237","Matt Joyce_OAK",NA,NA,0,3,NA
"238","Michael Martinez_CLE",NA,NA,NA,NA,NA
"239","Yandy Diaz_CLE",NA,NA,0,10,NA
"240","Leury Garcia_CWS",NA,NA,NA,NA,NA
"241","Eduardo Escobar_MIN",NA,NA,NA,NA,NA
"242","Ryan Flaherty_BAL",NA,NA,NA,NA,NA
"243","Greg Garcia_STL",NA,NA,NA,NA,NA
"244","Jarrod Saltalamacchia_TOR",NA,NA,NA,NA,NA
"245","Mike Zunino_SEA",NA,NA,3,5,NA
"246","Ben Gamel_SEA",NA,NA,NA,NA,NA
"247","Jett Bandy_MIL",NA,5,6,NA,NA
"248","Adam Rosales_OAK",NA,NA,NA,NA,NA
"249","Ryan O'Hearn_KC",NA,NA,NA,NA,NA
"250","Jake Marisnick_HOU",NA,NA,NA,0,0
"251","Chris Iannetta_ARI",NA,NA,NA,5,NA
"252","Geovany Soto_CWS",NA,NA,NA,NA,NA
"253","Caleb Joseph_BAL",NA,NA,NA,NA,NA
"254","Devin Mesoraco_CIN",NA,NA,NA,NA,NA
"255","Ezequiel Carrera_TOR",NA,10,NA,NA,NA
"256","Guillermo Heredia_SEA",NA,NA,NA,NA,NA
"257","Juan Lagares_NYM",NA,NA,NA,NA,NA
"258","Drew Robinson_TEX",NA,NA,NA,NA,NA
"259","Terrance Gore_KC",NA,NA,NA,NA,NA
"260","Roberto Perez_CLE",NA,NA,NA,5,NA
"261","Daniel Descalso_ARI",NA,NA,NA,NA,3
"262","Omar Narvaez_CWS",NA,NA,NA,NA,NA
"263","Pete Kozma_NYY",NA,NA,NA,NA,NA
"264","Tucker Barnhart_CIN",NA,5,NA,5,NA
"265","Carson Kelly_STL",NA,NA,NA,NA,NA
"266","Stuart Turner_CIN",NA,NA,NA,NA,NA
"267","Curt Casali_TB",NA,NA,NA,NA,NA
"268","Shawn O'Malley_SEA",NA,NA,NA,NA,NA
"269","Destin Hood_MIA",NA,NA,NA,NA,NA
"270","Christian Colon_KC",NA,NA,NA,NA,NA
"271","Nick Ahmed_ARI",NA,NA,NA,7,NA
"272","Chris Gimenez_MIN",NA,NA,NA,NA,NA
"273","Yolmer Sanchez_CWS",NA,NA,NA,NA,NA
"274","Ehire Adrianza_MIN",NA,NA,NA,NA,NA
"275","Derek Norris_TB",3,NA,0,14,NA
"276","Daniel Robertson_TB",NA,NA,0,NA,NA
"277","Carlos Ruiz_SEA",NA,NA,NA,NA,4
"278","Eloy Jimenez_CHC",NA,NA,NA,NA,NA
"279","Adeiny Hechavarria_MIA",NA,0,NA,3,NA
"280","Ichiro Suzuki_MIA",NA,NA,NA,NA,NA
"281","Eric Fryer_STL",NA,NA,NA,NA,NA
"282","Luke Maile_TB",NA,NA,NA,NA,NA
"283","Darwin Barney_TOR",NA,NA,NA,NA,10
"284","Peter Bourjos_TB",NA,NA,2,NA,NA
"285","Martin Maldonado_LAA",NA,NA,9,5,NA
"286","Carlos Perez_LAA",NA,NA,NA,NA,NA
"287","Rene Rivera_NYM",NA,3,NA,NA,NA
"288","AJ Ellis_MIA",NA,NA,NA,NA,NA
"289","Ty Kelly_NYM",NA,NA,NA,NA,NA
"290","Raul Mondesi_KC",NA,0,NA,NA,NA
"291","Jeff Mathis_ARI",18,NA,0,NA,4
"292","Jesus Sucre_TB",NA,NA,NA,NA,0
"293","Ryan Goins_TOR",NA,NA,NA,NA,NA
"294","Zack Collins_CWS",NA,NA,NA,NA,NA
"295","Rickie Weeks_TB",NA,NA,0,NA,NA
"296","Cliff Pennington_LAA",NA,NA,NA,NA,NA
"297","Miguel Rojas_MIA",NA,NA,NA,NA,NA
"298","Drew Butera_KC",NA,NA,NA,NA,NA
