"Anthony Rizzo_CHC","Charlie Blackmon_COL","Kris Bryant_CHC","Nolan Arenado_COL","Ian Desmond_COL","Kyle Schwarber_CHC","Ben Zobrist_CHC","Javier Baez_CHC","David Dahl_COL","Trevor Story_COL","Willson Contreras_CHC","Jason Heyward_CHC","Addison Russell_CHC","DJ LeMahieu_COL","Carlos Gonzalez_COL","Wil Myers_SD","Albert Almora_CHC","Mark Reynolds_COL","Rougned Odor_TEX","Miguel Montero_CHC","Jon Jay_CHC","Shin-Soo Choo_TEX","Adrian Beltre_TEX","Pat Valaika_COL","Gerardo Parra_COL","Ian Happ_CHC","Mike Napoli_TEX","Carlos Gomez_TEX","Tommy La Stella_CHC","Elvis Andrus_TEX","Joey Gallo_TEX","Ryan Schimpf_SD","Nomar Mazara_TEX","Stephen Cardullo_COL","Raimel Tapia_COL","Matt Szczur_SD","Jonathan Lucroy_TEX","Yangervis Solarte_SD","Dustin Garneau_COL","Delino DeShields_TEX","Manuel Margot_SD","Tom Murphy_COL","Alex Dickerson_SD","Hunter Renfroe_SD","Jurickson Profar_TEX","Cory Spangenberg_SD","Robinson Chirinos_TEX","Travis Jankowski_SD","Tony Wolters_COL","Eloy Jimenez_CHC","Pete Kozma_TEX","Brett Nicholas_TEX","Ryan Rua_TEX","Ryan Hanigan_COL","Cristhian Adames_COL","Christian Bethancourt_SD","Austin Hedges_SD","Alexi Amarista_COL","Erick Aybar_SD","Hanser Alberto_TEX","Luis Sardinas_SD","Allen Cordoba_SD","Jabari Blash_SD","Hector Sanchez_SD","Drew Robinson_TEX","Luis Torrens_SD"
0,5.4,0,14.05,0,0,0,0,0,-10.25,0,0,0,2.5,-7.66666666666667,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372294372294372,0,0,5.7719298245614,0,0,0,0,-1.24675324675325,-5.21666666666667,0,18.7229437229437,9.26666666666667,0,21.0421052631579,0,0,0,42.8225108225108,0,0,16.9727272727273,0,0,0,0,5.17857142857143,0,0,0,0,0,0,0,-6.35714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09425287356322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97538461538462,0,0,0,0,0,31.7885057471264,0,0,8.54679802955665,0,0,-5.14655172413793,0,-4,0,0.83974358974359,0,0,0,0,0,0,0,0,-3.41666666666667,0,9.71225071225071,0,-6.66666666666667,-3.6,9.16666666666667,0,0,-5
0,7.00641025641026,0,-3.81060606060606,91,0,0,0,0,-4.31818181818182,0,0,0,7.57575757575758,0.722222222222222,0,0,0.672727272727273,0,0,0,0,0,-21,-1.33333333333333,0,0,0,0,0,0,0,0,15.7,0,0,0,0,24.2307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3666666666667,0,0,49.7878787878788,0,0,0,0,-5.28571428571429,18.1857142857143,0,20.0571428571429,11.0238095238095,0,4.67948717948718,0,0,0,16.9727272727273,0,0,59.85,0,0,0,0,0,0,-85.55,0,0,0,0,0,53.8571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41995073891626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65833333333333,0,0,0,0,0,8.54679802955665,0,0,30.8103448275862,0,0,1.69312169312169,0,-0.214285714285714,0,-5.04545454545455,0,0,0,0,0,0,0,0,-4.25724637681159,0,7.72615384615385,0,-11.1666666666667,7,-7.19047619047619,0,0,3.33333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46674876847291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.8166666666667,0,0,0,0,0,-5.14655172413793,0,0,1.69312169312169,0,0,35.3817733990148,0,-1.52380952380952,0,-6.3974358974359,0,0,0,0,0,0,0,0,1.10144927536232,0,-3.90769230769231,0,-41.3333333333333,15.1,7.8,0,0,7.33333333333333
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.57575757575758,0,0,12.3030303030303,0,0,0,0,-4.18181818181818,4.15909090909091,0,5.59090909090909,2.26515151515152,0,14.9545454545455,0,0,0,5.17857142857143,0,0,0,0,0,0,0,8.81060606060606,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,-4,0,0,-0.214285714285714,0,0,-1.52380952380952,0,13.6428571428571,0,0,0,0,0,0,0,0,0,0,19.4047619047619,0,-1.64285714285714,0,0,0,-35,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,2.53571428571429,0,0,0,0,-15,-14.0416666666667,0,20.1428571428571,48.7222222222222,0,2.5,0,0,0,0,0,0,-85.55,0,0,0,0,26,0,132.027777777778,0,0,0,0,0,48.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.87179487179487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08333333333333,0,0,0,0,0,0.83974358974359,0,0,-5.04545454545455,0,0,-6.3974358974359,0,0,0,11.1025641025641,0,0,0,0,0,0,0,0,-16.3181818181818,0,2.21818181818182,0,0,0,0,0,0,0
0,30.8,0,-3.34285714285714,0,0,0,0,0,4.46153846153846,0,0,0,0.0879120879120879,11.2142857142857,0,0,9.77472527472528,0,0,0,0,0,0,7.99358974358974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4679487179487,0,0,60.75,0,0,0,0,-15.3272727272727,22.3409090909091,0,14.3012820512821,30.5909090909091,0,3.66363636363636,0,0,0,-6.35714285714286,0,0,53.8571428571429,0,0,0,0,0,0,48.25,0,0,0,0,0,45.0897435897436,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.19480519480519,0,0,0,0,0,-3.41666666666667,0,0,-4.25724637681159,0,0,1.10144927536232,0,19.4047619047619,0,-16.3181818181818,0,0,0,0,0,0,0,0,68.1666666666667,0,-5.55411255411255,0,73.5,1.66666666666667,-10.047619047619,0,0,0
0,-17.6666666666667,0,6,-23,0,0,0,0,0,0,0,0,11,-4.33333333333333,0,0,31.5,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6666666666667,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33760683760684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.8695652173913,0,0,0,0,0,9.71225071225071,0,0,7.72615384615385,0,0,-3.90769230769231,0,-1.64285714285714,0,2.21818181818182,0,0,0,0,0,0,0,0,-5.55411255411255,0,37.9173789173789,0,0,-10.75,-7.66666666666667,0,0,-2.66666666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66666666666667,0,0,-11.1666666666667,0,0,-41.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,73.5,0,0,0,26.3333333333333,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16666666666667,0,0,0,0,0,-3.6,0,0,7,0,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,-10.75,0,3,5.1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1,0,0,0,0,0,9.16666666666667,0,0,-7.19047619047619,0,0,7.8,0,-35,0,0,0,0,0,0,0,0,0,0,-10.047619047619,0,-7.66666666666667,0,0,0,36.2380952380952,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,-5,0,0,3.33333333333333,0,0,7.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66666666666667,0,0,0,0,0,0,1.33333333333333
