"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14","2017-04-15"
"Jacoby Ellsbury_NYY",2,NA,10,20,NA,3,5,NA,7,NA,10,4,13,11
"Aaron Judge_NYY",7,NA,5,0,NA,2,NA,23,17,NA,25,2,0,NA
"Carlos Beltran_HOU",NA,NA,0,6,3,10,10,NA,3,8,14,NA,5,2
"Rajai Davis_OAK",NA,NA,17,0,NA,0,14,4,8,NA,14,16,0,NA
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3,10,0,NA
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11,0,NA,3,NA,5,2
"Jake Lamb_ARI",0,NA,20,7,20,12,9,5,3,21,20,NA,NA,5
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA,3,5,9,33
"Eduardo Nunez_SF",25,NA,10,13,2,NA,5,7,3,19,NA,2,9,0
"Tyler Saladino_CWS",NA,NA,NA,NA,NA,3,16,NA,NA,NA,0,NA,5,NA
"Eddie Rosario_MIN",NA,3,NA,NA,NA,0,5,0,NA,NA,5,5,3,NA
"Byron Buxton_MIN",NA,0,NA,NA,NA,0,5,0,NA,NA,NA,10,0,7
"Adrian Beltre_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logan Forsythe_LAD",NA,11,8,0,NA,NA,NA,19,8,NA,4,0,10,13
"Joc Pederson_LAD",NA,22,NA,2,NA,NA,2,NA,5,NA,2,NA,5,NA
"Yasmany Tomas_ARI",0,NA,0,10,NA,16,20,NA,14,10,4,NA,0,NA
"Brandon Belt_SF",4,NA,10,24,9,NA,5,6,4,0,6,3,5,NA
"Jorge Polanco_MIN",NA,12,NA,NA,NA,0,7,17,NA,NA,2,5,8,7
"Avisail Garcia_CWS",NA,NA,NA,NA,NA,5,31,7,NA,NA,7,19,6,2
"Starlin Castro_NYY",11,NA,0,0,NA,6,8,7,16,NA,8,7,19,2
"Didi Gregorius_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trevor Plouffe_OAK",NA,NA,0,3,NA,0,NA,3,0,NA,11,3,14,18
"Josh Reddick_HOU",NA,NA,3,5,NA,3,NA,5,0,8,18,NA,0,NA
"Mitch Haniger_SEA",NA,NA,7,11,21,5,16,18,12,15,8,NA,8,8
"Justin Turner_LAD",NA,19,3,13,NA,NA,0,16,2,NA,NA,7,14,11
"Denard Span_SF",6,NA,NA,NA,NA,NA,2,5,5,NA,12,3,9,2
"Greg Bird_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jhonny Peralta_STL",3,NA,3,NA,NA,0,NA,0,5,0,NA,NA,2,2
"Ryon Healy_OAK",NA,NA,19,0,NA,0,5,0,5,NA,12,3,0,0
"Marcus Semien_OAK",NA,NA,9,3,NA,4,19,3,0,NA,13,0,9,NA
"Norichika Aoki_HOU",NA,NA,NA,NA,5,0,NA,0,NA,NA,10,NA,19,17
"Mike Napoli_TEX",NA,NA,9,0,NA,0,14,2,NA,8,21,0,2,0
"Elvis Andrus_TEX",NA,NA,2,17,NA,7,0,5,NA,21,19,17,11,0
"Carlos Gomez_TEX",NA,NA,0,4,NA,20,0,2,NA,0,16,14,6,2
"David Peralta_ARI",0,NA,0,NA,25,6,16,8,2,0,13,NA,NA,0
"Joe Panik_SF",12,NA,17,5,NA,NA,3,NA,4,9,7,5,0,3
"Matt Adams_STL",NA,NA,NA,NA,NA,NA,6,3,NA,NA,0,NA,3,NA
"Brian McCann_HOU",NA,NA,14,NA,3,NA,17,7,NA,4,6,NA,16,NA
"Danny Valencia_SEA",NA,NA,8,0,2,3,5,2,2,3,NA,NA,2,8
"Nomar Mazara_TEX",NA,NA,10,24,NA,32,0,6,NA,8,7,16,5,0
"Yasmani Grandal_LAD",NA,30,0,0,NA,NA,4,NA,8,NA,2,5,8,NA
"Chase Utley_LAD",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA
"Brandon Drury_ARI",3,NA,9,7,NA,15,21,2,0,0,5,NA,0,7
"Chris Owings_ARI",8,NA,5,26,0,NA,7,32,5,3,3,NA,10,NA
"Franklin Gutierrez_LAD",NA,NA,3,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA
"Brandon Crawford_SF",10,NA,21,7,7,NA,5,8,9,NA,4,NA,19,0
"Gerardo Parra_COL",NA,8,19,5,NA,NA,17,11,5,0,2,NA,NA,NA
"Matt Davidson_CWS",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,18,17,NA
"Charlie Tilson_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kolten Wong_STL",NA,NA,3,NA,NA,3,6,NA,9,NA,0,NA,0,NA
"Chase Headley_NYY",13,NA,24,10,NA,0,6,4,21,NA,10,3,15,9
"Stephen Vogt_OAK",NA,NA,0,5,NA,5,2,NA,10,NA,10,0,NA,5
"Yuli Gurriel_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Fisher_HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joey Gallo_TEX",NA,NA,19,4,NA,4,0,25,NA,2,16,12,5,5
"Taylor Motter_SEA",NA,NA,NA,NA,NA,NA,NA,4,NA,17,21,NA,3,20
"Leonys Martin_SEA",NA,NA,0,12,0,NA,0,3,8,0,0,NA,NA,5
"Danny Santana_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,7
"Harrison Bader_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delino DeShields_TEX",NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0
"Cody Bellinger_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Taylor_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Hazelbaker_ARI",NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,0
"Jarrett Parker_SF",0,NA,NA,0,NA,NA,0,NA,7,NA,17,0,NA,0
"Jason Castro_MIN",NA,12,NA,NA,NA,NA,16,2,NA,NA,4,NA,2,NA
"Jose Martinez_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,3
"Pete Kozma_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Aaron Hicks_NYY",NA,NA,NA,NA,NA,NA,11,3,NA,NA,8,32,NA,8
"Josh Phegley_OAK",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,0,NA
"Mark Canha_OAK",NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,0,3,NA
"Jarrod Dyson_SEA",NA,NA,5,8,5,2,2,NA,9,7,9,NA,13,2
"Chris Herrmann_ARI",NA,NA,NA,NA,10,NA,NA,0,NA,NA,NA,NA,NA,0
"Trayce Thompson_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Nick Hundley_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,NA,5,0
"Stephen Cardullo_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,10
"Chris Gimenez_MIN",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,9,NA,5
"Eduardo Escobar_MIN",NA,NA,NA,NA,NA,9,3,NA,NA,NA,0,NA,NA,7
"Leury Garcia_CWS",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,8,9,0
"Jacob May_CWS",NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,0
"Greg Garcia_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
"Yonder Alonso_OAK",NA,NA,7,3,NA,14,21,NA,2,NA,5,NA,NA,11
"Marwin Gonzalez_HOU",NA,NA,14,NA,16,NA,7,18,2,4,NA,NA,8,NA
"Mike Zunino_SEA",NA,NA,3,5,NA,3,5,NA,7,NA,3,NA,0,5
"Jurickson Profar_TEX",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,9,5,NA
"Ben Gamel_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austin Barnes_LAD",NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,14
"Socrates Brito_ARI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dustin Garneau_COL",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,9
"Mac Williamson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cody Asche_CWS",NA,NA,NA,NA,NA,0,NA,3,NA,NA,6,7,NA,0
"Gleyber Torres_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jed Lowrie_OAK",NA,NA,24,0,NA,4,15,2,0,NA,13,8,3,5
"Guillermo Heredia_SEA",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,NA
"Rob Segedin_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tom Murphy_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelby Tomlinson_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geovany Soto_CWS",NA,NA,NA,NA,NA,2,14,NA,NA,NA,NA,NA,NA,NA
"Omar Narvaez_CWS",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,10,NA,3
"Austin Romine_NYY",NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,8,17,NA
"Jake Smolinski_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Marisnick_HOU",NA,NA,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,10
"Robinson Chirinos_TEX",NA,NA,0,NA,NA,NA,NA,25,NA,NA,NA,18,NA,NA
"Brett Nicholas_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shawn O'Malley_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andre Ethier_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Toles_LAD",NA,8,NA,2,NA,NA,14,NA,NA,NA,17,NA,21,NA
"Pat Valaika_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yolmer Sanchez_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ehire Adrianza_MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willy Garcia_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carson Kelly_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ronald Torreyes_NYY",2,NA,16,0,NA,0,10,18,2,NA,NA,3,3,7
"Carlos Ruiz_SEA",NA,NA,NA,NA,4,NA,NA,12,NA,4,NA,NA,NA,NA
"Ryan Rua_TEX",NA,NA,2,NA,NA,NA,0,14,NA,0,NA,NA,NA,0
"Scott Van Slyke_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"Kike Hernandez_LAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Wolters_COL",NA,10,2,0,NA,NA,NA,14,0,5,NA,NA,3,NA
"Gorkys Hernandez_SF",NA,NA,20,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA
"Eric Fryer_STL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Matt Joyce_OAK",NA,NA,0,3,NA,21,4,NA,3,NA,7,NA,NA,2
"Chris Iannetta_ARI",NA,NA,NA,5,NA,2,NA,NA,NA,7,NA,NA,NA,NA
"Conor Gillaspie_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,0
"Kyle Higashioka_NYY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,0
"Adam Rosales_OAK",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3,2
"Mike Freeman_SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hanser Alberto_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Descalso_ARI",NA,NA,NA,NA,3,NA,NA,10,NA,NA,NA,NA,0,4
"Cristhian Adames_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Kevan Smith_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"Jaff Decker_OAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Ahmed_ARI",NA,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,3,23
"Alexi Amarista_COL",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA
"Raimel Tapia_COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zack Collins_CWS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tim Federowicz_SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"Drew Robinson_TEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Mathis_ARI",18,NA,0,NA,4,NA,5,NA,5,NA,0,NA,0,NA
"Aaron Hill_SF",NA,NA,NA,NA,16,NA,NA,3,NA,0,NA,NA,NA,NA
"Chris Marrero_SF",NA,NA,2,NA,0,NA,NA,5,NA,2,NA,NA,19,NA
