"Player.Name","Pos","Salary","Team","Opp","Proj.FP","Actual.FP","Ownership.Pctg"
"Josh Huff","WR",3000,"PHI","PIT",3.2,6,0.00183772106252948
"Bryce Treggs","WR",3000,"PHI","PIT",0,0,0.000204191229169942
"Lance Dunbar","RB",3000,"DAL","CHI",5.6,6.1,0.0053089719584185
"Rod Smith","RB",3000,"DAL","CHI",0,0,0.000204191229169942
"Keith Smith","RB",3000,"DAL","CHI",0,0,0.000204191229169942
"Paul Lasike","RB",3000,"CHI","@DAL",0,0,0.000204191229169942
"Darius Jackson","RB",3000,"DAL","CHI",0,0,0.00204191229169942
"Deonte Thompson","WR",3000,"CHI","@DAL",0,0,0.000408382458339884
"Brice Butler","WR",3000,"DAL","CHI",1.3,0,0.00265448597920925
"Josh Bellamy","WR",3000,"CHI","@DAL",0,0,0
"Cameron Meredith","WR",3000,"CHI","@DAL",0,3.4,0.000408382458339884
"Lucky Whitehead","WR",3000,"DAL","CHI",0,0.3,0.00551316318758844
"John Kuhn","RB",3000,"NO","ATL",2.2,6.3,0
"Patrick DiMarco","RB",3000,"ATL","@NO",0,0,0
"Marcus Murphy","RB",3000,"NO","ATL",0,0,0
"Terron Ward","RB",3000,"ATL","@NO",0,0,0
"Daniel Lasco","RB",3000,"NO","ATL",0,0,0
"Eric Weems","WR",3000,"ATL","@NO",0,0,0
"Aldrick Robinson","WR",3000,"ATL","@NO",1.2,1.4,0
"Brandon Coleman","WR",3000,"NO","ATL",8.4,14.8,0
"Justin Hardy","WR",3000,"ATL","@NO",4.8,10.6,0
"Tommylee Lewis","WR",3000,"NO","ATL",5.2,7.4,0
"Taylor Gabriel","WR",3000,"ATL","@NO",0,5.3,0
"Charles Clay","TE",2900,"BUF","ARI",8.8,0,0.366931638818386
"Jordan Cameron","TE",2900,"MIA","CLE",0,1.5,4.36622105334088
"Austin Seferian-Jenkins","TE",2900,"TB","LA",0,0,0.173766736023621
"Vance McDonald","TE",2900,"SF","@SEA",6,2.4,0.555604334571413
