"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
41,737487051,"randan626 (2/3)",0,162.9,"P Dylan Bundy P Héctor Santiago C Jett Bandy 1B Joey Votto 2B Daniel Murphy 3B Travis Shaw SS Trea Turner OF Nelson Cruz OF Billy Hamilton OF Adam Duvall",NA,"Julio Teheran","7.31%",17.45
42,737687516,"RockStarTix (1/2)",0,161.4,"P James Paxton P Dylan Bundy C Jett Bandy 1B Eric Thames 2B Daniel Murphy 3B Travis Shaw SS Chris Owings OF Mike Trout OF David Peralta OF A.J. Pollock",NA,"Robert Gsellman","6.97%",-4.8
43,737700815,"mitch-a-palooza",0,160.55,"P José Quintana P Héctor Santiago C Jett Bandy 1B Joey Votto 2B Daniel Murphy 3B Miguel Sanó SS Trea Turner OF Avisaíl García OF Shane Peterson OF Billy Hamilton",NA,"Avisaíl García","6.72%",16
44,737603797,"CAPT-ATL (1/3)",0,160.4,"P James Paxton P Dylan Bundy C Brian McCann 1B Ryan Zimmerman 2B Robinson Canó 3B Travis Shaw SS Jean Segura OF Lorenzo Cain OF Avisaíl García OF Ryan Braun",NA,"Jay Bruce","6.55%",10
44,737609532,"CAPT-ATL (2/3)",0,160.4,"P James Paxton P Dylan Bundy C Brian McCann 1B Ryan Zimmerman 2B Robinson Canó 3B Travis Shaw SS Jean Segura OF Lorenzo Cain OF Avisaíl García OF Ryan Braun",NA,"Eugenio Suárez","6.38%",0
44,737609589,"CAPT-ATL (3/3)",0,160.4,"P James Paxton P Dylan Bundy C Brian McCann 1B Ryan Zimmerman 2B Robinson Canó 3B Travis Shaw SS Jean Segura OF Lorenzo Cain OF Avisaíl García OF Ryan Braun",NA,"Héctor Santiago","6.21%",13.25
44,737783627,"timetowinnow (2/3)",0,160.4,"P James Paxton P Dylan Bundy C J.T. Realmuto 1B Ryan Zimmerman 2B César Hernández 3B Jake Lamb SS Elvis Andrus OF Carlos Gómez OF David Peralta OF Bryce Harper",NA,"Taylor Motter","6.04%",8
48,737718567,"CantWinThemAll3",0,159.95,"P José Quintana P Dylan Bundy C John Hicks 1B Joey Votto 2B José Ramírez 3B Justin Turner SS Jean Segura OF Nelson Cruz OF Scott Schebler OF Aaron Altherr",NA,"Willson Contreras","5.95%",3
49,737732095,"davber1 (1/2)",9,159.75,"P James Paxton P Carlos Martínez C Buster Posey 1B Paul Goldschmidt 2B Jonathan Villar 3B Yunel Escobar SS Trea Turner OF Jarrod Dyson OF Carlos Gómez OF A.J. Pollock",NA,"Robinson Canó","5.95%",9
50,737613744,"scribby37",0,159.5,"P James Paxton P Luis Severino C John Hicks 1B Jay Bruce 2B Daniel Murphy 3B Matt Davidson SS Hernán Pérez OF Aaron Judge OF Charlie Blackmon OF Bryce Harper",NA,"Nolan Arenado","5.95%",5
51,737483028,"DonnieBrook",0,159.45,"P James Paxton P Trevor Bauer C Stephen Vogt 1B Eric Thames 2B Daniel Murphy 3B Kris Bryant SS Jean Segura OF Khris Davis OF A.J. Pollock OF Yasmany Tomás",NA,"Francisco Lindor","5.87%",11
52,737708293,"RockStarTix (2/2)",0,159.4,"P James Paxton P Dylan Bundy C Jett Bandy 1B Eric Thames 2B Daniel Murphy 3B Travis Shaw SS Taylor Motter OF Marcell Ozuna OF David Peralta OF Bryce Harper",NA,"José Quintana","5.70%",31.3
53,737487040,"randan626 (1/3)",0,159.2,"P Héctor Santiago P Trevor Cahill C Jett Bandy 1B Eric Thames 2B Daniel Murphy 3B Kris Bryant SS Trea Turner OF Carlos González OF Charlie Blackmon OF Bryce Harper",NA,"Joey Votto","5.61%",14
54,737787061,"rareufo43",0,158.95,"P Dylan Bundy P Alex Wood C J.T. Realmuto 1B Paul Goldschmidt 2B Whit Merrifield 3B Miguel Sanó SS Trea Turner OF Scott Schebler OF Christian Yelich OF David Peralta",NA,"Ryan Zimmerman","5.61%",26
55,737597757,"RoDog22",0,158.5,"P James Paxton P Luis Severino C Evan Gattis 1B Jay Bruce 2B César Hernández 3B Kris Bryant SS Jean Segura OF Jason Heyward OF Giancarlo Stanton OF Bryce Harper",NA,"Johnny Cueto","5.61%",12.1
