"Anthony Rizzo_ChC","Kris Bryant_ChC","Ryan Braun_Mil","Kyle Schwarber_ChC","Nelson Cruz_Sea","Andrew McCutchen_Pit","Dexter Fowler_StL","Gregory Polanco_Pit","Robinson Cano_Sea","Jean Segura_Sea","Ben Zobrist_ChC","Matt Carpenter_StL","Eric Thames_Mil","Rougned Odor_Tex","Giancarlo Stanton_Mia","Jonathan Villar_Mil","Aledmys Diaz_StL","Stephen Piscotty_StL","Shin-Soo Choo_Tex","Kyle Seager_Sea","Adrian Beltre_Tex","Khris Davis_Oak","Javier Baez_ChC","Starling Marte_Pit","Jonathan Lucroy_Tex","Christian Yelich_Mia","Willson Contreras_ChC","Addison Russell_ChC","Randal Grichuk_StL","Mike Napoli_Tex","Rajai Davis_Oak","Carlos Gomez_Tex","Dee Gordon_Mia","Adam Frazier_Pit","Elvis Andrus_Tex","Keon Broxton_Mil","Josh Harrison_Pit","Trevor Plouffe_Oak","Nomar Mazara_Tex","Mitch Haniger_Sea","Jason Heyward_ChC","Domingo Santana_Mil","Yadier Molina_StL","Jedd Gyorko_StL","Ryon Healy_Oak","Joey Gallo_Tex","Marcus Semien_Oak","Miguel Montero_ChC","Albert Almora_ChC","Alen Hanson_Pit","Delino DeShields_Tex","Danny Valencia_Sea","Travis Shaw_Mil","Hernan Perez_Mil","Jon Jay_ChC","Jhonny Peralta_StL","Stephen Vogt_Oak","Yonder Alonso_Oak","Taylor Motter_Sea","Leonys Martin_Sea","Marcell Ozuna_Mia","Orlando Arcia_Mil","Josh Bell_Pit","Matt Adams_StL","Jurickson Profar_Tex","JT Realmuto_Mia","Matt Szczur_ChC","Kolten Wong_StL","David Freese_Pit","Jordy Mercer_Pit","Josh Phegley_Oak","Mark Canha_Oak","Martin Prado_Mia","Jarrod Dyson_Sea","Ian Happ_ChC","Nick Franklin_Mil","Francisco Cervelli_Pit","Jesus Aguilar_Mil","Tommy La Stella_ChC","John Jaso_Pit","Kevin Newman_Pit","Harrison Bader_StL","Robinson Chirinos_Tex","Mike Zunino_Sea","Ben Gamel_Sea","Andrew Susac_Mil","Kirk Nieuwenhuis_Mil","Jose Martinez_StL","Jose Osuna_Pit","Brett Nicholas_Tex","Jed Lowrie_Oak","Justin Bour_Mia","Greg Garcia_StL","Ryan Rua_Tex","Jake Smolinski_Oak","Derek Dietrich_Mia","Guillermo Heredia_Sea","Manny Pina_Mil","Phil Gosselin_Pit","Shawn O'Malley_Sea","Jett Bandy_Mil","Carson Kelly_StL","Hanser Alberto_Tex","Matt Joyce_Oak","Carlos Ruiz_Sea","Destin Hood_Mia","Eric Fryer_StL","Adam Rosales_Oak","Tyler Moore_Mia","Ichiro Suzuki_Mia","Adeiny Hechavarria_Mia","Eloy Jimenez_ChC","Chris Stewart_Pit","AJ Ellis_Mia","Chad Pinder_Oak","Drew Robinson_Tex","Jaff Decker_Oak","Mike Freeman_Sea","JT Riddle_Mia","Miguel Rojas_Mia"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5378787878788,0,0,0,0,0,0,0,0,-10.0777777777778,0,0,0,0,0,0,28.3636363636364,0,0,0,0,0,0,-13.3777777777778,0,-2.60714285714286,0,0,0,0,0,0,0,0,0,15.5333333333333,33.9777777777778,0,0,0,0,0,0,0,0,0,0,0,0,49.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.2818181818182,0,0,0,0,0,0,0,0,0,0,0,0,18.4027777777778,0,0,0,-26.4666666666667,0,0,0,0,0,0,0,0,-42,0,0,0
4.27777777777778,12.5555555555556,0,7.125,0,0,0,0,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,4.77777777777778,8.41666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1.17857142857143,0,0,0,0,0,0,0,23.0833333333333,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,27.6666666666667,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9444444444444,0,0,0,0,0,0,0,0,0,31.0714285714286,0,0,22.5833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57142857142857,0,0,0,0,0,-21.5416666666667,-1.5,0,0,0,0,0,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.06666666666667,0,0,0,0,21.8611111111111,0,0,0,0,0,56.4555555555556,0,0,0,0,10.3,0,-16.7777777777778,0,0,26.7444444444444,0,0,0,3.33333333333333,0,0,0,0,0,0,-0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.34090909090909,0,0,0,0,0,0,0,0,0,0,65.5897435897436,0,0,0,0,0,0,-3.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,-19.3,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1818181818182,0,0,0,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1666666666667,1.66666666666667,0,0,-3.33333333333333,0,0,0,0,-15.3333333333333,-22.25
-6.27777777777778,-10.2777777777778,0,8.76388888888889,0,0,0,0,0,0,-1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,4.77777777777778,0,0,0,38.2777777777778,10.4444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,17.0833333333333,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.8454545454545,62.6545454545455,0,6.31111111111111,0,0,0,0,0,0,12.6607142857143,0,0,0,0,0,0,0,0,0,0,0,8.41666666666667,0,0,0,10.4444444444444,101.072727272727,0,0,0,0,0,0,0,0,0,0,0,0,-3.84722222222222,0,0,0,0,0,0,0,40.2,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1.61818181818182,0,0,0,0,12.9821428571429,0,0,0,0,37.5909090909091,-5.47777777777778,0,0,0,0,0,0,0,0,0,0,61.5636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4222222222222,-60.7,0,0,0,0,0,0,0,0,0,0,0,-1.92857142857143,0,0,0,0,0,0,0,1.5,0,0,0,9.52380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91666666666667,0,0,0,0,-29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7.69871794871795,0,0,0,0,-6.87878787878788,0,0,0,0,0,10.3,0,0,0,0,42.9230769230769,0,5.42307692307692,0,0,-1.57051282051282,0,0,0,-14.0705128205128,0,0,0,0,0,0,10.7051282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
