"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"RP","Matt Bowman",4300,"Pit@StL 01:45PM ET",3.207,"StL",NA,NA,0.501,NA,NA
"SP","Andrew Triggs",4300,"Tex@Oak 03:35PM ET",17.525,"Oak",NA,NA,NA,NA,NA
"RP","Ryan Madson",4300,"Tex@Oak 03:35PM ET",2.04,"Oak",NA,NA,1.316,NA,NA
"RP","Santiago Casilla",4300,"Tex@Oak 03:35PM ET",3.49,"Oak",NA,NA,1.037,NA,NA
"RP","John Axford",4300,"Tex@Oak 03:35PM ET",0,"Oak",NA,NA,NA,NA,NA
"RP","Sean Doolittle",4300,"Tex@Oak 03:35PM ET",3.625,"Oak",NA,NA,1.598,NA,NA
"RP","Liam Hendriks",4300,"Tex@Oak 03:35PM ET",0.5,"Oak",NA,NA,0.7225,NA,NA
"RP","Daniel Coulombe",4300,"Tex@Oak 03:35PM ET",1.17,"Oak",NA,NA,0.713,NA,NA
"RP","Frankie Montas",4300,"Tex@Oak 03:35PM ET",2.99,"Oak",NA,NA,NA,NA,NA
"RP","Ryan Dull",4300,"Tex@Oak 03:35PM ET",3.13,"Oak",NA,NA,1.089,NA,NA
