"Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","S.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
0,3400,15.8,-0.17,-0.29,-0.26,0,0,0,5.7,2.7,0.1,5.6,6.3,9.5,-1.7,9.4,7.7,2,1,5.9,11,18,0,0.246575342465753,1,1,3,0
1,3400,26.3,0.04,0.22,0,0,0,0,5.3,4.3,0.5,9.8,8.7,6.9,2.5,16.1,10.3,14,17,3.1,8,14,0,0.168674698795181,3,3,2,0
0,3300,18.8,0.01,-0.16,0.07,0,0,0,4.3,2.3,0.4,6.4,5.1,0,-2.1,10.9,6.3,20,27,0,0,1,0,0.0149253731343284,10,10,3,0
2,3300,22.8,0.09,-0.04,0.1,0.1,0,3.5,3.7,5,0.1,9.8,4.5,6.8,1.8,18.7,11.2,32,32,8,7,9,0,0.12,4,5,4,0
0,3300,25.8,-0.08,0.11,-0.16,0,0,0,7.7,5.6,0.6,9.1,15,6.4,2.4,16.6,5.6,16,22,0,3,5,0,0.0649350649350649,4,4,2,0
0,3200,21.8,-0.09,-0.14,-0.08,0.1,0,0,4.3,5.4,0.4,6.7,5.5,4,1.9,14.4,11.1,7,24,2,5,7,0,0.134615384615385,4,4,4,0
0,3200,18.5,-0.05,-0.15,-0.12,0.3,0,22.3,3.7,2.1,0,9.4,8.9,8.8,-0.3,8.4,6,11,2,8.1,8,10,0,0.151515151515152,2,3,3,0
0,3200,21.5,0.13,-0.21,0.18,0,0,0,3.7,4.6,0.6,8,5.8,3.6,0.7,15.1,5.9,13,11,3.8,4,6,0,0.0869565217391304,5,6,4,0
13,3200,25.8,-0.08,0.11,-0.16,0,0,0,8.3,5.1,1.1,7.5,16.4,13.5,-0.1,18.9,10.1,16,22,12.5,13,20,0,0.25974025974026,1,1,2,0
0,3100,23,0.06,0.05,0.04,0,0,0,5.3,7.5,0.6,7.3,5.3,1.7,4.1,19.8,6.4,26,28,0,2,4,0,0.0555555555555556,8,8,2,0
0,3100,15.8,-0.17,-0.29,-0.26,0.1,0,5,4.3,3.9,0.3,7.2,6.9,8.3,1.7,9.1,6.5,2,1,5.5,8,11,0,0.150684931506849,2,3,3,0
1,3100,23.8,0,-0.26,0.08,0,0,0,4.7,3.8,0.5,6.1,5.3,5.9,-0.1,10,5.8,25,31,3.5,6,11,0,0.132530120481928,5,3,3,0
0,3000,21.8,-0.09,-0.14,-0.08,0.3,0,2.7,2.3,1.5,0.1,11.1,8.9,22.2,-3.6,9.6,12.3,7,24,22.2,2,5,1,0.0961538461538462,7,6,1,0
0,3000,24.3,-0.03,0.04,0.07,0,0,0,3.3,2.8,0.4,4.9,4.6,3.8,-1.1,9.7,2.4,8,13,7.6,1,4,1,0.0459770114942529,11,6,1,0
0,3000,16,0.04,0.16,0.04,0.2,0,2,4.7,4.9,0.6,6.7,6.2,2.9,2.3,10.5,9.2,20,23,5.8,3,6,0,0.1,6,5,2,0
0,3000,16,0.04,0.16,0.04,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,9,9,2,0
0,3000,16,0.04,0.16,0.04,0,0,0,0,0,0,0,0,0,0,0,3.8,20,23,0,0,0,0,0,9,9,2,0
0,3000,16,0.04,0.16,0.04,0,0,0,1,1,0,0,0,0,0,0,6.5,20,23,0,1,1,0,0.0166666666666667,8,8,2,0
0,3000,22,-0.09,-0.01,0.04,0.4,0,6,5.7,5.2,0.5,6.2,7.6,8.3,1.9,11.9,5.3,3,8,12.5,7,9,0,0.102272727272727,5,5,4,0
0,3000,22,-0.09,-0.01,0.04,0,0,0,2.3,3.6,0.6,2.7,1.7,1.8,-0.3,9.4,3,3,8,1.7,2,4,0,0.0454545454545455,7,7,4,0
0,3000,23,0.06,0.05,0.04,0,0,0,3.5,3.5,0,9.6,4.8,4.8,4.4,5.3,8.3,26,28,5.2,3,6,0,0.0833333333333333,4,4,2,0
0,3000,19.3,0.01,-0.1,-0.05,0,0,0,1,1.9,0.2,8.1,1.2,0,0.1,5.4,1.5,18,12,0,0,0,0,0,11,11,2,0
0,3000,18.5,-0.05,-0.15,-0.12,0.1,0,-11,3.3,4.4,0.2,8.2,2.8,2.5,0.7,13.2,5.3,11,2,3.5,3,8,0,0.121212121212121,4,4,3,0
0,3000,18.5,-0.05,-0.15,-0.12,0.1,0,29,3,3.3,0.2,8.8,6.3,0,2.7,7.9,0,11,2,0,0,0,0,0,9,9,3,0
0,3000,24.5,-0.04,-0.06,-0.01,0.4,0,6.3,4.7,3.9,0.5,7.6,5.1,3.3,2,11.8,3.7,6,7,4.5,4,8,0,0.108108108108108,3,3,5,0
0,3000,18.5,0.03,-0.11,0.11,0,0,0,3.7,3.7,0.3,5.7,3.8,3.6,-1.7,11.2,4.1,30,29,1.8,4,6,0,0.09375,4,4,1,0
0,3000,22,0.03,0.01,-0.09,0.1,0,9,1,1.4,0.1,5.6,1.5,2.3,-0.4,4.2,0,5,4,3.6,2,2,0,0.0253164556962025,7,7,4,0
1,3000,22,0.03,0.01,-0.09,0.1,0,7,5,4.1,0.4,6.8,6.6,9.9,2,10.2,3.3,5,4,12.7,10,14,0,0.177215189873418,2,3,4,1
0,3000,26.3,0.04,0.22,0,0,0,0,3,3.5,0.3,6.7,4.5,4.3,1.2,8.8,2.3,14,17,6.5,4,9,0,0.108433734939759,6,4,2,0
0,3000,23.8,0,-0.26,0.08,0.3,0,5.2,4.7,4.1,0.4,7.1,3.9,3.1,1.3,11.3,5.1,25,31,3.1,5,8,0,0.0963855421686747,6,5,3,0
0,3000,26.5,0.02,0.11,-0.11,0,0,0,0.3,0.1,0,7,0.6,0.9,-0.4,0.7,2.9,24,15,1.7,1,1,0,0.0113636363636364,9,10,5,0
0,3000,19.3,-0.04,0.18,-0.08,0,0,0,0.7,0.3,0,27,1.8,0,-1.1,3.4,0,19,20,0,0,0,0,0,8,9,2,0
0,3000,19.3,-0.04,0.18,-0.08,0,0,0,2.3,2.9,0.3,6.4,5.6,0,-0.7,9.6,0,19,20,0,0,0,0,0,8,9,2,0
0,3000,25.5,0.19,0.18,0.13,0,0,0,3.7,3.7,0.7,4.9,5.4,4.4,2.1,6.8,4.8,26,29,7.8,2,5,1,0.0694444444444444,8,5,2,0
