"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
39,792994509,"BumRushUnited (3/6)",0,172.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Gerardo Parra 1B Paul Goldschmidt OF J.D. Martinez SS Javier Báez 2B Kolten Wong C Jeff Mathis",NA,"Keon Broxton","10.19%",7
40,792851876,"shawnzhan (2/60)",0,171.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Jonathan Lucroy SS Adam Rosales 2B Brandon Drury",NA,"Anthony Rizzo","9.48%",12
40,792925135,"GTCRUIZIN7",0,171.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt OF J.D. Martinez OF Eric Thames 3B Jake Lamb C Yadier Molina SS Javier Báez 2B Kolten Wong",NA,"Jeff Mathis","8.88%",3
40,792934191,"fanucci18",0,171.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu 1B Mark Reynolds C Willson Contreras OF José Martínez SS Javier Báez OF Jon Jay",NA,"Orlando Arcia","8.77%",6
40,793029202,"tomjk321 (4/60)",0,171.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Jonathan Lucroy SS Adam Rosales 2B Brandon Drury",NA,"Jon Jay","8.71%",11
44,792881123,"Haillmarry",0,171.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Gerardo Parra 1B Mark Reynolds OF J.D. Martinez C Willson Contreras SS Adam Rosales",NA,"Rafael Montero","8.55%",10.15
44,792941559,"JELacroix11",0,171.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Gerardo Parra 1B Mark Reynolds OF Kyle Schwarber C Willson Contreras SS Javier Báez",NA,"Travis Shaw","8.49%",8
46,792950239,"joganz33",0,171.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt OF J.D. Martinez 3B Travis Shaw C Yadier Molina OF Hernán Pérez SS Orlando Arcia 2B Brandon Drury",NA,"José Reyes","8.38%",2
47,792914823,"janderson84",0,170.35,"P Michael Wacha P Matt Garza 3B Nolan Arenado 2B DJ LeMahieu 1B Paul Goldschmidt OF Ian Happ OF Kyle Schwarber SS Amed Rosario C Willson Contreras OF Jason Heyward",NA,"Domingo Santana","7.95%",2
48,792979951,"jacknied13",0,170.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF J.D. Martinez C Yadier Molina SS Adam Rosales OF Keon Broxton 2B Brandon Drury",NA,"Jesús Aguilar","7.45%",14
49,792825760,"214Sports",0,169.3,"P Michael Wacha P German Márquez 2B DJ LeMahieu 1B Paul Goldschmidt OF A.J. Pollock 3B Kris Bryant OF J.D. Martinez C Willson Contreras OF Carlos González SS Adam Rosales",NA,"Hernán Pérez","7.18%",11
49,792842533,"BMOC113",0,169.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Tommy Pham 1B Paul Goldschmidt OF J.D. Martinez C Jonathan Lucroy SS Adam Rosales 2B Brandon Drury",NA,"Jake Lamb","5.21%",12
49,792926128,"youdacao (35/60)",0,169.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF Yoenis Céspedes OF Curtis Granderson C Jonathan Lucroy SS Adam Rosales 2B Brandon Drury",NA,"Jason Heyward","5.15%",4
49,793001844,"JWill17",0,169.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 2B DJ LeMahieu 1B Paul Goldschmidt OF A.J. Pollock 3B Jake Lamb C Yadier Molina SS Javier Báez OF Stephen Piscotty",NA,"Greg Garcia","4.88%",5
53,792820380,"Viking123",0,168.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez 2B Ian Happ C Willson Contreras 3B Jedd Gyorko OF José Martínez",NA,"Curtis Granderson","4.49%",9
53,792925673,"crystalkali (1/41)",0,168.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Gerardo Parra 1B Paul Goldschmidt OF J.D. Martinez C Yadier Molina SS Adam Rosales 2B Brandon Drury",NA,"Grégor Blanco","1.81%",5
53,793024058,"jae686 (17/60)",0,168.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Yadier Molina SS Adam Rosales 2B Brandon Drury",NA,"Ryan Braun","0.16%",0
56,792885013,"largemarge",0,168.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu 1B Paul Goldschmidt SS Trevor Story OF A.J. Pollock OF J.D. Martinez C Jeff Mathis",NA,"Paul DeJong","0.11%",0
57,792943220,"moods",0,167.35,"P Michael Wacha P Rafael Montero OF Michael Conforto OF Jay Bruce 1B Paul Goldschmidt OF Yoenis Céspedes 2B Asdrúbal Cabrera SS Amed Rosario 3B Jake Lamb C Willson Contreras",NA,"Travis d'Arnaud","0.11%",0
58,792834973,"sta234",0,167.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu 1B Paul Goldschmidt OF J.D. Martinez OF Carlos González SS Adam Rosales C René Rivera",NA,"Jonathan Villar","0.11%",3
59,792910667,"TonyH16",0,167.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 2B DJ LeMahieu 1B Paul Goldschmidt OF J.D. Martinez 3B Hernán Pérez SS Adam Rosales OF Keon Broxton C Jeff Mathis",NA,"Neil Walker","0.05%",0
59,792964007,"wildcat33",0,167.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF J.D. Martinez SS Amed Rosario OF José Martínez 2B Brandon Drury C Jett Bandy",NA,"Chris Owings","0.05%",0
61,792851922,"shawnzhan (48/60)",0,166.35,"P Michael Wacha P Matt Garza 3B Nolan Arenado 1B Paul Goldschmidt OF Yoenis Céspedes OF A.J. Pollock OF J.D. Martinez C Jonathan Lucroy SS Adam Rosales 2B Brandon Drury",NA,"Alex Avila","0.05%",2
61,792925701,"crystalkali (29/41)",0,166.35,"P Michael Wacha P Matt Garza 1B Paul Goldschmidt OF Grégor Blanco 2B Asdrúbal Cabrera OF A.J. Pollock 3B Kris Bryant C Willson Contreras OF Jon Jay SS Adam Rosales",NA,"Corey Ray","0.05%",0
61,793016168,"tommygmets86 (1/2)",0,166.35,"P Michael Wacha P Matt Garza OF Charlie Blackmon OF Michael Conforto 1B Paul Goldschmidt OF Yoenis Céspedes 3B José Reyes SS Amed Rosario 2B Brandon Drury C René Rivera",NA,"Addison Russell","0.05%",0
64,792848920,"papagates (33/60)",0,166.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 2B DJ LeMahieu OF Gerardo Parra 1B Paul Goldschmidt OF J.D. Martinez 3B Jake Lamb SS Adam Rosales C Jeff Mathis",NA,"Ben Zobrist","0.05%",3
65,792872008,"mtrealtalk22 (2/2)",0,166.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt OF J.D. Martinez OF Eric Thames 3B Jake Lamb C Jonathan Lucroy SS Adam Rosales 2B Brandon Drury",NA,"Pat Valaika","0.05%",0
65,793023103,"grummy60 (2/2)",0,166.2,"P Zack Greinke P German Márquez 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez 3B Jake Lamb C Willson Contreras OF Carlos González OF Hernán Pérez 2B Kolten Wong",NA,"Cristhian Adames","0.05%",0
65,793029257,"tomjk321 (59/60)",0,166.2,"P Zack Greinke P German Márquez OF Charlie Blackmon 1B Paul Goldschmidt OF J.D. Martinez OF Eric Thames 3B Jake Lamb C Jonathan Lucroy SS Adam Rosales 2B Brandon Drury",NA,"Luke Voit","0.05%",0
68,792851933,"shawnzhan (59/60)",0,165.35,"P Michael Wacha P Matt Garza OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF Yoenis Céspedes OF A.J. Pollock SS Adam Rosales C Jeff Mathis 2B Brandon Drury",NA,"Albert Almora Jr.","0.05%",0
68,792914649,"TexasK9s",0,165.35,"P Michael Wacha P Matt Garza OF Charlie Blackmon 1B Mark Reynolds OF A.J. Pollock OF J.D. Martinez SS Amed Rosario 3B Jake Lamb C Willson Contreras 2B Kolten Wong",NA,"Alexi Amarista","0.05%",0
70,792950680,"GS30",0,165.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Gerardo Parra 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez 2B Brandon Drury C René Rivera",NA,"Corey Knebel","0.05%",5.05
70,793017257,"DaGgSeS",0,165.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Gerardo Parra 1B Paul Goldschmidt SS Trevor Story OF J.D. Martinez 2B Brandon Drury C René Rivera",NA,"Eric Sogard","0.05%",0
72,792997572,"zbedaman33",0,165.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Gerardo Parra 1B Paul Goldschmidt OF A.J. Pollock C Jonathan Lucroy SS Adam Rosales",NA,"","",NA
73,792926107,"youdacao (14/60)",0,164.3,"P Michael Wacha P German Márquez OF Michael Conforto 1B Paul Goldschmidt OF Yoenis Céspedes 3B Kris Bryant OF J.D. Martinez 2B Ian Happ C Willson Contreras SS Adam Rosales",NA,"","",NA
74,792981347,"bfrech15",0,163.35,"P Michael Wacha P Matt Garza OF Charlie Blackmon 1B Paul Goldschmidt OF Yoenis Céspedes SS Amed Rosario 3B Jake Lamb OF Carlos González C Jonathan Lucroy 2B Kolten Wong",NA,"","",NA
75,792895840,"duane-weighed (1/2)",0,163.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Gerardo Parra 1B Paul Goldschmidt OF Jon Jay SS Adam Rosales C René Rivera",NA,"","",NA
75,792923545,"didohelwawy",0,163.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 2B DJ LeMahieu OF Yoenis Céspedes 1B Matt Carpenter C Willson Contreras SS Javier Báez OF Keon Broxton",NA,"","",NA
77,792818056,"cjs5555",0,162.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Jonathan Lucroy 2B Kolten Wong SS Adam Rosales",NA,"","",NA
77,792851906,"shawnzhan (32/60)",0,162.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado OF Tommy Pham 1B Paul Goldschmidt OF J.D. Martinez SS Adam Rosales C Jeff Mathis 2B Brandon Drury",NA,"","",NA
77,792918558,"johnwayne206",0,162.3,"P Michael Wacha P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Paul Goldschmidt OF A.J. Pollock OF J.D. Martinez C Jonathan Lucroy 2B Kolten Wong SS Adam Rosales",NA,"","",NA
80,793022870,"brennan4 (3/3)",0,162.25,"P Matt Garza P German Márquez OF Charlie Blackmon 3B Nolan Arenado 1B Anthony Rizzo 2B DJ LeMahieu SS Trevor Story OF J.D. Martinez OF Kyle Schwarber C Willson Contreras",NA,"","",NA
81,792923151,"EAGLES18",0,161.35,"P Michael Wacha P Matt Garza OF Charlie Blackmon 3B Nolan Arenado OF Yoenis Céspedes 1B Mark Reynolds OF Kyle Schwarber C Willson Contreras SS Adam Rosales 2B Brandon Drury",NA,"","",NA
