"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual","Projection_reg","Projection_reg_split","RankTargets","RollingTargetPctg","ValueWR"
"QB","Kirk Cousins (7975764)","Kirk Cousins",7975764,6800,"Was@Chi 01:00PM ET","Was","Kirk","Cousins","Chi",19.08,19.1,0,18.4017464714345,19.0446807192033,0,0,0
"QB","Derek Carr (7975776)","Derek Carr",7975776,6800,"Ind@Oak 04:05PM ET","Oak","Derek","Carr","Ind",19.48,17.8,0,17.9008188521878,18.5266649224648,0,0,0
"QB","Aaron Rodgers (7975752)","Aaron Rodgers",7975752,6700,"Min@GB 01:00PM ET","GB","Aaron","Rodgers","Min",20.84,18.6,0,18.9197101718459,19.5812916061978,0,0,0
"QB","Cam Newton (7975772)","Cam Newton",7975772,6600,"Atl@Car 01:00PM ET","Car","Cam","Newton","Atl",20.41,19.7,0,19.3030716432896,19.9776749829385,0,0,0
"QB","Jameis Winston (7975740)","Jameis Winston",7975740,6500,"TB@NO 04:25PM ET","TB","Jameis","Winston","NO",19.31,19.1,0,18.5035078807431,19.1500535505425,0,0,0
"WR","Amari Cooper (7976002)","Amari Cooper",7976002,6500,"Ind@Oak 04:05PM ET","Oak","Amari","Cooper","Ind",16.32,15.7,0,15.4076299112008,15.9461084030964,2,0.234657039711191,0
"RB","Todd Gurley (7975889)","Todd Gurley",7975889,6500,"SF@LA 04:25PM ET","LA","Todd","Gurley","SF",16.28,22.4,0,18.8837451116091,19.5420353045463,5,0.108829568788501,0
"RB","Jordan Howard (7975856)","Jordan Howard",7975856,6300,"Was@Chi 01:00PM ET","Chi","Jordan","Howard","Was",17.19,17.2,0,16.5747504066968,17.1538536235746,4,0.09765625,0
"WR","Alshon Jeffery (7975976)","Alshon Jeffery",7975976,6300,"Was@Chi 01:00PM ET","Chi","Alshon","Jeffery","Was",14.52,15.4,0,14.4547968923808,14.9596192557071,2,0.162109375,0
"QB","Russell Wilson (7975780)","Russell Wilson",7975780,6300,"Ari@Sea 04:25PM ET","Sea","Russell","Wilson","Ari",17.96,18.4,0,17.5411874304363,18.1539523630837,14,0.0044543429844098,0
"WR","Taylor Gabriel (7975995)","Taylor Gabriel",7975995,6200,"Atl@Car 01:00PM ET","Atl","Taylor","Gabriel","Car",10.91,11.7,0,10.9281661778627,11.3097933999163,4,0.0985324947589098,0
"RB","Latavius Murray (7975869)","Latavius Murray",7975869,6200,"Ind@Oak 04:05PM ET","Oak","Latavius","Murray","Ind",15.09,13.7,0,13.820498386837,14.3037114503122,5,0.075812274368231,0
"WR","Michael Crabtree (7975996)","Michael Crabtree",7975996,6100,"Ind@Oak 04:05PM ET","Oak","Michael","Crabtree","Ind",14.76,14.8,0,14.2481039492844,14.7459091015482,1,0.245487364620939,0
"WR","Larry Fitzgerald (7976006)","Larry Fitzgerald",7976006,6100,"Ari@Sea 04:25PM ET","Ari","Larry","Fitzgerald","Sea",13.84,15.9,0,14.4146693748098,14.9178025332619,1,0.287090558766859,0
"WR","Michael Thomas (7975920)","Michael Thomas",7975920,6000,"TB@NO 04:25PM ET","NO","Michael","Thomas","TB",17.98,15.4,0,15.9856424411103,16.5447931532448,1,0.175972927241963,0
"RB","Bilal Powell (7975815)","Bilal Powell",7975815,6000,"NYJ@NE 01:00PM ET","NYJ","Bilal","Powell","NE",14.25,15.1,0,14.178898465918,14.6740885080959,3,0.140845070422535,0
"QB","Marcus Mariota (7975750)","Marcus Mariota",7975750,6000,"Ten@Jax 01:00PM ET","Ten","Marcus","Mariota","Jax",18.59,16.2,0,16.6727030782403,17.255812778263,13,0.00224719101123596,0
"WR","Dontrelle Inman (7975960)","Dontrelle Inman",7975960,6000,"SD@Cle 01:00PM ET","SD","Dontrelle","Inman","Cle",12.13,12.3,0,11.7808228496137,12.1923919617066,2,0.183505154639175,0
"WR","Doug Baldwin (7976008)","Doug Baldwin",7976008,6000,"Ari@Sea 04:25PM ET","Sea","Doug","Baldwin","Ari",14.69,14.6,0,14.11284016508,14.6059509717523,1,0.244988864142539,0
"RB","Ty Montgomery (7975838)","Ty Montgomery",7975838,5900,"Min@GB 01:00PM ET","GB","Ty","Montgomery","Min",14.28,13.1,0,13.1492424882013,13.6089514139526,4,0.0867992766726944,0
"WR","Stefon Diggs (7975954)","Stefon Diggs",7975954,5900,"Min@GB 01:00PM ET","Min","Stefon","Diggs","GB",13.4,14.4,0,13.43779847063,13.9070586931136,2,0.2109375,0
"WR","Tyrell Williams (7975966)","Tyrell Williams",7975966,5800,"SD@Cle 01:00PM ET","SD","Tyrell","Williams","Cle",12.99,12.4,0,12.2134684924968,12.6403387911909,1,0.2,0
"RB","Carlos Hyde (7975886)","Carlos Hyde",7975886,5800,"SF@LA 04:25PM ET","SF","Carlos","Hyde","LA",14.07,14.3,0,13.6820874201042,14.1600702634076,6,0.0691244239631336,0
"QB","Colin Kaepernick (7975783)","Colin Kaepernick",7975783,5700,"SF@LA 04:25PM ET","SF","Colin","Kaepernick","LA",17.14,17.4,0,16.6569212816967,17.2388346239761,0,0,0
"WR","Kenny Britt (7976017)","Kenny Britt",7976017,5700,"SF@LA 04:25PM ET","LA","Kenny","Britt","SF",13.48,12,0,12.2216786974116,12.6490524609195,1,0.227926078028747,0
"RB","Lamar Miller (7975893)","Lamar Miller",7975893,5700,"Cin@Hou 08:25PM ET","Hou","Lamar","Miller","Cin",14.21,15.7,0,14.4740795910219,14.9794272112454,5,0.0778210116731518,0
"RB","Jay Ajayi (7975799)","Jay Ajayi",7975799,5600,"Mia@Buf 01:00PM ET","Mia","Jay","Ajayi","Buf",13.27,15.2,0,13.7974528343322,14.2790526868665,4,0.0829268292682927,0
"RB","LeGarrette Blount (7975816)","LeGarrette Blount",7975816,5600,"NYJ@NE 01:00PM ET","NE","LeGarrette","Blount","NYJ",9.89,8.4,0,8.75604326134508,9.06233352885238,9,0.0155642023346304,0
"WR","Jamison Crowder (7975980)","Jamison Crowder",7975980,5600,"Was@Chi 01:00PM ET","Was","Jamison","Crowder","Chi",12.31,11.8,0,11.599729912166,12.0051373116752,2,0.174852652259332,0
"WR","Jarvis Landry (7975904)","Jarvis Landry",7975904,5500,"Mia@Buf 01:00PM ET","Mia","Jarvis","Landry","Buf",15.11,13,0,13.4643219832815,13.9352658234391,1,0.280487804878049,0
"WR","Willie Snead (7975915)","Willie Snead",7975915,5500,"TB@NO 04:25PM ET","NO","Willie","Snead","TB",12.03,13.7,0,12.4666292021225,12.9017946507557,3,0.16243654822335,0
"WR","DeSean Jackson (7975972)","DeSean Jackson",7975972,5500,"Was@Chi 01:00PM ET","Was","DeSean","Jackson","Chi",13.29,13.7,0,13.0241047487696,13.4790545093966,3,0.165029469548134,0
"TE","Jordan Reed (7976084)","Jordan Reed",7976084,5500,"Was@Chi 01:00PM ET","Was","Jordan","Reed","Chi",11.47,9.1,0,9.82012512096045,10.1638075476505,3,0.165029469548134,0
"WR","Kelvin Benjamin (7975992)","Kelvin Benjamin",7975992,5500,"Atl@Car 01:00PM ET","Car","Kelvin","Benjamin","Atl",11.04,12.9,0,11.6114410191783,12.0166807826553,2,0.215686274509804,0
"QB","Carson Palmer (7975778)","Carson Palmer",7975778,5500,"Ari@Sea 04:25PM ET","Ari","Carson","Palmer","Sea",16,15.9,0,15.3703417404907,15.9073908623606,0,0,0
"QB","Tyrod Taylor (7975733)","Tyrod Taylor",7975733,5400,"Mia@Buf 01:00PM ET","Buf","Tyrod","Taylor","Mia",17.39,15.9,0,15.9853346054427,16.5442092778455,0,0,0
"RB","Doug Martin (7975805)","Doug Martin",7975805,5400,"TB@NO 04:25PM ET","TB","Doug","Martin","NO",13.13,12.2,0,12.1711172994002,12.5965906378351,8,0.031434184675835,0
"WR","Davante Adams (7975951)","Davante Adams",7975951,5400,"Min@GB 01:00PM ET","GB","Davante","Adams","Min",11.81,13.3,0,12.1607063609107,12.5852269715676,2,0.198915009041591,0
"WR","Donte Moncrief (7976001)","Donte Moncrief",7976001,5400,"Ind@Oak 04:05PM ET","Ind","Donte","Moncrief","Oak",10.61,13.1,0,11.525484348364,11.9275675399747,4,0.1,0
"RB","Matt Forte (7975813)","Matt Forte",7975813,5300,"NYJ@NE 01:00PM ET","NYJ","Matt","Forte","NE",9.07,6,0,7.14172666909297,7.3919988262005,5,0.0865191146881288,0
"WR","Brandon Marshall (7975923)","Brandon Marshall",7975923,5300,"NYJ@NE 01:00PM ET","NYJ","Brandon","Marshall","NE",11.48,14,0,12.3797260823546,12.8116483475053,1,0.259557344064386,0
"QB","Andy Dalton (7975789)","Andy Dalton",7975789,5300,"Cin@Hou 08:25PM ET","Cin","Andy","Dalton","Hou",17.02,16.6,0,16.1866566904851,16.752304943985,0,0,0
"RB","Jeremy Hill (7975898)","Jeremy Hill",7975898,5300,"Cin@Hou 08:25PM ET","Cin","Jeremy","Hill","Hou",13.05,14.9,0,13.5436764533713,14.016429076503,7,0.0562248995983936,0
"QB","Matt Moore (7975730)","Matt Moore",7975730,5200,"Mia@Buf 01:00PM ET","Mia","Matt","Moore","Buf",0,12.6,0,6.57045399161244,6.79695267189927,0,0,0
"WR","Malcolm Mitchell (7975932)","Malcolm Mitchell",7975932,5200,"NYJ@NE 01:00PM ET","NE","Malcolm","Mitchell","NYJ",11.93,12,0,11.5358952868535,11.9389312062422,5,0.0894941634241245,0
"RB","Rob Kelley (7975853)","Rob Kelley",7975853,5200,"Was@Chi 01:00PM ET","Was","Rob","Kelley","Chi",0,14.3,0,7.45694381587762,7.71400184191743,8,0.0235756385068762,0
"RB","Jonathan Stewart (7975858)","Jonathan Stewart",7975858,5200,"Atl@Car 01:00PM ET","Car","Jonathan","Stewart","Atl",12.57,12,0,11.8190574692775,12.2321425630122,7,0.0413943355119826,0
"TE","Greg Olsen (7976089)","Greg Olsen",7976089,5200,"Atl@Car 01:00PM ET","Car","Greg","Olsen","Atl",15.28,15.7,0,14.9474913647619,15.4696399483452,1,0.233115468409586,0
"WR","DeAndre Hopkins (7976033)","DeAndre Hopkins",7976033,5200,"Cin@Hou 08:25PM ET","Hou","DeAndre","Hopkins","Cin",14.97,14.7,0,14.2888700801414,14.7881750091638,1,0.272373540856031,0
"QB","Robert Griffin III (7975760)","Robert Griffin III",7975760,5100,"SD@Cle 01:00PM ET","Cle","Robert","Griffin III","SD",13.99,0,0,6.18974833142355,6.40941700189392,0,0,0
"WR","Mohamed Sanu (7975988)","Mohamed Sanu",7975988,5100,"Atl@Car 01:00PM ET","Atl","Mohamed","Sanu","Car",11.1,11.8,0,11.0643764110207,11.4507845902819,2,0.163522012578616,0
"RB","Thomas Rawls (7975879)","Thomas Rawls",7975879,5100,"Ari@Sea 04:25PM ET","Sea","Thomas","Rawls","Ari",11.59,12.5,0,11.6461976786953,12.0528830170811,8,0.0356347438752784,0
"QB","T.J. Yates (7975731)","T.J. Yates",7975731,5000,"Mia@Buf 01:00PM ET","Mia","T.J.","Yates","Buf",0,0,0,0,0,0,0,0
"QB","Ryan Tannehill (7975732)","Ryan Tannehill",7975732,5000,"Mia@Buf 01:00PM ET","Mia","Ryan","Tannehill","Buf",0,0,0,0,0,0,0,0
"QB","EJ Manuel (7975734)","EJ Manuel",7975734,5000,"Mia@Buf 01:00PM ET","Buf","EJ","Manuel","Mia",0,0,0,0,0,0,0,0
"QB","Cardale Jones (7975735)","Cardale Jones",7975735,5000,"Mia@Buf 01:00PM ET","Buf","Cardale","Jones","Mia",0,0,0,0,0,0,0,0
"WR","Sammy Watkins (7975907)","Sammy Watkins",7975907,5000,"Mia@Buf 01:00PM ET","Buf","Sammy","Watkins","Mia",11.78,14.5,0,12.7731906566202,13.2188115151142,5,0.078239608801956,0
"QB","Luke McCown (7975737)","Luke McCown",7975737,5000,"TB@NO 04:25PM ET","NO","Luke","McCown","TB",0,0,0,0,0,0,0,0
"QB","Mike Glennon (7975738)","Mike Glennon",7975738,5000,"TB@NO 04:25PM ET","TB","Mike","Glennon","NO",0,0,0,0,0,0,0,0
"QB","Ryan Griffin (7975739)","Ryan Griffin",7975739,5000,"TB@NO 04:25PM ET","TB","Ryan","Griffin","NO",0,0,0,0,0,0,0,0
"QB","Ryan Fitzpatrick (7975742)","Ryan Fitzpatrick",7975742,5000,"NYJ@NE 01:00PM ET","NYJ","Ryan","Fitzpatrick","NE",0,0,0,0,0,0,0,0
"QB","Bryce Petty (7975743)","Bryce Petty",7975743,5000,"NYJ@NE 01:00PM ET","NYJ","Bryce","Petty","NE",13.29,13,0,12.6590795270134,13.1014460276244,0,0,0
"QB","Jimmy Garoppolo (7975744)","Jimmy Garoppolo",7975744,5000,"NYJ@NE 01:00PM ET","NE","Jimmy","Garoppolo","NYJ",0,0,0,0,0,13,0.00194552529182879,0
"QB","Christian Hackenberg (7975745)","Christian Hackenberg",7975745,5000,"NYJ@NE 01:00PM ET","NYJ","Christian","Hackenberg","NE",0,0,0,0,0,0,0,0
"QB","Matt Cassel (7975746)","Matt Cassel",7975746,5000,"Ten@Jax 01:00PM ET","Ten","Matt","Cassel","Jax",0,0,0,0,0,0,0,0
"QB","Chad Henne (7975747)","Chad Henne",7975747,5000,"Ten@Jax 01:00PM ET","Jax","Chad","Henne","Ten",0,0,0,0,0,0,0,0
"QB","Blake Bortles (7975748)","Blake Bortles",7975748,5000,"Ten@Jax 01:00PM ET","Jax","Blake","Bortles","Ten",18.19,16.3,0,16.5478731744762,17.1264997491063,0,0,0
"QB","Brandon Allen (7975749)","Brandon Allen",7975749,5000,"Ten@Jax 01:00PM ET","Jax","Brandon","Allen","Ten",0,0,0,0,0,0,0,0
"QB","Shaun Hill (7975751)","Shaun Hill",7975751,5000,"Min@GB 01:00PM ET","Min","Shaun","Hill","GB",0,0,0,0,0,0,0,0
"QB","Sam Bradford (7975753)","Sam Bradford",7975753,5000,"Min@GB 01:00PM ET","Min","Sam","Bradford","GB",16.51,15.4,0,15.3352543033553,15.8713233181637,13,0.001953125,0
"QB","Brett Hundley (7975754)","Brett Hundley",7975754,5000,"Min@GB 01:00PM ET","GB","Brett","Hundley","Min",0,0,0,0,0,0,0,0
"QB","Taylor Heinicke (7975755)","Taylor Heinicke",7975755,5000,"Min@GB 01:00PM ET","Min","Taylor","Heinicke","GB",0,0,0,0,0,0,0,0
"QB","Joe Callahan (7975756)","Joe Callahan",7975756,5000,"Min@GB 01:00PM ET","GB","Joe","Callahan","Min",0,0,0,0,0,0,0,0
"QB","Josh McCown (7975757)","Josh McCown",7975757,5000,"SD@Cle 01:00PM ET","Cle","Josh","McCown","SD",0,0,0,0,0,0,0,0
"QB","Kellen Clemens (7975758)","Kellen Clemens",7975758,5000,"SD@Cle 01:00PM ET","SD","Kellen","Clemens","Cle",0,0,0,0,0,0,0,0
"QB","Cody Kessler (7975761)","Cody Kessler",7975761,5000,"SD@Cle 01:00PM ET","Cle","Cody","Kessler","SD",0,0,0,0,0,0,0,0
"QB","Kevin Hogan (7975762)","Kevin Hogan",7975762,5000,"SD@Cle 01:00PM ET","Cle","Kevin","Hogan","SD",0,0,0,0,0,0,0,0
"RB","Kenneth Farrow (7975845)","Kenneth Farrow",7975845,5000,"SD@Cle 01:00PM ET","SD","Kenneth","Farrow","Cle",12.85,3.4,0,7.45834534251123,7.7212326126837,7,0.0247422680412371,0
"QB","Colt McCoy (7975763)","Colt McCoy",7975763,5000,"Was@Chi 01:00PM ET","Was","Colt","McCoy","Chi",0,0,0,0,0,0,0,0
"QB","Matt Barkley (7975765)","Matt Barkley",7975765,5000,"Was@Chi 01:00PM ET","Chi","Matt","Barkley","Was",14.02,16.4,0,14.755041039871,15.2699885714765,0,0,0
"QB","David Fales (7975766)","David Fales",7975766,5000,"Was@Chi 01:00PM ET","Chi","David","Fales","Was",0,0,0,0,0,0,0,0
"QB","Nate Sudfeld (7975767)","Nate Sudfeld",7975767,5000,"Was@Chi 01:00PM ET","Was","Nate","Sudfeld","Chi",0,0,0,0,0,0,0,0
"QB","Derek Anderson (7975768)","Derek Anderson",7975768,5000,"Atl@Car 01:00PM ET","Car","Derek","Anderson","Atl",0,0,0,0,0,0,0,0
"QB","Matt Schaub (7975770)","Matt Schaub",7975770,5000,"Atl@Car 01:00PM ET","Atl","Matt","Schaub","Car",0,0,0,0,0,0,0,0
"QB","Joe Webb (7975771)","Joe Webb",7975771,5000,"Atl@Car 01:00PM ET","Car","Joe","Webb","Atl",0,0,0,0,0,11,0.00217864923747277,0
"RB","Tevin Coleman (7975863)","Tevin Coleman",7975863,5000,"Atl@Car 01:00PM ET","Atl","Tevin","Coleman","Car",9.87,8,0,8.53860860214076,8.83739439865493,5,0.0733752620545073,0
"QB","Scott Tolzien (7975773)","Scott Tolzien",7975773,5000,"Ind@Oak 04:05PM ET","Ind","Scott","Tolzien","Oak",0,0,0,0,0,0,0,0
"QB","Matt McGloin (7975775)","Matt McGloin",7975775,5000,"Ind@Oak 04:05PM ET","Oak","Matt","McGloin","Ind",0,0,0,0,0,0,0,0
"QB","Connor Cook (7975777)","Connor Cook",7975777,5000,"Ind@Oak 04:05PM ET","Oak","Connor","Cook","Ind",0,0,0,0,0,0,0,0
"QB","Drew Stanton (7975779)","Drew Stanton",7975779,5000,"Ari@Sea 04:25PM ET","Ari","Drew","Stanton","Sea",0,0,0,0,0,0,0,0
"QB","Zac Dysert (7975781)","Zac Dysert",7975781,5000,"Ari@Sea 04:25PM ET","Ari","Zac","Dysert","Sea",0,0,0,0,0,0,0,0
"QB","Trevone Boykin (7975782)","Trevone Boykin",7975782,5000,"Ari@Sea 04:25PM ET","Sea","Trevone","Boykin","Ari",0,0,0,0,0,0,0,0
"QB","Christian Ponder (7975784)","Christian Ponder",7975784,5000,"SF@LA 04:25PM ET","SF","Christian","Ponder","LA",0,0,0,0,0,0,0,0
"QB","Case Keenum (7975785)","Case Keenum",7975785,5000,"SF@LA 04:25PM ET","LA","Case","Keenum","SF",0,0,0,0,0,0,0,0
"QB","Blaine Gabbert (7975786)","Blaine Gabbert",7975786,5000,"SF@LA 04:25PM ET","SF","Blaine","Gabbert","LA",0,0,0,0,0,15,0.00230414746543779,0
"QB","Sean Mannion (7975787)","Sean Mannion",7975787,5000,"SF@LA 04:25PM ET","LA","Sean","Mannion","SF",0,0,0,0,0,0,0,0
"QB","Jared Goff (7975788)","Jared Goff",7975788,5000,"SF@LA 04:25PM ET","LA","Jared","Goff","SF",14,13,0,12.9732125731399,13.4267273765411,0,0,0
"QB","Brandon Weeden (7975790)","Brandon Weeden",7975790,5000,"Cin@Hou 08:25PM ET","Hou","Brandon","Weeden","Cin",0,0,0,0,0,0,0,0
"QB","Brock Osweiler (7975791)","Brock Osweiler",7975791,5000,"Cin@Hou 08:25PM ET","Hou","Brock","Osweiler","Cin",0,0,0,0,0,15,0.00194552529182879,0
"QB","AJ McCarron (7975792)","AJ McCarron",7975792,5000,"Cin@Hou 08:25PM ET","Cin","AJ","McCarron","Hou",0,0,0,0,0,0,0,0
"QB","Tom Savage (7975793)","Tom Savage",7975793,5000,"Cin@Hou 08:25PM ET","Hou","Tom","Savage","Cin",14.86,14.2,0,13.9794692787828,14.468058963096,0,0,0
"QB","Jeff Driskel (7975794)","Jeff Driskel",7975794,5000,"Cin@Hou 08:25PM ET","Cin","Jeff","Driskel","Hou",0,0,0,0,0,0,0,0
"RB","Derrick Henry (7975831)","Derrick Henry",7975831,4900,"Ten@Jax 01:00PM ET","Ten","Derrick","Henry","Jax",7.08,5.5,0,6.00053695686404,6.21057441962083,9,0.0269662921348315,0
"WR","Rishard Matthews (7975941)","Rishard Matthews",7975941,4900,"Ten@Jax 01:00PM ET","Ten","Rishard","Matthews","Jax",12.52,11,0,11.2754708212667,11.6697947375186,1,0.197752808988764,1
"TE","Kyle Rudolph (7976070)","Kyle Rudolph",7976070,4900,"Min@GB 01:00PM ET","Min","Kyle","Rudolph","GB",12.67,10.7,0,11.1853975770196,11.5766839427877,1,0.22265625,0
"WR","Terrelle Pryor Sr. (7975961)","Terrelle Pryor Sr.",7975961,4900,"SD@Cle 01:00PM ET","Cle","Terrelle","Pryor","SD",11.15,13.5,0,11.9729882807877,12.3907408975478,1,0.254032258064516,0
"WR","Pierre Garcon (7975974)","Pierre Garcon",7975974,4900,"Was@Chi 01:00PM ET","Was","Pierre","Garcon","Chi",12.62,14.6,0,13.1969874813026,13.6575954896994,1,0.18664047151277,1
"WR","Robby Anderson (7975933)","Robby Anderson",7975933,4800,"NYJ@NE 01:00PM ET","NYJ","Robby","Anderson","NE",10.5,11.7,0,10.7467654047474,11.1219548744855,4,0.132796780684105,0
"WR","Travis Benjamin (7975962)","Travis Benjamin",7975962,4800,"SD@Cle 01:00PM ET","SD","Travis","Benjamin","Cle",8.04,7.6,0,7.5203558957687,7.78321690009236,3,0.150515463917526,1
"RB","Frank Gore (7975865)","Frank Gore",7975865,4800,"Ind@Oak 04:05PM ET","Ind","Frank","Gore","Oak",12.99,14.7,0,13.4128370782673,13.8810523741566,5,0.0905660377358491,0
"WR","Tyler Lockett (7976014)","Tyler Lockett",7976014,4800,"Ari@Sea 04:25PM ET","Sea","Tyler","Lockett","Ari",11.56,10.8,0,10.746434627129,11.1220895647144,4,0.155902004454343,1
"WR","Brandon LaFell (7976029)","Brandon LaFell",7976029,4800,"Cin@Hou 08:25PM ET","Cin","Brandon","LaFell","Hou",9.64,8.8,0,8.85401887483929,9.16357411791249,2,0.182730923694779,1
"TE","Tyler Eifert (7976117)","Tyler Eifert",7976117,4800,"Cin@Hou 08:25PM ET","Cin","Tyler","Eifert","Hou",12.76,12.5,0,12.1638535434391,12.5889100286763,5,0.0943775100401606,0
"WR","Cameron Meredith (7975978)","Cameron Meredith",7975978,4700,"Was@Chi 01:00PM ET","Chi","Cameron","Meredith","Was",11.46,12.3,0,11.4843874398886,11.8854363225881,1,0.169921875,1
"RB","C.J. Prosise (7975880)","C.J. Prosise",7975880,4700,"Ari@Sea 04:25PM ET","Sea","C.J.","Prosise","Ari",0,0,0,0,0,6,0.044543429844098,0
"WR","Allen Robinson (7975945)","Allen Robinson",7975945,4600,"Ten@Jax 01:00PM ET","Jax","Allen","Robinson","Ten",12.44,13.8,0,12.7001764354887,13.1435772450111,1,0.23758865248227,1
"RB","Adrian Peterson (7975832)","Adrian Peterson",7975832,4600,"Min@GB 01:00PM ET","Min","Adrian","Peterson","GB",8.74,9.4,0,8.76870081731096,9.07491006040228,10,0.01171875,0
"WR","Adam Thielen (7975955)","Adam Thielen",7975955,4600,"Min@GB 01:00PM ET","Min","Adam","Thielen","GB",11.21,12.8,0,11.6345095136337,12.0406209804728,3,0.15234375,1
"RB","Mike Gillislee (7975798)","Mike Gillislee",7975798,4500,"Mia@Buf 01:00PM ET","Buf","Mike","Gillislee","Mia",6.66,3.4,0,4.71963610937958,4.88532902142398,10,0.0268948655256724,0
"WR","Ted Ginn Jr. (7975984)","Ted Ginn Jr.",7975984,4500,"Atl@Car 01:00PM ET","Car","Ted","Ginn","Atl",10.59,9.9,0,9.84794880213466,10.1921944826885,3,0.156862745098039,0
"TE","Jimmy Graham (7976101)","Jimmy Graham",7976101,4500,"Ari@Sea 04:25PM ET","Sea","Jimmy","Graham","Ari",12.48,10.1,0,10.7884550426072,11.1659724082991,2,0.191536748329621,0
"RB","Mark Ingram (7975807)","Mark Ingram",7975807,4400,"TB@NO 04:25PM ET","NO","Mark","Ingram","TB",12.5,13.1,0,12.3616976683347,12.7934573279361,6,0.0795262267343486,0
"TE","Antonio Gates (7976073)","Antonio Gates",7976073,4400,"SD@Cle 01:00PM ET","SD","Antonio","Gates","Cle",12.8,10.9,0,11.3472078158263,11.7441306372808,4,0.14639175257732,0
"WR","J.J. Nelson (7976011)","J.J. Nelson",7976011,4400,"Ari@Sea 04:25PM ET","Ari","J.J.","Nelson","Sea",11.18,11.8,0,11.0997716838237,11.4874360098782,4,0.109826589595376,1
"WR","Marqise Lee (7975943)","Marqise Lee",7975943,4300,"Ten@Jax 01:00PM ET","Jax","Marqise","Lee","Ten",12.06,12.4,0,11.801998446162,12.2142660383845,2,0.164893617021277,1
