"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Frank Gore","RB","IND","vs TEN","15th",5000,6.3,27,12.3,13.23,13.23,100,56,2.6,16.1,3.2
"Marvin Jones","WR","DET","vs JAC","14th",5000,6.6,23.7,10.9,12.29,12.29,100,61,2.5,2.5,0.5
"Robert Woods","WR","BUF","@ CIN","6th",4900,3.8,24.8,8.7,10.83,10.83,100,40,2.2,7.1,1.4
"Carlos Hyde","RB","SF","vs NE","3rd",4900,5.2,26.8,12,12.4,12.4,100,51,2.5,14,2.9
"James White","RB","NE","@ SF","32nd",4800,0.6,24.9,10.5,8.73,8.73,100,20,1.8,18.3,3.8
"DeSean Jackson","WR","WAS","vs GB","23rd",4800,1.9,29.5,12.1,11.06,11.06,100,9,2.3,NA,NA
"Corey Coleman","WR","CLE","vs PIT","8th",4700,3,17.8,NA,11.85,11.85,100,0,2.5,7.9,1.7
"Alfred Morris","RB","DAL","vs BAL","5th",4700,0,16.5,6.4,3.52,3.52,100,0,0.7,0.3,0.1
"Tim Hightower","RB","NO","@ CAR","1st",4700,0,31.8,14.9,9.04,9.04,100,0,1.9,20.6,4.4
"Travis Kelce","TE","KC","vs TB","28th",4700,5.7,24.3,12.2,11.9,11.9,100,50,2.5,20.3,4.3
"Sterling Shepard","WR","NYG","vs CHI","16th",4700,2.7,16.5,NA,10.97,10.97,100,0,2.3,16,3.4
"J.J. Nelson","WR","ARI","@ MIN","10th",4700,1.9,25.3,5.5,9.73,9.73,100,1,2.1,1,0.2
"Giovani Bernard","RB","CIN","vs BUF","22nd",4600,5.5,25.3,11.7,12.09,12.09,100,48,2.6,11.1,2.4
"Darren Sproles","RB","PHI","@ SEA","4th",4500,3.4,23.8,10.1,10.2,10.2,100,40,2.3,3.1,0.7
"Tyreek Hill","WR","KC","vs TB","25th",4500,2,11.9,NA,7.94,7.94,100,0,1.8,10.1,2.2
"Rob Kelley","RB","WAS","vs GB","16th",4400,2.5,15.1,NA,10.07,10.07,100,0,2.3,NA,NA
"Terrance West","RB","BAL","@ DAL","6th",4400,3.4,19.6,3.4,8.77,8.77,100,47,2,12.3,2.8
"Jeremy Hill","RB","CIN","vs BUF","22nd",4400,3.5,26.6,10.8,11.19,11.19,100,36,2.5,8.3,1.9
"Alfred Blue","RB","HOU","@ OAK","20th",4300,0,16.6,8.7,3.84,3.84,100,0,0.9,NA,NA
"Thomas Rawls","RB","SEA","vs PHI","11th",4300,0,33.2,11.7,7.83,7.83,100,0,1.8,11.8,2.7
"Eli Rogers","WR","PIT","@ CLE","29th",4300,2.1,12.3,NA,8.23,8.23,100,0,1.9,6,1.4
"Kendall Wright","WR","TEN","@ IND","28th",4200,1.6,24.7,10,9.28,9.28,100,29,2.2,9.2,2.2
"James Starks","RB","GB","@ WAS","21st",4200,2,23.3,10.8,9.08,9.08,100,0,2.2,NA,NA
"C.J. Prosise","RB","SEA","vs PHI","11th",4200,3.3,20,NA,13.31,13.31,100,0,3.2,16.1,3.8
"Ryan Mathews","RB","PHI","@ SEA","4th",4200,0.1,20.2,10,6.85,6.85,100,46,1.6,3.1,0.7
"Allen Hurns","WR","JAC","@ DET","21st",4100,1.7,30.8,16.1,11.41,11.41,100,4,2.8,1.9,0.5
"Eric Ebron","TE","DET","vs JAC","10th",4100,5.5,20.2,9.3,10.36,10.36,100,61,2.5,16.1,3.9
"Mike Gillislee","RB","BUF","@ CIN","31st",4100,0,17.6,10.5,4.75,4.75,100,15,1.2,7.2,1.8
"Cameron Meredith","WR","CHI","@ NYG","12th",4100,6.9,16.5,3.8,10.11,10.11,100,73,2.5,8.9,2.2
"John Brown","WR","ARI","@ MIN","10th",4100,2.8,23.8,14.3,9.82,9.82,100,29,2.4,0,NA
"DeVante Parker","WR","MIA","@ LA","9th",4100,3.6,25.2,12.1,10.75,10.75,100,30,2.6,21.9,5.3
"Marqise Lee","WR","JAC","@ DET","21st",4000,4.1,17.9,4.9,8.66,8.66,100,54,2.2,15.8,4
"DuJuan Harris","RB","SF","vs NE","3rd",4000,0,17,9.2,5.44,5.44,100,48,1.4,0.4,0.1
"Benny Cunningham","RB","LA","vs MIA","10th",4000,0,14.2,4.3,4.75,4.75,100,0,1.2,1.4,0.4
"Michael Floyd","WR","ARI","@ MIN","10th",4000,0,27,12.5,7.65,7.65,100,4,1.9,4.1,1
"Jeremy Langford","RB","CHI","@ NYG","23rd",4000,0,22.4,10,2.2,2.2,100,0,0.6,12.8,3.2
"Brandon LaFell","WR","CIN","vs BUF","32nd",4000,0.5,23.6,8.4,8.16,8.16,100,25,2,7.2,1.8
"Tavon Austin","WR","LA","vs MIA","20th",3900,3.3,24.3,12.5,10.28,10.28,100,31,2.6,3.9,1
"Pierre Garcon","WR","WAS","vs GB","23rd",3900,3.2,22.8,11.6,9.75,9.75,100,39,2.5,NA,NA
"DeAndre Washington","RB","OAK","vs HOU","28th",3900,1.3,7.9,NA,5.27,5.27,100,0,1.4,NA,NA
"Ted Ginn","WR","CAR","vs NO","31st",3900,0,23.9,12.5,7.52,7.52,100,0,1.9,14.9,3.8
"Damien Williams","RB","MIA","@ LA","8th",3900,1.9,14.2,3.3,6,6,100,51,1.5,0,NA
"Kyle Rudolph","TE","MIN","vs ARI","1st",3900,3,19.5,8.2,8.46,8.46,100,53,2.2,3.2,0.8
"Paul Perkins","RB","NYG","vs CHI","9th",3900,2.6,15.4,NA,10.27,10.27,100,0,2.6,5.5,1.4
"Isaiah Crowell","RB","CLE","vs PIT","25th",3900,6.2,26.3,8.8,12.91,12.91,100,50,3.3,7.3,1.9
"Sammie Coates","WR","PIT","@ CLE","29th",3900,2.2,13,2.1,8.65,8.65,100,0,2.2,NA,NA
"Kenneth Dixon","RB","BAL","@ DAL","6th",3900,1.8,10.8,NA,7.23,7.23,100,0,1.9,4,1
"Russell Shepard","WR","TB","@ KC","15th",3900,2.2,9.1,1.7,4.47,4.47,100,61,1.1,8.4,2.2
"Adam Humphries","WR","TB","@ KC","15th",3900,6,17.1,5.4,9.74,9.74,100,61,2.5,8.7,2.2
"Ka'Deem Carey","RB","CHI","@ NYG","23rd",3900,0.4,11.2,4.7,4.05,4.05,100,0,1,NA,NA
"Adam Thielen","WR","MIN","vs ARI","24th",3800,2.8,17.5,3.9,7.65,7.65,100,53,2,17.5,4.6
"Matt Asiata","RB","MIN","vs ARI","7th",3800,0,24.4,2.9,7.6,7.6,100,0,2,9.7,2.6
"Zach Miller","TE","CHI","@ NYG","26th",3800,9.4,15.1,NA,11.26,11.26,100,84,3,15.1,4
"Anquan Boldin","WR","DET","vs JAC","14th",3800,1.7,23.3,12.6,8.94,8.94,100,31,2.4,9.7,2.6
"Cameron Brate","TE","TB","@ KC","6th",3800,4.9,19.9,5.8,9.89,9.89,100,56,2.6,3.8,1
"Duke Johnson","RB","CLE","vs PIT","25th",3800,5.8,22,10.3,11.15,11.15,100,48,2.9,8.6,2.3
"Seahawks","DST","SEA","vs PHI","17th",3800,1.2,18.3,9.9,6.86,6.86,100,37,1.8,7,1.8
"Devin Funchess","WR","CAR","vs NO","31st",3700,1.2,21.9,6.9,8.08,8.08,100,4,2.2,5.2,1.4
"Wendell Smallwood","RB","PHI","@ SEA","4th",3700,0.7,4,NA,2.67,2.67,100,0,0.7,11.9,3.2
"Martellus Bennett","TE","NE","@ SF","22nd",3700,4.5,27.3,10.4,12.14,12.14,100,44,3.3,2.4,0.6
"Victor Cruz","WR","NYG","vs CHI","16th",3700,0.7,25,NA,8.77,8.77,100,5,2.4,5.8,1.6
"Steelers","DST","PIT","@ CLE","27th",3700,2.3,19.4,9.3,8.01,8.01,100,0,2.2,22,5.9
"Patriots","DST","NE","@ SF","23rd",3600,3.1,18.1,8.1,8.13,8.13,100,19,2.3,6,1.7
"Chris Thompson","RB","WAS","vs GB","16th",3600,2,20,7.1,7.99,7.99,100,38,2.2,NA,NA
"Tyler Lockett","WR","SEA","vs PHI","19th",3600,0,22.2,10.6,6.44,6.44,100,0,1.8,5.9,1.6
"Rashad Jennings","RB","NYG","vs CHI","9th",3600,4.7,26.9,10.8,12.07,12.07,100,20,3.4,23.9,6.6
"Chris Ivory","RB","JAC","@ DET","24th",3600,1,22.9,14.2,8.3,8.3,100,0,2.3,16.4,4.6
"Dennis Pitta","TE","BAL","@ DAL","16th",3600,2.8,21.7,NA,9.09,9.09,100,34,2.5,6,1.7
"Kenny Stills","WR","MIA","@ LA","9th",3600,1.7,23,5.9,8.83,8.83,100,24,2.5,7.3,2
"Jeremy Kerley","WR","SF","vs NE","3rd",3500,3.9,19.5,2.7,9.05,9.05,100,54,2.6,0,NA
"Danny Amendola","WR","NE","@ SF","18th",3500,0,21.4,11.1,6.05,6.05,100,0,1.7,8.2,2.3
"Cordarrelle Patterson","WR","MIN","vs ARI","24th",3500,1,17.2,1.1,6.41,6.41,100,30,1.8,15.3,4.4
"Andre Ellington","RB","ARI","@ MIN","14th",3500,0,19.8,7.6,3.63,3.63,100,0,1,3.3,0.9
"Giants","DST","NYG","vs CHI","32nd",3500,2.2,20.8,7.1,8.44,8.44,100,0,2.4,7,2
"Marquise Goodwin","WR","BUF","@ CIN","6th",3500,6.1,11.2,2.2,7.85,7.85,100,82,2.2,3.5,1
"Julius Thomas","TE","JAC","@ DET","18th",3500,1.1,29.6,10.4,10.55,10.55,100,2,3,4.2,1.2
"Dwayne Washington","RB","DET","vs JAC","27th",3500,1.4,8.1,NA,5.41,5.41,100,0,1.5,4.1,1.2
"T.J. Yeldon","RB","JAC","@ DET","24th",3500,3.7,19.3,13.5,8.93,8.93,100,49,2.6,5.2,1.5
"Jerick McKinnon","RB","MIN","vs ARI","7th",3500,0.9,19.5,5.2,7.11,7.11,100,0,2,5.1,1.5
"Matt Jones","RB","WAS","vs GB","16th",3500,0,22.6,9.6,3.43,3.43,100,19,1,NA,NA
"Jesse James","TE","PIT","@ CLE","32nd",3400,1.6,10,4.3,4.41,4.41,100,64,1.3,1.5,0.4
"Coby Fleener","TE","NO","@ CAR","29th",3400,1.1,23.9,8.2,8.68,8.68,100,24,2.6,10.7,3.1
"Eddie Royal","WR","CHI","@ NYG","12th",3400,0,23.2,7.4,7.57,7.57,100,38,2.2,3.3,1
"Chiefs","DST","KC","vs TB","5th",3400,2.3,25.1,10.9,9.93,9.93,100,30,2.9,3,0.9
"Albert Wilson","WR","KC","vs TB","25th",3400,0,15,6.8,4.35,4.35,100,9,1.3,11.9,3.5
"Robert Turbin","RB","IND","vs TEN","15th",3400,1.9,12.1,3.5,5.3,5.3,100,33,1.6,6.4,1.9
"Brian Quick","WR","LA","vs MIA","20th",3400,1.4,23,2.2,8.6,8.6,100,25,2.5,5.1,1.5
"Breshad Perriman","WR","BAL","@ DAL","26th",3400,1.4,8.4,NA,5.59,5.59,100,0,1.6,NA,NA
"Torrey Smith","WR","SF","vs NE","3rd",3400,0,23.2,8,7.75,7.75,100,0,2.3,NA,NA
"Chris Conley","WR","KC","vs TB","25th",3300,2,16.7,4.8,6.93,6.93,100,26,2.1,6.8,2.1
"C.J. Fiedorowicz","TE","HOU","@ OAK","7th",3300,6.6,15,3,9.39,9.39,100,67,2.8,NA,NA
"Jalen Richard","RB","OAK","vs HOU","28th",3300,1.5,8.8,NA,5.87,5.87,100,0,1.8,NA,NA
"Dion Lewis","RB","NE","@ SF","32nd",3300,3.4,23.2,17.3,10,10,100,0,3,7.9,2.4
"Vikings","DST","MIN","vs ARI","24th",3300,3.9,21.9,8.8,9.88,9.88,100,46,3,20,6.1
"Terrance Williams","WR","DAL","vs BAL","13th",3300,0.7,21.7,9.8,7.69,7.69,100,16,2.3,2.1,0.6
"Jason Witten","TE","DAL","vs BAL","12th",3300,4.1,19.7,10.3,9.29,9.29,100,56,2.8,8.7,2.6
"Phillip Dorsett","WR","IND","vs TEN","30th",3300,4.7,14.6,4.3,8,8,100,54,2.4,6,1.8
"Jack Doyle","TE","IND","vs TEN","24th",3300,6.5,16.1,3.2,9.74,9.74,100,71,3,1.7,0.5
"Percy Harvin","WR","BUF","@ CIN","6th",3300,0,18.6,10,2.42,2.42,100,0,0.7,3.7,1.1
"Roger Lewis","WR","NYG","vs CHI","16th",3300,0.8,4.6,NA,3.06,3.06,100,0,0.9,1.8,0.5
"Ronnie Hillman","RB","MIN","vs ARI","7th",3300,0,20,10.9,4.2,4.2,100,0,1.3,0.9,0.3
"Kamar Aiken","WR","BAL","@ DAL","26th",3300,0,19.8,12.6,5.38,5.38,100,0,1.6,6.5,2
"Lions","DST","DET","vs JAC","22nd",3200,3,19.2,5.9,8.42,8.42,100,0,2.6,19,5.9
"Tajae Sharpe","WR","TEN","@ IND","28th",3200,2.3,13.7,NA,9.16,9.16,100,0,2.9,16.8,5.3
"Brice Butler","WR","DAL","vs BAL","13th",3200,0,11,7.6,2.98,2.98,100,9,0.9,6.9,2.2
"Shaun Draughn","RB","SF","vs NE","3rd",3200,0,13.6,7.1,0.45,0.45,100,0,0.1,13.3,4.2
"Fozzy Whittaker","RB","CAR","vs NO","17th",3200,2,13.4,2.5,5.83,5.83,100,46,1.8,0,NA
"Zach Ertz","TE","PHI","@ SEA","13th",3200,0.2,22.4,11.8,7.61,7.61,100,13,2.4,15.5,4.8
"Rams","DST","LA","vs MIA","11th",3100,0,23.2,8.4,7.55,7.55,100,0,2.4,7,2.3
"Andrew Hawkins","WR","CLE","vs PIT","8th",3100,0,18.8,7,6.02,6.02,100,3,1.9,3,1
"Gary Barnidge","TE","CLE","vs PIT","17th",3100,0.5,25.7,15.4,8.94,8.94,100,0,2.9,10.3,3.3
"Cardinals","DST","ARI","@ MIN","30th",3100,0,24.3,10.4,7.92,7.92,100,13,2.6,7,2.3
"Tyler Boyd","WR","CIN","vs BUF","32nd",3000,1.6,9.6,NA,6.42,6.42,100,0,2.1,17.4,5.8
"James Wright","WR","CIN","vs BUF","32nd",3000,0,7.4,NA,1.76,1.76,100,0,0.6,4.2,1.4
"Cecil Shorts III","WR","TB","@ KC","15th",3000,0,16.3,10.1,3.91,3.91,100,0,1.3,11.2,3.7
"Justin Hunter","WR","BUF","@ CIN","6th",3000,0.7,14.8,6,5.37,5.37,100,24,1.8,NA,NA
"Bengals","DST","CIN","vs BUF","2nd",3000,1.5,17.1,8.6,6.73,6.73,100,0,2.2,5,1.7
"Brandon Tate","WR","BUF","@ CIN","6th",3000,0,8.6,0.9,1.36,1.36,100,0,0.5,6.8,2.3
"Jonathan Williams","RB","BUF","@ CIN","31st",3000,0.2,1.2,NA,0.8,0.8,100,0,0.3,3.6,1.2
"Reggie Bush","RB","BUF","@ CIN","31st",3000,0,13.7,1.7,0.69,0.69,100,0,0.2,4.1,1.4
"Nelson Agholor","WR","PHI","@ SEA","5th",3000,3.4,15.7,4.3,7.51,7.51,100,39,2.5,2,0.7
"Dorial Green-Beckham","WR","PHI","@ SEA","5th",3000,0,20.9,8.5,6.47,6.47,100,0,2.2,16.4,5.5
"Paul Richardson","WR","SEA","vs PHI","19th",3000,0,10.4,5,3.03,3.03,100,0,1,1.6,0.5
"Jermaine Kearse","WR","SEA","vs PHI","19th",3000,0,22.9,9.4,7.3,7.3,100,0,2.4,4.9,1.6
"Seth Roberts","WR","OAK","vs HOU","4th",3000,0,22.4,7.2,6.98,6.98,100,9,2.3,NA,NA
"Braxton Miller","WR","HOU","@ OAK","1st",3000,1.2,6.9,NA,4.61,4.61,100,0,1.5,NA,NA
"Andre Holmes","WR","OAK","vs HOU","4th",3000,0,18,4.5,3.58,3.58,100,0,1.2,NA,NA
"Chris Harper","WR","SF","vs NE","3rd",3000,0,2.2,0.2,0,0,100,0,0,5.5,1.8
"Malcolm Mitchell","WR","NE","@ SF","18th",3000,0.7,4.2,NA,2.82,2.82,100,0,0.9,19.8,6.6
"Quinton Patton","WR","SF","vs NE","3rd",3000,3.2,13.4,4.7,6.6,6.6,100,53,2.2,3.7,1.2
"Lance Kendricks","TE","LA","vs MIA","11th",3000,4.1,16.1,4.4,8.12,8.12,100,50,2.7,6.8,2.3
"Bryce Treggs","WR","PHI","@ SEA","5th",3000,1,6.1,NA,4.07,4.07,100,0,1.4,0,NA
"Brandon Coleman","WR","NO","@ CAR","17th",3000,0,13.4,5.5,2.77,2.77,100,7,0.9,7.9,2.6
"John Kuhn","RB","NO","@ CAR","1st",3000,0.8,4.7,NA,3.15,3.15,100,0,1.1,NA,NA
"Corey Philly Brown","WR","CAR","vs NO","31st",3000,0.7,16.9,7.4,6.08,6.08,100,0,2,0,NA
"Fitzgerald Toussaint","RB","PIT","@ CLE","29th",3000,0,14.2,2.1,3.55,3.55,100,0,1.2,NA,NA
"Denard Robinson","RB","JAC","@ DET","24th",3000,0,13.8,5.7,0.59,0.59,100,0,0.2,3.5,1.2
