"Player","Pos","Team","Opp","Def.v.Pos","Salary","Floor","Ceiling","X2015.Avg","FC.Proj","My.Proj","Exposure","Consistency","Value","Actual.Score","Actual.Val"
"Larry Fitzgerald","WR","ARI","@ ATL","19th",7000,8.3,37.7,18.2,18.06,18.06,100,47,2.6,9.3,1.3
"Aaron Rodgers","QB","GB","@ PHI","13th",7000,9.8,35.6,20.1,18.4,18.4,100,66,2.6,26.12,3.7
"Rob Gronkowski","TE","NE","@ NYJ","19th",6900,1.1,27.8,18,10.01,10.01,100,41,1.5,0,NA
"Demaryius Thomas","WR","DEN","vs KC","20th",6900,5.6,34.4,17.6,15.18,15.18,100,38,2.2,11,1.6
"Matt Ryan","QB","ATL","vs ARI","6th",6900,10,29.5,16.9,16.5,16.5,100,73,2.4,19.26,2.8
"Cam Newton","QB","CAR","@ OAK","1st",6800,8.4,37.8,25.9,18.22,18.22,100,52,2.7,22.44,3.3
"Brandin Cooks","WR","NO","vs LA","3rd",6800,6.2,31.4,16.6,14.58,14.58,100,50,2.1,NA,NA
"Julian Edelman","WR","NE","@ NYJ","11th",6800,7.6,30.7,19.6,15.32,15.32,100,38,2.3,16.3,2.4
"Kelvin Benjamin","WR","CAR","@ OAK","2nd",6700,6.4,31.4,NA,14.75,14.75,100,41,2.2,13.3,2
"Russell Wilson","QB","SEA","@ TB","30th",6700,11.1,37.2,21.9,19.76,19.76,100,51,2.9,12.04,1.8
"Davante Adams","WR","GB","@ PHI","26th",6600,4.1,23.9,8.2,10.66,10.66,100,59,1.6,31.3,4.7
"Michael Thomas","WR","NO","vs LA","3rd",6600,3.3,19.7,NA,13.13,13.13,100,0,2,34.8,5.3
"Michael Crabtree","WR","OAK","vs CAR","13th",6500,7.8,30.3,15,15.28,15.28,100,52,2.4,22,3.4
"Eli Manning","QB","NYG","@ CLE","29th",6500,8.4,34.6,20.2,17.15,17.15,100,50,2.6,19.56,3
"Donte Moncrief","WR","IND","vs PIT","9th",6400,1.7,27.8,11.2,10.37,10.37,100,30,1.6,16.5,2.6
"Devonta Freeman","RB","ATL","vs ARI","22nd",6400,2.2,38.2,22.1,14.15,14.15,100,23,2.2,21.7,3.4
"Doug Baldwin","WR","SEA","@ TB","27th",6400,6.1,34,17.4,15.4,15.4,100,45,2.4,10.4,1.6
"DeAndre Hopkins","WR","HOU","vs SD","25th",6300,5.5,36.7,21.8,15.89,15.89,100,17,2.5,12,1.9
"Philip Rivers","QB","SD","@ HOU","12th",6300,6.6,32.4,20.2,15.15,15.15,100,57,2.4,20.68,3.3
"Dak Prescott","QB","DAL","vs WAS","24th",6300,4.8,29.1,NA,19.37,19.37,100,0,3.1,21.7,3.4
"Emmanuel Sanders","WR","DEN","vs KC","20th",6200,4.6,33.7,15.9,14.33,14.33,100,32,2.3,32.2,5.2
"Jordan Reed","TE","WAS","@ DAL","15th",6200,5.3,34.7,18,15.09,15.09,100,35,2.4,31.5,5.1
"Brandon Marshall","WR","NYJ","vs NE","1st",6100,4.5,33.6,23.2,14.18,14.18,100,20,2.3,18.7,3.1
"Spencer Ware","RB","KC","@ DEN","1st",6100,9.7,30.7,10.9,16.67,16.67,100,55,2.7,11.6,1.9
"Derek Carr","QB","OAK","vs CAR","17th",6100,10.5,34.2,19.1,18.38,18.38,100,62,3,22.3,3.7
"Steve Smith","WR","BAL","vs CIN","10th",6000,2,34.4,20,12.82,12.82,100,27,2.1,6,1
"Tyrell Williams","WR","SD","@ HOU","7th",6000,2.8,16.6,8.5,11.08,11.08,100,0,1.8,21,3.5
"LeGarrette Blount","RB","NE","@ NYJ","12th",5900,2.2,29.8,10.5,11.37,11.37,100,47,1.9,6.7,1.1
"Jarvis Landry","WR","MIA","vs SF","18th",5900,6.8,29.3,17.8,14.33,14.33,100,50,2.4,8.7,1.5
"Tyrod Taylor","QB","BUF","vs JAC","7th",5900,9.3,33.6,19.9,17.39,17.39,100,55,2.9,20.44,3.5
"Kirk Cousins","QB","WAS","@ DAL","28th",5900,8.5,37,20.5,18.03,18.03,100,55,3.1,33.16,5.6
"Jamison Crowder","WR","WAS","@ DAL","30th",5800,5.9,25.4,8.6,12.37,12.37,100,60,2.1,16.8,2.9
"Greg Olsen","TE","CAR","@ OAK","5th",5800,6.6,31.5,14.8,14.89,14.89,100,46,2.6,8.5,1.5
"Lamar Miller","RB","HOU","vs SD","17th",5800,4.3,30.4,15.1,13.02,13.02,100,43,2.2,9.5,1.6
"Rishard Matthews","WR","TEN","@ CHI","12th",5800,4.2,28.2,12.7,12.17,12.17,100,39,2.1,15.4,2.7
"Randall Cobb","WR","GB","@ PHI","26th",5700,4.1,29,12.9,12.4,12.4,100,40,2.2,10.1,1.8
"Matthew Stafford","QB","DET","vs MIN","22nd",5700,7.2,31.5,19.7,15.33,15.33,100,58,2.7,16.28,2.9
"Thomas Rawls","RB","SEA","@ TB","24th",5700,0.9,39,11.7,13.55,13.55,100,0,2.4,3.8,0.7
"Colin Kaepernick","QB","SF","@ MIA","23rd",5700,8.2,32.4,13.6,16.25,16.25,100,61,2.9,37.14,6.5
"Todd Gurley","RB","LA","@ NO","19th",5700,4.5,33.6,17.3,14.19,14.19,100,24,2.5,12.9,2.3
"Terrelle Pryor","WR","CLE","vs NYG","22nd",5600,3.6,21.4,2.6,14.25,14.25,100,0,2.5,22.1,3.9
"Rashad Jennings","RB","NYG","@ CLE","30th",5600,7.8,30,10.8,15.15,15.15,100,35,2.7,7.9,1.4
"Tyler Eifert","TE","CIN","@ BAL","10th",5600,2.7,30.6,15,12.01,12.01,100,25,2.1,17.8,3.2
"Blake Bortles","QB","JAC","@ BUF","32nd",5600,7.3,31.9,22.3,15.52,15.52,100,59,2.8,21.14,3.8
"Golden Tate","WR","DET","vs MIN","16th",5600,5.7,28.8,13.2,13.4,13.4,100,37,2.4,12.7,2.3
"Devontae Booker","RB","DEN","vs KC","21st",5600,3.3,19.8,NA,13.2,13.2,100,0,2.4,11.1,2
"Latavius Murray","RB","OAK","vs CAR","3rd",5500,4.6,26.2,13.2,11.75,11.75,100,57,2.1,17.8,3.2
"Cole Beasley","WR","DAL","vs WAS","24th",5500,4.4,26.3,8.5,11.66,11.66,100,49,2.1,10.6,1.9
"Sterling Shepard","WR","NYG","@ CLE","28th",5500,2.9,17.7,NA,11.79,11.79,100,0,2.1,2.2,0.4
"Ryan Tannehill","QB","MIA","vs SF","19th",5500,9.8,28.4,18.2,15.99,15.99,100,60,2.9,26.8,4.9
"Matt Forte","RB","NYJ","vs NE","8th",5500,5.3,31.4,16.8,13.97,13.97,100,48,2.5,8,1.5
"Andy Dalton","QB","CIN","@ BAL","9th",5400,6.7,31.6,20.4,15.03,15.03,100,56,2.8,14.72,2.7
"Tim Hightower","RB","NO","vs LA","5th",5400,0,32.3,14.9,9.53,9.53,100,0,1.8,18.5,3.4
"Kenny Britt","WR","LA","@ NO","31st",5400,6.1,25.6,7.8,12.56,12.56,100,55,2.3,16.2,3
"Jameis Winston","QB","TB","vs SEA","4th",5400,10.4,22.7,18.6,14.52,14.52,100,80,2.7,17,3.1
"Theo Riddick","RB","DET","vs MIN","16th",5400,6.6,24.6,11.3,12.62,12.62,100,65,2.3,10.8,2
"Carson Wentz","QB","PHI","vs GB","11th",5400,4,23.9,NA,15.96,15.96,100,0,3,18.46,3.4
"Mike Wallace","WR","BAL","vs CIN","10th",5300,3.4,24.1,6.6,10.27,10.27,100,56,1.9,8.6,1.6
"Carson Palmer","QB","ARI","@ ATL","18th",5300,11.4,30.9,21.8,17.86,17.86,100,63,3.4,18.56,3.5
"Jimmy Graham","TE","SEA","@ TB","27th",5300,4.7,31.1,11.2,13.47,13.47,100,38,2.5,11.7,2.2
"Joe Flacco","QB","BAL","vs CIN","16th",5300,7.2,29.7,19.1,14.68,14.68,100,54,2.8,14.26,2.7
"Jordan Howard","RB","CHI","vs TEN","15th",5300,3.4,20.6,NA,13.75,13.75,100,0,2.6,15.7,3
"Willie Snead","WR","NO","vs LA","3rd",5200,6.1,26.8,12.7,12.98,12.98,100,52,2.5,14.8,2.8
"Jared Goff","QB","LA","@ NO","31st",5200,3.3,19.5,NA,13.02,13.02,100,0,2.5,18.56,3.6
"Derrick Henry","RB","TEN","@ CHI","10th",5200,1.5,8.8,NA,5.84,5.84,100,0,1.1,12,2.3
"Frank Gore","RB","IND","vs PIT","26th",5200,6.5,27.2,12.3,13.41,13.41,100,56,2.6,4.1,0.8
"Brock Osweiler","QB","HOU","vs SD","21st",5100,5.7,31.5,15.8,14.34,14.34,100,33,2.8,15.14,3
"Sam Bradford","QB","MIN","@ DET","15th",5100,9,25.5,16.2,14.52,14.52,100,63,2.8,7.96,1.6
"Alfred Morris","RB","DAL","vs WAS","27th",5100,0,17.5,6.4,4.48,4.48,100,0,0.9,1.2,0.2
"Ryan Fitzpatrick","QB","NYJ","vs NE","2nd",5100,4.3,28.3,19.1,12.31,12.31,100,36,2.4,17.86,3.5
"Trevor Siemian","QB","DEN","vs KC","20th",5100,3.1,18.3,-0.1,12.2,12.2,100,0,2.4,32.02,6.3
"Will Fuller","WR","HOU","vs SD","25th",5100,3,17.8,NA,11.89,11.89,100,0,2.3,10,2
"Mark Ingram","RB","NO","vs LA","5th",5000,5.7,23.4,17.3,11.58,11.58,100,58,2.3,32.7,6.5
"Alex Smith","QB","KC","@ DEN","3rd",5000,8.5,22.9,17.6,13.26,13.26,100,68,2.7,15,3
"Jonathan Stewart","RB","CAR","@ OAK","2nd",5000,6.4,25.6,13.1,12.78,12.78,100,39,2.6,21.6,4.3
"Sammy Watkins","WR","BUF","vs JAC","8th",5000,0,28.6,18,6.62,6.62,100,0,1.3,11,2.2
"Matt Barkley","QB","CHI","vs TEN","27th",5000,2.3,13.9,NA,9.27,9.27,100,0,1.9,25.64,5.1
"Jordan Matthews","WR","PHI","vs GB","17th",5000,6.2,35.3,15.2,15.89,15.89,100,30,3.2,8.7,1.7
"Josh McCown","QB","CLE","vs NYG","25th",5000,3.7,30.1,18.9,12.46,12.46,100,30,2.5,17.88,3.6
"Charcandrick West","RB","KC","@ DEN","1st",5000,0,24.3,10.5,6.31,6.31,100,0,1.3,0.8,0.2
"Scott Tolzien","QB","IND","vs PIT","14th",5000,2.8,16.8,-0.1,11.18,11.18,100,0,2.2,10.8,2.2
"Delanie Walker","TE","TEN","@ CHI","12th",4900,5.2,27.1,16.5,12.48,12.48,100,48,2.5,14,2.9
"Doug Martin","RB","TB","vs SEA","13th",4900,2.8,28.9,15.6,11.51,11.51,100,17,2.3,10,2
"Travis Benjamin","WR","SD","@ HOU","7th",4900,1.3,26.8,13.1,9.76,9.76,100,31,2,1.8,0.4
"Tyreek Hill","WR","KC","@ DEN","5th",4800,2.6,15.5,NA,10.33,10.33,100,0,2.2,32.5,6.8
"DeSean Jackson","WR","WAS","@ DAL","30th",4800,3.2,30.8,12.1,12.35,12.35,100,13,2.6,24.8,5.2
"Carlos Hyde","RB","SF","@ MIA","4th",4800,6.2,27.8,12,13.45,13.45,100,51,2.8,20.5,4.3
"Ty Montgomery","WR","GB","@ PHI","26th",4700,2.6,17.6,7,7.55,7.55,100,32,1.6,3.4,0.7
"DeVante Parker","WR","MIA","vs SF","18th",4700,5.4,27,12.1,12.62,12.62,100,38,2.7,9.4,2
"Chris Hogan","WR","NE","@ NYJ","11th",4700,1.7,18.5,7.2,7.28,7.28,100,30,1.5,11,2.3
"Cameron Meredith","WR","CHI","vs TEN","21st",4700,9.9,19.5,3.8,13.08,13.08,100,72,2.8,3.9,0.8
"Tevin Coleman","RB","ATL","vs ARI","22nd",4700,6,17.4,4.1,9.84,9.84,100,77,2.1,9.3,2
"Brandon LaFell","WR","CIN","@ BAL","6th",4600,1.8,24.9,8.4,9.54,9.54,100,22,2.1,6.8,1.5
"Bilal Powell","RB","NYJ","vs NE","8th",4600,1.5,22.5,12.3,8.48,8.48,100,29,1.8,5.3,1.2
"Martellus Bennett","TE","NE","@ NYJ","19th",4500,4,26.8,10.4,11.55,11.55,100,39,2.6,5.6,1.2
"Jacquizz Rodgers","RB","TB","vs SEA","13th",4500,0.8,10.4,1.2,4,4,100,71,0.9,NA,NA
"Darren Sproles","RB","PHI","vs GB","18th",4500,4.2,24.6,10.1,10.99,10.99,100,35,2.4,10.4,2.3
"Eli Rogers","WR","PIT","@ IND","15th",4500,2.2,13.5,NA,8.97,8.97,100,0,2,5.6,1.2
"James Starks","RB","GB","@ PHI","6th",4400,3.3,24.6,10.8,10.42,10.42,100,9,2.4,11.8,2.7
"James White","RB","NE","@ NYJ","12th",4400,0,22.8,10.5,6.56,6.56,100,26,1.5,6.2,1.4
"Michael Floyd","WR","ARI","@ ATL","19th",4300,0,27.7,12.5,8.29,8.29,100,0,1.9,5.1,1.2
"Mohamed Sanu","WR","ATL","vs ARI","29th",4300,2.4,24.3,5.7,9.7,9.7,100,28,2.3,15,3.5
"Alfred Blue","RB","HOU","vs SD","17th",4300,0,17.4,8.7,4.57,4.57,100,0,1.1,NA,NA
"Rob Kelley","RB","WAS","@ DAL","9th",4300,3,18.1,NA,12.06,12.06,100,0,2.8,6.2,1.4
"Wendell Smallwood","RB","PHI","vs GB","18th",4300,2.7,16.2,NA,10.78,10.78,100,0,2.5,5.7,1.3
"Antonio Gates","TE","SD","@ HOU","14th",4200,2.5,27.7,13.5,10.94,10.94,100,24,2.6,NA,NA
"Fitzgerald Toussaint","RB","PIT","@ IND","14th",4200,0,14.1,2.1,3.52,3.52,100,0,0.8,2.8,0.7
"Chris Ivory","RB","JAC","@ BUF","29th",4200,3.2,25.1,14.2,10.49,10.49,100,8,2.5,12.5,3
"J.J. Nelson","WR","ARI","@ ATL","19th",4200,2.3,25.7,5.5,10.08,10.08,100,0,2.4,5,1.2
"Tavon Austin","WR","LA","@ NO","31st",4200,3.6,24.6,12.5,10.63,10.63,100,27,2.5,15.5,3.7
"Corey Coleman","WR","CLE","vs NYG","22nd",4200,2.9,17.3,NA,11.5,11.5,100,0,2.7,12.8,3
"Dontrelle Inman","WR","SD","@ HOU","7th",4100,1.2,19.8,8.4,7.42,7.42,100,24,1.8,26.9,6.6
"Quincy Enunwa","WR","NYJ","vs NE","1st",4100,6.6,16,4.9,9.75,9.75,100,72,2.4,24.9,6.1
"Marvin Jones","WR","DET","vs MIN","16th",4100,5.3,22.4,10.9,11.04,11.04,100,58,2.7,9.4,2.3
"Dion Lewis","RB","NE","@ NYJ","12th",4000,0.9,20.7,17.3,7.46,7.46,100,16,1.9,9.8,2.5
"Kapri Bibbs","RB","DEN","vs KC","21st",4000,1.3,7.8,0,5.18,5.18,100,0,1.3,2.2,0.6
"Travis Kelce","TE","KC","@ DEN","2nd",4000,4,22.6,12.2,10.19,10.19,100,53,2.5,21.1,5.3
"DuJuan Harris","RB","SF","@ MIA","4th",4000,0,16.5,9.2,4.92,4.92,100,31,1.2,1.5,0.4
"Benny Cunningham","RB","LA","@ NO","19th",4000,1,15.1,4.3,5.7,5.7,100,0,1.4,2.2,0.6
"Tyler Boyd","WR","CIN","@ BAL","6th",4000,2.3,14,NA,9.32,9.32,100,0,2.3,11.2,2.8
"Terrance West","RB","BAL","vs CIN","31st",4000,5.3,21.5,3.4,10.74,10.74,100,48,2.7,9.4,2.4
"Marqise Lee","WR","JAC","@ BUF","32nd",4000,4.1,17.9,4.9,8.71,8.71,100,57,2.2,13.9,3.5
"Kendall Wright","WR","TEN","@ CHI","12th",4000,1,24.1,10,8.71,8.71,100,27,2.2,0,NA
"John Brown","WR","ARI","@ ATL","19th",4000,3.9,24.9,14.3,10.89,10.89,100,20,2.7,2.9,0.7
"Eric Ebron","TE","DET","vs MIN","22nd",4000,5.4,20.1,9.3,10.28,10.28,100,63,2.6,0,NA
"Adam Thielen","WR","MIN","@ DET","14th",4000,6.5,21.2,3.9,11.41,11.41,100,56,2.9,13.3,3.3
"Isaiah Crowell","RB","CLE","vs NYG","11th",3900,2.6,22.7,8.8,9.32,9.32,100,48,2.4,14.1,3.6
"Allen Hurns","WR","JAC","@ BUF","32nd",3900,0.8,29.9,16.1,10.53,10.53,100,0,2.7,8.2,2.1
"DeAndre Washington","RB","OAK","vs CAR","3rd",3900,1.3,7.8,NA,5.23,5.23,100,0,1.3,NA,NA
"Pierre Garcon","WR","WAS","@ DAL","30th",3900,5.1,24.6,11.6,11.62,11.62,100,47,3,8.3,2.1
"Damien Williams","RB","MIA","vs SF","32nd",3900,3.2,15.5,3.3,7.27,7.27,100,45,1.9,3.8,1
"Paul Perkins","RB","NYG","@ CLE","30th",3900,2.3,14,NA,9.34,9.34,100,0,2.4,6.3,1.6
"Jeremy Hill","RB","CIN","@ BAL","7th",3900,2.3,25.4,10.8,9.96,9.96,100,34,2.6,14.2,3.6
"Ted Ginn","WR","CAR","@ OAK","2nd",3900,0,24.1,12.5,7.68,7.68,100,0,2,25.8,6.6
"Jeremy Langford","RB","CHI","vs TEN","15th",3800,0,25.4,10,5.2,5.2,100,0,1.4,0.5,0.1
"Bills","DST","BUF","vs JAC","19th",3800,3.7,21.4,5.7,9.63,9.63,100,34,2.5,2,0.5
"Kenneth Dixon","RB","BAL","vs CIN","31st",3800,2.4,14.2,NA,9.45,9.45,100,0,2.5,12,3.2
"Eddie Royal","WR","CHI","vs TEN","21st",3800,3.4,26.8,7.4,11.21,11.21,100,31,3,0.4,0.1
"Zach Ertz","TE","PHI","vs GB","18th",3700,2.6,24.8,11.8,9.97,9.97,100,20,2.7,6.6,1.8
"Tajae Sharpe","WR","TEN","@ CHI","12th",3700,2.2,13.3,NA,8.89,8.89,100,0,2.4,3.1,0.8
"Kyle Rudolph","TE","MIN","@ DET","16th",3700,5.1,21.6,8.2,10.62,10.62,100,50,2.9,15.4,4.2
"Adam Humphries","WR","TB","vs SEA","4th",3700,5.4,16.5,5.4,9.14,9.14,100,61,2.5,3.1,0.8
"Danny Amendola","WR","NE","@ NYJ","11th",3700,0,21.4,11.1,5.97,5.97,100,0,1.6,1.8,0.5
"Broncos","DST","DEN","vs KC","15th",3700,2.4,20.1,10.8,8.32,8.32,100,48,2.2,6,1.6
"Tyler Lockett","WR","SEA","@ TB","27th",3600,0.7,24.4,10.6,8.56,8.56,100,0,2.4,0.9,0.3
"Kenny Stills","WR","MIA","vs SF","18th",3600,1.2,22.5,5.9,8.3,8.3,100,22,2.3,16.2,4.5
"Brian Quick","WR","LA","@ NO","31st",3600,1.1,22.7,2.2,8.33,8.33,100,21,2.3,1.3,0.4
"Giants","DST","NYG","@ CLE","26th",3600,1.9,20.5,7.1,8.08,8.08,100,0,2.2,23,6.4
"Gary Barnidge","TE","CLE","vs NYG","28th",3600,0,24.6,15.4,7.84,7.84,100,0,2.2,2.1,0.6
"Duke Johnson","RB","CLE","vs NYG","11th",3600,4.7,20.9,10.3,10.07,10.07,100,47,2.8,7,1.9
"Taylor Gabriel","WR","ATL","vs ARI","29th",3600,2.5,16.6,4.4,7.19,7.19,100,53,2,26.2,7.3
"Marquise Goodwin","WR","BUF","vs JAC","8th",3600,6.5,11.6,2.2,8.16,8.16,100,81,2.3,3.3,0.9
"Percy Harvin","WR","BUF","vs JAC","8th",3600,0,21.5,10,5.28,5.28,100,0,1.5,NA,NA
"Chris Thompson","RB","WAS","@ DAL","9th",3600,1.7,19.7,7.1,7.68,7.68,100,33,2.1,8.4,2.3
"Cordarrelle Patterson","WR","MIN","@ DET","14th",3600,3.8,20,1.1,9.23,9.23,100,36,2.6,8.7,2.4
"Dwayne Washington","RB","DET","vs MIN","16th",3500,1.4,8.5,NA,5.64,5.64,100,0,1.6,1.9,0.5
"Russell Shepard","WR","TB","vs SEA","4th",3500,2.7,9.6,1.7,4.99,4.99,100,63,1.4,4.3,1.2
"Seahawks","DST","SEA","@ TB","3rd",3500,2,19.1,9.9,7.67,7.67,100,35,2.2,7,2
"Devin Funchess","WR","CAR","@ OAK","2nd",3500,0.9,21.6,6.9,7.85,7.85,100,1,2.2,3.9,1.1
"Sammie Coates","WR","PIT","@ IND","15th",3500,1.2,7.3,2.1,4.88,4.88,100,0,1.4,0,NA
"Andre Ellington","RB","ARI","@ ATL","20th",3500,0,19.5,7.6,3.3,3.3,100,0,0.9,3.9,1.1
"Victor Cruz","WR","NYG","@ CLE","28th",3500,0.4,24.7,NA,8.5,8.5,100,1,2.4,4.7,1.3
"Jeremy Kerley","WR","SF","@ MIA","23rd",3500,3.4,19,2.7,8.56,8.56,100,49,2.4,4.4,1.3
"Matt Asiata","RB","MIN","@ DET","25th",3400,1.4,26.6,2.9,9.76,9.76,100,1,2.9,13.1,3.9
"Vikings","DST","MIN","@ DET","22nd",3400,1.3,19.4,8.8,7.35,7.35,100,50,2.2,3,0.9
"Patriots","DST","NE","@ NYJ","16th",3400,3.2,18.2,8.1,8.15,8.15,100,19,2.4,8,2.4
"Torrey Smith","WR","SF","@ MIA","23rd",3400,0,23.1,8,7.67,7.67,100,0,2.3,11.4,3.4
"Dolphins","DST","MIA","vs SF","20th",3300,0,23.8,5.8,7.82,7.82,100,0,2.4,6,1.8
"Jalen Richard","RB","OAK","vs CAR","3rd",3300,1.4,8.4,NA,5.6,5.6,100,0,1.7,2.3,0.7
"Quinton Patton","WR","SF","@ MIA","23rd",3300,4.9,15.1,4.7,8.29,8.29,100,51,2.5,2.2,0.7
"Anquan Boldin","WR","DET","vs MIN","16th",3300,1.8,23.4,12.6,9,9,100,30,2.7,19.9,6
"Robert Turbin","RB","IND","vs PIT","26th",3300,2.2,12.4,3.5,5.6,5.6,100,35,1.7,3.8,1.2
"C.J. Fiedorowicz","TE","HOU","vs SD","20th",3300,5.9,14.3,3,8.73,8.73,100,70,2.6,8.2,2.5
"Dennis Pitta","TE","BAL","vs CIN","30th",3200,2.7,21.6,NA,9.03,9.03,100,32,2.8,6.4,2
"Shaun Draughn","RB","SF","@ MIA","4th",3200,0,16.1,7.1,2.87,2.87,100,0,0.9,10.9,3.4
"Jerick McKinnon","RB","MIN","@ DET","25th",3200,3.4,22,5.2,9.56,9.56,100,0,3,10.6,3.3
"Phillip Dorsett","WR","IND","vs PIT","9th",3200,5.3,15.2,4.3,8.64,8.64,100,54,2.7,6.1,1.9
"Jason Witten","TE","DAL","vs WAS","26th",3200,5.4,21,10.3,10.63,10.63,100,55,3.3,6.3,2
"Chiefs","DST","KC","@ DEN","24th",3200,1.7,24.5,10.9,9.27,9.27,100,24,2.9,15,4.7
"Coby Fleener","TE","NO","vs LA","11th",3100,0,22.4,8.2,7.23,7.23,100,24,2.3,9.9,3.2
"Terrance Williams","WR","DAL","vs WAS","24th",3100,0.4,21.4,9.8,7.41,7.41,100,8,2.4,8,2.6
"Breshad Perriman","WR","BAL","vs CIN","10th",3100,1.3,7.8,NA,5.17,5.17,100,0,1.7,8.4,2.7
"Ravens","DST","BAL","vs CIN","12th",3100,2.1,16.8,5.4,7,7,100,42,2.3,8,2.6
"Chris Conley","WR","KC","@ DEN","5th",3100,0.3,15,4.8,5.21,5.21,100,26,1.7,5.6,1.8
"Cameron Brate","TE","TB","vs SEA","7th",3100,4.5,19.5,5.8,9.47,9.47,100,53,3.1,8.9,2.9
"Eagles","DST","PHI","vs GB","18th",3000,0.8,24.5,7.5,8.67,8.67,100,20,2.9,0,NA
"Dorial Green-Beckham","WR","PHI","vs GB","17th",3000,0,21.5,8.5,7.09,7.09,100,0,2.4,14.2,4.7
"Bryce Treggs","WR","PHI","vs GB","17th",3000,1.1,6.5,NA,4.32,4.32,100,0,1.4,2.4,0.8
"Nelson Agholor","WR","PHI","vs GB","17th",3000,3.4,15.8,4.3,7.55,7.55,100,34,2.5,NA,NA
"Rashard Higgins","WR","CLE","vs NYG","22nd",3000,0,0,NA,0,0,100,0,0,5.4,1.8
"Will Tye","TE","NYG","@ CLE","31st",3000,0.9,18,8.1,6.56,6.56,100,5,2.2,3.2,1.1
"John Kuhn","RB","NO","vs LA","5th",3000,0.8,4.6,NA,3.09,3.09,100,0,1,NA,NA
"Justin Hardy","WR","ATL","vs ARI","29th",3000,0,3.8,4.5,0,0,100,56,0,7.7,2.6
"Andrew Hawkins","WR","CLE","vs NYG","22nd",3000,0,17.6,7,4.85,4.85,100,0,1.6,0,NA
"Dwayne Harris","WR","NYG","@ CLE","28th",3000,0,11.6,7.5,0,0,100,0,0,8.3,2.8
"Braxton Miller","WR","HOU","vs SD","25th",3000,1.1,6.3,NA,4.2,4.2,100,0,1.4,2.3,0.8
"Jaelen Strong","WR","HOU","vs SD","25th",3000,0,16.4,4.8,4.22,4.22,100,0,1.4,NA,NA
"Alex Collins","RB","SEA","@ TB","24th",3000,1.1,6.4,NA,4.25,4.25,100,0,1.4,NA,NA
"Jermaine Kearse","WR","SEA","@ TB","27th",3000,1.3,24.7,9.4,9.14,9.14,100,0,3,2.8,0.9
"Paul Richardson","WR","SEA","@ TB","27th",3000,0.7,11.8,5,4.43,4.43,100,0,1.5,2.7,0.9
"Brandon Coleman","WR","NO","vs LA","3rd",3000,0,10.6,5.5,0,0,100,10,0,7.3,2.4
"Lance Kendricks","TE","LA","@ NO","24th",3000,4.6,16.6,4.4,8.59,8.59,100,49,2.9,15.1,5
