"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week14","FreqInd"
"WR","Amari Cooper (7942135)","Amari Cooper",7942135,7100,"Oak@SD 04:25PM ET","Oak","Amari","Cooper","SD",14.41,16,2,0.24236641221374,76,127,4,1,2,6.3,26.6,3.8,7.9,1
"WR","Larry Fitzgerald (7942089)","Larry Fitzgerald",7942089,7000,"NO@Ari 04:05PM ET","Ari","Larry","Fitzgerald","NO",15.58,18.6,1,0.252268602540835,95,139,6,1,1,9,24,11.7,4.2,1
"RB","DeMarco Murray (7941927)","DeMarco Murray",7941927,6900,"Ten@KC 01:00PM ET","Ten","DeMarco","Murray","KC",18.49,19.6,4,0.134615384615385,45,56,3,3,3,15.8,27.3,19.1,15.2,1
"WR","Dez Bryant (7942012)","Dez Bryant",7942012,6800,"TB@Dal 08:30PM ET","Dal","Dez","Bryant","TB",15.92,15.8,3,0.197530864197531,38,80,7,3,1,4.6,24.7,16.2,1,0
"RB","Devonta Freeman (7941969)","Devonta Freeman",7941969,6700,"SF@Atl 04:05PM ET","Atl","Devonta","Freeman","SF",17.25,19.5,3,0.114790286975717,41,52,2,3,6,7.3,24.7,37.5,3.8,1
"QB","Tom Brady (7941864)","Tom Brady",7941864,6700,"NE@Den 04:25PM ET","NE","Tom","Brady","Den",19.57,16.6,NA,NA,NA,NA,NA,NA,NA,17,32.3,7.4,30.1,1
"QB","Drew Brees (7941855)","Drew Brees",7941855,6600,"NO@Ari 04:05PM ET","NO","Drew","Brees","Ari",19.47,18,NA,NA,NA,NA,NA,NA,NA,13.9,33.5,33.4,7.5,1
"WR","Emmanuel Sanders (7942117)","Emmanuel Sanders",7942117,6600,"NE@Den 04:25PM ET","Den","Emmanuel","Sanders","NE",15.14,15.3,2,0.283549783549784,75,131,5,2,1,5.8,26.5,7.8,30,1
"QB","Ben Roethlisberger (7941874)","Ben Roethlisberger",7941874,6600,"Pit@Cin 01:00PM ET","Pit","Ben","Roethlisberger","Cin",18.36,17.9,NA,NA,NA,NA,NA,NA,NA,10,30.5,14.9,5.6,1
"QB","Marcus Mariota (7941843)","Marcus Mariota",7941843,6500,"Ten@KC 01:00PM ET","Ten","Marcus","Mariota","KC",19.26,17.2,13,0.00240384615384615,0,1,0,14,10,11.7,28.6,7.4,7.3,1
"WR","Golden Tate (7942072)","Golden Tate",7942072,6500,"Det@NYG 01:00PM ET","Det","Golden","Tate","NYG",13.59,14.2,1,0.22964509394572,71,110,4,1,3,3.4,23.9,23.2,11.7,1
"RB","Melvin Gordon (7941986)","Melvin Gordon",7941986,6500,"Oak@SD 04:25PM ET","SD","Melvin","Gordon","Oak",0,0,5,0.12691466083151,42,58,2,3,6,9.8,30.4,0,0.5,1
"QB","Andrew Luck (7941853)","Andrew Luck",7941853,6400,"Ind@Min 01:00PM ET","Ind","Andrew","Luck","Min",19.58,19,NA,NA,NA,NA,NA,NA,NA,15.2,30.1,18.8,19.2,1
"WR","Michael Thomas (7942098)","Michael Thomas",7942098,6400,"NO@Ari 04:05PM ET","NO","Michael","Thomas","Ari",13.69,13.8,2,0.171903881700555,71,93,7,1,1,8,25,18.2,NA,1
"QB","Matthew Stafford (7941847)","Matthew Stafford",7941847,6300,"Det@NYG 01:00PM ET","Det","Matthew","Stafford","NYG",17.7,18.3,NA,NA,NA,NA,NA,NA,NA,12.7,26.5,11.2,18.4,1
"WR","Demaryius Thomas (7942119)","Demaryius Thomas",7942119,6300,"NE@Den 04:25PM ET","Den","Demaryius","Thomas","NE",15.93,16.5,1,0.285714285714286,79,132,5,1,1,9.7,21.7,16.1,25.6,1
"QB","Derek Carr (7941872)","Derek Carr",7941872,6300,"Oak@SD 04:25PM ET","Oak","Derek","Carr","SD",19.19,18.3,NA,NA,NA,NA,NA,NA,NA,10.2,29,12,5,1
"QB","Dak Prescott (7941820)","Dak Prescott",7941820,6200,"TB@Dal 08:30PM ET","Dal","Dak","Prescott","TB",18.27,18,NA,NA,NA,NA,NA,NA,NA,13.4,25.9,19.2,8.7,1
"WR","Stefon Diggs (7942085)","Stefon Diggs",7942085,6200,"Ind@Min 01:00PM ET","Min","Stefon","Diggs","Ind",16.03,15.8,1,0.220806794055202,80,104,2,1,3,6.4,27.5,3.3,8.5,1
"WR","Brandin Cooks (7942095)","Brandin Cooks",7942095,6200,"NO@Ari 04:05PM ET","NO","Brandin","Cooks","Ari",11.7,13.5,1,0.177449168207024,65,96,7,2,1,6.5,26,40.6,11.1,1
"QB","Philip Rivers (7941870)","Philip Rivers",7941870,6200,"Oak@SD 04:25PM ET","SD","Philip","Rivers","Oak",17.89,18.6,NA,NA,NA,NA,NA,NA,NA,13.4,24.7,15.2,12.4,1
"WR","Davante Adams (7942007)","Davante Adams",7942007,6100,"GB@Chi 01:00PM ET","GB","Davante","Adams","Chi",13.51,12.1,2,0.198852772466539,65,104,9,2,2,5.4,28.1,4.5,23.4,1
"QB","Jameis Winston (7941821)","Jameis Winston",7941821,6100,"TB@Dal 08:30PM ET","TB","Jameis","Winston","Dal",17.87,17.2,NA,NA,NA,NA,NA,NA,NA,12.5,25.1,14.5,9,1
"WR","Julian Edelman (7942118)","Julian Edelman",7942118,6100,"NE@Den 04:25PM ET","NE","Julian","Edelman","Den",14.38,14.1,1,0.273858921161826,83,132,2,1,7,8.1,19,13.5,14.3,1
"RB","Jordan Howard (7941887)","Jordan Howard",7941887,6000,"GB@Chi 01:00PM ET","Chi","Jordan","Howard","GB",13.09,13.5,4,0.0978723404255319,26,46,1,5,4,6.4,26.5,21.3,13,1
"WR","Alshon Jeffery (7942002)","Alshon Jeffery",7942002,6000,"GB@Chi 01:00PM ET","Chi","Alshon","Jeffery","GB",12.72,15.5,1,0.157446808510638,41,74,1,3,4,8.3,16.6,20.9,NA,1
"QB","Carson Palmer (7941856)","Carson Palmer",7941856,6000,"NO@Ari 04:05PM ET","Ari","Carson","Palmer","NO",18.81,19.1,NA,NA,NA,NA,NA,NA,NA,11.8,24.7,23.7,13.3,1
"WR","Sammy Watkins (7942041)","Sammy Watkins",7942041,5900,"Cle@Buf 01:00PM ET","Buf","Sammy","Watkins","Cle",12.26,13.5,5,0.0729166666666667,15,28,1,5,3,4.8,13.4,2,15.4,0
"TE","Travis Kelce (7942185)","Travis Kelce",7942185,5900,"Ten@KC 01:00PM ET","KC","Travis","Kelce","Ten",17.79,12.7,1,0.223684210526316,70,102,3,1,2,7.8,22.4,7.1,18.1,1
"RB","Carlos Hyde (7941967)","Carlos Hyde",7941967,5900,"SF@Atl 04:05PM ET","SF","Carlos","Hyde","Atl",12.84,14.1,6,0.0673316708229426,23,27,2,4,4,6.7,25.9,7.7,30,1
"WR","Michael Crabtree (7942127)","Michael Crabtree",7942127,5900,"Oak@SD 04:25PM ET","Oak","Michael","Crabtree","SD",13.58,15.1,1,0.244274809160305,75,128,8,2,1,6.4,25.1,18,6.1,1
"QB","Colin Kaepernick (7941861)","Colin Kaepernick",7941861,5800,"SF@Atl 04:05PM ET","SF","Colin","Kaepernick","Atl",18.79,19,NA,NA,NA,NA,NA,NA,NA,9,29.9,17.4,11.6,1
"RB","Latavius Murray (7941982)","Latavius Murray",7941982,5800,"Oak@SD 04:25PM ET","Oak","Latavius","Murray","SD",14.72,12.7,5,0.0782442748091603,30,41,1,4,6,9.6,25.9,9.2,19.3,1
"WR","Tyrell Williams (7942134)","Tyrell Williams",7942134,5800,"Oak@SD 04:25PM ET","SD","Tyrell","Williams","Oak",14.37,14.1,1,0.192560175054705,57,88,6,1,1,6.7,22.6,6,8.8,1
"QB","Tyrod Taylor (7941829)","Tyrod Taylor",7941829,5700,"Cle@Buf 01:00PM ET","Buf","Tyrod","Taylor","Cle",18.84,18.3,NA,NA,NA,NA,NA,NA,NA,11.8,23.9,15.9,16.3,1
"QB","Joe Flacco (7941835)","Joe Flacco",7941835,5700,"Phi@Bal 01:00PM ET","Bal","Joe","Flacco","Phi",17.88,15.3,NA,NA,NA,NA,NA,NA,NA,11.2,24.6,14.1,23.1,1
"RB","Spencer Ware (7941930)","Spencer Ware",7941930,5700,"Ten@KC 01:00PM ET","KC","Spencer","Ware","Ten",12.78,13.9,6,0.081140350877193,29,37,2,5,3,5.9,24.2,12.5,7.3,1
"WR","Tyreek Hill (7942067)","Tyreek Hill",7942067,5700,"Ten@KC 01:00PM ET","KC","Tyreek","Hill","Ten",14.23,14.4,2,0.151315789473684,57,69,6,2,1,4.4,22.2,12.8,23.8,1
"QB","Eli Manning (7941845)","Eli Manning",7941845,5600,"Det@NYG 01:00PM ET","NYG","Eli","Manning","Det",18.25,17,NA,NA,NA,NA,NA,NA,NA,10.2,22.8,16,8.5,1
"WR","Willie Snead (7942094)","Willie Snead",7942094,5600,"NO@Ari 04:05PM ET","NO","Willie","Snead","Ari",10.31,12.4,3,0.155268022181146,61,84,4,3,3,4.9,22.4,15.6,14.5,1
"WR","Taylor Gabriel (7942113)","Taylor Gabriel",7942113,5600,"SF@Atl 04:05PM ET","Atl","Taylor","Gabriel","SF",10.95,9.6,4,0.0883002207505519,29,40,5,4,1,4.3,19.8,15,NA,0
"RB","Jeremy Hill (7941997)","Jeremy Hill",7941997,5600,"Pit@Cin 01:00PM ET","Cin","Jeremy","Hill","Pit",13.09,14.1,7,0.0568421052631579,21,27,0,6,6,4.6,21.4,12.1,26.2,1
"TE","Tyler Eifert (7942235)","Tyler Eifert",7942235,5600,"Pit@Cin 01:00PM ET","Cin","Tyler","Eifert","Pit",14.02,13.3,5,0.0926315789473684,29,44,5,5,1,5.2,23.3,1.9,21.8,1
"WR","Donte Moncrief (7942083)","Donte Moncrief",7942083,5500,"Ind@Min 01:00PM ET","Ind","Donte","Moncrief","Min",9.71,13.5,4,0.107287449392713,29,53,7,4,1,4.7,18.2,0,NA,1
"QB","Andy Dalton (7941875)","Andy Dalton",7941875,5500,"Pit@Cin 01:00PM ET","Cin","Andy","Dalton","Pit",18.47,17.7,NA,NA,NA,NA,NA,NA,NA,14.4,23.3,11.4,16.9,1
"RB","DeAngelo Williams (7941990)","DeAngelo Williams",7941990,5500,"Pit@Cin 01:00PM ET","Pit","DeAngelo","Williams","Cin",0,3.7,8,0.0460921843687375,15,23,1,6,6,-3.1,25.6,0,NA,0
"RB","Lamar Miller (7941900)","Lamar Miller",7941900,5400,"Jax@Hou 01:00PM ET","Hou","Lamar","Miller","Jax",14.27,15.6,5,0.0818965517241379,30,38,1,5,5,5.5,23.3,16.9,22.2,1
"WR","Jordan Matthews (7942049)","Jordan Matthews",7942049,5400,"Phi@Bal 01:00PM ET","Phi","Jordan","Matthews","Bal",13.86,17.2,1,0.207739307535642,65,102,3,1,1,7.1,20,8.7,15.9,1
"QB","Alex Smith (7941840)","Alex Smith",7941840,5400,"Ten@KC 01:00PM ET","KC","Alex","Smith","Ten",15.58,17.5,15,0.0043859649122807,1,2,0,15,6,7.9,21.8,12.6,14.2,1
"RB","Theo Riddick (7941939)","Theo Riddick",7941939,5400,"Det@NYG 01:00PM ET","Det","Theo","Riddick","NYG",12.6,13.7,4,0.144050104384134,55,69,5,3,2,8.4,24,0,NA,1
"RB","Doug Martin (7941889)","Doug Martin",7941889,5300,"TB@Dal 08:30PM ET","TB","Doug","Martin","Dal",11.37,10.3,8,0.0335429769392034,14,16,0,7,9,7.1,16.4,4.2,16.5,1
"WR","Steve Smith Sr. (7942045)","Steve Smith Sr.",7942045,5300,"Phi@Bal 01:00PM ET","Bal","Steve","Smith","Phi",13.54,13.1,3,0.156363636363636,60,86,3,3,3,NA,NA,NA,NA,NA
"WR","Terrelle Pryor Sr. (7942036)","Terrelle Pryor Sr.",7942036,5200,"Cle@Buf 01:00PM ET","Cle","Terrelle","Pryor","Buf",12.98,12.4,1,0.250535331905782,65,117,4,1,1,NA,NA,NA,NA,NA
"QB","Trevor Siemian (7941866)","Trevor Siemian",7941866,5200,"NE@Den 04:25PM ET","Den","Trevor","Siemian","NE",16.71,15,NA,NA,NA,NA,NA,NA,NA,7.8,25.1,10.7,20.4,1
"QB","Tony Romo (7941816)","Tony Romo",7941816,5100,"TB@Dal 08:30PM ET","Dal","Tony","Romo","TB",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"WR","Cole Beasley (7942015)","Cole Beasley",7942015,5100,"TB@Dal 08:30PM ET","Dal","Cole","Beasley","TB",11.48,10.5,1,0.219753086419753,65,89,5,1,2,7.7,17.8,8.8,8.1,1
"QB","Brock Osweiler (7941824)","Brock Osweiler",7941824,5100,"Jax@Hou 01:00PM ET","Hou","Brock","Osweiler","Jax",14.94,13.3,14,0.0021551724137931,1,1,0,13,8,8.2,17.3,-0.1,4.7,1
"RB","Derrick Henry (7941934)","Derrick Henry",7941934,5100,"Ten@KC 01:00PM ET","Ten","Derrick","Henry","KC",5.61,5.8,9,0.0288461538461538,10,12,0,8,10,0.8,11.7,17.8,5.7,0
"WR","Dontrelle Inman (7942128)","Dontrelle Inman",7942128,5100,"Oak@SD 04:25PM ET","SD","Dontrelle","Inman","Oak",11.58,11.4,2,0.179431072210066,48,82,4,2,4,1.7,19.9,11.8,19.1,0
"QB","Matt Barkley (7941813)","Matt Barkley",7941813,5000,"GB@Chi 01:00PM ET","Chi","Matt","Barkley","GB",13.33,15.6,NA,NA,NA,NA,NA,NA,NA,1.5,22.1,21.5,NA,1
"QB","David Fales (7941814)","David Fales",7941814,5000,"GB@Chi 01:00PM ET","Chi","David","Fales","GB",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Brett Hundley (7941815)","Brett Hundley",7941815,5000,"GB@Chi 01:00PM ET","GB","Brett","Hundley","Chi",0,0,NA,NA,NA,NA,NA,NA,NA,-0.7,0.3,0,-0.2,1
"QB","Mark Sanchez (7941817)","Mark Sanchez",7941817,5000,"TB@Dal 08:30PM ET","Dal","Mark","Sanchez","TB",0,0,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0,NA,1
"QB","Mike Glennon (7941818)","Mike Glennon",7941818,5000,"TB@Dal 08:30PM ET","TB","Mike","Glennon","Dal",0,0,NA,NA,NA,NA,NA,NA,NA,9,9,0,NA,1
"QB","Ryan Griffin (7941819)","Ryan Griffin",7941819,5000,"TB@Dal 08:30PM ET","TB","Ryan","Griffin","Dal",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Chad Henne (7941822)","Chad Henne",7941822,5000,"Jax@Hou 01:00PM ET","Jax","Chad","Henne","Hou",0,0,NA,NA,NA,NA,NA,NA,NA,-0.2,-0.2,0,NA,1
"QB","Brandon Weeden (7941823)","Brandon Weeden",7941823,5000,"Jax@Hou 01:00PM ET","Hou","Brandon","Weeden","Jax",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Tom Savage (7941825)","Tom Savage",7941825,5000,"Jax@Hou 01:00PM ET","Hou","Tom","Savage","Jax",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,10.4,NA,1
"QB","Blake Bortles (7941826)","Blake Bortles",7941826,5000,"Jax@Hou 01:00PM ET","Jax","Blake","Bortles","Hou",16.2,15.4,NA,NA,NA,NA,NA,NA,NA,13.4,25.2,8.2,15.6,1
"QB","Brandon Allen (7941827)","Brandon Allen",7941827,5000,"Jax@Hou 01:00PM ET","Jax","Brandon","Allen","Hou",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"WR","DeAndre Hopkins (7942028)","DeAndre Hopkins",7942028,5000,"Jax@Hou 01:00PM ET","Hou","DeAndre","Hopkins","Jax",12.54,12.9,1,0.265086206896552,60,123,4,1,1,5.7,18.5,16.7,5.3,1
"QB","Josh McCown (7941828)","Josh McCown",7941828,5000,"Cle@Buf 01:00PM ET","Cle","Josh","McCown","Buf",0,0,NA,NA,NA,NA,NA,NA,NA,3.7,23.6,0,NA,1
"QB","Robert Griffin III (7941830)","Robert Griffin III",7941830,5000,"Cle@Buf 01:00PM ET","Cle","Robert","Griffin III","Buf",15.54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QB","EJ Manuel (7941831)","EJ Manuel",7941831,5000,"Cle@Buf 01:00PM ET","Buf","EJ","Manuel","Cle",0,0,NA,NA,NA,NA,NA,NA,NA,0.2,3.2,0.1,NA,1
"QB","Cody Kessler (7941832)","Cody Kessler",7941832,5000,"Cle@Buf 01:00PM ET","Cle","Cody","Kessler","Buf",0,0,NA,NA,NA,NA,NA,NA,NA,3.5,17.2,0,NA,1
"QB","Kevin Hogan (7941833)","Kevin Hogan",7941833,5000,"Cle@Buf 01:00PM ET","Cle","Kevin","Hogan","Buf",0,0,NA,NA,NA,NA,NA,NA,NA,-5.1,19.5,0,NA,1
"QB","Cardale Jones (7941834)","Cardale Jones",7941834,5000,"Cle@Buf 01:00PM ET","Buf","Cardale","Jones","Cle",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Chase Daniel (7941836)","Chase Daniel",7941836,5000,"Phi@Bal 01:00PM ET","Phi","Chase","Daniel","Bal",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Ryan Mallett (7941837)","Ryan Mallett",7941837,5000,"Phi@Bal 01:00PM ET","Bal","Ryan","Mallett","Phi",0,0,NA,NA,NA,NA,NA,NA,NA,-0.4,0.3,0,NA,1
"QB","Carson Wentz (7941838)","Carson Wentz",7941838,5000,"Phi@Bal 01:00PM ET","Phi","Carson","Wentz","Bal",15.1,15.3,NA,NA,NA,NA,NA,NA,NA,10.4,20.3,12.6,18.1,1
"QB","Matt Cassel (7941839)","Matt Cassel",7941839,5000,"Ten@KC 01:00PM ET","Ten","Matt","Cassel","KC",0,0,NA,NA,NA,NA,NA,NA,NA,-0.2,0.7,0,NA,1
"QB","Nick Foles (7941841)","Nick Foles",7941841,5000,"Ten@KC 01:00PM ET","KC","Nick","Foles","Ten",0,0,NA,NA,NA,NA,NA,NA,NA,10,18,0,NA,1
"QB","Tyler Bray (7941842)","Tyler Bray",7941842,5000,"Ten@KC 01:00PM ET","KC","Tyler","Bray","Ten",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Dan Orlovsky (7941844)","Dan Orlovsky",7941844,5000,"Det@NYG 01:00PM ET","Det","Dan","Orlovsky","NYG",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Josh Johnson (7941846)","Josh Johnson",7941846,5000,"Det@NYG 01:00PM ET","NYG","Josh","Johnson","Det",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Ryan Nassib (7941848)","Ryan Nassib",7941848,5000,"Det@NYG 01:00PM ET","NYG","Ryan","Nassib","Det",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Jake Rudock (7941849)","Jake Rudock",7941849,5000,"Det@NYG 01:00PM ET","Det","Jake","Rudock","NYG",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"RB","Ameer Abdullah (7941943)","Ameer Abdullah",7941943,5000,"Det@NYG 01:00PM ET","Det","Ameer","Abdullah","NYG",0,0,9,0.0104384133611691,5,5,1,9,6,-0.2,27,0,NA,0
"QB","Shaun Hill (7941850)","Shaun Hill",7941850,5000,"Ind@Min 01:00PM ET","Min","Shaun","Hill","Ind",0,0,NA,NA,NA,NA,NA,NA,NA,-1.8,12.3,0,NA,1
"QB","Scott Tolzien (7941851)","Scott Tolzien",7941851,5000,"Ind@Min 01:00PM ET","Ind","Scott","Tolzien","Min",0,0,NA,NA,NA,NA,NA,NA,NA,-2.1,13,0,NA,1
"QB","Sam Bradford (7941852)","Sam Bradford",7941852,5000,"Ind@Min 01:00PM ET","Min","Sam","Bradford","Ind",16.04,16.7,13,0.00212314225053079,1,1,0,11,6,10.2,19,9.6,NA,1
"QB","Taylor Heinicke (7941854)","Taylor Heinicke",7941854,5000,"Ind@Min 01:00PM ET","Min","Taylor","Heinicke","Ind",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"RB","Adrian Peterson (7941947)","Adrian Peterson",7941947,5000,"Ind@Min 01:00PM ET","Min","Adrian","Peterson","Ind",0,0,10,0.0106157112526539,2,5,0,10,6,2.8,4.9,2.3,NA,0
"QB","Drew Stanton (7941857)","Drew Stanton",7941857,5000,"NO@Ari 04:05PM ET","Ari","Drew","Stanton","NO",0,0,NA,NA,NA,NA,NA,NA,NA,-3.1,9.6,0,NA,1
"QB","Luke McCown (7941858)","Luke McCown",7941858,5000,"NO@Ari 04:05PM ET","NO","Luke","McCown","Ari",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Matt Schaub (7941860)","Matt Schaub",7941860,5000,"SF@Atl 04:05PM ET","Atl","Matt","Schaub","SF",0,0,NA,NA,NA,NA,NA,NA,NA,-0.2,0,0.6,NA,1
"QB","Christian Ponder (7941862)","Christian Ponder",7941862,5000,"SF@Atl 04:05PM ET","SF","Christian","Ponder","Atl",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Blaine Gabbert (7941863)","Blaine Gabbert",7941863,5000,"SF@Atl 04:05PM ET","SF","Blaine","Gabbert","Atl",0,0,14,0.00249376558603491,1,1,0,14,8,4.9,21.7,0,NA,1
"RB","Tevin Coleman (7941971)","Tevin Coleman",7941971,5000,"SF@Atl 04:05PM ET","Atl","Tevin","Coleman","SF",12.47,13.8,5,0.0728476821192053,25,33,2,5,6,5.3,24.3,8.6,19.5,1
"QB","Austin Davis (7941865)","Austin Davis",7941865,5000,"NE@Den 04:25PM ET","Den","Austin","Davis","NE",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Jimmy Garoppolo (7941867)","Jimmy Garoppolo",7941867,5000,"NE@Den 04:25PM ET","NE","Jimmy","Garoppolo","Den",0,0,13,0.0020746887966805,1,1,0,11,8,-1.9,20.4,0,NA,1
"QB","Paxton Lynch (7941868)","Paxton Lynch",7941868,5000,"NE@Den 04:25PM ET","Den","Paxton","Lynch","NE",0,0,NA,NA,NA,NA,NA,NA,NA,5.5,14.1,0,NA,1
"RB","LeGarrette Blount (7941974)","LeGarrette Blount",7941974,5000,"NE@Den 04:25PM ET","NE","LeGarrette","Blount","Den",11.13,11.6,9,0.016597510373444,7,8,0,9,8,8.9,23.2,9.1,14.9,1
"QB","Kellen Clemens (7941869)","Kellen Clemens",7941869,5000,"Oak@SD 04:25PM ET","SD","Kellen","Clemens","Oak",0,0,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.1,0,NA,1
"QB","Matt McGloin (7941871)","Matt McGloin",7941871,5000,"Oak@SD 04:25PM ET","Oak","Matt","McGloin","SD",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Connor Cook (7941873)","Connor Cook",7941873,5000,"Oak@SD 04:25PM ET","Oak","Connor","Cook","SD",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Landry Jones (7941876)","Landry Jones",7941876,5000,"Pit@Cin 01:00PM ET","Pit","Landry","Jones","Cin",0,0,NA,NA,NA,NA,NA,NA,NA,-3.5,8.2,0,NA,1
"QB","Zach Mettenberger (7941877)","Zach Mettenberger",7941877,5000,"Pit@Cin 01:00PM ET","Pit","Zach","Mettenberger","Cin",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0
"QB","AJ McCarron (7941878)","AJ McCarron",7941878,5000,"Pit@Cin 01:00PM ET","Cin","AJ","McCarron","Pit",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"QB","Jeff Driskel (7941879)","Jeff Driskel",7941879,5000,"Pit@Cin 01:00PM ET","Cin","Jeff","Driskel","Pit",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"RB","Alfred Morris (7941890)","Alfred Morris",7941890,4900,"TB@Dal 08:30PM ET","Dal","Alfred","Morris","TB",2.82,4.1,9,0.00987654320987654,2,4,0,12,8,0.1,5.7,0,NA,0
"TE","Zach Ertz (7942178)","Zach Ertz",7942178,4900,"Phi@Bal 01:00PM ET","Phi","Zach","Ertz","Bal",11.67,12.2,2,0.169042769857434,61,83,3,2,1,4.1,19.3,14,24.2,1
