"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Carlos Carrasco","Alex Meyer","Jesus Sucre","Anthony Rizzo","Brad Miller","Kris Bryant","Tim Beckham","Bryce Harper","Colby Rasmus","Corey Dickerson"
"Max Scherzer","Alex Meyer","Yasmani Grandal","Freddie Freeman","Javier Baez","Justin Turner","Corey Seager","Bryce Harper","Yasiel Puig","Andrew Toles"
"Max Scherzer","Carlos Carrasco","James McCann","Freddie Freeman","Brad Miller","Nicholas Castellanos","Andrew Romine","Justin Upton","Andrew Toles","Mikie Mahtook"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Anthony Rizzo","Ben Zobrist","Eugenio Suarez","Zack Cozart","Adam Duvall","Billy Hamilton","Scott Schebler"
"Carlos Carrasco","Alex Meyer","Brian McCann","Yuli Gurriel","Ben Zobrist","Alex Bregman","Carlos Correa","Bryce Harper","George Springer","Andrew Benintendi"
"Max Scherzer","Hector Santiago","Willson Contreras","Conor Gillaspie","Ben Zobrist","Kris Bryant","Addison Russell","Albert Almora","Andrew Toles","Jose Osuna"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Anthony Rizzo","Javier Baez","Jake Lamb","Chris Owings","AJ Pollock","Yasmany Tomas","David Peralta"
"Max Scherzer","Alex Meyer","JT Realmuto","Anthony Rizzo","Dee Gordon","Kris Bryant","Adeiny Hechavarria","Giancarlo Stanton","Christian Yelich","Corey Dickerson"
"Matt Andriese","Jharel Cotton","Sandy Leon","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Albert Almora","David Peralta","Lonnie Chisenhall"
"Carlos Carrasco","Alex Meyer","Devin Mesoraco","Joey Votto","Javier Baez","Kris Bryant","Addison Russell","Adam Duvall","Billy Hamilton","Scott Schebler"
"Carlos Carrasco","Alex Meyer","James McCann","Anthony Rizzo","Jose Altuve","Nicholas Castellanos","Jose Iglesias","Bryce Harper","Justin Upton","Mikie Mahtook"
"Max Scherzer","Alex Meyer","Sandy Leon","Yuli Gurriel","Jose Altuve","Mike Moustakas","Carlos Correa","Bryce Harper","George Springer","Carlos Beltran"
"Carlos Carrasco","Hector Santiago","Martin Maldonado","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Albert Almora","Lonnie Chisenhall","Mikie Mahtook"
"Max Scherzer","Alex Meyer","Dustin Garneau","Freddie Freeman","DJ LeMahieu","Nolan Arenado","Trevor Story","Gerardo Parra","Josh Reddick","Corey Dickerson"
"Max Scherzer","Alex Meyer","Willson Contreras","Jose Abreu","Ben Zobrist","Kris Bryant","Tim Anderson","Melky Cabrera","Avisail Garcia","Willy Garcia"
"Ivan Nova","Chris Young","Gary Sanchez","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Albert Almora","Justin Upton","Josh Reddick"
"Max Scherzer","Alex Meyer","Salvador Perez","Anthony Rizzo","Whit Merrifield","Mike Moustakas","Trea Turner","Bryce Harper","Lorenzo Cain","Brandon Moss"
"Carlos Carrasco","Alex Meyer","Gary Sanchez","Freddie Freeman","Jose Altuve","Alex Bregman","Carlos Correa","Justin Upton","Carlos Beltran","Josh Reddick"
"Julio Urias","Charlie Morton","Willson Contreras","Logan Morrison","Javier Baez","Kris Bryant","Addison Russell","Albert Almora","AJ Pollock","Gerardo Parra"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Anthony Rizzo","Jose Ramirez","Yandy Diaz","Francisco Lindor","Bryce Harper","Lonnie Chisenhall","Abraham Almonte"
"Max Scherzer","Alex Meyer","Brian McCann","Yuli Gurriel","Javier Baez","Alex Bregman","Carlos Correa","Mookie Betts","Justin Upton","Josh Reddick"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Matt Carpenter","Jedd Gyorko","Kris Bryant","Aledmys Diaz","Andrew Benintendi","Randal Grichuk","Tommy Pham"
"Ivan Nova","Matt Andriese","Willson Contreras","Anthony Rizzo","Alexi Amarista","Kris Bryant","Addison Russell","Albert Almora","Kole Calhoun","Colby Rasmus"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Trevor Story","AJ Pollock","Gerardo Parra","Ender Inciarte"
"Carlos Carrasco","Alex Meyer","Tyler Flowers","Freddie Freeman","Brandon Phillips","Kris Bryant","Trea Turner","Andrew Benintendi","Nick Markakis","Danny Santana"
"Carlos Carrasco","Zack Wheeler","Willson Contreras","Anthony Rizzo","Cliff Pennington","Kris Bryant","Addison Russell","Albert Almora","Ben Gamel","Willy Garcia"
"Matt Andriese","Alex Meyer","Gary Sanchez","Anthony Rizzo","Ben Zobrist","Kris Bryant","Didi Gregorius","Aaron Judge","Brett Gardner","Jacoby Ellsbury"
"Carlos Carrasco","Alex Meyer","James McCann","Miguel Cabrera","Javier Baez","Nicholas Castellanos","Andrew Romine","Mookie Betts","George Springer","Justin Upton"
"Carlos Carrasco","Matt Andriese","Tyler Flowers","Freddie Freeman","Javier Baez","Kris Bryant","Dansby Swanson","Ender Inciarte","Corey Dickerson","Nick Markakis"
"Max Scherzer","Alex Meyer","Gary Sanchez","Freddie Freeman","Brandon Phillips","Adonis Garcia","Carlos Correa","Bryce Harper","Ender Inciarte","Nick Markakis"
"Max Scherzer","Alex Meyer","Brian McCann","Carlos Santana","Jose Altuve","Alex Bregman","Francisco Lindor","George Springer","Andrew Benintendi","Carlos Beltran"
"Max Scherzer","Alex Meyer","Sandy Leon","Anthony Rizzo","Josh Rutledge","Mike Moustakas","Trea Turner","Mookie Betts","Andrew Benintendi","Chris Young"
"Drew Pomeranz","Jharel Cotton","Willson Contreras","Anthony Rizzo","Jose Ramirez","Kris Bryant","Addison Russell","Albert Almora","Corey Dickerson","Mikie Mahtook"
"Matt Andriese","Alex Meyer","Willson Contreras","Ryan Zimmerman","Javier Baez","Kris Bryant","Trea Turner","Bryce Harper","Jayson Werth","Chris Heisey"
"Carlos Carrasco","Alex Meyer","Manny Pina","Anthony Rizzo","Jonathan Villar","Kris Bryant","Addison Russell","Ryan Braun","Keon Broxton","Domingo Santana"
"Drew Pomeranz","Zack Wheeler","James McCann","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Albert Almora","Max Kepler","Andrew Toles"
"Carlos Carrasco","Alex Meyer","Yan Gomes","Carlos Santana","Jose Ramirez","Kris Bryant","Addison Russell","Mookie Betts","Lonnie Chisenhall","Abraham Almonte"
"Max Scherzer","Alex Meyer","Willson Contreras","Joey Votto","Jose Peraza","Eugenio Suarez","Addison Russell","Adam Duvall","Billy Hamilton","Josh Reddick"
"Jeff Samardzija","Chris Young","Willson Contreras","Mark Reynolds","Ben Zobrist","Kris Bryant","Addison Russell","George Springer","Albert Almora","Gerardo Parra"
"Carlos Carrasco","Alex Meyer","Sandy Leon","Freddie Freeman","Alexi Amarista","Nolan Arenado","Trevor Story","Bryce Harper","Ian Desmond","Gerardo Parra"
"Carlos Carrasco","Alex Meyer","Brian McCann","Yuli Gurriel","Jose Altuve","Nolan Arenado","Trea Turner","George Springer","Carlos Beltran","Corey Dickerson"
"Max Scherzer","Alex Meyer","Devin Mesoraco","Joey Votto","Ben Zobrist","Eugenio Suarez","Zack Cozart","Bryce Harper","Andrew Benintendi","Billy Hamilton"
"Carlos Carrasco","Chris Young","Brian McCann","Freddie Freeman","Jose Altuve","Kris Bryant","Francisco Lindor","George Springer","Carlos Beltran","Josh Reddick"
"Max Scherzer","Alex Meyer","Yasmani Grandal","Cody Bellinger","Ben Zobrist","Justin Turner","Addison Russell","Andrew Benintendi","Joc Pederson","Andrew Toles"
"Max Scherzer","Alex Meyer","Sandy Leon","Mitch Moreland","Dustin Pedroia","Nolan Arenado","Aledmys Diaz","Mookie Betts","Andrew Benintendi","Josh Reddick"
"Max Scherzer","Carlos Carrasco","Bruce Maxwell","Freddie Freeman","Jed Lowrie","Kris Bryant","Adam Rosales","Rajai Davis","Corey Dickerson","Matt Joyce"
"Max Scherzer","Alex Meyer","Gary Sanchez","Anthony Rizzo","Brad Miller","Evan Longoria","Tim Beckham","Andrew Benintendi","Kevin Kiermaier","Corey Dickerson"
"Max Scherzer","Alex Meyer","Gary Sanchez","Chris Carter","Starlin Castro","Kris Bryant","Didi Gregorius","Brett Gardner","AJ Pollock","Josh Reddick"
"Carlos Carrasco","Mike Pelfrey","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Kole Calhoun","Nick Markakis","Seth Smith"
"Max Scherzer","Alex Meyer","Tyler Flowers","Freddie Freeman","Brandon Phillips","Nolan Arenado","Francisco Lindor","Bryce Harper","Matt Kemp","Danny Santana"
"Max Scherzer","Alex Meyer","Sandy Leon","Mitch Moreland","Javier Baez","Nicholas Castellanos","Xander Bogaerts","Mookie Betts","George Springer","Chris Young"
"Carlos Carrasco","Alex Meyer","Brian McCann","Miguel Cabrera","Jose Altuve","Nolan Arenado","Carlos Correa","Andrew Benintendi","Josh Reddick","Norichika Aoki"
"Ivan Nova","Zack Wheeler","Devin Mesoraco","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Albert Almora","Billy Hamilton","Matt Joyce"
"Max Scherzer","Alex Meyer","Willson Contreras","Eric Hosmer","Javier Baez","Mike Moustakas","Alcides Escobar","Bryce Harper","Lorenzo Cain","Alex Gordon"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Anthony Rizzo","Whit Merrifield","Kris Bryant","Alcides Escobar","Lorenzo Cain","Alex Gordon","Brandon Moss"
"Max Scherzer","Carlos Carrasco","Martin Maldonado","Luis Valbuena","Cliff Pennington","Kris Bryant","Addison Russell","Kole Calhoun","Corey Dickerson","Ben Revere"
"Carlos Carrasco","Alex Meyer","Sandy Leon","Anthony Rizzo","Dustin Pedroia","Nicholas Castellanos","Xander Bogaerts","Mookie Betts","Andrew Benintendi","Ender Inciarte"
"Max Scherzer","Alex Meyer","Matt Wieters","Freddie Freeman","Brad Miller","Mike Moustakas","Trea Turner","Bryce Harper","Jayson Werth","Chris Heisey"
"Ivan Nova","Julio Urias","Willson Contreras","Anthony Rizzo","Ben Zobrist","Yunel Escobar","Addison Russell","Albert Almora","AJ Pollock","Corey Dickerson"
"Max Scherzer","Alex Meyer","Cameron Rupp","Anthony Rizzo","Cesar Hernandez","Kris Bryant","Addison Russell","Odubel Herrera","Aaron Altherr","Michael Saunders"
"Max Scherzer","Alex Meyer","Brian McCann","Freddie Freeman","Ben Zobrist","Alex Bregman","Carlos Correa","Albert Almora","Carlos Beltran","Norichika Aoki"
"Max Scherzer","Alex Meyer","Yasmani Grandal","Anthony Rizzo","Chris Taylor","Justin Turner","Corey Seager","Mookie Betts","George Springer","Joc Pederson"
"Carlos Carrasco","Matt Andriese","Willson Contreras","Miguel Cabrera","Ben Zobrist","Nicholas Castellanos","Andrew Romine","Justin Upton","AJ Pollock","Mikie Mahtook"
"Max Scherzer","Alex Meyer","Jeff Mathis","Paul Goldschmidt","Javier Baez","Jake Lamb","Trea Turner","Mookie Betts","AJ Pollock","David Peralta"
"Carlos Carrasco","Alex Meyer","Tyler Flowers","Anthony Rizzo","Brandon Phillips","Adonis Garcia","Addison Russell","Bryce Harper","Matt Kemp","Nick Markakis"
"Zack Wheeler","Charlie Morton","Willson Contreras","Anthony Rizzo","Javier Baez","Mike Moustakas","Addison Russell","Andrew Benintendi","Albert Almora","Corey Dickerson"
"Carlos Carrasco","Alex Meyer","Salvador Perez","Anthony Rizzo","Javier Baez","Mike Moustakas","Addison Russell","Lorenzo Cain","Alex Gordon","Jorge Bonifacio"
"Carlos Carrasco","Alex Meyer","Dustin Garneau","Mark Reynolds","Ben Zobrist","Nolan Arenado","Trevor Story","Ian Desmond","Max Kepler","Corey Dickerson"
"Carlos Carrasco","Matt Andriese","Willson Contreras","Freddie Freeman","Brad Miller","Adonis Garcia","Addison Russell","Matt Kemp","Ender Inciarte","Nick Markakis"
"Max Scherzer","Alex Meyer","Gary Sanchez","Paul Goldschmidt","Ben Zobrist","Jake Lamb","Chris Owings","AJ Pollock","Yasmany Tomas","Corey Dickerson"
"Max Scherzer","Alex Meyer","JT Realmuto","Freddie Freeman","Ben Zobrist","Derek Dietrich","Addison Russell","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"Max Scherzer","Alex Meyer","Gary Sanchez","Anthony Rizzo","Starlin Castro","Nicholas Castellanos","Ronald Torreyes","Andrew Benintendi","Brett Gardner","Jacoby Ellsbury"
"Max Scherzer","Carlos Carrasco","James McCann","Carlos Santana","Jose Ramirez","Yandy Diaz","Francisco Lindor","Josh Reddick","Corey Dickerson","Lonnie Chisenhall"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Logan Morrison","Ben Zobrist","Evan Longoria","Tim Beckham","Bryce Harper","Kevin Kiermaier","Corey Dickerson"
"Max Scherzer","Alex Meyer","Yasmani Grandal","Yuli Gurriel","Brad Miller","Nolan Arenado","Carlos Correa","George Springer","Josh Reddick","Norichika Aoki"
"Max Scherzer","Carlos Carrasco","Salvador Perez","Eric Hosmer","Whit Merrifield","Mike Moustakas","Addison Russell","Corey Dickerson","Brandon Moss","Mikie Mahtook"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Mitch Moreland","Dustin Pedroia","Mike Moustakas","Xander Bogaerts","Bryce Harper","Andrew Benintendi","Chris Young"
"Matt Andriese","Alex Meyer","Matt Wieters","Anthony Rizzo","Ben Zobrist","Anthony Rendon","Trea Turner","Bryce Harper","Jayson Werth","Corey Dickerson"
