"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
51,745750193,"rippedkilt",0,154.75,"3B Justin Turner OF Josh Reddick P Yu Darvish C Yasmani Grandal 1B Wil Myers OF Andrew Toles P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Chase Utley","2.45%",0
56,745732675,"timbar9 (2/5)",0,154.65,"C Brian McCann 1B Miguel Cabrera OF Marwin González P Kenta Maeda 2B José Altuve SS Jean Segura OF Mike Trout 3B Nicholas Castellanos P Michael Fulmer OF Cody Bellinger",NA,"Yunel Escobar","2.31%",8
57,745732596,"tmschmelzer (1/3)",0,154.6,"C Brian McCann 3B Justin Turner 2B José Altuve P Dallas Keuchel OF Andrew Toles P Michael Fulmer SS Corey Seager OF Yasiel Puig OF Cody Bellinger 1B Yuli Gurriel",NA,"Jhoulys Chacin","2.08%",11.8
57,745744182,"Finsup20",0,154.6,"1B Albert Pujols OF Shin-soo Choo 2B Robinson Canó C Brian McCann 3B Justin Turner OF Josh Reddick SS Jean Segura OF Mike Trout P Dallas Keuchel P Michael Fulmer",NA,"Héctor Sánchez","2.03%",0
57,745754768,"ChadMatt3 (2/6)",0,154.6,"1B Mike Napoli C Brian McCann SS Elvis Andrus 3B Marwin González 2B José Altuve OF George Springer OF Delino DeShields P Andrew Triggs P Michael Fulmer OF Cody Bellinger",NA,"Danny Valencia","1.82%",3
60,745751459,"dbelgie77 (3/3)",0,154.25,"C Brian McCann 3B Justin Turner OF Josh Reddick P Kenta Maeda 2B José Altuve SS Jean Segura P Dallas Keuchel OF Andrew Toles OF Cody Bellinger 1B Yuli Gurriel",NA,"Jesse Chávez","1.73%",12.65
61,745753429,"taylormade4wins",0,153.75,"1B Miguel Cabrera SS Elvis Andrus P Yu Darvish C Yasmani Grandal OF George Springer 3B Nicholas Castellanos OF Andrew Toles P Michael Fulmer 2B Rougned Odor OF Cody Bellinger",NA,"Andrelton Simmons","1.57%",5
62,745727715,"youdacao (88/130)",0,153.65,"OF Carlos Beltrán C Brian McCann 1B Miguel Cabrera 3B Justin Turner OF Josh Reddick P Kenta Maeda 2B José Altuve OF George Springer P Michael Fulmer SS Corey Seager",NA,"Trevor Plouffe","1.47%",0
62,745729479,"scwashu2",0,153.65,"2B Robinson Canó OF Nelson Cruz C Brian McCann 1B Miguel Cabrera SS Elvis Andrus 3B Justin Turner OF Marwin González P Kenta Maeda OF Mike Trout P Michael Fulmer",NA,"Cameron Maybin","1.38%",10
64,745729132,"RjH_1",0,153.6,"1B Albert Pujols C Brian McCann OF Mike Trout OF Andrew Toles P Andrew Triggs P Michael Fulmer 2B Rougned Odor 3B Joey Gallo SS Corey Seager OF Cody Bellinger",NA,"Cory Spangenberg","1.38%",9
64,745737580,"kenilwoodgotti",0,153.6,"C Brian McCann 1B Miguel Cabrera 3B Marwin González 2B José Altuve P Dallas Keuchel OF George Springer OF Andrew Toles P Michael Fulmer SS Carlos Correa OF Cody Bellinger",NA,"Jim Adduci","1.35%",21
64,745758769,"sedds89 (2/2)",0,153.6,"1B Mike Napoli 2B Robinson Canó C Brian McCann OF Khris Davis SS Jean Segura 3B Ryan Schimpf P Dallas Keuchel OF George Springer P Michael Fulmer OF Cody Bellinger",NA,"Hunter Renfroe","1.33%",0
67,745415533,"totheshow17",0,153.35,"C Brian McCann SS Elvis Andrus OF Josh Reddick P Yu Darvish P Dallas Keuchel OF Andrew Toles 2B Rougned Odor 3B Joey Gallo OF Cody Bellinger 1B Yuli Gurriel",NA,"Adam Rosales","1.21%",6
67,745452152,"Ponston",0,153.35,"C Brian McCann 3B Justin Turner OF Marwin González P Yu Darvish 1B Yonder Alonso P Dallas Keuchel OF Delino DeShields 2B Rougned Odor SS Carlos Correa OF Cody Bellinger",NA,"Erick Aybar","1.14%",5
69,745131160,"suidmach (6/130)",0,152.75,"1B Miguel Cabrera OF Josh Reddick P Yu Darvish C Yasmani Grandal 2B José Altuve 3B Ryan Schimpf OF Delino DeShields P Michael Fulmer SS Corey Seager OF Cody Bellinger",NA,"José Iglesias","1.10%",14
69,745736909,"franciscolora0524 (126/130)",0,152.75,"3B Justin Turner P Yu Darvish C Yasmani Grandal SS Jean Segura 1B Wil Myers OF Andrew Toles P Michael Fulmer 2B Rougned Odor OF Yasiel Puig OF Cody Bellinger",NA,"Bruce Maxwell","1.03%",2
69,745755675,"Jreed0822 (2/2)",0,152.75,"C Brian McCann SS Elvis Andrus OF Marwin González P Yu Darvish 2B Yangervis Solarte 1B Wil Myers P Michael Fulmer 3B Joey Gallo OF Yasiel Puig OF Cody Bellinger",NA,"Jefry Marte","0.77%",2
69,745760376,"DUKE20000 (10/11)",0,152.75,"3B Justin Turner OF Josh Reddick P Yu Darvish C Yasmani Grandal 2B José Altuve OF Andrew Toles P Michael Fulmer SS Carlos Correa OF Cody Bellinger 1B Yuli Gurriel",NA,"Danny Espinosa","0.77%",0
