"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"SS","Jordy Mercer",3500,"PIT@SD 04:40PM ET",6.374,"PIT","SD",5.79,7.9,6.27,NA,"8","6",10
"1B","Wil Myers",3500,"PIT@SD 04:40PM ET",8.069,"SD","PIT",7.18,0,7.77,NA,"x","x",NA
"3B/OF","Cory Spangenberg",3500,"PIT@SD 04:40PM ET",6.487,"SD","PIT",6.12,0,6.05,NA,"x","x",NA
"OF","Jayson Werth",3500,"COL@WAS 07:05PM ET",7.894,"WAS","COL",NA,0,NA,NA,"x","x",NA
"2B/SS","Pat Valaika",3500,"COL@WAS 07:05PM ET",4.087,"COL","WAS",NA,0,NA,NA,"x","x",7
"C","Nick Hundley",3400,"SF@LAD 08:08PM ET",4.5,"SF","LAD",4.98,0,5.13,NA,"x","x",NA
"3B","Ryan Schimpf",3400,"PIT@SD 04:40PM ET",6.377,"SD","PIT",NA,0,NA,NA,"x","x",NA
"3B/SS","Stephen Drew",3400,"COL@WAS 07:05PM ET",3.5,"WAS","COL",NA,0,NA,NA,"x","x",NA
"OF","Michael Taylor",3400,"COL@WAS 07:05PM ET",7.658,"WAS","COL",NA,0,NA,NA,"x","x",NA
"OF","Matt Joyce",3300,"MIN@OAK 04:05PM ET",6.426,"OAK","MIN",7.18,8.4,9.1,NA,"1","1",7
"3B","David Wright",3300,"NYM@SEA 04:10PM ET",0,"NYM","SEA",NA,0,NA,NA,"x","x",NA
"OF","Curtis Granderson",3300,"NYM@SEA 04:10PM ET",6.458,"NYM","SEA",5.48,6.3,5.75,NA,"6","7",5
"2B","Neil Walker",3300,"NYM@SEA 04:10PM ET",7.758,"NYM","SEA",6.53,6.4,5.91,NA,"x","6",2
"OF","Denard Span",3300,"SF@LAD 08:08PM ET",7.338,"SF","LAD",6.18,6.8,6.41,NA,"1","1",0
"3B","Pablo Sandoval",3300,"SF@LAD 08:08PM ET",4.844,"SF","LAD",NA,0,NA,NA,"x","x",NA
"SS","Brandon Crawford",3300,"SF@LAD 08:08PM ET",6.477,"SF","LAD",5.41,7.5,5.63,NA,"5","5",0
"2B","Yangervis Solarte",3300,"PIT@SD 04:40PM ET",7.127,"SD","PIT",5.27,7.3,NA,NA,"3","4",2
"OF","Jordan Luplow",3300,"PIT@SD 04:40PM ET",0,"PIT","SD",NA,4.6,1.67,NA,"x","7",2
"3B/SS","Eduardo Escobar",3200,"MIN@OAK 04:05PM ET",6.243,"MIN","OAK",5.99,6.5,1.41,NA,"x","5",21
"3B/SS","Jose Reyes",3200,"NYM@SEA 04:10PM ET",6.5,"NYM","SEA",6.07,6.5,4.92,NA,"7","2",5
"OF","Leonys Martin",3200,"NYM@SEA 04:10PM ET",3.867,"SEA","NYM",NA,6,NA,NA,"x","9",17
"2B/SS","Taylor Motter",3200,"NYM@SEA 04:10PM ET",5.414,"SEA","NYM",5.84,0,NA,NA,"x","x",NA
"OF","Trayce Thompson",3200,"SF@LAD 08:08PM ET",2.895,"LAD","SF",5.54,0,6.77,NA,"x","x",NA
"2B","Joe Panik",3200,"SF@LAD 08:08PM ET",6.484,"SF","LAD",4.96,7.4,6.21,NA,"2","2",11
"OF","Ryan Raburn",3200,"COL@WAS 07:05PM ET",4.269,"WAS","COL",NA,0,NA,NA,"x","x",NA
"C","Jason Castro",3100,"MIN@OAK 04:05PM ET",5.816,"MIN","OAK",NA,NA,NA,NA,"9","x",NA
"2B/3B","Logan Forsythe",3100,"SF@LAD 08:08PM ET",5.768,"LAD","SF",6.85,7.2,8.94,NA,"5","5",5
"OF","Andrew Toles",3100,"SF@LAD 08:08PM ET",6.094,"LAD","SF",NA,0,NA,NA,"x","x",NA
"2B","Willie Calhoun",3100,"SF@LAD 08:08PM ET",0,"LAD","SF",NA,0,NA,NA,"x","x",NA
"OF","Alex Dickerson",3100,"PIT@SD 04:40PM ET",0,"SD","PIT",NA,0,1.67,NA,"x","x",NA
"OF","Stephen Cardullo",3100,"COL@WAS 07:05PM ET",2,"COL","WAS",NA,0,NA,NA,"x","x",NA
"C","Josh Phegley",3000,"MIN@OAK 04:05PM ET",3.521,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"1B","Kennys Vargas",3000,"MIN@OAK 04:05PM ET",6.7,"MIN","OAK",6.33,0,NA,NA,"x","x",NA
"OF","Mark Canha",3000,"MIN@OAK 04:05PM ET",4.4,"OAK","MIN",NA,0,NA,NA,"x","x",NA
"OF","Hunter Pence",3000,"SF@LAD 08:08PM ET",6.012,"SF","LAD",7.28,8.2,6.37,NA,"6","3",6
"3B/OF","Rob Segedin",3000,"SF@LAD 08:08PM ET",2.5,"LAD","SF",NA,0,NA,NA,"x","x",NA
"OF","Jarrett Parker",3000,"SF@LAD 08:08PM ET",2.667,"SF","LAD",NA,0,NA,NA,"x","x",NA
"3B/SS","Christian Arroyo",3000,"SF@LAD 08:08PM ET",5.059,"SF","LAD",NA,0,NA,NA,"x","x",NA
