"Paul Goldschmidt_ARI","Jake Lamb_ARI","Nelson Cruz_SEA","Miguel Sano_MIN","AJ Pollock_ARI","Robinson Cano_SEA","Jean Segura_SEA","Max Kepler_MIN","Danny Valencia_SEA","David Peralta_ARI","Joe Mauer_MIN","Chris Owings_ARI","Nick Ahmed_ARI","Wil Myers_SD","Ryan Schimpf_SD","Austin Hedges_SD","Robbie Grossman_MIN","Kyle Seager_SEA","Brian Dozier_MIN","Jarrod Dyson_SEA","Mike Zunino_SEA","Mitch Haniger_SEA","Ben Gamel_SEA","Taylor Motter_SEA","Jeremy Hazelbaker_ARI","Manuel Margot_SD","Yasmany Tomas_ARI","Jason Castro_MIN","Leonys Martin_SEA","Kennys Vargas_MIN","Yangervis Solarte_SD","Rey Fuentes_ARI","Alex Dickerson_SD","Hunter Renfroe_SD","Eddie Rosario_MIN","Gregor Blanco_ARI","Chris Iannetta_ARI","Chris Herrmann_ARI","Socrates Brito_ARI","Guillermo Heredia_SEA","Daniel Descalso_ARI","Brandon Drury_ARI","Byron Buxton_MIN","Travis Jankowski_SD","Jorge Polanco_MIN","Matt Szczur_SD","Chase d'Arnaud_SD","Shawn O'Malley_SEA","Eduardo Escobar_MIN","Christian Bethancourt_SD","Carlos Ruiz_SEA","Boog Powell_SEA","Cory Spangenberg_SD","Allen Cordoba_SD","Chris Gimenez_MIN","Tuffy Gosewisch_SEA","Jabari Blash_SD","Franchy Cordero_SD","Ehire Adrianza_MIN","Daniel Vogelbach_SEA","Tyler Smith_SEA","Hector Sanchez_SD","Erick Aybar_SD","Jeff Mathis_ARI","Luis Torrens_SD"
0,0,0,0,0,0,0,0,0,0,0,0,0,52,41,44,0,0,0,0,0,0,0,0,0,40,0,0,0,0,53,0,0,51,0,0,0,0,0,0,0,0,0,13,0,11,7,0,0,0,0,0,24,20,0,0,7,6,0,0,0,2,41,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,51,40,43,0,0,0,0,0,0,0,0,0,40,0,0,0,0,51,0,0,52,0,0,0,0,0,0,0,0,0,13,0,10,7,0,0,0,0,0,23,20,0,0,6,6,0,0,0,2,40,0,8
0,0,0,35,0,0,0,33,0,0,32,0,0,0,0,0,28,0,37,0,0,0,0,0,0,0,0,26,0,15,0,0,0,0,39,0,0,0,0,0,0,0,33,0,35,0,0,0,19,0,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0
12,12,0,0,0,0,0,0,0,10,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,2,5,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
17,16,0,0,11,0,0,0,0,12,0,14,11,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,2,18,3,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20,0,0,9,0,0,0,0,16,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,3,20,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35,0,0,31,30,0,32,0,0,0,0,0,0,0,0,35,0,33,20,8,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0
18,15,0,0,9,0,0,0,0,14,0,15,11,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,6,8,9,0,0,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
44,42,0,0,26,0,0,0,0,34,0,37,21,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,8,15,13,0,0,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
0,0,0,35,0,0,0,32,0,0,31,0,0,0,0,0,28,0,35,0,0,0,0,0,0,0,0,24,0,16,0,0,0,0,33,0,0,0,0,0,0,0,38,0,36,0,0,0,16,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,0,0,36,0,0,0,33,0,0,32,0,0,0,0,0,29,0,36,0,0,0,0,0,0,0,0,26,0,15,0,0,0,0,35,0,0,0,0,0,0,0,36,0,39,0,0,0,17,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,8,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,0,0,0,17,0,0,15,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,19,0,0,0,0,0,0,0,16,0,17,0,0,0,22,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,0,13,14,0,14,0,0,0,0,0,0,0,0,18,0,14,0,6,12,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,22,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,0,0,23,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,25,9,0,0,3,3,0,0,0,0,19,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,9,21,0,0,0,5,0,0,0,0,13,0,4
0,0,0,15,0,0,0,12,0,0,11,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,15,0,0,0,0,0,0,0,16,0,15,0,0,0,11,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0
