"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
46,801655499,"SleepyW (2/2)",0,125.2,"3B Justin Turner C Yasmani Grandal P Michael Fulmer 2B Chris Taylor SS Corey Seager 1B Cody Bellinger OF Tommy Pham OF Starling Marte OF Nelson Cruz P Ariel Miranda",NA,"Chase Utley","4.32%",7
47,801766449,"ChipotleAddict (19/20)",0,124.3,"2B Ian Kinsler OF Justin Upton 3B Nicholas Castellanos C James McCann OF Starling Marte P Chad Kuhl OF Nelson Cruz 1B Yonder Alonso SS Jean Segura P Ariel Miranda",NA,"Sean Rodríguez","4.19%",8
47,801938915,"stlcardinals84 (10/10)",0,124.3,"P Hyun-Jin Ryu P Chad Kuhl 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura 3B Kyle Seager",NA,"Elias Díaz","3.81%",0
49,801922723,"BarOfSoap (15/20)",0,124.2,"P Michael Fulmer OF Andrew McCutchen OF Starling Marte 3B Jedd Gyorko 2B Robinson Canó 1B Yonder Alonso SS Jean Segura C Mike Zunino OF Mitch Haniger P Ariel Miranda",NA,"José Iglesias","3.43%",0
50,801813168,"beighle30",0,124.1,"C Yasmani Grandal SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger OF Starling Marte 2B Robinson Canó OF Nelson Cruz 3B Kyle Seager OF Ben Gamel P Ariel Miranda",NA,"Adrián González","3.24%",5
50,801887038,"jseeley09",0,124.1,"C Yasmani Grandal OF Chris Taylor P Hyun-Jin Ryu 1B Cody Bellinger OF Adam Frazier 2B Robinson Canó SS Jean Segura 3B Kyle Seager OF Mitch Haniger P Ariel Miranda",NA,"Adeiny Hechavarria","3.11%",3
52,801817171,"moklovin (17/20)",0,123.85,"C Yasmani Grandal OF Tommy Pham OF Starling Marte P Michael Wacha P Chad Kuhl 2B Robinson Canó OF Nelson Cruz 1B Yonder Alonso SS Jean Segura 3B Kyle Seager",NA,"Guillermo Heredia","2.98%",2
53,801880184,"jrock328 (3/20)",0,123.4,"1B Miguel Cabrera 2B Ian Kinsler OF Mikie Mahtook P Michael Fulmer 3B Jedd Gyorko P Chad Kuhl SS Paul DeJong OF Nelson Cruz C Wilson Ramos OF Steven Souza Jr.",NA,"Victor Martinez","2.79%",2
54,801814638,"zCWiL",0,123.3,"3B Justin Turner C Yasmani Grandal 2B Chris Taylor SS Corey Seager 1B Cody Bellinger OF Andrew McCutchen OF Starling Marte P Chad Kuhl OF Nelson Cruz P Ariel Miranda",NA,"Daniel Robertson","2.54%",0
55,801729726,"Mocexx",0,123.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura",NA,"John Jaso","2.29%",8
55,801743058,"bric75 (7/20)",0,123.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura",NA,"JaCoby Jones","1.27%",3
55,801786293,"Bakerfitness18 (11/20)",0,123.2,"C Yasmani Grandal 3B Logan Forsythe P Michael Fulmer P Hyun-Jin Ryu OF Andrew McCutchen 2B Josh Harrison OF Starling Marte 1B Josh Bell SS Jean Segura OF Mitch Haniger",NA,"Yadier Molina","1.21%",0
55,801943341,"vengven (10/13)",0,123.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura",NA,"Dexter Fowler","0.95%",0
55,801943374,"vengven (11/13)",0,123.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura",NA,"Trevor Plouffe","0.89%",0
55,801947142,"RamstoL.A2015 (1/2)",0,123.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura",NA,"Corey Dickerson","0.44%",0
55,801947568,"RamstoL.A2015 (2/2)",0,123.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz OF Peter Bourjos 3B Evan Longoria C Wilson Ramos OF Steven Souza Jr. 1B Yonder Alonso SS Jean Segura",NA,"Yasiel Puig","0.38%",0
62,801880991,"4Kyle_mushrush12",0,122.65,"OF Justin Upton 3B Justin Turner C Yasmani Grandal 1B Matt Carpenter OF Starling Marte P Michael Wacha SS Paul DeJong 2B Robinson Canó OF Nelson Cruz P Ariel Miranda",NA,"David Freese","0.25%",0
63,801643273,"AidenAlexander",0,122.3,"3B Justin Turner C Yasmani Grandal SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger OF Starling Marte OF Adam Frazier P Chad Kuhl OF Ben Gamel 2B Daniel Robertson",NA,"Austin Barnes","0.19%",0
63,801944440,"bbrig17 (5/5)",0,122.3,"C Yasmani Grandal SS Corey Seager P Hyun-Jin Ryu 1B Cody Bellinger OF Sean Rodríguez OF Andrew McCutchen OF Starling Marte 2B Adam Frazier P Chad Kuhl 3B Evan Longoria",NA,"Stephen Piscotty","0.19%",0
65,801922722,"BarOfSoap (14/20)",0,122.2,"OF Mikie Mahtook P Michael Fulmer OF Starling Marte 1B Josh Bell 2B Robinson Canó OF Nelson Cruz SS Jean Segura 3B Kyle Seager C Mike Zunino P Ariel Miranda",NA,"Aledmys Díaz","0.19%",0
65,801932178,"shayner25",0,122.2,"2B Ian Kinsler OF Justin Upton P Michael Fulmer OF Andrew McCutchen 1B José Martínez 3B Josh Harrison SS Paul DeJong OF Nelson Cruz C Wilson Ramos P Ariel Miranda",NA,"Kiké Hernández","0.13%",0
65,801825489,"shawnzhan (7/20)",0,122.2,"P Michael Fulmer P Hyun-Jin Ryu 2B Robinson Canó OF Nelson Cruz 3B Evan Longoria C Wilson Ramos 1B Lucas Duda SS Jean Segura OF Ben Gamel OF Kevin Kiermaier",NA,"Brad Miller","0.13%",0
68,801909734,"t5662jp (7/20)",0,122.1,"1B Chase Utley 3B Justin Turner C Yasmani Grandal 2B Chris Taylor P Hyun-Jin Ryu OF Nelson Cruz SS Jean Segura OF Mitch Haniger OF Guillermo Heredia P Ariel Miranda",NA,"Jesús Sucre","0.06%",0
69,801922726,"BarOfSoap (18/20)",0,121.2,"OF Justin Upton C Yasmani Grandal P Michael Fulmer 2B Robinson Canó OF Nelson Cruz 1B Yonder Alonso SS Jean Segura 3B Kyle Seager OF Kevin Kiermaier P Ariel Miranda",NA,"Jordy Mercer","0.06%",0
70,801766611,"Mjhavs",0,121.1,"P Hyun-Jin Ryu 3B David Freese OF Tommy Pham OF Starling Marte 2B Robinson Canó OF Nelson Cruz C Wilson Ramos 1B Yonder Alonso SS Jean Segura P Ariel Miranda",NA,"Danny Valencia","0.06%",0
70,801833401,"Hustlegang304 (2/8)",0,121.1,"1B Adrián González 3B Justin Turner C Yasmani Grandal 2B Chris Taylor SS Corey Seager P Hyun-Jin Ryu OF José Martínez OF Randal Grichuk OF Adam Frazier P Ariel Miranda",NA,"José Osuna","0.06%",14
70,801904455,"suidmach (4/20)",0,121.1,"3B Justin Turner P Hyun-Jin Ryu OF José Martínez OF Randal Grichuk 1B Matt Carpenter SS Paul DeJong 2B Robinson Canó OF Nelson Cruz C Mike Zunino P Ariel Miranda",NA,"Logan Morrison","0.06%",14
73,801945884,"totalnit (2/2)",0,120.65,"3B Justin Turner C Yasmani Grandal OF Cody Bellinger 1B Matt Carpenter OF Starling Marte P Michael Wacha SS Paul DeJong 2B Robinson Canó OF Nelson Cruz P Ariel Miranda",NA,"Carlos Ruiz","0.06%",0
