"","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Justin Upton","OF","DET","@ MIN",4.44,"Mejia, L 4.05","R",0.25,0.366,0.225,0,0,0,5,4600,24.1,7.5,9.77,9.77,"%",52,2.1,21,4.6
"Hanley Ramirez","1B/OF","BOS","@ BAL",4.13,"Aquino, L","R",0.226,0.266,0.057,0,0,0,4,4600,18.1,5.5,10.23,10.23,"%",64,2.2,0,NA
"Jackie Bradley Jr.","OF","BOS","@ BAL",4.13,"Aquino, L","L",0.278,0.314,0.111,0,0,0,2,4600,20.8,7.8,10.76,10.76,"%",68,2.3,21,4.6
"Jonathan Villar","2B","MIL","vs STL",4.67,"Lynn, R 3.12","B",0.176,0.242,0.149,0,0,0,1,4600,27.5,7,9.91,9.91,"%",37,2.2,5,1.1
"Trea Turner","OF/SS","WSH","@ NYM",3.17,"deGrom, R 1.89","R",0.158,0.188,0.053,0,0,0,2,4600,16,5,8.03,8.03,"%",60,1.7,12,2.6
"Freddie Freeman","1B","ATL","@ PHI",3.57,"Eickhoff, R 3.20","L",0.397,0.548,0.466,0,0,0,3,4600,34.8,12.6,9.9,9.9,"%",51,2.2,16,3.5
"Brandon Belt","1B","SF","@ COL",5.18,"Senzatela, R 2.37","L",0.238,0.369,0.27,0,0,0,2,4600,30.7,9.2,13.25,13.25,"%",53,2.9,14,3
"DJ LeMahieu","2B","COL","vs SF",5.32,"Moore, L 4.26","R",0.262,0.327,0.115,0,0,0,2,4600,24.6,6.2,12.53,12.53,"%",51,2.7,15,3.3
"Carlos Gonzalez","OF","COL","vs SF",5.32,"Moore, L 4.26","L",0.183,0.226,0.117,0,0,0,4,4600,20.5,4.1,12.99,12.99,"%",54,2.8,7,1.5
"Chris Davis","1B","BAL","vs BOS",4.37,"Wright, R 8.36","L",0.263,0.349,0.228,0,0,0,5,4500,23.9,7.2,8.89,8.89,"%",48,2,7,1.6
"George Springer","OF","HOU","@ TB",4.31,"Snell, L 2.76","R",0.222,0.339,0.319,0,0,0,1,4500,27.7,9.6,10.78,10.78,"%",56,2.4,2,0.4
"Nelson Cruz","OF","SEA","@ OAK",3.77,"Cotton, R 5.40","R",0.246,0.335,0.154,0,0,0,4,4500,20,6.9,9.68,9.68,"%",63,2.2,9,2
"Casey Lawrence","P","TOR","@ LAA",5.01,"Skaggs, L 5.19","R",13.5,0,0,1,9,3,NA,4500,8.3,-0.6,6.61,6.61,"%",0,1.5,8.25,1.8
"Stephen Piscotty","OF","STL","@ MIL",4.33,"Anderson, R 1.50","R",0.234,0.337,0.149,0,0,0,5,4500,24.7,6.2,9.42,9.42,"%",38,2.1,2,0.4
"Buster Posey","C","SF","@ COL",5.18,"Senzatela, R 2.37","R",0.343,0.412,0.143,0,0,0,4,4500,25.3,7.3,14.03,14.03,"%",62,3.1,3,0.7
"Giancarlo Stanton","OF","MIA","@ SD",4.17,"Weaver, R 4.24","R",0.267,0.373,0.267,0,0,0,4,4500,29.9,8.7,11.07,11.07,"%",46,2.5,30,6.7
"Michael Brantley","OF","CLE","@ CWS",4.75,"TBD","L",0.302,0.377,0.17,0,0,0,3,4400,23.2,8.9,12.05,12.05,"%",69,2.7,26,5.9
"Edwin Encarnacion","1B","CLE","@ CWS",4.75,"TBD","R",0.207,0.314,0.121,0,0,0,4,4400,24.3,6.6,11.47,11.47,"%",52,2.6,19,4.3
"Mark Trumbo","OF","BAL","vs BOS",4.37,"Wright, R 8.36","R",0.254,0.286,0.102,0,0,0,4,4400,23.3,6.5,10.66,10.66,"%",52,2.4,2,0.5
"Rougned Odor","2B","TEX","vs KC",4.53,"Kennedy, R 2.37","L",0.194,0.269,0.194,0,0,0,5,4400,25.1,6.2,8.77,8.77,"%",34,2,10,2.3
"Lorenzo Cain","OF","KC","@ TEX",4.48,"Martinez, R","R",0.339,0.403,0.071,0,0,0,3,4400,19.2,8.7,11.18,11.18,"%",77,2.5,3,0.7
"Mark Reynolds","1B","COL","vs SF",5.32,"Moore, L 4.26","R",0.316,0.412,0.281,0,0,0,5,4400,26,8.6,10.73,10.73,"%",56,2.4,30,6.8
"Joe Panik","2B","SF","@ COL",5.18,"Senzatela, R 2.37","L",0.321,0.367,0.113,0,0,0,3,4400,23.6,6.8,12.47,12.47,"%",59,2.8,19,4.3
"Eduardo Nunez","3B","SF","@ COL",5.18,"Senzatela, R 2.37","R",0.3,0.303,0.05,0,0,0,6,4400,25,7.5,9.98,9.98,"%",50,2.3,3,0.7
"Denard Span","OF","SF","@ COL",5.18,"Senzatela, R 2.37","L",0.204,0.241,0.082,0,0,0,1,4400,19.4,4.3,12.32,12.32,"%",59,2.8,0,NA
"Wil Myers","1B","SD","vs MIA",3.83,"Straily, R 4.61","R",0.357,0.431,0.3,0,0,0,3,4400,25.7,9.6,9.01,9.01,"%",57,2,13,3
"Miguel Sano","3B","MIN","vs DET",4.56,"Boyd, L 3.77","R",0.226,0.414,0.34,0,0,0,3,4300,25.5,10.1,10.06,10.06,"%",62,2.3,5,1.2
"Carlos Santana","1B/OF","CLE","@ CWS",4.75,"TBD","B",0.246,0.327,0.174,0,0,0,1,4300,28.2,8.6,11.91,11.91,"%",53,2.8,16,3.7
"Adam Jones","OF","BAL","vs BOS",4.37,"Wright, R 8.36","R",0.259,0.35,0.207,0,0,0,2,4300,21.2,7.7,10.4,10.4,"%",65,2.4,10,2.3
"Andrew McCutchen","OF","PIT","vs NYY",3.45,"Pineda, R 3.44","R",0.254,0.309,0.159,0,0,0,3,4300,18.6,6.6,7.62,7.62,"%",58,1.8,25,5.8
"Robinson Cano","2B","SEA","@ OAK",3.77,"Cotton, R 5.40","L",0.229,0.303,0.143,0,0,0,3,4300,23.6,6.9,8.99,8.99,"%",47,2.1,22,5.1
"Evan Longoria","3B","TB","vs HOU",4.19,"Morton, R 2.81","R",0.235,0.326,0.177,0,0,0,3,4300,21.9,7.4,8.9,8.9,"%",56,2.1,14,3.3
"Daniel Murphy","2B","WSH","@ NYM",3.17,"deGrom, R 1.89","L",0.323,0.381,0.2,0,0,0,5,4300,26.4,9,6.7,6.7,"%",45,1.6,6,1.4
"Eric Hosmer","1B","KC","@ TEX",4.48,"Martinez, R","L",0.197,0.246,0.066,0,0,0,4,4300,17,4.6,10.1,10.1,"%",63,2.3,0,NA
"Shin-Soo Choo","OF","TEX","vs KC",4.53,"Kennedy, R 2.37","L",0.208,0.303,0.083,0,0,0,2,4300,24.6,6.6,10.01,10.01,"%",45,2.3,5,1.2
"Brandon Crawford","SS","SF","@ COL",5.18,"Senzatela, R 2.37","L",0.283,0.332,0.2,0,0,0,5,4300,23.2,6.9,11.51,11.51,"%",58,2.7,0,NA
"Trevor Story","SS","COL","vs SF",5.32,"Moore, L 4.26","R",0.143,0.28,0.232,0,0,0,6,4300,22.8,6.2,9.9,9.9,"%",48,2.3,16,3.7
"Jason Kipnis","2B","CLE","@ CWS",4.75,"TBD","L",0,0.18,0,0,0,0,6,4200,8.6,4,8.61,8.61,"%",0,2.1,3,0.7
"Todd Frazier","3B","CWS","vs CLE",3.25,"Carrasco, R 2.33","R",0.1,0.205,0.133,0,0,0,5,4200,19.8,4.6,6.4,6.4,"%",27,1.5,0,NA
"Gregory Polanco","OF","PIT","vs NYY",3.45,"Pineda, R 3.44","L",0.239,0.293,0.065,0,0,0,4,4200,21.2,6.8,7.23,7.23,"%",49,1.7,0,NA
"Javier Baez","2B","CHC","@ CIN",4.23,"Reed, L 0.00","R",0.233,0.298,0.163,0,0,0,7,4200,17.9,5.2,5.8,5.8,"%",42,1.4,2,0.5
"Adam Duvall","OF","CIN","vs CHC",3.27,"Arrieta, R 2.89","R",0.242,0.344,0.29,0,0,0,4,4200,26.5,9.2,6.76,6.76,"%",46,1.6,5,1.2
"Maikel Franco","3B","PHI","vs ATL",3.94,"Garcia, L 4.67","R",0.164,0.259,0.18,0,0,0,4,4200,23.1,6.6,7.95,7.95,"%",43,1.9,12,2.9
"Christian Yelich","OF","MIA","@ SD",4.17,"Weaver, R 4.24","L",0.275,0.327,0.174,0,0,0,3,4200,26.5,10.1,10.55,10.55,"%",60,2.5,2,0.5
"Francisco Lindor","SS","CLE","@ CWS",4.75,"TBD","B",0.323,0.416,0.292,0,0,0,2,4100,32.6,10.8,11.62,11.62,"%",51,2.8,2,0.5
"Khris Davis","OF","OAK","vs SEA",4.23,"Miranda, L 3.06","R",0.295,0.418,0.377,0,0,0,4,4100,26.4,10.4,9.21,9.21,"%",59,2.2,6,1.5
"Albert Pujols","1B","LAA","vs TOR",5.01,"Lawrence, R 13.50","R",0.203,0.25,0.116,0,0,0,4,4100,23,6.1,9.55,9.55,"%",45,2.3,5,1.2
"Jose Bautista","OF","TOR","@ LAA",3.99,"Skaggs, L 5.19","R",0.131,0.231,0.082,0,0,0,3,4100,19.4,5.1,8.48,8.48,"%",46,2.1,0,NA
"Eric Thames","1B","MIL","vs STL",4.67,"Lynn, R 3.12","L",0.379,0.549,0.517,0,0,0,2,4100,29.3,13.8,10.69,10.69,"%",66,2.6,6,1.5
"Randal Grichuk","OF","STL","@ MIL",4.33,"Anderson, R 1.50","R",0.19,0.249,0.155,0,0,0,7,4100,18.5,5.3,5.94,5.94,"%",41,1.4,15,3.7
"Jonathan Lucroy","C","TEX","vs KC",4.53,"Kennedy, R 2.37","R",0.191,0.224,0.085,0,0,0,7,4100,19.4,4.8,6.09,6.09,"%",31,1.5,2,0.5
"Alex Gordon","OF","KC","@ TEX",4.48,"Martinez, R","L",0.188,0.239,0.047,0,0,0,1,4100,16.5,4.6,9.02,9.02,"%",59,2.2,0,NA
"Willson Contreras","C","CHC","@ CIN",4.23,"Reed, L 0.00","R",0.234,0.283,0.128,0,0,0,5,4100,19,5.1,8.02,8.02,"%",46,2,34,8.3
"Addison Russell","SS","CHC","@ CIN",4.23,"Reed, L 0.00","R",0.258,0.335,0.21,0,0,0,4,4100,25.9,8.7,8.79,8.79,"%",51,2.1,4,1
"Matt Kemp","OF","ATL","@ PHI",3.57,"Eickhoff, R 3.20","R",0.333,0.455,0.417,0,0,0,4,4100,30,10,8.58,8.58,"%",47,2.1,3,0.7
"Antonio Senzatela","P","COL","vs SF",5.18,"Moore, L 4.26","R",2.37,0,0,6.3,6.7,0.95,NA,4100,13,19.1,7.53,7.53,"%",86,1.8,20.75,5.1
"Dee Gordon","2B","MIA","@ SD",4.17,"Weaver, R 4.24","L",0.296,0.293,0.042,0,0,0,1,4100,18.8,7.6,9.26,9.26,"%",69,2.3,12,2.9
"Nick Castellanos","3B","DET","@ MIN",4.44,"Mejia, L 4.05","R",0.242,0.325,0.242,0,0,0,3,4000,23.2,8.1,9.77,9.77,"%",59,2.4,23,5.8
"Max Kepler","OF","MIN","vs DET",4.56,"Boyd, L 3.77","L",0.293,0.36,0.19,0,0,0,5,4000,22.1,7.4,8.71,8.71,"%",55,2.2,2,0.5
"Jose Abreu","1B","CWS","vs CLE",3.25,"Carrasco, R 2.33","R",0.19,0.215,0.052,0,0,0,4,4000,16.8,4.2,6.55,6.55,"%",39,1.6,2,0.5
"Jayson Aquino","P","BAL","vs BOS",4.13,"Wright, R 8.36","L",NA,0,0,0,0,0,NA,4000,8.2,NA,8.17,8.17,"%",0,2,12.1,3
"Pablo Sandoval","3B","BOS","@ BAL",4.13,"Aquino, L","B",0.214,0.281,0.179,0,0,0,8,4000,19.2,6.7,5.1,5.1,"%",47,1.3,3,0.8
"Adam Eaton","OF","WSH","@ NYM",3.17,"deGrom, R 1.89","L",0.279,0.351,0.131,0,0,0,1,4000,22.4,9.1,7.45,7.45,"%",59,1.9,12,3
"Nick Martinez","P","TEX","vs KC",4.48,"Kennedy, R 2.37","R",NA,0,0,0,0,0,NA,4000,6.5,NA,6.53,6.53,"%",0,1.6,16.75,4.2
"Mike Napoli","1B","TEX","vs KC",4.53,"Kennedy, R 2.37","R",0.156,0.241,0.125,0,0,0,4,4000,20,5.2,8.84,8.84,"%",46,2.2,14,3.5
"Brandon Moss","1B/OF","KC","@ TEX",4.48,"Martinez, R","L",0.128,0.237,0.154,0,0,0,6,4000,17.6,5.3,7.02,7.02,"%",50,1.8,5,1.3
"Carlos Gomez","OF","TEX","vs KC",4.53,"Kennedy, R 2.37","R",0.164,0.281,0.194,0,0,0,1,4000,23.7,6.6,9.36,9.36,"%",46,2.3,9,2.3
"Odubel Herrera","OF","PHI","vs ATL",3.94,"Garcia, L 4.67","L",0.263,0.334,0.105,0,0,0,3,4000,17.5,6.8,8.28,8.28,"%",66,2.1,8,2
"A.J. Pollock","OF","ARI","vs LAD",4.5,"Maeda, R 7.07","R",0.301,0.352,0.178,0,0,0,1,4000,25.6,9.1,9.67,9.67,"%",56,2.4,10,2.5
"Victor Martinez","1B","DET","@ MIN",4.44,"Mejia, L 4.05","B",0.208,0.238,0,0,0,0,4,3900,14.2,4.2,8.96,8.96,"%",69,2.3,0,NA
"Jose Ramirez","2B","CLE","@ CWS",4.75,"TBD","B",0.322,0.407,0.254,0,0,0,5,3900,32.5,10.1,10.33,10.33,"%",45,2.6,19,4.9
"Alex Bregman","3B/SS","HOU","@ TB",4.31,"Snell, L 2.76","R",0.254,0.316,0.068,0,0,0,6,3900,16.6,5.9,7.39,7.39,"%",61,1.9,5,1.3
"Jedd Gyorko","2B/3B","STL","@ MIL",4.33,"Anderson, R 1.50","R",0.316,0.432,0.316,0,0,0,4,3900,25.5,7.8,8.99,8.99,"%",47,2.3,14,3.6
"Keon Broxton","OF","MIL","vs STL",4.67,"Lynn, R 3.12","R",0.133,0.222,0.133,0,0,0,7,3900,18.1,4.4,5.59,5.59,"%",29,1.4,8,2.1
"Curtis Granderson","OF","NYM","vs WSH",3.34,"Gonzalez, L 1.33","L",0.167,0.227,0.117,0,0,0,6,3900,16.8,4.9,4.92,4.92,"%",39,1.3,0,NA
"Elvis Andrus","SS","TEX","vs KC",4.53,"Kennedy, R 2.37","R",0.277,0.34,0.231,0,0,0,6,3900,22.6,8.6,6.98,6.98,"%",55,1.8,5,1.3
"Jake Lamb","3B","ARI","vs LAD",4.5,"Maeda, R 7.07","L",0.297,0.384,0.219,0,0,0,4,3900,23,10,9.42,9.42,"%",66,2.4,18,4.6
"Yasiel Puig","OF","LAD","@ ARI",4.5,"Ray, L 1.96","R",0.254,0.365,0.254,0,0,0,4,3900,33.6,8.5,10.02,10.02,"%",31,2.6,7,1.8
"Robbie Grossman","OF","MIN","vs DET",4.56,"Boyd, L 3.77","B",0.31,0.427,0.167,0,0,0,4,3800,21.3,8,8.9,8.9,"%",61,2.3,7,1.8
"Jonathan Schoop","2B","BAL","vs BOS",4.37,"Wright, R 8.36","R",0.269,0.339,0.231,0,0,0,7,3800,17.7,7.4,6,6,"%",61,1.6,19,5
"Evan Gattis","C","HOU","@ TB",4.31,"Snell, L 2.76","R",0.29,0.354,0.065,0,0,0,5,3800,18.9,6.1,7.83,7.83,"%",55,2.1,18,4.7
"Brad Miller","2B","TB","vs HOU",4.19,"Morton, R 2.81","L",0.242,0.335,0.161,0,0,0,4,3800,22.9,6.8,8.3,8.3,"%",46,2.2,0,NA
"Kole Calhoun","OF","LAA","vs TOR",5.01,"Lawrence, R 13.50","L",0.219,0.291,0.094,0,0,0,2,3800,19.8,5.5,9.12,9.12,"%",51,2.4,7,1.8
"Yadier Molina","C","STL","@ MIL",4.33,"Anderson, R 1.50","R",0.22,0.262,0.08,0,0,0,6,3800,15.2,4.9,6.89,6.89,"%",58,1.8,11,2.9
"Domingo Santana","OF","MIL","vs STL",4.67,"Lynn, R 3.12","R",0.212,0.314,0.192,0,0,0,5,3800,19.3,6.2,7.98,7.98,"%",54,2.1,0,NA
"Anthony Rendon","3B","WSH","@ NYM",3.17,"deGrom, R 1.89","R",0.237,0.271,0.034,0,0,0,6,3800,12.8,4.7,5.2,5.2,"%",59,1.4,4,1.1
"Whit Merrifield","2B/OF","KC","@ TEX",4.48,"Martinez, R","R",0.364,0.519,0.455,0,0,0,5,3800,22.3,9.8,6.38,6.38,"%",59,1.7,3,0.8
"Nomar Mazara","OF","TEX","vs KC",4.53,"Kennedy, R 2.37","L",0.271,0.346,0.214,0,0,0,3,3800,28.4,9.6,9.36,9.36,"%",50,2.5,2,0.5
"Jose Peraza","2B","CIN","vs CHC",3.27,"Arrieta, R 2.89","R",0.215,0.24,0.046,0,0,0,1,3800,20.2,6.9,6.21,6.21,"%",49,1.6,10,2.6
"Jason Heyward","OF","CHC","@ CIN",4.23,"Reed, L 0.00","L",0.286,0.317,0.089,0,0,0,6,3800,15.3,6.5,6.74,6.74,"%",67,1.8,27,7.1
"Tommy Joseph","1B","PHI","vs ATL",3.94,"Garcia, L 4.67","R",0.212,0.246,0.096,0,0,0,5,3800,17.2,5.4,6.36,6.36,"%",50,1.7,2,0.5
"Ender Inciarte","OF","ATL","@ PHI",3.57,"Eickhoff, R 3.20","L",0.235,0.302,0.206,0,0,0,1,3800,24.6,8.1,7.37,7.37,"%",47,1.9,0,NA
"Joc Pederson","OF","LAD","@ ARI",4.5,"Ray, L 1.96","L",0.233,0.31,0.116,0,0,0,6,3800,17.9,4.9,7.02,7.02,"%",45,1.8,0,NA
"Eddie Rosario","OF","MIN","vs DET",4.56,"Boyd, L 3.77","L",0.226,0.252,0.076,0,0,0,8,3700,13.9,4.9,4.8,4.8,"%",54,1.3,5,1.4
"Yasmany Tomas","OF","ARI","vs LAD",4.5,"Maeda, R 7.07","R",0.276,0.338,0.224,0,0,0,5,3800,22.9,7.8,7.81,7.81,"%",52,2.1,32,8.4
"Byron Buxton","OF","MIN","vs DET",4.56,"Boyd, L 3.77","R",0.096,0.134,0.039,0,0,0,9,3700,9,2,3.16,3.16,"%",27,0.9,3,0.8
"Melky Cabrera","OF","CWS","vs CLE",3.25,"Carrasco, R 2.33","B",0.261,0.301,0.087,0,0,0,3,3700,15.1,5.7,6.18,6.18,"%",61,1.7,0,NA
"Jacoby Ellsbury","OF","NYY","@ PIT",3.55,"Taillon, R 0.90","L",0.351,0.377,0.088,0,0,0,1,3700,19.5,8.3,7.69,7.69,"%",65,2.1,7,1.9
"Aaron Judge","OF","NYY","@ PIT",3.55,"Taillon, R 0.90","R",0.269,0.399,0.346,0,0,0,5,3700,25.7,9.6,7.02,7.02,"%",51,1.9,21,5.7
"Carlos Beltran","OF","HOU","@ TB",4.31,"Snell, L 2.76","B",0.274,0.31,0.145,0,0,0,2,3700,20.1,6.1,8.7,8.7,"%",53,2.4,0,NA
"Steven Souza Jr.","OF","TB","vs HOU",4.19,"Morton, R 2.81","R",0.343,0.434,0.239,0,0,0,5,3700,25.9,9.8,7.58,7.58,"%",53,2,10,2.7
"Trevor Plouffe","3B","OAK","vs SEA",4.23,"Miranda, L 3.06","R",0.222,0.317,0.222,0,0,0,5,3700,19.3,6.9,7.22,7.22,"%",56,2,3,0.8
"Cameron Maybin","OF","LAA","vs TOR",5.01,"Lawrence, R 13.50","R",0.188,0.262,0.104,0,0,0,7,3700,14.6,5.6,6.3,6.3,"%",63,1.7,8,2.2
"Asdrubal Cabrera","SS","NYM","vs WSH",3.34,"Gonzalez, L 1.33","B",0.284,0.326,0.119,0,0,0,3,3700,21.5,7.6,6.61,6.61,"%",51,1.8,5,1.4
