"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11"
"WR","Robert Woods (0000000)","Robert Woods",0,4400,"Jax@Buf 00:00PM ET","Buf","Robert","Woods","Jax",0,0,1,0.211920529801325,1,6,2,11.1,15.9,4.6,16,NA,9,29.2,NA,7.1
"WR","Mohamed Sanu (0000000)","Mohamed Sanu",0,4300,"Ari@Atl 00:00PM ET","Atl","Mohamed","Sanu","Ari",11.62,11.7,2,0.178977272727273,1,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,12.4,3.4,NA
"WR","Corey Coleman (0000000)","Corey Coleman",0,4200,"NYG@Cle 00:00PM ET","Cle","Corey","Coleman","NYG",12.67,12.6,5,0.0925,1,8.9,30.4,NA,NA,NA,NA,NA,NA,7.1,4.7,7.9
"WR","J.J. Nelson (0000000)","J.J. Nelson",0,4200,"Ari@Atl 00:00PM ET","Ari","J.J.","Nelson","Atl",7.38,10.9,5,0.0898345153664303,1,2.1,NA,NA,3.4,NA,5.9,11.8,27.9,NA,3.9,1
"WR","Tavon Austin (0000000)","Tavon Austin",0,4200,"LA@NO 00:00PM ET","LA","Tavon","Austin","NO",9.88,11.6,2,0.213872832369942,1,5.5,10.6,21.4,2.8,15.5,5.6,22.7,NA,2.8,4.9,3.9
"WR","Marvin Jones (0000000)","Marvin Jones",0,4100,"Min@Det 00:00PM ET","Det","Marvin","Jones","Min",10.32,9.1,2,0.208219178082192,1,12.5,22.8,41.5,12.4,13.7,9.3,13.4,6.3,1.5,NA,2.5
"WR","Quincy Enunwa (0000000)","Quincy Enunwa",0,4100,"NE@NYJ 00:00PM ET","NYJ","Quincy","Enunwa","NE",11.35,9.2,2,0.200573065902579,1,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5,1.7,NA
"WR","Dontrelle Inman (0000000)","Dontrelle Inman",0,4100,"SD@Hou 00:00PM ET","SD","Dontrelle","Inman","Hou",9.72,7.4,2,0.171581769436997,1,1.6,1.7,6.2,28,1.3,2.1,8.8,11.2,11.6,9.3,NA
"WR","Kendall Wright (0000000)","Kendall Wright",0,4000,"Ten@Chi 00:00PM ET","Ten","Kendall","Wright","Chi",9.17,7.3,5,0.0953678474114441,1,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4,8.8,9.2
"WR","Marqise Lee (0000000)","Marqise Lee",0,4000,"Jax@Buf 00:00PM ET","Jax","Marqise","Lee","Buf",11.35,9.2,3,0.152224824355972,1,4.2,12.5,9.4,6.8,NA,12.1,20.7,2.1,13.5,9.6,15.8
"WR","John Brown (0000000)","John Brown",0,4000,"Ari@Atl 00:00PM ET","Ari","John","Brown","Atl",10.95,11.4,3,0.139479905437352,1,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6,NA
"WR","Adam Thielen (0000000)","Adam Thielen",0,4000,"Min@Det 00:00PM ET","Min","Adam","Thielen","Det",15.48,14.5,3,0.142857142857143,1,9.4,8.1,5.9,4.1,28.7,NA,7.2,7,10.8,12.2,17.5
"WR","Pierre Garcon (0000000)","Pierre Garcon",0,3900,"Was@Dal 00:00PM ET","Was","Pierre","Garcon","Dal",11.15,12.3,1,0.188916876574307,1,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,NA,14.1,26.6
"WR","Allen Hurns (0000000)","Allen Hurns",0,3900,"Jax@Buf 00:00PM ET","Jax","Allen","Hurns","Buf",10.54,10.8,2,0.166276346604215,1,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3,1.9
"WR","Eddie Royal (0000000)","Eddie Royal",0,3800,"Ten@Chi 00:00PM ET","Chi","Eddie","Royal","Ten",10.23,10.4,4,0.123249299719888,1,15.7,15.2,5.1,27.1,11.3,9.4,NA,NA,NA,3.4,3.3
"WR","Adam Humphries (0000000)","Adam Humphries",0,3700,"Sea@TB 00:00PM ET","TB","Adam","Humphries","Sea",8.23,9.3,2,0.169620253164557,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6,9.8,8.7
"WR","Danny Amendola (0000000)","Danny Amendola",0,3700,"NE@NYJ 00:00PM ET","NE","Danny","Amendola","NYJ",6.35,6.6,6,0.0726744186046512,1,7.8,20,4.3,NA,3.1,5,NA,11.9,NA,2.4,8.2
"WR","Brian Quick (0000000)","Brian Quick",0,3600,"LA@NO 00:00PM ET","LA","Brian","Quick","NO",9.31,7.3,4,0.135838150289017,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8,3.6,5.1
"WR","Cordarrelle Patterson (0000000)","Cordarrelle Patterson",0,3600,"Min@Det 00:00PM ET","Min","Cordarrelle","Patterson","Det",12.06,9.2,4,0.128851540616246,1,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6,10.5,4.7,15.3
"WR","Marquise Goodwin (0000000)","Marquise Goodwin",0,3600,"Jax@Buf 00:00PM ET","Buf","Marquise","Goodwin","Jax",10.34,10.1,3,0.135761589403974,1,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA,8.3,NA,3.5
"WR","Kenny Stills (0000000)","Kenny Stills",0,3600,"SF@Mia 00:00PM ET","Mia","Kenny","Stills","SF",8.95,7.2,3,0.149501661129568,1,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1,12.7,7.3
"WR","Jeremy Kerley (0000000)","Jeremy Kerley",0,3500,"SF@Mia 00:00PM ET","SF","Jeremy","Kerley","Mia",8.38,9.3,1,0.245161290322581,1,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2,19.1,NA
"WR","Sammie Coates (0000000)","Sammie Coates",0,3500,"Pit@Ind 00:00PM ET","Pit","Sammie","Coates","Ind",5.38,4.1,5,0.0970873786407767,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA,NA
"WR","Russell Shepard (0000000)","Russell Shepard",0,3500,"Sea@TB 00:00PM ET","TB","Russell","Shepard","Sea",6.1,4.1,6,0.0481012658227848,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA,NA,8.4
"WR","Quinton Patton (0000000)","Quinton Patton",0,3300,"SF@Mia 00:00PM ET","SF","Quinton","Patton","Mia",8.93,9,2,0.17741935483871,1,11,5.5,1.8,2.3,3.6,9.2,4.3,NA,19.6,8.2,3.7
"WR","Anquan Boldin (0000000)","Anquan Boldin",0,3300,"Min@Det 00:00PM ET","Det","Anquan","Boldin","Min",9.58,10.9,3,0.167123287671233,1,6.5,14.8,12.2,9.1,8.8,20,11.8,1.4,9,NA,9.7
"WR","Andrew Hawkins (0000000)","Andrew Hawkins",0,3000,"NYG@Cle 00:00PM ET","Cle","Andrew","Hawkins","NYG",5.94,5.8,4,0.1075,1,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3,NA,3
"WR","Malcolm Mitchell (0000000)","Malcolm Mitchell",0,3000,"NE@NYJ 00:00PM ET","NE","Malcolm","Mitchell","NYJ",4.92,1.3,7,0.0552325581395349,1,5.3,2.5,3.7,NA,2.7,NA,NA,NA,NA,2.3,19.8
