"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","ValueWR","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16"
"WR","Eli Rogers (8009482)","Eli Rogers",8009482,4000,"Cle@Pit 01:00PM ET","Pit","Eli","Rogers","Cle",12.46,11.6,3,0.107017543859649,11.3879758125793,11.7612623728345,1,17.9,1.9,5.2,NA,NA,7.5,NA,NA,19.3,14.2,6,5.6,2.8,5,18.5,13
"WR","Kenny Stills (8009434)","Kenny Stills",8009434,3900,"NE@Mia 01:00PM ET","Mia","Kenny","Stills","NE",10.85,8.3,3,0.164383561643836,8.91473748361264,9.2237979332275,1,2.6,11.9,12.6,14.4,NA,3.2,24,NA,2.1,12.7,7.3,16.2,4.1,21.7,12.2,12.5
"WR","Chris Hogan (8009435)","Chris Hogan",8009435,3900,"NE@Mia 01:00PM ET","NE","Chris","Hogan","Mia",10.19,11.6,4,0.106227106227106,10.4886791753063,10.8127237928874,1,15,9.9,1.3,NA,18.6,4.9,3.5,19.1,NA,NA,NA,11,12.3,27.6,2.8,3.2
"WR","Quincy Enunwa (8009456)","Quincy Enunwa",8009456,3800,"Buf@NYJ 01:00PM ET","NYJ","Quincy","Enunwa","Buf",11.11,9.1,2,0.188824662813102,9.46268879203289,9.78449261123432,1,18.4,15.2,7.7,12,9.1,7.2,15.3,19.3,3.5,1.7,NA,24.9,2,5.9,11.4,5.2
"WR","Adam Humphries (8009404)","Adam Humphries",8009404,3700,"Car@TB 01:00PM ET","TB","Adam","Humphries","Car",9.26,10.8,3,0.141544117647059,9.6752967008187,9.9720639833544,1,7.1,12.7,22,1.4,4.1,NA,4.3,8.8,15.6,9.8,8.7,3.1,3.9,NA,12.9,2.2
"WR","Corey Coleman (8009484)","Corey Coleman",8009484,3700,"Cle@Pit 01:00PM ET","Cle","Corey","Coleman","Pit",8.96,10.6,4,0.122873345935728,9.44520988263031,9.73369358861588,1,8.9,30.4,NA,NA,NA,NA,NA,NA,7.1,4.7,7.9,12.8,NA,5.7,5.4,3.5
"WR","Allen Hurns (8009423)","Allen Hurns",8009423,3600,"Jax@Ind 01:00PM ET","Jax","Allen","Hurns","Ind",0,0,3,0.128712871287129,0,0,1,11.5,11.4,8,12.7,NA,12.4,8.5,22.8,NA,3.3,1.9,8.2,NA,NA,NA,NA
"WR","Deonte Thompson (8009443)","Deonte Thompson",8009443,3600,"Chi@Min 01:00PM ET","Chi","Deonte","Thompson","Min",6.34,9.7,6,0.0692167577413479,7.90668848301306,8.13034663760853,1,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,2,15.4,2.9,4.8,22,12.4
"WR","Robert Woods (8009458)","Robert Woods",8009458,3600,"Buf@NYJ 01:00PM ET","Buf","Robert","Woods","NYJ",8.49,6.4,2,0.171492204899777,6.92303401137964,7.1640298017905,1,6,2,11.1,15.9,4.6,16,NA,9,29.2,NA,7.1,NA,NA,3.9,1.5,7.3
"WR","Brian Quick (8009491)","Brian Quick",8009491,3600,"Ari@LA 04:25PM ET","LA","Brian","Quick","Ari",7.31,6.5,4,0.140900195694716,6.51117674753415,6.72746332015994,1,5.3,1.8,13.3,20.9,8.1,11.1,13.2,NA,8.8,3.6,5.1,1.3,9.8,2,7.6,NA
"WR","John Brown (8009492)","John Brown",8009492,3600,"Ari@LA 04:25PM ET","Ari","John","Brown","LA",6.45,9.8,3,0.129798903107861,8.00588525532712,8.23281749876727,1,1.8,2.4,13,27.4,2.1,10.4,NA,14.9,NA,6,NA,2.9,NA,NA,19.1,2.2
"WR","Terrance Williams (8009467)","Terrance Williams",8009467,3500,"Dal@Phi 01:00PM ET","Dal","Terrance","Williams","Phi",8.43,7.2,4,0.126338329764454,7.34421222555877,7.59100979011315,1,6.4,NA,11.8,14.4,12,11.5,NA,4.5,3.9,1.5,2.1,8,3.3,18.6,6,10.1
"WR","Russell Shepard (8009398)","Russell Shepard",8009398,3400,"Car@TB 01:00PM ET","TB","Russell","Shepard","Car",5.89,4.7,4,0.0625,4.94748776080313,5.11698852624998,1,0.9,3.6,1.6,NA,NA,NA,18.7,10.4,NA,NA,8.4,4.3,2.5,2.7,2.9,9.1
"WR","Cordarrelle Patterson (8009449)","Cordarrelle Patterson",8009449,3400,"Chi@Min 01:00PM ET","Min","Cordarrelle","Patterson","Chi",8.22,6.5,4,0.125886524822695,6.87168773428236,7.10771446894929,1,2.4,-0.2,1.8,9,14.6,NA,19.7,6.6,10.5,4.7,15.3,8.7,3.6,4.8,9.9,3.3
"WR","Danny Amendola (8009431)","Danny Amendola",8009431,3300,"NE@Mia 01:00PM ET","NE","Danny","Amendola","Mia",0,0,7,0.0549450549450549,0,0,1,7.8,20,4.3,NA,3.1,5,NA,11.9,NA,2.4,8.2,1.8,6,NA,NA,NA
"WR","Marquise Goodwin (8009455)","Marquise Goodwin",8009455,3200,"Buf@NYJ 01:00PM ET","Buf","Marquise","Goodwin","NYJ",6.29,5,3,0.140311804008909,5.27280969211054,5.4536511980946,1,NA,22.2,1.6,2.2,9.3,4.2,19.3,NA,8.3,NA,3.5,3.3,7.5,NA,7.3,2.6
"WR","Jeremy Kerley (8009525)","Jeremy Kerley",8009525,3200,"Sea@SF 04:25PM ET","SF","Jeremy","Kerley","Sea",9.48,9.9,1,0.228813559322034,9.26188651259148,9.55543490329403,1,NA,5.9,4.4,20.8,27.2,3.2,3.5,NA,5.2,19.1,NA,4.4,2.8,10,7.8,11.2
"WR","Kendall Wright (8009388)","Kendall Wright",8009388,3000,"Hou@Ten 01:00PM ET","Ten","Kendall","Wright","Hou",0,6.6,5,0.0860655737704918,3.67082239713201,3.72942481426706,1,NA,NA,NA,3.4,1.9,30.3,3.2,19.9,8.4,8.8,9.2,NA,NA,NA,3.9,4.1
"WR","Andrew Hawkins (8009476)","Andrew Hawkins",8009476,3000,"Cle@Pit 01:00PM ET","Cle","Andrew","Hawkins","Pit",6.78,4.8,5,0.0982986767485822,5.35569395032994,5.54538894351387,1,-0.1,5.8,3.5,5.8,15.6,7.8,3.9,20.1,3.3,NA,3,NA,NA,1.4,4.3,3.1
"WR","Sammie Coates (8009481)","Sammie Coates",8009481,3000,"Cle@Pit 01:00PM ET","Pit","Sammie","Coates","Cle",3.05,5.2,5,0.0842105263157895,4.10046915525644,4.21280283820202,1,7.6,12.3,8,13.8,34.9,NA,1.4,NA,NA,NA,NA,NA,NA,NA,2.9,NA
"WR","Albert Wilson (8009515)","Albert Wilson",8009515,3000,"KC@SD 04:25PM ET","KC","Albert","Wilson","SD",5.54,2.9,5,0.0963391136801541,3.80769630794089,3.95362222597145,1,3.1,3.1,NA,10.2,NA,3.6,1.4,NA,12.7,6.5,11.9,2.6,20.3,NA,NA,1.3
