Position,Name + ID,Name,ID,Salary,GameInfo,TeamAbbrev 
RB,Alfred Blue (9385126),Alfred Blue,9385126,4200,JAX@HOU 01:00PM ET,HOU
WR,Rishard Matthews (9385265),Rishard Matthews,9385265,4200,OAK@TEN 01:00PM ET,TEN
RB,Samaje Perine (9386203),Samaje Perine,9386203,4200,PHI@WAS 01:00PM ET,WAS
WR,Ted Ginn Jr. (9384693),Ted Ginn Jr.,9384693,4200,NO@MIN 07:10PM ET,NO
RB,Latavius Murray (9384997),Latavius Murray,9384997,4200,NO@MIN 07:10PM ET,MIN
RB,Jamaal Charles (9384751),Jamaal Charles,9384751,4200,LAC@DEN 10:20PM ET,DEN
QB,Drew Stanton (9384655),Drew Stanton,9384655,4100,ARI@DET 01:00PM ET,ARI
WR,Marvin Jones Jr. (9384948),Marvin Jones Jr.,9384948,4100,ARI@DET 01:00PM ET,DET
RB,D'Onta Foreman (9386247),D'Onta Foreman,9386247,4100,JAX@HOU 01:00PM ET,HOU
RB,Kenyan Drake (9385821),Kenyan Drake,9385821,4100,Postponed,MIA
RB,DeAndre Washington (9385460),DeAndre Washington,9385460,4100,OAK@TEN 01:00PM ET,OAK
TE,Martellus Bennett (9384755),Martellus Bennett,9384755,4100,SEA@GB 04:25PM ET,GB
RB,C.J. Prosise (9385884),C.J. Prosise,9385884,4100,SEA@GB 04:25PM ET,SEA
RB,Tim Hightower (9384697),Tim Hightower,9384697,4100,CAR@SF 04:25PM ET,SF
WR,Sterling Shepard (9385728),Sterling Shepard,9385728,4100,NYG@DAL 08:30PM ET,NYG
QB,Joe Webb (9384740),Joe Webb,9384740,4000,NYJ@BUF 01:00PM ET,BUF
QB,Bryce Petty (9385056),Bryce Petty,9385056,4000,NYJ@BUF 01:00PM ET,NYJ
QB,Keith Wenning (9385142),Keith Wenning,9385142,4000,NYJ@BUF 01:00PM ET,BUF
QB,Nathan Peterman (9385619),Nathan Peterman,9385619,4000,NYJ@BUF 01:00PM ET,BUF
QB,Matt Simms (9384892),Matt Simms,9384892,4000,ATL@CHI 01:00PM ET,ATL
QB,Connor Shaw (9385153),Connor Shaw,9385153,4000,ATL@CHI 01:00PM ET,CHI
WR,Taylor Gabriel (9386161),Taylor Gabriel,9386161,4000,ATL@CHI 01:00PM ET,ATL
QB,Alek Torgersen (9386185),Alek Torgersen,9386185,4000,ATL@CHI 01:00PM ET,ATL
QB,Thad Lewis (9384798),Thad Lewis,9384798,4000,BAL@CIN 01:00PM ET,BAL
QB,Jeff Driskel (9385361),Jeff Driskel,9385361,4000,BAL@CIN 01:00PM ET,CIN
QB,Dustin Vaughan (9386198),Dustin Vaughan,9386198,4000,BAL@CIN 01:00PM ET,BAL
QB,Robert Griffin III (9384914),Robert Griffin III,9384914,4000,PIT@CLE 01:00PM ET,CLE
WR,Josh Gordon (9385054),Josh Gordon,9385054,4000,PIT@CLE 01:00PM ET,CLE
RB,Fitzgerald Toussaint (9385095),Fitzgerald Toussaint,9385095,4000,PIT@CLE 01:00PM ET,PIT
WR,Justin Hunter (9385147),Justin Hunter,9385147,4000,PIT@CLE 01:00PM ET,PIT
QB,Kevin Hogan (9385394),Kevin Hogan,9385394,4000,PIT@CLE 01:00PM ET,CLE
QB,Josh Woodrum (9385589),Josh Woodrum,9385589,4000,PIT@CLE 01:00PM ET,CLE
QB,Bart Houston (9385658),Bart Houston,9385658,4000,PIT@CLE 01:00PM ET,PIT
QB,Joshua Dobbs (9386018),Joshua Dobbs,9386018,4000,PIT@CLE 01:00PM ET,PIT
QB,Jake Rudock (9385586),Jake Rudock,9385586,4000,ARI@DET 01:00PM ET,DET
QB,Trevor Knight (9385727),Trevor Knight,9385727,4000,ARI@DET 01:00PM ET,ARI
QB,Brandon Weeden (9384842),Brandon Weeden,9384842,4000,JAX@HOU 01:00PM ET,HOU
QB,Ryan Griffin (9384996),Ryan Griffin,9384996,4000,Postponed,TB
QB,David Fales (9385116),David Fales,9385116,4000,Postponed,MIA
QB,Brandon Doughty (9385292),Brandon Doughty,9385292,4000,Postponed,MIA
QB,Sefo Liufau (9386093),Sefo Liufau,9386093,4000,Postponed,TB
QB,EJ Manuel (9384958),EJ Manuel,9384958,4000,OAK@TEN 01:00PM ET,OAK
QB,Alex Tanney (9385607),Alex Tanney,9385607,4000,OAK@TEN 01:00PM ET,TEN
QB,Tyler Ferguson (9385964),Tyler Ferguson,9385964,4000,OAK@TEN 01:00PM ET,TEN
WR,Corey Davis (9385971),Corey Davis,9385971,4000,OAK@TEN 01:00PM ET,TEN
QB,Matt McGloin (9385009),Matt McGloin,9385009,4000,PHI@WAS 01:00PM ET,PHI
