"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","FreqInd","Projection_reg_split","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"RB","DeAngelo Williams (7769912)","DeAngelo Williams",7769912,5900,"Pit@Cle 01:00PM ET","Pit","DeAngelo","Williams","Cle",0,0,6,0.0616621983914209,0,0,38.1,23.2,8.4,7.9,NA,1,NA,NA,0.1,NA,"Williams, DeAngelo",15,23,1,6,6
"QB","Jameis Winston (7769882)","Jameis Winston",7769882,5900,"TB@KC 01:00PM ET","TB","Jameis","Winston","KC",17.58,17.1,NA,NA,0,17.2277315016989,26.5,9.6,30.5,13.1,15.4,NA,21.7,18.8,22.8,22.5,"Winston, Jameis",NA,NA,NA,NA,NA
"WR","Randall Cobb (7770141)","Randall Cobb",7770141,5900,"GB@Was 08:30PM ET","GB","Randall","Cobb","Was",14.01,13.4,3,0.178756476683938,1,13.6079042668137,12.8,9.3,4.3,NA,22.8,18.3,28.6,NA,9.4,7.1,"Cobb, Randall",47,69,4,3,3
"TE","Jordan Reed (7770239)","Jordan Reed",7770239,5900,"GB@Was 08:30PM ET","Was","Jordan","Reed","GB",18.5,14.7,2,0.175342465753425,1,16.3713996149384,13.4,12,9.6,28.3,13.3,NA,NA,24.9,NA,6.1,"Reed, Jordan",46,64,3,1,2
"RB","Jordan Howard (7769971)","Jordan Howard",7769971,5800,"Chi@NYG 01:00PM ET","Chi","Jordan","Howard","NYG",13.96,11.8,6,0.08,1,12.7312160529762,NA,5.1,13.2,19.2,28.3,12,2.2,33.2,NA,12,"Howard, Jordan",19,26,1,6,4
"QB","Kirk Cousins (7769909)","Kirk Cousins",7769909,5800,"GB@Was 08:30PM ET","Was","Kirk","Cousins","GB",18.36,20.1,NA,NA,0,19.187886900463,15,22.6,19.3,18.3,13.3,18.3,25.9,28.2,NA,18.4,"Cousins, Kirk",NA,NA,NA,NA,NA
"TE","Delanie Walker (7770173)","Delanie Walker",7770173,5700,"Ten@Ind 01:00PM ET","Ten","Delanie","Walker","Ind",14.74,12.3,2,0.194528875379939,1,13.3575621692833,7.2,20.3,NA,5.4,17.6,3.1,21.4,11.8,15.2,30.4,"Walker, Delanie",44,64,5,1,2
"QB","Andy Dalton (7769871)","Andy Dalton",7769871,5700,"Buf@Cin 01:00PM ET","Cin","Andy","Dalton","Buf",18.9,18.4,NA,NA,0,18.5298395374955,21.3,22.3,11.2,14.6,22.2,21.9,23.3,21.5,NA,12.7,"Dalton, Andy",NA,NA,NA,NA,NA
"WR","Doug Baldwin (7770129)","Doug Baldwin",7770129,5700,"Phi@Sea 04:25PM ET","Sea","Doug","Baldwin","Phi",16.25,13.6,1,0.254416961130742,1,14.7472612427273,24.2,5,33,9.4,NA,7.1,12.9,9.1,14.9,29.9,"Baldwin, Doug",52,72,5,1,1
"WR","Terrelle Pryor Sr. (7770017)","Terrelle Pryor",7770017,5600,"Pit@Cle 01:00PM ET","Cle","Terrelle","Pryor","Pit",14.75,16.2,1,0.262857142857143,1,15.442914704529,9.8,6.2,34.9,15,10.3,28.8,3.8,21.1,15.7,9.8,"Pryor, Terrelle",53,92,4,1,1
