"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Marqise Lee",0,3300,20.3,0.03,-0.19,0.05,0,0,0.2,0,0,6.7,6.3,5.1,0.8,8.9,13.2,11,10,5.2,16.7,8,2.1,12,10,20.7,12.1,0,31,39,0,0.159836065573771,1,3,7,0
"Cordarrelle Patterson",1,3300,22,-0.01,0,0.33,0.7,0.7,0,0,3.8,6.3,3.5,3.6,0.5,7.5,14.4,7.9,6,-0.1,15.9,8.3,6.6,19,32,19.7,0,14.6,18,22,2,0.107843137254902,4,4,2,0
"Corey Brown",0,3300,24,-0.19,-0.1,-0.05,0,0,0,0,0,5,4.7,2.3,0.7,6.3,7.8,6.6,4,1.4,11.8,4,1.3,2,8,0,4.3,3.3,17,28,1,0.11864406779661,4,3,4,0
"Tajae Sharpe",0,3200,23.3,-0.12,0.02,0.01,0.3,0.1,0,0.1,1,4.3,6.4,4.4,0.4,5.5,4.6,6.7,7,1.9,11.5,8.4,2.1,17,25,9.9,0.1,3.7,23,51,0,0.216101694915254,3,1,8,0
"Dontrelle Inman",0,3200,19.8,-0.26,0.09,-0.48,0,0,0,0,0,3.3,4.4,3.7,0.3,7.6,4.1,7.1,6,-2.5,16.7,5.9,11.2,3,1,8.8,2.1,1.3,17,33,1,0.132,5,3,6,0
"Jermaine Kearse",2,3100,25.5,0.14,0.09,0,0,0,0,0,0,4,4.5,4.7,0.5,7,6.6,6.1,8,3.2,9.1,9.7,9.7,30,19,8.1,6.5,0,20,30,0,0.140845070422535,3,3,5,0
"Justin Hunter",3,3100,21.3,0.03,-0.14,0.01,0,0,0,0,0,2.3,2.3,4.8,0.7,8.4,7.3,7.3,9,4.5,10.1,9.1,1.7,8,10,0,0,0,4,8,2,0.0408163265306122,8,7,2,0
"Nelson Agholor",0,3100,19.5,0.05,-0.15,-0.08,0.3,0.2,0,0,5,5.7,5.3,4.8,1.2,6,4.9,7.3,9,2.8,11.7,7.5,5.5,10,14,3,6.4,5.2,18,33,1,0.1875,2,2,2,0
"Andre Johnson",0,3100,23.3,-0.12,0.02,0.01,0,0,0,0,0,3.7,3.8,3,0.3,3.7,5.2,4.9,5,0.9,8.9,4.1,0,17,25,0,0,9.3,11,29,3,0.122881355932203,6,5,1,0
"Bryan Walters",0,3000,20.3,0.03,-0.19,0.05,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,9.4,12,10,0,0,0,0,1,0,0.00409836065573771,13,12,7,0
"Arrelious Benn",0,3000,20.3,0.03,-0.19,0.05,0,0,0,0,0,1.7,1.4,0.3,0,14.3,6,4,1,-0.9,8.9,0,0,12,10,4.9,12.1,0,4,7,1,0.0286885245901639,9,8,3,0
"Ryan Grant",0,3000,23,-0.05,0.1,-0.13,0,0,0,0,0,1.3,1.2,1.6,0.2,1.7,0.5,0.6,3,-0.2,1.4,2.5,2.7,19,7,1.5,0,0,3,8,0,0.0291970802919708,8,8,8,0
"James Wright",0,3000,26,0,0.12,0.02,0,0.4,0,0.2,-3,1.3,1.2,0.3,0,4.7,1,1.2,1,0.4,2.1,0,0,15,14,0,1.1,0,4,6,0,0.0239043824701195,8,8,4,0
"Tyler Boyd",0,3000,26,0,0.12,0.02,0,0,0.2,0,0,4.3,4.4,4.2,0.4,7.9,6.5,6.2,8,1.7,10.7,7.2,9.1,15,14,1.3,11.9,6.3,20,31,0,0.123505976095618,4,4,4,0
"Albert Wilson",0,3000,26.8,0.12,0.1,-0.05,0,0,0,0,0,3.3,3.6,3.5,0.4,5.2,5.1,4.3,6,0.9,7.7,6.3,0,25,5,1.4,3.6,0,12,18,0,0.0849056603773585,6,5,5,0
"Tyreek Hill",0,3000,26.8,0.12,0.1,-0.05,1,0.8,0,0,3.4,3.3,2.8,1.9,0.5,7.4,10.1,7.7,3,3.1,12.3,3.6,21.5,25,5,13.1,4,0,14,17,3,0.080188679245283,5,6,1,1
"Cecil Shorts",0,3000,24.5,0.19,0.2,0.24,0,0,0,0,0,2,2,1.8,0,6,2.2,2.2,3,2.2,2.2,3.6,0,26,27,0,0,0,1,2,0,0.00854700854700855,10,11,6,0
"Andre Holmes",0,3000,23.5,-0.04,0.05,-0.17,0,0,0,0,0,2,1.8,2,0.7,3.9,4.6,3.9,3,0.2,7.5,3.3,1,20,16,1.5,9.1,3.3,7,11,2,0.0404411764705882,8,8,2,0
"Adam Humphries",8,3000,24.5,0.19,0.2,0.24,0.3,0.3,0,0,6.5,3,5.7,5.6,0.2,6.9,3.3,8.6,9,1,16.2,12.2,8.8,26,27,4.3,0,4.1,24,35,0,0.14957264957265,2,2,6,0
"Seth Roberts",2,3000,23.5,-0.04,0.05,-0.17,0,0,0,0,0,6,5.3,4.6,1.1,4.8,6.1,7.8,8,5.2,10.4,8.2,15.9,20,16,8.2,5.9,4.2,19,37,2,0.136029411764706,3,3,2,0
"Brandon Coleman",0,3000,24.5,-0.05,-0.22,-0.19,0,0,0,0,0,2,3.6,0.7,0.8,7,4.4,6.3,1,1,11.6,1.2,6.4,5,9,8,1.6,0,13,17,1,0.0631970260223048,7,7,6,0
"Paul Richardson",0,3000,25.5,0.14,0.09,0,0,0,0,0,0,1,2.2,0.9,0,7.5,1.9,2.9,1,0.4,5.3,2.6,5.3,30,19,2,0,0,6,12,0,0.0563380281690141,6,6,5,0
"Andre Roberts",0,3000,22.8,-0.24,0.26,-0.17,0,0,0,0,0,1.7,1.1,1,0.1,6.1,4.1,3.1,2,-0.8,7,1.6,0,6,4,3,9.3,0,5,8,1,0.0321285140562249,6,6,6,0
"Braxton Miller",0,3000,23.8,0.09,0.04,0.16,0,0.2,0.2,0.2,-2,1.7,2.2,2.2,1.2,3.1,1.8,1.6,4,0.4,2.9,3.6,4.8,28,23,0,3.3,2.2,5,10,0,0.037593984962406,7,7,5,0
"Jaelen Strong",0,3000,23.8,0.09,0.04,0.16,0,0,0,0,0,4.3,4,4.1,0.2,5.5,5.5,4.5,7,1.1,7.9,7.2,0,28,23,3,4.6,8.9,14,24,0,0.0902255639097744,6,6,5,0
"Andrew Hawkins",0,3000,21.5,0.14,-0.31,0.23,0,0.3,0.3,0,0,5,4,3.4,0.4,6.9,9.1,6,7,1.2,10.9,6.8,20.1,22,28,3.9,7.8,15.6,17,28,1,0.112,4,4,3,1
"Robby Anderson",0,3000,24,0.14,0.3,0.14,0.3,0.2,0,0,30,3.7,3.8,3,0,6.4,6.2,5.4,5,2.3,8.6,7.3,6.1,32,30,10.1,6.4,2,12,19,0,0.076,5,6,6,0
"Ricardo Louis",2,3000,21.5,0.14,-0.31,0.23,0,0,0,0,0,5.7,4.3,4.5,0.3,5.8,5.4,4.9,8,0.7,9,8.8,5.2,22,28,1.5,11.5,3.3,14,25,0,0.1,5,5,5,0
"Aldrick Robinson",0,3000,27,0,-0.33,-0.1,0,0,0,0,0,1.3,2.2,1.2,0.2,7.6,0.6,3.8,2,-1.3,8.9,2.6,0,11,21,0,1.8,0,8,14,1,0.0569105691056911,7,6,5,0
"Justin Hardy",0,3000,27,0,-0.33,-0.1,0,0,0,0,0,1.7,2,1.8,0.5,5.8,2.9,4.7,3,0.5,8.8,3.5,2.3,11,21,2.6,6,0,9,12,2,0.0487804878048781,6,7,3,0
"Taylor Gabriel",0,3000,27,0,-0.33,-0.1,0,0,0,0,0,2.7,2.5,1.8,0,10.7,4.9,4.7,3,2,7.3,3.4,15.8,11,21,0,0,0,8,11,0,0.0447154471544715,7,8,10,0
"Jeff Janis",0,3000,24,0.18,-0.14,0.05,0,0,0,0,0,2.3,2.3,5.1,0.3,3.3,2.1,2.1,8,0.3,3.9,8.6,13,31,17,2.9,3.4,0,4,7,0,0.0277777777777778,8,8,5,0
"Brandon Tate",0,3000,21.3,0.03,-0.14,0.01,0,0.1,0,0,4,1,0.4,1.6,0,10.3,1.7,0.8,3,-1.1,2.7,3.1,5.1,8,10,0,0,0,2,2,0,0.0102040816326531,11,12,7,0
"Jordan Norwood",0,3000,23.3,0.12,-0.16,0.06,0,0.1,0,0,0,4,3,1.5,0.3,5.7,5,3.6,3,0.4,6.8,2.9,1.9,24,14,1.8,8.9,4.4,14,22,0,0.092436974789916,4,4,5,0
"Bennie Fowler",0,3000,23.3,0.12,-0.16,0.06,0,0,0,0,0,3.3,2.8,0.9,0.2,3.9,5.4,3.7,2,-0.7,8.1,1.9,0,24,14,1.7,11.2,3.3,7,14,1,0.0588235294117647,7,5,4,0
"Brenton Bersin",0,3000,24,-0.19,-0.1,-0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0.00423728813559322,12,10,8,0
"J.J. Nelson",6,3000,21.5,0.14,-0.17,-0.06,1,0.6,0.3,0.2,9,3.3,2.6,3.8,0,10.4,5.9,4.6,7,0.1,9.2,7.9,27.9,27,24,11.8,5.9,0,8,15,0,0.0524475524475524,7,6,4,1
"Dorial Green-Beckham",0,3000,19.5,0.05,-0.15,-0.08,0,0,0,0,0,4,3.7,3.9,0.5,6.3,6.5,5.5,7,3.2,7.8,5.8,10.5,10,14,8.8,3.3,7.3,14,25,1,0.142045454545455,4,3,2,0
"Charles Johnson",0,3000,22,-0.01,0,0.33,0,0,0,0,0,2,2.7,0.9,0,5.8,3.4,2.5,2,-0.9,6,1.7,0,19,32,0,0,1.2,6,16,0,0.0784313725490196,7,5,5,0
"Deonte Thompson",0,3000,17.5,-0.15,-0.24,-0.35,0,0,0,0,0,0.7,0.3,0.4,0,2,0.5,0.2,1,-0.3,0.8,0,0,1,2,1.4,0,0,1,2,0,0.00754716981132075,11,11,5,0
"Josh Bellamy",0,3000,17.5,-0.15,-0.24,-0.35,0.3,0.3,0,0,7,1.7,1.3,1.5,0,9.2,2.8,2.1,3,-0.2,4.4,2.1,1.4,1,2,5.2,0.7,2.4,3,5,0,0.0188679245283019,8,8,5,0
"Laquon Treadwell",0,3000,22,-0.01,0,0.33,0,0,0,0,0,0,0,0.6,0,0,0,0,1,0,0,1,0,19,32,0,0,0,0,0,0,0,13,14,5,0
