"Player.Name","Likes","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Mohamed Sanu",6,4400,27.5,0.05,0.14,0.18,0.3,0.1,0,0.1,5,5.7,6.1,6.2,0.9,7.4,10.3,10.5,10,3.2,17.9,12.7,4.6,16,31,15,0,3.4,49,71,3,0.184415584415584,2,2,3,0
"Chris Hogan",3,4400,28.8,-0.07,0.05,0.07,0,0.1,0,0,2,4,3.5,5.3,0.2,13.2,10,8.3,8,0.9,15.8,9.6,12.3,10,18,11,0,0,23,40,2,0.10126582278481,5,5,6,0
"Brandon LaFell",1,4300,21.5,-0.04,-0.03,0.04,0,0.1,0,0,-2,6.7,5.8,6.3,1,7.1,5.3,9.6,11,2.2,17,10.1,20.5,7,23,6.8,7.2,1.9,36,68,4,0.162679425837321,4,2,1,1
"Pierre Garcon",5,4200,23,-0.19,-0.07,-0.04,0,0,0,0,0,7,6.9,7,1,8.4,16.3,11.9,11,5.6,18.1,12.9,14.8,1,8,8.3,26.6,14.1,53,80,2,0.176991150442478,3,2,4,0
"Ty Montgomery",0,4200,25.8,-0.16,0.01,-0.17,2.7,2.9,3.1,0.6,5.1,2.7,3.6,2.1,0.8,7,4.9,6.9,9,-1.6,15.3,6.3,7.6,6,3,3.4,7.4,4,32,38,1,0.0808510638297872,4,5,5,0
"Michael Floyd",1,4200,25.5,0.03,0.1,-0.01,0,0,0,0,0,5.3,5.9,5.3,1.1,6.9,9.1,9,8,4,14,10.2,10.8,20,13,5.1,4.1,18.1,30,63,3,0.134328358208955,4,3,2,0
"Anquan Boldin",12,4100,23.3,0.09,-0.07,0.02,0,0,0,0,0,7.3,6,6.4,1.1,5.9,12.9,11.2,11,5.7,16.7,13.1,8,26,15,19.9,9.7,0,51,70,7,0.174129353233831,2,3,1,0
"Cameron Meredith",4,4100,22,0,0.61,0.11,0,0.1,0,0.1,6,5,6,6.9,0.8,8.3,8.3,10.7,11,0.4,21.1,14.3,9.7,32,32,3.9,8.9,12,36,60,2,0.145631067961165,3,3,2,0
"Taylor Gabriel",9,4000,27.5,0.05,0.14,0.18,1,0.4,0,0.1,17,5,3.5,3.6,0.1,13.5,19.8,11.7,6,3.3,20.2,6.8,9.4,16,31,0,0,0,21,29,4,0.0753246753246753,5,5,2,0
"Marqise Lee",0,4000,17.8,-0.19,0.13,-0.34,1,0.4,0.2,0,6.3,6.7,6.3,7.6,0.6,8.4,13.1,11,13,5.6,16.3,11.7,7.4,3,1,13.9,15.8,9.6,48,71,2,0.15673289183223,2,3,4,0
"Marquess Wilson",17,4000,22,0,0.61,0.11,0,0,0,0,0,7.5,7.5,6.9,1,10.7,17,17,11,-0.7,34.7,12.1,0,32,32,29.5,0,0,9,15,1,0.0364077669902913,9,9,4,0
"Ted Ginn",2,4000,17.8,-0.03,-0.06,-0.07,1,0.8,0,0.1,7,7.3,5.5,4.2,0.2,8,16.7,9.5,7,2.7,16.3,8,19.6,5,8,25.8,14.9,9.5,37,62,3,0.155,3,3,2,1
"Kenny Stills",1,3900,19,-0.08,-0.3,0.02,0,0,0,0,0,6,4.6,4.2,0.3,9.4,12.1,9.7,8,2.4,17.1,7.3,4.1,4,26,16.2,7.3,12.7,28,51,5,0.153614457831325,3,3,1,0
"Cordarrelle Patterson",0,3900,20.3,0.1,-0.24,0.08,0.3,0.5,0,0,7.4,5.7,4.5,3.4,0.5,6.6,9.6,8.5,6,2.2,14.7,6.1,3.6,15,17,8.7,15.3,4.7,39,51,2,0.132124352331606,4,4,3,0
"Eli Rogers",2,3900,28.3,0.07,-0.16,-0.03,0,0,0,0,0,4.3,5.4,5.7,0.8,7.8,8.6,9.7,9,3.2,16.2,9.5,2.8,8,12,5.6,6,14.2,29,43,2,0.0988505747126437,4,4,4,0
"J.J. Nelson",0,3900,25.5,0.03,0.1,-0.01,0,0.3,0.8,0.1,9,5,4.4,4.7,0.3,6.8,3.3,6.8,9,-1.9,15.4,9.7,11.2,20,13,5,1,3.9,21,42,2,0.0895522388059701,6,5,4,0
"John Brown",0,3800,25.5,0.03,0.1,-0.01,0.3,0.1,0.8,0,10,3.3,5.9,4.3,0.4,6.8,3,8.1,8,-0.4,16.6,9.4,0,20,13,2.9,0,6,32,62,1,0.132196162046908,3,4,6,0
"Tyler Lockett",2,3700,25.8,0.12,-0.25,0.07,0.3,0.3,0,0,8,5,3.9,4.7,0.5,7.6,5.7,5.3,8,1.2,9.3,9.9,24.8,25,26,0.9,5.9,10.2,26,48,0,0.137142857142857,4,4,5,1
"Malcolm Mitchell",12,3600,28.8,-0.07,0.05,0.07,0,0,0,0,0,4.7,3.4,4.6,0.4,8.7,14.4,7.2,7,-1.2,15.5,8.4,16.2,10,18,21.2,19.8,2.3,16,27,3,0.0683544303797468,7,6,4,0
"Adam Humphries",3,3600,22.8,0.09,-0.16,-0.01,1,0.5,0,0,3.6,5.3,5.5,5.6,0.5,7.3,7.2,8.9,9,2.8,14.9,11.1,3.9,21,14,3.1,8.7,9.8,45,68,1,0.160377358490566,2,2,4,0
"Torrey Smith",1,3500,22,-0.03,-0.03,0.12,0,0,0,0,0,4.7,4.6,4,0.5,5.8,6.6,6.5,7,0.7,12.2,8.2,0,18,29,11.4,0,4.6,21,48,3,0.134078212290503,4,3,2,0
"Danny Amendola",0,3400,28.8,-0.07,0.05,0.07,0,0,0.3,0,0,1.7,2.3,2.1,0.6,8.6,4.1,5.9,4,-0.1,11.8,4.1,6,10,18,1.8,8.2,2.4,20,26,4,0.0658227848101266,6,7,1,0
"Marquise Goodwin",2,3400,22.8,0.08,0.1,0.08,0,0,0,0,0,4,4.9,5.9,0.6,7.5,5,8.2,10,0.6,15.8,11.7,7.5,27,25,3.3,3.5,0,21,45,3,0.14018691588785,4,3,2,0
"Russell Shepard",0,3400,22.8,0.09,-0.16,-0.01,0,0.1,0,0,9,3.3,2.5,3.8,0.5,10,7.7,6,6,-0.3,12.3,4.9,2.5,21,14,4.3,8.4,0,15,22,2,0.0518867924528302,5,6,3,0
"Jeremy Kerley",2,3300,22,-0.03,-0.03,0.12,0,0,0,0,0,5.7,7.3,6.2,0.5,5.6,7.8,9.7,10,0.8,18.6,10.6,2.8,18,29,4.4,0,19.1,42,80,3,0.223463687150838,1,1,2,0
"Victor Cruz",0,3300,21.3,0.07,-0.11,-0.1,0,0,0,0,0,2.7,4.9,4.8,0.5,9.4,5.4,7.8,8,3.8,11.9,8.5,0,12,4,4.7,5.8,0,27,50,1,0.117924528301887,4,3,4,0
"Devin Funchess",0,3300,17.8,-0.03,-0.06,-0.07,0,0,0,0,0,4.3,4.1,3.7,0.6,7,7.9,6.7,6,2,11.3,5.7,6.4,5,8,3.9,5.2,14.6,18,46,3,0.115,6,4,2,0
"Terrance Williams",0,3200,23.3,-0.13,-0.06,-0.23,0,0,0,0,0,1.7,3.9,4,0.3,9.8,3.9,7.6,6,3,12.2,7.6,3.3,2,2,8,2.1,1.5,27,42,2,0.12,4,4,4,0
"Albert Wilson",2,3200,22.5,0.13,-0.07,0.05,0,0.1,0,0.1,-5,5.7,4.8,5.8,0.7,4.3,7,6.1,9,1.8,10.5,10.2,20.3,30,21,2.6,11.9,6.5,25,43,2,0.105911330049261,5,5,3,1
"Brian Quick",0,3200,15.8,0.02,-0.07,-0.06,0,0,0,0,0,4,4.5,5.2,0.3,8.9,3.3,8.4,9,2.5,14.3,7.4,9.8,9,9,1.3,5.1,3.6,30,50,3,0.132978723404255,5,4,2,0
"Deonte Thompson",0,3200,22,0,0.61,0.11,0,0,0,0,0,3.3,1.3,2.7,0.4,4.5,5.8,1.9,4,-2.9,6.7,6.8,2.9,32,32,15.4,2,0,7,14,1,0.0339805825242718,10,10,4,0
"Quinton Patton",1,3200,22,-0.03,-0.03,0.12,0,0,0,0,0,5,5,6.2,0.4,6.8,4.7,6.5,10,1.2,11.8,10.3,0,18,29,2.2,3.7,8.2,32,56,0,0.156424581005587,2,2,8,0
"Sammie Coates",0,3200,28.3,0.07,-0.16,-0.03,0,0.2,0,0,2.5,3,4.5,2.1,0.4,9.4,0,7.8,3,-3.1,18.7,3.9,0,8,12,0,0,0,20,43,2,0.0988505747126437,5,4,4,0
"Phillip Dorsett",2,3200,23.8,0.05,-0.2,0.08,0,0.1,0.2,0,3,4.3,4.4,3.7,0.7,9,5.6,7,7,3.3,10.7,7,0.7,18,25,6.1,6,0,24,43,1,0.102870813397129,5,3,6,0
"Chris Conley",4,3100,22.5,0.13,-0.07,0.05,0,0,0,0,0,5,4.8,7.5,1,7.2,4.9,6.5,12,3.6,9.4,11.3,0,30,21,5.6,6.8,2.2,34,57,0,0.140394088669951,3,2,6,0
"Breshad Perriman",0,3100,22.5,-0.06,0.24,-0.02,0,0.1,0.3,0,2,3.7,4.5,3.7,0.3,6.5,10,6.3,6,2.5,10,6.1,13.9,15,16,8.4,0,15.4,21,45,3,0.1,6,4,2,0
"Leonte Carroo",1,3100,19,-0.08,-0.3,0.02,0,0,0,0,0,1,1.3,0.6,0.5,5.8,2.8,3,1,-1,7,1,0,4,26,8.5,0,0,3,4,1,0.0120481927710843,12,12,6,0
"Brice Butler",0,3000,23.3,-0.13,-0.06,-0.23,0,0,0,0,0,1.7,2.7,1.1,0.5,6.4,2.9,4.2,2,-0.6,9.1,1.9,0,2,2,0,6.9,0,14,27,3,0.0771428571428571,6,6,3,0
"Laquon Treadwell",0,3000,20.3,0.1,-0.24,0.08,0,0,0,0,0,0.5,0.5,0.3,0,15,1.3,1.3,1,-0.5,3,0,0,15,17,0,0,0,1,1,0,0.00259067357512953,11,12,5,0
"Justin Hardy",0,3000,27.5,0.05,0.14,0.18,0,0,0,0,0,2.3,2.1,2.6,0.4,7.6,4.2,4.8,4,1,8.5,4.6,1.5,16,31,7.7,0,0,13,17,2,0.0441558441558442,8,8,5,0
"Andre Roberts",0,3000,23.3,0.09,-0.07,0.02,0,0,0,0,0,2,1.3,4,0.1,9.9,6,3.6,7,-0.3,7.5,6,7.5,26,15,3.9,10.4,0,9,14,1,0.0348258706467662,6,6,6,0
"Brandon Coleman",0,3000,29.8,0,-0.03,-0.02,0,0,0,0,0,1.3,2.6,0.7,0.7,8.7,6,6.1,1,2.3,9.9,1.3,0,19,10,7.3,7.9,2.9,20,25,3,0.0543478260869565,7,7,5,0
"Pharoh Cooper",0,3000,15.8,0.02,-0.07,-0.06,0,0,0,0,0,1,1,4.5,0,4.8,1.6,1.2,8,0.4,2.1,7.5,1.8,9,9,0,2,1.6,3,3,0,0.00797872340425532,8,9,5,0
"Jordan Norwood",0,3000,21.3,-0.17,0.1,-0.09,0,0.1,0,0,0,2.7,2.9,1.1,0.4,6.3,5.8,4,2,-0.3,8.3,2,0,13,6,-1,0,4.8,20,31,1,0.0809399477806789,3,3,6,0
"Bryan Walters",0,3000,17.8,-0.19,0.13,-0.34,0,0,0,0,0,1,0.8,3.8,0.4,3.5,2.8,1.7,6,-2.7,6,7.9,6.1,3,1,0,0,0,2,4,1,0.00883002207505519,12,12,5,0
"Arrelious Benn",0,3000,17.8,-0.19,0.13,-0.34,0,0,0,0,0,0.7,1.1,2.3,0.1,12.9,0.9,2.8,4,-1.3,6.9,3.6,0,3,1,0,0,0,5,9,1,0.0198675496688742,9,9,5,0
"Jordan Taylor",0,3000,21.3,-0.17,0.1,-0.09,0,0,0,0,0,2.3,1.9,2,0.6,8.4,6.8,4.3,3,0.4,8.2,3.2,0,13,6,7.6,0,11.2,7,15,2,0.0391644908616188,8,8,3,0
"Braxton Miller",1,3000,18.8,0.07,-0.15,0.06,0.7,0.3,0.3,0.2,0,4,2.9,3.3,1,3.8,6,3.4,6,-0.6,7.5,5.2,0,28,30,2.3,13.6,2,16,26,1,0.0646766169154229,6,6,4,0
"James Wright",1,3000,21.5,-0.04,-0.03,0.04,0,0.3,0,0.1,-3,3.7,2.1,4.1,0,4.9,3.2,2.2,7,0.4,4.1,7.4,4,7,23,5.3,4.2,0,10,17,0,0.0406698564593301,8,8,6,0
"Dorial Green-Beckham",12,3000,20.5,-0.02,0.13,-0.13,0,0,0,0,0,7.7,5.4,7.8,1.1,6.1,10.2,7.4,13,2.2,12.6,13.9,6.9,24,5,14.2,16.4,0,31,55,2,0.142118863049096,4,4,2,0
"Bryce Treggs",0,3000,20.5,-0.02,0.13,-0.13,0.3,0.3,0,0,3,3,3,2,0,8.9,3.8,3.8,3,-0.8,8.4,4.4,0,24,5,0,0,0,3,8,0,0.020671834625323,10,10,8,0
"Nelson Agholor",0,3000,20.5,-0.02,0.13,-0.13,0,0.1,0,0,5,5,5.1,4.9,1.2,5.2,4.3,6.2,8,2.2,10.1,8.2,6.7,24,5,0,2,2.7,27,53,1,0.136950904392765,5,5,4,0
"Kamar Aiken",0,3000,22.5,-0.06,0.24,-0.02,0,0,0,0,0,3.7,3.3,3,0.2,6.6,5,4.1,5,0.7,7.4,5,7.1,15,16,5,6.5,3.5,23,40,0,0.0888888888888889,5,5,6,0
"Rod Streater",0,3000,22,-0.03,-0.03,0.12,0,0,0,0,0,2.7,1.8,1.5,0,7.5,3.6,2.3,2,-0.5,5.1,3,0,18,29,0,0,0,8,15,0,0.0418994413407821,8,8,8,0
"Josh Bellamy",0,3000,22,0,0.61,0.11,0,0.1,0,0,7,4,2.4,3.7,0.3,6.5,4.4,2.9,6,-0.1,5.8,6,14.5,32,32,8.1,5.2,0,10,19,0,0.0461165048543689,8,8,9,0
"Chris Harper",0,3000,22,-0.03,-0.03,0.12,0,0,0,0,0,2.3,2.3,0,0,9.6,3.6,3.6,0,0.5,6.7,0,1.6,18,29,0,0,0,4,8,0,0.0223463687150838,10,10,8,0
"Brandon Tate",0,3000,22.8,0.08,0.1,0.08,0.3,0.2,0,0,9,2.3,1,0.4,0,10.4,4.6,1.9,1,-0.8,4.6,0,2.3,27,25,0,0,0,7,9,0,0.0280373831775701,9,10,7,0
"Justin Hunter",3,3000,22.8,0.08,0.1,0.08,0,0,0,0,0,2.3,2.3,3.2,0.7,6.2,5.9,6.6,6,3.6,9.6,6,3.2,27,25,0,0,0,7,16,4,0.0498442367601246,9,6,1,0
"Andre Holmes",0,3000,25.8,-0.06,0.07,-0.06,0,0,0,0,0,1.7,1.8,2.5,0.7,4.4,1.9,3.2,4,-0.1,6.5,4.3,0,11,11,0,0,0,10,16,2,0.036036036036036,8,8,5,0
"Seth Roberts",1,3000,25.8,-0.06,0.07,-0.06,0,0,0,0,0,3.3,4.9,3.8,1.2,5.8,7.3,8.4,6,4.1,12.7,6.7,5.8,11,11,14.1,1.6,0,30,58,4,0.130630630630631,3,3,2,0
"Cobi Hamilton",0,3000,28.3,0.07,-0.16,-0.03,0,0,0,0,0,2.3,2.7,3,0.3,7.9,3.2,4.6,5,0.5,8.8,5.1,3.1,8,12,1.5,3.1,4.9,9,19,1,0.0436781609195402,8,7,6,0
"Roger Lewis",0,3000,21.3,0.07,-0.11,-0.1,0,0,0,0,0,3.3,2.7,0.7,0.2,5.6,1.9,4.5,1,0.4,8.6,1.2,1.8,12,4,2.8,1.8,1.2,6,16,2,0.0377358490566038,11,9,3,0
"Ryan Grant",0,3000,23,-0.19,-0.07,-0.04,0,0,0,0,0,1.7,1.4,1.5,0.2,2.4,0.5,0.8,2,-0.2,1.8,2.3,4,1,8,0,1.4,0,5,15,0,0.0331858407079646,9,7,8,0
"Cecil Shorts",0,3000,22.8,0.09,-0.16,-0.01,0,0,0,0,0,5,4.2,2.6,0.3,5.5,6.2,4,4,-0.1,8,0,2.4,21,14,0,0,0,10,26,0,0.0613207547169811,8,5,9,0
"Jermaine Kearse",2,3000,25.8,0.12,-0.25,0.07,0,0,0,0,0,6,5.1,5,0.7,6.3,4.1,5.9,9,3.2,8.5,10,11.8,25,26,2.8,4.9,4.6,32,59,0,0.168571428571429,3,3,5,0
"Corey Brown",0,3000,17.8,-0.03,-0.06,-0.07,0,0,0,0,0,2,3.9,2.1,0.6,5,1.1,4.4,4,-0.4,9.3,4,-0.3,5,8,0,0,1.3,20,39,1,0.0975,5,5,5,0
"Charone Peake",0,3000,24.8,0.11,0.09,0.05,0,0,0,0,0,1.7,3.2,1.3,0,5.7,2.3,5,2,0.5,9.5,2.2,0,29,21,0,0,2.9,14,19,0,0.0498687664041995,6,8,7,0
"Robby Anderson",2,3000,24.8,0.11,0.09,0.05,0,0.1,0,0,30,4.7,4.3,4.6,0.3,7.8,7.7,6.3,8,3.4,9.2,8.6,16.1,29,21,4.4,0,9.9,26,40,1,0.10498687664042,5,4,5,0
