"","FirstName","LastName","salary","team","pos","opp","ceil","floor","fpts"
"50","Zach","Ertz",4300,"PHI","TE","CLE",NA,NA,14.12
"51","Carson","Wentz",5000,"PHI","QB","CLE",NA,NA,16.35
"52","Chase","Daniel",5000,"PHI","QB","CLE",22.0176,8.5624,15.29
"53","Aaron","Rodgers",8500,"GBP","QB","JAC",NA,NA,23.19
"54","Eddie","Lacy",6700,"GBP","RB","JAC",NA,NA,13.98
"55","James","Starks",4800,"GBP","RB","JAC",NA,NA,7.85
"56","Jordy","Nelson",7700,"GBP","WR","JAC",NA,NA,18.78
"57","Randall","Cobb",7600,"GBP","WR","JAC",NA,NA,17.1
"58","Davante","Adams",4300,"GBP","WR","JAC",NA,NA,7.32
"59","Jared","Abbrederis",3300,"GBP","WR","JAC",NA,NA,5.58
"60","Richard","Rodgers",3100,"GBP","TE","JAC",NA,NA,6.89
"61","Jared","Cook",2900,"GBP","TE","JAC",NA,NA,9.65
"62","Blake","Bortles",7200,"JAC","QB","GBP",NA,NA,19.02
"63","Chris","Ivory",4300,"JAC","RB","GBP",NA,NA,9.43
"64","T.J.","Yeldon",4100,"JAC","RB","GBP",NA,NA,9.8
"65","Allen","Robinson",8300,"JAC","WR","GBP",NA,NA,18.72
"66","Allen","Hurns",5800,"JAC","WR","GBP",NA,NA,13.08
"67","Marqise","Lee",3100,"JAC","WR","GBP",NA,NA,4.97
"68","Rashad","Greene",3500,"JAC","WR","GBP",NA,NA,4.19
"69","Julius","Thomas",3800,"JAC","TE","GBP",NA,NA,10.5
"70","Marcedes","Lewis",2700,"JAC","TE","GBP",NA,NA,2.39
"71","Philip","Rivers",7000,"SDC","QB","KCC",NA,NA,16.84
"72","Melvin","Gordon",4600,"SDC","RB","KCC",NA,NA,10.54
"73","Danny","Woodhead",5000,"SDC","RB","KCC",NA,NA,12.14
"74","Keenan","Allen",8000,"SDC","WR","KCC",NA,NA,17.39
"75","Travis","Benjamin",4100,"SDC","WR","KCC",NA,NA,10.28
"76","Dontrelle","Inman",3400,"SDC","WR","KCC",NA,NA,5.81
"77","Tyrell","Williams",3000,"SDC","WR","KCC",NA,NA,6.53
"78","Antonio","Gates",4200,"SDC","TE","KCC",NA,NA,11.85
"79","Alex","Smith",6500,"KCC","QB","SDC",NA,NA,17.44
"80","Jamaal","Charles",7100,"KCC","RB","SDC",NA,NA,11.42
"81","Charcandrick","West",3500,"KCC","RB","SDC",NA,NA,4.68
"82","Jeremy","Maclin",6500,"KCC","WR","SDC",NA,NA,17.26
"83","Albert","Wilson",3600,"KCC","WR","SDC",NA,NA,7.29
"84","Chris","Conley",3700,"KCC","WR","SDC",NA,NA,6.21
"85","Travis","Kelce",5000,"KCC","TE","SDC",NA,NA,13.35
"86","Nick","Williams",3000,"KCC","WR","SDC",NA,NA,2.12
"87","Spencer","Ware",4400,"KCC","RB","SDC",NA,NA,12.39
"88","Jay","Cutler",6300,"CHI","QB","HOU",NA,NA,15.94
"89","Jeremy","Langford",4700,"CHI","RB","HOU",NA,NA,11.37
"90","Ka'Deem","Carey",3500,"CHI","RB","HOU",NA,NA,4.37
"91","Alshon","Jeffery",7900,"CHI","WR","HOU",NA,NA,17.28
"92","Kevin","White",5200,"CHI","WR","HOU",NA,NA,10.67
"93","Eddie","Royal",3200,"CHI","WR","HOU",NA,NA,6.9
"94","Zach","Miller",3700,"CHI","TE","HOU",NA,NA,10.2
"95","Brock","Osweiler",6300,"HOU","QB","CHI",NA,NA,16.36
"96","Lamar","Miller",7000,"HOU","RB","CHI",NA,NA,18.88
"97","Alfred","Blue",3600,"HOU","RB","CHI",NA,NA,4.43
"98","DeAndre","Hopkins",8800,"HOU","WR","CHI",NA,NA,22.49
"99","Jaelen","Strong",3800,"HOU","WR","CHI",NA,NA,3.91
"100","Cecil","Shorts",3300,"HOU","WR","CHI",NA,NA,8.06
"101","Will","Fuller",3700,"HOU","WR","CHI",NA,NA,10.52
"102","C.J.","Fiedorowicz",2500,"HOU","TE","CHI",NA,NA,3.32
"103","Ryan","Griffin",2600,"HOU","TE","CHI",NA,NA,6.88
"104","Josh","Bellamy",3000,"CHI","WR","HOU",NA,NA,2.9
"105","Jordan","Howard",3700,"CHI","RB","HOU",9.22,0,4.61
"106","Latavius","Murray",5600,"OAK","RB","NOS",NA,NA,14.77
"107","Taiwan","Jones",3000,"OAK","RB","NOS",NA,NA,1.97
"108","Amari","Cooper",7200,"OAK","WR","NOS",NA,NA,19.09
"109","Michael","Crabtree",5500,"OAK","WR","NOS",NA,NA,16.12
"110","Seth","Roberts",3800,"OAK","WR","NOS",NA,NA,7.56
"111","Andre","Holmes",3200,"OAK","WR","NOS",NA,NA,4.48
"112","Clive","Walford",3000,"OAK","TE","NOS",NA,NA,8.36
"113","Drew","Brees",8100,"NOS","QB","OAK",NA,NA,24.75
"114","Mark","Ingram",6600,"NOS","RB","OAK",NA,NA,17.07
"115","Tim","Hightower",4300,"NOS","RB","OAK",NA,NA,4.26
"116","Brandin","Cooks",7700,"NOS","WR","OAK",NA,NA,16.81
"117","Brandon","Coleman",3000,"NOS","WR","OAK",NA,NA,4.45
"118","Willie","Snead",4800,"NOS","WR","OAK",NA,NA,12.5
"119","Michael","Thomas",4000,"NOS","WR","OAK",NA,NA,7.31
"120","Coby","Fleener",4900,"NOS","TE","OAK",NA,NA,14.87
"121","Derek","Carr",7300,"OAK","QB","NOS",NA,NA,19.84
"122","Mychal","Rivera",2600,"OAK","TE","NOS",NA,NA,3.72
"123","C.J.","Spiller",3600,"NOS","RB","OAK",NA,NA,3.99
"124","DeAndre","Washington",3700,"OAK","RB","NOS",7.1712,1.4688,4.32
"125","Jameis","Winston",6600,"TBB","QB","ATL",NA,NA,21.58
"126","Doug","Martin",6200,"TBB","RB","ATL",NA,NA,17.35
"127","Charles","Sims",4400,"TBB","RB","ATL",NA,NA,10.45
"128","Vincent","Jackson",4400,"TBB","WR","ATL",NA,NA,12.38
"129","Mike","Evans",7400,"TBB","WR","ATL",NA,NA,18.54
"130","Adam","Humphries",3000,"TBB","WR","ATL",NA,NA,6.64
"131","Kenny","Bell",3400,"TBB","WR","ATL",NA,NA,4.07
"132","Cameron","Brate",2900,"TBB","TE","ATL",NA,NA,6.74
"133","Austin","Seferian-Jenkins",2800,"TBB","TE","ATL",NA,NA,10.19
"134","Matt","Ryan",7100,"ATL","QB","TBB",NA,NA,17.7
"135","Devonta","Freeman",6900,"ATL","RB","TBB",NA,NA,17.3
"136","Tevin","Coleman",4200,"ATL","RB","TBB",NA,NA,5.11
"137","Julio","Jones",9400,"ATL","WR","TBB",NA,NA,27.57
"138","Mohamed","Sanu",5100,"ATL","WR","TBB",NA,NA,11.65
"139","Justin","Hardy",3100,"ATL","WR","TBB",NA,NA,6.01
"140","Jacob","Tamme",2800,"ATL","TE","TBB",NA,NA,8.68
"141","Levine","Toilolo",2500,"ATL","TE","TBB",NA,NA,2.04
"142","Tyrod","Taylor",6900,"BUF","QB","BAL",NA,NA,18.86
"143","LeSean","McCoy",6400,"BUF","RB","BAL",NA,NA,17.67
"144","Sammy","Watkins",6900,"BUF","WR","BAL",NA,NA,17.09
"145","Robert","Woods",4600,"BUF","WR","BAL",NA,NA,10.44
"146","Greg","Salas",3000,"BUF","WR","BAL",NA,NA,3.06
"147","Charles","Clay",3400,"BUF","TE","BAL",NA,NA,10.46
"148","Joe","Flacco",6700,"BAL","QB","BUF",NA,NA,15.65
"149","Javorius","Allen",3600,"BAL","RB","BUF",NA,NA,9.67
"150","Steve","Smith",4900,"BAL","WR","BUF",NA,NA,11.05
"151","Kamar","Aiken",4700,"BAL","WR","BUF",NA,NA,11.88
"152","Mike","Wallace",4200,"BAL","WR","BUF",NA,NA,11.63
"153","Breshad","Perriman",3700,"BAL","WR","BUF",NA,NA,4.92
"154","Mike","Gillislee",3800,"BUF","RB","BAL",NA,NA,4.73
"155","Leonard","Hankerson",3300,"BUF","WR","BAL",NA,NA,5.64
"156","Dezmin","Lewis",3000,"BUF","WR","BAL",NA,NA,4.74
"157","Crockett","Gillmore",2600,"BAL","TE","BUF",20.06,0,10.03
"158","Terrance","West",4100,"BAL","RB","BUF",NA,NA,8.43
"159","Maxx","Williams",2600,"BAL","TE","BUF",9.8766,1.2834,5.58
"160","Andy","Dalton",6800,"CIN","QB","NYJ",NA,NA,17.67
"161","Jeremy","Hill",4600,"CIN","RB","NYJ",NA,NA,9.63
"162","Giovani","Bernard",4800,"CIN","RB","NYJ",NA,NA,10
"163","A.J.","Green",8400,"CIN","WR","NYJ",NA,NA,19.1
"164","Brandon","LaFell",3900,"CIN","WR","NYJ",NA,NA,8.57
"165","Tyler","Boyd",3600,"CIN","WR","NYJ",NA,NA,9.35
"166","Brandon","Tate",3000,"CIN","WR","NYJ",NA,NA,3.55
"167","Tyler","Kroft",2700,"CIN","TE","NYJ",NA,NA,7.68
"168","Ryan","Fitzpatrick",6500,"NYJ","QB","CIN",NA,NA,17.35
"169","Matt","Forte",6100,"NYJ","RB","CIN",NA,NA,14.54
"170","Bilal","Powell",4300,"NYJ","RB","CIN",NA,NA,10.02
"171","Brandon","Marshall",7800,"NYJ","WR","CIN",NA,NA,18.93
"172","Eric","Decker",6600,"NYJ","WR","CIN",NA,NA,15.37
"173","Quincy","Enunwa",3800,"NYJ","WR","CIN",NA,NA,4.82
"174","Kenbrell","Thompkins",3000,"NYJ","WR","CIN",NA,NA,3.71
"175","Kellen","Davis",2500,"NYJ","TE","CIN",NA,NA,2.6
"176","Jace","Amaro",2700,"NYJ","TE","CIN",NA,NA,5.44
"177","Ryan","Tannehill",5900,"MIA","QB","SEA",NA,NA,14.99
"178","Jay","Ajayi",4200,"MIA","RB","SEA",NA,NA,6.14
"179","Arian","Foster",5800,"MIA","RB","SEA",NA,NA,10.86
"180","Jarvis","Landry",6000,"MIA","WR","SEA",NA,NA,16.02
"181","DeVante","Parker",5300,"MIA","WR","SEA",NA,NA,9.97
"182","Kenny","Stills",3200,"MIA","WR","SEA",NA,NA,9.03
"183","Leonte","Carroo",3200,"MIA","WR","SEA",NA,NA,6.19
"184","Jordan","Cameron",3000,"MIA","TE","SEA",NA,NA,8.32
"185","Dion","Sims",2500,"MIA","TE","SEA",NA,NA,1.81
"186","Thomas","Rawls",6000,"SEA","RB","MIA",NA,NA,11.65
"187","Christine","Michael",3700,"SEA","RB","MIA",NA,NA,6.7
"188","Doug","Baldwin",6600,"SEA","WR","MIA",NA,NA,16.12
"189","Jermaine","Kearse",3500,"SEA","WR","MIA",NA,NA,7.84
"190","Tyler","Lockett",5000,"SEA","WR","MIA",NA,NA,12.75
"191","Paul","Richardson",3000,"SEA","WR","MIA",NA,NA,2.96
"192","Jimmy","Graham",3800,"SEA","TE","MIA",NA,NA,11.92
"193","Luke","Willson",2700,"SEA","TE","MIA",NA,NA,4.92
"194","Russell","Wilson",7900,"SEA","QB","MIA",NA,NA,21.57
"195","C.J.","Prosise",3900,"SEA","RB","MIA",9.4,0,4.7
"196","Eli","Manning",7500,"NYG","QB","DAL",NA,NA,18.71
"197","Rashad","Jennings",5400,"NYG","RB","DAL",NA,NA,12.12
"198","Shane","Vereen",3800,"NYG","RB","DAL",NA,NA,9.89
"199","Odell","Beckham",9300,"NYG","WR","DAL",NA,NA,22.51
"200","Sterling","Shepard",4900,"NYG","WR","DAL",NA,NA,12.47
"201","Victor","Cruz",4000,"NYG","WR","DAL",NA,NA,7.73
"202","Dwayne","Harris",3600,"NYG","WR","DAL",NA,NA,2.65
"203","Larry","Donnell",2900,"NYG","TE","DAL",NA,NA,5.71
"204","Will","Tye",3300,"NYG","TE","DAL",NA,NA,8.35
"205","Ezekiel","Elliott",7300,"DAL","RB","NYG",NA,NA,17.07
"206","Alfred","Morris",3800,"DAL","RB","NYG",NA,NA,3.01
"207","Dez","Bryant",8500,"DAL","WR","NYG",NA,NA,17.95
"208","Terrance","Williams",3300,"DAL","WR","NYG",NA,NA,9.18
"209","Cole","Beasley",3200,"DAL","WR","NYG",NA,NA,7.31
"210","Brice","Butler",3000,"DAL","WR","NYG",NA,NA,2.14
"211","Jason","Witten",4100,"DAL","TE","NYG",NA,NA,12.15
"212","Gavin","Escobar",2600,"DAL","TE","NYG",NA,NA,2.1
"213","Dak","Prescott",5000,"DAL","QB","NYG",NA,NA,18.73
"214","Matthew","Stafford",7200,"DET","QB","IND",NA,NA,18.45
"215","Ameer","Abdullah",4900,"DET","RB","IND",NA,NA,11.8
"216","Theo","Riddick",4000,"DET","RB","IND",NA,NA,11.1
"217","Golden","Tate",7300,"DET","WR","IND",NA,NA,16.74
"218","Marvin","Jones",4600,"DET","WR","IND",NA,NA,13.25
"219","Anquan","Boldin",4500,"DET","WR","IND",NA,NA,8.29
"220","TJ","Jones",3000,"DET","WR","IND",NA,NA,3.29
"221","Eric","Ebron",3900,"DET","TE","IND",NA,NA,9.86
"222","Brandon","Pettigrew",2500,"DET","TE","IND",NA,NA,1.76
"223","Andrew","Luck",8300,"IND","QB","DET",NA,NA,21.57
"224","Frank","Gore",5500,"IND","RB","DET",NA,NA,10.92
"225","Robert","Turbin",3000,"IND","RB","DET",NA,NA,3.09
"226","T.Y.","Hilton",7500,"IND","WR","DET",NA,NA,15.98
"227","Donte","Moncrief",6000,"IND","WR","DET",NA,NA,15.28
"228","Phillip","Dorsett",4500,"IND","WR","DET",NA,NA,10.9
"229","Dwayne","Allen",3200,"IND","TE","DET",NA,NA,9.96
"230","Jack","Doyle",2500,"IND","TE","DET",NA,NA,2.34
"231","Zach","Zenner",3000,"DET","RB","IND",8.24,0,4.12
"232","LeGarrette","Blount",3700,"NEP","RB","ARI",NA,NA,8.95
"233","Julian","Edelman",6100,"NEP","WR","ARI",NA,NA,16.04
"234","Danny","Amendola",4200,"NEP","WR","ARI",NA,NA,6.12
"235","Chris","Hogan",3600,"NEP","WR","ARI",NA,NA,7.88
"236","Keshawn","Martin",3000,"NEP","WR","ARI",NA,NA,3.55
"237","Rob","Gronkowski",7400,"NEP","TE","ARI",NA,NA,16.44
"238","Martellus","Bennett",3400,"NEP","TE","ARI",NA,NA,10.26
"239","Carson","Palmer",7100,"ARI","QB","NEP",NA,NA,19.51
"240","David","Johnson",7500,"ARI","RB","NEP",NA,NA,18.71
"241","Chris","Johnson",3700,"ARI","RB","NEP",NA,NA,3.52
"242","Larry","Fitzgerald",6300,"ARI","WR","NEP",NA,NA,15.96
"243","Michael","Floyd",5900,"ARI","WR","NEP",NA,NA,13.76
"244","John","Brown",5200,"ARI","WR","NEP",NA,NA,13.3
"245","Jaron","Brown",3400,"ARI","WR","NEP",NA,NA,2.93
"246","Darren","Fells",2700,"ARI","TE","NEP",NA,NA,5.11
"247","Jermaine","Gresham",2500,"ARI","TE","NEP",NA,NA,2.59
"248","James","White",3600,"NEP","RB","ARI",NA,NA,12.22
"249","Aaron","Dobson",3000,"NEP","WR","ARI",NA,NA,5.27
"250","Jimmy","Garoppolo",6200,"NEP","QB","ARI",NA,NA,17.63
"251","Andre","Ellington",4100,"ARI","RB","NEP",9.1848,1.1352,5.16
"252","Ben","Roethlisberger",7800,"PIT","QB","WAS",NA,NA,22.83
"253","DeAngelo","Williams",7000,"PIT","RB","WAS",NA,NA,19.66
"254","Antonio","Brown",9800,"PIT","WR","WAS",NA,NA,30.3
"255","Markus","Wheaton",5400,"PIT","WR","WAS",NA,NA,10.15
"256","Sammie","Coates",3700,"PIT","WR","WAS",NA,NA,8.04
"257","Darrius","Heyward-Bey",3600,"PIT","WR","WAS",NA,NA,3.11
"258","Kirk","Cousins",7400,"WAS","QB","PIT",NA,NA,18.56
"259","Matt","Jones",4700,"WAS","RB","PIT",NA,NA,10.56
"260","Chris","Thompson",4000,"WAS","RB","PIT",NA,NA,6.53
"261","DeSean","Jackson",6100,"WAS","WR","PIT",NA,NA,12.99
"262","Pierre","Garcon",4400,"WAS","WR","PIT",NA,NA,11.6
"263","Jamison","Crowder",3800,"WAS","WR","PIT",NA,NA,7.73
"264","Josh","Doctson",3000,"WAS","WR","PIT",NA,NA,8.63
"265","Jordan","Reed",6600,"WAS","TE","PIT",NA,NA,16.97
"266","Vernon","Davis",2600,"WAS","TE","PIT",NA,NA,2.11
"267","Fitzgerald","Toussaint",3500,"PIT","RB","WAS",NA,NA,3.42
"268","Jesse","James",3400,"PIT","TE","WAS",NA,NA,9.87
"269","Eli","Rogers",4200,"PIT","WR","WAS",22.48,0,11.24
"270","Todd","Gurley",7800,"LAR","RB","SFO",NA,NA,19.29
"271","Kenny","Britt",3900,"LAR","WR","SFO",NA,NA,8.1
"272","Tavon","Austin",5000,"LAR","WR","SFO",NA,NA,12.32
"273","Brian","Quick",3500,"LAR","WR","SFO",NA,NA,2.41
"274","Lance","Kendricks",3200,"LAR","TE","SFO",NA,NA,8.29
"275","Blaine","Gabbert",5200,"SFO","QB","LAR",NA,NA,14.63
"276","Carlos","Hyde",5600,"SFO","RB","LAR",NA,NA,12.5
"277","Torrey","Smith",4900,"SFO","WR","LAR",NA,NA,12.14
"278","Quinton","Patton",4000,"SFO","WR","LAR",NA,NA,9.97
"279","Vance","McDonald",3100,"SFO","TE","LAR",NA,NA,7.2
"280","Jared","Goff",5000,"LAR","QB","SFO",NA,NA,12.78
"281","Benny","Cunningham",3700,"LAR","RB","SFO",NA,NA,4.98
"282","Shaun","Draughn",3700,"SFO","RB","LAR",NA,NA,5.25
"283","Jeremy","Kerley",3000,"SFO","WR","LAR",13.06,0,6.53
"284","Case","Keenum",5400,"LAR","QB","SFO",21.2868,4.9932,13.14
"285","Pharoh","Cooper",3600,"LAR","WR","SFO",7.3033,0.0367,3.67
