"","Position","Name","Salary","GameInfo","Projection","Team","FirstName","LastName","Opponent"
"28","QB","Blake Bortles",7200,"GB@Jax 01:00PM ET",22.32,"Jax","Blake","Bortles","GB"
"29","WR","Amari Cooper",7200,"Oak@NO 01:00PM ET",14.294,"Oak","Amari","Cooper","NO"
"30","QB","Carson Palmer",7100,"NE@Ari 08:30PM ET",21.311,"Ari","Carson","Palmer","NE"
"31","QB","Matt Ryan",7100,"TB@Atl 01:00PM ET",16.871,"Atl","Matt","Ryan","TB"
"32","RB","Jamaal Charles",7100,"SD@KC 01:00PM ET",21.22,"KC","Jamaal","Charles","SD"
"33","QB","Philip Rivers",7000,"SD@KC 01:00PM ET",20.218,"SD","Philip","Rivers","KC"
"34","RB","Lamar Miller",7000,"Chi@Hou 01:00PM ET",15.119,"Hou","Lamar","Miller","Chi"
"35","QB","Tyrod Taylor",6900,"Buf@Bal 01:00PM ET",19.9,"Buf","Tyrod","Taylor","Bal"
"36","RB","Devonta Freeman",6900,"TB@Atl 01:00PM ET",22.027,"Atl","Devonta","Freeman","TB"
"37","WR","Sammy Watkins",6900,"Buf@Bal 01:00PM ET",17.985,"Buf","Sammy","Watkins","Bal"
"38","QB","Tony Romo",6800,"NYG@Dal 04:25PM ET",12.915,"Dal","Tony","Romo","NYG"
"39","QB","Andy Dalton",6800,"Cin@NYJ 01:00PM ET",20.4,"Cin","Andy","Dalton","NYJ"
"40","WR","Josh Gordon",6800,"Cle@Phi 01:00PM ET",0,"Cle","Josh","Gordon","Phi"
"41","QB","Joe Flacco",6700,"Buf@Bal 01:00PM ET",19.094,"Bal","Joe","Flacco","Buf"
"42","RB","Eddie Lacy",6700,"GB@Jax 01:00PM ET",10.235,"GB","Eddie","Lacy","Jax"
"43","WR","Jordan Matthews",6700,"Cle@Phi 01:00PM ET",15.231,"Phi","Jordan","Matthews","Cle"
"44","WR","Eric Decker",6600,"Cin@NYJ 01:00PM ET",17.113,"NYJ","Eric","Decker","Cin"
"45","WR","Doug Baldwin",6600,"Mia@Sea 04:05PM ET",17.183,"Sea","Doug","Baldwin","Mia"
"46","RB","Mark Ingram",6600,"Oak@NO 01:00PM ET",17.283,"NO","Mark","Ingram","Oak"
"47","QB","Jameis Winston",6600,"TB@Atl 01:00PM ET",18.624,"TB","Jameis","Winston","Atl"
"48","QB","Ryan Fitzpatrick",6500,"Cin@NYJ 01:00PM ET",19.075,"NYJ","Ryan","Fitzpatrick","Cin"
"49","QB","Alex Smith",6500,"SD@KC 01:00PM ET",17.377,"KC","Alex","Smith","SD"
"50","WR","Jeremy Maclin",6500,"SD@KC 01:00PM ET",15.494,"KC","Jeremy","Maclin","SD"
"51","QB","Sam Bradford",6400,"Cle@Phi 01:00PM ET",16.207,"Phi","Sam","Bradford","Cle"
"52","RB","LeSean McCoy",6400,"Buf@Bal 01:00PM ET",15.808,"Buf","LeSean","McCoy","Bal"
"53","QB","Marcus Mariota",6400,"Min@Ten 01:00PM ET",19.668,"Ten","Marcus","Mariota","Min"
"54","QB","Jay Cutler",6300,"Chi@Hou 01:00PM ET",16.764,"Chi","Jay","Cutler","Hou"
"55","WR","Larry Fitzgerald",6300,"NE@Ari 08:30PM ET",18.506,"Ari","Larry","Fitzgerald","NE"
"56","QB","Brock Osweiler",6300,"Chi@Hou 01:00PM ET",14.087,"Hou","Brock","Osweiler","Chi"
"57","RB","Doug Martin",6200,"TB@Atl 01:00PM ET",15.581,"TB","Doug","Martin","Atl"
"58","QB","Jimmy Garoppolo",6200,"NE@Ari 08:30PM ET",-0.052,"NE","Jimmy","Garoppolo","Ari"
"59","RB","Matt Forte",6100,"Cin@NYJ 01:00PM ET",16.823,"NYJ","Matt","Forte","Cin"
"60","WR","Julian Edelman",6100,"NE@Ari 08:30PM ET",19.355,"NE","Julian","Edelman","Ari"
"61","WR","Jarvis Landry",6000,"Mia@Sea 04:05PM ET",17.773,"Mia","Jarvis","Landry","Sea"
"62","QB","Teddy Bridgewater",6000,"Min@Ten 01:00PM ET",13.193,"Min","Teddy","Bridgewater","Ten"
"63","RB","Thomas Rawls",6000,"Mia@Sea 04:05PM ET",10.815,"Sea","Thomas","Rawls","Mia"
"64","WR","Donte Moncrief",6000,"Det@Ind 04:25PM ET",11.206,"Ind","Donte","Moncrief","Det"
"65","QB","Ryan Tannehill",5900,"Mia@Sea 04:05PM ET",18.208,"Mia","Ryan","Tannehill","Sea"
"66","WR","Michael Floyd",5900,"NE@Ari 08:30PM ET",12.482,"Ari","Michael","Floyd","NE"
"67","RB","Arian Foster",5800,"Mia@Sea 04:05PM ET",19.5,"Mia","Arian","Foster","Sea"
"68","WR","Allen Hurns",5800,"GB@Jax 01:00PM ET",16.073,"Jax","Allen","Hurns","GB"
"69","RB","Ryan Mathews",5700,"Cle@Phi 01:00PM ET",10.038,"Phi","Ryan","Mathews","Cle"
"70","RB","Dion Lewis",5700,"NE@Ari 08:30PM ET",17.314,"NE","Dion","Lewis","Ari"
"71","QB","Robert Griffin III",5600,"Cle@Phi 01:00PM ET",0,"Cle","Robert","Griffin III","Phi"
"72","RB","Latavius Murray",5600,"Oak@NO 01:00PM ET",13.238,"Oak","Latavius","Murray","NO"
"73","RB","Frank Gore",5500,"Det@Ind 04:25PM ET",12.275,"Ind","Frank","Gore","Det"
"74","WR","Michael Crabtree",5500,"Oak@NO 01:00PM ET",15.013,"Oak","Michael","Crabtree","NO"
"75","RB","Rashad Jennings",5400,"NYG@Dal 04:25PM ET",10.806,"NYG","Rashad","Jennings","Dal"
"76","RB","DeMarco Murray",5300,"Min@Ten 01:00PM ET",12.627,"Ten","DeMarco","Murray","Min"
"77","WR","DeVante Parker",5300,"Mia@Sea 04:05PM ET",6.427,"Mia","DeVante","Parker","Sea"
"78","WR","John Brown",5200,"NE@Ari 08:30PM ET",13.659,"Ari","John","Brown","NE"
"79","WR","Kevin White",5200,"Chi@Hou 01:00PM ET",0,"Chi","Kevin","White","Hou"
"80","WR","Mohamed Sanu",5100,"TB@Atl 01:00PM ET",5.659,"Atl","Mohamed","Sanu","TB"
"81","RB","Duke Johnson Jr.",5100,"Cle@Phi 01:00PM ET",10.269,"Cle","Duke","Johnson Jr.","Phi"
"82","WR","Corey Coleman",5100,"Cle@Phi 01:00PM ET",0,"Cle","Corey","Coleman","Phi"
"83","QB","Josh McCown",5000,"Cle@Phi 01:00PM ET",18.895,"Cle","Josh","McCown","Phi"
"84","QB","Matt Cassel",5000,"Min@Ten 01:00PM ET",7.384,"Ten","Matt","Cassel","Min"
"85","QB","Dan Orlovsky",5000,"Det@Ind 04:25PM ET",3.68,"Det","Dan","Orlovsky","Ind"
"86","QB","Kellen Clemens",5000,"SD@KC 01:00PM ET",3.21,"SD","Kellen","Clemens","KC"
"87","QB","Shaun Hill",5000,"Min@Ten 01:00PM ET",0.033,"Min","Shaun","Hill","Ten"
"88","QB","Matt Moore",5000,"Mia@Sea 04:05PM ET",0.36,"Mia","Matt","Moore","Sea"
"89","QB","Drew Stanton",5000,"NE@Ari 08:30PM ET",0.123,"Ari","Drew","Stanton","NE"
"90","QB","Matt Schaub",5000,"TB@Atl 01:00PM ET",16.8,"Atl","Matt","Schaub","TB"
"91","QB","Luke McCown",5000,"Oak@NO 01:00PM ET",1.925,"NO","Luke","McCown","Oak"
"92","QB","Brian Hoyer",5000,"Chi@Hou 01:00PM ET",14.915,"Chi","Brian","Hoyer","Hou"
"93","QB","Chad Henne",5000,"GB@Jax 01:00PM ET",0,"Jax","Chad","Henne","GB"
"94","QB","Josh Johnson",5000,"Buf@Bal 01:00PM ET",0,"Bal","Josh","Johnson","Buf"
"95","QB","Chase Daniel",5000,"Cle@Phi 01:00PM ET",-0.08,"Phi","Chase","Daniel","Cle"
"96","QB","Scott Tolzien",5000,"Det@Ind 04:25PM ET",-0.047,"Ind","Scott","Tolzien","Det"
"97","QB","McLeod Bethel-Thompson",5000,"Cle@Phi 01:00PM ET",0,"Phi","McLeod","Bethel-Thompson","Cle"
"98","QB","Jerrod Johnson",5000,"Buf@Bal 01:00PM ET",0,"Bal","Jerrod","Johnson","Buf"
"99","RB","Danny Woodhead",5000,"SD@KC 01:00PM ET",15.194,"SD","Danny","Woodhead","KC"
"100","QB","Ryan Mallett",5000,"Buf@Bal 01:00PM ET",9.618,"Bal","Ryan","Mallett","Buf"
"101","QB","Kellen Moore",5000,"NYG@Dal 04:25PM ET",14.353,"Dal","Kellen","Moore","NYG"
"102","QB","Brandon Weeden",5000,"Chi@Hou 01:00PM ET",11.57,"Hou","Brandon","Weeden","Chi"
"103","QB","Austin Davis",5000,"Cle@Phi 01:00PM ET",8.06,"Cle","Austin","Davis","Phi"
"104","QB","Nick Foles",5000,"SD@KC 01:00PM ET",9.825,"KC","Nick","Foles","SD"
"105","QB","Matt Simms",5000,"TB@Atl 01:00PM ET",0,"Atl","Matt","Simms","TB"
"106","TE","Travis Kelce",5000,"SD@KC 01:00PM ET",12.589,"KC","Travis","Kelce","SD"
"107","QB","EJ Manuel",5000,"Buf@Bal 01:00PM ET",6.12,"Buf","EJ","Manuel","Bal"
"108","QB","Sean Renfree",5000,"TB@Atl 01:00PM ET",-0.48,"Atl","Sean","Renfree","TB"
"109","QB","Mike Glennon",5000,"TB@Atl 01:00PM ET",0,"TB","Mike","Glennon","Atl"
"110","QB","Ryan Nassib",5000,"NYG@Dal 04:25PM ET",6.72,"NYG","Ryan","Nassib","Dal"
"111","QB","Ryan Griffin",5000,"TB@Atl 01:00PM ET",0,"TB","Ryan","Griffin","Atl"
"112","QB","Zac Dysert",5000,"Mia@Sea 04:05PM ET",0,"Mia","Zac","Dysert","Sea"
"113","QB","Matt McGloin",5000,"Oak@NO 01:00PM ET",5.84,"Oak","Matt","McGloin","NO"
"114","QB","Matt Barkley",5000,"NE@Ari 08:30PM ET",0,"Ari","Matt","Barkley","NE"
"115","QB","Zach Mettenberger",5000,"SD@KC 01:00PM ET",7.314,"SD","Zach","Mettenberger","KC"
"116","QB","Aaron Murray",5000,"SD@KC 01:00PM ET",0,"KC","Aaron","Murray","SD"
"117","QB","Bryce Petty",5000,"Cin@NYJ 01:00PM ET",0,"NYJ","Bryce","Petty","Cin"
"118","QB","Logan Thomas",5000,"NYG@Dal 04:25PM ET",0,"NYG","Logan","Thomas","Dal"
"119","QB","AJ McCarron",5000,"Cin@NYJ 01:00PM ET",8.705,"Cin","AJ","McCarron","NYJ"
"120","QB","Tom Savage",5000,"Chi@Hou 01:00PM ET",0,"Hou","Tom","Savage","Chi"
"121","QB","David Fales",5000,"Chi@Hou 01:00PM ET",0,"Chi","David","Fales","Hou"
"122","QB","Geno Smith",5000,"Cin@NYJ 01:00PM ET",21,"NYJ","Geno","Smith","Cin"
"123","QB","Stephen Morris",5000,"Det@Ind 04:25PM ET",0,"Ind","Stephen","Morris","Det"
"124","QB","Jake Heaps",5000,"Mia@Sea 04:05PM ET",0,"Sea","Jake","Heaps","Mia"
"125","QB","Garrett Grayson",5000,"Oak@NO 01:00PM ET",0,"NO","Garrett","Grayson","Oak"
"126","QB","Keith Wenning",5000,"Cin@NYJ 01:00PM ET",0,"Cin","Keith","Wenning","NYJ"
"127","QB","Tyler Bray",5000,"SD@KC 01:00PM ET",0,"KC","Tyler","Bray","SD"
"128","QB","Connor Shaw",5000,"Chi@Hou 01:00PM ET",0,"Chi","Connor","Shaw","Hou"
"129","QB","Jameill Showers",5000,"NYG@Dal 04:25PM ET",0,"Dal","Jameill","Showers","NYG"
"130","QB","Brandon Doughty",5000,"Mia@Sea 04:05PM ET",0,"Mia","Brandon","Doughty","Sea"
"131","QB","Brett Hundley",5000,"GB@Jax 01:00PM ET",0,"GB","Brett","Hundley","Jax"
"132","QB","Dak Prescott",5000,"NYG@Dal 04:25PM ET",0,"Dal","Dak","Prescott","NYG"
"133","QB","Cody Kessler",5000,"Cle@Phi 01:00PM ET",0,"Cle","Cody","Kessler","Phi"
"134","QB","Max Wittek",5000,"GB@Jax 01:00PM ET",0,"Jax","Max","Wittek","GB"
"135","QB","Mike Bercovici",5000,"SD@KC 01:00PM ET",0,"SD","Mike","Bercovici","KC"
"136","QB","Marquise Williams",5000,"GB@Jax 01:00PM ET",0,"GB","Marquise","Williams","Jax"
"137","QB","Joel Stave",5000,"Min@Ten 01:00PM ET",0,"Min","Joel","Stave","Ten"
"138","QB","Kevin Hogan",5000,"SD@KC 01:00PM ET",0,"KC","Kevin","Hogan","SD"
"139","QB","Taylor Heinicke",5000,"Min@Ten 01:00PM ET",0,"Min","Taylor","Heinicke","Ten"
"140","QB","Trevone Boykin",5000,"Mia@Sea 04:05PM ET",0,"Sea","Trevone","Boykin","Mia"
"141","QB","Brandon Allen",5000,"GB@Jax 01:00PM ET",0,"Jax","Brandon","Allen","GB"
"142","WR","Tyler Lockett",5000,"Mia@Sea 04:05PM ET",10.578,"Sea","Tyler","Lockett","Mia"
"143","QB","Jake Coker",5000,"NE@Ari 08:30PM ET",0,"Ari","Jake","Coker","NE"
"144","QB","Connor Cook",5000,"Oak@NO 01:00PM ET",0,"Oak","Connor","Cook","NO"
"145","QB","Jacoby Brissett",5000,"NE@Ari 08:30PM ET",0,"NE","Jacoby","Brissett","Ari"
"146","QB","Joe Licata",5000,"Cin@NYJ 01:00PM ET",0,"Cin","Joe","Licata","NYJ"
"147","QB","Jake Rudock",5000,"Det@Ind 04:25PM ET",0,"Det","Jake","Rudock","Ind"
"148","QB","Carson Wentz",5000,"Cle@Phi 01:00PM ET",0,"Phi","Carson","Wentz","Cle"
"149","QB","Alex Tanney",5000,"Min@Ten 01:00PM ET",7.96,"Ten","Alex","Tanney","Min"
"150","QB","Joe Callahan",5000,"GB@Jax 01:00PM ET",0,"GB","Joe","Callahan","Jax"
"151","QB","Cardale Jones",5000,"Buf@Bal 01:00PM ET",0,"Buf","Cardale","Jones","Bal"
"152","QB","Christian Hackenberg",5000,"Cin@NYJ 01:00PM ET",0,"NYJ","Christian","Hackenberg","Cin"
"153","WR","Steve Smith Sr.",4900,"Buf@Bal 01:00PM ET",20,"Bal","Steve","Smith Sr.","Buf"
"154","TE","Coby Fleener",4900,"Oak@NO 01:00PM ET",7.694,"NO","Coby","Fleener","Oak"
"155","RB","Ameer Abdullah",4900,"Det@Ind 04:25PM ET",7.438,"Det","Ameer","Abdullah","Ind"
"156","WR","Sterling Shepard",4900,"NYG@Dal 04:25PM ET",0,"NYG","Sterling","Shepard","Dal"
"157","RB","James Starks",4800,"GB@Jax 01:00PM ET",10.75,"GB","James","Starks","Jax"
"158","RB","Giovani Bernard",4800,"Cin@NYJ 01:00PM ET",11.247,"Cin","Giovani","Bernard","NYJ"
"159","WR","Willie Snead",4800,"Oak@NO 01:00PM ET",12.693,"NO","Willie","Snead","Oak"
"160","WR","Stefon Diggs",4800,"Min@Ten 01:00PM ET",11.607,"Min","Stefon","Diggs","Ten"
"161","TE","Gary Barnidge",4700,"Cle@Phi 01:00PM ET",15.394,"Cle","Gary","Barnidge","Phi"
"162","WR","Kamar Aiken",4700,"Buf@Bal 01:00PM ET",12.588,"Bal","Kamar","Aiken","Buf"
"163","TE","Tyler Eifert",4700,"Cin@NYJ 01:00PM ET",14.664,"Cin","Tyler","Eifert","NYJ"
"164","RB","Jeremy Langford",4700,"Chi@Hou 01:00PM ET",9.413,"Chi","Jeremy","Langford","Hou"
"165","RB","Justin Forsett",4600,"Buf@Bal 01:00PM ET",12.84,"Bal","Justin","Forsett","Buf"
"166","WR","Marvin Jones Jr.",4600,"Det@Ind 04:25PM ET",10.653,"Det","Marvin","Jones Jr.","Ind"
"167","WR","Robert Woods",4600,"Buf@Bal 01:00PM ET",8.729,"Buf","Robert","Woods","Bal"
"168","RB","Jerick McKinnon",4600,"Min@Ten 01:00PM ET",5.253,"Min","Jerick","McKinnon","Ten"
"169","RB","Melvin Gordon",4600,"SD@KC 01:00PM ET",8.021,"SD","Melvin","Gordon","KC"
"170","RB","Jeremy Hill",4600,"Cin@NYJ 01:00PM ET",11.118,"Cin","Jeremy","Hill","NYJ"
"171","WR","Anquan Boldin",4500,"Det@Ind 04:25PM ET",12.636,"Det","Anquan","Boldin","Ind"
"172","TE","Delanie Walker",4500,"Min@Ten 01:00PM ET",16.493,"Ten","Delanie","Walker","Min"
"173","WR","Phillip Dorsett",4500,"Det@Ind 04:25PM ET",4.291,"Ind","Phillip","Dorsett","Det"
"174","WR","Dorial Green-Beckham",4500,"Min@Ten 01:00PM ET",7.431,"Ten","Dorial","Green-Beckham","Min"
"175","WR","Laquon Treadwell",4500,"Min@Ten 01:00PM ET",0,"Min","Laquon","Treadwell","Ten"
"176","WR","Vincent Jackson",4400,"TB@Atl 01:00PM ET",11.03,"TB","Vincent","Jackson","Atl"
"177","RB","Charles Sims",4400,"TB@Atl 01:00PM ET",11.375,"TB","Charles","Sims","Atl"
"178","RB","Spencer Ware",4400,"SD@KC 01:00PM ET",7.577,"KC","Spencer","Ware","SD"
"179","RB","Tim Hightower",4300,"Oak@NO 01:00PM ET",11.175,"NO","Tim","Hightower","Oak"
"180","RB","Chris Ivory",4300,"GB@Jax 01:00PM ET",14.247,"Jax","Chris","Ivory","GB"
"181","RB","Bilal Powell",4300,"Cin@NYJ 01:00PM ET",12.282,"NYJ","Bilal","Powell","Cin"
"182","TE","Zach Ertz",4300,"Cle@Phi 01:00PM ET",11.82,"Phi","Zach","Ertz","Cle"
"183","WR","Davante Adams",4300,"GB@Jax 01:00PM ET",8.65,"GB","Davante","Adams","Jax"
"184","RB","Darren Sproles",4200,"Cle@Phi 01:00PM ET",10.094,"Phi","Darren","Sproles","Cle"
"185","TE","Antonio Gates",4200,"SD@KC 01:00PM ET",13.545,"SD","Antonio","Gates","KC"
"186","WR","Danny Amendola",4200,"NE@Ari 08:30PM ET",10.503,"NE","Danny","Amendola","Ari"
"187","RB","Darren McFadden",4200,"NYG@Dal 04:25PM ET",13.356,"Dal","Darren","McFadden","NYG"
"188","WR","Mike Wallace",4200,"Buf@Bal 01:00PM ET",5.935,"Bal","Mike","Wallace","Buf"
"189","RB","Jay Ajayi",4200,"Mia@Sea 04:05PM ET",4.744,"Mia","Jay","Ajayi","Sea"
"190","RB","Isaiah Crowell",4200,"Cle@Phi 01:00PM ET",8.8,"Cle","Isaiah","Crowell","Phi"
"191","RB","Tevin Coleman",4200,"TB@Atl 01:00PM ET",4.05,"Atl","Tevin","Coleman","TB"
"192","TE","Jason Witten",4100,"NYG@Dal 04:25PM ET",10.331,"Dal","Jason","Witten","NYG"
"193","RB","Andre Ellington",4100,"NE@Ari 08:30PM ET",6.333,"Ari","Andre","Ellington","NE"
"194","WR","Travis Benjamin",4100,"SD@KC 01:00PM ET",13.05,"SD","Travis","Benjamin","KC"
"195","RB","Terrance West",4100,"Buf@Bal 01:00PM ET",3.4,"Bal","Terrance","West","Buf"
"196","RB","T.J. Yeldon",4100,"GB@Jax 01:00PM ET",13.492,"Jax","T.J.","Yeldon","GB"
"197","WR","Victor Cruz",4000,"NYG@Dal 04:25PM ET",0,"NYG","Victor","Cruz","Dal"
"198","RB","Theo Riddick",4000,"Det@Ind 04:25PM ET",11.25,"Det","Theo","Riddick","Ind"
"199","WR","Michael Thomas",4000,"Oak@NO 01:00PM ET",0,"NO","Michael","Thomas","Oak"
"200","RB","Derrick Henry",4000,"Min@Ten 01:00PM ET",0,"Ten","Derrick","Henry","Min"
"201","DST","Seahawks ",3900,"Mia@Sea 04:05PM ET",9.556,"Sea","Seahawks","","Mia"
"202","WR","Andre Johnson",3900,"Min@Ten 01:00PM ET",7.206,"Ten","Andre","Johnson","Min"
"203","WR","Brandon LaFell",3900,"Cin@NYJ 01:00PM ET",7.385,"Cin","Brandon","LaFell","NYJ"
"204","TE","Eric Ebron",3900,"Det@Ind 04:25PM ET",9.336,"Det","Eric","Ebron","Ind"
"205","RB","C.J. Prosise",3900,"Mia@Sea 04:05PM ET",0,"Sea","C.J.","Prosise","Mia"
"206","WR","Andrew Hawkins",3800,"Cle@Phi 01:00PM ET",6.95,"Cle","Andrew","Hawkins","Phi"
"207","TE","Jimmy Graham",3800,"Mia@Sea 04:05PM ET",11.227,"Sea","Jimmy","Graham","Mia"
"208","RB","Alfred Morris",3800,"NYG@Dal 04:25PM ET",6.329,"Dal","Alfred","Morris","NYG"
"209","RB","Shane Vereen",3800,"NYG@Dal 04:25PM ET",9.9,"NYG","Shane","Vereen","Dal"
"210","RB","Mike Gillislee",3800,"Buf@Bal 01:00PM ET",10.52,"Buf","Mike","Gillislee","Bal"
"211","WR","Quincy Enunwa",3800,"Cin@NYJ 01:00PM ET",4.458,"NYJ","Quincy","Enunwa","Cin"
"212","TE","Julius Thomas",3800,"GB@Jax 01:00PM ET",10.375,"Jax","Julius","Thomas","GB"
"213","WR","Seth Roberts",3800,"Oak@NO 01:00PM ET",7.188,"Oak","Seth","Roberts","NO"
"214","WR","Jaelen Strong",3800,"Chi@Hou 01:00PM ET",4.618,"Hou","Jaelen","Strong","Chi"
"215","TE","Zach Miller",3700,"Chi@Hou 01:00PM ET",7.393,"Chi","Zach","Miller","Hou"
"216","RB","Chris Johnson",3700,"NE@Ari 08:30PM ET",11.018,"Ari","Chris","Johnson","NE"
"217","RB","LeGarrette Blount",3700,"NE@Ari 08:30PM ET",10.467,"NE","LeGarrette","Blount","Ari"
"218","RB","Christine Michael",3700,"Mia@Sea 04:05PM ET",4.13,"Sea","Christine","Michael","Mia"
"219","WR","Marquess Wilson",3700,"Chi@Hou 01:00PM ET",7.582,"Chi","Marquess","Wilson","Hou"
"220","WR","Chris Conley",3700,"SD@KC 01:00PM ET",3.283,"KC","Chris","Conley","SD"
"221","RB","DeAndre Washington",3700,"Oak@NO 01:00PM ET",0,"Oak","DeAndre","Washington","NO"
"222","WR","Breshad Perriman",3700,"Buf@Bal 01:00PM ET",0,"Bal","Breshad","Perriman","Buf"
"223","WR","Will Fuller",3700,"Chi@Hou 01:00PM ET",0,"Hou","Will","Fuller","Chi"
"224","RB","Jordan Howard",3700,"Chi@Hou 01:00PM ET",0,"Chi","Jordan","Howard","Hou"
"225","WR","Jeff Janis",3700,"GB@Jax 01:00PM ET",2.578,"GB","Jeff","Janis","Jax"
"226","DST","Chiefs ",3600,"SD@KC 01:00PM ET",11.5,"KC","Chiefs","","SD"
"227","WR","Dwayne Harris",3600,"NYG@Dal 04:25PM ET",7.52,"NYG","Dwayne","Harris","Dal"
"228","RB","C.J. Spiller",3600,"Oak@NO 01:00PM ET",6.238,"NO","C.J.","Spiller","Oak"
"229","RB","Alfred Blue",3600,"Chi@Hou 01:00PM ET",7.741,"Hou","Alfred","Blue","Chi"
"230","RB","James White",3600,"NE@Ari 08:30PM ET",8.913,"NE","James","White","Ari"
"231","WR","Albert Wilson",3600,"SD@KC 01:00PM ET",7.213,"KC","Albert","Wilson","SD"
"232","WR","Chris Hogan",3600,"NE@Ari 08:30PM ET",5.848,"NE","Chris","Hogan","Ari"
"233","WR","Ty Montgomery",3600,"GB@Jax 01:00PM ET",7,"GB","Ty","Montgomery","Jax"
"234","RB","Javorius Allen",3600,"Buf@Bal 01:00PM ET",9.419,"Bal","Javorius","Allen","Buf"
"235","WR","Tyler Boyd",3600,"Cin@NYJ 01:00PM ET",0,"Cin","Tyler","Boyd","NYJ"
"236","DST","Cardinals ",3500,"NE@Ari 08:30PM ET",9.5,"Ari","Cardinals","","NE"
"237","RB","Reggie Bush",3500,"Buf@Bal 01:00PM ET",1.74,"Buf","Reggie","Bush","Bal"
"238","WR","James Jones",3500,"SD@KC 01:00PM ET",11.95,"SD","James","Jones","KC"
"239","TE","Benjamin Watson",3500,"Buf@Bal 01:00PM ET",12.344,"Bal","Benjamin","Watson","Buf"
"240","WR","Jermaine Kearse",3500,"Mia@Sea 04:05PM ET",10.683,"Sea","Jermaine","Kearse","Mia"
"241","RB","Ka'Deem Carey",3500,"Chi@Hou 01:00PM ET",3.436,"Chi","Ka'Deem","Carey","Hou"
"242","WR","Rashad Greene",3500,"GB@Jax 01:00PM ET",5.144,"Jax","Rashad","Greene","GB"
"243","RB","Josh Ferguson",3500,"Det@Ind 04:25PM ET",0,"Ind","Josh","Ferguson","Det"
"244","RB","Terrell Watson",3500,"Cle@Phi 01:00PM ET",0,"Cle","Terrell","Watson","Phi"
"245","WR","Nelson Agholor",3500,"Cle@Phi 01:00PM ET",4.331,"Phi","Nelson","Agholor","Cle"
"246","RB","Charcandrick West",3500,"SD@KC 01:00PM ET",9.229,"KC","Charcandrick","West","SD"
"247","DST","Jets ",3400,"Cin@NYJ 01:00PM ET",7.25,"NYJ","Jets","","Cin"
