FirstName,LastName,Salary,Position,Team,Opponent,Projection
Jameis,Winston,6600,QB,TB,Atl,21.58
Ryan,Fitzpatrick,6500,QB,NYJ,Cin,17.35
Alex,Smith,6500,QB,KC,SD,17.44
Jeremy,Maclin,6500,WR,KC,SD,17.26
Sam,Bradford,6400,QB,Phi,Cle,15.64
LeSean,McCoy,6400,RB,Buf,Bal,17.67
Marcus,Mariota,6400,QB,Ten,Min,19.06
Jay,Cutler,6300,QB,Chi,Hou,15.94
Larry,Fitzgerald,6300,WR,Ari,NE,15.96
Brock,Osweiler,6300,QB,Hou,Chi,16.36
Doug,Martin,6200,RB,TB,Atl,17.35
Jimmy,Garoppolo,6200,QB,NE,Ari,17.63
Matt,Forte,6100,RB,NYJ,Cin,14.54
Julian,Edelman,6100,WR,NE,Ari,16.04
Jarvis,Landry,6000,WR,Mia,Sea,16.02
Teddy,Bridgewater,6000,QB,Min,Ten,0
Thomas,Rawls,6000,RB,Sea,Mia,11.65
Donte,Moncrief,6000,WR,Ind,Det,15.28
Ryan,Tannehill,5900,QB,Mia,Sea,14.99
Michael,Floyd,5900,WR,Ari,NE,13.76
Arian,Foster,5800,RB,Mia,Sea,10.86
Allen,Hurns,5800,WR,Jax,GB,13.08
Ryan,Mathews,5700,RB,Phi,Cle,14.74
Dion,Lewis,5700,RB,NE,Ari,0
Robert,Griffin III,5600,QB,Cle,Phi,18.46
Latavius,Murray,5600,RB,Oak,NO,14.77
Frank,Gore,5500,RB,Ind,Det,10.92
Michael,Crabtree,5500,WR,Oak,NO,16.12
Rashad,Jennings,5400,RB,NYG,Dal,12.12
DeMarco,Murray,5300,RB,Ten,Min,11.99
DeVante,Parker,5300,WR,Mia,Sea,9.97
John,Brown,5200,WR,Ari,NE,13.3
Kevin,White,5200,WR,Chi,Hou,10.67
Mohamed,Sanu,5100,WR,Atl,TB,11.65
Duke,Johnson,5100,RB,Cle,Phi,11.19
Corey,Coleman,5100,WR,Cle,Phi,12.57
Josh,McCown,5000,QB,Cle,Phi,0
Matt,Cassel,5000,QB,Ten,Min,0
Dan,Orlovsky,5000,QB,Det,Ind,0
Kellen,Clemens,5000,QB,SD,KC,0
Shaun,Hill,5000,QB,Min,Ten,12.68
Matt,Moore,5000,QB,Mia,Sea,0
Drew,Stanton,5000,QB,Ari,NE,0
Matt,Schaub,5000,QB,Atl,TB,0
Luke,McCown,5000,QB,NO,Oak,0
Brian,Hoyer,5000,QB,Chi,Hou,0
Chad,Henne,5000,QB,Jax,GB,0
Josh,Johnson,5000,QB,Bal,Buf,0
Chase,Daniel,5000,QB,Phi,Cle,15.29
Scott,Tolzien,5000,QB,Ind,Det,0
McLeod,Bethel-Thompson,5000,QB,Phi,Cle,0
Jerrod,Johnson,5000,QB,Bal,Buf,0
Danny,Woodhead,5000,RB,SD,KC,12.14
Ryan,Mallett,5000,QB,Bal,Buf,0
Kellen,Moore,5000,QB,Dal,NYG,0
Brandon,Weeden,5000,QB,Hou,Chi,0
Austin,Davis,5000,QB,Cle,Phi,0
Nick,Foles,5000,QB,KC,SD,0
Matt,Simms,5000,QB,Atl,TB,0
Travis,Kelce,5000,TE,KC,SD,13.35
EJ,Manuel,5000,QB,Buf,Bal,0
Sean,Renfree,5000,QB,Atl,TB,0
Mike,Glennon,5000,QB,TB,Atl,0
Ryan,Nassib,5000,QB,NYG,Dal,0
Ryan,Griffin,5000,QB,TB,Atl,6.88
Zac,Dysert,5000,QB,Mia,Sea,0
Matt,McGloin,5000,QB,Oak,NO,0
Matt,Barkley,5000,QB,Ari,NE,0
Zach,Mettenberger,5000,QB,SD,KC,0
Aaron,Murray,5000,QB,KC,SD,0
Bryce,Petty,5000,QB,NYJ,Cin,0
Logan,Thomas,5000,QB,NYG,Dal,0
AJ,McCarron,5000,QB,Cin,NYJ,0
Tom,Savage,5000,QB,Hou,Chi,0
David,Fales,5000,QB,Chi,Hou,0
Geno,Smith,5000,QB,NYJ,Cin,0
Stephen,Morris,5000,QB,Ind,Det,0
Jake,Heaps,5000,QB,Sea,Mia,0
Garrett,Grayson,5000,QB,NO,Oak,0
Keith,Wenning,5000,QB,Cin,NYJ,0
Tyler,Bray,5000,QB,KC,SD,0
Connor,Shaw,5000,QB,Chi,Hou,0
Jameill,Showers,5000,QB,Dal,NYG,0
Brandon,Doughty,5000,QB,Mia,Sea,0
Brett,Hundley,5000,QB,GB,Jax,0
Dak,Prescott,5000,QB,Dal,NYG,18.73
Cody,Kessler,5000,QB,Cle,Phi,0
Max,Wittek,5000,QB,Jax,GB,0
Mike,Bercovici,5000,QB,SD,KC,0
Marquise,Williams,5000,QB,GB,Jax,0
Joel,Stave,5000,QB,Min,Ten,0
Kevin,Hogan,5000,QB,KC,SD,0
Taylor,Heinicke,5000,QB,Min,Ten,0
Trevone,Boykin,5000,QB,Sea,Mia,0
Brandon,Allen,5000,QB,Jax,GB,0
Tyler,Lockett,5000,WR,Sea,Mia,12.75
Jake,Coker,5000,QB,Ari,NE,0
Connor,Cook,5000,QB,Oak,NO,0
Jacoby,Brissett,5000,QB,NE,Ari,0
Joe,Licata,5000,QB,Cin,NYJ,0
Jake,Rudock,5000,QB,Det,Ind,0
Carson,Wentz,5000,QB,Phi,Cle,16.35
Alex,Tanney,5000,QB,Ten,Min,0
Joe,Callahan,5000,QB,GB,Jax,0
Cardale,Jones,5000,QB,Buf,Bal,0
Christian,Hackenberg,5000,QB,NYJ,Cin,0
Steve,Smith,4900,WR,Bal,Buf,11.05
Coby,Fleener,4900,TE,NO,Oak,14.87
Ameer,Abdullah,4900,RB,Det,Ind,11.8
Sterling,Shepard,4900,WR,NYG,Dal,12.47
James,Starks,4800,RB,GB,Jax,7.85
Giovani,Bernard,4800,RB,Cin,NYJ,10
Willie,Snead,4800,WR,NO,Oak,12.5
Stefon,Diggs,4800,WR,Min,Ten,12.18
Gary,Barnidge,4700,TE,Cle,Phi,12.98
Kamar,Aiken,4700,WR,Bal,Buf,11.88
Tyler,Eifert,4700,TE,Cin,NYJ,0
Jeremy,Langford,4700,RB,Chi,Hou,11.37
Justin,Forsett,4600,RB,Bal,Buf,0
Marvin,Jones,4600,WR,Det,Ind,13.25
Robert,Woods,4600,WR,Buf,Bal,10.44
Jerick,McKinnon,4600,RB,Min,Ten,5.03
Melvin,Gordon,4600,RB,SD,KC,10.54
Jeremy,Hill,4600,RB,Cin,NYJ,9.63
Anquan,Boldin,4500,WR,Det,Ind,8.29
Delanie,Walker,4500,TE,Ten,Min,13.8
Phillip,Dorsett,4500,WR,Ind,Det,10.9
Dorial,Green-Beckham,4500,WR,Ten,Min,8.47
Laquon,Treadwell,4500,WR,Min,Ten,8.3
Vincent,Jackson,4400,WR,TB,Atl,12.38
Charles,Sims,4400,RB,TB,Atl,10.45
Spencer,Ware,4400,RB,KC,SD,12.39
Tim,Hightower,4300,RB,NO,Oak,4.26
Chris,Ivory,4300,RB,Jax,GB,9.43
Bilal,Powell,4300,RB,NYJ,Cin,10.02
Zach,Ertz,4300,TE,Phi,Cle,14.12
Davante,Adams,4300,WR,GB,Jax,7.32
Darren,Sproles,4200,RB,Phi,Cle,10.5
Antonio,Gates,4200,TE,SD,KC,11.85
Danny,Amendola,4200,WR,NE,Ari,6.12
Darren,McFadden,4200,RB,Dal,NYG,0
Mike,Wallace,4200,WR,Bal,Buf,11.63
Jay,Ajayi,4200,RB,Mia,Sea,6.14
Isaiah,Crowell,4200,RB,Cle,Phi,8.57
Tevin,Coleman,4200,RB,Atl,TB,5.11
Jason,Witten,4100,TE,Dal,NYG,12.15
Andre,Ellington,4100,RB,Ari,NE,5.16
Travis,Benjamin,4100,WR,SD,KC,10.28
Terrance,West,4100,RB,Bal,Buf,8.43
T.J.,Yeldon,4100,RB,Jax,GB,9.8
Victor,Cruz,4000,WR,NYG,Dal,7.73
Theo,Riddick,4000,RB,Det,Ind,11.1
Michael,Thomas,4000,WR,NO,Oak,7.31
Derrick,Henry,4000,RB,Ten,Min,6.69
Andre,Johnson,3900,WR,Ten,Min,4.42
Brandon,LaFell,3900,WR,Cin,NYJ,8.57
Eric,Ebron,3900,TE,Det,Ind,9.86
C.J.,Prosise,3900,RB,Sea,Mia,4.7
Andrew,Hawkins,3800,WR,Cle,Phi,4.83
Jimmy,Graham,3800,TE,Sea,Mia,11.92
Alfred,Morris,3800,RB,Dal,NYG,3.01
Shane,Vereen,3800,RB,NYG,Dal,9.89
Mike,Gillislee,3800,RB,Buf,Bal,4.73
Quincy,Enunwa,3800,WR,NYJ,Cin,4.82
Julius,Thomas,3800,TE,Jax,GB,10.5
Seth,Roberts,3800,WR,Oak,NO,7.56
Jaelen,Strong,3800,WR,Hou,Chi,3.91
Zach,Miller,3700,TE,Chi,Hou,10.2
Chris,Johnson,3700,RB,Ari,NE,3.52
LeGarrette,Blount,3700,RB,NE,Ari,8.95
Christine,Michael,3700,RB,Sea,Mia,6.7
Marquess,Wilson,3700,WR,Chi,Hou,0
Chris,Conley,3700,WR,KC,SD,6.21
DeAndre,Washington,3700,RB,Oak,NO,4.32
Breshad,Perriman,3700,WR,Bal,Buf,4.92
Will,Fuller,3700,WR,Hou,Chi,10.52
Jordan,Howard,3700,RB,Chi,Hou,4.61
Jeff,Janis,3700,WR,GB,Jax,0
Dwayne,Harris,3600,WR,NYG,Dal,2.65
C.J.,Spiller,3600,RB,NO,Oak,3.99
Alfred,Blue,3600,RB,Hou,Chi,4.43
James,White,3600,RB,NE,Ari,12.22
Albert,Wilson,3600,WR,KC,SD,7.29
Chris,Hogan,3600,WR,NE,Ari,7.88
Ty,Montgomery,3600,WR,GB,Jax,0
Javorius,Allen,3600,RB,Bal,Buf,9.67
Tyler,Boyd,3600,WR,Cin,NYJ,9.35
Reggie,Bush,3500,RB,Buf,Bal,0
James,Jones,3500,WR,SD,KC,0
Benjamin,Watson,3500,TE,Bal,Buf,0
Jermaine,Kearse,3500,WR,Sea,Mia,7.84
Ka'Deem,Carey,3500,RB,Chi,Hou,4.37
Rashad,Greene,3500,WR,Jax,GB,4.19
Josh,Ferguson,3500,RB,Ind,Det,0
Terrell,Watson,3500,RB,Cle,Phi,0
Nelson,Agholor,3500,WR,Phi,Cle,7.36
Charcandrick,West,3500,RB,KC,SD,4.68
Harry,Douglas,3400,WR,Ten,Min,0
Martellus,Bennett,3400,TE,NE,Ari,10.26
Dontrelle,Inman,3400,WR,SD,KC,5.81
Charles,Clay,3400,TE,Buf,Bal,10.46
Kendall,Wright,3400,WR,Ten,Min,8.37
Jaron,Brown,3400,WR,Ari,NE,2.93
Kenny,Bell,3400,WR,TB,Atl,4.07
Kenneth,Dixon,3400,RB,Bal,Buf,0
Matt,Asiata,3300,RB,Min,Ten,0
Leonard,Hankerson,3300,WR,Buf,Bal,5.64
Terrance,Williams,3300,WR,Dal,NYG,9.18
Rueben,Randle,3300,WR,Phi,Cle,0
Jared,Abbrederis,3300,WR,GB,Jax,5.58
Will,Tye,3300,TE,NYG,Dal,8.35
Rishard,Matthews,3300,WR,Ten,Min,10.47
Cecil,Shorts III,3300,WR,Hou,Chi,0
Eddie,Royal,3200,WR,Chi,Hou,6.9
Hakeem,Nicks,3200,WR,NO,Oak,0
Cole,Beasley,3200,WR,Dal,NYG,7.31
Dwayne,Allen,3200,TE,Ind,Det,9.96
Kenny,Stills,3200,WR,Mia,Sea,9.03
J.J.,Nelson,3200,WR,Ari,NE,0
Andre,Holmes,3200,WR,Oak,NO,4.48
Karlos,Williams,3200,RB,Buf,Bal,0
Paul,Perkins,3200,RB,NYG,Dal,0
Leonte,Carroo,3200,WR,Mia,Sea,6.19
Lorenzo,Taliaferro,3200,RB,Bal,Buf,0
Stevie,Johnson,3100,WR,SD,KC,0
Jacquizz,Rodgers,3100,RB,Chi,Hou,0
Knile,Davis,3100,RB,KC,SD,0
Kyle,Juszczyk,3100,RB,Bal,Buf,0
Denard,Robinson,3100,RB,Jax,GB,0
Justin,Hardy,3100,WR,Atl,TB,6.01
Marqise,Lee,3100,WR,Jax,GB,4.97
Richard,Rodgers,3100,TE,GB,Jax,6.89
Alex,Collins,3100,RB,Sea,Mia,0
Nate,Washington,3000,WR,NE,Ari,0
Andre,Caldwell,3000,WR,Det,Ind,0
Eric,Weems,3000,WR,Atl,TB,0
Matthew,Slater,3000,WR,NE,Ari,0
Jerome,Felton,3000,RB,Buf,Bal,0
Cedric,Peerman,3000,RB,Cin,NYJ,0
Marlon,Moore,3000,WR,Cle,Phi,0
Brandon,Tate,3000,WR,Cin,NYJ,3.55
Darrel,Young,3000,RB,Chi,Hou,0
Louis,Murphy,3000,WR,TB,Atl,0
Donald,Brown,3000,RB,NE,Ari,0
Dobson,Collins,3000,WR,Bal,Buf,0
Kyle,Williams,3000,WR,NYJ,Cin,0
Greg,Salas,3000,WR,Buf,Bal,3.06
Marcel,Reece,3000,RB,Oak,NO,0
Marc,Mariani,3000,WR,Chi,Hou,0
Bryan,Walters,3000,WR,Jax,GB,0
Andre,Roberts,3000,WR,Det,Ind,0
Jeremy,Ross,3000,WR,NYJ,Cin,0
Dexter,McCluster,3000,RB,Ten,Min,0
Mike,Williams,3000,WR,KC,SD,0
James,Develin,3000,RB,NE,Ari,0
Arrelious,Benn,3000,WR,Jax,GB,0
Marcus,Easley,3000,WR,Buf,Bal,0
Stevan,Ridley,3000,RB,Det,Ind,0
Taiwan,Jones,3000,RB,Oak,NO,1.97
Charles,Johnson,3000,WR,Min,Ten,4.98
Deonte,Thompson,3000,WR,Chi,Hou,0
Daniel,Herron,3000,RB,Buf,Bal,0
Jordan,Cameron,3000,TE,Mia,Sea,8.32
Greg,Little,3000,WR,Buf,Bal,0
Joe,Banyard,3000,RB,Jax,GB,0
Jeremy,Kerley,3000,WR,Det,Ind,6.53
Robert,Hughes,3000,RB,Cle,Phi,0
Travaris,Cadet,3000,RB,NO,Oak,0
Nathan,Palmer,3000,WR,Oak,NO,0
Kashif,Moore,3000,WR,KC,SD,0
Anthony,Sherman,3000,RB,KC,SD,0
Aldrick,Robinson,3000,WR,Atl,TB,0
Robert,Turbin,3000,RB,Ind,Det,3.09
Will,Johnson,3000,RB,NYG,Dal,0
Bobby,Rainey,3000,RB,NYG,Dal,0
Patrick,DiMarco,3000,RB,Atl,TB,0
Isaiah,Pead,3000,RB,Mia,Sea,0
George,Winn,3000,RB,Det,Ind,0
Tavarres,King,3000,WR,NYG,Dal,0
Austin,Johnson,3000,RB,NO,Oak,0
Terrelle,Pryor,3000,WR,Cle,Phi,7.45
Kenjon,Barner,3000,RB,Phi,Cle,0
Brice,Butler,3000,WR,Dal,NYG,2.14
Zach,Line,3000,RB,Min,Ten,0
Griff,Whalen,3000,WR,Mia,Sea,0
Jonathan,Grimes,3000,RB,Hou,Chi,0
Frankie,Hammond,3000,WR,KC,SD,0
T.J.,Graham,3000,WR,Phi,Cle,0
Chris,Givens,3000,WR,Phi,Cle,0
Glenn,Winston,3000,RB,Cle,Phi,0
Keshawn,Martin,3000,WR,NE,Ari,3.55
Myles,White,3000,WR,NYG,Dal,0
Troy,Stoudermire,3000,WR,Min,Ten,0
Jarrett,Boykin,3000,WR,Buf,Bal,0
B.J.,Daniels,3000,WR,Chi,Hou,0
Jordan,Todman,3000,RB,Ind,Det,0
Jarius,Wright,3000,WR,Min,Ten,6.05
Brandon,Bolden,3000,RB,NE,Ari,0
Lance,Dunbar,3000,RB,Dal,NYG,0
Jonas,Gray,3000,RB,Jax,GB,0
Kyle,Rudolph,3000,TE,Min,Ten,8.39
Russell,Shepard,3000,WR,TB,Atl,0
Josh,Boyce,3000,WR,Ind,Det,0
Matthew,Tucker,3000,RB,NYJ,Cin,0
Mike,James,3000,RB,TB,Atl,0
Tommy,Bohanon,3000,RB,NYJ,Cin,0
Rex,Burkhead,3000,RB,Cin,NYJ,0
Michael,Campanaro,3000,WR,Bal,Buf,0
Nikita,Whitlock,3000,RB,NYG,Dal,0
Damian,Copeland,3000,WR,Det,Ind,0
Tyler,Gaffney,3000,RB,NE,Ari,0
Stepfan,Taylor,3000,RB,Ari,NE,0
Tony,Washington,3000,WR,Jax,GB,0
Branden,Oliver,3000,RB,SD,KC,0
Cameron,Marshall,3000,RB,Sea,Mia,0
Marquise,Goodwin,3000,WR,Buf,Bal,0
Mitch,Mathews,3000,WR,KC,SD,0
Kerwynn,Williams,3000,RB,Ari,NE,0
Andre,Debose,3000,WR,Ind,Det,0
Shaq,Evans,3000,WR,Jax,GB,0
Rodney,Smith,3000,WR,Dal,NYG,0
Ed,Williams,3000,WR,GB,Jax,0
Josh,Lenz,3000,WR,Hou,Chi,0
Nick,Williams,3000,WR,Atl,TB,2.12
Devin,Street,3000,WR,Dal,NYG,0
Chris,Matthews,3000,WR,Bal,Buf,0
Aaron,Dobson,3000,WR,NE,Ari,5.27
Bernard,Pierce,3000,RB,NYJ,Cin,0
Daniel,Thomas,3000,RB,Mia,Sea,0
Terrell,Sinkfield,3000,WR,Min,Ten,0
Dominique,Williams,3000,RB,NYJ,Cin,0
A.J.,Cruz,3000,WR,Mia,Sea,0
Kadron,Boone,3000,WR,NYG,Dal,0
James,Wright,3000,WR,Cin,NYJ,0
Storm,Johnson,3000,RB,TB,Atl,0
Justin,Hunter,3000,WR,Ten,Min,0
Rajion,Neal,3000,RB,Cle,Phi,0
Trey,Millard,3000,RB,KC,SD,0
Jay,Prosch,3000,RB,Hou,Chi,0
Jalston,Fowler,3000,RB,Ten,Min,0
Jeff,Luc,3000,RB,Cin,NYJ,0
TJ,Jones,3000,WR,Det,Ind,3.29
Kenbrell,Thompkins,3000,WR,NYJ,Cin,3.71
Joey,Iosefa,3000,RB,NE,Ari,0
Kain,Colter,3000,WR,Buf,Bal,0
Rashad,Lawrence,3000,WR,Jax,GB,0
Orleans,Darkwa,3000,RB,NYG,Dal,0
Rod,Streater,3000,WR,KC,SD,0
Jamel,Johnson,3000,WR,GB,Jax,0
R.J.,Harris,3000,WR,NO,Oak,0
Michael,Bennett,3000,WR,Cin,NYJ,0
Marcus,Murphy,3000,RB,NO,Oak,0
Andre,Williams,3000,RB,NYG,Dal,0
Clive,Walford,3000,TE,Oak,NO,8.36
Rod,Smith,3000,RB,Dal,NYG,0
Joshua,Bellamy,3000,WR,Chi,Hou,0
Senorise,Perry,3000,RB,Chi,Hou,0
Jordan,Leslie,3000,WR,Atl,TB,0
Neal,Sterling,3000,WR,Jax,GB,0
Walt,Powell,3000,WR,Buf,Bal,0
Javontee,Herndon,3000,WR,SD,KC,0
Malcolm,Johnson,3000,RB,Cle,Phi,0
Jonathan,Krause,3000,WR,TB,Atl,0
Josh,Huff,3000,WR,Phi,Cle,0
Soma,Vainuku,3000,RB,Hou,Chi,0
Andrew,Turzilli,3000,WR,Ten,Min,0
Brandon,Coleman,3000,WR,NO,Oak,4.45
Sam,Bergen,3000,RB,Ten,Min,0
Michael,Burton,3000,RB,Det,Ind,0
Corey,Grant,3000,RB,Jax,GB,0
Kaelin,Clay,3000,WR,Bal,Buf,0
Antwan,Goodley,3000,WR,Sea,Mia,0
Matt,Hazel,3000,WR,Mia,Sea,0
Keith,Mumphery,3000,WR,Hou,Chi,0
Da'Ron,Brown,3000,WR,KC,SD,0
Kevin,Smith,3000,WR,Sea,Mia,0
Corey,Fuller,3000,WR,Det,Ind,0
Jake,Kumerow,3000,WR,Cin,NYJ,0
Geremy,Davis,3000,WR,NYG,Dal,0
David,Fluellen,3000,RB,Ten,Min,0
Bernard,Reedy,3000,WR,TB,Atl,0
Jamize,Olawale,3000,RB,Oak,NO,0
Paul,Richardson,3000,WR,Sea,Mia,2.96
Douglas,McNeil III,3000,WR,Sea,Mia,0
Daniel,Brown,3000,WR,Bal,Buf,0
Reggie,Bell,3000,WR,NO,Oak,0
Isaiah,Burse,3000,WR,SD,KC,0
Freddie,Martino,3000,WR,TB,Atl,0
Cameron,Meredith,3000,WR,Chi,Hou,0
Antonio,Andrews,3000,RB,Ten,Min,0
Zach,Zenner,3000,RB,Det,Ind,4.12
Kenny,Hilliard,3000,RB,Hou,Chi,0
Paul,Turner,3000,WR,Phi,Cle,0
Dreamius,Smith,3000,RB,SD,KC,0
Terron,Ward,3000,RB,Atl,TB,0
David,Cobb,3000,RB,Ten,Min,0
Blake,Renaud,3000,RB,Min,Ten,0
Titus,Davis,3000,WR,NYJ,Cin,0
Quan,Bray,3000,WR,Ind,Det,0
Braxton,Miller,3000,WR,Hou,Chi,0
Tre,McBride,3000,WR,Ten,Min,0
Jared,Dangerfield,3000,WR,NO,Oak,0
Rashawn,Scott,3000,WR,Mia,Sea,0
David,Watford,3000,WR,Phi,Cle,0
Gary,Chambers,3000,WR,Buf,Bal,0
Amir,Carlisle,3000,WR,Ari,NE,0
Tre,Madden,3000,RB,Sea,Mia,0
Quenton,Bundrage,3000,WR,Hou,Chi,0
Kevin,Monangai,3000,RB,Min,Ten,0
Dezmin,Lewis,3000,WR,Buf,Bal,4.74
Gus,Johnson,3000,RB,Atl,TB,0
Adam,Humphries,3000,WR,TB,Atl,6.64
Charone,Peake,3000,WR,NYJ,Cin,0
Tyler,Ervin,3000,RB,Hou,Chi,0
Xavier,Rush,3000,WR,Phi,Cle,0
Bronson,Hill,3000,RB,Cin,NYJ,0
Jamal,Robinson,3000,WR,Jax,GB,0
Jaxon,Shipley,3000,WR,Ari,NE,0
Deshon,Foxx,3000,WR,Sea,Mia,0
Marken,Michel,3000,WR,Min,Ten,0
K.J.,Brent,3000,WR,Oak,NO,0
Tanner,McEvoy,3000,WR,Sea,Mia,0
Brandon,Wilds,3000,RB,Atl,TB,0
Devin,Lucien,3000,WR,NE,Ari,0
Aaron,Ripkowski,3000,RB,GB,Jax,0
David,Glidden,3000,WR,Atl,TB,0
Jakeem,Grant,3000,WR,Mia,Sea,0
James,Wilder,3000,RB,Buf,Bal,0
Marcus,Leak,3000,WR,Ind,Det,0
Brandon,Ross,3000,RB,GB,Jax,0
Romar,Morris,3000,RB,NYJ,Cin,0
Darius,Jennings,3000,WR,Cle,Phi,0
Devin,Smith,3000,WR,NYJ,Cin,0
Evan,Spencer,3000,WR,TB,Atl,0
Brandon,Cottom,3000,RB,Sea,Mia,0
Akeem,Hunt,3000,RB,Hou,Chi,0
Raheem,Mostert,3000,RB,Cle,Phi,0
Derek,Watt,3000,RB,SD,KC,0
Chris,Moore,3000,WR,Bal,Buf,0
Elijhaa,Penny,3000,RB,Ari,NE,0
Andre,Davis,3000,WR,TB,Atl,0
Malcolm,Mitchell,3000,WR,NE,Ari,0
Marvin,Hall,3000,WR,Oak,NO,0
Chuck,Jacobs,3000,WR,Bal,Buf,0
Jeremy,Butler,3000,WR,Bal,Buf,0
Daniel,Lasco,3000,RB,NO,Oak,0
Tra,Carson,3000,RB,Cin,NYJ,0
De'Anthony,Thomas,3000,WR,KC,SD,0
Bishop,Sankey,3000,RB,Ten,Min,0
Taniela,Tupou,3000,RB,Sea,Mia,0
Kasen,Williams,3000,WR,Sea,Mia,0
Tommylee,Lewis,3000,WR,NO,Oak,0
Dominique,Williams,3000,WR,SD,KC,0
Jay,Lee,3000,WR,Det,Ind,0
J.D.,McKissic,3000,WR,Atl,TB,0
Robby,Anderson,3000,WR,NYJ,Cin,0
Will,Ratelle,3000,RB,Atl,TB,0
Stephen,Houston,3000,RB,Bal,Buf,0
Shane,Wynn,3000,WR,Jax,GB,0
Kenneth,Farrow,3000,RB,SD,KC,0
Darrin,Reaves,3000,RB,KC,SD,0
Rannell,Hall,3000,WR,Cle,Phi,0
George,Atkinson III,3000,RB,Oak,NO,0
DeAndre,Carter,3000,WR,NE,Ari,0
Andrew,Bonnet,3000,RB,Cin,NYJ,0
Alan,Cross,3000,RB,TB,Atl,0
Tevin,Jones,3000,WR,Hou,Chi,0
Chandler,Worthy,3000,WR,NYJ,Cin,0
Trevor,Davis,3000,WR,GB,Jax,0
Brittan,Golden,3000,WR,Ari,NE,0
Tyrell,Williams,3000,WR,SD,KC,6.53
Jhurell,Pressley,3000,RB,Min,Ten,0
Kolby,Listenbee,3000,WR,Buf,Bal,0
Isaac,Fruechte,3000,WR,Min,Ten,0
KJ,Maye,3000,WR,NYG,Dal,0
Joe,Hansley,3000,WR,Oak,NO,0
Daniel,Braverman,3000,WR,Chi,Hou,0
Jordan,Williams-Lambert,3000,WR,NO,Oak,0
Alex,Erickson,3000,WR,Cin,NYJ,0
Paul,Lasike,3000,RB,Chi,Hou,0
D.J.,Foster,3000,RB,NE,Ari,0
Glenn,Gronkowski,3000,RB,Buf,Bal,0
Zac,Brooks,3000,RB,Sea,Mia,0
Marshaun,Coprich,3000,RB,NYG,Dal,0
Byron,Marshall,3000,RB,Phi,Cle,0
Russell,Hansbrough,3000,RB,TB,Atl,0
Cordarrelle,Patterson,3000,WR,Min,Ten,0
Trey,Williams,3000,RB,Ind,Det,0
Chris,Harper,3000,WR,NE,Ari,0
Kenny,Lawler,3000,WR,Sea,Mia,0
Darius,Powe,3000,WR,NYG,Dal,0
Devin,Fuller,3000,WR,Atl,TB,0
Jordan,Payton,3000,WR,Cle,Phi,0
Damien,Williams,3000,RB,Mia,Sea,0
Marcus,Johnson,3000,WR,Phi,Cle,0
Cayleb,Jones,3000,WR,Phi,Cle,0
Max,McCaffrey,3000,WR,Oak,NO,0
Herb,Waters,3000,WR,GB,Jax,0
Quinshad,Davis,3000,WR,Det,Ind,0
Tevaun,Smith,3000,WR,Ind,Det,0
