"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Team","LastName","Opponent","FirstName","Projection","Projection_dfn"
"TE","Rob Gronkowski",7000,"NE@Buf 01:00PM ET",14.5,"NE","","Gronkowski","NE","Rob",18.11,15.3
"QB","Drew Brees",6900,"Sea@NO 01:00PM ET",26.507,"NO","","Brees","Sea","Drew",20.69,19.5
"WR","Doug Baldwin",6900,"Sea@NO 01:00PM ET",15.267,"Sea","","Baldwin","Sea","Doug",19.46,16.7
"QB","Andrew Luck",6800,"KC@Ind 01:00PM ET",23.98,"Ind","","Luck","KC","Andrew",20.89,19.5
"RB","Spencer Ware",6800,"KC@Ind 01:00PM ET",18.95,"KC","","Ware","KC","Spencer",20.24,19.4
"WR","Michael Crabtree",6700,"Oak@TB 01:00PM ET",18.014,"Oak","","Crabtree","Oak","Michael",16.3,12.8
"WR","Marvin Jones Jr.",6600,"Det@Hou 01:00PM ET",17.943,"Det","","Jones","Det","Marvin",14.17,14.6
"RB","Devonta Freeman",6500,"GB@Atl 04:25PM ET",15.814,"Atl","","Freeman","GB","Devonta",18.88,18.7
"WR","Emmanuel Sanders",6500,"SD@Den 04:05PM ET",15.843,"Den","","Sanders","SD","Emmanuel",16.02,16
"TE","Greg Olsen",6500,"Ari@Car 01:00PM ET",20,"Car","","Olsen","Ari","Greg",17.72,12
"QB","Matthew Stafford",6400,"Det@Hou 01:00PM ET",21.737,"Det","","Stafford","Det","Matthew",19.05,18
"RB","Matt Forte",6400,"NYJ@Cle 01:00PM ET",16.243,"NYJ","","Forte","NYJ","Matt",16.6,15.8
"WR","Randall Cobb",6400,"GB@Atl 04:25PM ET",16.017,"GB","","Cobb","GB","Randall",17.38,15
"RB","Lamar Miller",6300,"Det@Hou 01:00PM ET",15.4,"Hou","","Miller","Det","Lamar",17.14,16.1
"WR","Julian Edelman",6300,"NE@Buf 01:00PM ET",10.286,"NE","","Edelman","NE","Julian",16.68,13.5
"QB","Ryan Fitzpatrick",6200,"NYJ@Cle 01:00PM ET",12.249,"NYJ","","Fitzpatrick","NYJ","Ryan",17.12,20.2
"WR","Demaryius Thomas",6200,"SD@Den 04:05PM ET",15.657,"Den","","Thomas","SD","Demaryius",14.78,15.9
"RB","Doug Martin",6100,"Oak@TB 01:00PM ET",8.45,"TB","","Martin","Oak","Doug",0,0
"TE","Jimmy Graham",6100,"Sea@NO 01:00PM ET",13.133,"Sea","","Graham","Sea","Jimmy",17.8,11.9
"WR","Terrelle Pryor Sr.",6100,"NYJ@Cle 01:00PM ET",15.549,"Cle","","Pryor","NYJ","Terrelle",17.1,15.9
"QB","Philip Rivers",6100,"SD@Den 04:05PM ET",19.946,"SD","","Rivers","SD","Philip",15.01,15.9
"WR","Jeremy Maclin",6000,"KC@Ind 01:00PM ET",11.033,"KC","","Maclin","KC","Jeremy",13.59,15.1
"WR","Will Fuller",6000,"Det@Hou 01:00PM ET",13.817,"Hou","","Fuller","Det","Will",16.3,13.4
"QB","Carson Palmer",6000,"Ari@Car 01:00PM ET",16.167,"Ari","","Palmer","Ari","Carson",18.19,19.5
"QB","Derek Carr",5900,"Oak@TB 01:00PM ET",19.589,"Oak","","Carr","Oak","Derek",18.78,19
"RB","C.J. Anderson",5900,"SD@Den 04:05PM ET",15.071,"Den","","Anderson","SD","C.J.",0,0
"QB","Alex Smith",5800,"KC@Ind 01:00PM ET",15.94,"KC","","Smith","KC","Alex",16.33,19.5
"RB","Jacquizz Rodgers",5800,"Oak@TB 01:00PM ET",10.26,"TB","","Rodgers","Oak","Jacquizz",14.91,15
"WR","Willie Snead",5800,"Sea@NO 01:00PM ET",16.26,"NO","","Snead","Sea","Willie",14.34,13.6
"QB","Dak Prescott",5800,"Phi@Dal 08:30PM ET",18.19,"Dal","","Prescott","Phi","Dak",17.34,16.7
"QB","Jameis Winston",5700,"Oak@TB 01:00PM ET",19.457,"TB","","Winston","Oak","Jameis",18.79,21.8
"QB","Geno Smith",5700,"NYJ@Cle 01:00PM ET",4.47,"NYJ","","Smith","NYJ","Geno",0,0
"RB","Melvin Gordon",5700,"SD@Den 04:05PM ET",20.657,"SD","","Gordon","SD","Melvin",17.29,13.9
"WR","Jordan Matthews",5700,"Phi@Dal 08:30PM ET",12.567,"Phi","","Matthews","Phi","Jordan",11.42,15.1
"QB","Tony Romo",5600,"Phi@Dal 08:30PM ET",0,"Dal","","Romo","Phi","Tony",0,0
"RB","Jamaal Charles",5500,"KC@Ind 01:00PM ET",4.467,"KC","","Charles","KC","Jamaal",0,0
"WR","Donte Moncrief",5400,"KC@Ind 01:00PM ET",10.15,"Ind","","Moncrief","KC","Donte",10.2,13.4
"QB","Brock Osweiler",5400,"Det@Hou 01:00PM ET",12.76,"Hou","","Osweiler","Det","Brock",16.79,17.6
"QB","Kevin Hogan",5300,"NYJ@Cle 01:00PM ET",21.4,"Cle","","Hogan","NYJ","Kevin",0,0
"WR","Ty Montgomery",5300,"GB@Atl 04:25PM ET",7,"GB","","Montgomery","GB","Ty",15.48,14.7
"RB","LeGarrette Blount",5300,"NE@Buf 01:00PM ET",17.386,"NE","","Blount","NE","LeGarrette",13.17,11.2
"QB","Josh McCown",5200,"NYJ@Cle 01:00PM ET",16.4,"Cle","","McCown","NYJ","Josh",14.45,17.3
"QB","Tyrod Taylor",5200,"NE@Buf 01:00PM ET",17.997,"Buf","","Taylor","NE","Tyrod",18.83,16.1
"WR","Travis Benjamin",5200,"SD@Den 04:05PM ET",13.771,"SD","","Benjamin","SD","Travis",10.33,10.1
"WR","Golden Tate",5100,"Det@Hou 01:00PM ET",11.643,"Det","","Tate","Det","Golden",12.75,12.8
"RB","Tevin Coleman",5100,"GB@Atl 04:25PM ET",16.343,"Atl","","Coleman","GB","Tevin",0,0
"QB","Trevor Siemian",5100,"SD@Den 04:05PM ET",14.273,"Den","","Siemian","SD","Trevor",15.03,16.7
"QB","Carson Wentz",5100,"Phi@Dal 08:30PM ET",15.043,"Phi","","Wentz","Phi","Carson",16.52,16.7
"QB","Scott Tolzien",5000,"KC@Ind 01:00PM ET",0,"Ind","","Tolzien","KC","Scott",0,0
"QB","Nick Foles",5000,"KC@Ind 01:00PM ET",0,"KC","","Foles","KC","Nick",0,0
"QB","Tyler Bray",5000,"KC@Ind 01:00PM ET",0,"KC","","Bray","KC","Tyler",0,0
"QB","Mike Glennon",5000,"Oak@TB 01:00PM ET",0,"TB","","Glennon","Oak","Mike",0,0
"QB","Ryan Griffin",5000,"Oak@TB 01:00PM ET",0,"TB","","Griffin","Oak","Ryan",0,0
"QB","Matt McGloin",5000,"Oak@TB 01:00PM ET",0,"Oak","","McGloin","Oak","Matt",0,0
"QB","Connor Cook",5000,"Oak@TB 01:00PM ET",0,"Oak","","Cook","Oak","Connor",0,0
"QB","Luke McCown",5000,"Sea@NO 01:00PM ET",0,"NO","","McCown","Sea","Luke",0,0
"QB","Trevone Boykin",5000,"Sea@NO 01:00PM ET",2.7,"Sea","","Boykin","Sea","Trevone",0,0
"RB","Mark Ingram",5000,"Sea@NO 01:00PM ET",14.967,"NO","","Ingram","Sea","Mark",13.51,13.2
"WR","Michael Thomas",5000,"Sea@NO 01:00PM ET",16.783,"NO","","Thomas","Sea","Michael",13.62,12.3
"QB","Dan Orlovsky",5000,"Det@Hou 01:00PM ET",0,"Det","","Orlovsky","Det","Dan",0,0
"QB","Brandon Weeden",5000,"Det@Hou 01:00PM ET",0,"Hou","","Weeden","Det","Brandon",0,0
"QB","Tom Savage",5000,"Det@Hou 01:00PM ET",0,"Hou","","Savage","Det","Tom",0,0
"RB","Theo Riddick",5000,"Det@Hou 01:00PM ET",17.22,"Det","","Riddick","Det","Theo",11.51,13.8
"QB","Bryce Petty",5000,"NYJ@Cle 01:00PM ET",0,"NYJ","","Petty","NYJ","Bryce",0,0
"QB","Cody Kessler",5000,"NYJ@Cle 01:00PM ET",11.416,"Cle","","Kessler","NYJ","Cody",0,0
"QB","Christian Hackenberg",5000,"NYJ@Cle 01:00PM ET",0,"NYJ","","Hackenberg","NYJ","Christian",0,0
"QB","Matt Schaub",5000,"GB@Atl 04:25PM ET",0,"Atl","","Schaub","GB","Matt",0,0
"QB","Brett Hundley",5000,"GB@Atl 04:25PM ET",0,"GB","","Hundley","GB","Brett",0,0
"QB","EJ Manuel",5000,"NE@Buf 01:00PM ET",0.567,"Buf","","Manuel","NE","EJ",0,0
"QB","Jimmy Garoppolo",5000,"NE@Buf 01:00PM ET",12.347,"NE","","Garoppolo","NE","Jimmy",0,0
"QB","Cardale Jones",5000,"NE@Buf 01:00PM ET",0,"Buf","","Jones","NE","Cardale",0,0
"QB","Kellen Clemens",5000,"SD@Den 04:05PM ET",-0.033,"SD","","Clemens","SD","Kellen",0,0
"QB","Austin Davis",5000,"SD@Den 04:05PM ET",0,"Den","","Davis","SD","Austin",0,0
"QB","Paxton Lynch",5000,"SD@Den 04:05PM ET",12.06,"Den","","Lynch","SD","Paxton",0,0
"QB","Derek Anderson",5000,"Ari@Car 01:00PM ET",7.84,"Car","","Anderson","Ari","Derek",0,0
"QB","Drew Stanton",5000,"Ari@Car 01:00PM ET",3.265,"Ari","","Stanton","Ari","Drew",0,0
"QB","Joe Webb",5000,"Ari@Car 01:00PM ET",0.325,"Car","","Webb","Ari","Joe",0,0
"QB","Mark Sanchez",5000,"Phi@Dal 08:30PM ET",0,"Dal","","Sanchez","Phi","Mark",0,0
"QB","Chase Daniel",5000,"Phi@Dal 08:30PM ET",0,"Phi","","Daniel","Phi","Chase",0,0
"TE","Travis Kelce",4900,"KC@Ind 01:00PM ET",11.1,"KC","","Kelce","KC","Travis",12.78,13.2
"WR","Davante Adams",4900,"GB@Atl 04:25PM ET",15.833,"GB","","Adams","GB","Davante",11.72,7.8
"RB","Jonathan Stewart",4900,"Ari@Car 01:00PM ET",10.167,"Car","","Stewart","Ari","Jonathan",12.05,10.9
"WR","Quincy Enunwa",4800,"NYJ@Cle 01:00PM ET",12.129,"NYJ","","Enunwa","NYJ","Quincy",10.48,10
"RB","James White",4800,"NE@Buf 01:00PM ET",11.229,"NE","","White","NE","James",10.68,12.4
"WR","Cole Beasley",4800,"Phi@Dal 08:30PM ET",15.117,"Dal","","Beasley","Phi","Cole",9.83,9.2
"RB","Frank Gore",4700,"KC@Ind 01:00PM ET",15.129,"Ind","","Gore","KC","Frank",14,11
"WR","Tyrell Williams",4700,"SD@Den 04:05PM ET",14.514,"SD","","Williams","SD","Tyrell",11.33,11
"WR","John Brown",4700,"Ari@Car 01:00PM ET",9.517,"Ari","","Brown","Ari","John",12.82,12.5
"RB","Latavius Murray",4500,"Oak@TB 01:00PM ET",14.36,"Oak","","Murray","Oak","Latavius",12.28,10.2
"WR","Corey Coleman",4500,"NYJ@Cle 01:00PM ET",19.65,"Cle","","Coleman","NYJ","Corey",0,0
"WR","Chris Hogan",4400,"NE@Buf 01:00PM ET",7.6,"NE","","Hogan","NE","Chris",8.48,7.2
"RB","James Starks",4300,"GB@Atl 04:25PM ET",3.8,"GB","","Starks","GB","James",0,0
"WR","Anquan Boldin",4200,"Det@Hou 01:00PM ET",11.886,"Det","","Boldin","Det","Anquan",10.26,9.7
"WR","Mohamed Sanu",4100,"GB@Atl 04:25PM ET",8.829,"Atl","","Sanu","GB","Mohamed",9.63,13.2
"WR","Michael Floyd",4100,"Ari@Car 01:00PM ET",8.957,"Ari","","Floyd","Ari","Michael",8.3,9.6
"WR","Robert Woods",4000,"NE@Buf 01:00PM ET",9.267,"Buf","","Woods","NE","Robert",10.73,12.2
"TE","Martellus Bennett",4000,"NE@Buf 01:00PM ET",13.471,"NE","","Bennett","NE","Martellus",9.58,8
"RB","Ryan Mathews",4000,"Phi@Dal 08:30PM ET",10.25,"Phi","","Mathews","Phi","Ryan",10.53,8.7
"WR","Phillip Dorsett",3900,"KC@Ind 01:00PM ET",7.433,"Ind","","Dorsett","KC","Phillip",7.21,6.3
"RB","Thomas Rawls",3900,"Sea@NO 01:00PM ET",6.3,"Sea","","Rawls","Sea","Thomas",0,0
"WR","Tyler Lockett",3900,"Sea@NO 01:00PM ET",4.95,"Sea","","Lockett","Sea","Tyler",7.12,10.2
"RB","Duke Johnson Jr.",3900,"NYJ@Cle 01:00PM ET",10.314,"Cle","","Johnson","NYJ","Duke",9.08,9.8
"WR","Ted Ginn Jr.",3900,"Ari@Car 01:00PM ET",5.783,"Car","","Ginn","Ari","Ted",7.68,8.5
"RB","C.J. Spiller",3800,"Sea@NO 01:00PM ET",8.1,"Sea","","Spiller","Sea","C.J.",0,0
"RB","Dwayne Washington",3800,"Det@Hou 01:00PM ET",4.025,"Det","","Washington","Det","Dwayne",3.91,3.9
"RB","Mike Gillislee",3800,"NE@Buf 01:00PM ET",5.343,"Buf","","Gillislee","NE","Mike",12.52,12
"WR","Devin Funchess",3800,"Ari@Car 01:00PM ET",5.367,"Car","","Funchess","Ari","Devin",6.49,5.1
"WR","Brice Butler",3800,"Phi@Dal 08:30PM ET",5.117,"Dal","","Butler","Phi","Brice",4.91,2
"RB","Zach Zenner",3700,"Det@Hou 01:00PM ET",5.64,"Det","","Zenner","Det","Zach",2.69,2.8
"RB","Isaiah Crowell",3700,"NYJ@Cle 01:00PM ET",14.6,"Cle","","Crowell","NYJ","Isaiah",9.29,9.4
"RB","Devontae Booker",3700,"SD@Den 04:05PM ET",6.471,"Den","","Booker","SD","Devontae",16.07,15.2
"TE","Hunter Henry",3700,"SD@Den 04:05PM ET",9.943,"SD","","Henry","SD","Hunter",7.8,6.5
"RB","Darren Sproles",3700,"Phi@Dal 08:30PM ET",10.2,"Phi","","Sproles","Phi","Darren",9.45,9.1
"WR","Terrance Williams",3700,"Phi@Dal 08:30PM ET",9.35,"Dal","","Williams","Phi","Terrance",9.1,7
"WR","Marquise Goodwin",3600,"NE@Buf 01:00PM ET",8.4,"Buf","","Goodwin","NE","Marquise",0,0
"RB","Fozzy Whittaker",3600,"Ari@Car 01:00PM ET",9.55,"Car","","Whittaker","Ari","Fozzy",4.81,3.6
"TE","Jason Witten",3600,"Phi@Dal 08:30PM ET",9.233,"Dal","","Witten","Phi","Jason",8.63,7.9
"TE","Zach Ertz",3600,"Phi@Dal 08:30PM ET",6.025,"Phi","","Ertz","Phi","Zach",9.01,10.1
"TE","Jack Doyle",3500,"KC@Ind 01:00PM ET",11.6,"Ind","","Doyle","KC","Jack",13.32,12.3
"RB","Bilal Powell",3500,"NYJ@Cle 01:00PM ET",7.471,"NYJ","","Powell","NYJ","Bilal",8.92,11.2
"WR","Chris Conley",3400,"KC@Ind 01:00PM ET",7.117,"KC","","Conley","KC","Chris",7.43,7.4
"RB","DeAndre Washington",3400,"Oak@TB 01:00PM ET",5.957,"Oak","","Washington","Oak","DeAndre",5.78,6.4
"TE","Coby Fleener",3400,"Sea@NO 01:00PM ET",11.717,"NO","","Fleener","Sea","Coby",10.27,9.7
"RB","Knile Davis",3400,"GB@Atl 04:25PM ET",0.66,"GB","","Davis","GB","Knile",4.64,4.1
"WR","Russell Shepard",3300,"Oak@TB 01:00PM ET",4.133,"TB","","Shepard","Oak","Russell",9.33,5.9
"RB","Justin Forsett",3300,"Det@Hou 01:00PM ET",6.34,"Det","","Forsett","Det","Justin",0,0
"TE","Gary Barnidge",3300,"NYJ@Cle 01:00PM ET",9.729,"Cle","","Barnidge","NYJ","Gary",10.68,10.6
"RB","Don Jackson",3300,"GB@Atl 04:25PM ET",0.6,"GB","","Jackson","GB","Don",0,3
"RB","Reggie Bush",3300,"NE@Buf 01:00PM ET",2.18,"Buf","","Bush","NE","Reggie",7.02,0
"WR","Danny Amendola",3300,"NE@Buf 01:00PM ET",5.714,"NE","","Amendola","NE","Danny",5.45,7.5
"WR","Corey Brown",3300,"Ari@Car 01:00PM ET",6.617,"Car","","Brown","Ari","Corey",0,4
"WR","Chester Rogers",3200,"KC@Ind 01:00PM ET",4.433,"Ind","","Rogers","KC","Chester",0,0
"TE","Cameron Brate",3200,"Oak@TB 01:00PM ET",9.1,"TB","","Brate","Oak","Cameron",12.7,12.1
"WR","Dontrelle Inman",3200,"SD@Den 04:05PM ET",7.1,"SD","","Inman","SD","Dontrelle",6.08,5.9
"RB","Alfred Morris",3200,"Phi@Dal 08:30PM ET",4.367,"Dal","","Morris","Phi","Alfred",3.04,3.7
"RB","Jalen Richard",3100,"Oak@TB 01:00PM ET",7.043,"Oak","","Richard","Oak","Jalen",3.5,6
"WR","Jermaine Kearse",3100,"Sea@NO 01:00PM ET",6.133,"Sea","","Kearse","Sea","Jermaine",8.13,9.7
"WR","Justin Hunter",3100,"NE@Buf 01:00PM ET",5.475,"Buf","","Hunter","NE","Justin",11.02,9.1
"WR","Jaron Brown",3100,"Ari@Car 01:00PM ET",5.1,"Ari","","Brown","Ari","Jaron",0,0
"WR","Nelson Agholor",3100,"Phi@Dal 08:30PM ET",7.267,"Phi","","Agholor","Phi","Nelson",7.63,7.5
"RB","Anthony Sherman",3000,"KC@Ind 01:00PM ET",0.383,"KC","","Sherman","KC","Anthony",0,0
"RB","Robert Turbin",3000,"KC@Ind 01:00PM ET",4.983,"Ind","","Turbin","KC","Robert",2.11,2.1
"RB","Jordan Todman",3000,"KC@Ind 01:00PM ET",0,"Ind","","Todman","KC","Jordan",0,0
"RB","Josh Ferguson",3000,"KC@Ind 01:00PM ET",4.643,"Ind","","Ferguson","KC","Josh",3.51,4.7
"RB","Charcandrick West",3000,"KC@Ind 01:00PM ET",4.68,"KC","","West","KC","Charcandrick",4.5,5.8
"WR","Devin Street",3000,"KC@Ind 01:00PM ET",3,"Ind","","Street","KC","Devin",0,1
"WR","Albert Wilson",3000,"KC@Ind 01:00PM ET",3.567,"KC","","Wilson","KC","Albert",4.2,6.3
"WR","De'Anthony Thomas",3000,"KC@Ind 01:00PM ET",3.3,"KC","","Thomas","KC","De'Anthony",0,0
"WR","Tevaun Smith",3000,"KC@Ind 01:00PM ET",0,"Ind","","Smith","KC","Tevaun",0,0
"WR","Demarcus Robinson",3000,"KC@Ind 01:00PM ET",0,"KC","","Robinson","KC","Demarcus",0,0
"WR","Tyreek Hill",3000,"KC@Ind 01:00PM ET",7.7,"KC","","Hill","KC","Tyreek",6.6,3.6
"RB","Antone Smith",3000,"Oak@TB 01:00PM ET",6.7,"TB","","Smith","Oak","Antone",0,2.3
"RB","Taiwan Jones",3000,"Oak@TB 01:00PM ET",0.725,"Oak","","Jones","Oak","Taiwan",0,0
"RB","Jamize Olawale",3000,"Oak@TB 01:00PM ET",3.243,"Oak","","Olawale","Oak","Jamize",0,2.1
"RB","Peyton Barber",3000,"Oak@TB 01:00PM ET",3,"TB","","Barber","Oak","Peyton",4.25,3.8
"WR","Cecil Shorts III",3000,"Oak@TB 01:00PM ET",0.733,"TB","","Shorts III","Oak","Cecil",0,0
"WR","Andre Holmes",3000,"Oak@TB 01:00PM ET",3.329,"Oak","","Holmes","Oak","Andre",2.72,3.3
"WR","Freddie Martino",3000,"Oak@TB 01:00PM ET",0,"TB","","Martino","Oak","Freddie",0,0
"WR","Adam Humphries",3000,"Oak@TB 01:00PM ET",8.6,"TB","","Humphries","Oak","Adam",10,12.2
"WR","Seth Roberts",3000,"Oak@TB 01:00PM ET",7.8,"Oak","","Roberts","Oak","Seth",8.64,8.2
"WR","Johnny Holton",3000,"Oak@TB 01:00PM ET",0.786,"Oak","","Holton","Oak","Johnny",0,1.5
"RB","Tim Hightower",3000,"Sea@NO 01:00PM ET",1.883,"NO","","Hightower","Sea","Tim",2.52,3.8
"RB","John Kuhn",3000,"Sea@NO 01:00PM ET",5.2,"NO","","Kuhn","Sea","John",3.2,1.8
"RB","Travaris Cadet",3000,"Sea@NO 01:00PM ET",5.517,"NO","","Cadet","Sea","Travaris",5.38,4.5
"RB","Marcus Murphy",3000,"Sea@NO 01:00PM ET",0,"NO","","Murphy","Sea","Marcus",0,0
"RB","Daniel Lasco",3000,"Sea@NO 01:00PM ET",0.96,"NO","","Lasco","Sea","Daniel",0,1.2
"RB","C.J. Prosise",3000,"Sea@NO 01:00PM ET",2.9,"Sea","","Prosise","Sea","C.J.",3.7,4.9
"RB","Alex Collins",3000,"Sea@NO 01:00PM ET",2.7,"Sea","","Collins","Sea","Alex",0,1.9
"WR","Brandon Coleman",3000,"Sea@NO 01:00PM ET",5.267,"NO","","Coleman","Sea","Brandon",4.82,1.2
"WR","Paul Richardson",3000,"Sea@NO 01:00PM ET",2.383,"Sea","","Richardson","Sea","Paul",4.06,2.6
"WR","Tanner McEvoy",3000,"Sea@NO 01:00PM ET",3.18,"Sea","","McEvoy","Sea","Tanner",0,0
"WR","Tommylee Lewis",3000,"Sea@NO 01:00PM ET",3,"NO","","Lewis","Sea","Tommylee",0,0
"WR","Jake Lampman",3000,"Sea@NO 01:00PM ET",0,"NO","","Lampman","Sea","Jake",0,0
"RB","Jonathan Grimes",3000,"Det@Hou 01:00PM ET",3,"Hou","","Grimes","Det","Jonathan",0,0
"RB","Alfred Blue",3000,"Det@Hou 01:00PM ET",2.357,"Hou","","Blue","Det","Alfred",3.55,4
"RB","Jay Prosch",3000,"Det@Hou 01:00PM ET",0.257,"Hou","","Prosch","Det","Jay",0,0
"RB","Michael Burton",3000,"Det@Hou 01:00PM ET",0,"Det","","Burton","Det","Michael",0,0
"RB","Tyler Ervin",3000,"Det@Hou 01:00PM ET",0.586,"Hou","","Ervin","Det","Tyler",0,1.2
"WR","Andre Roberts",3000,"Det@Hou 01:00PM ET",3.129,"Det","","Roberts","Det","Andre",2.34,1.6
"WR","Keith Mumphery",3000,"Det@Hou 01:00PM ET",0,"Hou","","Mumphery","Det","Keith",0,0
"WR","Braxton Miller",3000,"Det@Hou 01:00PM ET",1.64,"Hou","","Miller","Det","Braxton",2.93,3.6
"WR","Jaelen Strong",3000,"Det@Hou 01:00PM ET",3.871,"Hou","","Strong","Det","Jaelen",6.64,7.2
"TE","Eric Ebron",3000,"Det@Hou 01:00PM ET",11.25,"Det","","Ebron","Det","Eric",9.66,9.5
"RB","Malcolm Johnson",3000,"NYJ@Cle 01:00PM ET",1.229,"Cle","","Johnson","NYJ","Malcolm",0,0
"RB","George Atkinson III",3000,"NYJ@Cle 01:00PM ET",0,"Cle","","Atkinson III","NYJ","George",0,0
"RB","Troymaine Pope",3000,"NYJ@Cle 01:00PM ET",0.1,"NYJ","","Pope","NYJ","Troymaine",0,0
"WR","Andrew Hawkins",3000,"NYJ@Cle 01:00PM ET",6.043,"Cle","","Hawkins","NYJ","Andrew",8.33,6.8
"WR","Charone Peake",3000,"NYJ@Cle 01:00PM ET",3.529,"NYJ","","Peake","NYJ","Charone",4.94,3.4
"WR","Jeremy Butler",3000,"NYJ@Cle 01:00PM ET",0,"NYJ","","Butler","NYJ","Jeremy",0,0
"WR","Robby Anderson",3000,"NYJ@Cle 01:00PM ET",3.871,"NYJ","","Anderson","NYJ","Robby",5.29,7.3
"WR","Jordan Payton",3000,"NYJ@Cle 01:00PM ET",0,"Cle","","Payton","NYJ","Jordan",0,0
"WR","Ricardo Louis",3000,"NYJ@Cle 01:00PM ET",4.157,"Cle","","Louis","NYJ","Ricardo",6.15,8.8
"WR","Jalin Marshall",3000,"NYJ@Cle 01:00PM ET",2.3,"NYJ","","Marshall","NYJ","Jalin",0,4.3
"WR","Rashard Higgins",3000,"NYJ@Cle 01:00PM ET",0.9,"Cle","","Higgins","NYJ","Rashard",3.06,2.2
"RB","Patrick DiMarco",3000,"GB@Atl 04:25PM ET",1.357,"Atl","","DiMarco","GB","Patrick",0,0
"RB","Aaron Ripkowski",3000,"GB@Atl 04:25PM ET",0.917,"GB","","Ripkowski","GB","Aaron",0,2
"WR","Eric Weems",3000,"GB@Atl 04:25PM ET",0,"Atl","","Weems","GB","Eric",0,0
"WR","Aldrick Robinson",3000,"GB@Atl 04:25PM ET",3.271,"Atl","","Robinson","GB","Aldrick",4.97,2.6
"WR","Jared Abbrederis",3000,"GB@Atl 04:25PM ET",0.36,"GB","","Abbrederis","GB","Jared",0,0
"WR","Justin Hardy",3000,"GB@Atl 04:25PM ET",4,"Atl","","Hardy","GB","Justin",5.2,3.5
"WR","Trevor Davis",3000,"GB@Atl 04:25PM ET",0,"GB","","Davis","GB","Trevor",0,0
"WR","Taylor Gabriel",3000,"GB@Atl 04:25PM ET",3.74,"Atl","","Gabriel","GB","Taylor",0,3.4
"WR","Jeff Janis",3000,"GB@Atl 04:25PM ET",1.05,"GB","","Janis","GB","Jeff",2.72,2
"RB","Jerome Felton",3000,"NE@Buf 01:00PM ET",0.383,"Buf","","Felton","NE","Jerome",0,0
"RB","James Develin",3000,"NE@Buf 01:00PM ET",0,"NE","","Develin","NE","James",0,0
"RB","Brandon Bolden",3000,"NE@Buf 01:00PM ET",0.78,"NE","","Bolden","NE","Brandon",0,0
"RB","Dion Lewis",3000,"NE@Buf 01:00PM ET",0,"NE","","Lewis","NE","Dion",0,0
"RB","D.J. Foster",3000,"NE@Buf 01:00PM ET",1.2,"NE","","Foster","NE","D.J.",0,2.7
"RB","Jonathan Williams",3000,"NE@Buf 01:00PM ET",0.433,"Buf","","Williams","NE","Jonathan",0,5
